339_132717_000001_000000	HERLAND	HERLAND
339_132717_000020_000002	But there were tales of long ago, when some brave investigator had seen it--a Big Country, Big Houses, Plenty People--All Women.	But there were tales of long ago, when some brave investigator had seen it-a Big Country, Big Houses, Plenty People-All Women.
339_132717_000021_000001	Yes--a good many--but they never came back.	Yes-a good many-but they never came back.
339_132717_000022_000000	I told the boys about these stories, and they laughed at them.	I told the boys about these stories, and they laughed at them.
339_132717_000022_000001	Naturally I did myself.	Naturally I did myself.
339_132717_000022_000002	I knew the stuff that savage dreams are made of.	I knew the stuff that savage dreams are made of.
339_132717_000023_000000	But when we had reached our farthest point, just the day before we all had to turn around and start for home again, as the best of expeditions must in time, we three made a discovery.	But when we had reached our farthest point, just the day before we all had to turn around and start for home again, as the best of expeditions must in time, we three made a discovery.
339_132717_000024_000000	The main encampment was on a spit of land running out into the main stream, or what we thought was the main stream.	The main encampment was on a spit of land running out into the main stream, or what we thought was the main stream.
339_132717_000025_000000	I happened to speak of that river to our last guide, a rather superior fellow with quick, bright eyes.	I happened to speak of that river to our last guide, a rather superior fellow with quick, bright eyes.
339_132717_000026_000000	He told me that there was another river--"over there, short river, sweet water, red and blue."	He told me that there was another river-"over there, short river, sweet water, red and blue."
339_132717_000028_000000	Yes, he pointed to the river, and then to the southwestward. "River--good water--red and blue."	Yes, he pointed to the river, and then to the southwestward. "River-good water-red and blue."
339_132717_000031_000000	I told him.	I told him.
339_132717_000034_000000	The man indicated a short journey; I judged about two hours, maybe three.	The man indicated a short journey; I judged about two hours, maybe three.
339_132717_000036_000000	"May be indigo," Jeff suggested, with his lazy smile.	"May be indigo," Jeff suggested, with his lazy smile.
339_132717_000037_000000	It was early yet; we had just breakfasted; and leaving word that we'd be back before night, we got away quietly, not wishing to be thought too gullible if we failed, and secretly hoping to have some nice little discovery all to ourselves.	It was early yet; we had just breakfasted; and leaving word that we'd be back before night, we got away quietly, not wishing to be thought too gullible if we failed, and secretly hoping to have some nice little discovery all to ourselves.
339_132717_000038_000000	It was a long two hours, nearer three.	It was a long two hours, nearer three.
339_132717_000038_000003	But there was one, and I could see Terry, with compass and notebook, marking directions and trying to place landmarks.	But there was one, and I could see Terry, with compass and notebook, marking directions and trying to place landmarks.
339_132717_000039_000000	We came after a while to a sort of marshy lake, very big, so that the circling forest looked quite low and dim across it.	We came after a while to a sort of marshy lake, very big, so that the circling forest looked quite low and dim across it.
339_132717_000039_000001	Our guide told us that boats could go from there to our camp--but "long way--all day."	Our guide told us that boats could go from there to our camp-but "long way-all day."
339_132717_000041_000002	They crop out like that."	They crop out like that."
339_132717_000042_000001	We heard running water before we reached it, and the guide pointed proudly to his river.	We heard running water before we reached it, and the guide pointed proudly to his river.
339_132717_000043_000000	It was short.	It was short.
339_132717_000043_000001	We could see where it poured down a narrow vertical cataract from an opening in the face of the cliff.	We could see where it poured down a narrow vertical cataract from an opening in the face of the cliff.
339_132717_000043_000002	It was sweet water. The guide drank eagerly and so did we.	It was sweet water. The guide drank eagerly and so did we.
339_132717_000044_000001	"Must come from way back in the hills."	"Must come from way back in the hills."
339_132717_000045_000000	But as to being red and blue--it was greenish in tint.	But as to being red and blue-it was greenish in tint.
339_132717_000045_000001	The guide seemed not at all surprised.	The guide seemed not at all surprised.
339_132717_000045_000002	He hunted about a little and showed us a quiet marginal pool where there were smears of red along the border; yes, and of blue.	He hunted about a little and showed us a quiet marginal pool where there were smears of red along the border; yes, and of blue.
339_132717_000046_000000	Terry got out his magnifying glass and squatted down to investigate.	Terry got out his magnifying glass and squatted down to investigate.
339_132717_000047_000000	"Chemicals of some sort--I can't tell on the spot.	"Chemicals of some sort-I can't tell on the spot.
339_132717_000047_000001	Look to me like dyestuffs.	Look to me like dyestuffs.
339_132717_000047_000002	Let's get nearer," he urged, "up there by the fall."	Let's get nearer," he urged, "up there by the fall."
339_132717_000048_000000	We scrambled along the steep banks and got close to the pool that foamed and boiled beneath the falling water.	We scrambled along the steep banks and got close to the pool that foamed and boiled beneath the falling water.
339_132717_000048_000001	Here we searched the border and found traces of color beyond dispute.	Here we searched the border and found traces of color beyond dispute.
339_132717_000048_000002	More--Jeff suddenly held up an unlooked-for trophy.	More-Jeff suddenly held up an unlooked for trophy.
339_132717_000049_000000	It was only a rag, a long, raveled fragment of cloth.	It was only a rag, a long, raveled fragment of cloth.
339_132717_000049_000001	But it was a well-woven fabric, with a pattern, and of a clear scarlet that the water had not faded.	But it was a well woven fabric, with a pattern, and of a clear scarlet that the water had not faded.
339_132717_000052_000000	"Come down," he said, pointing to the cataract.	"Come down," he said, pointing to the cataract.
339_132717_000052_000001	"Woman Country--up there."	"Woman Country-up there."
339_132717_000053_000000	Then we were interested.	Then we were interested.
339_132717_000053_000002	He could tell us only what the others had--a land of women--no men--babies, but all girls.	He could tell us only what the others had-a land of women-no men-babies, but all girls.
339_132717_000053_000003	No place for men--dangerous.	No place for men-dangerous.
339_132717_000054_000001	No place for men?	No place for men?
339_132717_000054_000002	Dangerous?	Dangerous?
339_132717_000054_000003	He looked as if he might shin up the waterfall on the spot.	He looked as if he might shin up the waterfall on the spot.
339_132717_000054_000004	But the guide would not hear of going up, even if there had been any possible method of scaling that sheer cliff, and we had to get back to our party before night.	But the guide would not hear of going up, even if there had been any possible method of scaling that sheer cliff, and we had to get back to our party before night.
339_132717_000056_000000	But Terry stopped in his tracks.	But Terry stopped in his tracks.
339_132717_000056_000001	"Look here, fellows," he said.	"Look here, fellows," he said.
339_132717_000056_000002	"This is our find.	"This is our find.
339_132717_000057_000000	We looked at him, much impressed.	We looked at him, much impressed.
339_132717_000059_000000	"There is no such cloth made by any of these local tribes," I announced, examining those rags with great care.	"There is no such cloth made by any of these local tribes," I announced, examining those rags with great care.
339_132717_000061_000001	What's that old republic up in the Pyrenees somewhere--Andorra?	What's that old republic up in the Pyrenees somewhere-Andorra?
339_132717_000061_000003	Then there's Montenegro--splendid little state--you could lose a dozen Montenegroes up and down these great ranges."	Then there's Montenegro-splendid little state-you could lose a dozen Montenegroes up and down these great ranges."
339_132717_000062_000000	We discussed it hotly all the way back to camp.	We discussed it hotly all the way back to camp.
339_132717_000062_000002	We discussed it after that, still only among ourselves, while Terry was making his arrangements.	We discussed it after that, still only among ourselves, while Terry was making his arrangements.
339_132717_000065_000000	We had provisions and preventives and all manner of supplies.	We had provisions and preventives and all manner of supplies.
339_132717_000065_000001	His previous experience stood him in good stead there.	His previous experience stood him in good stead there.
339_132717_000065_000002	It was a very complete little outfit.	It was a very complete little outfit.
339_132717_000068_000000	"Those natives can't get into it, or hurt it, or move it," Terry explained proudly.	"Those natives can't get into it, or hurt it, or move it," Terry explained proudly.
339_132717_000068_000001	"We'll start our flier from the lake and leave the boat as a base to come back to."	"We'll start our flier from the lake and leave the boat as a base to come back to."
339_132717_000069_000000	"If we come back," I suggested cheerfully.	"If we come back," I suggested cheerfully.
339_132717_000070_000000	"'Fraid the ladies will eat you?" he scoffed.	"'Fraid the ladies will eat you?" he scoffed.
339_132717_000071_000000	"We're not so sure about those ladies, you know," drawled Jeff.	"We're not so sure about those ladies, you know," drawled Jeff.
339_132717_000071_000001	"There may be a contingent of gentlemen with poisoned arrows or something."	"There may be a contingent of gentlemen with poisoned arrows or something."
339_132717_000072_000000	"You don't need to go if you don't want to," Terry remarked drily.	"You don't need to go if you don't want to," Terry remarked drily.
339_132717_000073_000000	"Go?	"Go?
339_132717_000073_000001	You'll have to get an injunction to stop me!" Both Jeff and I were sure about that.	You'll have to get an injunction to stop me!" Both Jeff and I were sure about that.
339_132717_000075_000002	Our absolute lack of facts only made the field of discussion wider.	Our absolute lack of facts only made the field of discussion wider.
339_132717_000076_000000	"We'll leave papers with our consul where the yacht stays," Terry planned.	"We'll leave papers with our consul where the yacht stays," Terry planned.
339_132717_000076_000001	"If we don't come back in--say a month--they can send a relief party after us."	"If we don't come back in-say a month-they can send a relief party after us."
339_132717_000077_000001	"If the ladies do eat us we must make reprisals."	"If the ladies do eat us we must make reprisals."
339_132717_000079_000000	"Yes, but how will they get up?" asked Jeff.	"Yes, but how will they get up?" asked Jeff.
339_132717_000080_000000	"Same way we do, of course.	"Same way we do, of course.
339_132717_000080_000001	If three valuable American citizens are lost up there, they will follow somehow--to say nothing of the glittering attractions of that fair land--let's call it 'Feminisia,'" he broke off.	If three valuable American citizens are lost up there, they will follow somehow-to say nothing of the glittering attractions of that fair land-let's call it 'Feminisia,'" he broke off.
339_132717_000081_000000	"You're right, Terry.	"You're right, Terry.
339_132717_000081_000001	Once the story gets out, the river will crawl with expeditions and the airships rise like a swarm of mosquitoes." I laughed as I thought of it.	Once the story gets out, the river will crawl with expeditions and the airships rise like a swarm of mosquitoes." I laughed as I thought of it.
339_132717_000081_000003	Save us!	Save us!
339_132717_000081_000004	What headlines!"	What headlines!"
339_132717_000082_000000	"Not much!" said Terry grimly.	"Not much!" said Terry grimly.
339_132717_000082_000001	"This is our party.	"This is our party.
339_132717_000082_000002	We're going to find that place alone."	We're going to find that place alone."
339_132717_000084_000001	I think he thought that country--if there was one--was just blossoming with roses and babies and canaries and tidies, and all that sort of thing.	I think he thought that country-if there was one-was just blossoming with roses and babies and canaries and tidies, and all that sort of thing.
339_132717_000086_000000	But I thought--then--that I could form a far clearer idea of what was before us than either of them.	But I thought-then-that I could form a far clearer idea of what was before us than either of them.
339_132717_000087_000000	"You're all off, boys," I insisted.	"You're all off, boys," I insisted.
339_132717_000087_000003	This is a condition known to have existed--here's just a survival.	This is a condition known to have existed-here's just a survival.
339_132717_000087_000004	They've got some peculiarly isolated valley or tableland up there, and their primeval customs have survived. That's all there is to it."	They've got some peculiarly isolated valley or tableland up there, and their primeval customs have survived. That's all there is to it."
339_132717_000091_000000	"Danger enough, Terry, and we'll have to be mighty careful.	"Danger enough, Terry, and we'll have to be mighty careful.
339_132717_000091_000001	Women of that stage of culture are quite able to defend themselves and have no welcome for unseasonable visitors."	Women of that stage of culture are quite able to defend themselves and have no welcome for unseasonable visitors."
339_132717_000092_000000	We talked and talked.	We talked and talked.
339_132717_000096_000001	"Women always do. We mustn't look to find any sort of order and organization."	"Women always do. We mustn't look to find any sort of order and organization."
339_132717_000097_000001	"It will be like a nunnery under an abbess--a peaceful, harmonious sisterhood."	"It will be like a nunnery under an abbess-a peaceful, harmonious sisterhood."
339_132717_000099_000002	These are just women, and mothers, and where there's motherhood you don't find sisterhood--not much."	These are just women, and mothers, and where there's motherhood you don't find sisterhood-not much."
339_132717_000100_000000	"No, sir--they'll scrap," agreed Terry.	"No, sir-they'll scrap," agreed Terry.
339_132717_000102_000000	"Oh, cloth!	"Oh, cloth!
339_132717_000102_000002	But there they stop--you'll see."	But there they stop-you'll see."
339_132717_000103_000000	We joked Terry about his modest impression that he would be warmly received, but he held his ground.	We joked Terry about his modest impression that he would be warmly received, but he held his ground.
339_132717_000104_000002	I'll get myself elected king in no time--whew! Solomon will have to take a back seat!"	I'll get myself elected king in no time-whew! Solomon will have to take a back seat!"
339_132717_000106_000000	"Couldn't risk it," he asserted solemnly.	"Couldn't risk it," he asserted solemnly.
339_132717_000108_000003	And he was a good boy; he lived up to his ideals.	And he was a good boy; he lived up to his ideals.
339_132717_000109_000001	I always liked Terry.	I always liked Terry.
339_132717_000109_000002	He was a man's man, very much so, generous and brave and clever; but I don't think any of us in college days was quite pleased to have him with our sisters.	He was a man's man, very much so, generous and brave and clever; but I don't think any of us in college days was quite pleased to have him with our sisters.
339_132717_000109_000004	But Terry was "the limit." Later on--why, of course a man's life is his own, we held, and asked no questions.	But Terry was "the limit." Later on-why, of course a man's life is his own, we held, and asked no questions.
339_132717_000112_000000	But I got out of patience with Jeff, too.	But I got out of patience with Jeff, too.
339_132717_000115_000000	It was not hard to find the river, just poking along that side till we came to it, and it was navigable as far as the lake.	It was not hard to find the river, just poking along that side till we came to it, and it was navigable as far as the lake.
339_132717_000117_000000	There was some talk, even then, of skirting the rock wall and seeking a possible footway up, but the marshy jungle made that method look not only difficult but dangerous.	There was some talk, even then, of skirting the rock wall and seeking a possible footway up, but the marshy jungle made that method look not only difficult but dangerous.
339_132717_000118_000000	Terry dismissed the plan sharply.	Terry dismissed the plan sharply.
339_132717_000119_000001	We've decided that.	We've decided that.
339_132717_000119_000002	It might take months--we haven't got the provisions.	It might take months-we haven't got the provisions.
339_132717_000119_000003	No, sir--we've got to take our chances.	No, sir-we've got to take our chances.
339_132717_000119_000004	If we get back safe--all right.	If we get back safe-all right.
339_132717_000119_000005	If we don't, why, we're not the first explorers to get lost in the shuffle.	If we don't, why, we're not the first explorers to get lost in the shuffle.
339_132717_000120_000000	So we got the big biplane together and loaded it with our scientifically compressed baggage: the camera, of course; the glasses; a supply of concentrated food.	So we got the big biplane together and loaded it with our scientifically compressed baggage: the camera, of course; the glasses; a supply of concentrated food.
339_132717_000120_000001	Our pockets were magazines of small necessities, and we had our guns, of course--there was no knowing what might happen.	Our pockets were magazines of small necessities, and we had our guns, of course-there was no knowing what might happen.
339_132717_000121_000000	Up and up and up we sailed, way up at first, to get "the lay of the land" and make note of it.	Up and up and up we sailed, way up at first, to get "the lay of the land" and make note of it.
339_132717_000122_000001	It ran back on either side, apparently, to the far-off white-crowned peaks in the distance, themselves probably inaccessible.	It ran back on either side, apparently, to the far off white crowned peaks in the distance, themselves probably inaccessible.
339_132717_000123_000000	"Let's make the first trip geographical," I suggested.	"Let's make the first trip geographical," I suggested.
339_132717_000123_000002	With your tremendous speed we can reach that range and back all right.	With your tremendous speed we can reach that range and back all right.
339_132717_000123_000003	Then we can leave a sort of map on board--for that relief expedition."	Then we can leave a sort of map on board-for that relief expedition."
339_132717_000125_000000	So we made a long skirting voyage, turned the point of the cape which was close by, ran up one side of the triangle at our best speed, crossed over the base where it left the higher mountains, and so back to our lake by moonlight.	So we made a long skirting voyage, turned the point of the cape which was close by, ran up one side of the triangle at our best speed, crossed over the base where it left the higher mountains, and so back to our lake by moonlight.
339_132717_000126_000000	"That's not a bad little kingdom," we agreed when it was roughly drawn and measured.	"That's not a bad little kingdom," we agreed when it was roughly drawn and measured.
339_132717_000126_000001	We could tell the size fairly by our speed.	We could tell the size fairly by our speed.
339_132717_000126_000002	And from what we could see of the sides--and that icy ridge at the back end--"It's a pretty enterprising savage who would manage to get into it," Jeff said.	And from what we could see of the sides-and that icy ridge at the back end-"It's a pretty enterprising savage who would manage to get into it," Jeff said.
339_132717_000127_000001	It appeared to be well forested about the edges, but in the interior there were wide plains, and everywhere parklike meadows and open places.	It appeared to be well forested about the edges, but in the interior there were wide plains, and everywhere parklike meadows and open places.
339_132717_000128_000001	It looked--well, it looked like any other country--a civilized one, I mean.	It looked-well, it looked like any other country-a civilized one, I mean.
339_132717_000129_000000	We had to sleep after that long sweep through the air, but we turned out early enough next day, and again we rose softly up the height till we could top the crowning trees and see the broad fair land at our pleasure.	We had to sleep after that long sweep through the air, but we turned out early enough next day, and again we rose softly up the height till we could top the crowning trees and see the broad fair land at our pleasure.
339_132717_000130_000000	"Semitropical.	"Semitropical.
339_132717_000130_000001	Looks like a first-rate climate.	Looks like a first rate climate.
339_132717_000130_000002	It's wonderful what a little height will do for temperature." Terry was studying the forest growth.	It's wonderful what a little height will do for temperature." Terry was studying the forest growth.
339_132717_000131_000001	Is that what you call little?" I asked.	Is that what you call little?" I asked.
339_132717_000132_000000	"Mighty lucky piece of land, I call it," Terry pursued.	"Mighty lucky piece of land, I call it," Terry pursued.
339_132717_000132_000001	"Now for the folks--I've had enough scenery."	"Now for the folks-I've had enough scenery."
339_132717_000133_000000	So we sailed low, crossing back and forth, quartering the country as we went, and studying it.	So we sailed low, crossing back and forth, quartering the country as we went, and studying it.
339_132717_000133_000001	We saw--I can't remember now how much of this we noted then and how much was supplemented by our later knowledge, but we could not help seeing this much, even on that excited day--a land in a state of perfect cultivation, where even the forests looked as if they were cared for; a land that looked like an enormous park, only it was even more evidently an enormous garden.	We saw-I can't remember now how much of this we noted then and how much was supplemented by our later knowledge, but we could not help seeing this much, even on that excited day-a land in a state of perfect cultivation, where even the forests looked as if they were cared for; a land that looked like an enormous park, only it was even more evidently an enormous garden.
339_132717_000134_000000	"I don't see any cattle," I suggested, but Terry was silent.	"I don't see any cattle," I suggested, but Terry was silent.
339_132717_000134_000001	We were approaching a village.	We were approaching a village.
339_132717_000135_000001	We had our glasses out; even Terry, setting his machine for a spiral glide, clapped the binoculars to his eyes.	We had our glasses out; even Terry, setting his machine for a spiral glide, clapped the binoculars to his eyes.
339_132717_000136_000000	They heard our whirring screw.	They heard our whirring screw.
339_132717_000136_000002	We stared and stared until it was almost too late to catch the levers, sweep off and rise again; and then we held our peace for a long run upward.	We stared and stared until it was almost too late to catch the levers, sweep off and rise again; and then we held our peace for a long run upward.
339_132717_000137_000000	"Gosh!" said Terry, after a while.	"Gosh!" said Terry, after a while.
339_132717_000138_000000	"Only women there--and children," Jeff urged excitedly.	"Only women there-and children," Jeff urged excitedly.
339_132717_000142_000000	"There's a fine landing place right there where we came over," he insisted, and it was an excellent one--a wide, flat-topped rock, overlooking the lake, and quite out of sight from the interior.	"There's a fine landing place right there where we came over," he insisted, and it was an excellent one-a wide, flat topped rock, overlooking the lake, and quite out of sight from the interior.
339_132717_000143_000000	"They won't find this in a hurry," he asserted, as we scrambled with the utmost difficulty down to safer footing.	"They won't find this in a hurry," he asserted, as we scrambled with the utmost difficulty down to safer footing.
339_132717_000143_000001	"Come on, boys--there were some good lookers in that bunch."	"Come on, boys-there were some good lookers in that bunch."
339_132717_000145_000001	But we were three young men.	But we were three young men.
