359_133630_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
359_133630_000013_000005	But that was not all. A robin redbreast came as bold as could be and lit upon the coffin and began to sing.	But that was not all. A robin redbreast came as bold as could be and lit upon the coffin and began to sing.
359_133630_000014_000000	The above, signed 'Allan Quatermain', is an extract from my diary written two years and more ago.	The above, signed 'Allan Quatermain', is an extract from my diary written two years and more ago.
359_133630_000014_000001	I copy it down here because it seems to me that it is the fittest beginning to the history that I am about to write, if it please God to spare me to finish it.	I copy it down here because it seems to me that it is the fittest beginning to the history that I am about to write, if it please God to spare me to finish it.
359_133630_000014_000003	That extract was penned seven thousand miles or so from the spot where I now lie painfully and slowly writing this, with a pretty girl standing by my side fanning the flies from my august countenance. Harry is there and I am here, and yet somehow I cannot help feeling that I am not far off Harry.	That extract was penned seven thousand miles or so from the spot where I now lie painfully and slowly writing this, with a pretty girl standing by my side fanning the flies from my august countenance. Harry is there and I am here, and yet somehow I cannot help feeling that I am not far off Harry.
359_133630_000015_000002	On all the four walls of this vestibule were placed pairs of horns--about a hundred pairs altogether, all of which I had shot myself.	On all the four walls of this vestibule were placed pairs of horns-about a hundred pairs altogether, all of which I had shot myself.
359_133630_000015_000003	They are beautiful specimens, as I never keep any horns which are not in every way perfect, unless it may be now and again on account of the associations connected with them.	They are beautiful specimens, as I never keep any horns which are not in every way perfect, unless it may be now and again on account of the associations connected with them.
359_133630_000015_000004	In the centre of the room, however, over the wide fireplace, there was a clear space left on which I had fixed up all my rifles.	In the centre of the room, however, over the wide fireplace, there was a clear space left on which I had fixed up all my rifles.
359_133630_000015_000005	Some of them I have had for forty years, old muzzle-loaders that nobody would look at nowadays.	Some of them I have had for forty years, old muzzle loaders that nobody would look at nowadays.
359_133630_000015_000008	And many an elephant have I shot with that old gun.	And many an elephant have I shot with that old gun.
359_133630_000016_000002	Yes, as I walked, I began to long to see the moonlight gleaming silvery white over the wide veldt and mysterious sea of bush, and watch the lines of game travelling down the ridges to the water.	Yes, as I walked, I began to long to see the moonlight gleaming silvery white over the wide veldt and mysterious sea of bush, and watch the lines of game travelling down the ridges to the water.
359_133630_000016_000003	The ruling passion is strong in death, they say, and my heart was dead that night.	The ruling passion is strong in death, they say, and my heart was dead that night.
359_133630_000016_000004	But, independently of my trouble, no man who has for forty years lived the life I have, can with impunity go coop himself in this prim English country, with its trim hedgerows and cultivated fields, its stiff formal manners, and its well-dressed crowds.	But, independently of my trouble, no man who has for forty years lived the life I have, can with impunity go coop himself in this prim English country, with its trim hedgerows and cultivated fields, its stiff formal manners, and its well dressed crowds.
359_133630_000017_000000	Ah! this civilization, what does it all come to?	Ah! this civilization, what does it all come to?
359_133630_000017_000002	A great gulf fixed?	A great gulf fixed?
359_133630_000017_000003	No, only a very little one, that a plain man's thought may spring across.	No, only a very little one, that a plain man's thought may spring across.
359_133630_000017_000005	It is a depressing conclusion, but in all essentials the savage and the child of civilization are identical.	It is a depressing conclusion, but in all essentials the savage and the child of civilization are identical.
359_133630_000017_000006	I dare say that the highly civilized lady reading this will smile at an old fool of a hunter's simplicity when she thinks of her black bead-bedecked sister; and so will the superfine cultured idler scientifically eating a dinner at his club, the cost of which would keep a starving family for a week.	I dare say that the highly civilized lady reading this will smile at an old fool of a hunter's simplicity when she thinks of her black bead bedecked sister; and so will the superfine cultured idler scientifically eating a dinner at his club, the cost of which would keep a starving family for a week.
359_133630_000018_000000	There, I might go on for ever, but what is the good?	There, I might go on for ever, but what is the good?
359_133630_000018_000002	A vainglory is it, and like a northern light, comes but to fade and leave the sky more dark.	A vainglory is it, and like a northern light, comes but to fade and leave the sky more dark.
359_133630_000018_000004	Do not let me, however, be understood as decrying our modern institutions, representing as they do the gathered experience of humanity applied for the good of all.	Do not let me, however, be understood as decrying our modern institutions, representing as they do the gathered experience of humanity applied for the good of all.
359_133630_000018_000005	Of course they have great advantages--hospitals for instance; but then, remember, we breed the sickly people who fill them.	Of course they have great advantages-hospitals for instance; but then, remember, we breed the sickly people who fill them.
359_133630_000018_000006	In a savage land they do not exist. Besides, the question will arise: How many of these blessings are due to Christianity as distinct from civilization?	In a savage land they do not exist. Besides, the question will arise: How many of these blessings are due to Christianity as distinct from civilization?
359_133630_000019_000000	I make no apology for this digression, especially as this is an introduction which all young people and those who never like to think (and it is a bad habit) will naturally skip.	I make no apology for this digression, especially as this is an introduction which all young people and those who never like to think (and it is a bad habit) will naturally skip.
359_133630_000019_000001	It seems to me very desirable that we should sometimes try to understand the limitations of our nature, so that we may not be carried away by the pride of knowledge.	It seems to me very desirable that we should sometimes try to understand the limitations of our nature, so that we may not be carried away by the pride of knowledge.
359_133630_000019_000002	Man's cleverness is almost indefinite, and stretches like an elastic band, but human nature is like an iron ring.	Man's cleverness is almost indefinite, and stretches like an elastic band, but human nature is like an iron ring.
359_133630_000019_000004	It is the one fixed unchangeable thing--fixed as the stars, more enduring than the mountains, as unalterable as the way of the Eternal.	It is the one fixed unchangeable thing-fixed as the stars, more enduring than the mountains, as unalterable as the way of the Eternal.
359_133630_000019_000006	But the composing elements remain the same, nor will there be one more bit of coloured glass nor one less for ever and ever.	But the composing elements remain the same, nor will there be one more bit of coloured glass nor one less for ever and ever.
359_133630_000020_000001	It is on the nineteen rough serviceable savage portions that we fall back on emergencies, not on the polished but unsubstantial twentieth.	It is on the nineteen rough serviceable savage portions that we fall back on emergencies, not on the polished but unsubstantial twentieth.
359_133630_000020_000002	Civilization should wipe away our tears, and yet we weep and cannot be comforted.	Civilization should wipe away our tears, and yet we weep and cannot be comforted.
359_133630_000021_000000	So, when the heart is stricken, and the head is humbled in the dust, civilization fails us utterly.	So, when the heart is stricken, and the head is humbled in the dust, civilization fails us utterly.
359_133630_000022_000000	And so in my trouble, as I walked up and down the oak-panelled vestibule of my house there in Yorkshire, I longed once more to throw myself into the arms of Nature.	And so in my trouble, as I walked up and down the oak panelled vestibule of my house there in Yorkshire, I longed once more to throw myself into the arms of Nature.
359_133630_000022_000002	I would go again where the wild game was, back to the land whereof none know the history, back to the savages, whom I love, although some of them are almost as merciless as Political Economy.	I would go again where the wild game was, back to the land whereof none know the history, back to the savages, whom I love, although some of them are almost as merciless as Political Economy.
