1322_137589_000002_000000	Now go we hence, said Balin, and well be we met.	Now go we hence, said Balin, and well be we met.
1322_137589_000010_000003	Now what is best to do?	Now what is best to do?
1322_137589_000010_000004	said King Lot of Orkney; whether is me better to treat with King Arthur or to fight, for the greater part of our people are slain and destroyed?	said King Lot of Orkney; whether is me better to treat with King Arthur or to fight, for the greater part of our people are slain and destroyed?
1322_137589_000010_000009	Alas he might not endure, the which was great pity, that so worthy a knight as he was one should be overmatched, that of late time afore had been a knight of King Arthur's, and wedded the sister of King Arthur; and for King Arthur lay by King Lot's wife, the which was Arthur's sister, and gat on her Mordred, therefore King Lot held against Arthur.	Alas he might not endure, the which was great pity, that so worthy a knight as he was one should be overmatched, that of late time afore had been a knight of King Arthur's, and wedded the sister of King Arthur; and for King Arthur lay by King Lot's wife, the which was Arthur's sister, and gat on her Mordred, therefore King Lot held against Arthur.
1322_137589_000011_000000	CHAPTER XI.	CHAPTER eleven.
1322_137589_000012_000000	SO at the interment came King Lot's wife Margawse with her four sons, Gawaine, Agravaine, Gaheris, and Gareth.	SO at the interment came King Lot's wife Margawse with her four sons, Gawaine, Agravaine, Gaheris, and Gareth.
1322_137589_000012_000004	All this made Merlin by his subtle craft, and there he told the king, When I am dead these tapers shall burn no longer, and soon after the adventures of the Sangreal shall come among you and be achieved.	All this made Merlin by his subtle craft, and there he told the king, When I am dead these tapers shall burn no longer, and soon after the adventures of the Sangreal shall come among you and be achieved.
1322_137589_000012_000005	Also he told Arthur how Balin the worshipful knight shall give the dolorous stroke, whereof shall fall great vengeance.	Also he told Arthur how Balin the worshipful knight shall give the dolorous stroke, whereof shall fall great vengeance.
1322_137589_000012_000007	As for Pellinore, said Merlin, he will meet with you soon; and as for Balin he will not be long from you; but the other brother will depart, ye shall see him no more.	As for Pellinore, said Merlin, he will meet with you soon; and as for Balin he will not be long from you; but the other brother will depart, ye shall see him no more.
1322_137589_000012_000008	By my faith, said Arthur, they are two marvellous knights, and namely Balin passeth of prowess of any knight that ever I found, for much beholden am I unto him; would God he would abide with me.	By my faith, said Arthur, they are two marvellous knights, and namely Balin passeth of prowess of any knight that ever I found, for much beholden am I unto him; would God he would abide with me.
1322_137589_000012_000010	So after, for great trust, Arthur betook the scabbard to Morgan le Fay his sister, and she loved another knight better than her husband King Uriens or King Arthur, and she would have had Arthur her brother slain, and therefore she let make another scabbard like it by enchantment, and gave the scabbard Excalibur to her love; and the knight's name was called Accolon, that after had near slain King Arthur.	So after, for great trust, Arthur betook the scabbard to Morgan le Fay his sister, and she loved another knight better than her husband King Uriens or King Arthur, and she would have had Arthur her brother slain, and therefore she let make another scabbard like it by enchantment, and gave the scabbard Excalibur to her love; and the knight's name was called Accolon, that after had near slain King Arthur.
1322_137589_000013_000000	CHAPTER XII.	CHAPTER twelve.
1322_137589_000014_000000	WITHIN a day or two King Arthur was somewhat sick, and he let pitch his pavilion in a meadow, and there he laid him down on a pallet to sleep, but he might have no rest.	WITHIN a day or two King Arthur was somewhat sick, and he let pitch his pavilion in a meadow, and there he laid him down on a pallet to sleep, but he might have no rest.
1322_137589_000014_000007	Sir, said Balin, I pray you make you ready, for ye must go with me, or else I must fight with you and bring you by force, and that were me loath to do.	Sir, said Balin, I pray you make you ready, for ye must go with me, or else I must fight with you and bring you by force, and that were me loath to do.
1322_137589_000014_000012	That shall I do, said Balin, and that I make vow unto knighthood; and so he departed from this knight with great sorrow.	That shall I do, said Balin, and that I make vow unto knighthood; and so he departed from this knight with great sorrow.
1322_137589_000014_000013	So King Arthur let bury this knight richly, and made a mention on his tomb, how there was slain Herlews le Berbeus, and by whom the treachery was done, the knight Garlon.	So King Arthur let bury this knight richly, and made a mention on his tomb, how there was slain Herlews le Berbeus, and by whom the treachery was done, the knight Garlon.
1322_137589_000015_000000	CHAPTER XIII.	CHAPTER thirteen.
1322_137589_000016_000007	And as they came by an hermitage even by a churchyard, there came the knight Garlon invisible, and smote this knight, Perin de Mountbeliard, through the body with a spear.	And as they came by an hermitage even by a churchyard, there came the knight Garlon invisible, and smote this knight, Perin de Mountbeliard, through the body with a spear.
1322_137589_000016_000009	Alas, said Balin, it is not the first despite he hath done me; and there the hermit and Balin buried the knight under a rich stone and a tomb royal.	Alas, said Balin, it is not the first despite he hath done me; and there the hermit and Balin buried the knight under a rich stone and a tomb royal.
1322_137589_000016_000013	Then he went up into the tower, and leapt over walls into the ditch, and hurt him not; and anon he pulled out his sword and would have foughten with them.	Then he went up into the tower, and leapt over walls into the ditch, and hurt him not; and anon he pulled out his sword and would have foughten with them.
1322_137589_000016_000015	Well, said Balin, she shall bleed as much as she may bleed, but I will not lose the life of her whiles my life lasteth.	Well, said Balin, she shall bleed as much as she may bleed, but I will not lose the life of her whiles my life lasteth.
1322_137589_000016_000016	And so Balin made her to bleed by her good will, but her blood helped not the lady.	And so Balin made her to bleed by her good will, but her blood helped not the lady.
