6865_95969_000000_000000	BOOK XIII	BOOK thirteen	false	0.3	9.75	21.516216
6865_95969_000014_000000	"Though a man," said he, "could hum through the Odes--the three hundred--yet should show himself unskilled when given some administrative work to do for his country; though he might know much of that other lore, yet if, when sent on a mission to any quarter, he could answer no question personally and unaided, what after all is he good for?	"Though a man," said he, "could hum through the Odes-the three hundred-yet should show himself unskilled when given some administrative work to do for his country; though he might know much of that other lore, yet if, when sent on a mission to any quarter, he could answer no question personally and unaided, what after all is he good for?	false	184.04	206.59	22.749525
6865_95969_000015_000000	"Let a leader," said he, "show rectitude in his own personal character, and even without directions from him things will go well.	"Let a leader," said he, "show rectitude in his own personal character, and even without directions from him things will go well.	true	208.1	216.28	22
6865_95969_000015_000001	If he be not personally upright, his directions will not be complied with."	If he be not personally upright, his directions will not be complied with."	true	216.47	221.26	23
6865_95969_000016_000000	Once he made the remark, "The governments of Lu and of Wei are in brotherhood."	Once he made the remark, "The governments of Lu and of Wei are in brotherhood."	true	222.2	227.68	21.891796
6865_95969_000017_000000	Of King, a son of the Duke of Wei, he observed that "he managed his household matters well.	Of King, a son of the Duke of Wei, he observed that "he managed his household matters well.	true	228.65	235.24	21.41355
6865_95969_000017_000001	On his coming into possession, he thought, 'What a strange conglomeration!'--Coming to possess a little more, it was, 'Strange, such a result!' And when he became wealthy, 'Strange, such elegance!'"	On his coming into possession, he thought, 'What a strange conglomeration!'--Coming to possess a little more, it was, 'Strange, such a result!' And when he became wealthy, 'Strange, such elegance!'"	true	235.37	248.92	21.17564
6865_95969_000018_000000	The Master was on a journey to Wei, and Yen Yu was driving him.	The Master was on a journey to Wei, and Yen Yu was driving him.	true	250.4	254.23	20.462843
6865_95969_000018_000001	"What multitudes of people!" he exclaimed.	"What multitudes of people!" he exclaimed.	true	254.6	257.5	25.039207
6865_95969_000018_000002	Yen Yu asked him, "Seeing they are so numerous, what more would you do for them?"	Yen Yu asked him, "Seeing they are so numerous, what more would you do for them?"	true	257.72	262.9	19.887661
6865_95969_000019_000000	"Enrich them," replied the Master.	"Enrich them," replied the Master.	true	263.24	265.45	20.806602
6865_95969_000020_000000	"And after enriching them, what more would you do for them?"	"And after enriching them, what more would you do for them?"	true	266.24	269.62	24.289953
6865_95969_000021_000000	"Instruct them."	"Instruct them."	true	270.11	271.39	21.934368
6865_95969_000022_000000	"Were any one of our princes to employ me," he said, "after a twelvemonth I might have made some tolerable progress;"	"Were any one of our princes to employ me," he said, "after a twelvemonth I might have made some tolerable progress;"	false	272.33	279.4	20
6865_95969_000023_000000	Again, "How true is that saying, 'Let good men have the management of a country for a century, and they would be adequate to cope with evil-doers, and thus do away with capital punishments,'"	Again, "How true is that saying, 'Let good men have the management of a country for a century, and they would be adequate to cope with evil doers, and thus do away with capital punishments,'"	false	280.16	292	23
6865_95969_000024_000000	Again, "Suppose the ruler to possess true kingly qualities, then surely after one generation there would be good-will among men."	Again, "Suppose the ruler to possess true kingly qualities, then surely after one generation there would be good will among men."	true	292.94	301.87	22
6865_95969_000025_000000	Again, "Let a ruler but see to his own rectitude, and what trouble will he then have in the work before him?	Again, "Let a ruler but see to his own rectitude, and what trouble will he then have in the work before him?	false	302.87	310.12	24.048819
6865_95969_000025_000001	If he be unable to rectify himself, how is he to rectify others?"	If he be unable to rectify himself, how is he to rectify others?"	true	310.16	314.77	20
6865_95969_000026_000000	Once when Yen Yu was leaving the Court, the Master accosted him.	Once when Yen Yu was leaving the Court, the Master accosted him.	true	316.1	320.35	23.412144
6865_95969_000026_000001	"Why so late?" he asked.	"Why so late?" he asked.	true	320.72	322.78	24.006332
6865_95969_000026_000002	"Busy with legislation," Yen replied.	"Busy with legislation," Yen replied.	true	323.24	326.52	19.378551
6865_95969_000026_000003	"The details of it," suggested the Master; "had it been legislation, I should have been there to hear it, even though I am not in office."	"The details of it," suggested the Master; "had it been legislation, I should have been there to hear it, even though I am not in office."	true	326.52	334.81	22
6865_95969_000027_000000	Duke Ting asked if there were one sentence which, if acted upon, might have the effect of making a country prosperous.	Duke Ting asked if there were one sentence which, if acted upon, might have the effect of making a country prosperous.	true	336.29	343.39	23.73453
6865_95969_000028_000000	Confucius answered, "A sentence could hardly be supposed to do so much as that.	Confucius answered, "A sentence could hardly be supposed to do so much as that.	true	343.73	349.21	21.848036
6865_95969_000028_000001	But there is a proverb people use which says, 'To play the prince is hard, to play the minister not easy.' Assuming that it is understood that 'to play the prince is hard,' would it not be probable that with that one sentence the country should be made to prosper?"	But there is a proverb people use which says, 'To play the prince is hard, to play the minister not easy.' Assuming that it is understood that 'to play the prince is hard,' would it not be probable that with that one sentence the country should be made to prosper?"	true	349.46	366.16	23.212936
6865_95969_000029_000000	"Is there, then," he asked, "one sentence which, if acted upon, would have the effect of ruining a country?"	"Is there, then," he asked, "one sentence which, if acted upon, would have the effect of ruining a country?"	false	366.71	373.66	22.478241
6865_95969_000030_000000	Confucius again replied, "A sentence could hardly be supposed to do so much as that.	Confucius again replied, "A sentence could hardly be supposed to do so much as that.	true	374.18	380.01	22.779345
6865_95969_000030_000001	But there is a proverb men have which says, 'Not gladly would I play the prince, unless my words were ne'er withstood.' Assuming that the words were good, and that none withstood them, would not that also be good?	But there is a proverb men have which says, 'Not gladly would I play the prince, unless my words were ne'er withstood.' Assuming that the words were good, and that none withstood them, would not that also be good?	false	380.01	393.55	25.20799
6865_95969_000030_000002	But assuming that they were not good, and yet none withstood them, would it not be probable that with that one saying he would work his country's ruin?"	But assuming that they were not good, and yet none withstood them, would it not be probable that with that one saying he would work his country's ruin?"	false	393.68	403.17	21.662766
6865_95969_000031_000000	When the Duke of Sheh consulted him about government, he replied, "Where the near are gratified, the far will follow."	When the Duke of Sheh consulted him about government, he replied, "Where the near are gratified, the far will follow."	false	403.17	410.74	22.601183
6865_95969_000032_000000	When Tsz-hia became governor of Kue-fu, and consulted him about government, he answered, "Do not wish for speedy results.	When t s z hia became governor of Kue fu, and consulted him about government, he answered, "Do not wish for speedy results.	false	411.86	420.015	26.353144
6865_95969_000032_000001	Do not look at trivial advantages.	Do not look at trivial advantages.	true	420.015	422.29	24
6865_95969_000032_000002	If you wish for speedy results, they will not be far-reaching; and if you regard trivial advantages you will not successfully deal with important affairs."	If you wish for speedy results, they will not be far reaching; and if you regard trivial advantages you will not successfully deal with important affairs."	true	422.6	432.25	23.701036
6865_95969_000033_000000	The Duke of Sheh in a conversation with Confucius said, "There are some straightforward persons in my neighborhood.	The Duke of Sheh in a conversation with Confucius said, "There are some straightforward persons in my neighborhood.	true	433.16	439.75	20.257908
6865_95969_000033_000001	If a father has stolen a sheep, the son will give evidence against him."	If a father has stolen a sheep, the son will give evidence against him."	true	439.79	444.28	19.861887
6865_95969_000034_000000	"Straightforward people in my neighborhood are different from those," said Confucius.	"Straightforward people in my neighborhood are different from those," said Confucius.	false	445.16	449.74	22
6865_95969_000034_000001	"The father will hold a thing secret on his son's behalf, and the son does the same for his father.	"The father will hold a thing secret on his son's behalf, and the son does the same for his father.	true	450.08	456	19
6865_95969_000034_000002	They are on their way to becoming straightforward."	They are on their way to becoming straightforward."	false	456	458.88	18.404129
6865_95969_000035_000000	Fan Ch'i was asking him about duty to one's fellow-men.	Fan Ch'i was asking him about duty to one's fellow men.	false	458.88	463.3	22.415945
6865_95969_000035_000001	"Be courteous," he replied, "in your private sphere; be serious in any duty you take in hand to do; be leal-hearted in your intercourse with others.	"Be courteous," he replied, "in your private sphere; be serious in any duty you take in hand to do; be leal hearted in your intercourse with others.	false	463.67	472.78	21.997913
6865_95969_000035_000002	Even though you were to go amongst the wild tribes, it would not be right for you to neglect these duties."	Even though you were to go amongst the wild tribes, it would not be right for you to neglect these duties."	true	473.06	479.01	17
6865_95969_000036_000000	In answer to Tsz-kung, who asked, "how he would characterize one who could fitly be called 'learned official,'" the Master said, "He may be so-called who in his private life is affected with a sense of his own unworthiness, and who, when sent on a mission to any quarter of the empire, would not disgrace his prince's commands."	In answer to t s z kung, who asked, "how he would characterize one who could fitly be called 'learned official,'" the Master said, "He may be so-called who in his private life is affected with a sense of his own unworthiness, and who, when sent on a mission to any quarter of the empire, would not disgrace his prince's commands."	false	479.01	500.7	22.773146
6865_95969_000037_000000	"May I presume," said his questioner, "to ask what sort you would put next to such?"	"May I presume," said his questioner, "to ask what sort you would put next to such?"	false	500.7	507.01	21.437742
6865_95969_000038_000000	"Him who is spoken of by his kinsmen as a dutiful son, and whom the folks of his neighborhood call' good brother.'"	"Him who is spoken of by his kinsmen as a dutiful son, and whom the folks of his neighborhood call' good brother.'"	true	508.1	515.49	22.992456
6865_95969_000039_000000	"May I still venture to ask whom you would place next in order?"	"May I still venture to ask whom you would place next in order?"	false	515.49	520.78	23.903255
6865_95969_000040_000000	"Such as are sure to be true to their word, and effective in their work--who are given to hammering, as it were, upon one note--of inferior calibre indeed, but fit enough, I think, to be ranked next."	"Such as are sure to be true to their word, and effective in their work-who are given to hammering, as it were, upon one note-of inferior calibre indeed, but fit enough, I think, to be ranked next."	true	521.42	535	23
6865_95969_000041_000000	"How would you describe those who are at present in the government service?"	"How would you describe those who are at present in the government service?"	true	536.18	540.06	19
6865_95969_000042_000000	"Ugh! mere peck and panier men!--not worth taking into the reckoning."	"Ugh! mere peck and panier men!--not worth taking into the reckoning."	false	540.06	545.56	23.11227
6865_95969_000043_000000	Once he remarked, "If I cannot get _via media_ men to impart instruction to, then I must of course take the impetuous and undisciplined!	Once he remarked, "If I cannot get underscore via media underscore men to impart instruction to, then I must of course take the impetuous and undisciplined!	false	546.8	555.46	20
6865_95969_000043_000001	The impetuous ones will at least go forward and lay hold on things; and the undisciplined have at least something in them which needs to be brought out."	The impetuous ones will at least go forward and lay hold on things; and the undisciplined have at least something in them which needs to be brought out."	false	555.59	564.31	19
6865_95969_000044_000000	"The Southerners," said he, "have the proverb, 'The man who sticks not to rule will never make a charm-worker or a medical man,' Good!--'Whoever is intermittent in his practise of virtue will live to be ashamed of it.' Without prognostication," he added, "that will indeed be so."	"The Southerners," said he, "have the proverb, 'The man who sticks not to rule will never make a charm worker or a medical man,' Good!--'Whoever is intermittent in his practise of virtue will live to be ashamed of it.' Without prognostication," he added, "that will indeed be so."	true	565.49	584.86	22.67318
6865_95969_000045_000000	"The nobler-minded man," he remarked, "will be agreeable even when he disagrees; the small-minded man will agree and be disagreeable."	"The nobler minded man," he remarked, "will be agreeable even when he disagrees; the small minded man will agree and be disagreeable."	true	585.83	595.59	24.577072
6865_95969_000046_000000	Tsz-kung was consulting him, and asked, "What say you of a person who was liked by all in his village?"	t s z kung was consulting him, and asked, "What say you of a person who was liked by all in his village?"	false	595.59	603.94	23.422422
6865_95969_000047_000000	"That will scarcely do," he answered.	"That will scarcely do," he answered.	true	604.4	606.79	25.61539
6865_95969_000048_000000	"What, then, if they all disliked him?"	"What, then, if they all disliked him?"	true	606.95	609.58	27.754856
6865_95969_000049_000000	"That, too," said he, "is scarcely enough.	"That, too," said he, "is scarcely enough.	true	609.77	612.87	23.88318
6865_95969_000049_000001	Better if he were liked by the good folk in the village, and disliked by the bad."	Better if he were liked by the good folk in the village, and disliked by the bad."	true	612.87	617.83	23
6865_95969_000050_000000	"The superior man," he once observed, "is easy to serve, but difficult to please.	"The superior man," he once observed, "is easy to serve, but difficult to please.	true	619.34	625.03	22.665934
6865_95969_000050_000001	Try to please him by the adoption of wrong principles, and you will fail.	Try to please him by the adoption of wrong principles, and you will fail.	true	625.19	629.95	21.654633
6865_95969_000050_000002	Also, when such a one employs others, he uses them according to their capacity.	Also, when such a one employs others, he uses them according to their capacity.	true	630.11	635.77	21.569973
6865_95969_000050_000003	The inferior man is, on the other hand, difficult to serve, but easy to please.	The inferior man is, on the other hand, difficult to serve, but easy to please.	true	636.2	641.5	22.859015
6865_95969_000050_000004	Try to please him by the adoption of wrong principles, and you will succeed.	Try to please him by the adoption of wrong principles, and you will succeed.	true	641.81	646.57	20.702017
6865_95969_000050_000005	And when he employs others he requires them to be fully prepared for everything."	And when he employs others he requires them to be fully prepared for everything."	true	646.88	652.09	22
6865_95969_000051_000000	Again, "The superior man can be high without being haughty.	Again, "The superior man can be high without being haughty.	true	653.03	657.12	24
6865_95969_000051_000001	The inferior man can be haughty if not high."	The inferior man can be haughty if not high."	false	657.12	660.46	23
6865_95969_000052_000000	"The firm, the unflinching, the plain and simple, the slow to speak," said he once, "are approximating towards their duty to their fellow-men."	"The firm, the unflinching, the plain and simple, the slow to speak," said he once, "are approximating towards their duty to their fellow men."	true	661.94	670.98	22.786457
6865_95969_000053_000000	Tsz-lu asked how he would characterize one who might fitly be called an educated gentleman.	t s z lu asked how he would characterize one who might fitly be called an educated gentleman.	false	670.98	678.61	20.659348
6865_95969_000053_000001	The master replied, "He who can properly be so-called will have in him a seriousness of purpose, a habit of controlling himself, and an agreeableness of manner: among his friends and associates the seriousness and the self-control, and among his brethren the agreeableness of manner."	The master replied, "He who can properly be so-called will have in him a seriousness of purpose, a habit of controlling himself, and an agreeableness of manner: among his friends and associates the seriousness and the self control, and among his brethren the agreeableness of manner."	true	678.89	697.09	22.433697
6865_95969_000054_000000	"Let good and able men discipline the people for seven years," said the Master, "and after that they may do to go to war."	"Let good and able men discipline the people for seven years," said the Master, "and after that they may do to go to war."	false	697.73	705.28	24.563461
6865_95969_000055_000000	But, said he, "To lead an undisciplined people to war--that I call throwing them away."	But, said he, "To lead an undisciplined people to war-that I call throwing them away."	false	706.16	723	21.633944
