3615_14677_000001_000000	1.--Portugal Iced Pudding.	one.--Portugal Iced Pudding.
3615_14677_000029_000000	15.--Hungarian Noodle Pudding.	fifteen.--Hungarian Noodle Pudding.
3615_14677_000030_000001	Add the beaten whites.	Add the beaten whites.
3615_14677_000030_000002	Line the pudding-dish with a rich pie-paste.	Line the pudding dish with a rich pie paste.
3615_14677_000030_000003	Fill with the noodles and pour over some melted butter. Bake until brown.	Fill with the noodles and pour over some melted butter. Bake until brown.
3615_14677_000030_000004	Serve hot with lemon sauce.	Serve hot with lemon sauce.
3615_14677_000031_000000	16.--Polish Stewed Chicken.	sixteen.--Polish Stewed Chicken.
3615_14677_000032_000001	Let cook until tender and serve on a platter with cooked rice.	Let cook until tender and serve on a platter with cooked rice.
3615_14677_000033_000000	17.--Madras Curried Apples.	seventeen.--Madras Curried Apples.
3615_14677_000034_000000	Peel and core 4 sour apples and cut into rings; then sprinkle with curry-powder and let fry until tender.	Peel and core four sour apples and cut into rings; then sprinkle with curry powder and let fry until tender.
3615_14677_000034_000001	Add a few thinly cut shallots. Cover and let simmer until done.	Add a few thinly cut shallots. Cover and let simmer until done.
3615_14677_000034_000002	Serve on a platter with boiled rice and pour over a curry sauce.	Serve on a platter with boiled rice and pour over a curry sauce.
3615_14677_000035_000000	18.--Irish Batter Cakes.	eighteen.--Irish Batter Cakes.
3615_14677_000036_000000	Beat the yolks of 4 eggs; add a pinch of salt, 1 tablespoonful of melted butter, 1 small cup of milk and sifted flour enough to make a smooth batter.	Beat the yolks of four eggs; add a pinch of salt, one tablespoonful of melted butter, one small cup of milk and sifted flour enough to make a smooth batter.
3615_14677_000036_000001	Beat well.	Beat well.
3615_14677_000036_000002	Add the whites of eggs, beaten stiff and let fry a golden color; then spread with jam and serve hot.	Add the whites of eggs, beaten stiff and let fry a golden color; then spread with jam and serve hot.
3615_14677_000037_000000	19.--Spanish Baked Eggs.	nineteen.--Spanish Baked Eggs.
3615_14677_000038_000000	Poach eggs as soft as possible.	Poach eggs as soft as possible.
3615_14677_000038_000001	Butter a baking-dish; add a layer of bread-crumbs and grated cheese.	Butter a baking dish; add a layer of bread crumbs and grated cheese.
3615_14677_000038_000002	Place the eggs on the crumbs; sprinkle with salt, pepper, grated cheese and chopped parsley.	Place the eggs on the crumbs; sprinkle with salt, pepper, grated cheese and chopped parsley.
3615_14677_000038_000003	Cover with bread-crumbs and pour over some cream sauce.	Cover with bread crumbs and pour over some cream sauce.
3615_14677_000038_000004	Let bake in a hot oven until brown on top.	Let bake in a hot oven until brown on top.
3615_14677_000038_000005	Serve with toast.	Serve with toast.
3615_14677_000039_000000	20.--Scotch Stewed Onions.	twenty.--Scotch Stewed Onions.
3615_14677_000040_000001	Heat 2 tablespoonfuls of butter.	Heat two tablespoonfuls of butter.
3615_14677_000040_000003	Add the onions; let boil up and serve.	Add the onions; let boil up and serve.
3615_14677_000041_000000	21.--German Baked Cabbage.	twenty one.--German Baked Cabbage.
3615_14677_000042_000001	Chop all the cabbage from the inside and fry in hot grease with 1 sliced onion.	Chop all the cabbage from the inside and fry in hot grease with one sliced onion.
3615_14677_000042_000002	Remove from the fire.	Remove from the fire.
3615_14677_000042_000005	Let bake until brown.	Let bake until brown.
3615_14677_000042_000006	Serve hot.	Serve hot.
3615_14677_000043_000000	22.--Dutch Veal Stew.	twenty two.--Dutch Veal Stew.
3615_14677_000044_000000	Season 3 pounds of veal with salt, pepper and lemon-juice.	Season three pounds of veal with salt, pepper and lemon juice.
3615_14677_000044_000001	Put a few slices of bacon in a stew-pan; when hot, add the veal.	Put a few slices of bacon in a stew pan; when hot, add the veal.
3615_14677_000044_000002	Cover and let brown a few minutes; then add 2 carrots and 1 onion sliced thin, some thyme and mace; pour over 1 cup of hot water.	Cover and let brown a few minutes; then add two carrots and one onion sliced thin, some thyme and mace; pour over one cup of hot water.
3615_14677_000044_000003	Cover and let cook slowly until tender.	Cover and let cook slowly until tender.
3615_14677_000045_000000	23.--French Baked Apple Dumplings.	twenty three.--French Baked Apple Dumplings.
3615_14677_000046_000000	Peel and core apples; sprinkle well with sugar.	Peel and core apples; sprinkle well with sugar.
3615_14677_000046_000001	Then mix some cold boiled rice with 1 egg, a pinch of salt, sugar and cinnamon, flour enough to make a dough.	Then mix some cold boiled rice with one egg, a pinch of salt, sugar and cinnamon, flour enough to make a dough.
3615_14677_000046_000002	Cover the apples with the dough; put in a well-buttered baking-dish with 2 tablespoonfuls of butter and bake to a delicate brown.	Cover the apples with the dough; put in a well buttered baking dish with two tablespoonfuls of butter and bake to a delicate brown.
3615_14677_000046_000003	Serve with whipped cream.	Serve with whipped cream.
3615_14677_000047_000000	24.--Bavarian Fried Brains.	twenty four.--Bavarian Fried Brains.
3615_14677_000048_000000	Clean and boil the brains in salted water; add 1 onion sliced; let cook ten minutes.	Clean and boil the brains in salted water; add one onion sliced; let cook ten minutes.
3615_14677_000048_000001	Remove the brains and mash up well with 1 tablespoonful of butter, some bread-crumbs and parsley chopped, salt and pepper to taste; add 2 eggs.	Remove the brains and mash up well with one tablespoonful of butter, some bread crumbs and parsley chopped, salt and pepper to taste; add two eggs.
3615_14677_000048_000002	Mix together and fry in deep hot lard by the tablespoonful until brown.	Mix together and fry in deep hot lard by the tablespoonful until brown.
3615_14677_000048_000003	Serve with tomato-sauce.	Serve with tomato sauce.
3615_14677_000049_000000	25.--Polish Bread Pudding.	twenty five.--Polish Bread Pudding.
3615_14677_000050_000001	Mix well and bake until brown; then beat the whites to a stiff froth with 3 tablespoonfuls of pulverized sugar.	Mix well and bake until brown; then beat the whites to a stiff froth with three tablespoonfuls of pulverized sugar.
3615_14677_000050_000002	Spread the pudding with jelly and cover with the beaten whites; set in the oven to brown.	Spread the pudding with jelly and cover with the beaten whites; set in the oven to brown.
3615_14677_000051_000000	26.--Vienna Cherry Cake.	twenty six.--Vienna Cherry Cake.
3615_14677_000052_000001	Stone black cherries.	Stone black cherries.
3615_14677_000052_000002	Sprinkle the dough with flour and cover with the cherries.	Sprinkle the dough with flour and cover with the cherries.
3615_14677_000052_000003	Sprinkle with sugar and let bake until done. Then cover with a sweetened egg custard and bake until brown. Serve cold.	Sprinkle with sugar and let bake until done. Then cover with a sweetened egg custard and bake until brown. Serve cold.
3615_14677_000053_000000	27.--Belgian Poached Eggs.	twenty seven.--Belgian Poached Eggs.
3615_14677_000054_000000	Cut thin round slices of bread and toast them.	Cut thin round slices of bread and toast them.
3615_14677_000054_000001	Spread with chopped anchovies and chopped ham.	Spread with chopped anchovies and chopped ham.
3615_14677_000054_000002	Cover the top with whipped whites of eggs and place a raw yoke on each slice of bread.	Cover the top with whipped whites of eggs and place a raw yoke on each slice of bread.
3615_14677_000054_000003	Set in the oven to bake long enough to heat the egg, and serve at once.	Set in the oven to bake long enough to heat the egg, and serve at once.
3615_14677_000055_000000	28.--Bavarian Apple Pie.	twenty eight.--Bavarian Apple Pie.
3615_14677_000056_000001	Let bake and fill with chopped apples, raisins and chopped nuts, sugar and a pinch of cinnamon and nutmeg.	Let bake and fill with chopped apples, raisins and chopped nuts, sugar and a pinch of cinnamon and nutmeg.
3615_14677_000056_000002	Then cover with cake-crumbs and let bake until done.	Then cover with cake crumbs and let bake until done.
3615_14677_000056_000003	Beat 3 whites of eggs with pulverized sugar; flavor with lemon and spread over the pudding.	Beat three whites of eggs with pulverized sugar; flavor with lemon and spread over the pudding.
3615_14677_000056_000004	Set in the oven a few minutes to brown on top.	Set in the oven a few minutes to brown on top.
3615_14677_000057_000000	29.--Russian Fried Sweetbreads.	twenty nine.--Russian Fried Sweetbreads.
3615_14677_000058_000000	Clean and season the sweetbreads with salt and pepper and sprinkle with lemon-juice and chopped parsley.	Clean and season the sweetbreads with salt and pepper and sprinkle with lemon juice and chopped parsley.
3615_14677_000058_000001	Roll in fine bread-crumbs and fry in hot lard.	Roll in fine bread crumbs and fry in hot lard.
