7733_106800_000000_000000	"First rate, General, and thank you for the honor," I replied, as gracefully as I knew how.	"First rate, General, and thank you for the honor," I replied, as gracefully as I knew how.	true	40.65	45.64	19
7733_106800_000026_000005	The Indians, seeing that I was alone, turned, and charged down the hill, and were about to recross the creek to corral me, when the advance guard of the command put in an appearance on the ridge, and dashed forward to my rescue.	The Indians, seeing that I was alone, turned, and charged down the hill, and were about to recross the creek to corral me, when the advance guard of the command put in an appearance on the ridge, and dashed forward to my rescue.	true	715.1	726.46	16
7733_106800_000026_000006	The redskins whirled and made off.	The redskins whirled and made off.	true	726.53	728.86	20.970375
7733_106800_000027_000000	When General Carr came up, he ordered Company I to go in pursuit of the band.	When General Carr came up, he ordered Company I to go in pursuit of the band.	true	729.29	733.21	16
7733_106800_000027_000001	I accompanied Lieutenant Brady, who commanded, and we had a running fight with the Indians, lasting several hours.	I accompanied Lieutenant Brady, who commanded, and we had a running fight with the Indians, lasting several hours.	true	733.31	738.94	14
7733_106800_000027_000002	We captured several head of their horses and most of their lodges.	We captured several head of their horses and most of their lodges.	true	739.25	742.48	13
7733_106800_000027_000003	At night we returned to the command, which by this time had crossed the creek on the beaver dam.	At night we returned to the command, which by this time had crossed the creek on the beaver dam.	true	742.55	747.22	17
7733_106800_000028_000000	We scouted for several days along the river, and had two or three lively skirmishes.	We scouted for several days along the river, and had two or three lively skirmishes.	true	747.8	752.14	17
7733_106800_000028_000001	Finally our supplies began to run low, and General Carr gave orders to return to Fort Wallace, which we reached three days afterward, and where we remained several days.	Finally our supplies began to run low, and General Carr gave orders to return to Fort Wallace, which we reached three days afterward, and where we remained several days.	true	752.3	761.62	17
7733_106800_000029_000000	Very soon after, General Carr received orders from General Sheridan for a winter's campaign in the Canadian River country, instructing him to proceed at once to Fort Lyon, Colorado, and there to fit out for the expedition.	Very soon after, General Carr received orders from General Sheridan for a winter's campaign in the Canadian River country, instructing him to proceed at once to Fort Lyon, Colorado, and there to fit out for the expedition.	true	762.47	774.91	17
7733_106800_000029_000001	Leaving Fort Wallace in November, 1868, we arrived at Fort Lyon in the latter part of the month without special incident, and at once began our preparations for invading the enemy's country.	Leaving Fort Wallace in November, eighteen sixty eight, we arrived at Fort Lyon in the latter part of the month without special incident, and at once began our preparations for invading the enemy's country.	true	775.28	785.71	17
7733_106800_000029_000002	General Penrose had left his post three weeks previously with a command of some three hundred men.	General Penrose had left his post three weeks previously with a command of some three hundred men.	true	786.08	791.56	14
7733_106800_000029_000003	He had taken no wagons with him, and his supply train was composed only of pack mules.	He had taken no wagons with him, and his supply train was composed only of pack mules.	true	791.84	796.57	15
7733_106800_000029_000004	General Carr was ordered to follow with supplies on his trail and overtake him as soon as possible.	General Carr was ordered to follow with supplies on his trail and overtake him as soon as possible.	true	796.97	801.94	14
7733_106800_000029_000005	I was particularly anxious to catch up with Penrose's command, as my old friend Wild Bill was among his scouts.	I was particularly anxious to catch up with Penrose's command, as my old friend Wild Bill was among his scouts.	true	802.22	809.14	19
7733_106800_000029_000006	We followed the trail very easily for the first three days, and then we were caught in Freeze-Out Canyon by a fearful snowstorm, which compelled us to go into camp for a day.	We followed the trail very easily for the first three days, and then we were caught in Freeze Out Canyon by a fearful snowstorm, which compelled us to go into camp for a day.	true	809.42	818.68	17
7733_106800_000029_000007	The ground now being covered with snow, we found it would be impossible to follow Penrose's trail any farther, especially as he had left no sign to indicate the direction he was going.	The ground now being covered with snow, we found it would be impossible to follow Penrose's trail any farther, especially as he had left no sign to indicate the direction he was going.	true	819.02	828.97	14
7733_106800_000029_000008	General Carr sent for me, and said that as it was very important that we should not lose the trail, he wished that I would take some scouts with me, and while the command remained in camp, push on as far as possible, and see if I could not discover some traces of Penrose or where he had camped at any time.	General Carr sent for me, and said that as it was very important that we should not lose the trail, he wished that I would take some scouts with me, and while the command remained in camp, push on as far as possible, and see if I could not discover some traces of Penrose or where he had camped at any time.	false	829.43	845.29	16
7733_106800_000030_000000	Accompanied by four men, I started out in the blinding snowstorm, taking a southerly direction.	Accompanied by four men, I started out in the blinding snowstorm, taking a southerly direction.	true	846.02	851.53	19
7733_106800_000030_000001	We rode twenty-four miles, and upon reaching a tributary of the Cimarron, we scouted up and down the stream for a few miles, and finally found one of Penrose's old camps.	We rode twenty four miles, and upon reaching a tributary of the Cimarron, we scouted up and down the stream for a few miles, and finally found one of Penrose's old camps.	true	851.75	861.31	16
7733_106800_000030_000002	It was now late in the afternoon, and as the command would come up the next day, it was not necessary for all of us to return with the information to General Carr.	It was now late in the afternoon, and as the command would come up the next day, it was not necessary for all of us to return with the information to General Carr.	true	861.44	869.56	13
7733_106800_000030_000003	So riding down into a sheltered place in the bend of the creek, we built a fire and broiled some venison from a deer which we had shot during the day, and after eating a substantial meal, I left the four men there while I returned to bring up the troops.	So riding down into a sheltered place in the bend of the creek, we built a fire and broiled some venison from a deer which we had shot during the day, and after eating a substantial meal, I left the four men there while I returned to bring up the troops.	true	869.99	883.6	18
7733_106800_000031_000000	It was eleven o'clock at night when I got back to the camp.	It was eleven o'clock at night when I got back to the camp.	true	884.09	887.32	25.608833
7733_106800_000031_000001	A light was still burning in the General's tent, he having remained awake, anxiously awaiting my return.	A light was still burning in the General's tent, he having remained awake, anxiously awaiting my return.	true	887.42	893.41	20
7733_106800_000031_000002	He was glad to see me, and was overjoyed at the information I brought, for he had great fears concerning the safety of General Penrose.	He was glad to see me, and was overjoyed at the information I brought, for he had great fears concerning the safety of General Penrose.	false	893.57	900.52	17
7733_106800_000032_000000	The command took up its march next day for the Cimarron, and had a hard tramp of it on account of the snow having drifted to a great depth in many of the ravines, and in some places the teamsters had to shovel their way through.	The command took up its march next day for the Cimarron, and had a hard tramp of it on account of the snow having drifted to a great depth in many of the ravines, and in some places the teamsters had to shovel their way through.	true	901.16	912.52	18
7733_106800_000032_000001	We arrived at the Cimarron at sundown, and went into camp.	We arrived at the Cimarron at sundown, and went into camp.	false	913.31	916.84	21.592152
7733_106800_000032_000002	Upon looking around next morning, we found that Penrose, having been unencumbered by wagons, had kept on the west side of the Cimarron, and the country was so rough that it was impossible for us to stay on his trail with our wagons; but knowing that we would certainly follow down the river, General Carr concluded to take the best wagon route along the stream, which I discovered to be on the east side.	Upon looking around next morning, we found that Penrose, having been unencumbered by wagons, had kept on the west side of the Cimarron, and the country was so rough that it was impossible for us to stay on his trail with our wagons; but knowing that we would certainly follow down the river, General Carr concluded to take the best wagon route along the stream, which I discovered to be on the east side.	false	916.97	938.32	18
7733_106800_000032_000003	Before we could make any headway with our wagon train we had to leave the river and get out on the divide.	Before we could make any headway with our wagon train we had to leave the river and get out on the divide.	true	938.57	944.02	17
7733_106800_000032_000004	We were very fortunate that day in finding a splendid road for some distance, until we were all at once brought to a standstill on a high tableland, overlooking a beautiful winding creek that lay far below us in the valley.	We were very fortunate that day in finding a splendid road for some distance, until we were all at once brought to a standstill on a high tableland, overlooking a beautiful winding creek that lay far below us in the valley.	true	944.21	956.29	17
7733_106800_000032_000005	The question that troubled us was how we were to get the wagons down.	The question that troubled us was how we were to get the wagons down.	true	956.54	960.4	17.94148
7733_106800_000032_000006	We were now in the foothills of the Rattoon Mountains, and the bluff we were on was very steep.	We were now in the foothills of the Rattoon Mountains, and the bluff we were on was very steep.	true	960.56	965.68	19.974066
7733_106800_000033_000000	"Cody, we're in a nice fix now," said General Carr.	"Cody, we're in a nice fix now," said General Carr.	true	966.05	970	21.445206
7733_106800_000034_000000	"Oh, that's nothing," was my reply.	"Oh, that's nothing," was my reply.	true	970.4	972.58	18.662163
7733_106800_000035_000000	"But you can never take the train down," said he.	"But you can never take the train down," said he.	true	973.19	976.39	19.831934
7733_106800_000036_000000	"Never you mind the train, General.	"Never you mind the train, General.	true	976.91	978.82	21.440838
7733_106800_000036_000001	You say you are looking for a good camp.	You say you are looking for a good camp.	true	978.83	980.88	20
7733_106800_000036_000002	How does that beautiful spot down in the valley suit you?" I asked him.	How does that beautiful spot down in the valley suit you?" I asked him.	true	980.88	984.91	20.2028
7733_106800_000037_000000	"That will do.	"That will do.	true	985.28	986.2	21.937477
7733_106800_000037_000001	I can easily descend with the cavalry, but how to get the wagons down there is a puzzler to me," said he.	I can easily descend with the cavalry, but how to get the wagons down there is a puzzler to me," said he.	true	986.21	992.17	21.834436
7733_106800_000038_000000	"By the time you are located in your camp, your wagons shall be there," said I.	"By the time you are located in your camp, your wagons shall be there," said i	true	992.9	997.15	23.272625
