1748_1560_000000_000000	CHAPTER I	CHAPTER one	true	24.15	25.12	18.957975
1748_1560_000002_000009	Perhaps I was to find only the records of lands and moneys, how gotten and how secured; coming down from strange men, and through troublous times, to me, who knew little or nothing of them all.	Perhaps I was to find only the records of lands and moneys, how gotten and how secured; coming down from strange men, and through troublous times, to me, who knew little or nothing of them all.	false	166.58	179.41	18.250454
1748_1560_000002_000010	To solve my speculations, and to dispel the awe which was fast gathering around me as if the dead were drawing near, I approached the secretary; and having found the key that fitted the upper portion, I opened it with some difficulty, drew near it a heavy high-backed chair, and sat down before a multitude of little drawers and slides and pigeon-holes.	To solve my speculations, and to dispel the awe which was fast gathering around me as if the dead were drawing near, I approached the secretary; and having found the key that fitted the upper portion, I opened it with some difficulty, drew near it a heavy high backed chair, and sat down before a multitude of little drawers and slides and pigeon holes.	false	180.26	201.64	19.892035
1748_1560_000002_000011	But the door of a little cupboard in the centre especially attracted my interest, as if there lay the secret of this long-hidden world.	But the door of a little cupboard in the centre especially attracted my interest, as if there lay the secret of this long hidden world.	true	202.58	210.07	18
1748_1560_000002_000012	Its key I found.	Its key I found.	true	210.65	212.2	19.27496
1748_1560_000003_000000	One of the rusty hinges cracked and broke as I opened the door: it revealed a number of small pigeon-holes.	One of the rusty hinges cracked and broke as I opened the door: it revealed a number of small pigeon holes.	true	213.71	220.09	19.594564
1748_1560_000003_000001	These, however, being but shallow compared with the depth of those around the little cupboard, the outer ones reaching to the back of the desk, I concluded that there must be some accessible space behind; and found, indeed, that they were formed in a separate framework, which admitted of the whole being pulled out in one piece.	These, however, being but shallow compared with the depth of those around the little cupboard, the outer ones reaching to the back of the desk, I concluded that there must be some accessible space behind; and found, indeed, that they were formed in a separate framework, which admitted of the whole being pulled out in one piece.	true	221.21	240.04	19
1748_1560_000003_000002	Behind, I found a sort of flexible portcullis of small bars of wood laid close together horizontally.	Behind, I found a sort of flexible portcullis of small bars of wood laid close together horizontally.	true	240.71	247.54	18.96091
1748_1560_000003_000003	After long search, and trying many ways to move it, I discovered at last a scarcely projecting point of steel on one side.	After long search, and trying many ways to move it, I discovered at last a scarcely projecting point of steel on one side.	true	248.18	255.79	19
1748_1560_000003_000004	I pressed this repeatedly and hard with the point of an old tool that was lying near, till at length it yielded inwards; and the little slide, flying up suddenly, disclosed a chamber--empty, except that in one corner lay a little heap of withered rose-leaves, whose long-lived scent had long since departed; and, in another, a small packet of papers, tied with a bit of ribbon, whose colour had gone with the rose-scent.	I pressed this repeatedly and hard with the point of an old tool that was lying near, till at length it yielded inwards; and the little slide, flying up suddenly, disclosed a chamber-empty, except that in one corner lay a little heap of withered rose leaves, whose long lived scent had long since departed; and, in another, a small packet of papers, tied with a bit of ribbon, whose colour had gone with the rose scent.	true	256.28	284.77	18.29455
1748_1560_000003_000005	Almost fearing to touch them, they witnessed so mutely to the law of oblivion, I leaned back in my chair, and regarded them for a moment; when suddenly there stood on the threshold of the little chamber, as though she had just emerged from its depth, a tiny woman-form, as perfect in shape as if she had been a small Greek statuette roused to life and motion.	Almost fearing to touch them, they witnessed so mutely to the law of oblivion, I leaned back in my chair, and regarded them for a moment; when suddenly there stood on the threshold of the little chamber, as though she had just emerged from its depth, a tiny woman form, as perfect in shape as if she had been a small Greek statuette roused to life and motion.	true	285.68	308.35	19.160479
1748_1560_000003_000006	Her dress was of a kind that could never grow old-fashioned, because it was simply natural: a robe plaited in a band around the neck, and confined by a belt about the waist, descended to her feet.	Her dress was of a kind that could never grow old-fashioned, because it was simply natural: a robe plaited in a band around the neck, and confined by a belt about the waist, descended to her feet.	true	309.35	321.67	18.227196
1748_1560_000003_000007	It was only afterwards, however, that I took notice of her dress, although my surprise was by no means of so overpowering a degree as such an apparition might naturally be expected to excite.	It was only afterwards, however, that I took notice of her dress, although my surprise was by no means of so overpowering a degree as such an apparition might naturally be expected to excite.	true	322.04	333.58	19
1748_1560_000003_000008	Seeing, however, as I suppose, some astonishment in my countenance, she came forward within a yard of me, and said, in a voice that strangely recalled a sensation of twilight, and reedy river banks, and a low wind, even in this deathly room:--	Seeing, however, as I suppose, some astonishment in my countenance, she came forward within a yard of me, and said, in a voice that strangely recalled a sensation of twilight, and reedy river banks, and a low wind, even in this deathly room:--	true	334.37	349.87	18
1748_1560_000004_000000	"Anodos, you never saw such a little creature before, did you?"	"Anodos, you never saw such a little creature before, did you?"	true	351.68	355.68	18.084896
1748_1560_000005_000000	"No," said I; "and indeed I hardly believe I do now."	"No," said I; "and indeed I hardly believe I do now."	false	355.68	360.55	15.984279
1748_1560_000006_000000	"Ah! that is always the way with you men; you believe nothing the first time; and it is foolish enough to let mere repetition convince you of what you consider in itself unbelievable.	"Ah! that is always the way with you men; you believe nothing the first time; and it is foolish enough to let mere repetition convince you of what you consider in itself unbelievable.	true	361.37	372.22	18.846794
1748_1560_000006_000001	I am not going to argue with you, however, but to grant you a wish."	I am not going to argue with you, however, but to grant you a wish."	true	372.74	376.63	18.629316
1748_1560_000007_000000	Here I could not help interrupting her with the foolish speech, of which, however, I had no cause to repent--	Here I could not help interrupting her with the foolish speech, of which, however, I had no cause to repent-	true	377.9	383.47	17
1748_1560_000008_000000	"How can such a very little creature as you grant or refuse anything?"	"How can such a very little creature as you grant or refuse anything?"	true	384.26	387.88	14
1748_1560_000009_000000	"Is that all the philosophy you have gained in one-and-twenty years?" said she.	"Is that all the philosophy you have gained in one and twenty years?" said she.	true	389.21	393.61	16
1748_1560_000009_000001	"Form is much, but size is nothing.	"Form is much, but size is nothing.	false	394.4	397.15	20.156658
1748_1560_000009_000002	It is a mere matter of relation.	It is a mere matter of relation.	true	397.49	399.46	17
1748_1560_000009_000003	I suppose your six-foot lordship does not feel altogether insignificant, though to others you do look small beside your old Uncle Ralph, who rises above you a great half-foot at least.	I suppose your six foot lordship does not feel altogether insignificant, though to others you do look small beside your old Uncle Ralph, who rises above you a great half foot at least.	true	400.07	410.56	18.099297
1748_1560_000009_000004	But size is of so little consequence with old me, that I may as well accommodate myself to your foolish prejudices."	But size is of so little consequence with old me, that I may as well accommodate myself to your foolish prejudices."	true	410.9	417.49	17
1748_1560_000010_000000	So saying, she leapt from the desk upon the floor, where she stood a tall, gracious lady, with pale face and large blue eyes.	So saying, she leapt from the desk upon the floor, where she stood a tall, gracious lady, with pale face and large blue eyes.	false	419.06	427.18	16
1748_1560_000010_000001	Her dark hair flowed behind, wavy but uncurled, down to her waist, and against it her form stood clear in its robe of white.	Her dark hair flowed behind, wavy but uncurled, down to her waist, and against it her form stood clear in its robe of white.	true	427.76	436.33	19.21414
1748_1560_000011_000000	"Now," said she, "you will believe me."	"Now," said she, "you will believe me."	true	437.09	440.11	18.153725
1748_1560_000012_000000	Overcome with the presence of a beauty which I could now perceive, and drawn towards her by an attraction irresistible as incomprehensible, I suppose I stretched out my arms towards her, for she drew back a step or two, and said--	Overcome with the presence of a beauty which I could now perceive, and drawn towards her by an attraction irresistible as incomprehensible, I suppose I stretched out my arms towards her, for she drew back a step or two, and said-	true	441.74	455.02	16
1748_1560_000013_000000	"Foolish boy, if you could touch me, I should hurt you.	"Foolish boy, if you could touch me, I should hurt you.	true	455.12	458.47	18.908699
1748_1560_000013_000001	Besides, I was two hundred and thirty-seven years old, last Midsummer eve; and a man must not fall in love with his grandmother, you know."	Besides, I was two hundred and thirty seven years old, last Midsummer eve; and a man must not fall in love with his grandmother, you know."	false	458.93	466.27	17
1748_1560_000014_000000	"But you are not my grandmother," said I.	"But you are not my grandmother," said i	true	467.12	469.78	19.683323
1748_1560_000015_000000	"How do you know that?" she retorted.	"How do you know that?" she retorted.	true	470.9	473.14	20.635927
1748_1560_000015_000001	"I dare say you know something of your great-grandfathers a good deal further back than that; but you know very little about your great-grandmothers on either side.	"I dare say you know something of your great grandfathers a good deal further back than that; but you know very little about your great grandmothers on either side.	true	473.42	481.39	16
1748_1560_000015_000002	Now, to the point.	Now, to the point.	true	481.67	483.01	21.970695
1748_1560_000015_000003	Your little sister was reading a fairy-tale to you last night."	Your little sister was reading a fairy tale to you last night."	true	483.17	486.25	16
1748_1560_000016_000000	"She was."	"She was."	true	486.98	487.96	18
1748_1560_000017_000000	"When she had finished, she said, as she closed the book, 'Is there a fairy-country, brother?' You replied with a sigh, 'I suppose there is, if one could find the way into it.'"	"When she had finished, she said, as she closed the book, 'Is there a fairy country, brother?' You replied with a sigh, 'I suppose there is, if one could find the way into it.'"	true	488.93	500.47	19.013075
1748_1560_000018_000000	"I did; but I meant something quite different from what you seem to think."	"I did; but I meant something quite different from what you seem to think."	true	501.62	505.66	21.728931
1748_1560_000019_000000	"Never mind what I seem to think.	"Never mind what I seem to think.	true	506.33	508.21	16.196684
1748_1560_000019_000001	You shall find the way into Fairy Land to-morrow.	You shall find the way into Fairy Land to morrow.	true	508.28	510.58	18
1748_1560_000019_000002	Now look in my eyes."	Now look in my eyes."	true	511.19	512.62	19
1748_1560_000020_000000	Eagerly I did so.	Eagerly I did so.	true	513.86	515.44	18
1748_1560_000020_000001	They filled me with an unknown longing.	They filled me with an unknown longing.	true	515.54	517.84	13
1748_1560_000020_000002	I remembered somehow that my mother died when I was a baby.	I remembered somehow that my mother died when I was a baby.	true	518.18	521.44	15
1748_1560_000020_000003	I looked deeper and deeper, till they spread around me like seas, and I sank in their waters.	I looked deeper and deeper, till they spread around me like seas, and I sank in their waters.	false	521.69	527.7	20.278471
1748_1560_000020_000004	I forgot all the rest, till I found myself at the window, whose gloomy curtains were withdrawn, and where I stood gazing on a whole heaven of stars, small and sparkling in the moonlight.	I forgot all the rest, till I found myself at the window, whose gloomy curtains were withdrawn, and where I stood gazing on a whole heaven of stars, small and sparkling in the moonlight.	true	527.7	538.93	17
1748_1560_000020_000005	Below lay a sea, still as death and hoary in the moon, sweeping into bays and around capes and islands, away, away, I knew not whither.	Below lay a sea, still as death and hoary in the moon, sweeping into bays and around capes and islands, away, away, I knew not whither.	true	539.48	549.31	16
1748_1560_000020_000006	Alas! it was no sea, but a low bog burnished by the moon.	Alas! it was no sea, but a low bog burnished by the moon.	true	549.92	554.77	18
1748_1560_000020_000007	"Surely there is such a sea somewhere!" said I to myself.	"Surely there is such a sea somewhere!" said I to myself.	true	556.01	559.66	17.537024
1748_1560_000020_000008	A low sweet voice beside me replied--	A low sweet voice beside me replied-	true	560.42	563.11	16
1748_1560_000021_000000	"In Fairy Land, Anodos."	"In Fairy Land, Anodos."	false	563.75	566.64	12.583928
1748_1560_000022_000000	I turned, but saw no one.	I turned, but saw no one.	true	566.64	568.42	13
1748_1560_000022_000001	I closed the secretary, and went to my own room, and to bed.	I closed the secretary, and went to my own room, and to bed.	true	568.82	572.23	17
1748_1560_000023_000000	All this I recalled as I lay with half-closed eyes.	All this I recalled as I lay with half closed eyes.	true	572.87	576.04	13
1748_1560_000023_000001	I was soon to find the truth of the lady's promise, that this day I should discover the road into Fairy Land.	I was soon to find the truth of the lady's promise, that this day I should discover the road into Fairy Land.	true	576.32	582.39	15
1748_1560_000024_000000	CHAPTER II	CHAPTER two	false	582.39	582.54	-20
1748_1560_000025_000000	"'Where is the stream?' cried he, with tears.	"'Where is the stream?' cried he, with tears.	false	582.54	583.23	-7
1748_1560_000025_000001	'Seest thou its not in blue waves above us?' He looked up, and lo!	'Seest thou its not in blue waves above us?' He looked up, and lo!	false	583.23	584.76	16.706112
1748_1560_000025_000002	the blue stream was flowing gently over their heads." --NOVALIS, Heinrich von Ofterdingen.	the blue stream was flowing gently over their heads." --NOVALIS, Heinrich von Ofterdingen.	false	584.76	588.81	12.844648
