8118_114469_000003_000000	CHAPTER IV.	CHAPTER four.
8118_114469_000022_000001	He was resolved to get back to the army with the news that a heavy Southern force was across the Rappahannock. Others might get there first with the fact, but one never knew.	He was resolved to get back to the army with the news that a heavy Southern force was across the Rappahannock. Others might get there first with the fact, but one never knew.
8118_114469_000023_000000	He stumbled on.	He stumbled on.
8118_114469_000023_000001	He was able to keep his cartridges dry in his pouch, but that was all.	He was able to keep his cartridges dry in his pouch, but that was all.
8118_114469_000023_000002	His wet, cold clothes flapped around him and he shivered to the bone.	His wet, cold clothes flapped around him and he shivered to the bone.
8118_114469_000023_000005	He was compelled to stop a while and take refuge behind a big oak.	He was compelled to stop a while and take refuge behind a big oak.
8118_114469_000023_000007	The Union and its fate, gigantic as they were, slipped away from his mind, and it took an effort of the will to bring them back.	The Union and its fate, gigantic as they were, slipped away from his mind, and it took an effort of the will to bring them back.
8118_114469_000024_000000	But his will made the effort, and recalling his mission he struggled on again.	But his will made the effort, and recalling his mission he struggled on again.
8118_114469_000024_000001	He had the river on his right, and it now became an unfailing guide.	He had the river on his right, and it now became an unfailing guide.
8118_114469_000024_000003	The river swished high against its banks and once or twice, when he caught dim glimpses of it through the trees, he saw a yellow torrent bearing much brushwood upon its bosom.	The river swished high against its banks and once or twice, when he caught dim glimpses of it through the trees, he saw a yellow torrent bearing much brushwood upon its bosom.
8118_114469_000025_000000	He had very little idea of his progress.	He had very little idea of his progress.
8118_114469_000025_000001	It was impossible to judge of pace under such circumstances.	It was impossible to judge of pace under such circumstances.
8118_114469_000025_000002	The army might be ten miles further on or it might be only two.	The army might be ten miles further on or it might be only two.
8118_114469_000025_000004	He grasped at weeds and bushes, but they slipped through his hands.	He grasped at weeds and bushes, but they slipped through his hands.
8118_114469_000025_000005	Then he shot into a creek, swollen by the flood, and went over his head.	Then he shot into a creek, swollen by the flood, and went over his head.
8118_114469_000026_000000	He came up, gasping, struck out and reached the further shore.	He came up, gasping, struck out and reached the further shore.
8118_114469_000026_000002	But he had lost everything.	But he had lost everything.
8118_114469_000026_000003	His belt had broken in his struggles, and pistols, small sword and ammunition were gone.	His belt had broken in his struggles, and pistols, small sword and ammunition were gone.
8118_114469_000026_000005	Then he laughed at the idea.	Then he laughed at the idea.
8118_114469_000028_000001	They were wrapped in cloaks, but cloaks and uniforms alike were sodden.	They were wrapped in cloaks, but cloaks and uniforms alike were sodden.
8118_114469_000029_000000	Dick looked at them attentively.	Dick looked at them attentively.
8118_114469_000029_000002	Just behind came three youths, and Dick's heart fairly leaped when he saw the last of the three.	Just behind came three youths, and Dick's heart fairly leaped when he saw the last of the three.
8118_114469_000029_000003	He could not mistake the figure, and a turning of the head caused him to catch a faint glimpse of the face.	He could not mistake the figure, and a turning of the head caused him to catch a faint glimpse of the face.
8118_114469_000030_000000	Dick was so sodden and cold and wretched that he was tempted to call out to them--the sight of Harry was like a light in the darkness--but the temptation was gone in an instant.	Dick was so sodden and cold and wretched that he was tempted to call out to them-the sight of Harry was like a light in the darkness-but the temptation was gone in an instant.
8118_114469_000030_000001	His way lay in another direction. What they wished he did not wish, and while they fought for the triumph of the South it was his business to endure and struggle on that he might do his own little part for the Union.	His way lay in another direction. What they wished he did not wish, and while they fought for the triumph of the South it was his business to endure and struggle on that he might do his own little part for the Union.
8118_114469_000031_000000	But despite the storm and his sufferings, he drew courage from nature itself.	But despite the storm and his sufferings, he drew courage from nature itself.
8118_114469_000031_000001	While a portion of the Southern army was across it must be a minor portion, and certainly the major part could not span such a flood and attack.	While a portion of the Southern army was across it must be a minor portion, and certainly the major part could not span such a flood and attack.
8118_114469_000031_000002	The storm and time allied were now fighting for Pope.	The storm and time allied were now fighting for Pope.
8118_114469_000032_000001	The yellow torrent of the Rappahannock was now his only sure guide and he stuck to it.	The yellow torrent of the Rappahannock was now his only sure guide and he stuck to it.
8118_114469_000032_000002	He wondered why the rain and wind did not die down.	He wondered why the rain and wind did not die down.
8118_114469_000033_000000	He became conscious after a while of a growing weakness, but he had recalled all the powers of his will and it was triumphant over his body. He trudged on on feet that were unconscious of sensation, and his face as if the flesh were paralyzed no longer felt the beat of the rain.	He became conscious after a while of a growing weakness, but he had recalled all the powers of his will and it was triumphant over his body. He trudged on on feet that were unconscious of sensation, and his face as if the flesh were paralyzed no longer felt the beat of the rain.
8118_114469_000034_000000	A mile or two further and in the swish of the storm he heard hoofbeats again.	A mile or two further and in the swish of the storm he heard hoofbeats again.
8118_114469_000034_000001	Looking forth from the bushes he saw another line of horsemen, but now they were going in the direction of Pope's army.	Looking forth from the bushes he saw another line of horsemen, but now they were going in the direction of Pope's army.
8118_114469_000034_000002	Dick recognized these figures.	Dick recognized these figures.
8118_114469_000034_000003	Shapeless as he might appear on his horse that was Colonel Winchester, and there were the broad shoulders of Sergeant Whitley and the figures of the others.	Shapeless as he might appear on his horse that was Colonel Winchester, and there were the broad shoulders of Sergeant Whitley and the figures of the others.
8118_114469_000035_000001	Colonel Winchester recognized the voice, but the light was so dim that he did not recognize him from whom it came.	Colonel Winchester recognized the voice, but the light was so dim that he did not recognize him from whom it came.
8118_114469_000036_000000	"Colonel," cried Dick, "it is I, Richard Mason, whom you left behind!"	"Colonel," cried Dick, "it is I, Richard Mason, whom you left behind!"
8118_114469_000037_000000	"So it is," said Sergeant Whitley, keener of eye than the others.	"So it is," said Sergeant Whitley, keener of eye than the others.
8118_114469_000038_000000	The whole troop set up a shout as Dick came forward, taking off his dripping cap.	The whole troop set up a shout as Dick came forward, taking off his dripping cap.
8118_114469_000039_000002	Your horse must have broken loose in the storm. But here, you look as if you were nearly dead!	Your horse must have broken loose in the storm. But here, you look as if you were nearly dead!
8118_114469_000039_000003	Jump up behind me!"	Jump up behind me!"
8118_114469_000040_000000	Dick made an effort, but his strength failed and he slipped back to the ground.	Dick made an effort, but his strength failed and he slipped back to the ground.
8118_114469_000040_000001	He had not realized that he was walking on his spirit and courage and that his strength was gone, so powerful had been the buffets of the wind and rain.	He had not realized that he was walking on his spirit and courage and that his strength was gone, so powerful had been the buffets of the wind and rain.
8118_114469_000042_000001	It's lucky we found you."	It's lucky we found you."
8118_114469_000043_000000	"It is, sir, and I not only look like a wreck but I feel like one.	"It is, sir, and I not only look like a wreck but I feel like one.
8118_114469_000044_000001	But what a night!	But what a night!
8118_114469_000044_000002	What a night!	What a night!
8118_114469_000044_000003	Not many men can be abroad at such a time.	Not many men can be abroad at such a time.
8118_114469_000046_000000	"You have!	"You have!
8118_114469_000046_000001	What did you see?"	What did you see?"
8118_114469_000047_000000	"A mile or two back I passed a line of Southern horsemen, just as wet and bedraggled as ours."	"A mile or two back I passed a line of Southern horsemen, just as wet and bedraggled as ours."
8118_114469_000048_000000	"Might they not have been our own men?	"Might they not have been our own men?
8118_114469_000048_000001	It would be hard to tell blue and gray apart on such a night."	It would be hard to tell blue and gray apart on such a night."
8118_114469_000049_000000	"One could make such a mistake, but in this case it was not possible. I saw my own cousin, Harry Kenton, riding with them.	"One could make such a mistake, but in this case it was not possible. I saw my own cousin, Harry Kenton, riding with them.
8118_114469_000049_000001	I recognized them perfectly."	I recognized them perfectly."
8118_114469_000050_000000	"Then that settles it.	"Then that settles it.
8118_114469_000050_000002	But they must be few who dare to ride in such a storm."	But they must be few who dare to ride in such a storm."
8118_114469_000051_000000	"That's surely true, sir."	"That's surely true, sir."
8118_114469_000053_000000	Earlier in the day Stuart, full of enterprise, and almost insensible to fatigue, had crossed the Rappahannock much higher up and at the head of a formidable body of his horsemen, unseen by scouts and spies, was riding around the Union right.	Earlier in the day Stuart, full of enterprise, and almost insensible to fatigue, had crossed the Rappahannock much higher up and at the head of a formidable body of his horsemen, unseen by scouts and spies, was riding around the Union right.
8118_114469_000053_000001	They galloped into Warrenton where the people, red hot as usual for the South, crowded around them cheering and laughing and many of the women crying with joy.	They galloped into Warrenton where the people, red hot as usual for the South, crowded around them cheering and laughing and many of the women crying with joy.
8118_114469_000053_000002	It was like Jackson and Stuart to drop from the clouds this way and to tell them, although the land had been occupied by the enemy, that their brave soldiers would come in time.	It was like Jackson and Stuart to drop from the clouds this way and to tell them, although the land had been occupied by the enemy, that their brave soldiers would come in time.
8118_114469_000054_000000	News, where a Northern force could not have obtained a word, was poured out for the South.	News, where a Northern force could not have obtained a word, was poured out for the South.
8118_114469_000054_000002	Stuart shook his plumed head until his long golden hair flew about his neck.	Stuart shook his plumed head until his long golden hair flew about his neck.
