5012_31097_000003_000000	THE BEAST TERRIBLE	THE BEAST TERRIBLE
5012_31097_000010_000002	I saw not the lurching gallop of the long-jawed wolf, nor the high, elastic bounding of the deer.	I saw not the lurching gallop of the long jawed wolf, nor the high, elastic bounding of the deer.
5012_31097_000010_000003	The level swinging speed of the antelope, the slinking of the lynx, the crashing flight of the wapiti--no, it was none of these that came to mind; nor did the mountains nor the plains, nor the wilderness of the pines.	The level swinging speed of the antelope, the slinking of the lynx, the crashing flight of the wapiti-no, it was none of these that came to mind; nor did the mountains nor the plains, nor the wilderness of the pines.
5012_31097_000010_000004	But when the Singing Mouse whispered, "Do you see?" I murmured in reply, "I see it all again!"	But when the Singing Mouse whispered, "Do you see?" I murmured in reply, "I see it all again!"
5012_31097_000011_000000	I saw the small, low hills, well covered with short oaks and hazel bushes, which rolled on away from the village, far out, almost to the Delectable Mountains, which are well known to be upon the edge of the world.	I saw the small, low hills, well covered with short oaks and hazel bushes, which rolled on away from the village, far out, almost to the Delectable Mountains, which are well known to be upon the edge of the world.
5012_31097_000011_000001	Through these low hills a winding road led on, a road whose end no man had ever reached, but which went to places where, no doubt, many wonders were--perhaps even to the Delectable Mountains; for so a wise man once had said, his words harkened to with awe.	Through these low hills a winding road led on, a road whose end no man had ever reached, but which went to places where, no doubt, many wonders were-perhaps even to the Delectable Mountains; for so a wise man once had said, his words harkened to with awe.
5012_31097_000011_000002	This was a pleasant road, lined with brave sumacs, with bushes of the wild blackberry, and with small hazel trees which soon would offer fruit for the regular harvest of the fall, this same to be spread for drying on the woodshed roof.	This was a pleasant road, lined with brave sumacs, with bushes of the wild blackberry, and with small hazel trees which soon would offer fruit for the regular harvest of the fall, this same to be spread for drying on the woodshed roof.
5012_31097_000011_000003	It was perhaps wise curiosity as to the crop of nuts which had brought thus far from home these two figures--an enormous distance, perhaps at least a mile beyond what heretofore had been the utmost limit of their wanderings.	It was perhaps wise curiosity as to the crop of nuts which had brought thus far from home these two figures-an enormous distance, perhaps at least a mile beyond what heretofore had been the utmost limit of their wanderings.
5012_31097_000011_000004	It was not, perhaps, safe to venture so far.	It was not, perhaps, safe to venture so far.
5012_31097_000011_000005	There were known to be strange creatures in these woods, one knew not what.	There were known to be strange creatures in these woods, one knew not what.
5012_31097_000011_000006	It was therefore well that the younger boy should clasp tightly the hand of the older, him who bore with such confidence the bow and arrows, potent weapons of those days gone by!	It was therefore well that the younger boy should clasp tightly the hand of the older, him who bore with such confidence the bow and arrows, potent weapons of those days gone by!
5012_31097_000013_000002	They scarce dared fare farther on, but yet would not turn back.	They scarce dared fare farther on, but yet would not turn back.
5012_31097_000013_000004	The sudden clanging note of the jay near by caused them to stop, heart in mouth for the moment.	The sudden clanging note of the jay near by caused them to stop, heart in mouth for the moment.
5012_31097_000013_000005	Strange rustlings in the leaves made them cross the road, and step more quickly.	Strange rustlings in the leaves made them cross the road, and step more quickly.
5012_31097_000013_000006	Yet the cawing of a crow across the woods seemed friendly, and a small brown bird which hopped ahead along the road was intimate and kind, and thus touched the founts of bravery in the two venturous hearts.	Yet the cawing of a crow across the woods seemed friendly, and a small brown bird which hopped ahead along the road was intimate and kind, and thus touched the founts of bravery in the two venturous hearts.
5012_31097_000013_000007	Certainly they would go on. It was no matter about the sun.	Certainly they would go on. It was no matter about the sun
5012_31097_000013_000008	This was the valley of Ajalon, perhaps, of which one had heard in the class at Sabbath-school. And surely this was a good, droning, yellow-bodied bee--where did the bees go to when they rose up straight into the air?	This was the valley of Ajalon, perhaps, of which one had heard in the class at Sabbath school. And surely this was a good, droning, yellow bodied bee-where did the bees go to when they rose up straight into the air?
5012_31097_000013_000009	And this little mouse, what became of it in winter?	And this little mouse, what became of it in winter?
5012_31097_000013_000010	And--ah!	And-ah!
5012_31097_000013_000011	What was that--that awful burst of sound?	What was that-that awful burst of sound?
5012_31097_000013_000012	Clutch closer, little brother, though both be pale!	Clutch closer, little brother, though both be pale!
5012_31097_000013_000013	How should either of you yet know the thunderous flight of the wild grouse, this great bird which whirled away through the brown leaves of the oaks?	How should either of you yet know the thunderous flight of the wild grouse, this great bird which whirled away through the brown leaves of the oaks?
5012_31097_000013_000014	Father must be asked about this tremendous, startling bird.	Father must be asked about this tremendous, startling bird.
5012_31097_000013_000015	Meantime, the heart having begun to beat again, let the two adventurers press yet a little farther on.	Meantime, the heart having begun to beat again, let the two adventurers press yet a little farther on.
5012_31097_000014_000000	And so, with fears and tremblings, with doubts and joys, through briers and flowers, through hindrances and recompenses, along this crooked, winding, unknown road which led on out into the Unknown, they wandered, as in life we all are wandering to-day.	And so, with fears and tremblings, with doubts and joys, through briers and flowers, through hindrances and recompenses, along this crooked, winding, unknown road which led on out into the Unknown, they wandered, as in life we all are wandering to day.
5012_31097_000016_000000	But hush!	But hush!
5012_31097_000016_000001	Listen!	Listen!
5012_31097_000016_000002	What is it, this sound, approaching, coming directly toward the road?	What is it, this sound, approaching, coming directly toward the road?
5012_31097_000016_000003	Surely, it must be the footfall of some large animal, this cadenced rustling on the leaves!	Surely, it must be the footfall of some large animal, this cadenced rustling on the leaves!
5012_31097_000016_000004	It comes--it will cross near--there, it has turned, it is near the road!	It comes-it will cross near-there, it has turned, it is near the road!
5012_31097_000016_000005	Look!	Look!
5012_31097_000016_000006	There it is, a great animal, half the length of one's arm, with bushy, long red tail arched high for easier running, its grayish coat showing in the bars of sunlight, its eyes bright and black and keen.	There it is, a great animal, half the length of one's arm, with bushy, long red tail arched high for easier running, its grayish coat showing in the bars of sunlight, its eyes bright and black and keen.
5012_31097_000017_000000	Each heart now thumped hard with the surging blood it bore; but it was now the blood of hunters and not of boys.	Each heart now thumped hard with the surging blood it bore; but it was now the blood of hunters and not of boys.
5012_31097_000017_000005	Forward!	Forward!
5012_31097_000017_000006	Victory!	Victory!
5012_31097_000018_000000	But ho! the creature rallies--recovers!	But ho! the creature rallies-recovers!
5012_31097_000018_000001	It gathers its forces, it flies!	It gathers its forces, it flies!
5012_31097_000018_000002	Pursuit then, but pursuit apparently useless, for the animal has found refuge deep in this hollow stump, beyond the reach of longest mortal arm!	Pursuit then, but pursuit apparently useless, for the animal has found refuge deep in this hollow stump, beyond the reach of longest mortal arm!
5012_31097_000019_000001	Roar, grouse, and clamor on, all ye jangling jays.	Roar, grouse, and clamor on, all ye jangling jays.
5012_31097_000019_000003	The heart of the hunter has now been born for each. Fear and defeat are known no longer in the compass of their thoughts.	The heart of the hunter has now been born for each. Fear and defeat are known no longer in the compass of their thoughts.
5012_31097_000019_000004	Follow, follow, follow!	Follow, follow, follow!
5012_31097_000019_000005	So spake the good old savagery of the natural man.	So spake the good old savagery of the natural man.
5012_31097_000019_000006	Better for this creature had it never disturbed these two with its footfalls approaching among the leaves.	Better for this creature had it never disturbed these two with its footfalls approaching among the leaves.
5012_31097_000020_000000	The sun forgot its part, and sank red, though reluctant, beyond the Delectable Mountains.	The sun forgot its part, and sank red, though reluctant, beyond the Delectable Mountains.
5012_31097_000020_000002	Be kindly, for by moonlight one still may labor, and here is labor to be done.	Be kindly, for by moonlight one still may labor, and here is labor to be done.
5012_31097_000020_000003	Every blade in the Barlow knives is broken.	Every blade in the Barlow knives is broken.
5012_31097_000020_000004	The hole in the stump yields not to slashings, nor to attempts to pry it open.	The hole in the stump yields not to slashings, nor to attempts to pry it open.
5012_31097_000020_000005	The prey is still unreached.	The prey is still unreached.
5012_31097_000020_000006	What is to be done?	What is to be done?
5012_31097_000021_000000	The elder hunter bethinks him of a solution for this problem. The broken blade will do to gnaw off this bough, and it will serve to make a split in the end of it.	The elder hunter bethinks him of a solution for this problem. The broken blade will do to gnaw off this bough, and it will serve to make a split in the end of it.
5012_31097_000021_000001	And if one be fortunate, and if this split bestride the tail of the concealed animal, and if the stick be twisted--	And if one be fortunate, and if this split bestride the tail of the concealed animal, and if the stick be twisted-
5012_31097_000022_000001	Cruel barbarians, thoughtless, relentless!	Cruel barbarians, thoughtless, relentless!
5012_31097_000024_000000	The moon was over Ajalon when these two hunters, after all the perils of the long, black road, marched up into the dooryard, bearing on a pole between them their quarry, well suspended by the gambrels.	The moon was over Ajalon when these two hunters, after all the perils of the long, black road, marched up into the dooryard, bearing on a pole between them their quarry, well suspended by the gambrels.
5012_31097_000024_000001	"My boys, I feared that you were lost!" exclaims the tearful mother who stands waiting in the door. But the silent father, standing back of her in the glow of the lamplight, sees what the pole is bearing, and in his eye there is a smile.	"My boys, I feared that you were lost!" exclaims the tearful mother who stands waiting in the door. But the silent father, standing back of her in the glow of the lamplight, sees what the pole is bearing, and in his eye there is a smile.
5012_31097_000024_000002	After that, motherly reproach, fatherly inquiry, plenteous bread and milk, many eager explanations and much descriptive narrative simultaneously uttered by two mouths eager both to eat and to talk.	After that, motherly reproach, fatherly inquiry, plenteous bread and milk, many eager explanations and much descriptive narrative simultaneously uttered by two mouths eager both to eat and to talk.
5012_31097_000025_000001	"It all comes back again.	"It all comes back again.
5012_31097_000025_000002	No chase was ever or will ever be so great as this one--back there, near the Delectable Mountains, in those days gone by, those incomparable days of youth!	No chase was ever or will ever be so great as this one-back there, near the Delectable Mountains, in those days gone by, those incomparable days of youth!
5012_31097_000025_000003	I thank you, Singing Mouse; but I beg you do not go for yet a time.	I thank you, Singing Mouse; but I beg you do not go for yet a time.
5012_31097_000025_000004	The heads upon the wall grin much, and the dust lies thick upon them all."	The heads upon the wall grin much, and the dust lies thick upon them all."
