8266_258263_000000_000000	When it was the Six Hundred and Seventy-fifth Night,	When it was the Six Hundred and Seventy fifth Night,	false	0	4.65	20.155294
8266_258263_000003_000007	When she saw his prowess, her heart was drowned in the love of him and she said to herself, "I have no need of the idol and care for naught save this Gharib, that he may lie in my bosom the rest of my life." Then she cried to her men, "Hold aloof from him and leave him to himself!"; then, going up to him she muttered certain magical words, whereupon his arm became benumbed, his forearm relaxed and the sword dropped from his hand.	When she saw his prowess, her heart was drowned in the love of him and she said to herself, "I have no need of the idol and care for naught save this Gharib, that he may lie in my bosom the rest of my life." Then she cried to her men, "Hold aloof from him and leave him to himself!"; then, going up to him she muttered certain magical words, whereupon his arm became benumbed, his forearm relaxed and the sword dropped from his hand.	false	150.24	150.24	
8266_258263_000003_000008	So they seized him and pinioned him, as he stood confounded, stupefied. Then the Queen returned to her palace, and seating herself on her seat of estate, bade her people withdraw and leave Gharib with her.	So they seized him and pinioned him, as he stood confounded, stupefied. Then the Queen returned to her palace, and seating herself on her seat of estate, bade her people withdraw and leave Gharib with her.	false	150.24	150.24	
8266_258263_000003_000009	When they were alone, she said to him, " O dog of the Arabs, wilt thou shiver my idol and slay my people?" He replied, "O accursed woman, had he been a god he had defended himself!" Quoth she, "Stroke me and I will forgive thee all thou hast done." But he replied, saying, "I will do nought of this." And she said, "By the virtue of my faith, I will torture thee with grievous torture!" So she took water and conjuring over it, sprinkled it upon him and he became an ape.	When they were alone, she said to him, " O dog of the Arabs, wilt thou shiver my idol and slay my people?" He replied, "O accursed woman, had he been a god he had defended himself!" Quoth she, "Stroke me and I will forgive thee all thou hast done." But he replied, saying, "I will do nought of this." And she said, "By the virtue of my faith, I will torture thee with grievous torture!" So she took water and conjuring over it, sprinkled it upon him and he became an ape.	false	150.24	180.91	19.331852
8266_258263_000003_000010	And she used to feed and water and keep him in a (loses, appointing one to care for him; and in this plight he abode two years.	And she used to feed and water and keep him in a (loses, appointing one to care for him; and in this plight he abode two years.	true	181.25	188.11	18
8266_258263_000003_000011	Then she called him to her one day and said to him, "Wilt thou hearken to me?" And he signed to her with his head, "Yes." So she rejoiced and freed him from the enchantment.	Then she called him to her one day and said to him, "Wilt thou hearken to me?" And he signed to her with his head, "Yes." So she rejoiced and freed him from the enchantment.	true	188.69	198.43	20.288166
8266_258263_000003_000012	Then she brought him food and he ate and toyed with her and kissed her, so that she trusted in him.	Then she brought him food and he ate and toyed with her and kissed her, so that she trusted in him.	true	198.89	203.5	19.438368
8266_258263_000003_000013	When it was night she lay down and said to him, "Come, do thy business." He replied, " 'Tis well;" and, mounting on her breast, seized her by the neck and brake it, nor did he arise from her till life had left her.	When it was night she lay down and said to him, "Come, do thy business." He replied, " 'tis well;" and, mounting on her breast, seized her by the neck and brake it, nor did he arise from her till life had left her.	true	204.26	217.93	20.784399
8266_258263_000003_000014	Then, seeing an open cabinet, he went in and found there a sword of damascened[FN#73] steel and a targe of Chinese iron; so he armed himself cap-a-pie and waited till the day.	Then, seeing an open cabinet, he went in and found there a sword of damascened[f n # seventy three] steel and a targe of Chinese iron; so he armed himself cap a pie and waited till the day.	false	218.48	229.18	19.140509
8266_258263_000003_000015	As soon as it was morning, he went forth and stood at the gate of the palace.	As soon as it was morning, he went forth and stood at the gate of the palace.	true	229.52	233.23	20.625832
8266_258263_000003_000016	When the Emirs came and would have gone in to do their service to the Queen, they found Gharib standing at the gate, clad in complete war-gear; and he said to them, "O folk, leave the service of idols and worship the All-wise King, Creator of Night and Day, the Lord of men, the Quickener of dry bones, for He made all things and hath dominion over all." When the Kafirs heard this, they ran at him, but he fell on them like a rending lion and charged through them again and again, slaying of them much people;--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	When the Emirs came and would have gone in to do their service to the Queen, they found Gharib standing at the gate, clad in complete war gear; and he said to them, "O folk, leave the service of idols and worship the All wise King, Creator of Night and Day, the Lord of men, the Quickener of dry bones, for He made all things and hath dominion over all." When the Kafirs heard this, they ran at him, but he fell on them like a rending lion and charged through them again and again, slaying of them much people;--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	233.84	270.49	19.210896
8266_258263_000004_000000	When it was the Six Hundred and Seventy-seventh Night,	When it was the Six Hundred and Seventy seventh Night,	true	271.31	273.88	18.964138
8266_258263_000005_000000	She pursued, It hath reached me, O auspicious King, that when the Kafirs fell upon Gharib, he slew of them much people; but, when the night came, they overcame him by dint of numbers and would have taken him by strenuous effort, when behold, there descended upon the Infidels a thousand Marids, under the command of Zalzal, who plied them with the keen sabre and made them drink the cup of destruction, whilst Allah hurried their souls to Hell-fire, till but few were left of the people of Jan Shah to tell the tale and the rest cried out, "Quarter!	She pursued, It hath reached me, O auspicious King, that when the Kafirs fell upon Gharib, he slew of them much people; but, when the night came, they overcame him by dint of numbers and would have taken him by strenuous effort, when behold, there descended upon the Infidels a thousand Marids, under the command of Zalzal, who plied them with the keen sabre and made them drink the cup of destruction, whilst Allah hurried their souls to Hell fire, till but few were left of the people of Jan Shah to tell the tale and the rest cried out, "Quarter!	false	274.37	306.405	20.148724
8266_258263_000005_000001	Quarter!" and believed in the Requiting King, whom no one thing diverteth from other thing, the Destroyer of the Jababirah[FN#74] and Exterminator of the Akasirah, Lord of this world and of the next.	Quarter!" and believed in the Requiting King, whom no one thing diverteth from other thing, the Destroyer of the Jababirah[f n # seventy four] and Exterminator of the Akasirah, Lord of this world and of the next.	false	306.405	318.97	18.576103
8266_258263_000005_000002	Then Zalzal saluted Gharib and gave him joy of his safety; and Gharib said to him, "How knowest thou of my case?" and he replied, "O my lord, my father kept me in prison two years, after sending thee to the Valley of Fire; then he released me, and I abode with him another year, till I was restored to favour with him, when I slew him and his troops submitted to me.	Then Zalzal saluted Gharib and gave him joy of his safety; and Gharib said to him, "How knowest thou of my case?" and he replied, "O my lord, my father kept me in prison two years, after sending thee to the Valley of Fire; then he released me, and I abode with him another year, till I was restored to favour with him, when I slew him and his troops submitted to me.	false	320.03	342.79	20.084301
8266_258263_000005_000003	I ruled them for a year's space till, one Night, I lay down to sleep, having thee in thought, and saw thee in a dream, fighting against the people of Jan Shah; wherefore I took these thousand Marids and came to thee." And Gharib marvelled at this happy conjuncture.	I ruled them for a year's space till, one Night, I lay down to sleep, having thee in thought, and saw thee in a dream, fighting against the people of Jan Shah; wherefore I took these thousand Marids and came to thee." And Gharib marvelled at this happy conjuncture.	false	343.34	359.5	20.133121
8266_258263_000005_000004	Then he seized upon Jan Shah's treasures and those of the slain and appointed a ruler over the city; after which the Marids took up Gharib and the monies and he lay the same night in the Castle of Crystal.	Then he seized upon Jan Shah's treasures and those of the slain and appointed a ruler over the city; after which the Marids took up Gharib and the monies and he lay the same night in the Castle of Crystal.	false	359.87	371.83	19.246721
8266_258263_000005_000005	He abode Zalzal's guest six months, when he desired to depart; so Zalzal gave him rich presents and despatched three thousand Marids, who brought the spoils of Karaj-city and added them to those of Jan Shah.	He abode Zalzal's guest six months, when he desired to depart; so Zalzal gave him rich presents and despatched three thousand Marids, who brought the spoils of Karaj city and added them to those of Jan Shah.	true	372.26	385.51	20.573713
8266_258263_000005_000006	Then Zalzal loaded forty-thousand Marids with the treasure and himself taking up Gharib, flew with his host towards the city of Isbanir al-Madain where they arrived at midnight.	Then Zalzal loaded forty thousand Marids with the treasure and himself taking up Gharib, flew with his host towards the city of Isbanir al Madain where they arrived at midnight.	false	385.79	396.43	17.712212
8266_258263_000005_000007	But as Gharib glanced around he saw the walls invested on all sides by a conquering army,[FN#75] as it were the surging sea, so he said to Zalzal, "O my brother, what is the cause of this siege and whence came this army?" Then he alighted on the terrace roof of his palace and cried out, saying, "Ho, Star o' Morn!	But as Gharib glanced around he saw the walls invested on all sides by a conquering army,[f n # seventy five] as it were the surging sea, so he said to Zalzal, "O my brother, what is the cause of this siege and whence came this army?" Then he alighted on the terrace roof of his palace and cried out, saying, "Ho, Star o' Morn!	false	397.13	416.745	18.8704
8266_258263_000005_000008	Ho, Mahdiyah!" Whereupon the twain started up from sleep in amazement and said, "Who calleth us at this hour?" Quoth he, " 'Tis I, your lord, Gharib, the Marvellous One of the deeds wondrous." When the Princesses heard their lord's voice, they rejoiced and so did the women and the eunuchs.	Ho, Mahdiyah!" Whereupon the twain started up from sleep in amazement and said, "Who calleth us at this hour?" Quoth he, " 'tis I, your lord, Gharib, the Marvellous One of the deeds wondrous." When the Princesses heard their lord's voice, they rejoiced and so did the women and the eunuchs.	false	416.745	435.61	19.484488
8266_258263_000005_000009	Then Gharib went down to them and they threw themselves upon him and lullilooed with cries of joy, so that all the palace rang again and the Captains of the army awoke and said, "What is to do?" So they made for the palace and asked the eunuchs, "Hath one of the King's women given birth to a child?"; and they answered, "No; but rejoice ye, for King Gharib hath returned to you." So they rejoiced, and Gharib, after salams to the women came forth amongst his comrades, who threw themselves upon him and kissed his hands and feet, returning thanks to Almighty Allah and praising Him.	Then Gharib went down to them and they threw themselves upon him and lullilooed with cries of joy, so that all the palace rang again and the Captains of the army awoke and said, "What is to do?" So they made for the palace and asked the eunuchs, "Hath one of the King's women given birth to a child?"; and they answered, "No; but rejoice ye, for King Gharib hath returned to you." So they rejoiced, and Gharib, after salams to the women came forth amongst his comrades, who threw themselves upon him and kissed his hands and feet, returning thanks to Almighty Allah and praising Him.	false	436.34	470.86	19.176958
8266_258263_000005_000010	Then he sat down on his throne, with his officers sitting about him, and questioned them of the beleaguering army. They replied, "O King, these troops sat down before the city three days ago and there are amongst them Jinns as well as men; but we know not what they want, for we have had with them neither battle nor speech." And presently they added, "The name of the commander of the besieging army is Murad Shah and he hath with him an hundred thousand horse and three thousand foot, besides two hundred tribesmen of the Jinn." Now the manner of his coming was wondrous.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	Then he sat down on his throne, with his officers sitting about him, and questioned them of the beleaguering army. They replied, "O King, these troops sat down before the city three days ago and there are amongst them Jinns as well as men; but we know not what they want, for we have had with them neither battle nor speech." And presently they added, "The name of the commander of the besieging army is Murad Shah and he hath with him an hundred thousand horse and three thousand foot, besides two hundred tribesmen of the Jinn." Now the manner of his coming was wondrous.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	471.5	508.69	18.882568
8266_258263_000006_000000	When it was the Six Hundred and Seventy-eighth Night,	When it was the Six Hundred and Seventy eighth Night,	true	509.54	512.08	19.939474
8266_258263_000007_000000	She said, It hath reached me, O auspicious King, that the cause of this army coming upon Isbanir city was wondrous.	She said, It hath reached me, O auspicious King, that the cause of this army coming upon Isbanir city was wondrous.	true	512.6	519.52	20.131649
8266_258263_000007_000001	When the two men, whom Sabur had charged to drown his daughter Fakhr Taj, let her go, bidding her flee for her life, she went forth distracted, unknowing whither to turn and saying, "Where is thine eye, O Gharib, that thou mayst see my case and the misery I am in?"; and wandered on from country to country, and valley to valley, till she came to a Wady abounding in trees and streams, in whose midst stood a strong-based castle and a lofty-builded as it were one of the pavilions of Paradise.	When the two men, whom Sabur had charged to drown his daughter Fakhr Taj, let her go, bidding her flee for her life, she went forth distracted, unknowing whither to turn and saying, "Where is thine eye, O Gharib, that thou mayst see my case and the misery I am in?"; and wandered on from country to country, and valley to valley, till she came to a Wady abounding in trees and streams, in whose midst stood a strong based castle and a lofty builded as it were one of the pavilions of Paradise.	false	520.01	549.07	19.586803
8266_258263_000007_000002	So she betook herself thither and entering the fortalice, found it hung and carpeted with stuffs of silk and great plenty of gold and silver vessels; and therein were an hundred beautiful damsels.	So she betook herself thither and entering the fortalice, found it hung and carpeted with stuffs of silk and great plenty of gold and silver vessels; and therein were an hundred beautiful damsels.	false	549.77	560.32	18
8266_258263_000007_000003	When the maidens saw Fakhr Taj, they came up to her and saluted her, deeming her of the virgins of the Jinn, and asked her of her case.	When the maidens saw Fakhr Taj, they came up to her and saluted her, deeming her of the virgins of the Jinn, and asked her of her case.	true	561.02	568.33	18.723368
8266_258263_000007_000004	Quoth she, "I am daughter to the Persians' King;" and told them all that had befallen her; which when they heard, they wept over her and condoled with her and comforted her, saying, "Be of good cheer and keep thine eyes cool and clear, for here shalt thou have meat and drink and raiment, and we all are thy handmaids." She called down blessings on them and they brought her food, of which she ate till she was satisfied.	Quoth she, "I am daughter to the Persians' King;" and told them all that had befallen her; which when they heard, they wept over her and condoled with her and comforted her, saying, "Be of good cheer and keep thine eyes cool and clear, for here shalt thou have meat and drink and raiment, and we all are thy handmaids." She called down blessings on them and they brought her food, of which she ate till she was satisfied.	false	568.82	592.09	19.237638
8266_258263_000007_000005	Then quoth she to them, "Who is the owner of this palace and lord over you girls?" and quoth they, "King Salsal, son of Dal, is our master; he passeth a night here once in every month and fareth in the morning to rule over the tribes of the Jann." So Fakhr Taj took up her abode with them and after five days she gave birth to a male child, as he were the moon.	Then quoth she to them, "Who is the owner of this palace and lord over you girls?" and quoth they, "King Salsal, son of Dal, is our master; he passeth a night here once in every month and fareth in the morning to rule over the tribes of the Jann." So Fakhr Taj took up her abode with them and after five days she gave birth to a male child, as he were the moon.	false	592.7	615.19	19.102251
8266_258263_000007_000006	They cut his navel cord and kohl'd his eyes then they named him Murad Shah, and he grew up in his mother's lap.	They cut his navel cord and kohl'd his eyes then they named him Murad Shah, and he grew up in his mother's lap.	true	615.62	622.21	18.967422
8266_258263_000007_000007	After a while came King Salsal, riding on a paper white elephant, as he were a tower plastered with lime and attended by the troops of the Jinn. He entered the palace, where the hundred damsels met him and kissed ground before him, and amongst them Fakhr Taj.	After a while came King Salsal, riding on a paper white elephant, as he were a tower plastered with lime and attended by the troops of the Jinn. He entered the palace, where the hundred damsels met him and kissed ground before him, and amongst them Fakhr Taj.	false	623	638.05	19.845083
8266_258263_000007_000008	When the King saw her, he looked at her and said to the others, "Who is yonder damsel?"; and they replied, "She is the daughter of Sabur, King of the Persians and Turks and Daylamites." Quoth he, "Who brought her hither?" So they repeated to him her story; whereat he was moved to pity for her and said to her, "Grieve not, but take patience till thy son be grown a man, when I will go to the land of the Ajamis and strike off thy father's head from between his shoulders and seat thy son on the throne in his stead." So she rose and kissed his hands and blessed him.	When the King saw her, he looked at her and said to the others, "Who is yonder damsel?"; and they replied, "She is the daughter of Sabur, King of the Persians and Turks and Daylamites." Quoth he, "Who brought her hither?" So they repeated to him her story; whereat he was moved to pity for her and said to her, "Grieve not, but take patience till thy son be grown a man, when I will go to the land of the Ajamis and strike off thy father's head from between his shoulders and seat thy son on the throne in his stead." So she rose and kissed his hands and blessed him.	false	638.57	672.37	18.672955
8266_258263_000007_000009	Then she abode in the castle and her son grew up and was reared with the children of the King.	Then she abode in the castle and her son grew up and was reared with the children of the King.	true	672.8	677.41	16
8266_258263_000007_000010	They used to ride forth together a-hunting and birding and he became skilled in the chase of wild beasts and ravening lions and ate of their flesh, till his heart became harder than the rock.	They used to ride forth together a hunting and birding and he became skilled in the chase of wild beasts and ravening lions and ate of their flesh, till his heart became harder than the rock.	true	678.05	688.39	18
8266_258263_000007_000011	When he reached the age of fifteen, his spirit waxed big in him and he said to Fakhr Taj, "O my mamma, who is my papa?" She replied, "O my son, Gharib, King of Irak, is thy father and I am the King's daughter, of the Persians," and she told him her story.	When he reached the age of fifteen, his spirit waxed big in him and he said to Fakhr Taj, "O my mamma, who is my papa?" She replied, "O my son, Gharib, King of Irak, is thy father and I am the King's daughter, of the Persians," and she told him her story.	true	689.15	706.21	20.25585
8266_258263_000007_000012	Quoth he, "Did my grandfather indeed give orders to slay thee and my father Gharib?"; and quoth she, "Yes." Whereupon he, "By the claim thou hast on me for rearing me, I will assuredly go to thy father's city and cut off his head and bring it into thy pre sence!"--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	Quoth he, "Did my grandfather indeed give orders to slay thee and my father Gharib?"; and quoth she, "Yes." Whereupon he, "By the claim thou hast on me for rearing me, I will assuredly go to thy father's city and cut off his head and bring it into thy pre sence!"--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	707.03	735.87	19.015078
