1079_128636_000000_000000	[Page 442] FRIED WHITEFISH--III	[Page four hundred forty two] FRIED WHITEFISH-three	false	3.99	91.96	24.709545
1079_128636_000012_000000	BAKED WHITE FISH--III	BAKED WHITE FISH-three	false	204.92	207.43	28.588308
1079_128636_000013_000000	Dip the fillets of whitefish in beaten egg, then in crumbs, then in egg, then in crumbs, and lastly in beaten egg.	Dip the fillets of whitefish in beaten egg, then in crumbs, then in egg, then in crumbs, and lastly in beaten egg.	true	207.86	215.34	21.659267
1079_128636_000013_000001	Bake in a buttered dripping-pan for twenty-five minutes and serve with Cream Sauce.	Bake in a buttered dripping pan for twenty five minutes and serve with Cream Sauce.	true	215.34	220.51	27.505533
1079_128636_000014_000000	BAKED FILLETS OF WHITEFISH	BAKED FILLETS OF WHITEFISH	true	221	223.09	24.707754
1079_128636_000015_000000	Cut a large cleaned whitefish into fillets, removing as much as possible of the bone.	Cut a large cleaned whitefish into fillets, removing as much as possible of the bone.	true	223.43	228.94	22.541014
1079_128636_000015_000001	Season with salt and pepper, dip into beaten egg, then in crumbs, then in beaten egg, then in crumbs, and lastly [Page 444] in beaten egg.	Season with salt and pepper, dip into beaten egg, then in crumbs, then in beaten egg, then in crumbs, and lastly [Page four hundred forty four] in beaten egg.	false	229.1	236.92	22.625107
1079_128636_000015_000002	Bake in a thickly buttered baking-dish, drain on brown paper, garnish with fried parsley, and serve with Parsley Sauce.	Bake in a thickly buttered baking dish, drain on brown paper, garnish with fried parsley, and serve with Parsley Sauce.	true	237.08	245.44	26.686865
1079_128636_000016_000000	BAKED WHITEFISH A LA BORDEAUX	BAKED WHITEFISH A l a BORDEAUX	true	246.38	248.92	24.97852
1079_128636_000017_000000	Stuff a large whitefish with seasoned crumbs, put into a buttered baking-pan, rub with butter, dredge with seasoned flour, add one cupful of Claret, and bake.	Stuff a large whitefish with seasoned crumbs, put into a buttered baking pan, rub with butter, dredge with seasoned flour, add one cupful of Claret, and bake.	true	249.17	259.75	26.382872
1079_128636_000017_000001	Take up the fish, strain the liquid, add a little more Claret, thicken with flour, brown in butter, season with red pepper, and serve separately.	Take up the fish, strain the liquid, add a little more Claret, thicken with flour, brown in butter, season with red pepper, and serve separately.	false	259.82	268.9	26.58467
1079_128636_000018_000000	STUFFED WHITEFISH	STUFFED WHITEFISH	true	269.39	270.97	26.840866
1079_128636_000019_000000	Make a stuffing of bread-crumbs, seasoning with salt, pepper, sweet herbs, and melted butter.	Make a stuffing of bread crumbs, seasoning with salt, pepper, sweet herbs, and melted butter.	true	271.25	277.42	26.631119
1079_128636_000019_000001	Add a beaten egg to bind, stuff the fish, and sew up.	Add a beaten egg to bind, stuff the fish, and sew up.	true	277.7	281.565	25.81376
1079_128636_000019_000002	Bake slowly, basting with melted butter and water, and serve with Tartar Sauce.	Bake slowly, basting with melted butter and water, and serve with Tartar Sauce.	true	281.565	286.39	27.672989
1079_128636_000020_000000	STUFFED WHITEFISH WITH OYSTER SAUCE	STUFFED WHITEFISH WITH OYSTER SAUCE	true	286.85	289.755	26.376913
1079_128636_000021_000000	Make a stuffing of two cupfuls of bread-crumbs, half a cupful of chopped salt pork fried crisp, a chopped hard-boiled egg, half a cupful of vinegar, and salt, pepper, butter, sage, and mustard to season.	Make a stuffing of two cupfuls of bread crumbs, half a cupful of chopped salt pork fried crisp, a chopped hard boiled egg, half a cupful of vinegar, and salt, pepper, butter, sage, and mustard to season.	false	289.755	304.96	27.017736
1079_128636_000021_000001	Stuff the fish, tie in mosquito netting, and steam until [Page 445] done.	Stuff the fish, tie in mosquito netting, and steam until [Page four hundred forty five] done.	false	305.18	309.19	23.216106
1079_128636_000021_000002	Pour over a Cream Sauce to which cooked oysters and a little lemon-juice and minced parsley have been added.	Pour over a Cream Sauce to which cooked oysters and a little lemon juice and minced parsley have been added.	true	309.38	315.49	22
1079_128636_000022_000000	WHITEFISH A LA CREME--I	WHITEFISH A l a CREME-I	false	316.31	319.59	28.441505
1079_128636_000023_000000	Cook the fish until done in boiling salted water, drain, and remove the large bones.	Cook the fish until done in boiling salted water, drain, and remove the large bones.	true	319.59	325.395	24.535734
1079_128636_000023_000001	Cook together two tablespoonfuls each of butter and flour, add two cupfuls of milk, and cook until thick, stirring constantly.	Cook together two tablespoonfuls each of butter and flour, add two cupfuls of milk, and cook until thick, stirring constantly.	false	325.395	334.42	29.734737
1079_128636_000023_000002	Season with salt, pepper, grated onion, minced parsley, and grated nutmeg, take from the fire and add half a cupful of butter.	Season with salt, pepper, grated onion, minced parsley, and grated nutmeg, take from the fire and add half a cupful of butter.	true	334.76	343.27	26.662987
1079_128636_000023_000003	Add also the white of an egg well-beaten.	Add also the white of an egg well beaten.	true	343.58	346.095	23.79927
1079_128636_000023_000004	Put the fish on a serving-dish, spread the sauce over it and brown in the oven.	Put the fish on a serving dish, spread the sauce over it and brown in the oven.	true	346.095	350.74	22.882181
1079_128636_000024_000000	WHITEFISH A LA CREME--II	WHITEFISH A l a CREME-two	false	351.77	354.34	28.97996
1079_128636_000025_000000	Clean a whitefish and simmer until done in salted, boiling water. Drain, remove the large bones.	Clean a whitefish and simmer until done in salted, boiling water. Drain, remove the large bones.	false	354.59	361.38	25.699657
1079_128636_000025_000001	Put into a buttered baking-pan, sprinkle with chopped onion and minced parsley, seasoning with grated nutmeg, salt, and pepper.	Put into a buttered baking pan, sprinkle with chopped onion and minced parsley, seasoning with grated nutmeg, salt, and pepper.	true	361.38	370.3	27.80037
1079_128636_000025_000002	Cover with Cream Sauce to which three tablespoonfuls of butter have been added, and put into a hot oven for ten or fifteen minutes.	Cover with Cream Sauce to which three tablespoonfuls of butter have been added, and put into a hot oven for ten or fifteen minutes.	true	370.64	378.15	20
1079_128636_000026_000000	[Page 446] WHITEFISH AU GRATIN--I	[Page four hundred forty six] WHITEFISH AU GRATIN-I	false	378.15	382.53	25.357313
1079_128636_000027_000000	Boil a whitefish in salted water and flake fine with a fork.	Boil a whitefish in salted water and flake fine with a fork.	true	382.53	386.475	22.35967
1079_128636_000027_000001	Bring to the boil two cupfuls of milk and thicken it with a tablespoonful of corn-starch rubbed smooth in a little cold water.	Bring to the boil two cupfuls of milk and thicken it with a tablespoonful of corn starch rubbed smooth in a little cold water.	false	386.475	394.06	24
1079_128636_000027_000002	Take from the fire, add salt and pepper to season, two tablespoonfuls of butter, and two eggs well-beaten.	Take from the fire, add salt and pepper to season, two tablespoonfuls of butter, and two eggs well beaten.	false	394.31	400.87	26.048813
1079_128636_000027_000003	Butter a baking-dish, put in a layer of fish, cover with sauce, season with grated nutmeg, and repeat until the dish is full.	Butter a baking dish, put in a layer of fish, cover with sauce, season with grated nutmeg, and repeat until the dish is full.	true	401.09	409.03	21.810001
1079_128636_000027_000004	Cover with crumbs, dot with butter, and brown in the oven.	Cover with crumbs, dot with butter, and brown in the oven.	true	409.13	412.69	23.627663
1079_128636_000028_000000	WHITEFISH AU GRATIN--II	WHITEFISH AU GRATIN-two	false	413.45	416.05	23.822947
1079_128636_000029_000000	Skin and bone the fish, cut into small squares, and season with salt and pepper.	Skin and bone the fish, cut into small squares, and season with salt and pepper.	true	416.33	421.12	24.74286
1079_128636_000029_000001	Brown two tablespoonfuls of flour in butter, and add gradually two cupfuls of stock or milk.	Brown two tablespoonfuls of flour in butter, and add gradually two cupfuls of stock or milk.	false	421.31	428.115	25.21645
1079_128636_000029_000002	Cook until thick, stirring constantly, seasoning with salt, pepper, lemon-juice, minced parsley, grated onion, and a tablespoonful of vinegar.	Cook until thick, stirring constantly, seasoning with salt, pepper, lemon juice, minced parsley, grated onion, and a tablespoonful of vinegar.	true	428.115	436.81	24
1079_128636_000029_000003	Butter a baking-dish, put in a layer of the fish, cover with sauce, and repeat until the dish is full.	Butter a baking dish, put in a layer of the fish, cover with sauce, and repeat until the dish is full.	true	437.12	443.64	24.731579
1079_128636_000029_000004	Cover with crumbs, dot with butter, and brown in the oven.	Cover with crumbs, dot with butter, and brown in the oven.	true	443.64	447.25	23.614088
1079_128636_000030_000000	WHITEFISH A LA MAITRE D'HOTEL	WHITEFISH A l a MAITRE D'HOTEL	true	447.95	450.25	26.019428
1079_128636_000031_000000	Clean, split, and bone a large whitefish, dip in seasoned oil, broil, [Page 447] and serve with Maitre d'Hotel Sauce.	Clean, split, and bone a large whitefish, dip in seasoned oil, broil, [Page four hundred forty seven] and serve with Maitre d'Hotel Sauce.	false	450.56	459.28	26.470991
1079_128636_000032_000000	WHITEFISH A LA POINT SHIRLEY	WHITEFISH A l a POINT SHIRLEY	true	459.95	462.22	25.918478
1079_128636_000033_000000	Clean, split, and bone the fish, and put into a buttered baking-pan, skin-side down.	Clean, split, and bone the fish, and put into a buttered baking pan, skin side down.	true	463.13	468.97	25.444317
1079_128636_000033_000001	Season with salt, red pepper, and lemon-juice, add enough boiling water to keep from burning, and bake.	Season with salt, red pepper, and lemon juice, add enough boiling water to keep from burning, and bake.	true	469.13	476.2	24.873653
1079_128636_000033_000002	Serve with Maitre d'Hotel Sauce.	Serve with Maitre d'Hotel Sauce.	true	476.21	478.48	26.073332
1079_128636_000034_000000	PLANKED WHITEFISH--I	PLANKED WHITEFISH-I	false	478.94	481.65	29.580015
1079_128636_000035_000000	Butter a fish-plank and tack a large cleaned and split whitefish on it, skin side down.	Butter a fish plank and tack a large cleaned and split whitefish on it, skin side down.	true	481.65	487	25.400362
1079_128636_000035_000001	Rub with butter, season with salt and pepper, and cook in the oven or under a gas flame.	Rub with butter, season with salt and pepper, and cook in the oven or under a gas flame.	true	487.28	492.94	23.454124
1079_128636_000035_000002	Put a border of mashed potato mixed with the beaten white of egg around the fish, using a pastry tube and forcing bag.	Put a border of mashed potato mixed with the beaten white of egg around the fish, using a pastry tube and forcing bag.	true	493.4	501.91	26.177473
1079_128636_000035_000003	Put into the oven for a few minutes to brown the potato, and serve with a garnish of lemon and parsley.	Put into the oven for a few minutes to brown the potato, and serve with a garnish of lemon and parsley.	false	502.01	649.44	25.169445
