3294_167609_000000_000000	CHAPTER XXI	CHAPTER twenty one	false	2.58	7.05	20.676353
3294_167609_000023_000000	The officer appeared abashed, as though he understood that one might think of how many men would be missing tomorrow but ought not to speak of it.	The officer appeared abashed, as though he understood that one might think of how many men would be missing tomorrow but ought not to speak of it.	false	310.665	320.2	21.935251
3294_167609_000024_000000	"Well, send number three company again," the officer replied hurriedly.	"Well, send number three company again," the officer replied hurriedly.	true	321.08	325.72	26.262972
3294_167609_000025_000000	"And you, are you one of the doctors?"	"And you, are you one of the doctors?"	true	325.94	328.54	20.432835
3294_167609_000026_000000	"No, I've come on my own," answered Pierre, and he went down the hill again, passing the militiamen.	"No, I've come on my own," answered Pierre, and he went down the hill again, passing the militiamen.	true	328.97	335.35	19.156435
3294_167609_000027_000000	"Oh, those damned fellows!" muttered the officer who followed him, holding his nose as he ran past the men at work.	"Oh, those damned fellows!" muttered the officer who followed him, holding his nose as he ran past the men at work.	true	335.63	342.43	19
3294_167609_000028_000000	"There they are... bringing her, coming...	"There they are... bringing her, coming...	true	342.86	345.345	17.33582
3294_167609_000028_000001	There they are...	There they are...	true	345.345	346.33	20.27731
3294_167609_000028_000002	They'll be here in a minute..." voices were suddenly heard saying; and officers, soldiers, and militiamen began running forward along the road.	They'll be here in a minute..." voices were suddenly heard saying; and officers, soldiers, and militiamen began running forward along the road.	true	346.37	355.81	18.616226
3294_167609_000029_000000	A church procession was coming up the hill from Borodino.	A church procession was coming up the hill from Borodino.	true	356	359.41	19
3294_167609_000029_000001	First along the dusty road came the infantry in ranks, bareheaded and with arms reversed.	First along the dusty road came the infantry in ranks, bareheaded and with arms reversed.	true	359.66	365.11	17
3294_167609_000029_000002	From behind them came the sound of church singing.	From behind them came the sound of church singing.	true	365.3	368.2	17.811266
3294_167609_000030_000000	Soldiers and militiamen ran bareheaded past Pierre toward the procession.	Soldiers and militiamen ran bareheaded past Pierre toward the procession.	true	368.42	372.82	16.733309
3294_167609_000031_000000	"They are bringing her, our Protectress!...	"They are bringing her, our Protectress!...	true	373.13	375.4	19.63948
3294_167609_000031_000001	The Iberian Mother of God!" someone cried.	The Iberian Mother of God!" someone cried.	true	375.59	378.28	21.68278
3294_167609_000032_000000	"The Smolensk Mother of God," another corrected him.	"The Smolensk Mother of God," another corrected him.	true	378.47	381.82	23.815393
3294_167609_000033_000000	The militiamen, both those who had been in the village and those who had been at work on the battery, threw down their spades and ran to meet the church procession.	The militiamen, both those who had been in the village and those who had been at work on the battery, threw down their spades and ran to meet the church procession.	true	382.22	391	19.17462
3294_167609_000033_000001	Following the battalion that marched along the dusty road came priests in their vestments--one little old man in a hood with attendants and singers.	Following the battalion that marched along the dusty road came priests in their vestments-one little old man in a hood with attendants and singers.	true	391.28	399.94	21.175491
3294_167609_000033_000002	Behind them soldiers and officers bore a large, dark-faced icon with an embossed metal cover.	Behind them soldiers and officers bore a large, dark faced icon with an embossed metal cover.	true	400.34	406.39	19
3294_167609_000033_000003	This was the icon that had been brought from Smolensk and had since accompanied the army.	This was the icon that had been brought from Smolensk and had since accompanied the army.	false	406.67	411.25	20
3294_167609_000033_000004	Behind, before, and on both sides, crowds of militiamen with bared heads walked, ran, and bowed to the ground.	Behind, before, and on both sides, crowds of militiamen with bared heads walked, ran, and bowed to the ground.	true	411.53	419.11	19.641665
3294_167609_000034_000000	At the summit of the hill they stopped with the icon; the men who had been holding it up by the linen bands attached to it were relieved by others, the chanters relit their censers, and service began.	At the summit of the hill they stopped with the icon; the men who had been holding it up by the linen bands attached to it were relieved by others, the chanters relit their censers, and service began.	true	419.66	429.97	20.99996
3294_167609_000034_000001	The hot rays of the sun beat down vertically and a fresh soft wind played with the hair of the bared heads and with the ribbons decorating the icon.	The hot rays of the sun beat down vertically and a fresh soft wind played with the hair of the bared heads and with the ribbons decorating the icon.	true	430.25	438.55	19.337078
3294_167609_000034_000002	The singing did not sound loud under the open sky.	The singing did not sound loud under the open sky.	true	438.89	442	21
3294_167609_000034_000003	An immense crowd of bareheaded officers, soldiers, and militiamen surrounded the icon.	An immense crowd of bareheaded officers, soldiers, and militiamen surrounded the icon.	true	442.43	447.1	17.916452
3294_167609_000034_000004	Behind the priest and a chanter stood the notabilities on a spot reserved for them.	Behind the priest and a chanter stood the notabilities on a spot reserved for them.	true	447.68	452.62	22
3294_167609_000034_000005	A bald general with a St. George's Cross on his neck stood just behind the priest's back, and without crossing himself (he was evidently a German) patiently awaited the end of the service, which he considered it necessary to hear to the end, probably to arouse the patriotism of the Russian people.	A bald general with a saint George's Cross on his neck stood just behind the priest's back, and without crossing himself (he was evidently a German) patiently awaited the end of the service, which he considered it necessary to hear to the end, probably to arouse the patriotism of the Russian people.	true	452.75	470.23	20.763716
3294_167609_000034_000006	Another general stood in a martial pose, crossing himself by shaking his hand in front of his chest while looking about him.	Another general stood in a martial pose, crossing himself by shaking his hand in front of his chest while looking about him.	true	470.66	478.03	19.675886
3294_167609_000034_000007	Standing among the crowd of peasants, Pierre recognized several acquaintances among these notables, but did not look at them--his whole attention was absorbed in watching the serious expression on the faces of the crowd of soldiers and militiamen who were all gazing eagerly at the icon.	Standing among the crowd of peasants, Pierre recognized several acquaintances among these notables, but did not look at them-his whole attention was absorbed in watching the serious expression on the faces of the crowd of soldiers and militiamen who were all gazing eagerly at the icon.	true	478.58	496.39	19
3294_167609_000034_000008	As soon as the tired chanters, who were singing the service for the twentieth time that day, began lazily and mechanically to sing: "Save from calamity Thy servants, O Mother of God," and the priest and deacon chimed in: "For to Thee under God we all flee as to an inviolable bulwark and protection," there again kindled in all those faces the same expression of consciousness of the solemnity of the impending moment that Pierre had seen on the faces at the foot of the hill at Mozhaysk and momentarily on many and many faces he had met that morning; and heads were bowed more frequently and hair tossed back, and sighs and the sound men made as they crossed themselves were heard.	As soon as the tired chanters, who were singing the service for the twentieth time that day, began lazily and mechanically to sing: "Save from calamity Thy servants, O Mother of God," and the priest and deacon chimed in: "For to Thee under God we all flee as to an inviolable bulwark and protection," there again kindled in all those faces the same expression of consciousness of the solemnity of the impending moment that Pierre had seen on the faces at the foot of the hill at Mozhaysk and momentarily on many and many faces he had met that morning; and heads were bowed more frequently and hair tossed back, and sighs and the sound men made as they crossed themselves were heard.	false	496.79	540.37	19.480465
3294_167609_000035_000000	The crowd round the icon suddenly parted and pressed against Pierre.	The crowd round the icon suddenly parted and pressed against Pierre.	true	541.31	545.44	20.650415
3294_167609_000035_000001	Someone, a very important personage judging by the haste with which way was made for him, was approaching the icon.	Someone, a very important personage judging by the haste with which way was made for him, was approaching the icon.	true	545.6	553.24	20.64797
3294_167609_000036_000000	It was Kutuzov, who had been riding round the position and on his way back to Tatarinova had stopped where the service was being held.	It was Kutuzov, who had been riding round the position and on his way back to Tatarinova had stopped where the service was being held.	true	554.81	563.41	19.017315
3294_167609_000036_000001	Pierre recognized him at once by his peculiar figure, which distinguished him from everybody else.	Pierre recognized him at once by his peculiar figure, which distinguished him from everybody else.	true	563.63	569.8	23.03747
3294_167609_000037_000000	With a long overcoat on his exceedingly stout, round-shouldered body, with uncovered white head and puffy face showing the white ball of the eye he had lost, Kutuzov walked with plunging, swaying gait into the crowd and stopped behind the priest.	With a long overcoat on his exceedingly stout, round shouldered body, with uncovered white head and puffy face showing the white ball of the eye he had lost, Kutuzov walked with plunging, swaying gait into the crowd and stopped behind the priest.	true	570.02	586.33	21.214775
3294_167609_000037_000001	He crossed himself with an accustomed movement, bent till he touched the ground with his hand, and bowed his white head with a deep sigh.	He crossed himself with an accustomed movement, bent till he touched the ground with his hand, and bowed his white head with a deep sigh.	true	586.49	593.95	21.285826
3294_167609_000037_000002	Behind Kutuzov was Bennigsen and the suite.	Behind Kutuzov was Bennigsen and the suite.	true	594.47	597.7	21.499117
3294_167609_000037_000003	Despite the presence of the commander-in-chief, who attracted the attention of all the superior officers, the militiamen and soldiers continued their prayers without looking at him.	Despite the presence of the commander in chief, who attracted the attention of all the superior officers, the militiamen and soldiers continued their prayers without looking at him.	true	597.86	607.57	21.034021
3294_167609_000038_000000	When the service was over, Kutuzov stepped up to the icon, sank heavily to his knees, bowed to the ground, and for a long time tried vainly to rise, but could not do so on account of his weakness and weight.	When the service was over, Kutuzov stepped up to the icon, sank heavily to his knees, bowed to the ground, and for a long time tried vainly to rise, but could not do so on account of his weakness and weight.	false	607.85	620.56	20.360357
3294_167609_000038_000001	His white head twitched with the effort.	His white head twitched with the effort.	true	620.75	623.055	24.81861
3294_167609_000038_000002	At last he rose, kissed the icon as a child does with naively pouting lips, and again bowed till he touched the ground with his hand.	At last he rose, kissed the icon as a child does with naively pouting lips, and again bowed till he touched the ground with his hand.	false	623.055	632.56	22.562384
3294_167609_000038_000003	The other generals followed his example, then the officers, and after them with excited faces, pressing on one another, crowding, panting, and pushing, scrambled the soldiers and militiamen.	The other generals followed his example, then the officers, and after them with excited faces, pressing on one another, crowding, panting, and pushing, scrambled the soldiers and militiamen.	false	633.14	645.42	20.469906
3294_167609_000039_000000	CHAPTER XXII	CHAPTER twenty two	false	645.42	647.52	22.035686
3294_167609_000040_000000	Staggering amid the crush, Pierre looked about him.	Staggering amid the crush, Pierre looked about him.	false	647.52	648.03	12
3294_167609_000041_000000	"Count Peter Kirilovich!	"Count peter Kirilovich!	false	648.03	648.21	16
3294_167609_000041_000001	How did you get here?" said a voice.	How did you get here?" said a voice.	false	648.21	648.72	8
3294_167609_000042_000000	Pierre looked round.	Pierre looked round.	false	648.72	648.93	8
3294_167609_000042_000001	Boris Drubetskoy, brushing his knees with his hand (he had probably soiled them when he, too, had knelt before the icon), came up to him smiling.	Boris Drubetskoy, brushing his knees with his hand (he had probably soiled them when he, too, had knelt before the icon), came up to him smiling.	false	648.93	650.22	12
3294_167609_000042_000002	Boris was elegantly dressed, with a slightly martial touch appropriate to a campaign.	Boris was elegantly dressed, with a slightly martial touch appropriate to a campaign.	false	650.22	650.22	
3294_167609_000042_000003	He wore a long coat and like Kutuzov had a whip slung across his shoulder.	He wore a long coat and like Kutuzov had a whip slung across his shoulder.	false	650.22	652.53	17.90468
