6120_14976_000001_000000	CHAPTER XXIV	CHAPTER twenty four
6120_14976_000007_000000	"All the better for that, no doubt," said Guardy Lud thoughtfully, watching Jane Bristol's sweet smile as she talked over some committee plans with Allison.	"All the better for that, no doubt," said Guardy Lud thoughtfully, watching Jane Bristol's sweet smile as she talked over some committee plans with Allison.
6120_14976_000007_000001	"I should say they were about as wholesome a couple of young people as could be found to match your two.	"I should say they were about as wholesome a couple of young people as could be found to match your two.
6120_14976_000007_000003	I'm entirely satisfied with the work you're doing, Miss Cloud.	I'm entirely satisfied with the work you're doing, Miss Cloud.
6120_14976_000007_000004	I couldn't have found a better mother for 'em if I'd searched heaven, I'm sure."	I couldn't have found a better mother for 'em if I'd searched heaven, I'm sure."
6120_14976_000008_000000	And so Julia Cloud was well content to go on with her beloved work as home-maker.	And so Julia Cloud was well content to go on with her beloved work as home maker.
6120_14976_000010_000000	Allison arose and went down the terrace to do the honors, showing his uncle where to drive in and put his car in the little garage, helping his aunt and the little cousins to alight.	Allison arose and went down the terrace to do the honors, showing his uncle where to drive in and put his car in the little garage, helping his aunt and the little cousins to alight.
6120_14976_000011_000001	"I should think 'twould take all your time to keep clean.	"I should think 'twould take all your time to keep clean.
6120_14976_000011_000002	What's the idea in making a sidewalk of your front porch?	What's the idea in making a sidewalk of your front porch?
6120_14976_000011_000003	Looks as if some crazy person had built it.	Looks as if some crazy person had built it.
6120_14976_000011_000004	Couldn't you find anything better than this in the town?	Couldn't you find anything better than this in the town?
6120_14976_000011_000005	I saw some real pretty frame houses with gardens as we came through."	I saw some real pretty frame houses with gardens as we came through."
6120_14976_000012_000000	"We like this very well," said Julia Cloud with her old patient smile and the hurt flush that always accompanied her answers to her sister's contempt.	"We like this very well," said Julia Cloud with her old patient smile and the hurt flush that always accompanied her answers to her sister's contempt.
6120_14976_000012_000002	She likes to keep them bright.	She likes to keep them bright.
6120_14976_000013_000001	No paper on the wall!	No paper on the wall!
6120_14976_000013_000002	That's queer, isn't it?	That's queer, isn't it?
6120_14976_000013_000003	And the chimney right in the room!	And the chimney right in the room!
6120_14976_000014_000000	Leslie took the children up-stairs to wash their faces and freshen up, and Julia Cloud led her sister to the lovely guest-room that was always in perfect order.	Leslie took the children up stairs to wash their faces and freshen up, and Julia Cloud led her sister to the lovely guest room that was always in perfect order.
6120_14976_000015_000000	"Well, you certainly have things well fixed," said Ellen grudgingly. "What easy little stairs!	"Well, you certainly have things well fixed," said Ellen grudgingly. "What easy little stairs!
6120_14976_000015_000001	It's like child's play going up.	It's like child's play going up.
6120_14976_000015_000002	I suppose that's one consolation for having such a little playhouse affair to live in; you don't have to climb up far.	I suppose that's one consolation for having such a little playhouse affair to live in; you don't have to climb up far.
6120_14976_000015_000003	Well, we've come to stay two days if you want us.	Well, we've come to stay two days if you want us.
6120_14976_000015_000004	Herbert said he could spare that much time off, and we're going to stop in Thayerville on the way back and see his folks a couple of days; and that'll be a week.	Herbert said he could spare that much time off, and we're going to stop in Thayerville on the way back and see his folks a couple of days; and that'll be a week.
6120_14976_000015_000005	Now, if you don't want us, say so, and we'll go on to-night.	Now, if you don't want us, say so, and we'll go on to night.
6120_14976_000015_000006	It isn't as if we couldn't go when we like, you know."	It isn't as if we couldn't go when we like, you know."
6120_14976_000016_000000	But Julia Cloud was genuinely glad to see her sister, and said so heartily enough to satisfy even so jealous a nature as Ellen's; and so presently they were walking about the pretty rooms together, and Ellen was taking in all the beauties of the home.	But Julia Cloud was genuinely glad to see her sister, and said so heartily enough to satisfy even so jealous a nature as Ellen's; and so presently they were walking about the pretty rooms together, and Ellen was taking in all the beauties of the home.
6120_14976_000017_000000	"And this is your bedroom!" she paused in the middle of the rose-and-gray room, and looked about her, taking in every little detail with an eye that would put it away for remembrance long afterwards.	"And this is your bedroom!" she paused in the middle of the rose and gray room, and looked about her, taking in every little detail with an eye that would put it away for remembrance long afterwards.
6120_14976_000017_000001	"Well, they certainly have feathered your nest well!" she declared as her eyes rested on the luxury everywhere.	"Well, they certainly have feathered your nest well!" she declared as her eyes rested on the luxury everywhere.
6120_14976_000017_000002	"Though I don't like that painted furniture much myself," she said as she glanced at the French gray enamel of the bed; "but I suppose it's all right if that's the kind of thing you like.	"Though I don't like that painted furniture much myself," she said as she glanced at the French gray enamel of the bed; "but I suppose it's all right if that's the kind of thing you like.
6120_14976_000017_000003	Was it some of their old furniture from California?"	Was it some of their old furniture from California?"
6120_14976_000018_000000	"Oh, no," said Julia Cloud quickly, the pretty flush coming in her cheeks.	"Oh, no," said Julia Cloud quickly, the pretty flush coming in her cheeks.
6120_14976_000018_000001	"Everything was bought new except a few little bits of mahogany down-stairs.	"Everything was bought new except a few little bits of mahogany down stairs.
6120_14976_000018_000002	We had such fun choosing it, too.	We had such fun choosing it, too.
6120_14976_000018_000003	Don't you like my furniture?	Don't you like my furniture?
6120_14976_000018_000006	It's real French enamel, you know, and happens to be a craze of fashion at present.	It's real French enamel, you know, and happens to be a craze of fashion at present.
6120_14976_000018_000007	I thought it was ridiculous to buy it, but Leslie insisted that it was the only thing for my room; and those crazy, extravagant children went and bought it when I had my head turned."	I thought it was ridiculous to buy it, but Leslie insisted that it was the only thing for my room; and those crazy, extravagant children went and bought it when I had my head turned."
6120_14976_000019_000000	"You don't say!" said Ellen Robinson, putting a hard, investigating finger on the foot-board.	"You don't say!" said Ellen Robinson, putting a hard, investigating finger on the foot board.
6120_14976_000019_000001	"Well, it does seem sort of smooth.	"Well, it does seem sort of smooth.
6120_14976_000019_000002	But I never thought my cane-seat chairs were much.	But I never thought my cane seat chairs were much.
6120_14976_000019_000004	What's that out there, a porch?"	What's that out there, a porch?"
6120_14976_000020_000000	Julia Cloud led her out to the upper porch with its rush rugs, willow chairs, and table, and its stone wall crowned with blooming plants and trailing vines.	Julia Cloud led her out to the upper porch with its rush rugs, willow chairs, and table, and its stone wall crowned with blooming plants and trailing vines.
6120_14976_000020_000001	She showed her the bird's nest in the tree overhead.	She showed her the bird's nest in the tree overhead.
6120_14976_000021_000000	"Well," said Ellen half sourly, "I suppose there's no chance of your getting sick of it all and coming back, and I must say I don't blame you.	"Well," said Ellen half sourly, "I suppose there's no chance of your getting sick of it all and coming back, and I must say I don't blame you.
6120_14976_000021_000001	It certainly is a contrast from the way you've lived up to now. But these children will grow up and get married, and then where will you be?	It certainly is a contrast from the way you've lived up to now. But these children will grow up and get married, and then where will you be?
6120_14976_000021_000002	I suppose you have chances here of getting married, haven't you?"	I suppose you have chances here of getting married, haven't you?"
6120_14976_000023_000000	"I'm not looking for such chances, Ellen," she said decidedly.	"I'm not looking for such chances, Ellen," she said decidedly.
6120_14976_000023_000002	I'm happier as I am."	I'm happier as I am."
6120_14976_000024_000000	"Yes, but after these children are married what'll you do?	"Yes, but after these children are married what'll you do?
6120_14976_000024_000001	Who'll support you?"	Who'll support you?"
6120_14976_000025_000000	"Don't let that worry you, Ellen, There are other children, and I love to mother them.	"Don't let that worry you, Ellen, There are other children, and I love to mother them.
6120_14976_000025_000001	But as far as support is concerned I'm putting away money in the bank constantly, more than I ever expected to have all together in life; and I shall not trouble anybody for support. However, I hope to be able to work for a good many years yet, and what I'm doing now I love.	But as far as support is concerned I'm putting away money in the bank constantly, more than I ever expected to have all together in life; and I shall not trouble anybody for support. However, I hope to be able to work for a good many years yet, and what I'm doing now I love.
6120_14976_000025_000002	Shall we go down-stairs?"	Shall we go down stairs?"
6120_14976_000026_000001	"I suppose they have by this time."	"I suppose they have by this time."
6120_14976_000027_000000	"They have a great many young friends, and we have beautiful times together.	"They have a great many young friends, and we have beautiful times together.
6120_14976_000027_000001	But you won't see many of them now.	But you won't see many of them now.
6120_14976_000027_000002	College closed last week."	College closed last week."
6120_14976_000029_000000	"Cloudy, dear, what makes such a difference in people?	"Cloudy, dear, what makes such a difference in people?
6120_14976_000029_000001	Why are some so much harder to make have a good time than others?	Why are some so much harder to make have a good time than others?
6120_14976_000029_000002	Why, I feel as if I'd lived years since day before yesterday, and I don't feel as if they'd half enjoyed anything.	Why, I feel as if I'd lived years since day before yesterday, and I don't feel as if they'd half enjoyed anything.
6120_14976_000029_000003	I really wanted to make them happy, for I felt as if we'd taken so much from them when we took you; but I just seemed to fail, everything I did."	I really wanted to make them happy, for I felt as if we'd taken so much from them when we took you; but I just seemed to fail, everything I did."
6120_14976_000030_000000	Julia Cloud smiled.	Julia Cloud smiled.
6120_14976_000031_000000	"I don't know what it is, dear, unless it is that some people have different ideals and standards from other people, and they can't find their pleasure the same way.	"I don't know what it is, dear, unless it is that some people have different ideals and standards from other people, and they can't find their pleasure the same way.
6120_14976_000031_000001	Your Aunt Ellen always wanted to have a lot of people around, and liked to go to tea-parties and dress a great deal; and she never cared for reading or study or music.	Your Aunt Ellen always wanted to have a lot of people around, and liked to go to tea parties and dress a great deal; and she never cared for reading or study or music.
6120_14976_000031_000002	But I think you're mistaken about their not having had a good time.	But I think you're mistaken about their not having had a good time.
6120_14976_000031_000003	They appreciated your trying to do things for them, I know, for Aunt Ellen said to me that you were a very thoughtful girl.	They appreciated your trying to do things for them, I know, for Aunt Ellen said to me that you were a very thoughtful girl.
6120_14976_000031_000004	And the children enjoyed the victrola, especially the funny records.	And the children enjoyed the victrola, especially the funny records.
6120_14976_000031_000005	Herbert liked it that Allison let him drive his car when they went out.	Herbert liked it that Allison let him drive his car when they went out.
6120_14976_000032_000000	"Did she truly say that, Cloudy?" twinkled Leslie.	"Did she truly say that, Cloudy?" twinkled Leslie.
6120_14976_000032_000001	"Isn't she funny?" They both broke down and laughed.	"Isn't she funny?" They both broke down and laughed.
6120_14976_000033_000000	"But I'm glad they came, Cloudy.	"But I'm glad they came, Cloudy.
6120_14976_000033_000002	It was nice to play with the children, and nice to have a home to show our relatives, and nicest of all to have them see you--how beautiful you are at the head of the house."	It was nice to play with the children, and nice to have a home to show our relatives, and nicest of all to have them see you-how beautiful you are at the head of the house."
6120_14976_000034_000000	"Dear, flattering child!" said Julia Cloud lovingly.	"Dear, flattering child!" said Julia Cloud lovingly.
6120_14976_000034_000001	"It is so good to know you feel that way!	"It is so good to know you feel that way!
6120_14976_000034_000002	But now here comes Allison, and we must finish up our plans for the trip and get ready to close the house for the summer."	But now here comes Allison, and we must finish up our plans for the trip and get ready to close the house for the summer."
6120_14976_000036_000001	"I don't see any place as nice as our town, do you, Cloudy?	"I don't see any place as nice as our town, do you, Cloudy?
6120_14976_000036_000002	And I don't feel quite right anywhere but home on Sunday, do you?	And I don't feel quite right anywhere but home on Sunday, do you?
6120_14976_000036_000003	For, really, all the Christian Endeavor societies I've been to this summer acted as if their members were all away on vacations and they didn't care whether school kept or not."	For, really, all the Christian Endeavor societies I've been to this summer acted as if their members were all away on vacations and they didn't care whether school kept or not."
6120_14976_000037_000000	And so they went home to begin another happy winter.	And so they went home to begin another happy winter.
6120_14976_000037_000001	But the very first day there came a rift in their happiness in the shape of the new professor of chemistry, a man about Julia Cloud's age, whom Ellen Robinson had met on her visit to Thayerville, and told about her sister.	But the very first day there came a rift in their happiness in the shape of the new professor of chemistry, a man about Julia Cloud's age, whom Ellen Robinson had met on her visit to Thayerville, and told about her sister.
6120_14976_000037_000002	Ellen had suggested that maybe he could get her sister to take him to board!	Ellen had suggested that maybe he could get her sister to take him to board!
6120_14976_000038_000000	To this day Julia Cloud has never decided whether Ellen really thought Julia would take a professor from the college to board, or whether she just sent him there as a joke.	To this day Julia Cloud has never decided whether Ellen really thought Julia would take a professor from the college to board, or whether she just sent him there as a joke.
6120_14976_000038_000001	There was a third solution, which Julia Cloud kept in the back of her mind and only took out occasionally with an angry, troubled look when she was very much annoyed.	There was a third solution, which Julia Cloud kept in the back of her mind and only took out occasionally with an angry, troubled look when she was very much annoyed.
6120_14976_000038_000002	It was that Ellen was still anxious to have her sister get married, and she had taken this way to get her acquainted with a man whom she thought a "good match".	It was that Ellen was still anxious to have her sister get married, and she had taken this way to get her acquainted with a man whom she thought a "good match".
6120_14976_000039_000002	No, indeed!	No, indeed!
6120_14976_000040_000000	But Professor Armitage, like everybody else who came once to Cloudy Villa, liked it, and begged a thousand pardons for presuming, but came again and again, until even the children began to like him in a way, and did not in the least mind having him around.	But Professor Armitage, like everybody else who came once to Cloudy Villa, liked it, and begged a thousand pardons for presuming, but came again and again, until even the children began to like him in a way, and did not in the least mind having him around.
