2238_121415_000000_000000	"Where?" asked Porthos, filling a second glass of wine.	"Where?" asked Porthos, filling a second glass of wine.	false	0	2.43	19.461515
2238_121415_000021_000000	The fact was, in leaving Notre Dame the coadjutor had learned the event of the day.	The fact was, in leaving Notre Dame the coadjutor had learned the event of the day.	false	285.35	290.68	21.159153
2238_121415_000021_000001	Although almost engaged to the leaders of the Fronde he had not gone so far but that retreat was possible should the court offer him the advantages for which he was ambitious and to which the coadjutorship was but a stepping-stone.	Although almost engaged to the leaders of the Fronde he had not gone so far but that retreat was possible should the court offer him the advantages for which he was ambitious and to which the coadjutorship was but a stepping stone.	true	291.62	305.47	21.526167
2238_121415_000021_000002	Monsieur de Retz wished to become archbishop in his uncle's place, and cardinal, like Mazarin; and the popular party could with difficulty accord him favors so entirely royal.	Monsieur de Retz wished to become archbishop in his uncle's place, and cardinal, like Mazarin; and the popular party could with difficulty accord him favors so entirely royal.	true	306.02	316.87	22.729044
2238_121415_000021_000003	He therefore hastened to the palace to congratulate the queen on the battle of Lens, determined beforehand to act with or against the court, as his congratulations were well or ill received.	He therefore hastened to the palace to congratulate the queen on the battle of Lens, determined beforehand to act with or against the court, as his congratulations were well or ill received.	true	317.81	330.43	21.187601
2238_121415_000022_000000	The coadjutor possessed, perhaps, as much wit as all those put together who were assembled at the court to laugh at him.	The coadjutor possessed, perhaps, as much wit as all those put together who were assembled at the court to laugh at him.	true	330.92	338.02	21.511063
2238_121415_000022_000001	His speech, therefore, was so well turned, that in spite of the great wish felt by the courtiers to laugh, they could find no point on which to vent their ridicule.	His speech, therefore, was so well turned, that in spite of the great wish felt by the courtiers to laugh, they could find no point on which to vent their ridicule.	true	338.57	348.37	23.788717
2238_121415_000022_000002	He concluded by saying that he placed his feeble influence at her majesty's command.	He concluded by saying that he placed his feeble influence at her majesty's command.	true	348.86	354.19	21.686811
2238_121415_000023_000000	During the whole time he was speaking, the queen appeared to be well pleased with the coadjutor's harangue; but terminating as it did with such a phrase, the only one which could be caught at by the jokers, Anne turned around and directed a glance toward her favorites, which announced that she delivered up the coadjutor to their tender mercies. Immediately the wits of the court plunged into satire.	During the whole time he was speaking, the queen appeared to be well pleased with the coadjutor's harangue; but terminating as it did with such a phrase, the only one which could be caught at by the jokers, Anne turned around and directed a glance toward her favorites, which announced that she delivered up the coadjutor to their tender mercies. Immediately the wits of the court plunged into satire.	false	355.43	380.89	20.986088
2238_121415_000023_000001	Nogent-Beautin, the fool of the court, exclaimed that "the queen was very happy to have the succor of religion at such a moment." This caused a universal burst of laughter.	Nogent Beautin, the fool of the court, exclaimed that "the queen was very happy to have the succor of religion at such a moment." This caused a universal burst of laughter.	false	381.71	393.31	20.330143
2238_121415_000023_000002	The Count de Villeroy said that "he did not know how any fear could be entertained for a moment, when the court had, to defend itself against the parliament and the citizens of Paris, his holiness the coadjutor, who by a signal could raise an army of curates, church porters and vergers."	The Count de Villeroy said that "he did not know how any fear could be entertained for a moment, when the court had, to defend itself against the parliament and the citizens of Paris, his holiness the coadjutor, who by a signal could raise an army of curates, church porters and vergers."	true	394.52	412.87	21.599026
2238_121415_000024_000000	The Marechal de la Meilleraie added that in case the coadjutor should appear on the field of battle it would be a pity that he should not be distinguished in the melee by wearing a red hat, as Henry IV. had been distinguished by his white plume at the battle of Ivry.	The Marechal de la Meilleraie added that in case the coadjutor should appear on the field of battle it would be a pity that he should not be distinguished in the melee by wearing a red hat, as Henry the fourth. had been distinguished by his white plume at the battle of Ivry.	true	414.56	431.23	20.382816
2238_121415_000025_000000	During this storm, Gondy, who had it in his power to make it most unpleasant for the jesters, remained calm and stern.	During this storm, Gondy, who had it in his power to make it most unpleasant for the jesters, remained calm and stern.	true	432.86	440.56	20.659868
2238_121415_000025_000001	The queen at last asked him if he had anything to add to the fine discourse he had just made to her.	The queen at last asked him if he had anything to add to the fine discourse he had just made to her.	true	441.02	446.92	21
2238_121415_000026_000000	"Yes, madame," replied the coadjutor; "I have to beg you to reflect twice ere you cause a civil war in the kingdom."	"Yes, madame," replied the coadjutor; "I have to beg you to reflect twice ere you cause a civil war in the kingdom."	true	448.91	456.82	21.393106
2238_121415_000027_000000	The queen turned her back and the laughing recommenced.	The queen turned her back and the laughing recommenced.	true	458.51	461.98	18.822453
2238_121415_000028_000000	The coadjutor bowed and left the palace, casting upon the cardinal such a glance as is best understood by mortal foes.	The coadjutor bowed and left the palace, casting upon the cardinal such a glance as is best understood by mortal foes.	true	462.98	471.07	21.236244
2238_121415_000028_000001	That glance was so sharp that it penetrated the heart of Mazarin, who, reading in it a declaration of war, seized D'Artagnan by the arm and said:	That glance was so sharp that it penetrated the heart of Mazarin, who, reading in it a declaration of war, seized D'Artagnan by the arm and said:	true	471.35	482.53	20.81201
2238_121415_000029_000000	"If occasion requires, monsieur, you will remember that man who has just gone out, will you not?"	"If occasion requires, monsieur, you will remember that man who has just gone out, will you not?"	true	483.89	489.49	21.821562
2238_121415_000030_000000	"Yes, my lord," he replied.	"Yes, my lord," he replied.	true	490.19	491.95	22.111673
2238_121415_000030_000001	Then, turning toward Porthos, "The devil!" said he, "this has a bad look.	Then, turning toward Porthos, "The devil!" said he, "this has a bad look.	true	492.44	497.17	22.118578
2238_121415_000030_000002	I dislike these quarrels among men of the church."	I dislike these quarrels among men of the church."	true	497.27	500.05	23.935593
2238_121415_000031_000000	Gondy withdrew, distributing benedictions on his way, and finding a malicious satisfaction in causing the adherents of his foes to prostrate themselves at his feet.	Gondy withdrew, distributing benedictions on his way, and finding a malicious satisfaction in causing the adherents of his foes to prostrate themselves at his feet.	true	501.29	512.32	19.684027
2238_121415_000032_000000	"Oh!" he murmured, as he left the threshold of the palace: "ungrateful court! faithless court! cowardly court!	"Oh!" he murmured, as he left the threshold of the palace: "ungrateful court! faithless court! cowardly court!	true	512.93	519.94	20.167057
2238_121415_000032_000001	I will teach you how to laugh to-morrow--but in another manner."	I will teach you how to laugh to morrow-but in another manner."	true	520.22	524.38	18.74745
2238_121415_000033_000000	But whilst they were indulging in extravagant joy at the Palais Royal, to increase the hilarity of the queen, Mazarin, a man of sense, and whose fear, moreover, gave him foresight, lost no time in making idle and dangerous jokes; he went out after the coadjutor, settled his account, locked up his gold, and had confidential workmen to contrive hiding places in his walls.	But whilst they were indulging in extravagant joy at the Palais Royal, to increase the hilarity of the queen, Mazarin, a man of sense, and whose fear, moreover, gave him foresight, lost no time in making idle and dangerous jokes; he went out after the coadjutor, settled his account, locked up his gold, and had confidential workmen to contrive hiding places in his walls.	true	525.47	549.85	22.283249
2238_121415_000034_000000	On his return home the coadjutor was informed that a young man had come in after his departure and was waiting for him; he started with delight when, on demanding the name of this young man, he learned that it was Louvieres.	On his return home the coadjutor was informed that a young man had come in after his departure and was waiting for him; he started with delight when, on demanding the name of this young man, he learned that it was Louvieres.	false	550.94	564.52	20.039234
2238_121415_000034_000001	He hastened to his cabinet.	He hastened to his cabinet.	true	565.4	567.16	22.01847
2238_121415_000034_000002	Broussel's son was there, still furious, and still bearing bloody marks of his struggle with the king's officers.	Broussel's son was there, still furious, and still bearing bloody marks of his struggle with the king's officers.	true	567.5	574.66	21.177732
2238_121415_000034_000003	The only precaution he had taken in coming to the archbishopric was to leave his arquebuse in the hands of a friend.	The only precaution he had taken in coming to the archbishopric was to leave his arquebuse in the hands of a friend.	true	575.24	582.58	24.440287
2238_121415_000035_000000	The coadjutor went to him and held out his hand.	The coadjutor went to him and held out his hand.	true	584.18	586.87	20
2238_121415_000035_000001	The young man gazed at him as if he would have read the secret of his heart.	The young man gazed at him as if he would have read the secret of his heart.	true	587.87	591.88	21.740076
2238_121415_000036_000000	"My dear Monsieur Louvieres," said the coadjutor, "believe me, I am truly concerned for the misfortune which has happened to you."	"My dear Monsieur Louvieres," said the coadjutor, "believe me, I am truly concerned for the misfortune which has happened to you."	true	592.16	599.74	20.165771
2238_121415_000037_000000	"Is that true, and do you speak seriously?" asked Louvieres.	"Is that true, and do you speak seriously?" asked Louvieres.	true	600.77	604.36	21.80703
2238_121415_000038_000000	"From the depth of my heart," said Gondy.	"From the depth of my heart," said Gondy.	true	604.94	607.15	23
2238_121415_000039_000000	"In that case, my lord, the time for words has passed and the hour for action is at hand; my lord, in three days, if you wish it, my father will be out of prison and in six months you may be cardinal."	"In that case, my lord, the time for words has passed and the hour for action is at hand; my lord, in three days, if you wish it, my father will be out of prison and in six months you may be cardinal."	true	608.33	619.9	20.245214
2238_121415_000040_000000	The coadjutor started.	The coadjutor started.	true	620.3	621.82	22.7706
2238_121415_000041_000000	"Oh! let us speak frankly," continued Louvieres, "and act in a straightforward manner.	"Oh! let us speak frankly," continued Louvieres, "and act in a straightforward manner.	true	622.19	627.25	21.352444
2238_121415_000041_000001	Thirty thousand crowns in alms is not given, as you have done for the last six months, out of pure Christian charity; that would be too grand.	Thirty thousand crowns in alms is not given, as you have done for the last six months, out of pure Christian charity; that would be too grand.	true	627.8	636.37	21.878576
2238_121415_000041_000002	You are ambitious--it is natural; you are a man of genius and you know your worth.	You are ambitious-it is natural; you are a man of genius and you know your worth.	true	636.53	642.1	19.392067
2238_121415_000041_000003	As for me, I hate the court and have but one desire at this moment--vengeance.	As for me, I hate the court and have but one desire at this moment-vengeance.	true	642.32	647.56	23.367147
2238_121415_000041_000004	Give us the clergy and the people, of whom you can dispose, and I will bring you the citizens and the parliament; with these four elements Paris is ours in a week; and believe me, monsieur coadjutor, the court will give from fear what it will not give from good-will."	Give us the clergy and the people, of whom you can dispose, and I will bring you the citizens and the parliament; with these four elements Paris is ours in a week; and believe me, monsieur coadjutor, the court will give from fear what it will not give from good will."	false	648.17	663.85	20.45816
2238_121415_000042_000000	It was now the coadjutor's turn to fix his piercing eyes on Louvieres.	It was now the coadjutor's turn to fix his piercing eyes on Louvieres.	true	665.24	669.22	15
2238_121415_000043_000000	"But, Monsieur Louvieres, are you aware that it is simply civil war you are proposing to me?"	"But, Monsieur Louvieres, are you aware that it is simply civil war you are proposing to me?"	true	670.61	675.88	18
2238_121415_000044_000000	"You have been preparing long enough, my lord, for it to be welcome to you now."	"You have been preparing long enough, my lord, for it to be welcome to you now."	true	676.76	681.22	21.530384
2238_121415_000045_000000	"Never mind," said the coadjutor; "you must be well aware that this requires reflection."	"Never mind," said the coadjutor; "you must be well aware that this requires reflection."	true	682.07	687.13	21.218916
2238_121415_000046_000000	"And how many hours of reflection do you ask?"	"And how many hours of reflection do you ask?"	true	687.98	690.97	20.519386
2238_121415_000047_000000	"Twelve hours, sir; is it too long?"	"Twelve hours, sir; is it too long?"	true	691.91	694.84	18.64912
2238_121415_000048_000000	"It is now noon; at midnight I will be at your house."	"It is now noon; at midnight I will be at your house."	true	695.54	699.73	19.282894
2238_121415_000049_000000	"If I should not be in, wait for me."	"If I should not be in, wait for me."	true	700.91	703.18	20.181852
2238_121415_000050_000000	"Good! at midnight, my lord."	"Good! at midnight, my lord."	true	703.73	705.91	24.324026
2238_121415_000051_000000	"At midnight, my dear Monsieur Louvieres."	"At midnight, my dear Monsieur Louvieres."	true	706.37	708.73	15
2238_121415_000052_000000	When once more alone Gondy sent to summon all the curates with whom he had any connection to his house.	When once more alone Gondy sent to summon all the curates with whom he had any connection to his house.	true	710.09	716.59	15.906213
2238_121415_000052_000001	Two hours later, thirty officiating ministers from the most populous, and consequently the most disturbed parishes of Paris had assembled there.	Two hours later, thirty officiating ministers from the most populous, and consequently the most disturbed parishes of Paris had assembled there.	true	717.59	727.33	20.433737
2238_121415_000052_000002	Gondy related to them the insults he had received at the Palais Royal and retailed the jests of Beautin, the Count de Villeroy and Marechal de la Meilleraie.	Gondy related to them the insults he had received at the Palais Royal and retailed the jests of Beautin, the Count de Villeroy and Marechal de la Meilleraie.	false	727.58	740.11	19.189035
2238_121415_000052_000003	The curates asked him what was to be done.	The curates asked him what was to be done.	true	741.29	743.56	22.80748
2238_121415_000053_000000	"Simply this," said the coadjutor.	"Simply this," said the coadjutor.	false	744.02	745.96	19.548973
2238_121415_000053_000001	"You are the directors of all consciences.	"You are the directors of all consciences.	true	746.54	749.11	23.567055
2238_121415_000053_000002	Well, undermine in them the miserable prejudice of respect and fear of kings; teach your flocks that the queen is a tyrant; and repeat often and loudly, so that all may know it, that the misfortunes of France are caused by Mazarin, her lover and her destroyer; begin this work to-day, this instant even, and in three days I shall expect the result.	Well, undermine in them the miserable prejudice of respect and fear of kings; teach your flocks that the queen is a tyrant; and repeat often and loudly, so that all may know it, that the misfortunes of France are caused by Mazarin, her lover and her destroyer; begin this work to day, this instant even, and in three days I shall expect the result.	true	749.3	773.89	21.340199
2238_121415_000053_000003	For the rest, if any one of you have further or better counsel to expound, I will listen to him with the greatest pleasure."	For the rest, if any one of you have further or better counsel to expound, I will listen to him with the greatest pleasure."	true	774.44	782.35	21.028252
2238_121415_000054_000000	Three curates remained--those of St. Merri, St. Sulpice and St. Eustache.	Three curates remained-those of st Merri, st Sulpice and st Eustache.	false	784.01	791.05	21.43058
2238_121415_000054_000001	The others withdrew.	The others withdrew.	true	791.21	794.14	16.25922
2238_121415_000055_000000	"You think, then, that you can help me more efficaciously than your brothers?" said Gondy.	"You think, then, that you can help me more efficaciously than your brothers?" said Gondy.	true	794.69	799.54	20
2238_121415_000056_000000	"We hope so," answered the curates.	"We hope so," answered the curates.	true	800.45	802.36	21.026533
2238_121415_000057_000000	"Let us hear.	"Let us hear.	true	803.42	804.43	20.608788
2238_121415_000057_000001	Monsieur de St. Merri, you begin."	Monsieur de st Merri, you begin."	false	805.25	807.76	18.318645
2238_121415_000058_000000	"My lord, I have in my parish a man who might be of the greatest use to you."	"My lord, I have in my parish a man who might be of the greatest use to you."	true	809.12	813.82	23.62443
2238_121415_000059_000000	"Who and what is this man?"	"Who and what is this man?"	true	814.76	816.31	20.744627
2238_121415_000060_000000	"A shopkeeper in the Rue des Lombards, who has great influence upon the commerce of his quarter."	"A shopkeeper in the Rue des Lombards, who has great influence upon the commerce of his quarter."	true	817.55	823.21	19.03146
2238_121415_000061_000000	"What is his name?"	"What is his name?"	true	823.91	825.13	22.52044
2238_121415_000062_000000	"He is named Planchet, who himself also caused a rising about six weeks ago; but as he was searched for after this emeute he disappeared."	"He is named Planchet, who himself also caused a rising about six weeks ago; but as he was searched for after this emeute he disappeared."	false	825.89	835.69	22.378431
2238_121415_000063_000000	"And can you find him?"	"And can you find him?"	true	837.35	838.78	21.748272
2238_121415_000064_000000	"I hope so.	"I hope so.	true	839.42	840.4	17.094358
2238_121415_000064_000001	I think he has not been arrested, and as I am his wife's confessor, if she knows where he is I shall know it too."	I think he has not been arrested, and as I am his wife's confessor, if she knows where he is I shall know it too."	false	841.19	850.05	19.344887
2238_121415_000065_000000	"Very well, sir, find this man, and when you have found him bring him to me."	"Very well, sir, find this man, and when you have found him bring him to me."	true	850.05	854.56	20.715641
2238_121415_000066_000000	"We will be with you at six o'clock, my lord."	"We will be with you at six o'clock, my lord."	true	855.83	858.22	25.433517
2238_121415_000067_000000	"Go, my dear curate, and may God assist you!"	"Go, my dear curate, and may God assist you!"	true	858.8	861.64	23.17322
2238_121415_000068_000000	"And you, sir?" continued Gondy, turning to the curate of St. Sulpice.	"And you, sir?" continued Gondy, turning to the curate of st Sulpice.	false	862.46	867.24	20.079544
2238_121415_000069_000000	"I, my lord," said the latter, "I know a man who has rendered great services to a very popular prince and who would make an excellent leader of revolt.	"I, my lord," said the latter, "I know a man who has rendered great services to a very popular prince and who would make an excellent leader of revolt.	true	867.24	877.09	17.4605
2238_121415_000069_000001	Him I can place at your disposal; it is Count de Rochefort."	Him I can place at your disposal; it is Count de Rochefort."	true	877.34	881.59	20.656044
2238_121415_000070_000000	"I know him also, but unfortunately he is not in Paris."	"I know him also, but unfortunately he is not in Paris."	true	882.62	886.51	19.849508
2238_121415_000071_000000	"My lord, he has been for three days at the Rue Cassette."	"My lord, he has been for three days at the Rue Cassette."	true	886.76	890.29	21.581688
2238_121415_000072_000000	"And wherefore has he not been to see me?"	"And wherefore has he not been to see me?"	true	891.29	893.8	23.96425
2238_121415_000073_000000	"He was told--my lord will pardon me----"	"He was told-my lord will pardon me----"	true	894.8	897.82	20.237968
2238_121415_000074_000000	"Certainly, speak."	"Certainly, speak."	true	898.1	899.74	26.292835
2238_121415_000075_000000	"That your lordship was about to treat with the court."	"That your lordship was about to treat with the court."	true	900.89	904.12	22.716343
2238_121415_000076_000000	Gondy bit his lips.	Gondy bit his lips.	true	904.73	906.19	20.996216
2238_121415_000077_000000	"They are mistaken; bring him here at eight o'clock, sir, and may Heaven bless you as I bless you!"	"They are mistaken; bring him here at eight o'clock, sir, and may Heaven bless you as I bless you!"	true	907.28	913.12	19.488745
2238_121415_000078_000000	"And now 'tis your turn," said the coadjutor, turning to the last that remained; "have you anything as good to offer me as the two gentlemen who have left us?"	"And now 'tis your turn," said the coadjutor, turning to the last that remained; "have you anything as good to offer me as the two gentlemen who have left us?"	false	914.06	922.57	20.998663
2238_121415_000079_000000	"Better, my lord."	"Better, my lord."	true	923.15	924.42	20.22442
2238_121415_000080_000000	"Diable! think what a solemn engagement you are making; one has offered a wealthy shopkeeper, the other a count; you are going, then, to offer a prince, are you?"	"Diable! think what a solemn engagement you are making; one has offered a wealthy shopkeeper, the other a count; you are going, then, to offer a prince, are you?"	false	924.42	935.56	22.59662
2238_121415_000081_000000	"I offer you a beggar, my lord."	"I offer you a beggar, my lord."	true	936.92	938.95	19.193825
2238_121415_000082_000000	"Ah! ah!" said Gondy, reflecting, "you are right, sir; some one who could raise the legion of paupers who choke up the crossings of Paris; some one who would know how to cry aloud to them, that all France might hear it, that it is Mazarin who has reduced them to poverty."	"Ah! ah!" said Gondy, reflecting, "you are right, sir; some one who could raise the legion of paupers who choke up the crossings of Paris; some one who would know how to cry aloud to them, that all France might hear it, that it is Mazarin who has reduced them to poverty."	false	939.17	956.32	21.382734
2238_121415_000083_000000	"Exactly your man."	"Exactly your man."	true	957.05	958.48	22.643896
2238_121415_000084_000000	"Bravo! and the man?"	"Bravo! and the man?"	true	958.61	960.01	16.918833
2238_121415_000085_000000	"A plain and simple beggar, as I have said, my lord, who asks for alms, as he gives holy water; a practice he has carried on for six years on the steps of St. Eustache."	"A plain and simple beggar, as I have said, my lord, who asks for alms, as he gives holy water; a practice he has carried on for six years on the steps of st Eustache."	false	960.92	973.03	22.273325
2238_121415_000086_000000	"And you say that he has a great influence over his compeers?"	"And you say that he has a great influence over his compeers?"	false	973.43	976.84	21
2238_121415_000087_000000	"Are you aware, my lord, that mendacity is an organized body, a kind of association of those who have nothing against those who have everything; an association in which every one takes his share; one that elects a leader?"	"Are you aware, my lord, that mendacity is an organized body, a kind of association of those who have nothing against those who have everything; an association in which every one takes his share; one that elects a leader?"	true	977.33	991.24	18.834816
2238_121415_000088_000000	"Yes, I have heard it said," replied the coadjutor.	"Yes, I have heard it said," replied the coadjutor.	true	992.51	995.65	21.441177
2238_121415_000089_000000	"Well, the man whom I offer you is a general syndic."	"Well, the man whom I offer you is a general syndic."	true	996.08	999.61	20
2238_121415_000090_000000	"And what do you know of him?"	"And what do you know of him?"	true	1000.91	1002.43	24.393171
2238_121415_000091_000000	"Nothing, my lord, except that he is tormented with remorse."	"Nothing, my lord, except that he is tormented with remorse."	true	1003.04	1007.17	21.751986
2238_121415_000092_000000	"What makes you think so?"	"What makes you think so?"	true	1007.93	1009.27	24.563766
2238_121415_000093_000000	"On the twenty-eighth of every month he makes me say a mass for the repose of the soul of one who died a violent death; yesterday I said this mass again."	"On the twenty eighth of every month he makes me say a mass for the repose of the soul of one who died a violent death; yesterday I said this mass again."	true	1010.84	1020.45	19.370338
2238_121415_000094_000000	"And his name?"	"And his name?"	false	1020.45	1022.7	11.372283
2238_121415_000095_000000	"Maillard; but I do not think it is his right one."	"Maillard; but I do not think it is his right one."	false	1022.7	1027.12	20.258587
2238_121415_000096_000000	"And think you that we should find him at this hour at his post?"	"And think you that we should find him at this hour at his post?"	true	1028.57	1031.77	21.584345
2238_121415_000097_000000	"Certainly."	"Certainly."	true	1031.9	1032.85	22.918962
2238_121415_000098_000000	"Let us go and see your beggar, sir, and if he is such as you describe him, you are right--it will be you who have discovered the true treasure."	"Let us go and see your beggar, sir, and if he is such as you describe him, you are right-it will be you who have discovered the true treasure."	true	1033.52	1042.6	20.075886
