2238_121415_000003_000000	45.	forty five.
2238_121415_000024_000000	The Marechal de la Meilleraie added that in case the coadjutor should appear on the field of battle it would be a pity that he should not be distinguished in the melee by wearing a red hat, as Henry IV. had been distinguished by his white plume at the battle of Ivry.	The Marechal de la Meilleraie added that in case the coadjutor should appear on the field of battle it would be a pity that he should not be distinguished in the melee by wearing a red hat, as Henry the fourth. had been distinguished by his white plume at the battle of Ivry.
2238_121415_000025_000000	During this storm, Gondy, who had it in his power to make it most unpleasant for the jesters, remained calm and stern.	During this storm, Gondy, who had it in his power to make it most unpleasant for the jesters, remained calm and stern.
2238_121415_000025_000001	The queen at last asked him if he had anything to add to the fine discourse he had just made to her.	The queen at last asked him if he had anything to add to the fine discourse he had just made to her.
2238_121415_000026_000000	"Yes, madame," replied the coadjutor; "I have to beg you to reflect twice ere you cause a civil war in the kingdom."	"Yes, madame," replied the coadjutor; "I have to beg you to reflect twice ere you cause a civil war in the kingdom."
2238_121415_000028_000000	The coadjutor bowed and left the palace, casting upon the cardinal such a glance as is best understood by mortal foes.	The coadjutor bowed and left the palace, casting upon the cardinal such a glance as is best understood by mortal foes.
2238_121415_000028_000001	That glance was so sharp that it penetrated the heart of Mazarin, who, reading in it a declaration of war, seized D'Artagnan by the arm and said:	That glance was so sharp that it penetrated the heart of Mazarin, who, reading in it a declaration of war, seized D'Artagnan by the arm and said:
2238_121415_000029_000000	"If occasion requires, monsieur, you will remember that man who has just gone out, will you not?"	"If occasion requires, monsieur, you will remember that man who has just gone out, will you not?"
2238_121415_000030_000000	"Yes, my lord," he replied.	"Yes, my lord," he replied.
2238_121415_000030_000001	Then, turning toward Porthos, "The devil!" said he, "this has a bad look.	Then, turning toward Porthos, "The devil!" said he, "this has a bad look.
2238_121415_000030_000002	I dislike these quarrels among men of the church."	I dislike these quarrels among men of the church."
2238_121415_000032_000000	"Oh!" he murmured, as he left the threshold of the palace: "ungrateful court! faithless court! cowardly court!	"Oh!" he murmured, as he left the threshold of the palace: "ungrateful court! faithless court! cowardly court!
2238_121415_000033_000000	But whilst they were indulging in extravagant joy at the Palais Royal, to increase the hilarity of the queen, Mazarin, a man of sense, and whose fear, moreover, gave him foresight, lost no time in making idle and dangerous jokes; he went out after the coadjutor, settled his account, locked up his gold, and had confidential workmen to contrive hiding places in his walls.	But whilst they were indulging in extravagant joy at the Palais Royal, to increase the hilarity of the queen, Mazarin, a man of sense, and whose fear, moreover, gave him foresight, lost no time in making idle and dangerous jokes; he went out after the coadjutor, settled his account, locked up his gold, and had confidential workmen to contrive hiding places in his walls.
2238_121415_000034_000001	He hastened to his cabinet.	He hastened to his cabinet.
2238_121415_000034_000002	Broussel's son was there, still furious, and still bearing bloody marks of his struggle with the king's officers.	Broussel's son was there, still furious, and still bearing bloody marks of his struggle with the king's officers.
2238_121415_000034_000003	The only precaution he had taken in coming to the archbishopric was to leave his arquebuse in the hands of a friend.	The only precaution he had taken in coming to the archbishopric was to leave his arquebuse in the hands of a friend.
2238_121415_000035_000000	The coadjutor went to him and held out his hand.	The coadjutor went to him and held out his hand.
2238_121415_000035_000001	The young man gazed at him as if he would have read the secret of his heart.	The young man gazed at him as if he would have read the secret of his heart.
2238_121415_000036_000000	"My dear Monsieur Louvieres," said the coadjutor, "believe me, I am truly concerned for the misfortune which has happened to you."	"My dear Monsieur Louvieres," said the coadjutor, "believe me, I am truly concerned for the misfortune which has happened to you."
2238_121415_000037_000000	"Is that true, and do you speak seriously?" asked Louvieres.	"Is that true, and do you speak seriously?" asked Louvieres.
2238_121415_000038_000000	"From the depth of my heart," said Gondy.	"From the depth of my heart," said Gondy.
2238_121415_000039_000000	"In that case, my lord, the time for words has passed and the hour for action is at hand; my lord, in three days, if you wish it, my father will be out of prison and in six months you may be cardinal."	"In that case, my lord, the time for words has passed and the hour for action is at hand; my lord, in three days, if you wish it, my father will be out of prison and in six months you may be cardinal."
2238_121415_000040_000000	The coadjutor started.	The coadjutor started.
2238_121415_000041_000000	"Oh! let us speak frankly," continued Louvieres, "and act in a straightforward manner.	"Oh! let us speak frankly," continued Louvieres, "and act in a straightforward manner.
2238_121415_000041_000001	Thirty thousand crowns in alms is not given, as you have done for the last six months, out of pure Christian charity; that would be too grand.	Thirty thousand crowns in alms is not given, as you have done for the last six months, out of pure Christian charity; that would be too grand.
2238_121415_000041_000003	As for me, I hate the court and have but one desire at this moment--vengeance.	As for me, I hate the court and have but one desire at this moment-vengeance.
2238_121415_000044_000000	"You have been preparing long enough, my lord, for it to be welcome to you now."	"You have been preparing long enough, my lord, for it to be welcome to you now."
2238_121415_000045_000000	"Never mind," said the coadjutor; "you must be well aware that this requires reflection."	"Never mind," said the coadjutor; "you must be well aware that this requires reflection."
2238_121415_000046_000000	"And how many hours of reflection do you ask?"	"And how many hours of reflection do you ask?"
2238_121415_000049_000000	"If I should not be in, wait for me."	"If I should not be in, wait for me."
2238_121415_000050_000000	"Good! at midnight, my lord."	"Good! at midnight, my lord."
2238_121415_000052_000001	Two hours later, thirty officiating ministers from the most populous, and consequently the most disturbed parishes of Paris had assembled there.	Two hours later, thirty officiating ministers from the most populous, and consequently the most disturbed parishes of Paris had assembled there.
2238_121415_000052_000003	The curates asked him what was to be done.	The curates asked him what was to be done.
2238_121415_000053_000001	"You are the directors of all consciences.	"You are the directors of all consciences.
2238_121415_000053_000002	Well, undermine in them the miserable prejudice of respect and fear of kings; teach your flocks that the queen is a tyrant; and repeat often and loudly, so that all may know it, that the misfortunes of France are caused by Mazarin, her lover and her destroyer; begin this work to-day, this instant even, and in three days I shall expect the result.	Well, undermine in them the miserable prejudice of respect and fear of kings; teach your flocks that the queen is a tyrant; and repeat often and loudly, so that all may know it, that the misfortunes of France are caused by Mazarin, her lover and her destroyer; begin this work to day, this instant even, and in three days I shall expect the result.
2238_121415_000053_000003	For the rest, if any one of you have further or better counsel to expound, I will listen to him with the greatest pleasure."	For the rest, if any one of you have further or better counsel to expound, I will listen to him with the greatest pleasure."
2238_121415_000055_000000	"You think, then, that you can help me more efficaciously than your brothers?" said Gondy.	"You think, then, that you can help me more efficaciously than your brothers?" said Gondy.
2238_121415_000056_000000	"We hope so," answered the curates.	"We hope so," answered the curates.
2238_121415_000057_000000	"Let us hear.	"Let us hear.
2238_121415_000058_000000	"My lord, I have in my parish a man who might be of the greatest use to you."	"My lord, I have in my parish a man who might be of the greatest use to you."
2238_121415_000059_000000	"Who and what is this man?"	"Who and what is this man?"
2238_121415_000061_000000	"What is his name?"	"What is his name?"
2238_121415_000063_000000	"And can you find him?"	"And can you find him?"
2238_121415_000065_000000	"Very well, sir, find this man, and when you have found him bring him to me."	"Very well, sir, find this man, and when you have found him bring him to me."
2238_121415_000066_000000	"We will be with you at six o'clock, my lord."	"We will be with you at six o'clock, my lord."
2238_121415_000067_000000	"Go, my dear curate, and may God assist you!"	"Go, my dear curate, and may God assist you!"
2238_121415_000069_000001	Him I can place at your disposal; it is Count de Rochefort."	Him I can place at your disposal; it is Count de Rochefort."
2238_121415_000071_000000	"My lord, he has been for three days at the Rue Cassette."	"My lord, he has been for three days at the Rue Cassette."
2238_121415_000072_000000	"And wherefore has he not been to see me?"	"And wherefore has he not been to see me?"
2238_121415_000073_000000	"He was told--my lord will pardon me----"	"He was told-my lord will pardon me----"
2238_121415_000074_000000	"Certainly, speak."	"Certainly, speak."
2238_121415_000075_000000	"That your lordship was about to treat with the court."	"That your lordship was about to treat with the court."
2238_121415_000076_000000	Gondy bit his lips.	Gondy bit his lips.
2238_121415_000079_000000	"Better, my lord."	"Better, my lord."
2238_121415_000083_000000	"Exactly your man."	"Exactly your man."
2238_121415_000088_000000	"Yes, I have heard it said," replied the coadjutor.	"Yes, I have heard it said," replied the coadjutor.
2238_121415_000089_000000	"Well, the man whom I offer you is a general syndic."	"Well, the man whom I offer you is a general syndic."
2238_121415_000090_000000	"And what do you know of him?"	"And what do you know of him?"
2238_121415_000091_000000	"Nothing, my lord, except that he is tormented with remorse."	"Nothing, my lord, except that he is tormented with remorse."
2238_121415_000092_000000	"What makes you think so?"	"What makes you think so?"
2238_121415_000096_000000	"And think you that we should find him at this hour at his post?"	"And think you that we should find him at this hour at his post?"
2238_121415_000097_000000	"Certainly."	"Certainly."
2238_121415_000098_000000	"Let us go and see your beggar, sir, and if he is such as you describe him, you are right--it will be you who have discovered the true treasure."	"Let us go and see your beggar, sir, and if he is such as you describe him, you are right-it will be you who have discovered the true treasure."
2238_121415_000099_000000	Gondy dressed himself as an officer, put on a felt cap with a red feather, hung on a long sword, buckled spurs to his boots, wrapped himself in an ample cloak and followed the curate.	Gondy dressed himself as an officer, put on a felt cap with a red feather, hung on a long sword, buckled spurs to his boots, wrapped himself in an ample cloak and followed the curate.
2238_121415_000100_000001	The people were in an excited mood, but, like a swarm of frightened bees, seemed not to know at what point to concentrate; and it was very evident that if leaders of the people were not provided all this agitation would pass off in idle buzzing.	The people were in an excited mood, but, like a swarm of frightened bees, seemed not to know at what point to concentrate; and it was very evident that if leaders of the people were not provided all this agitation would pass off in idle buzzing.
2238_121415_000101_000000	On arriving at the Rue des Prouvaires, the curate pointed toward the square before the church.	On arriving at the Rue des Prouvaires, the curate pointed toward the square before the church.
2238_121415_000102_000000	"Stop!" he said, "there he is at his post."	"Stop!" he said, "there he is at his post."
2238_121415_000105_000001	I believe this man paid his predecessor a hundred pistoles for his."	I believe this man paid his predecessor a hundred pistoles for his."
2238_121415_000106_000000	"The rascal is rich, then?"	"The rascal is rich, then?"
2238_121415_000107_000000	"Some of those men sometimes die worth twenty thousand and twenty-five and thirty thousand francs and sometimes more."	"Some of those men sometimes die worth twenty thousand and twenty five and thirty thousand francs and sometimes more."
2238_121415_000109_000000	In the meantime they were advancing toward the square, and the moment the coadjutor and the curate put their feet on the first church step the mendicant arose and proffered his brush.	In the meantime they were advancing toward the square, and the moment the coadjutor and the curate put their feet on the first church step the mendicant arose and proffered his brush.
2238_121415_000110_000000	He was a man between sixty-six and sixty-eight years of age, little, rather stout, with gray hair and light eyes.	He was a man between sixty six and sixty eight years of age, little, rather stout, with gray hair and light eyes.
2238_121415_000110_000001	His countenance denoted the struggle between two opposite principles--a wicked nature, subdued by determination, perhaps by repentance.	His countenance denoted the struggle between two opposite principles-a wicked nature, subdued by determination, perhaps by repentance.
2238_121415_000113_000000	"With me!" said the mendicant; "it is a great honor for a poor distributor of holy water."	"With me!" said the mendicant; "it is a great honor for a poor distributor of holy water."
2238_121415_000114_000000	There was an ironical tone in his voice which he could not quite disguise and which astonished the coadjutor.	There was an ironical tone in his voice which he could not quite disguise and which astonished the coadjutor.
2238_121415_000115_000000	"Yes," continued the curate, apparently accustomed to this tone, "yes, we wish to know your opinion of the events of to-day and what you have heard said by people going in and out of the church."	"Yes," continued the curate, apparently accustomed to this tone, "yes, we wish to know your opinion of the events of to day and what you have heard said by people going in and out of the church."
2238_121415_000116_000000	The mendicant shook his head.	The mendicant shook his head.
2238_121415_000117_000001	As to what is said, everybody is discontented, everybody complains, but 'everybody' means 'nobody.'"	As to what is said, everybody is discontented, everybody complains, but 'everybody' means 'nobody.'"
2238_121415_000119_000000	"I mean that all these cries, all these complaints, these curses, produce nothing but storms and flashes and that is all; but the lightning will not strike until there is a hand to guide it."	"I mean that all these cries, all these complaints, these curses, produce nothing but storms and flashes and that is all; but the lightning will not strike until there is a hand to guide it."
2238_121415_000120_000000	"My friend," said Gondy, "you seem to be a clever and a thoughtful man; are you disposed to take a part in a little civil war, should we have one, and put at the command of the leader, should we find one, your personal influence and the influence you have acquired over your comrades?"	"My friend," said Gondy, "you seem to be a clever and a thoughtful man; are you disposed to take a part in a little civil war, should we have one, and put at the command of the leader, should we find one, your personal influence and the influence you have acquired over your comrades?"
2238_121415_000121_000000	"Yes, sir, provided this war were approved of by the church and would advance the end I wish to attain--I mean, the remission of my sins."	"Yes, sir, provided this war were approved of by the church and would advance the end I wish to attain-I mean, the remission of my sins."
2238_121415_000122_000000	"The war will not only be approved of, but directed by the church.	"The war will not only be approved of, but directed by the church.
2238_121415_000122_000001	As for the remission of your sins, we have the archbishop of Paris, who has the very greatest power at the court of Rome, and even the coadjutor, who possesses some plenary indulgences; we will recommend you to him."	As for the remission of your sins, we have the archbishop of Paris, who has the very greatest power at the court of Rome, and even the coadjutor, who possesses some plenary indulgences; we will recommend you to him."
2238_121415_000126_000000	"I think they have some esteem for me," said the mendicant with pride, "and that not only will they obey me, but wherever I go they will follow me."	"I think they have some esteem for me," said the mendicant with pride, "and that not only will they obey me, but wherever I go they will follow me."
2238_121415_000127_000000	"And could you count on fifty resolute men, good, unemployed, but active souls, brawlers, capable of bringing down the walls of the Palais Royal by crying, 'Down with Mazarin,' as fell those at Jericho?"	"And could you count on fifty resolute men, good, unemployed, but active souls, brawlers, capable of bringing down the walls of the Palais Royal by crying, 'Down with Mazarin,' as fell those at Jericho?"
2238_121415_000128_000000	"I think," said the beggar, "I can undertake things more difficult and more important than that."	"I think," said the beggar, "I can undertake things more difficult and more important than that."
2238_121415_000130_000000	"I will undertake to throw up fifty, and when the day comes, to defend them."	"I will undertake to throw up fifty, and when the day comes, to defend them."
2238_121415_000132_000000	"I answer for him," said the curate.	"I answer for him," said the curate.
2238_121415_000134_000000	"It must be on some elevated place, whence a given signal may be seen in every part of Paris."	"It must be on some elevated place, whence a given signal may be seen in every part of Paris."
2238_121415_000136_000000	"Capital," answered the mendicant.	"Capital," answered the mendicant.
2238_121415_000137_000000	"Then," said the coadjutor, "this evening, at ten o'clock, and if I am pleased with you another bag of five hundred pistoles will be at your disposal."	"Then," said the coadjutor, "this evening, at ten o'clock, and if I am pleased with you another bag of five hundred pistoles will be at your disposal."
2238_121415_000138_000000	The eyes of the mendicant dashed with cupidity, but he quickly suppressed his emotion.	The eyes of the mendicant dashed with cupidity, but he quickly suppressed his emotion.
