2156_82458_000003_000000	CHAPTER IX.	CHAPTER nine.
2156_82458_000035_000000	When directly under the window, the "Kid" stuck his head out, saying: "Hello, Bob!"	When directly under the window, the "Kid" stuck his head out, saying: "Hello, Bob!"
2156_82458_000036_000001	He said, in a voice loud enough to be heard by Wall and the other prisoners across the street: "Yes, he has killed me, too!"	He said, in a voice loud enough to be heard by Wall and the other prisoners across the street: "Yes, he has killed me, too!"
2156_82458_000037_000000	These words were hardly out of the guard's mouth when the "Kid" fired a charge of buckshot into his heart.	These words were hardly out of the guard's mouth when the "Kid" fired a charge of buckshot into his heart.
2156_82458_000038_000000	Now "Billy the Kid" hobbled back to the armory and buckled around his waist two belts of cartridges and two Colt's pistols.	Now "Billy the Kid" hobbled back to the armory and buckled around his waist two belts of cartridges and two Colt's pistols.
2156_82458_000038_000001	Then taking a Winchester rifle in his hand, he hobbled back to the shot gun, which he picked up.	Then taking a Winchester rifle in his hand, he hobbled back to the shot gun, which he picked up.
2156_82458_000039_000001	Then the chain holding his feet close together was filed in two.	Then the chain holding his feet close together was filed in two.
2156_82458_000040_000000	When his legs were free, the "Kid" danced a jig on the little front porch, where many people, who had run out to the sidewalk across the street, on hearing the shots, were witnesses to this free show, which couldn't be beat for money.	When his legs were free, the "Kid" danced a jig on the little front porch, where many people, who had run out to the sidewalk across the street, on hearing the shots, were witnesses to this free show, which couldn't be beat for money.
2156_82458_000041_000000	Geiss was hailed again and told to saddle up Billy Burt's, the Deputy County Clerk's, black pony and bring him out on the street.	Geiss was hailed again and told to saddle up Billy Burt's, the Deputy County Clerk's, black pony and bring him out on the street.
2156_82458_000041_000001	This black pony had formerly belonged to the "Kid."	This black pony had formerly belonged to the "Kid."
2156_82458_000042_000000	When the pony stood on the street, ready for the last act, the "Kid" went down the back stairs, stepping over the dead body of Bell, and started to mount.	When the pony stood on the street, ready for the last act, the "Kid" went down the back stairs, stepping over the dead body of Bell, and started to mount.
2156_82458_000042_000001	Being encumbered with the weight of two pistols, two belts full of ammunition, and the rifle, the "Kid" was thrown to the ground, when the pony began bucking, before he had got into the saddle.	Being encumbered with the weight of two pistols, two belts full of ammunition, and the rifle, the "Kid" was thrown to the ground, when the pony began bucking, before he had got into the saddle.
2156_82458_000043_000000	Now the "Kid" faced the crowd across the street, holding the rifle ready for action.	Now the "Kid" faced the crowd across the street, holding the rifle ready for action.
2156_82458_000044_000000	Charlie Wall told the writer that he could have killed him with his pistol, but that he wanted to see him escape.	Charlie Wall told the writer that he could have killed him with his pistol, but that he wanted to see him escape.
2156_82458_000044_000001	Many other men in the crowd felt the same way, no doubt.	Many other men in the crowd felt the same way, no doubt.
2156_82458_000045_000000	When the pony was brought back the "Kid" gave Geiss his rifle to hold, while he mounted.	When the pony was brought back the "Kid" gave Geiss his rifle to hold, while he mounted.
2156_82458_000045_000001	The rifle being handed back to him when he was securely seated in the saddle, then he dug the pony in the sides with his heels, and galloped west.	The rifle being handed back to him when he was securely seated in the saddle, then he dug the pony in the sides with his heels, and galloped west.
