1066_5330_000001_000000	CHAPTER IV.	CHAPTER four.
1066_5330_000041_000001	After the delivery of the verdict, he took an oath in the justice-room, in the presence of his brother magistrates, that if he could find you he would deliver you up to justice, and that he would do it, though you might not turn up for ten years to come.	After the delivery of the verdict, he took an oath in the justice room, in the presence of his brother magistrates, that if he could find you he would deliver you up to justice, and that he would do it, though you might not turn up for ten years to come.
1066_5330_000041_000002	You know his disposition, Richard, and therefore may be sure he will keep it.	You know his disposition, Richard, and therefore may be sure he will keep it.
1066_5330_000041_000003	Indeed, it is most dangerous for you to be here."	Indeed, it is most dangerous for you to be here."
1066_5330_000042_000001	"If my health was delicate, causing my poor mother to indulge me, ought that to have been a reason for his ridiculing me on every possible occasion, public and private?	"If my health was delicate, causing my poor mother to indulge me, ought that to have been a reason for his ridiculing me on every possible occasion, public and private?
1066_5330_000042_000003	Barbara, I must be allowed an interview with my mother."	Barbara, I must be allowed an interview with my mother."
1066_5330_000043_000000	Barbara Hare reflected before she spoke.	Barbara Hare reflected before she spoke.
1066_5330_000044_000000	"Why can't she come out to me as you have done?	"Why can't she come out to me as you have done?
1066_5330_000044_000001	Is she up, or in bed?"	Is she up, or in bed?"
1066_5330_000045_000000	"It is impossible to think of it to-night," returned Barbara in an alarmed tone.	"It is impossible to think of it to night," returned Barbara in an alarmed tone.
1066_5330_000046_000000	"It is hard to have been separated from her for eighteen months, and to go back without seeing her," returned Richard.	"It is hard to have been separated from her for eighteen months, and to go back without seeing her," returned Richard.
1066_5330_000046_000001	"And about the money?	"And about the money?
1066_5330_000046_000002	It is a hundred pounds that I want."	It is a hundred pounds that I want."
1066_5330_000047_000001	I am terrified for your safety.	I am terrified for your safety.
1066_5330_000048_000000	"Who is to prove it?	"Who is to prove it?
1066_5330_000049_000000	"Is he a myth?" said Barbara, in a low voice.	"Is he a myth?" said Barbara, in a low voice.
1066_5330_000050_000001	"So, even you doubt me?"	"So, even you doubt me?"
1066_5330_000051_000002	And you know that he is true as steel."	And you know that he is true as steel."
1066_5330_000052_000001	Where is it they suppose that I am, Barbara?"	Where is it they suppose that I am, Barbara?"
1066_5330_000053_000001	A report arose that you had been seen at Liverpool, in an Australian-bound ship, but we could not trace it to any foundation."	A report arose that you had been seen at Liverpool, in an Australian bound ship, but we could not trace it to any foundation."
1066_5330_000054_000000	"It had none.	"It had none.
1066_5330_000055_000000	"Working in a stable-yard?"	"Working in a stable yard?"
1066_5330_000056_000000	"I could not do better.	"I could not do better.
1066_5330_000056_000001	I was not brought up to anything, and I did understand horses.	I was not brought up to anything, and I did understand horses.
1066_5330_000057_000001	"Be silent for your life," she whispered, "here's papa."	"Be silent for your life," she whispered, "here's papa."
1066_5330_000058_000001	The latter walked on; the former came in.	The latter walked on; the former came in.
1066_5330_000058_000002	The brother and sister cowered together, scarcely daring to breathe; you might have heard Barbara's heart beating.	The brother and sister cowered together, scarcely daring to breathe; you might have heard Barbara's heart beating.
1066_5330_000058_000003	Mr. Hare closed the gate and walked on up the path.	mr Hare closed the gate and walked on up the path.
1066_5330_000059_000000	"I must go, Richard," said Barbara, hastily; "I dare not stay another minute.	"I must go, Richard," said Barbara, hastily; "I dare not stay another minute.
1066_5330_000060_000002	Barbara, we are here alone in the still night, with God above us; as truly as that you and I must sometime meet Him face to face, I told you the truth.	Barbara, we are here alone in the still night, with God above us; as truly as that you and I must sometime meet Him face to face, I told you the truth.
1066_5330_000060_000003	It was Thorn murdered Hallijohn, and I had nothing whatever to do with it."	It was Thorn murdered Hallijohn, and I had nothing whatever to do with it."
1066_5330_000061_000001	"Let me in, papa," she called out.	"Let me in, papa," she called out.
1066_5330_000064_000000	"I went down to the gate to look for you," she panted, "and had--had-- strolled over to the side path.	"I went down to the gate to look for you," she panted, "and had-had- strolled over to the side path.
