707_138866_000000_000000	CHAPTER XXX.	CHAPTER thirty.	false	0.24	2.46	23
707_138866_000009_000005	Whether you remember those few words I cannot tell; but certainly you would not have remembered them,--would not even have noticed them,--had your heart been at Nethercoats.	Whether you remember those few words I cannot tell; but certainly you would not have remembered them,--would not even have noticed them,--had your heart been at Nethercoats.	true	426.08	434.74	20
707_138866_000010_000000	But all this is nothing.	But all this is nothing.	true	435.77	437.23	24.842575
707_138866_000010_000001	You are now again a free woman; and once again I ask you to be my wife.	You are now again a free woman; and once again I ask you to be my wife.	true	437.24	440.865	18
707_138866_000010_000002	We are both older than we were when we loved before, and will both be prone to think of marriage in a somewhat different light.	We are both older than we were when we loved before, and will both be prone to think of marriage in a somewhat different light.	true	440.865	447.01	17
707_138866_000010_000003	Then personal love for each other was most in our thoughts.	Then personal love for each other was most in our thoughts.	true	447.26	450.97	21
707_138866_000010_000004	God forbid that it should not be much in our thoughts now! Perhaps I am deceiving myself in saying that it is not even now stronger in mine than any other consideration. But we have both reached that time of life, when it is probable that in any proposition of marriage we should think more of our adaptability to each other than we did before.	God forbid that it should not be much in our thoughts now! Perhaps I am deceiving myself in saying that it is not even now stronger in mine than any other consideration. But we have both reached that time of life, when it is probable that in any proposition of marriage we should think more of our adaptability to each other than we did before.	false	451.34	470.08	17
707_138866_000010_000005	For myself I know that there is much in my character and disposition to make me unfit to marry a woman of the common stamp.	For myself I know that there is much in my character and disposition to make me unfit to marry a woman of the common stamp.	true	470.48	477.25	20
707_138866_000010_000006	You know my mode of life, and what are my hopes and my chances of success.	You know my mode of life, and what are my hopes and my chances of success.	true	477.26	481.6	18.840221
707_138866_000010_000007	I run great risk of failing.	I run great risk of failing.	true	482.27	484.21	21.499464
707_138866_000010_000008	It may be that I shall encounter ruin where I look for reputation and a career of honour. The chances are perhaps more in favour of ruin than of success.	It may be that I shall encounter ruin where I look for reputation and a career of honour. The chances are perhaps more in favour of ruin than of success.	true	484.7	492.97	17
707_138866_000010_000009	But, whatever may be the chances, I shall go on as long as any means of carrying on the fight are at my disposal.	But, whatever may be the chances, I shall go on as long as any means of carrying on the fight are at my disposal.	true	493.01	499.15	15
707_138866_000010_000010	If you were my wife to-morrow I should expect to use your money, if it were needed, in struggling to obtain a seat in Parliament and a hearing there.	If you were my wife to morrow I should expect to use your money, if it were needed, in struggling to obtain a seat in Parliament and a hearing there.	true	499.37	507.16	24
707_138866_000010_000011	I will hardly stoop to tell you that I do not ask you to be my wife for the sake of this aid;--but if you were to become my wife I should expect all your cooperation;--with your money, possibly, but certainly with your warmest spirit.	I will hardly stoop to tell you that I do not ask you to be my wife for the sake of this aid;--but if you were to become my wife I should expect all your cooperation;--with your money, possibly, but certainly with your warmest spirit.	true	507.38	520.06	22.42095
707_138866_000011_000000	And now, once again, Alice,--dearest Alice, will you be my wife?	And now, once again, Alice,--dearest Alice, will you be my wife?	true	520.22	524.71	22.317003
707_138866_000011_000001	I have been punished, and I have kissed the rod,--as I never kissed any other rod.	I have been punished, and I have kissed the rod,--as I never kissed any other rod.	false	525.2	530.47	22.543852
707_138866_000011_000002	You cannot accuse my love.	You cannot accuse my love.	true	530.54	532.3	22.992146
707_138866_000011_000003	Since the time in which I might sit with my arm round your waist, I have sat with it round no other waist. Since your lips were mine, no other lips have been dear to me.	Since the time in which I might sit with my arm round your waist, I have sat with it round no other waist. Since your lips were mine, no other lips have been dear to me.	false	532.37	542.35	23
707_138866_000011_000004	Since you were my counsellor, I have had no other counsellor,--unless it be poor Kate, whose wish that we may at length be married is second in earnestness only to my own.	Since you were my counsellor, I have had no other counsellor,--unless it be poor Kate, whose wish that we may at length be married is second in earnestness only to my own.	false	542.51	552.31	22
707_138866_000011_000005	Nor do I think you will doubt my repentance. Such repentance indeed claims no merit, as it has been the natural result of the loss which I have suffered. Providence has hitherto been very good to me in not having made that loss irremediable by your marriage with Mr. Grey. I wish you now to consider the matter well, and to tell me whether you can pardon me and still love me.	Nor do I think you will doubt my repentance. Such repentance indeed claims no merit, as it has been the natural result of the loss which I have suffered. Providence has hitherto been very good to me in not having made that loss irremediable by your marriage with mr Grey. I wish you now to consider the matter well, and to tell me whether you can pardon me and still love me.	false	552.59	572.95	20.974993
707_138866_000011_000006	Do I flatter myself when I feel that I doubt your pardon almost more than I doubt your love?	Do I flatter myself when I feel that I doubt your pardon almost more than I doubt your love?	true	573.02	577.78	17
707_138866_000012_000000	Think of this thing in all its bearings before you answer me.	Think of this thing in all its bearings before you answer me.	true	578.36	581.145	19.160515
707_138866_000012_000001	I am so anxious that you should think of it that I will not expect your reply till this day week.	I am so anxious that you should think of it that I will not expect your reply till this day week.	true	581.145	586.03	20
707_138866_000012_000002	It can hardly be your desire to go through life unmarried.	It can hardly be your desire to go through life unmarried.	true	586.04	589.24	20
707_138866_000012_000003	I should say that it must be essential to your ambition that you should join your lot to that of some man the nature of whose aspirations would be like to your own.	I should say that it must be essential to your ambition that you should join your lot to that of some man the nature of whose aspirations would be like to your own.	false	589.28	597.7	16
707_138866_000012_000004	It is because this was not so as regarded him whose suit you had accepted, that you found yourself at last obliged to part from him.	It is because this was not so as regarded him whose suit you had accepted, that you found yourself at last obliged to part from him.	true	597.83	605.14	17
707_138866_000012_000005	May I not say that with us there would be no such difference?	May I not say that with us there would be no such difference?	true	605.27	608.59	19.298962
707_138866_000012_000006	It is because I believe that in this respect we are fitted for each other, as man and woman seldom are fitted, that I once again ask you to be my wife.	It is because I believe that in this respect we are fitted for each other, as man and woman seldom are fitted, that I once again ask you to be my wife.	true	608.69	617.92	20.068853
707_138866_000013_000000	This will reach you at Vavasor, where you will now be with the old squire and Kate.	This will reach you at Vavasor, where you will now be with the old squire and Kate.	false	618.74	623.5	21.218008
707_138866_000013_000001	I have told her nothing of my purpose in writing this letter.	I have told her nothing of my purpose in writing this letter.	true	623.6	626.28	21
707_138866_000013_000002	If it should be that your answer is such as I desire, I should use the opportunity of our re-engagement to endeavour to be reconciled to my grandfather.	If it should be that your answer is such as I desire, I should use the opportunity of our re engagement to endeavour to be reconciled to my grandfather.	true	626.28	634.66	15
707_138866_000013_000003	He has misunderstood me and has ill-used me. But I am ready to forgive that, if he will allow me to do so.	He has misunderstood me and has ill used me. But I am ready to forgive that, if he will allow me to do so.	true	634.88	641.32	22
707_138866_000013_000004	In such case you and Kate would arrange that, and I would, if possible, go down to Vavasor while you are there.	In such case you and Kate would arrange that, and I would, if possible, go down to Vavasor while you are there.	false	641.54	648.25	21.353838
707_138866_000013_000005	But I am galloping on a-head foolishly in thinking of this, and am counting up my wealth while the crockery in my basket is so very fragile.	But I am galloping on a head foolishly in thinking of this, and am counting up my wealth while the crockery in my basket is so very fragile.	true	648.59	655.51	18
707_138866_000013_000006	One word from you will decide whether or no I shall ever bring it into market.	One word from you will decide whether or no I shall ever bring it into market.	true	655.7	660.22	18.759811
707_138866_000014_000000	If that word is to be adverse do not say anything of a meeting between me and the Squire.	If that word is to be adverse do not say anything of a meeting between me and the Squire.	true	660.41	665.02	17
707_138866_000014_000001	Under such circumstances it would be impossible.	Under such circumstances it would be impossible.	true	665.18	668.01	15
707_138866_000014_000002	But, oh, Alice! do not let it be adverse.	But, oh, Alice! do not let it be adverse.	true	668.01	670.365	20
707_138866_000014_000003	I think you love me.	I think you love me.	true	670.365	671.56	26.188377
707_138866_000014_000004	Your woman's pride towards me has been great and good and womanly; but it has had its way; and, if you love me, might now be taught to succumb.	Your woman's pride towards me has been great and good and womanly; but it has had its way; and, if you love me, might now be taught to succumb.	true	671.66	680.95	25.653992
707_138866_000015_000000	Dear Alice, will you be my wife?	Dear Alice, will you be my wife?	true	681.32	684.1	20.64544
707_138866_000016_000000	Yours, in any event, most affectionately,	Yours, in any event, most affectionately,	true	684.89	687.105	20.714716
707_138866_000017_000000	GEORGE VAVASOR.	GEORGE v a v a s o r.	false	687.105	689.13	16.74795
707_138866_000018_000000	Vavasor, when he had finished his letter, went back to his seat over the fire, and there he sat with it close at his hand for nearly an hour.	Vavasor, when he had finished his letter, went back to his seat over the fire, and there he sat with it close at his hand for nearly an hour.	true	689.13	695.8	13
707_138866_000018_000001	Once or twice he took it up with fingers almost itching to throw it into the fire.	Once or twice he took it up with fingers almost itching to throw it into the fire.	true	695.87	699.96	18
707_138866_000018_000002	He took it up and held the corners between his forefinger and thumb, throwing forward his hand towards the flame, as though willing that the letter should escape from him and perish if chance should so decide.	He took it up and held the corners between his forefinger and thumb, throwing forward his hand towards the flame, as though willing that the letter should escape from him and perish if chance should so decide.	false	699.96	710.53	20
707_138866_000018_000003	But chance did not so decide, and the letter was put back upon the table at his elbow.	But chance did not so decide, and the letter was put back upon the table at his elbow.	true	710.75	715.87	22.366941
707_138866_000018_000004	Then when the hour was nearly over he read it again.	Then when the hour was nearly over he read it again.	true	716.18	718.89	11
707_138866_000018_000005	"I'll bet two to one that she gives way," he said to himself, as he put the sheet of paper back into the envelope.	"I'll bet two to one that she gives way," he said to himself, as he put the sheet of paper back into the envelope.	false	718.89	724.425	21
707_138866_000018_000006	"Women are such out-and-out fools." Then he took his candle, and carrying his letter with him, went into his bedroom.	"Women are such out and out fools." Then he took his candle, and carrying his letter with him, went into his bedroom.	true	724.425	730.33	21.703302
707_138866_000019_000000	The next morning was the morning of Christmas Eve.	The next morning was the morning of Christmas Eve.	true	730.64	732.96	24.078693
707_138866_000019_000001	At about nine o'clock a boy came into his room who was accustomed to call for orders for the day.	At about nine o'clock a boy came into his room who was accustomed to call for orders for the day.	false	732.96	737.68	19
707_138866_000019_000002	"Jem," he said to the boy, "there's half a crown lying there on the looking-glass." Jem looked and acknowledged the presence of the half-crown.	"Jem," he said to the boy, "there's half a crown lying there on the looking glass." Jem looked and acknowledged the presence of the half crown.	true	737.81	745.09	23.356503
707_138866_000019_000003	"Is it a head or a tail, Jem?" asked the boy's master.	"Is it a head or a tail, Jem?" asked the boy's master.	false	745.31	748.33	24.439392
707_138866_000019_000004	Jem scrutinized the coin, and declared that the uppermost surface showed a tail.	Jem scrutinized the coin, and declared that the uppermost surface showed a tail.	true	748.55	753.19	23
707_138866_000019_000005	"Then take that letter and post it," said George Vavasor.	"Then take that letter and post it," said George Vavasor.	true	753.77	756.55	25.501308
707_138866_000019_000006	Whereupon Jem, asking no question and thinking but little of the circumstances under which the command was given, did take the letter and did post it.	Whereupon Jem, asking no question and thinking but little of the circumstances under which the command was given, did take the letter and did post it.	true	756.71	765.24	22.551191
707_138866_000019_000007	In due accordance with postal regulations it reached Vavasor Hall and was delivered to Alice on the Christmas morning.	In due accordance with postal regulations it reached Vavasor Hall and was delivered to Alice on the Christmas morning.	false	765.24	772.24	24.488583
707_138866_000020_000000	A merry Christmas did not fall to the lot of George Vavasor on the present occasion.	A merry Christmas did not fall to the lot of George Vavasor on the present occasion.	true	772.34	776.68	18
707_138866_000020_000001	An early Christmas-box he did receive in the shape of a very hurried note from his friend Burgo.	An early Christmas box he did receive in the shape of a very hurried note from his friend Burgo.	false	776.72	782.17	16
707_138866_000020_000002	"This will be brought to you by Stickling," the note said; but who Stickling was Vavasor did not know.	"This will be brought to you by Stickling," the note said; but who Stickling was Vavasor did not know.	true	782.51	787.99	22.984632
707_138866_000020_000003	"I send the bill.	"I send the bill.	true	788.33	789.55	23.475426
707_138866_000020_000004	Couldn't you get the money and send it me, as I don't want to go up to town again before the thing comes off?	Couldn't you get the money and send it me, as I don't want to go up to town again before the thing comes off?	false	789.74	794.74	19
707_138866_000020_000005	You're a trump; and will do the best you can.	You're a trump; and will do the best you can.	true	794.9	797.17	24.709192
707_138866_000020_000006	Don't let that rogue off for less than a hundred and twenty.--Yours, B. F." Vavasor, therefore, having nothing better to do, spent his Christmas morning in calling on Mr. Magruin.	Don't let that rogue off for less than a hundred and twenty.--Yours, b f" Vavasor, therefore, having nothing better to do, spent his Christmas morning in calling on mr Magruin.	true	797.21	806.62	22.86998
707_138866_000021_000000	"Oh, Mr. Vavasor," said Magruin; "really this is no morning for business!"	"Oh, mr Vavasor," said Magruin; "really this is no morning for business!"	false	807.41	811.99	22.939487
707_138866_000022_000000	"Time and tide wait for no man, Mr. Magruin, and my friend wants his money to-morrow."	"Time and tide wait for no man, mr Magruin, and my friend wants his money to morrow."	true	812.3	817.03	20
707_138866_000023_000000	"Oh, Mr. Vavasor,--to-morrow!"	"Oh, mr Vavasor,--to morrow!"	true	817.19	819.55	19.724033
707_138866_000024_000000	"Yes, to-morrow.	"Yes, to morrow.	true	819.65	820.905	21.471312
707_138866_000024_000001	If time and tide won't wait, neither will love. Come, Mr. Magruin, out with your cheque-book, and don't let's have any nonsense."	If time and tide won't wait, neither will love. Come, mr Magruin, out with your cheque book, and don't let's have any nonsense."	true	820.905	827.23	20
707_138866_000025_000000	"But is the lady sure, Mr. Vavasor?" asked Mr. Magruin, anxiously.	"But is the lady sure, mr Vavasor?" asked mr Magruin, anxiously.	true	827.69	831.79	21
707_138866_000026_000000	"Ladies never are sure," said Vavasor; "hardly more sure than bills made over to money-lenders.	"Ladies never are sure," said Vavasor; "hardly more sure than bills made over to money lenders.	true	831.95	837.3	17.833693
707_138866_000026_000001	I'm not going to wait here all day.	I'm not going to wait here all day.	true	837.3	839.04	19
707_138866_000026_000002	Are you going to give him the money?"	Are you going to give him the money?"	true	839.04	840.43	24.168858
707_138866_000027_000000	"Christmas-day, Mr. Vavasor!	"Christmas day, mr Vavasor!	true	841.01	842.835	26
707_138866_000027_000001	There's no getting money in the city to-day."	There's no getting money in the city to day."	true	842.835	845.05	17.422203
707_138866_000028_000000	But Vavasor before he left did get the money from Mr. Magruin,--L122 10s.--for which an acceptance at two months for L500 was given in exchange,--and carried it off in triumph.	But Vavasor before he left did get the money from mr Magruin,--l one hundred twenty two tens.--for which an acceptance at two months for l five hundred was given in exchange,--and carried it off in triumph.	false	845.42	857.35	19
707_138866_000028_000001	"Do tell him to be punctual," said Mr. Magruin, when Vavasor took his leave.	"Do tell him to be punctual," said mr Magruin, when Vavasor took his leave.	true	857.54	861.75	20
707_138866_000028_000002	"I do so like young men to be punctual.	"I do so like young men to be punctual.	true	861.75	864.195	19
707_138866_000028_000003	But I really think Mr. Fitzgerald is the most unpunctual young man I ever did know yet."	But I really think mr Fitzgerald is the most unpunctual young man I ever did know yet."	true	864.195	869.17	17
707_138866_000029_000000	"I think he is," said George Vavasor, as he went away.	"I think he is," said George Vavasor, as he went away.	true	869.75	872.68	22
707_138866_000030_000000	He ate his Christmas dinner in absolute solitude at an eating-house near his lodgings.	He ate his Christmas dinner in absolute solitude at an eating house near his lodgings.	true	872.96	877.21	16
707_138866_000030_000001	It may be supposed that no man dares to dine at his club on a Christmas Day.	It may be supposed that no man dares to dine at his club on a Christmas Day.	false	877.34	881.37	15
707_138866_000030_000002	He at any rate did not so dare;--and after dinner he wandered about through the streets, wondering within his mind how he would endure the restraints of married life.	He at any rate did not so dare;--and after dinner he wandered about through the streets, wondering within his mind how he would endure the restraints of married life.	true	881.37	890.35	21.424973
707_138866_000030_000003	And the same dull monotony of his days was continued for a week, during which he waited, not impatiently, for an answer to his letter.	And the same dull monotony of his days was continued for a week, during which he waited, not impatiently, for an answer to his letter.	true	890.45	898.38	22.64717
707_138866_000030_000004	And before the end of the week the answer came.	And before the end of the week the answer came.	false	898.38	902.55	29.099693
707_138866_000031_000000	CHAPTER XXXI.	CHAPTER thirty one.	false	902.55	903.57	27.23404
707_138866_000032_000000	Among the Fells.	Among the Fells.	false	903.57	903.75	100
707_138866_000033_000000	Alice came down to breakfast on that Christmas morning at Vavasor Hall without making any sign as to the letter she had received.	Alice came down to breakfast on that Christmas morning at Vavasor Hall without making any sign as to the letter she had received.	false	903.75	905.04	6
707_138866_000033_000001	The party there consisted of her grandfather, her father, her cousin Kate, and herself.	The party there consisted of her grandfather, her father, her cousin Kate, and herself.	false	905.04	905.85	39.621944
707_138866_000033_000002	They all made their Christmas salutations as is usual, and Alice received and made hers as did the others, without showing that anything had occurred to disturb her tranquillity.	They all made their Christmas salutations as is usual, and Alice received and made hers as did the others, without showing that anything had occurred to disturb her tranquillity.	false	905.85	906.87	25.060125
707_138866_000033_000003	Kate remarked that she had heard that morning from Aunt Greenow, and promised to show Alice the letter after breakfast.	Kate remarked that she had heard that morning from Aunt Greenow, and promised to show Alice the letter after breakfast.	false	906.87	908.4	9
707_138866_000033_000004	But Alice said no word of her own letter.	But Alice said no word of her own letter.	false	908.4	915.45	12.296288
