8266_258262_000000_000000	When it was the Six Hundred and Seventy-second Night,	When it was the Six Hundred and Seventy second Night,	false	0	1.29	13.368625
8266_258262_000002_000000	When it was the Six Hundred and Seventy-third Night,	When it was the Six Hundred and Seventy third Night,	true	26.82	29.38	19
8266_258262_000003_000000	She pursued, It hath reached me, O auspicious King, that when the ship's crew seized Gharib and bound him fast they said, "We will not slay him save in our own land." Then they sailed on till they came to the city of Karaj, the builder whereof was an Amalekite, fierce and furious; and he had set up at each gate of the city a magical figure of copper which, whenever a stranger entered, blew a blast on a trumpet, that all in the city heard it and fell upon the stranger and slew him, except they embraced their creed When Gharib entered the city, the figure stationed at the gate blew such a horrible blast that the King was affrighted and going into his idol, found fire and smoke issuing from its mouth, nose and eyes.	She pursued, It hath reached me, O auspicious King, that when the ship's crew seized Gharib and bound him fast they said, "We will not slay him save in our own land." Then they sailed on till they came to the city of Karaj, the builder whereof was an Amalekite, fierce and furious; and he had set up at each gate of the city a magical figure of copper which, whenever a stranger entered, blew a blast on a trumpet, that all in the city heard it and fell upon the stranger and slew him, except they embraced their creed When Gharib entered the city, the figure stationed at the gate blew such a horrible blast that the King was affrighted and going into his idol, found fire and smoke issuing from its mouth, nose and eyes.	false	29.75	71.77	19.759102
8266_258262_000003_000001	Now a Satan had entered the belly of the idol and speaking as with its tongue, said, "O King, there is come to thy city one highs Gharib, King of Al-Irak, who biddeth the folk quit their belief and worship his Lord; wherefore, when they bring him before thee, look thou spare him not." So the King went out and sat down on his throne; and presently, the sailors brought in Gharib and set him before the presence, saying, "O King, we found this youth shipwrecked in the midst of the sea, and he is a Kafir and believeth not in our gods." Then they told him all that had passed and the King said, "Carry him to the house of the Great Idol and cut his throat before him, so haply our god may look lovingly upon us." But the Wazir said, "O King, it befitteth not to slaughter him thus, for he would die in a moment: better we imprison him and build a pyre of fuel and burn him with fire." Thereupon the King commanded to cast Gharib into gaol and caused wood to be brought, and they made a mighty pyre and set fire to it, and it burnt till the morning.	Now a Satan had entered the belly of the idol and speaking as with its tongue, said, "O King, there is come to thy city one highs Gharib, King of Al Irak, who biddeth the folk quit their belief and worship his Lord; wherefore, when they bring him before thee, look thou spare him not." So the King went out and sat down on his throne; and presently, the sailors brought in Gharib and set him before the presence, saying, "O King, we found this youth shipwrecked in the midst of the sea, and he is a Kafir and believeth not in our gods." Then they told him all that had passed and the King said, "Carry him to the house of the Great Idol and cut his throat before him, so haply our god may look lovingly upon us." But the Wazir said, "O King, it befitteth not to slaughter him thus, for he would die in a moment: better we imprison him and build a pyre of fuel and burn him with fire." Thereupon the King commanded to cast Gharib into gaol and caused wood to be brought, and they made a mighty pyre and set fire to it, and it burnt till the morning.	false	72.41	134.25	20.459562
8266_258262_000003_000002	Then the King and the people of the city came forth and the Ruler sent to fetch Gharib; but his lieges found him not; so they returned and told their King who said, "And how made he his escape?" Quoth they, 'We found the chains and shackles cast down and the doors fast locked." Whereat the King marvelled and asked, Hath this fellow to Heaven up flown or into the earth gone down?;' and they answered, "We know not." Then said the King, "I will go and question my God, and he will inform me whither he is gone." So he rose and went in, to prostrate himself to his idol, but found it not and began to rub his eyes and say, "Am I in sleep or on wake?"	Then the King and the people of the city came forth and the Ruler sent to fetch Gharib; but his lieges found him not; so they returned and told their King who said, "And how made he his escape?" Quoth they, 'We found the chains and shackles cast down and the doors fast locked." Whereat the King marvelled and asked, Hath this fellow to Heaven up flown or into the earth gone down?;' and they answered, "We know not." Then said the King, "I will go and question my God, and he will inform me whither he is gone." So he rose and went in, to prostrate himself to his idol, but found it not and began to rub his eyes and say, "Am I in sleep or on wake?"	false	134.25	173.26	20.019512
8266_258262_000003_000003	Then he turned to his Wazir and said to him, "Where is my God and where is my prisoner?	Then he turned to his Wazir and said to him, "Where is my God and where is my prisoner?	true	173.72	178.75	18.091421
8266_258262_000003_000004	By my faith, O dog of Wazirs, haddest thou not counselled me to burn him, I had slaughtered him; for it is he who hath stolen my god and fled; and there is no help but I take brood-wreak of him!"	By my faith, O dog of Wazirs, haddest thou not counselled me to burn him, I had slaughtered him; for it is he who hath stolen my god and fled; and there is no help but I take brood wreak of him!"	true	179.15	190.09	19.584887
8266_258262_000003_000005	Then he drew his sword and struck off the Wazir's head.	Then he drew his sword and struck off the Wazir's head.	true	190.76	193.57	18.364891
8266_258262_000003_000006	Now there was for Gharib's escape with the idol a strange cause and it was on this wise.	Now there was for Gharib's escape with the idol a strange cause and it was on this wise.	false	193.79	198.55	16
8266_258262_000003_000007	When they had shut him up in a cell adjoining the doomed shrine under which stood the idol, he rose to pray, calling upon the name of Almighty Allah and seeking deliverance of Him, to whom be honour and glory!	When they had shut him up in a cell adjoining the doomed shrine under which stood the idol, he rose to pray, calling upon the name of Almighty Allah and seeking deliverance of Him, to whom be honour and glory!	true	199.04	210.07	18.509546
8266_258262_000003_000008	The Marid who had charge of the idol and spoke in its name, heard him and fear got hold upon his heart and he said, "O shame upon me! Who is this seeth me while I see him not?" So he went in to Gharib and throwing himself at his feet, said to him, "O my Lord, what must I say that I may become of thy company and enter thy religion?" Replied Gharib, "Say, 'There is no god but the God and Abraham is the Friend of God.'" So the Marid pronounced the profession of Faith and was enrolled among the people of felicity.	The Marid who had charge of the idol and spoke in its name, heard him and fear got hold upon his heart and he said, "O shame upon me! Who is this seeth me while I see him not?" So he went in to Gharib and throwing himself at his feet, said to him, "O my Lord, what must I say that I may become of thy company and enter thy religion?" Replied Gharib, "Say, 'There is no god but the God and Abraham is the Friend of God.'" So the Marid pronounced the profession of Faith and was enrolled among the people of felicity.	false	210.65	241.51	19.55482
8266_258262_000003_000009	Now his name was Zalzal, son of Al-Muzalzil,[FN#70] one of the Chiefs of the Kings of the Jinn.	Now his name was Zalzal, son of Al Muzalzil,[f n # seventy] one of the Chiefs of the Kings of the Jinn.	false	242.24	248.41	19.783741
8266_258262_000003_000010	Then he unbound Gharib and taking him and the idol, made for the higher air.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	Then he unbound Gharib and taking him and the idol, made for the higher air.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	249.17	258.43	19.011854
8266_258262_000004_000000	When it was the Six Hundred and Seventy-fourth Night,	When it was the Six Hundred and Seventy fourth Night,	true	259.1	261.64	19.695934
8266_258262_000005_000000	She said, It hath reached me, O auspicious King, that the Marid took up Gharib and the idol and made for the higher air.	She said, It hath reached me, O auspicious King, that the Marid took up Gharib and the idol and made for the higher air.	false	262.04	268.66	19.923588
8266_258262_000005_000001	Such was his case; but as regards the King, when his soldiers saw what had befallen and the slaughter of the Wazir they renounced the worship of the idol and drawing their swords, slew the King; after which they fell on one another, and the sword went round amongst them three days, till there abode alive but two men, one of whom prevailed over the other and killed him.	Such was his case; but as regards the King, when his soldiers saw what had befallen and the slaughter of the Wazir they renounced the worship of the idol and drawing their swords, slew the King; after which they fell on one another, and the sword went round amongst them three days, till there abode alive but two men, one of whom prevailed over the other and killed him.	true	269.03	288.61	18.771503
8266_258262_000005_000002	Then the boys attacked the survivor and slew him and fell to fighting amongst themselves, till they were all killed; and the women and girls fled to the hamlets and forted villages; wherefore the city became desert and none dwelt therein but the owl.	Then the boys attacked the survivor and slew him and fell to fighting amongst themselves, till they were all killed; and the women and girls fled to the hamlets and forted villages; wherefore the city became desert and none dwelt therein but the owl.	true	289.31	302.44	19.997818
8266_258262_000005_000003	Meanwhile, the Marid Zalzal flew with Gharib towards his own country, the Island of Camphor and the Castle of Crystal and the Land of the Enchanted Calf, so called because its King Al Muzalzil, had a pied calf, which he had clad in housings brocaded with red gold, and worshipped as a god.	Meanwhile, the Marid Zalzal flew with Gharib towards his own country, the Island of Camphor and the Castle of Crystal and the Land of the Enchanted Calf, so called because its King Al Muzalzil, had a pied calf, which he had clad in housings brocaded with red gold, and worshipped as a god.	false	302.81	320.14	19.715437
8266_258262_000005_000004	One day the King and his people went in to the calf and found him trembling; so the King said, "O my God, what hath troubled thee?" whereupon the Satan in the calf's belly cried out and said, "O Muzalzil, verily thy son hath deserted to the Faith of Abraham the Friend at the hands of Gharib Lord of Al-Irak;" and went on to tell him all that had passed from first to last.	One day the King and his people went in to the calf and found him trembling; so the King said, "O my God, what hath troubled thee?" whereupon the Satan in the calf's belly cried out and said, "O Muzalzil, verily thy son hath deserted to the Faith of Abraham the Friend at the hands of Gharib Lord of Al Irak;" and went on to tell him all that had passed from first to last.	false	320.66	342.1	19.253439
8266_258262_000005_000005	When the King heard the words of his calf he was confounded and going forth, sat down upon his throne.	When the King heard the words of his calf he was confounded and going forth, sat down upon his throne.	true	342.59	347.92	18.750456
8266_258262_000005_000006	Then he summoned his Grandees who came in a body, and he told them what he had heard from the idol, whereat they marvelled and said, "What shall we do, O King?" Quoth he, "When my son cometh and ye see him embrace him, do ye lay hold of him." And they said, "Hearkening and obedience!" After two days came Zalzal and Gharib, with the King's idol of Karaj, but no sooner had they entered the palace-gate than the Jinn seized on them and carried them before Al-Muzalzil, who looked at his son with eyes of ire and said to him, "O dog of the Jann, hast thou left thy Faith and that of thy fathers and grandfathers?" Quoth Zalzal, "I have embraced the True Faith, and on like wise do thou (Woe be to thee!) seek salvation and thou shalt be saved from the wrath of the King Almighty in sway, Creator of Night and Day." Therewith his father waxed wroth and said, "O son of adultery, dost confront me with these words?"	Then he summoned his Grandees who came in a body, and he told them what he had heard from the idol, whereat they marvelled and said, "What shall we do, O King?" Quoth he, "When my son cometh and ye see him embrace him, do ye lay hold of him." And they said, "Hearkening and obedience!" After two days came Zalzal and Gharib, with the King's idol of Karaj, but no sooner had they entered the palace gate than the Jinn seized on them and carried them before Al Muzalzil, who looked at his son with eyes of ire and said to him, "O dog of the Jann, hast thou left thy Faith and that of thy fathers and grandfathers?" Quoth Zalzal, "I have embraced the True Faith, and on like wise do thou (Woe be to thee!) seek salvation and thou shalt be saved from the wrath of the King Almighty in sway, Creator of Night and Day." Therewith his father waxed wroth and said, "O son of adultery, dost confront me with these words?"	false	348.44	404.8	18.985334
8266_258262_000005_000007	Then he bade clap him in prison and turning to Gharib, said to him, "O wretch of a mortal, how hast thou abused my son's wit and seduced him from his Faith?" Quoth Gharib, "Indeed, I have brought him out of wrongousness into the way of righteousness, out of Hell into Heaven and out of unfaith to the True Faith." Whereupon the King cried out to a Marid called Sayyar, saying "Take this dog and cast him into the Wady of Fire, that he may perish." Now this valley was in the "Waste Quarter[FN#71]" and was thus named from the excess of its heat and the flaming of its fire, which was so fierce that none who went down therein could live an hour, but was destroyed; and it was compassed about by mountains high and slippery wherein was no opening.	Then he bade clap him in prison and turning to Gharib, said to him, "O wretch of a mortal, how hast thou abused my son's wit and seduced him from his Faith?" Quoth Gharib, "Indeed, I have brought him out of wrongousness into the way of righteousness, out of Hell into Heaven and out of unfaith to the True Faith." Whereupon the King cried out to a Marid called Sayyar, saying "Take this dog and cast him into the Wady of Fire, that he may perish." Now this valley was in the "Waste Quarter[f n # seventy one]" and was thus named from the excess of its heat and the flaming of its fire, which was so fierce that none who went down therein could live an hour, but was destroyed; and it was compassed about by mountains high and slippery wherein was no opening.	false	405.29	447.88	19.430986
8266_258262_000005_000008	So Sayyar took up Gharib and flew with him towards the Valley of Fire, till he came within an hour's journey thereof, when being weary, he alighted in a valley full of trees and streams and fruits, and setting down from his back Gharib chained as he was, fell asleep for fatigue.	So Sayyar took up Gharib and flew with him towards the Valley of Fire, till he came within an hour's journey thereof, when being weary, he alighted in a valley full of trees and streams and fruits, and setting down from his back Gharib chained as he was, fell asleep for fatigue.	false	448.37	464.74	19.211023
8266_258262_000005_000009	When Gharib heard him snore, he strove with his bonds till he burst them; then, taking up a heavy stone, he cast it down on the Marid's head and crushed his bones, so that he died on the spot.	When Gharib heard him snore, he strove with his bonds till he burst them; then, taking up a heavy stone, he cast it down on the Marid's head and crushed his bones, so that he died on the spot.	false	464.99	475.69	19.011446
8266_258262_000005_000010	Then he fared on into the valley.--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	Then he fared on into the valley.--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	true	476.15	482.8	20.238117
8266_258262_000006_000000	When it was the Six Hundred and Seventy-fifth Night,	When it was the Six Hundred and Seventy fifth Night,	true	483.41	485.86	17.476957
8266_258262_000007_000000	She continued, It hath reached me, O auspicious King, that Gharib after killing the Marid fared on into the valley and found himself in a great island in mid-ocean, full of all fruits that lips and tongue could desire.	She continued, It hath reached me, O auspicious King, that Gharib after killing the Marid fared on into the valley and found himself in a great island in mid ocean, full of all fruits that lips and tongue could desire.	false	486.29	498.97	19.106028
8266_258262_000007_000001	So he abode alone on the island, drinking of its waters and eating of its fruits and of fish that he caught, and days and years passed over him, till he had sojourned there in his solitude seven years.	So he abode alone on the island, drinking of its waters and eating of its fruits and of fish that he caught, and days and years passed over him, till he had sojourned there in his solitude seven years.	true	499.4	509.65	18.091248
8266_258262_000007_000002	One day, as he sat, be hold, there came down on him from the air two Marids, each carrying a man; and seeing him they said, "Who art thou, O fellow, and of which of the tribes art thou?" Now they took him for a Jinni, because his hair was grown long; and he replied, saying, "I am not of the Jann," whereupon they questioned him, and he told them all that had befallen him.	One day, as he sat, be hold, there came down on him from the air two Marids, each carrying a man; and seeing him they said, "Who art thou, O fellow, and of which of the tribes art thou?" Now they took him for a Jinni, because his hair was grown long; and he replied, saying, "I am not of the Jann," whereupon they questioned him, and he told them all that had befallen him.	true	510.05	531.19	19.477686
8266_258262_000007_000003	They grieved for him and one of the Ifrits said, "Abide thou here till we bear these two lambs to our King, that he may break his fast on the one and sup on the other, and after we will come back and carry thee to thine own country." He thanked them and said, " Where be the lambs?" Quoth they, "These two mortals are the lambs." And Gharib said, "I take refuge with Allah the God of Abraham the Friend, the Lord of all creatures, who hath power over everything!	They grieved for him and one of the Ifrits said, "Abide thou here till we bear these two lambs to our King, that he may break his fast on the one and sup on the other, and after we will come back and carry thee to thine own country." He thanked them and said, " Where be the lambs?" Quoth they, "These two mortals are the lambs." And Gharib said, "I take refuge with Allah the God of Abraham the Friend, the Lord of all creatures, who hath power over everything!	false	531.74	559.72	19.078926
8266_258262_000007_000004	Then the Marids flew away and Gharib abode awaiting them two days, when one of them returned, bringing with him a suit of clothes wherewith he clad him.	Then the Marids flew away and Gharib abode awaiting them two days, when one of them returned, bringing with him a suit of clothes wherewith he clad him.	false	560.54	568.99	18.322273
8266_258262_000007_000005	Then he took him up and flew with him sky- high out of sight of earth, till Gharib heard the angels glorifying God in Heaven, and a flaming shaft issued from amongst them and made for the Marid, who fled from it towards the earth. The meteor pursued him, till he came within a spear's cast of the ground, when Gharib leaped from his shoulders and the fiery shaft overtook the Marid, who became a heap of ashes.	Then he took him up and flew with him sky high out of sight of earth, till Gharib heard the angels glorifying God in Heaven, and a flaming shaft issued from amongst them and made for the Marid, who fled from it towards the earth. The meteor pursued him, till he came within a spear's cast of the ground, when Gharib leaped from his shoulders and the fiery shaft overtook the Marid, who became a heap of ashes.	false	569.03	591.55	19.743357
8266_258262_000007_000006	As for Gharib, he fell into the sea and sank two fathoms deep, after which he rose to the surface and swam for two days and two nights, till his strength failed him and he made certain of death.	As for Gharib, he fell into the sea and sank two fathoms deep, after which he rose to the surface and swam for two days and two nights, till his strength failed him and he made certain of death.	false	592.01	602.05	18.737492
8266_258262_000007_000007	But, on the third day as he was despairing he caught sight of an island steep and mountainous; so he swam for it and landing, walked on inland, where he rested a day and a Night, feeding on the growth of the ground.	But, on the third day as he was despairing he caught sight of an island steep and mountainous; so he swam for it and landing, walked on inland, where he rested a day and a Night, feeding on the growth of the ground.	true	602.48	614.71	20.293964
8266_258262_000007_000008	Then he climbed to the mountain top, and, descending the opposite slope, fared on two days till he came in sight of a walled and bulwarked city, abounding in trees and rills.	Then he climbed to the mountain top, and, descending the opposite slope, fared on two days till he came in sight of a walled and bulwarked city, abounding in trees and rills.	true	615.23	624.91	18.787485
8266_258262_000007_000009	He walked up to it; but, when he reached the gate, the warders seized on him, and carried him to their Queen, whose name was Jan Shah.[FN#72] Now she was five hundred years old, and every man who entered the city, they brought to her and she made him sleep with her, and when he had done his work, she slew him and so had she slain many men.	He walked up to it; but, when he reached the gate, the warders seized on him, and carried him to their Queen, whose name was Jan Shah.[f n # seventy two] Now she was five hundred years old, and every man who entered the city, they brought to her and she made him sleep with her, and when he had done his work, she slew him and so had she slain many men.	false	625.85	643.93	19.460382
8266_258262_000007_000010	When she saw Gharib, he pleased her mightily; so she asked him, "What be thy name and Faith and whence comest thou?" and he answered, "My name is Gharib King of Irak, and I am a Moslem." Said she, "Leave this Creed and enter mine and I will marry thee and make thee King." But he looked at her with eyes of ire and cried, "Perish thou and thy faith!" Cried she, "Dost thou blaspheme my idol, which is of red carnelian, set with pearls and gems?" And she called out to her men, saying, "Imprison him in the house of the idol; haply it will soften his heart." So they shut him up in the domed shrine and locking the doors upon him, went their way.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	When she saw Gharib, he pleased her mightily; so she asked him, "What be thy name and Faith and whence comest thou?" and he answered, "My name is Gharib King of Irak, and I am a Moslem." Said she, "Leave this Creed and enter mine and I will marry thee and make thee King." But he looked at her with eyes of ire and cried, "Perish thou and thy faith!" Cried she, "Dost thou blaspheme my idol, which is of red carnelian, set with pearls and gems?" And she called out to her men, saying, "Imprison him in the house of the idol; haply it will soften his heart." So they shut him up in the domed shrine and locking the doors upon him, went their way.--And Shahrazad perceived the dawn of day and ceased to say her permitted say.	false	644.72	697.41	19.335276
