8464_282934_000000_000000	THE REFORMATION OF CALLIOPE	THE REFORMATION OF CALLIOPE	false	7.26	22.245	23.990225
8464_282934_000009_000002	The patience of that official, often strained in extending leniency toward the disturber's misdeeds, had been overtaxed.	The patience of that official, often strained in extending leniency toward the disturber's misdeeds, had been overtaxed.	true	377.03	385.18	21
8464_282934_000009_000003	In Quicksand some indulgence was accorded the natural ebullition of human nature.	In Quicksand some indulgence was accorded the natural ebullition of human nature.	false	385.49	391	23.699083
8464_282934_000009_000004	Providing that the lives of the more useful citizens were not recklessly squandered, or too much property needlessly laid waste, the community sentiment was against a too strict enforcement of the law. But Calliope had raised the limit.	Providing that the lives of the more useful citizens were not recklessly squandered, or too much property needlessly laid waste, the community sentiment was against a too strict enforcement of the law. But Calliope had raised the limit.	true	391.22	406.18	21.048065
8464_282934_000009_000005	His outbursts had been too frequent and too violent to come within the classification of a normal and sanitary relaxation of spirit.	His outbursts had been too frequent and too violent to come within the classification of a normal and sanitary relaxation of spirit.	true	406.25	416.08	23.16209
8464_282934_000010_000000	Buck Patterson had been expecting and awaiting in his little ten-by- twelve frame office that preliminary yell announcing that Calliope was feeling blue.	Buck Patterson had been expecting and awaiting in his little ten by twelve frame office that preliminary yell announcing that Calliope was feeling blue.	true	417.08	427.27	21
8464_282934_000010_000001	When the signal came the city marshal rose to his feet and buckled on his guns.	When the signal came the city marshal rose to his feet and buckled on his guns.	true	427.79	432.58	17
8464_282934_000010_000002	Two deputy sheriffs and three citizens who had proven the edible qualities of fire also stood up, ready to bandy with Calliope's leaden jocularities.	Two deputy sheriffs and three citizens who had proven the edible qualities of fire also stood up, ready to bandy with Calliope's leaden jocularities.	false	433.04	443.5	19
8464_282934_000011_000000	"Gather that fellow in," said Buck Patterson, setting forth the lines of the campaign.	"Gather that fellow in," said Buck Patterson, setting forth the lines of the campaign.	true	444.35	449.71	23.051247
8464_282934_000011_000001	"Don't have no talk, but shoot as soon as you can get a show.	"Don't have no talk, but shoot as soon as you can get a show.	true	450.08	453.97	24.532421
8464_282934_000011_000002	Keep behind cover and bring him down.	Keep behind cover and bring him down.	true	454.13	456.46	17.91387
8464_282934_000011_000003	He's a nogood 'un.	He's a nogood 'un.	false	456.74	458.25	21.53468
8464_282934_000011_000004	It's up to Calliope to turn up his toes this time, I reckon.	It's up to Calliope to turn up his toes this time, I reckon.	true	458.25	461.59	22
8464_282934_000011_000005	Go to him all spraddled out, boys.	Go to him all spraddled out, boys.	true	461.99	464.04	28.09648
8464_282934_000011_000006	And don't git too reckless, for what Calliope shoots at he hits."	And don't git too reckless, for what Calliope shoots at he hits."	false	464.04	468.76	27.208853
8464_282934_000012_000000	Buck Patterson, tall, muscular, and solemn-faced, with his bright "City Marshal" badge shining on the breast of his blue flannel shirt, gave his posse directions for the onslaught upon Calliope.	Buck Patterson, tall, muscular, and solemn faced, with his bright "City Marshal" badge shining on the breast of his blue flannel shirt, gave his posse directions for the onslaught upon Calliope.	true	469.73	481.72	20.115152
8464_282934_000012_000001	The plan was to accomplish the downfall of the Quicksand Terror without loss to the attacking party, if possible.	The plan was to accomplish the downfall of the Quicksand Terror without loss to the attacking party, if possible.	true	482.09	489.67	23.094711
8464_282934_000013_000000	The splenetic Calliope, unconscious of retributive plots, was steaming down the channel, cannonading on either side, when he suddenly became aware of breakers ahead.	The splenetic Calliope, unconscious of retributive plots, was steaming down the channel, cannonading on either side, when he suddenly became aware of breakers ahead.	true	490.46	501.22	20
8464_282934_000013_000001	The city marshal and one of the deputies rose up behind some dry-goods boxes half a square to the front and opened fire.	The city marshal and one of the deputies rose up behind some dry goods boxes half a square to the front and opened fire.	true	501.53	508.75	21
8464_282934_000013_000002	At the same time the rest of the posse, divided, shelled him from two side streets up which they were cautiously manoeuvring from a well-executed detour.	At the same time the rest of the posse, divided, shelled him from two side streets up which they were cautiously manoeuvring from a well executed detour.	true	509	519.16	21.763897
8464_282934_000014_000000	The first volley broke the lock of one of Calliope's guns, cut a neat underbit in his right ear, and exploded a cartridge in his crossbelt, scorching his ribs as it burst.	The first volley broke the lock of one of Calliope's guns, cut a neat underbit in his right ear, and exploded a cartridge in his crossbelt, scorching his ribs as it burst.	false	519.5	530.53	22.093706
8464_282934_000014_000001	Feeling braced up by this unexpected tonic to his spiritual depression, Calliope executed a fortissimo note from his upper register, and returned the fire like an echo.	Feeling braced up by this unexpected tonic to his spiritual depression, Calliope executed a fortissimo note from his upper register, and returned the fire like an echo.	true	530.84	542.47	22.918932
8464_282934_000014_000002	The upholders of the law dodged at his flash, but a trifle too late to save one of the deputies a bullet just above the elbow, and the marshal a bleeding cheek from a splinter that a ball tore from the box he had ducked behind.	The upholders of the law dodged at his flash, but a trifle too late to save one of the deputies a bullet just above the elbow, and the marshal a bleeding cheek from a splinter that a ball tore from the box he had ducked behind.	true	542.87	555.82	19
8464_282934_000015_000000	And now Calliope met the enemy's tactics in kind.	And now Calliope met the enemy's tactics in kind.	false	556.88	559.98	21
8464_282934_000015_000001	Choosing with a rapid eye the street from which the weakest and least accurate fire had come, he invaded it at a double-quick, abandoning the unprotected middle of the street.	Choosing with a rapid eye the street from which the weakest and least accurate fire had come, he invaded it at a double quick, abandoning the unprotected middle of the street.	true	559.98	570.34	22.034262
8464_282934_000015_000002	With rare cunning the opposing force in that direction--one of the deputies and two of the valorous volunteers-- waited, concealed by beer barrels, until Calliope had passed their retreat, and then peppered him from the rear.	With rare cunning the opposing force in that direction-one of the deputies and two of the valorous volunteers- waited, concealed by beer barrels, until Calliope had passed their retreat, and then peppered him from the rear.	true	570.41	583.84	21.312143
8464_282934_000015_000003	In another moment they were reinforced by the marshal and his other men, and then Calliope felt that in order to successfully prolong the delights of the controversy he must find some means of reducing the great odds against him.	In another moment they were reinforced by the marshal and his other men, and then Calliope felt that in order to successfully prolong the delights of the controversy he must find some means of reducing the great odds against him.	true	584.18	597.22	18
8464_282934_000015_000004	His eye fell upon a structure that seemed to hold out this promise, providing he could reach it.	His eye fell upon a structure that seemed to hold out this promise, providing he could reach it.	true	597.62	603.01	27.14342
8464_282934_000016_000000	Not far away was the little railroad station, its building a strong box house, ten by twenty feet, resting upon a platform four feet above ground.	Not far away was the little railroad station, its building a strong box house, ten by twenty feet, resting upon a platform four feet above ground.	true	603.77	613.03	21.103952
8464_282934_000016_000001	Windows were in each of its walls.	Windows were in each of its walls.	true	613.19	615.48	21.349697
8464_282934_000016_000002	Something like a fort it might become to a man thus sorely pressed by superior numbers.	Something like a fort it might become to a man thus sorely pressed by superior numbers.	true	615.48	620.47	20
8464_282934_000017_000000	Calliope made a bold and rapid spurt for it, the marshal's crowd "smoking" him as he ran.	Calliope made a bold and rapid spurt for it, the marshal's crowd "smoking" him as he ran.	true	621.11	626.65	24
8464_282934_000017_000001	He reached the haven in safety, the station agent leaving the building by a window, like a flying squirrel, as the garrison entered the door.	He reached the haven in safety, the station agent leaving the building by a window, like a flying squirrel, as the garrison entered the door.	true	626.93	635.53	20.48129
8464_282934_000018_000000	Patterson and his supporters halted under protection of a pile of lumber and held consultations.	Patterson and his supporters halted under protection of a pile of lumber and held consultations.	false	636.29	641.98	23.581158
8464_282934_000018_000001	In the station was an unterrified desperado who was an excellent shot and carried an abundance of ammunition.	In the station was an unterrified desperado who was an excellent shot and carried an abundance of ammunition.	true	642.44	650.26	21
8464_282934_000018_000002	For thirty yards on either side of the besieged was a stretch of bare, open ground.	For thirty yards on either side of the besieged was a stretch of bare, open ground.	false	650.51	655.86	20.310856
8464_282934_000018_000003	It was a sure thing that the man who attempted to enter that unprotected area would be stopped by one of Calliope's bullets.	It was a sure thing that the man who attempted to enter that unprotected area would be stopped by one of Calliope's bullets.	false	655.86	663.37	25
8464_282934_000019_000000	The city marshal was resolved.	The city marshal was resolved.	true	664.28	666.315	21.354136
8464_282934_000019_000001	He had decided that Calliope Catesby should no more wake the echoes of Quicksand with his strident whoop. He had so announced.	He had decided that Calliope Catesby should no more wake the echoes of Quicksand with his strident whoop. He had so announced.	true	666.315	674.8	22.406998
8464_282934_000019_000002	Officially and personally he felt imperatively bound to put the soft pedal on that instrument of discord.	Officially and personally he felt imperatively bound to put the soft pedal on that instrument of discord.	false	675.02	681.94	24.475393
8464_282934_000019_000003	It played bad tunes.	It played bad tunes.	true	682.22	684.43	24.325811
8464_282934_000020_000000	Standing near was a hand truck used in the manipulation of small freight.	Standing near was a hand truck used in the manipulation of small freight.	true	684.86	689.35	20.147486
8464_282934_000020_000001	It stood by a shed full of sacked wool, a consignment from one of the sheep ranches.	It stood by a shed full of sacked wool, a consignment from one of the sheep ranches.	true	689.6	694.75	22.292381
8464_282934_000020_000002	On this truck the marshal and his men piled three heavy sacks of wool.	On this truck the marshal and his men piled three heavy sacks of wool.	true	695	699.31	23.538225
8464_282934_000020_000003	Stooping low, Buck Patterson started for Calliope's fort, slowly pushing this loaded truck before him for protection.	Stooping low, Buck Patterson started for Calliope's fort, slowly pushing this loaded truck before him for protection.	false	699.47	707.02	24.155699
8464_282934_000020_000004	The posse, scattering broadly, stood ready to nip the besieged in case he should show himself in an effort to repel the juggernaut of justice that was creeping upon him.	The posse, scattering broadly, stood ready to nip the besieged in case he should show himself in an effort to repel the juggernaut of justice that was creeping upon him.	true	707.39	717.58	21.807457
8464_282934_000020_000005	Only once did Calliope make demonstration.	Only once did Calliope make demonstration.	true	718.28	721.03	20.476215
8464_282934_000020_000006	He fired from a window, and some tufts of wool spurted from the marshal's trustworthy bulwark.	He fired from a window, and some tufts of wool spurted from the marshal's trustworthy bulwark.	true	721.13	726.64	21.594543
8464_282934_000020_000007	The return shots from the posse pattered against the window frame of the fort.	The return shots from the posse pattered against the window frame of the fort.	true	727.16	731.11	23.282545
8464_282934_000020_000008	No loss resulted on either side.	No loss resulted on either side.	true	731.39	734.11	22.127987
8464_282934_000021_000000	The marshal was too deeply engrossed in steering his protected battleship to be aware of the approach of the morning train until he was within a few feet of the platform.	The marshal was too deeply engrossed in steering his protected battleship to be aware of the approach of the morning train until he was within a few feet of the platform.	true	734.84	744.64	21
8464_282934_000021_000001	The train was coming up on the other side of it.	The train was coming up on the other side of it.	true	744.89	747.21	19
8464_282934_000021_000002	It stopped only one minute at Quicksand.	It stopped only one minute at Quicksand.	false	747.21	749.95	18.119205
8464_282934_000021_000003	What an opportunity it would offer to Calliope!	What an opportunity it would offer to Calliope!	true	750.14	753.22	17
8464_282934_000021_000004	He had only to step out the other door, mount the train, and away.	He had only to step out the other door, mount the train, and away.	true	753.32	758.14	22.697968
8464_282934_000022_000000	Abandoning his breastwork, Buck, with his gun ready, dashed up the steps and into the room, driving upon the closed door with one heave of his weighty shoulder.	Abandoning his breastwork, Buck, with his gun ready, dashed up the steps and into the room, driving upon the closed door with one heave of his weighty shoulder.	true	758.57	768.43	17
8464_282934_000022_000001	The members of the posse heard one shot fired inside, and then there was silence.	The members of the posse heard one shot fired inside, and then there was silence.	true	768.59	775.08	21.931345
8464_282934_000023_000000	*****	asterisk asterisk asterisk asterisk asterisk	false	775.08	777.555	-20
8464_282934_000024_000000	At length the wounded man opened his eyes.	At length the wounded man opened his eyes.	true	777.555	780.22	17
8464_282934_000024_000001	After a blank space he again could see and hear and feel and think.	After a blank space he again could see and hear and feel and think.	true	780.62	786.07	22.435251
8464_282934_000024_000002	Turning his eyes about, he found himself lying on a wooden bench.	Turning his eyes about, he found himself lying on a wooden bench.	true	786.53	790.24	15.589022
8464_282934_000024_000003	A tall man with a perplexed countenance, wearing a big badge with "City Marshal" engraved upon it, stood over him.	A tall man with a perplexed countenance, wearing a big badge with "City Marshal" engraved upon it, stood over him.	true	790.28	796.84	20
8464_282934_000024_000004	A little old woman in black, with a wrinkled face and sparkling black eyes, was holding a wet handkerchief against one of his temples.	A little old woman in black, with a wrinkled face and sparkling black eyes, was holding a wet handkerchief against one of his temples.	true	797.3	805	20
8464_282934_000024_000005	He was trying to get these facts fixed in his mind and connected with past events, when the old woman began to talk.	He was trying to get these facts fixed in his mind and connected with past events, when the old woman began to talk.	true	806	813.04	21.688925
8464_282934_000025_000000	"There now, great, big, strong man!	"There now, great, big, strong man!	true	813.92	816.31	21.493467
8464_282934_000025_000001	That bullet never tetched ye!	That bullet never tetched ye!	false	816.44	818.67	24.625479
8464_282934_000025_000002	Jest skeeted along the side of your head and sort of paralysed ye for a spell.	Jest skeeted along the side of your head and sort of paralysed ye for a spell.	false	818.67	823.96	23.189718
8464_282934_000025_000003	I've heerd of sech things afore; cun-cussion is what they names it.	I've heerd of sech things afore; cun cussion is what they names it.	false	824.42	829.39	23.295576
8464_282934_000025_000004	Abel Wadkins used to kill squirrels that way--barkin' 'em, Abe called it.	Abel Wadkins used to kill squirrels that way-barkin' 'em, Abe called it.	false	829.79	835.03	25.463633
8464_282934_000025_000005	You jest been barked, sir, and you'll be all right in a little bit.	You jest been barked, sir, and you'll be all right in a little bit.	false	835.43	839.32	26.668869
8464_282934_000025_000006	Feel lots better already, don't ye!	Feel lots better already, don't ye!	false	839.99	842.94	18.677397
8464_282934_000025_000007	You just lay still a while longer and let me bathe your head.	You just lay still a while longer and let me bathe your head.	false	842.94	846.4	18
8464_282934_000025_000008	You don't know me, I reckon, and 'tain't surprisin' that you shouldn't.	You don't know me, I reckon, and 'tain't surprisin' that you shouldn't.	true	847.1	850.83	23
8464_282934_000025_000009	I come in on that train from Alabama to see my son.	I come in on that train from Alabama to see my son.	false	850.83	854.68	16.921759
8464_282934_000025_000010	Big son, ain't he?	Big son, ain't he?	false	855.29	857.01	20.198103
8464_282934_000025_000011	Lands! you wouldn't hardly think he'd ever been a baby, would ye?	Lands! you wouldn't hardly think he'd ever been a baby, would ye?	true	857.01	860.83	12
8464_282934_000025_000012	This is my son, sir."	This is my son, sir."	true	861.38	863.38	20.536898
8464_282934_000026_000000	Half turning, the old woman looked up at the standing man, her worn face lighting with a proud and wonderful smile.	Half turning, the old woman looked up at the standing man, her worn face lighting with a proud and wonderful smile.	true	863.93	871.66	22.6806
8464_282934_000026_000001	She reached out one veined and calloused hand and took one of her son's.	She reached out one veined and calloused hand and took one of her son's.	true	872.09	876.18	21
8464_282934_000026_000002	Then smiling cheerily down at the prostrate man, she continued to dip the handkerchief, in the waiting-room tin washbasin and gently apply it to his temple.	Then smiling cheerily down at the prostrate man, she continued to dip the handkerchief, in the waiting room tin washbasin and gently apply it to his temple.	false	876.18	886.42	21.866615
8464_282934_000026_000003	She had the benevolent garrulity of old age.	She had the benevolent garrulity of old age.	true	886.91	890.26	19
8464_282934_000027_000000	"I ain't seen my son before," she continued, "in eight years.	"I ain't seen my son before," she continued, "in eight years.	false	891.05	895.18	17.41128
8464_282934_000027_000001	One of my nephews, Elkanah Price, he's a conductor on one of them railroads and he got me a pass to come out here.	One of my nephews, Elkanah Price, he's a conductor on one of them railroads and he got me a pass to come out here.	true	895.67	903.31	20.311584
8464_282934_000027_000002	I can stay a whole week on it, and then it'll take me back again.	I can stay a whole week on it, and then it'll take me back again.	true	903.65	907.65	22.07222
8464_282934_000027_000003	Jest think, now, that little boy of mine has got to be a officer--a city marshal of a whole town!	Jest think, now, that little boy of mine has got to be a officer-a city marshal of a whole town!	false	907.65	915.19	20.142843
8464_282934_000027_000004	That's somethin' like a constable, ain't it?	That's somethin' like a constable, ain't it?	false	915.56	918.27	28.219837
8464_282934_000027_000005	I never knowed he was a officer; he didn't say nothin' about it in his letters.	I never knowed he was a officer; he didn't say nothin' about it in his letters.	true	918.27	922.75	19.276123
8464_282934_000027_000006	I reckon he thought his old mother'd be skeered about the danger he was in.	I reckon he thought his old mother'd be skeered about the danger he was in.	true	923.06	927.04	20
8464_282934_000027_000007	But, laws!	But, laws!	true	927.23	928.44	21.131134
8464_282934_000027_000008	I never was much of a hand to git skeered.	I never was much of a hand to git skeered.	false	928.44	931.41	18.402184
8464_282934_000027_000009	'Tain't no use.	'Tain't no use.	false	931.41	933.49	20.203394
8464_282934_000027_000010	I heard them guns a-shootin' while I was gettin' off them cars, and I see smoke a-comin' out of the depot, but I jest walked right along.	I heard them guns a shootin' while I was gettin' off them cars, and I see smoke a comin' out of the depot, but I jest walked right along.	false	933.53	941.52	17
8464_282934_000027_000011	Then I see son's face lookin' out through the window.	Then I see son's face lookin' out through the window.	false	941.52	945.27	19.628248
8464_282934_000027_000012	I knowed him at oncet.	I knowed him at oncet.	false	945.27	947.37	19.446676
8464_282934_000027_000013	He met me at the door, and squeezes me 'most to death.	He met me at the door, and squeezes me 'most to death.	true	947.37	950.34	21
8464_282934_000027_000014	And there you was, sir, a-lyin' there jest like you was dead, and I 'lowed we'd see what might be done to help sot you up."	And there you was, sir, a lyin' there jest like you was dead, and I 'lowed we'd see what might be done to help sot you up."	false	950.34	959.05	20.099754
8464_282934_000028_000000	"I think I'll sit up now," said the concussion patient.	"I think I'll sit up now," said the concussion patient.	true	960.02	963.22	22.607588
8464_282934_000028_000001	"I'm feeling pretty fair by this time."	"I'm feeling pretty fair by this time."	true	963.53	965.92	23.110476
8464_282934_000029_000000	He sat, somewhat weakly yet, leaning against the wall.	He sat, somewhat weakly yet, leaning against the wall.	true	966.83	970.75	25.487097
8464_282934_000029_000001	He was a rugged man, big-boned and straight.	He was a rugged man, big boned and straight.	true	971.03	974.14	20.511425
8464_282934_000029_000002	His eyes, steady and keen, seemed to linger upon the face of the man standing so still above him.	His eyes, steady and keen, seemed to linger upon the face of the man standing so still above him.	false	974.15	980.38	19
8464_282934_000029_000003	His look wandered often from the face he studied to the marshal's badge upon the other's breast.	His look wandered often from the face he studied to the marshal's badge upon the other's breast.	true	980.99	986.77	18.243279
8464_282934_000030_000000	"Yes, yes, you'll be all right," said the old woman, patting his arm, "if you don't get to cuttin' up agin, and havin' folks shooting at you.	"Yes, yes, you'll be all right," said the old woman, patting his arm, "if you don't get to cuttin' up agin, and havin' folks shooting at you.	false	987.32	994.63	21.344265
8464_282934_000030_000001	Son told me about you, sir, while you was layin' senseless on the floor.	Son told me about you, sir, while you was layin' senseless on the floor.	false	994.94	998.95	15.867339
8464_282934_000030_000002	Don't you take it as meddlesome fer an old woman with a son as big as you to talk about it.	Don't you take it as meddlesome fer an old woman with a son as big as you to talk about it.	true	999.38	1004.26	20
8464_282934_000030_000003	And you mustn't hold no grudge ag'in' my son for havin' to shoot at ye.	And you mustn't hold no grudge ag'in' my son for havin' to shoot at ye.	false	1004.48	1008.31	18.85068
