6965_291718_000000_000000	Your affectionate Pussy.	Your affectionate Pussy.	false	0	1.65	24.162567
6965_291718_000012_000002	I will write you again in a day or two, and tell you how I am getting on.	I will write you again in a day or two, and tell you how I am getting on.	true	444.29	448.78	17
6965_291718_000012_000003	I hope you will come home soon.	I hope you will come home soon.	true	448.94	451.93	20.683374
6965_291718_000013_000000	Your affectionate Pussy.	Your affectionate Pussy.	true	452.45	454.65	26.407766
6965_291718_000014_000000	[Illustration: "Then your grandfather made up a nice bed in the cradle, and laid me down in it."--Page 76.]	[Illustration: "Then your grandfather made up a nice bed in the cradle, and laid me down in it."--Page seventy six.]	false	454.65	455.7	-20
6965_291718_000015_000000	[Illustration: "One day he slipped in between the legs of the butcher boy, but before I had time to say a word to him, Mary flew at him with the broom."--Page 81.]	[Illustration: "One day he slipped in between the legs of the butcher boy, but before I had time to say a word to him, Mary flew at him with the broom."--Page eighty one.]	false	455.7	456.78	22.919666
6965_291718_000016_000000	VII.	seven.	true	456.78	457.57	23.560848
6965_291718_000017_000000	My Dear Helen:	My Dear Helen:	true	458.18	459.58	21.569698
6965_291718_000018_000000	I am so glad to know that you are coming home next week, that I cannot think of any thing else.	I am so glad to know that you are coming home next week, that I cannot think of any thing else.	true	459.65	466	23
6965_291718_000018_000001	There is only one drawback to my pleasure, and that is, I am so ashamed to have you see me in such a plight.	There is only one drawback to my pleasure, and that is, I am so ashamed to have you see me in such a plight.	true	466.28	474.25	20.937922
6965_291718_000018_000002	I told you, in my last letter, that my fur was beginning to come off.	I told you, in my last letter, that my fur was beginning to come off.	true	474.89	479.71	21.383446
6965_291718_000018_000003	Your grandfather has tried several things of his, which are said to be good for hair; but they have not had the least effect.	Your grandfather has tried several things of his, which are said to be good for hair; but they have not had the least effect.	true	480.68	488.74	21.563812
6965_291718_000018_000004	For my part I don't see why they should; fur and hair are two very different things, and I thought at the outset there was no use in putting on my skin what was intended for the skin of human heads, and even on them don't seem to work any great wonders, if I can judge from your grandfather's head, which you know is as bald and pink and shiny as a baby's.	For my part one don't see why they should; fur and hair are two very different things, and I thought at the outset there was no use in putting on my skin what was intended for the skin of human heads, and even on them don't seem to work any great wonders, if I can judge from your grandfather's head, which you know is as bald and pink and shiny as a baby's.	false	489.23	516.16	22.262165
6965_291718_000018_000005	However, he has been so good to me, that I let him do any thing he likes, and every day he rubs in some new kind of stuff, which smells a little worse than the last one.	However, he has been so good to me, that I let him do any thing he likes, and every day he rubs in some new kind of stuff, which smells a little worse than the last one.	true	516.47	528.16	22.840363
6965_291718_000018_000006	It is utterly impossible for me to get within half a mile of a rat or a mouse.	It is utterly impossible for me to get within half a mile of a rat or a mouse.	true	528.74	533.68	18
6965_291718_000018_000007	I might as well fire off a gun to let them know I am coming, as to go about scented up so that they can smell me a great deal farther off than they can see me.	I might as well fire off a gun to let them know I am coming, as to go about scented up so that they can smell me a great deal farther off than they can see me.	true	534.23	544.42	21.88539
6965_291718_000018_000008	If it were not for this dreadful state of my fur, I should be perfectly happy, for I feel much better than I ever did before in my whole life, and am twice as fat as when you went away.	If it were not for this dreadful state of my fur, I should be perfectly happy, for I feel much better than I ever did before in my whole life, and am twice as fat as when you went away.	true	545.06	558.25	21.803915
6965_291718_000018_000009	I try to be resigned to whatever may be in store for me, but it is very hard to look forward to being a fright all the rest of one's days.	I try to be resigned to whatever may be in store for me, but it is very hard to look forward to being a fright all the rest of one's days.	true	558.8	568.6	22
6965_291718_000018_000010	I don't suppose such a thing was ever seen in the world as a cat without any fur.	I don't suppose such a thing was ever seen in the world as a cat without any fur.	true	569.21	575.02	20
6965_291718_000018_000011	This morning your grandfather sat looking at me for a long time and stroking his chin: at last he said, "Do you suppose it would do any good to shave the cat all over?" At this I could not resist the impulse to scream, and your mother said, "I do believe the creature knows whenever we speak about her." Of course I do!	This morning your grandfather sat looking at me for a long time and stroking his chin: at last he said, "Do you suppose it would do any good to shave the cat all over?" At this I could not resist the impulse to scream, and your mother said, "I do believe the creature knows whenever we speak about her." Of course I do!	true	575.96	601.875	21.68485
6965_291718_000018_000012	Why in the world shouldn't I! People never seem to observe that cats have ears.	Why in the world shouldn't I! People never seem to observe that cats have ears.	true	601.875	607.72	21.667694
6965_291718_000018_000013	I often think how much more careful they would be if they did.	I often think how much more careful they would be if they did.	true	608.06	611.89	21.619339
6965_291718_000018_000014	I have many a time to see them send children out of the room, and leave me behind, when I knew perfectly well that the children would neither notice nor understand half so much as I would.	I have many a time to see them send children out of the room, and leave me behind, when I knew perfectly well that the children would neither notice nor understand half so much as I would.	false	612.29	625.75	21
6965_291718_000018_000015	There are some houses in which I lived, before I came to live with you, about which I could tell strange stories if I chose.	There are some houses in which I lived, before I came to live with you, about which I could tell strange stories if I chose.	true	626.27	635.08	22.668573
6965_291718_000019_000000	Caesar pretends that he likes the looks of little spots of pink skin, here and there, in fur; but I know he only does it to save my feelings, for it isn't in human nature--I mean in cat's nature--that any one should.	Caesar pretends that he likes the looks of little spots of pink skin, here and there, in fur; but I know he only does it to save my feelings, for it isn't in human nature-I mean in cat's nature-that any one should.	false	636.17	652.81	22.226078
6965_291718_000019_000001	You see I spend so much more time in the society of men and women than of cats, that I find myself constantly using expressions which sound queerly in a cat's mouth.	You see I spend so much more time in the society of men and women than of cats, that I find myself constantly using expressions which sound queerly in a cat's mouth.	true	653.27	664.45	21
6965_291718_000019_000002	But you know me well enough to be sure that every thing I say is perfectly natural.	But you know me well enough to be sure that every thing I say is perfectly natural.	true	665.15	670.57	21.349644
6965_291718_000019_000003	And now, my dear Helen, I hope I have prepared you to see me looking perfectly hideous.	And now, my dear Helen, I hope I have prepared you to see me looking perfectly hideous.	true	670.94	677.38	22.913
6965_291718_000019_000004	I only trust that your love for me will not be entirely killed by my unfortunate appearance.	I only trust that your love for me will not be entirely killed by my unfortunate appearance.	true	677.78	684.94	23.060091
6965_291718_000019_000005	If you do seem to love me less, I shall be wretched, but I shall still be, always,	If you do seem to love me less, I shall be wretched, but I shall still be, always,	false	685.61	708.87	21.532963
