3483_115968_000002_000000	Incredible Treason	Incredible Treason
3483_115968_000018_000003	The results were disastrous to our hereditary enemies.	The results were disastrous to our hereditary enemies.
3483_115968_000019_000001	A dozen Sacramentos had caught the hazy outlines of its rep rays approaching them, head-on, in the twilight, like ghostly pillars reaching into the sky.	A dozen Sacramentos had caught the hazy outlines of its rep rays approaching them, head on, in the twilight, like ghostly pillars reaching into the sky.
3483_115968_000019_000003	They got one rep ray. The other was not strong enough to hold it up.	They got one rep ray. The other was not strong enough to hold it up.
3483_115968_000019_000004	It floated to earth, nose down, and since it was unarmed and unarmored, they had no difficulty in shooting it to pieces and massacring its crew and passengers.	It floated to earth, nose down, and since it was unarmed and unarmored, they had no difficulty in shooting it to pieces and massacring its crew and passengers.
3483_115968_000019_000006	But then I did not have centuries of bitter persecution in my blood.	But then I did not have centuries of bitter persecution in my blood.
3483_115968_000020_000001	The Sand-snipers, practically invisible in their sand-colored clothing, and half buried along the beaches, lay in wait for days, risking the play of dis beams along the route, and finally registering four hits within a week.	The Sand snipers, practically invisible in their sand colored clothing, and half buried along the beaches, lay in wait for days, risking the play of dis beams along the route, and finally registering four hits within a week.
3483_115968_000020_000002	The Hans discontinued their service along this route, and as evidence that they were badly shaken by our success, sent no raiders down the Beaches.	The Hans discontinued their service along this route, and as evidence that they were badly shaken by our success, sent no raiders down the Beaches.
3483_115968_000022_000000	"Tony," he said, "There are two things I want to talk to you about.	"Tony," he said, "There are two things I want to talk to you about.
3483_115968_000022_000001	One of them will become public property in a few days, I think.	One of them will become public property in a few days, I think.
3483_115968_000022_000002	We aren't going to get any more Han ships by shooting up their repellor rays unless we use much larger rockets.	We aren't going to get any more Han ships by shooting up their repellor rays unless we use much larger rockets.
3483_115968_000022_000003	They are wise to us now.	They are wise to us now.
3483_115968_000022_000004	They're putting armor of great thickness in the hulls of their ships below the rep-ray machines.	They're putting armor of great thickness in the hulls of their ships below the rep ray machines.
3483_115968_000022_000005	Near Bah-flo this morning a party of Eries shot one without success.	Near Bah flo this morning a party of Eries shot one without success.
3483_115968_000022_000006	The explosions staggered her, but did not penetrate.	The explosions staggered her, but did not penetrate.
3483_115968_000022_000008	Our reports indicate that the Eries' rockets bounced off harmlessly.	Our reports indicate that the Eries' rockets bounced off harmlessly.
3483_115968_000022_000009	Most of the party was wiped out as the dis rays went into action on them.	Most of the party was wiped out as the dis rays went into action on them.
3483_115968_000023_000002	The first move is to develop sectional organization by Zones.	The first move is to develop sectional organization by Zones.
3483_115968_000024_000000	"We're in for it now.	"We're in for it now.
3483_115968_000024_000001	The Hans are sure to launch reprisal expeditions. If we're to save the race we must keep them away from our camps and plants.	The Hans are sure to launch reprisal expeditions. If we're to save the race we must keep them away from our camps and plants.
3483_115968_000024_000002	I'm thinking of developing a permanent field force, along the lines of the regular armies of the 20th Century you told me about.	I'm thinking of developing a permanent field force, along the lines of the regular armies of the twentieth Century you told me about.
3483_115968_000024_000004	I'm going to need your help in this.	I'm going to need your help in this.
3483_115968_000025_000002	You know, a hundred and fifteen or twenty years ago there were certain of these people's ancestors who actually degraded themselves by mating with the Hans, sometimes even serving them as slaves, in the days before they brought all their service machinery to perfection.	You know, a hundred and fifteen or twenty years ago there were certain of these people's ancestors who actually degraded themselves by mating with the Hans, sometimes even serving them as slaves, in the days before they brought all their service machinery to perfection.
3483_115968_000026_000001	But I hardly suspect the Pineys. There is little intelligence among them.	But I hardly suspect the Pineys. There is little intelligence among them.
3483_115968_000027_000000	"Just what evidence is there that anybody has been clearing information to the Hans?" I asked.	"Just what evidence is there that anybody has been clearing information to the Hans?" I asked.
3483_115968_000028_000000	"Well," he replied, "first of all there was that raid upon us.	"Well," he replied, "first of all there was that raid upon us.
3483_115968_000028_000001	That first Han ship knew the location of our plants exactly.	That first Han ship knew the location of our plants exactly.
3483_115968_000028_000003	Then, the Hans quite obviously have learned that we are picking up their electrophone waves, for they've gone back to their old, but extremely accurate, system of directional control.	Then, the Hans quite obviously have learned that we are picking up their electrophone waves, for they've gone back to their old, but extremely accurate, system of directional control.
3483_115968_000028_000004	But we've been getting them for the past week by installing automatic re-broadcast units along the scar paths.	But we've been getting them for the past week by installing automatic re broadcast units along the scar paths.
3483_115968_000028_000005	This is what the Americans called those strips of country directly under the regular ship routes of the Hans, who as a matter of precaution frequently blasted them with their dis beams to prevent the growth of foliage which might give shelter to the Americans.	This is what the Americans called those strips of country directly under the regular ship routes of the Hans, who as a matter of precaution frequently blasted them with their dis beams to prevent the growth of foliage which might give shelter to the Americans.
3483_115968_000028_000006	But they've been beaming those paths so hard, it looks as though they even had information of this strategy.	But they've been beaming those paths so hard, it looks as though they even had information of this strategy.
3483_115968_000028_000007	And in addition, they've been using code.	And in addition, they've been using code.
3483_115968_000028_000008	Finally, we've picked up three of their messages in which they discuss, with some nervousness, the existence of our 'mysterious' ultrophone."	Finally, we've picked up three of their messages in which they discuss, with some nervousness, the existence of our 'mysterious' ultrophone."
3483_115968_000029_000000	"But they still have no knowledge of the nature and control of ultronic activity?" I asked.	"But they still have no knowledge of the nature and control of ultronic activity?" I asked.
3483_115968_000031_000000	"Then it's quite clear," I ventured, "that whoever is 'clearing' us to them is doing it piecemeal.	"Then it's quite clear," I ventured, "that whoever is 'clearing' us to them is doing it piecemeal.
3483_115968_000031_000001	It sounds like a bit of occasional barter, rather than an out-and-out alliance.	It sounds like a bit of occasional barter, rather than an out and out alliance.
3483_115968_000031_000002	They're holding back as much information as possible for future bartering, perhaps."	They're holding back as much information as possible for future bartering, perhaps."
