3483_115968_000000_000000	The message ended with a repetition of the warning to other airmen to avoid the valley.	The message ended with a repetition of the warning to other airmen to avoid the valley.	false	0	11.805	22.030174
3483_115968_000014_000000	But owing to the centuries of desperate suffering the people had endured at the hands of the Hans, there developed a spirit of self-sacrifice and consideration for the common good that made the scheme applicable and efficient in all forms of human co-operation.	But owing to the centuries of desperate suffering the people had endured at the hands of the Hans, there developed a spirit of self sacrifice and consideration for the common good that made the scheme applicable and efficient in all forms of human co-operation.	true	273.71	288.52	21.700619
3483_115968_000015_000000	I have a little heresy about all this, however.	I have a little heresy about all this, however.	true	289.19	291.85	20.19701
3483_115968_000015_000001	My associates regard the thought with as much horror as many worthy people of the 20th Century felt in regard to any heretical suggestion that the original outline of government as laid down in the First Constitution did not apply as well to 20th Century conditions as to those of the early 19th.	My associates regard the thought with as much horror as many worthy people of the twentieth Century felt in regard to any heretical suggestion that the original outline of government as laid down in the First Constitution did not apply as well to twentieth Century conditions as to those of the early nineteenth.	true	292.25	310.51	20.886034
3483_115968_000016_000000	In later years, I felt that there was a certain softening of moral fiber among the people, since the Hans had been finally destroyed with all their works; and Americans have developed a new luxury economy.	In later years, I felt that there was a certain softening of moral fiber among the people, since the Hans had been finally destroyed with all their works; and Americans have developed a new luxury economy.	false	311	322.66	22.454365
3483_115968_000016_000001	I have seen signs of the reawakening of greed, of selfishness.	I have seen signs of the reawakening of greed, of selfishness.	true	323.06	327.16	22.694063
3483_115968_000016_000002	The eternal cycle seems to be at work.	The eternal cycle seems to be at work.	true	327.53	329.91	22.587847
3483_115968_000016_000003	I fear that slowly, though surely, private wealth is reappearing, codes of inflexibility are developing; they will be followed by corruption, degradation; and in the end some cataclysmic event will end this era and usher in a new one.	I fear that slowly, though surely, private wealth is reappearing, codes of inflexibility are developing; they will be followed by corruption, degradation; and in the end some cataclysmic event will end this era and usher in a new one.	false	329.91	344.82	21.96
3483_115968_000017_000000	All this, however, is wandering afar from my story, which concerns our early battles against the Hans, and not our more modern problems of self-control.	All this, however, is wandering afar from my story, which concerns our early battles against the Hans, and not our more modern problems of self control.	true	344.82	353.68	21.38282
3483_115968_000018_000000	Our victory over the seven Han ships had set the country ablaze.	Our victory over the seven Han ships had set the country ablaze.	true	354.68	358.63	22.222885
3483_115968_000018_000001	The secret had been carefully communicated to the other gangs, and the country was agog from one end to the other.	The secret had been carefully communicated to the other gangs, and the country was agog from one end to the other.	false	359.03	365.2	21.00122
3483_115968_000018_000002	There was feverish activity in the ammunition plants, and the hunting of stray Han ships became an enthusiastic sport.	There was feverish activity in the ammunition plants, and the hunting of stray Han ships became an enthusiastic sport.	true	365.48	372.97	21.696232
3483_115968_000018_000003	The results were disastrous to our hereditary enemies.	The results were disastrous to our hereditary enemies.	true	373.4	376.47	22.588175
3483_115968_000019_000000	From the Pacific Coast came the report of a great transpacific liner of 75,000 tons "lift" being brought to earth from a position of invisibility above the clouds.	From the Pacific Coast came the report of a great transpacific liner of seventy five thousand tons "lift" being brought to earth from a position of invisibility above the clouds.	false	376.47	387.52	21.071575
3483_115968_000019_000001	A dozen Sacramentos had caught the hazy outlines of its rep rays approaching them, head-on, in the twilight, like ghostly pillars reaching into the sky.	A dozen Sacramentos had caught the hazy outlines of its rep rays approaching them, head on, in the twilight, like ghostly pillars reaching into the sky.	true	387.98	397.75	22.138138
3483_115968_000019_000002	They had fired rockets into it with ease, whereas they would have had difficulty in hitting it if it had been moving at right angles to their position.	They had fired rockets into it with ease, whereas they would have had difficulty in hitting it if it had been moving at right angles to their position.	true	397.79	405.43	19.379538
3483_115968_000019_000003	They got one rep ray. The other was not strong enough to hold it up.	They got one rep ray. The other was not strong enough to hold it up.	true	405.89	410.11	22.961445
3483_115968_000019_000004	It floated to earth, nose down, and since it was unarmed and unarmored, they had no difficulty in shooting it to pieces and massacring its crew and passengers.	It floated to earth, nose down, and since it was unarmed and unarmored, they had no difficulty in shooting it to pieces and massacring its crew and passengers.	true	410.12	419.89	21.116657
3483_115968_000019_000005	It seemed barbarous to me.	It seemed barbarous to me.	true	420.29	421.96	19.764666
3483_115968_000019_000006	But then I did not have centuries of bitter persecution in my blood.	But then I did not have centuries of bitter persecution in my blood.	true	422.3	426.28	21.646145
3483_115968_000020_000000	From the Jersey Beaches we received news of the destruction of a Nu-yok-A-lan-a liner.	From the Jersey Beaches we received news of the destruction of a Nu y o k A lan a liner.	false	426.77	432.49	20.071514
3483_115968_000020_000001	The Sand-snipers, practically invisible in their sand-colored clothing, and half buried along the beaches, lay in wait for days, risking the play of dis beams along the route, and finally registering four hits within a week.	The Sand snipers, practically invisible in their sand colored clothing, and half buried along the beaches, lay in wait for days, risking the play of dis beams along the route, and finally registering four hits within a week.	true	432.86	446.11	21.685888
3483_115968_000020_000002	The Hans discontinued their service along this route, and as evidence that they were badly shaken by our success, sent no raiders down the Beaches.	The Hans discontinued their service along this route, and as evidence that they were badly shaken by our success, sent no raiders down the Beaches.	true	446.39	454.78	20.866598
3483_115968_000021_000000	It was a few weeks later that Big Boss Hart sent for me.	It was a few weeks later that Big Boss Hart sent for me.	false	455.54	458.86	22.753464
3483_115968_000022_000000	"Tony," he said, "There are two things I want to talk to you about.	"Tony," he said, "There are two things I want to talk to you about.	true	459.53	463.21	23.460499
3483_115968_000022_000001	One of them will become public property in a few days, I think.	One of them will become public property in a few days, I think.	true	463.46	466.54	23.28586
3483_115968_000022_000002	We aren't going to get any more Han ships by shooting up their repellor rays unless we use much larger rockets.	We aren't going to get any more Han ships by shooting up their repellor rays unless we use much larger rockets.	true	466.76	473.14	21.922974
3483_115968_000022_000003	They are wise to us now.	They are wise to us now.	true	473.96	475.48	23.436504
3483_115968_000022_000004	They're putting armor of great thickness in the hulls of their ships below the rep-ray machines.	They're putting armor of great thickness in the hulls of their ships below the rep ray machines.	true	475.64	480.37	22.705893
3483_115968_000022_000005	Near Bah-flo this morning a party of Eries shot one without success.	Near Bah flo this morning a party of Eries shot one without success.	true	480.65	485.14	22.398554
3483_115968_000022_000006	The explosions staggered her, but did not penetrate.	The explosions staggered her, but did not penetrate.	true	485.66	488.86	23.944216
3483_115968_000022_000007	As near as we can gather from their reports, their laboratories have developed a new alloy of great tensile strength and elasticity which nevertheless lets the rep rays through like a sieve.	As near as we can gather from their reports, their laboratories have developed a new alloy of great tensile strength and elasticity which nevertheless lets the rep rays through like a sieve.	false	489.23	499.87	22.416294
3483_115968_000022_000008	Our reports indicate that the Eries' rockets bounced off harmlessly.	Our reports indicate that the Eries' rockets bounced off harmlessly.	true	500.18	504.25	23.128822
3483_115968_000022_000009	Most of the party was wiped out as the dis rays went into action on them.	Most of the party was wiped out as the dis rays went into action on them.	true	504.47	508.66	21.91016
3483_115968_000023_000000	"This is going to mean real business for all of the gangs before long. The Big Bosses have just held a national ultrophone council.	"This is going to mean real business for all of the gangs before long. The Big Bosses have just held a national ultrophone council.	false	509.24	516.4	18.597973
3483_115968_000023_000001	It was decided that America must organize on a national basis.	It was decided that America must organize on a national basis.	true	516.83	520.69	19.601856
3483_115968_000023_000002	The first move is to develop sectional organization by Zones.	The first move is to develop sectional organization by Zones.	true	521.36	524.92	21.169027
3483_115968_000023_000003	I have been made Superboss of the Mid-Atlantic Zone.	I have been made Superboss of the Mid Atlantic Zone.	false	525.11	527.95	20.188208
3483_115968_000024_000000	"We're in for it now.	"We're in for it now.	true	528.53	529.81	23.177073
3483_115968_000024_000001	The Hans are sure to launch reprisal expeditions. If we're to save the race we must keep them away from our camps and plants.	The Hans are sure to launch reprisal expeditions. If we're to save the race we must keep them away from our camps and plants.	true	529.91	537.16	22.783638
3483_115968_000024_000002	I'm thinking of developing a permanent field force, along the lines of the regular armies of the 20th Century you told me about.	I'm thinking of developing a permanent field force, along the lines of the regular armies of the twentieth Century you told me about.	true	537.44	544.21	20.133463
3483_115968_000024_000003	Its business will be twofold: to carry the warfare as much as possible to the Hans, and to serve as a decoy, to beep their attention from our plants.	Its business will be twofold: to carry the warfare as much as possible to the Hans, and to serve as a decoy, to beep their attention from our plants.	false	544.67	553.48	23.673075
3483_115968_000024_000004	I'm going to need your help in this.	I'm going to need your help in this.	true	553.73	555.52	20.59702
3483_115968_000025_000000	"The other thing I wanted to talk to you about is this: Amazing and impossible as it seems, there is a group, or perhaps an entire gang, somewhere among us, that is betraying us to the Hans.	"The other thing I wanted to talk to you about is this: Amazing and impossible as it seems, there is a group, or perhaps an entire gang, somewhere among us, that is betraying us to the Hans.	false	556.55	567.64	21.926352
3483_115968_000025_000001	It may be the Bad Bloods, or it may be one of those gangs who live near one of the Han cities.	It may be the Bad Bloods, or it may be one of those gangs who live near one of the Han cities.	true	567.89	573.04	17.412228
3483_115968_000025_000002	You know, a hundred and fifteen or twenty years ago there were certain of these people's ancestors who actually degraded themselves by mating with the Hans, sometimes even serving them as slaves, in the days before they brought all their service machinery to perfection.	You know, a hundred and fifteen or twenty years ago there were certain of these people's ancestors who actually degraded themselves by mating with the Hans, sometimes even serving them as slaves, in the days before they brought all their service machinery to perfection.	true	573.44	588.64	22.02161
3483_115968_000026_000000	"There is such a gang, called the Nagras, up near Bah-flo, and another in Mid-Jersey that men call the Pineys.	"There is such a gang, called the Nagras, up near Bah flo, and another in Mid Jersey that men call the Pineys.	false	589.76	596.83	20.976067
3483_115968_000026_000001	But I hardly suspect the Pineys. There is little intelligence among them.	But I hardly suspect the Pineys. There is little intelligence among them.	true	597.05	601.21	21.030293
3483_115968_000026_000002	They wouldn't have the information to give the Hans, nor would they be capable of imparting it. They're absolute savages."	They wouldn't have the information to give the Hans, nor would they be capable of imparting it. They're absolute savages."	true	601.49	608.32	19.146198
3483_115968_000027_000000	"Just what evidence is there that anybody has been clearing information to the Hans?" I asked.	"Just what evidence is there that anybody has been clearing information to the Hans?" I asked.	true	609.59	614.26	20.398088
3483_115968_000028_000000	"Well," he replied, "first of all there was that raid upon us.	"Well," he replied, "first of all there was that raid upon us.	true	614.84	618.79	23.815786
3483_115968_000028_000001	That first Han ship knew the location of our plants exactly.	That first Han ship knew the location of our plants exactly.	true	618.86	622.45	23.434397
3483_115968_000028_000002	You remember it floated directly into position above the valley and began a systematic beaming.	You remember it floated directly into position above the valley and began a systematic beaming.	true	622.76	628	19.847246
3483_115968_000028_000003	Then, the Hans quite obviously have learned that we are picking up their electrophone waves, for they've gone back to their old, but extremely accurate, system of directional control.	Then, the Hans quite obviously have learned that we are picking up their electrophone waves, for they've gone back to their old, but extremely accurate, system of directional control.	true	628.43	637.9	22.948803
3483_115968_000028_000004	But we've been getting them for the past week by installing automatic re-broadcast units along the scar paths.	But we've been getting them for the past week by installing automatic re broadcast units along the scar paths.	true	638.51	644.17	21.723202
3483_115968_000028_000005	This is what the Americans called those strips of country directly under the regular ship routes of the Hans, who as a matter of precaution frequently blasted them with their dis beams to prevent the growth of foliage which might give shelter to the Americans.	This is what the Americans called those strips of country directly under the regular ship routes of the Hans, who as a matter of precaution frequently blasted them with their dis beams to prevent the growth of foliage which might give shelter to the Americans.	true	644.69	658.33	22.95988
3483_115968_000028_000006	But they've been beaming those paths so hard, it looks as though they even had information of this strategy.	But they've been beaming those paths so hard, it looks as though they even had information of this strategy.	true	658.82	663.85	20.591084
3483_115968_000028_000007	And in addition, they've been using code.	And in addition, they've been using code.	true	664.4	667.12	22.493143
3483_115968_000028_000008	Finally, we've picked up three of their messages in which they discuss, with some nervousness, the existence of our 'mysterious' ultrophone."	Finally, we've picked up three of their messages in which they discuss, with some nervousness, the existence of our 'mysterious' ultrophone."	true	667.31	675.61	23.416578
3483_115968_000029_000000	"But they still have no knowledge of the nature and control of ultronic activity?" I asked.	"But they still have no knowledge of the nature and control of ultronic activity?" I asked.	true	677.33	681.97	21.076717
3483_115968_000030_000000	"No," said the Big Boss thoughtfully, "they don't seem to have a bit of information about it."	"No," said the Big Boss thoughtfully, "they don't seem to have a bit of information about it."	false	682.28	687.46	21.128101
3483_115968_000031_000000	"Then it's quite clear," I ventured, "that whoever is 'clearing' us to them is doing it piecemeal.	"Then it's quite clear," I ventured, "that whoever is 'clearing' us to them is doing it piecemeal.	true	688.28	693.94	24.548983
3483_115968_000031_000001	It sounds like a bit of occasional barter, rather than an out-and-out alliance.	It sounds like a bit of occasional barter, rather than an out and out alliance.	true	694.07	698.29	20.382494
3483_115968_000031_000002	They're holding back as much information as possible for future bartering, perhaps."	They're holding back as much information as possible for future bartering, perhaps."	true	698.51	702.61	22.396875
3483_115968_000032_000000	"Yes," Hart said, "and it isn't information the Hans are giving in return, but some form of goods, or privilege.	"Yes," Hart said, "and it isn't information the Hans are giving in return, but some form of goods, or privilege.	true	703.43	710.07	19.965506
3483_115968_000032_000001	The trick would be to locate the goods.	The trick would be to locate the goods.	false	710.07	712.6	24.777868
3483_115968_000032_000002	I guess I'll have to make a personal trip around among the Big Bosses."	I guess I'll have to make a personal trip around among the Big Bosses."	false	712.67	724.05	17.940622
