8080_274558_000000_000000	They play.	They play.	false	0	0.84	30.53318
8080_274558_000011_000004	There were the two sisters, the bride, and the artist--the latter in one of his customary fits of moody misanthropy.	There were the two sisters, the bride, and the artist-the latter in one of his customary fits of moody misanthropy.	true	337.04	345.76	25.103256
8080_274558_000011_000005	I was too well used to these, however, to pay them any special attention.	I was too well used to these, however, to pay them any special attention.	true	346.19	351.22	16
8080_274558_000011_000006	He did not even introduce me to his wife--this courtesy devolving, per force, upon his sister Marian--a very sweet and intelligent girl, who, in a few hurried words, made us acquainted.	He did not even introduce me to his wife-this courtesy devolving, per force, upon his sister Marian-a very sweet and intelligent girl, who, in a few hurried words, made us acquainted.	true	351.59	365.05	22.252895
8080_274558_000012_000000	Mrs. Wyatt had been closely veiled; and when she raised her veil, in acknowledging my bow, I confess that I was very profoundly astonished.	mrs Wyatt had been closely veiled; and when she raised her veil, in acknowledging my bow, I confess that I was very profoundly astonished.	true	365.75	376.15	21.930456
8080_274558_000012_000001	I should have been much more so, however, had not long experience advised me not to trust, with too implicit a reliance, the enthusiastic descriptions of my friend, the artist, when indulging in comments upon the loveliness of woman.	I should have been much more so, however, had not long experience advised me not to trust, with too implicit a reliance, the enthusiastic descriptions of my friend, the artist, when indulging in comments upon the loveliness of woman.	false	376.4	393.19	23.32641
8080_274558_000012_000002	When beauty was the theme, I well knew with what facility he soared into the regions of the purely ideal.	When beauty was the theme, I well knew with what facility he soared into the regions of the purely ideal.	false	393.86	401.5	19.950586
8080_274558_000013_000000	The truth is, I could not help regarding Mrs. Wyatt as a decidedly plain-looking woman.	The truth is, I could not help regarding mrs Wyatt as a decidedly plain looking woman.	true	402.17	408.4	24.73778
8080_274558_000013_000001	If not positively ugly, she was not, I think, very far from it.	If not positively ugly, she was not, I think, very far from it.	true	408.86	413.86	24.577168
8080_274558_000013_000002	She was dressed, however, in exquisite taste--and then I had no doubt that she had captivated my friend's heart by the more enduring graces of the intellect and soul.	She was dressed, however, in exquisite taste-and then I had no doubt that she had captivated my friend's heart by the more enduring graces of the intellect and soul.	true	414.44	426.22	23.24224
8080_274558_000013_000003	She said very few words, and passed at once into her state-room with Mr. W.	She said very few words, and passed at once into her state room with mr w	true	426.59	432.19	20.628588
8080_274558_000014_000000	My old inquisitiveness now returned.	My old inquisitiveness now returned.	true	433.64	436.27	23.440224
8080_274558_000014_000001	There was no servant--that was a settled point.	There was no servant-that was a settled point.	true	436.73	440.23	21.364727
8080_274558_000014_000002	I looked, therefore, for the extra baggage.	I looked, therefore, for the extra baggage.	true	440.72	443.38	30.651356
8080_274558_000014_000003	After some delay, a cart arrived at the wharf, with an oblong pine box, which was every thing that seemed to be expected.	After some delay, a cart arrived at the wharf, with an oblong pine box, which was every thing that seemed to be expected.	false	443.75	451.99	21.800097
8080_274558_000014_000004	Immediately upon its arrival we made sail, and in a short time were safely over the bar and standing out to sea.	Immediately upon its arrival we made sail, and in a short time were safely over the bar and standing out to sea.	true	452.39	459.94	21
8080_274558_000015_000000	The box in question was, as I say, oblong.	The box in question was, as I say, oblong.	true	460.52	463.9	22.265955
8080_274558_000015_000001	It was about six feet in length by two and a half in breadth; I observed it attentively, and like to be precise.	It was about six feet in length by two and a half in breadth; I observed it attentively, and like to be precise.	true	464.12	472.03	20.696177
8080_274558_000015_000002	Now this shape was peculiar; and no sooner had I seen it, than I took credit to myself for the accuracy of my guessing.	Now this shape was peculiar; and no sooner had I seen it, than I took credit to myself for the accuracy of my guessing.	false	472.58	480.67	21.944786
8080_274558_000015_000003	I had reached the conclusion, it will be remembered, that the extra baggage of my friend, the artist, would prove to be pictures, or at least a picture; for I knew he had been for several weeks in conference with Nicolino:--and now here was a box, which, from its shape, could possibly contain nothing in the world but a copy of Leonardo's "Last Supper;" and a copy of this very "Last Supper," done by Rubini the younger, at Florence, I had known, for some time, to be in the possession of Nicolino.	I had reached the conclusion, it will be remembered, that the extra baggage of my friend, the artist, would prove to be pictures, or at least a picture; for I knew he had been for several weeks in conference with Nicolino:--and now here was a box, which, from its shape, could possibly contain nothing in the world but a copy of Leonardo's "Last Supper;" and a copy of this very "Last Supper," done by Rubini the younger, at Florence, I had known, for some time, to be in the possession of Nicolino.	true	481.13	517.54	22.926739
8080_274558_000015_000004	This point, therefore, I considered as sufficiently settled.	This point, therefore, I considered as sufficiently settled.	true	518.27	522.31	24.526606
8080_274558_000015_000005	I chuckled excessively when I thought of my acumen.	I chuckled excessively when I thought of my acumen.	true	522.77	526.15	21
8080_274558_000015_000006	It was the first time I had ever known Wyatt to keep from me any of his artistical secrets; but here he evidently intended to steal a march upon me, and smuggle a fine picture to New York, under my very nose; expecting me to know nothing of the matter.	It was the first time I had ever known Wyatt to keep from me any of his artistical secrets; but here he evidently intended to steal a march upon me, and smuggle a fine picture to New York, under my very nose; expecting me to know nothing of the matter.	true	526.61	544.87	21.494837
8080_274558_000015_000007	I resolved to quiz him well, now and hereafter.	I resolved to quiz him well, now and hereafter.	true	545.36	549.34	24.549149
8080_274558_000016_000000	One thing, however, annoyed me not a little.	One thing, however, annoyed me not a little.	true	550.43	553.57	20.395504
8080_274558_000016_000001	The box did not go into the extra state-room.	The box did not go into the extra state room.	true	554.03	557.32	21.595686
8080_274558_000016_000002	It was deposited in Wyatt's own; and there, too, it remained, occupying very nearly the whole of the floor--no doubt to the exceeding discomfort of the artist and his wife;--this the more especially as the tar or paint with which it was lettered in sprawling capitals, emitted a strong, disagreeable, and, to my fancy, a peculiarly disgusting odor.	It was deposited in Wyatt's own; and there, too, it remained, occupying very nearly the whole of the floor-no doubt to the exceeding discomfort of the artist and his wife;--this the more especially as the tar or paint with which it was lettered in sprawling capitals, emitted a strong, disagreeable, and, to my fancy, a peculiarly disgusting odor.	true	557.51	582.1	22.608768
8080_274558_000016_000003	On the lid were painted the words--"Mrs.	On the lid were painted the words-"mrs	true	582.74	585.675	26.164152
8080_274558_000016_000004	Adelaide Curtis, Albany, New York.	Adelaide Curtis, albany new york.	true	585.675	588.58	25.940943
8080_274558_000016_000005	Charge of Cornelius Wyatt, Esq.	Charge of Cornelius Wyatt, e s q.	false	588.62	591.72	24.344194
8080_274558_000016_000006	This side up. To be handled with care."	This side up. To be handled with care."	true	591.72	594.31	24.49924
8080_274558_000017_000000	Now, I was aware that Mrs. Adelaide Curtis, of Albany, was the artist's wife's mother,--but then I looked upon the whole address as a mystification, intended especially for myself.	Now, I was aware that mrs Adelaide Curtis, of Albany, was the artist's wife's mother,--but then I looked upon the whole address as a mystification, intended especially for myself.	true	595.01	608.5	22.834911
8080_274558_000017_000001	I made up my mind, of course, that the box and contents would never get farther north than the studio of my misanthropic friend, in Chambers Street, New York.	I made up my mind, of course, that the box and contents would never get farther north than the studio of my misanthropic friend, in Chambers Street, New York.	true	608.96	619.84	22.859663
8080_274558_000018_000000	For the first three or four days we had fine weather, although the wind was dead ahead; having chopped round to the northward, immediately upon our losing sight of the coast.	For the first three or four days we had fine weather, although the wind was dead ahead; having chopped round to the northward, immediately upon our losing sight of the coast.	true	620.63	631.51	22.848412
8080_274558_000018_000001	The passengers were, consequently, in high spirits and disposed to be social.	The passengers were, consequently, in high spirits and disposed to be social.	true	632.18	637.36	25.820772
8080_274558_000018_000002	I must except, however, Wyatt and his sisters, who behaved stiffly, and, I could not help thinking, uncourteously to the rest of the party.	I must except, however, Wyatt and his sisters, who behaved stiffly, and, I could not help thinking, uncourteously to the rest of the party.	true	637.88	648.4	27.77657
8080_274558_000018_000003	Wyatt's conduct I did not so much regard.	Wyatt's conduct I did not so much regard.	true	648.95	651.94	28.901905
8080_274558_000018_000004	He was gloomy, even beyond his usual habit--in fact he was morose--but in him I was prepared for eccentricity.	He was gloomy, even beyond his usual habit-in fact he was morose-but in him I was prepared for eccentricity.	true	652.28	660.82	22.381802
8080_274558_000018_000005	For the sisters, however, I could make no excuse.	For the sisters, however, I could make no excuse.	true	661.4	664.48	27.247295
8080_274558_000018_000006	They secluded themselves in their staterooms during the greater part of the passage, and absolutely refused, although I repeatedly urged them, to hold communication with any person on board.	They secluded themselves in their staterooms during the greater part of the passage, and absolutely refused, although I repeatedly urged them, to hold communication with any person on board.	true	665.12	677.98	24.047253
8080_274558_000019_000000	Mrs. Wyatt herself was far more agreeable.	mrs Wyatt herself was far more agreeable.	true	679.07	682.15	21.94345
8080_274558_000019_000001	That is to say, she was chatty; and to be chatty is no slight recommendation at sea.	That is to say, she was chatty; and to be chatty is no slight recommendation at sea.	true	682.37	688.75	25.023783
8080_274558_000019_000002	She became excessively intimate with most of the ladies; and, to my profound astonishment, evinced no equivocal disposition to coquet with the men. She amused us all very much.	She became excessively intimate with most of the ladies; and, to my profound astonishment, evinced no equivocal disposition to coquet with the men. She amused us all very much.	false	689.18	702.4	24.742558
8080_274558_000019_000003	I say "amused"--and scarcely know how to explain myself.	I say "amused"--and scarcely know how to explain myself.	true	702.62	706.84	24.087418
8080_274558_000019_000004	The truth is, I soon found that Mrs. W. was far oftener laughed at than with.	The truth is, I soon found that mrs w was far oftener laughed at than with.	false	707.24	713.92	23.947203
8080_274558_000019_000005	The gentlemen said little about her; but the ladies, in a little while, pronounced her "a good-hearted thing, rather indifferent looking, totally uneducated, and decidedly vulgar." The great wonder was, how Wyatt had been entrapped into such a match.	The gentlemen said little about her; but the ladies, in a little while, pronounced her "a good hearted thing, rather indifferent looking, totally uneducated, and decidedly vulgar." The great wonder was, how Wyatt had been entrapped into such a match.	true	714.56	733.48	22.68234
8080_274558_000019_000006	Wealth was the general solution--but this I knew to be no solution at all; for Wyatt had told me that she neither brought him a dollar nor had any expectations from any source whatever.	Wealth was the general solution-but this I knew to be no solution at all; for Wyatt had told me that she neither brought him a dollar nor had any expectations from any source whatever.	true	733.94	747.13	24.646042
8080_274558_000019_000007	"He had married," he said, "for love, and for love only; and his bride was far more than worthy of his love." When I thought of these expressions, on the part of my friend, I confess that I felt indescribably puzzled.	"He had married," he said, "for love, and for love only; and his bride was far more than worthy of his love." When I thought of these expressions, on the part of my friend, I confess that I felt indescribably puzzled.	true	747.89	763.75	23.598848
8080_274558_000019_000008	Could it be possible that he was taking leave of his senses?	Could it be possible that he was taking leave of his senses?	true	764.36	768.16	24.101957
8080_274558_000019_000009	What else could I think?	What else could I think?	true	768.65	770.32	25.613464
8080_274558_000019_000010	He, so refined, so intellectual, so fastidious, with so exquisite a perception of the faulty, and so keen an appreciation of the beautiful!	He, so refined, so intellectual, so fastidious, with so exquisite a perception of the faulty, and so keen an appreciation of the beautiful!	true	770.6	782.14	26.083902
8080_274558_000019_000011	To be sure, the lady seemed especially fond of him--particularly so in his absence--when she made herself ridiculous by frequent quotations of what had been said by her "beloved husband, Mr. Wyatt." The word "husband" seemed forever--to use one of her own delicate expressions--forever "on the tip of her tongue." In the meantime, it was observed by all on board, that he avoided her in the most pointed manner, and, for the most part, shut himself up alone in his state-room, where, in fact, he might have been said to live altogether, leaving his wife at full liberty to amuse herself as she thought best, in the public society of the main cabin.	To be sure, the lady seemed especially fond of him-particularly so in his absence-when she made herself ridiculous by frequent quotations of what had been said by her "beloved husband, mr Wyatt." The word "husband" seemed forever-to use one of her own delicate expressions-forever "on the tip of her tongue." In the meantime, it was observed by all on board, that he avoided her in the most pointed manner, and, for the most part, shut himself up alone in his state room, where, in fact, he might have been said to live altogether, leaving his wife at full liberty to amuse herself as she thought best, in the public society of the main cabin.	false	782.87	830.62	23.586958
8080_274558_000020_000000	My conclusion, from what I saw and heard, was, that, the artist, by some unaccountable freak of fate, or perhaps in some fit of enthusiastic and fanciful passion, had been induced to unite himself with a person altogether beneath him, and that the natural result, entire and speedy disgust, had ensued.	My conclusion, from what I saw and heard, was, that, the artist, by some unaccountable freak of fate, or perhaps in some fit of enthusiastic and fanciful passion, had been induced to unite himself with a person altogether beneath him, and that the natural result, entire and speedy disgust, had ensued.	false	831.11	854.89	23.298918
8080_274558_000020_000001	I pitied him from the bottom of my heart--but could not, for that reason, quite forgive his incommunicativeness in the matter of the "Last Supper." For this I resolved to have my revenge.	I pitied him from the bottom of my heart-but could not, for that reason, quite forgive his incommunicativeness in the matter of the "Last Supper." For this I resolved to have my revenge.	true	855.38	869.95	23.136112
8080_274558_000021_000000	One day he came upon deck, and, taking his arm as had been my wont, I sauntered with him backward and forward.	One day he came upon deck, and, taking his arm as had been my wont, I sauntered with him backward and forward.	true	870.92	878.89	22.0515
8080_274558_000021_000001	His gloom, however (which I considered quite natural under the circumstances), seemed entirely unabated.	His gloom, however (which I considered quite natural under the circumstances), seemed entirely unabated.	true	879.26	886.93	25.015493
8080_274558_000021_000002	He said little, and that moodily, and with evident effort.	He said little, and that moodily, and with evident effort.	true	887.15	891.4	26.931059
8080_274558_000021_000003	I ventured a jest or two, and he made a sickening attempt at a smile.	I ventured a jest or two, and he made a sickening attempt at a smile.	true	891.77	897.07	22.530743
8080_274558_000021_000004	Poor fellow!--as I thought of his wife, I wondered that he could have heart to put on even the semblance of mirth.	Poor fellow!--as I thought of his wife, I wondered that he could have heart to put on even the semblance of mirth.	true	897.47	905.83	23.093378
8080_274558_000021_000005	I determined to commence a series of covert insinuations, or innuendoes, about the oblong box--just to let him perceive, gradually, that I was not altogether the butt, or victim, of his little bit of pleasant mystification.	I determined to commence a series of covert insinuations, or innuendoes, about the oblong box-just to let him perceive, gradually, that I was not altogether the butt, or victim, of his little bit of pleasant mystification.	true	906.32	923.95	24.086826
8080_274558_000021_000006	My first observation was by way of opening a masked battery.	My first observation was by way of opening a masked battery.	true	924.74	929.2	21.683681
8080_274558_000021_000007	I said something about the "peculiar shape of that box-," and, as I spoke the words, I smiled knowingly, winked, and touched him gently with my forefinger in the ribs.	I said something about the "peculiar shape of that box," and, as I spoke the words, I smiled knowingly, winked, and touched him gently with my forefinger in the ribs.	false	929.63	942.55	22.311207
8080_274558_000022_000000	The manner in which Wyatt received this harmless pleasantry convinced me, at once, that he was mad.	The manner in which Wyatt received this harmless pleasantry convinced me, at once, that he was mad.	false	943.34	951.37	24.094843
8080_274558_000022_000001	At first he stared at me as if he found it impossible to comprehend the witticism of my remark; but as its point seemed slowly to make its way into his brain, his eyes, in the same proportion, seemed protruding from their sockets.	At first he stared at me as if he found it impossible to comprehend the witticism of my remark; but as its point seemed slowly to make its way into his brain, his eyes, in the same proportion, seemed protruding from their sockets.	true	951.95	967.84	23.225624
8080_274558_000022_000002	Then he grew very red--then hideously pale--then, as if highly amused with what I had insinuated, he began a loud and boisterous laugh, which, to my astonishment, he kept up, with gradually increasing vigor, for ten minutes or more.	Then he grew very red-then hideously pale-then, as if highly amused with what I had insinuated, he began a loud and boisterous laugh, which, to my astonishment, he kept up, with gradually increasing vigor, for ten minutes or more.	true	968.39	987.97	22.286276
8080_274558_000022_000003	In conclusion, he fell flat and heavily upon the deck. When I ran to uplift him, to all appearance he was dead.	In conclusion, he fell flat and heavily upon the deck. When I ran to uplift him, to all appearance he was dead.	true	988.58	997	21.980412
8080_274558_000023_000000	I called assistance, and, with much difficulty, we brought him to himself.	I called assistance, and, with much difficulty, we brought him to himself.	true	997.7	1002.73	24.756136
8080_274558_000023_000001	Upon reviving he spoke incoherently for some time.	Upon reviving he spoke incoherently for some time.	true	1003.07	1006.78	21.424162
8080_274558_000023_000002	At length we bled him and put him to bed.	At length we bled him and put him to bed.	true	1007.06	1010.17	23.799328
8080_274558_000023_000003	The next morning he was quite recovered, so far as regarded his mere bodily health.	The next morning he was quite recovered, so far as regarded his mere bodily health.	true	1010.69	1016.65	23.064516
8080_274558_000023_000004	Of his mind I say nothing, of course.	Of his mind I say nothing, of course.	true	1017.11	1019.56	19.66215
8080_274558_000023_000005	I avoided him during the rest of the passage, by advice of the captain, who seemed to coincide with me altogether in my views of his insanity, but cautioned me to say nothing on this head to any person on board.	I avoided him during the rest of the passage, by advice of the captain, who seemed to coincide with me altogether in my views of his insanity, but cautioned me to say nothing on this head to any person on board.	true	1019.87	1034.35	21.113884
8080_274558_000024_000000	Several circumstances occurred immediately after this fit of Wyatt which contributed to heighten the curiosity with which I was already possessed.	Several circumstances occurred immediately after this fit of Wyatt which contributed to heighten the curiosity with which I was already possessed.	true	1035.41	1044.88	25.395382
8080_274558_000024_000001	Among other things, this: I had been nervous--drank too much strong green tea, and slept ill at night--in fact, for two nights I could not be properly said to sleep at all.	Among other things, this: I had been nervous-drank too much strong green tea, and slept ill at night-in fact, for two nights I could not be properly said to sleep at all.	false	1045.31	1058.02	23.425627
8080_274558_000024_000002	Now, my state-room opened into the main cabin, or dining-room, as did those of all the single men on board.	Now, my state room opened into the main cabin, or dining room, as did those of all the single men on board.	false	1058.57	1067.05	22.613817
8080_274558_000024_000003	Wyatt's three rooms were in the after-cabin, which was separated from the main one by a slight sliding door, never locked even at night.	Wyatt's three rooms were in the after cabin, which was separated from the main one by a slight sliding door, never locked even at night.	true	1067.54	1077.04	21.903072
8080_274558_000024_000004	As we were almost constantly on a wind, and the breeze was not a little stiff, the ship heeled to leeward very considerably; and whenever her starboard side was to leeward, the sliding door between the cabins slid open, and so remained, nobody taking the trouble to get up and shut it.	As we were almost constantly on a wind, and the breeze was not a little stiff, the ship heeled to leeward very considerably; and whenever her starboard side was to leeward, the sliding door between the cabins slid open, and so remained, nobody taking the trouble to get up and shut it.	true	1077.53	1097.77	22.09799
8080_274558_000024_000005	But my berth was in such a position, that when my own state-room door was open, as well as the sliding door in question (and my own door was always open on account of the heat,) I could see into the after-cabin quite distinctly, and just at that portion of it, too, where were situated the state-rooms of Mr. Wyatt.	But my berth was in such a position, that when my own state room door was open, as well as the sliding door in question (and my own door was always open on account of the heat,) I could see into the after cabin quite distinctly, and just at that portion of it, too, where were situated the state rooms of mr Wyatt.	true	1098.59	1120.15	21.86464
8080_274558_000024_000006	Well, during two nights (not consecutive) while I lay awake, I clearly saw Mrs. W., about eleven o'clock upon each night, steal cautiously from the state-room of Mr. W., and enter the extra room, where she remained until daybreak, when she was called by her husband and went back.	Well, during two nights (not consecutive) while I lay awake, I clearly saw mrs w, about eleven o'clock upon each night, steal cautiously from the state room of mr w, and enter the extra room, where she remained until daybreak, when she was called by her husband and went back.	true	1120.55	1141.78	24.076788
8080_274558_000024_000007	That they were virtually separated was clear.	That they were virtually separated was clear.	true	1142.21	1145.17	26.83954
8080_274558_000024_000008	They had separate apartments--no doubt in contemplation of a more permanent divorce; and here, after all I thought was the mystery of the extra state-room.	They had separate apartments-no doubt in contemplation of a more permanent divorce; and here, after all I thought was the mystery of the extra state room.	true	1145.63	1156.66	23.429743
8080_274558_000025_000000	There was another circumstance, too, which interested me much. During the two wakeful nights in question, and immediately after the disappearance of Mrs. Wyatt into the extra state-room, I was attracted by certain singular cautious, subdued noises in that of her husband. After listening to them for some time, with thoughtful attention, I at length succeeded perfectly in translating their import.	There was another circumstance, too, which interested me much. During the two wakeful nights in question, and immediately after the disappearance of mrs Wyatt into the extra state room, I was attracted by certain singular cautious, subdued noises in that of her husband. After listening to them for some time, with thoughtful attention, I at length succeeded perfectly in translating their import.	true	1157.48	1185.61	24.309593
8080_274558_000025_000001	They were sounds occasioned by the artist in prying open the oblong box, by means of a chisel and mallet--the latter being apparently muffled, or deadened, by some soft woollen or cotton substance in which its head was enveloped.	They were sounds occasioned by the artist in prying open the oblong box, by means of a chisel and mallet-the latter being apparently muffled, or deadened, by some soft woollen or cotton substance in which its head was enveloped.	true	1185.92	1203.97	20.827906
