3792_176660_000000_000000	"Man cannot live by bread alone--in these mountains," said the Red Fox grimly.	"Man cannot live by bread alone-in these mountains," said the Red Fox grimly.	false	0	2.85	12.227853
3792_176660_000004_000002	Once he heard something move below him and then the crackling of brush sounded far to one side of the road.	Once he heard something move below him and then the crackling of brush sounded far to one side of the road.	true	99.71	106.3	19.095013
3792_176660_000004_000003	He knew it was a man who would be watching him from a covert and, straightway, to prove his innocence of any hostile or secret purpose, he began to whistle.	He knew it was a man who would be watching him from a covert and, straightway, to prove his innocence of any hostile or secret purpose, he began to whistle.	true	106.88	115.96	17.351822
3792_176660_000004_000004	Farther below, two men with Winchesters rose from the bushes and asked his name and his business.	Farther below, two men with Winchesters rose from the bushes and asked his name and his business.	true	117.38	122.26	16
3792_176660_000004_000005	He told both readily. Everybody, it seemed, was prepared for hostilities and, though the news of the patched-up peace had spread, it was plain that the factions were still suspicious and on guard.	He told both readily. Everybody, it seemed, was prepared for hostilities and, though the news of the patched up peace had spread, it was plain that the factions were still suspicious and on guard.	true	122.93	135.37	19.758568
3792_176660_000004_000006	Then the loneliness almost of Lonesome Cove itself set in.	Then the loneliness almost of Lonesome Cove itself set in.	true	136.46	140.53	18
3792_176660_000004_000007	For miles he saw nothing alive but an occasional bird and heard no sound but of running water or rustling leaf.	For miles he saw nothing alive but an occasional bird and heard no sound but of running water or rustling leaf.	true	141.53	149.56	18.81077
3792_176660_000004_000008	At the mouth of the creek his horse's lameness had grown so much better that he mounted him and rode slowly up the river.	At the mouth of the creek his horse's lameness had grown so much better that he mounted him and rode slowly up the river.	true	150.41	156.49	14
3792_176660_000004_000009	Within an hour he could see the still crest of the Lonesome Pine.	Within an hour he could see the still crest of the Lonesome Pine.	true	158.06	161.8	18.302204
3792_176660_000004_000010	At the mouth of a creek a mile farther on was an old gristmill with its water-wheel asleep, and whittling at the door outside was the old miller, Uncle Billy Beams, who, when he heard the coming of the black horse's feet, looked up and showed no surprise at all when he saw Hale.	At the mouth of a creek a mile farther on was an old gristmill with its water wheel asleep, and whittling at the door outside was the old miller, Uncle Billy Beams, who, when he heard the coming of the black horse's feet, looked up and showed no surprise at all when he saw Hale.	false	162.35	178.3	18.56968
3792_176660_000005_000000	"I heard you was comin'," he shouted, hailing him cheerily by name. "Ain't fishin' this time!"	"I heard you was comin'," he shouted, hailing him cheerily by name. "Ain't fishin' this time!"	false	180.17	185.71	20.713568
3792_176660_000006_000000	"No," said Hale, "not this time."	"No," said Hale, "not this time."	true	186.86	189.82	18.734087
3792_176660_000007_000000	"Well, git down and rest a spell.	"Well, git down and rest a spell.	false	190.61	192.4	18.828417
3792_176660_000007_000001	June'll be here in a minute an' you can ride back with her.	June'll be here in a minute an' you can ride back with her.	false	192.62	195.46	17.03038
3792_176660_000007_000002	I reckon you air goin' that a-way."	I reckon you air goin' that a way."	false	195.5	197.91	22.953232
3792_176660_000008_000000	"June!"	"June!"	true	197.91	199.26	18.24573
3792_176660_000009_000000	"Shore!	"Shore!	true	199.26	200.02	20.806774
3792_176660_000009_000001	My, but she'll be glad to see ye!	My, but she'll be glad to see ye!	true	200.12	202.06	16.826292
3792_176660_000009_000002	She's always talkin' about ye. You told her you was comin' back an' ever'body told her you wasn't: but that leetle gal al'ays said she KNOWED you was, because you SAID you was.	She's always talkin' about ye. You told her you was comin' back an' ever'body told her you wasn't: but that leetle gal al'ays said she KNOWED you was, because you SAID you was.	false	202.19	212.68	17.840298
3792_176660_000009_000003	She's growed some--an' if she ain't purty, well I'd tell a man!	She's growed some-an' if she ain't purty, well I'd tell a man!	true	213.2	218.11	20.431261
3792_176660_000009_000004	You jes' tie yo' hoss up thar behind the mill so she can't see it, an' git inside the mill when she comes round that bend thar.	You jes' tie yo' hoss up thar behind the mill so she can't see it, an' git inside the mill when she comes round that bend thar.	false	219.08	224.83	14
3792_176660_000009_000005	My, but hit'll be a surprise fer her."	My, but hit'll be a surprise fer her."	true	225.26	227.89	16
3792_176660_000010_000000	The old man chuckled so cheerily that Hale, to humour him, hitched his horse to a sapling, came back and sat in the door of the mill.	The old man chuckled so cheerily that Hale, to humour him, hitched his horse to a sapling, came back and sat in the door of the mill.	true	228.98	236.41	15
3792_176660_000010_000001	The old man knew all about the trouble in town the day before.	The old man knew all about the trouble in town the day before.	true	237.2	240.16	19
3792_176660_000011_000000	"I want to give ye a leetle advice.	"I want to give ye a leetle advice.	false	241.1	243.22	15.11715
3792_176660_000011_000001	Keep yo' mouth plum' shut about this here war.	Keep yo' mouth plum' shut about this here war.	true	243.71	247.3	20.364563
3792_176660_000011_000002	I'm Jestice of the Peace, but that's the only way I've kept outen of it fer thirty years; an' hit's the only way you can keep outen it."	I'm Jestice of the Peace, but that's the only way I've kept outen of it fer thirty years; an' hit's the only way you can keep outen it."	false	247.85	254.92	20.289978
3792_176660_000012_000000	"Thank you, I mean to keep my mouth shut, but would you mind--"	"Thank you, I mean to keep my mouth shut, but would you mind-"	true	256.07	260.23	18.999708
3792_176660_000013_000000	"Git in!" interrupted the old man eagerly.	"Git in!" interrupted the old man eagerly.	true	260.39	263.13	18.37534
3792_176660_000013_000001	"Hyeh she comes." His kind old face creased into a welcoming smile, and between the logs of the mill Hale, inside, could see an old sorrel horse slowly coming through the lights and shadows down the road.	"Hyeh she comes." His kind old face creased into a welcoming smile, and between the logs of the mill Hale, inside, could see an old sorrel horse slowly coming through the lights and shadows down the road.	false	263.13	276.34	18.284103
3792_176660_000013_000002	On its back was a sack of corn and perched on the sack was a little girl with her bare feet in the hollows behind the old nag's withers.	On its back was a sack of corn and perched on the sack was a little girl with her bare feet in the hollows behind the old nag's withers.	false	277.1	285.19	19
3792_176660_000013_000003	She was looking sidewise, quite hidden by a scarlet poke-bonnet, and at the old man's shout she turned the smiling face of little June.	She was looking sidewise, quite hidden by a scarlet poke bonnet, and at the old man's shout she turned the smiling face of little June.	true	286.07	294.7	18.408688
3792_176660_000013_000004	With an answering cry, she struck the old nag with a switch and before the old man could rise to help her down, slipped lightly to the ground.	With an answering cry, she struck the old nag with a switch and before the old man could rise to help her down, slipped lightly to the ground.	true	295.52	302.77	16
3792_176660_000014_000000	"Why, honey," he said, "I don't know whut I'm goin' to do 'bout yo' corn.	"Why, honey," he said, "I don't know whut I'm goin' to do 'bout yo' corn.	false	303.38	307.53	18.996252
3792_176660_000014_000001	Shaft's broke an' I can't do no grindin' till to-morrow."	Shaft's broke an' I can't do no grindin' till to morrow."	false	307.53	310.6	19.964024
3792_176660_000015_000000	"Well, Uncle Billy, we ain't got a pint o' meal in the house," she said. "You jes' got to LEND me some."	"Well, Uncle Billy, we ain't got a pint o' meal in the house," she said. "You jes' got to LEND me some."	false	311.63	318.1	20.410275
3792_176660_000016_000000	"All right, honey," said the old man, and he cleared his throat as a signal for Hale.	"All right, honey," said the old man, and he cleared his throat as a signal for Hale.	false	318.71	323.8	22.3091
3792_176660_000017_000000	The little girl was pushing her bonnet back when Hale stepped into sight and, unstartled, unsmiling, unspeaking, she looked steadily at him--one hand motionless for a moment on her bronze heap of hair and then slipping down past her cheek to clench the other tightly.	The little girl was pushing her bonnet back when Hale stepped into sight and, unstartled, unsmiling, unspeaking, she looked steadily at him-one hand motionless for a moment on her bronze heap of hair and then slipping down past her cheek to clench the other tightly.	true	325.25	343.45	19.654737
3792_176660_000017_000001	Uncle Billy was bewildered.	Uncle Billy was bewildered.	true	344.09	345.72	21.129116
3792_176660_000018_000000	"Why, June, hit's Mr. Hale--why---"	"Why, June, hit's mr Hale-why---"	false	345.72	348.88	21.839113
3792_176660_000019_000000	"Howdye, June!" said Hale, who was no less puzzled--and still she gave no sign that she had ever seen him before except reluctantly to give him her hand.	"Howdye, June!" said Hale, who was no less puzzled-and still she gave no sign that she had ever seen him before except reluctantly to give him her hand.	true	349.49	360.37	19.207201
3792_176660_000019_000001	Then she turned sullenly away and sat down in the door of the mill with her elbows on her knees and her chin in her hands.	Then she turned sullenly away and sat down in the door of the mill with her elbows on her knees and her chin in her hands.	true	361.16	368.32	17
3792_176660_000020_000000	Dumfounded, the old miller pulled the sack of corn from the horse and leaned it against the mill.	Dumfounded, the old miller pulled the sack of corn from the horse and leaned it against the mill.	true	369.32	374.2	12
3792_176660_000020_000001	Then he took out his pipe, filled and lighted it slowly and turned his perplexed eyes to the sun.	Then he took out his pipe, filled and lighted it slowly and turned his perplexed eyes to the sun	true	375.14	381.13	19.403412
3792_176660_000021_000000	"Well, honey," he said, as though he were doing the best he could with a difficult situation, "I'll have to git you that meal at the house.	"Well, honey," he said, as though he were doing the best he could with a difficult situation, "I'll have to git you that meal at the house.	false	382.34	391.57	19.344042
3792_176660_000021_000001	'Bout dinner time now.	'bout dinner time now.	true	392	393.55	18
3792_176660_000021_000002	You an' Mr. Hale thar come on and git somethin' to eat afore ye go back."	You an' mr Hale thar come on and git somethin' to eat afore ye go back."	false	393.98	398.38	16.975113
3792_176660_000022_000000	"I got to get on back home," said June, rising.	"I got to get on back home," said June, rising.	true	399.56	402.76	14
3792_176660_000023_000000	"No you ain't--I bet you got dinner fer yo' step-mammy afore you left, an' I jes' know you was aimin' to take a snack with me an' ole Hon." The little girl hesitated--she had no denial--and the old fellow smiled kindly.	"No you ain't-I bet you got dinner fer yo' step mammy afore you left, an' I jes' know you was aimin' to take a snack with me an' ole Hon." The little girl hesitated-she had no denial-and the old fellow smiled kindly.	false	403.13	417.7	18.679266
3792_176660_000024_000000	"Come on, now."	"Come on, now."	true	418.28	419.47	19.912895
3792_176660_000025_000000	Little June walked on the other side of the miller from Hale back to the old man's cabin, two hundred yards up the road, answering his questions but not Hale's and never meeting the latter's eyes with her own.	Little June walked on the other side of the miller from Hale back to the old man's cabin, two hundred yards up the road, answering his questions but not Hale's and never meeting the latter's eyes with her own.	true	421.34	434.38	18
3792_176660_000025_000001	"Ole Hon," the portly old woman whom Hale remembered, with brass-rimmed spectacles and a clay pipe in her mouth, came out on the porch and welcomed them heartily under the honeysuckle vines.	"Ole Hon," the portly old woman whom Hale remembered, with brass rimmed spectacles and a clay pipe in her mouth, came out on the porch and welcomed them heartily under the honeysuckle vines.	true	434.69	445.09	18.811434
3792_176660_000025_000002	Her mouth and face were alive with humour when she saw Hale, and her eyes took in both him and the little girl keenly.	Her mouth and face were alive with humour when she saw Hale, and her eyes took in both him and the little girl keenly.	false	446.96	453.4	19
3792_176660_000025_000003	The miller and Hale leaned chairs against the wall while the girl sat at the entrance of the porch.	The miller and Hale leaned chairs against the wall while the girl sat at the entrance of the porch.	true	454.01	459.76	18.545216
3792_176660_000025_000004	Suddenly Hale went out to his horse and took out a package from his saddle-pockets.	Suddenly Hale went out to his horse and took out a package from his saddle pockets.	true	460.25	464.83	18.982212
3792_176660_000026_000000	"I've got some candy in here for you," he said smiling.	"I've got some candy in here for you," he said smiling.	true	465.8	468.97	16
3792_176660_000027_000000	"I don't want no candy," she said, still not looking at him and with a little movement of her knees away from him.	"I don't want no candy," she said, still not looking at him and with a little movement of her knees away from him.	true	469.76	475.95	18.882807
3792_176660_000028_000000	"Why, honey," said Uncle Billy again, "whut IS the matter with ye?	"Why, honey," said Uncle Billy again, "whut IS the matter with ye?	false	475.95	481.5	20.336807
3792_176660_000028_000001	I thought ye was great friends." The little girl rose hastily.	I thought ye was great friends." The little girl rose hastily.	true	481.5	485.83	19.585224
3792_176660_000029_000000	"No, we ain't, nuther," she said, and she whisked herself indoors.	"No, we ain't, nuther," she said, and she whisked herself indoors.	true	486.32	490	18.336967
3792_176660_000029_000001	Hale put the package back with some embarrassment and the old miller laughed.	Hale put the package back with some embarrassment and the old miller laughed.	true	491.06	495.69	19.515118
3792_176660_000030_000000	"Well, well--she's a quar little critter; mebbe she's mad because you stayed away so long."	"Well, well-she's a quar little critter; mebbe she's mad because you stayed away so long."	false	495.69	503.05	18.543676
3792_176660_000031_000000	At the table June wanted to help ole Hon and wait to eat with her, but Uncle Billy made her sit down with him and Hale, and so shy was she that she hardly ate anything.	At the table June wanted to help ole Hon and wait to eat with her, but Uncle Billy made her sit down with him and Hale, and so shy was she that she hardly ate anything.	false	504.56	516.57	19.414333
3792_176660_000031_000001	Once only did she look up from her plate and that was when Uncle Billy, with a shake of his head, said:	Once only did she look up from her plate and that was when Uncle Billy, with a shake of his head, said:	false	516.57	522.01	19.535744
3792_176660_000032_000000	"He's a bad un." He was speaking of Rufe Tolliver, and at the mention of his name there was a frightened look in the little girl's eyes, when she quickly raised them, that made Hale wonder.	"He's a bad un." He was speaking of Rufe Tolliver, and at the mention of his name there was a frightened look in the little girl's eyes, when she quickly raised them, that made Hale wonder.	false	522.53	534.37	16.893877
3792_176660_000033_000000	An hour later they were riding side by side--Hale and June--on through the lights and shadows toward Lonesome Cove.	An hour later they were riding side by side-Hale and June-on through the lights and shadows toward Lonesome Cove.	true	536.39	543.67	18.499283
3792_176660_000033_000001	Uncle Billy turned back from the gate to the porch.	Uncle Billy turned back from the gate to the porch.	true	544.31	546.75	22.645824
3792_176660_000034_000000	"He ain't come back hyeh jes' fer coal," said ole Hon.	"He ain't come back hyeh jes' fer coal," said ole Hon.	false	546.75	551.97	17.186968
3792_176660_000035_000000	"Shucks!" said Uncle Billy; "you women-folks can't think 'bout nothin' 'cept one thing.	"Shucks!" said Uncle Billy; "you women folks can't think 'bout nothin' 'cept one thing.	false	551.97	557.14	19
3792_176660_000035_000001	He's too old fer her."	He's too old fer her."	true	557.27	558.91	22.420424
3792_176660_000036_000000	"She'll git ole enough fer HIM--an' you menfolks don't think less--you jes' talk less." And she went back into the kitchen, and on the porch the old miller puffed on a new idea in his pipe.	"She'll git ole enough fer HIM-an' you menfolks don't think less-you jes' talk less." And she went back into the kitchen, and on the porch the old miller puffed on a new idea in his pipe.	false	559.76	571.99	20.320576
3792_176660_000037_000000	For a few minutes the two rode in silence and not yet had June lifted her eyes to him.	For a few minutes the two rode in silence and not yet had June lifted her eyes to him.	false	573.14	578.04	17
3792_176660_000038_000000	"You've forgotten me, June."	"You've forgotten me, June."	false	578.04	580.78	16.384953
3792_176660_000039_000000	"No, I hain't, nuther."	"No, I hain't, nuther."	false	581.27	583.89	12.666609
3792_176660_000040_000000	"You said you'd be waiting for me." June's lashes went lower still.	"You said you'd be waiting for me." June's lashes went lower still.	true	583.89	588.88	18.378574
3792_176660_000041_000000	"I was."	"I was."	true	589.79	590.77	19.408539
3792_176660_000042_000000	"Well, what's the matter?	"Well, what's the matter?	true	591.74	593.55	17
3792_176660_000042_000001	I'm mighty sorry I couldn't get back sooner."	I'm mighty sorry I couldn't get back sooner."	false	593.55	596.37	17.733059
3792_176660_000043_000000	"Huh!" said June scornfully, and he knew Uncle Billy in his guess as to the trouble was far afield, and so he tried another tack.	"Huh!" said June scornfully, and he knew Uncle Billy in his guess as to the trouble was far afield, and so he tried another tack.	false	596.37	606.61	18.61001
3792_176660_000044_000000	"I've been over to the county seat and I saw lots of your kinfolks over there." She showed no curiosity, no surprise, and still she did not look up at him.	"I've been over to the county seat and I saw lots of your kinfolks over there." She showed no curiosity, no surprise, and still she did not look up at him.	false	607.88	617.02	19.013634
3792_176660_000045_000000	"I met your cousin, Loretta, over there and I carried her home behind me on an old mule"--Hale paused, smiling at the remembrance--and still she betrayed no interest.	"I met your cousin, Loretta, over there and I carried her home behind me on an old mule"--Hale paused, smiling at the remembrance-and still she betrayed no interest.	false	617.87	627.85	17.474705
3792_176660_000046_000000	"She's a mighty pretty girl, and whenever I'd hit that old---"	"She's a mighty pretty girl, and whenever I'd hit that old---"	true	628.43	631.47	13.7006645
3792_176660_000047_000000	"She hain't!"--the words were so shrieked out that Hale was bewildered, and then he guessed that the falling out between the fathers was more serious than he had supposed.	"She hain't!"--the words were so shrieked out that Hale was bewildered, and then he guessed that the falling out between the fathers was more serious than he had supposed.	false	631.47	642.3	17.92758
3792_176660_000048_000000	"But she isn't as nice as you are," he added quickly, and the girl's quivering mouth steadied, the tears stopped in her vexed dark eyes and she lifted them to him at last.	"But she isn't as nice as you are," he added quickly, and the girl's quivering mouth steadied, the tears stopped in her vexed dark eyes and she lifted them to him at last.	true	642.3	653.11	19.71541
3792_176660_000049_000000	"She ain't?"	"She ain't?"	true	654.05	654.97	23.867456
3792_176660_000050_000000	"No, indeed, she ain't."	"No, indeed, she ain't."	true	656.15	657.91	21
3792_176660_000051_000000	For a while they rode along again in silence.	For a while they rode along again in silence.	true	659.36	662.02	16.154852
3792_176660_000051_000001	June no longer avoided his eyes now, and the unspoken question in her own presently came out:	June no longer avoided his eyes now, and the unspoken question in her own presently came out:	true	662.45	668.86	17
3792_176660_000052_000000	"You won't let Uncle Rufe bother me no more, will ye?"	"You won't let Uncle Rufe bother me no more, will ye?"	false	670.19	673.42	15
3792_176660_000053_000000	"No, indeed, I won't," said Hale heartily.	"No, indeed, I won't," said Hale heartily.	false	674.57	678.39	19.886892
3792_176660_000053_000001	"What does he do to you?"	"What does he do to you?"	false	678.39	679.66	18
3792_176660_000054_000000	"Nothin'--'cept he's always a-teasin' me, an'--an' I'm afeered o' him."	"Nothin'--'cept he's always a teasin' me, an'--an' I'm afeered o' him."	false	680.21	685.57	21.916899
3792_176660_000055_000000	"Well, I'll take care of Uncle Rufe."	"Well, I'll take care of Uncle Rufe."	true	686.75	689.92	19.77727
3792_176660_000056_000000	"I knowed YOU'D say that," she said.	"I knowed YOU'D say that," she said.	false	690.62	692.92	19.315615
3792_176660_000056_000001	"Pap and Dave always laughs at me," and she shook her head as though she were already threatening her bad uncle with what Hale would do to him, and she was so serious and trustful that Hale was curiously touched.	"Pap and Dave always laughs at me," and she shook her head as though she were already threatening her bad uncle with what Hale would do to him, and she was so serious and trustful that Hale was curiously touched.	true	692.96	706.15	19.692017
3792_176660_000056_000002	By and by he lifted one flap of his saddle-pockets again.	By and by he lifted one flap of his saddle pockets again.	true	707.03	710.53	15
3792_176660_000057_000000	"I've got some candy here for a nice little girl," he said, as though the subject had not been mentioned before.	"I've got some candy here for a nice little girl," he said, as though the subject had not been mentioned before.	true	712.07	718.27	18.8215
3792_176660_000057_000001	"It's for you.	"It's for you.	true	718.73	719.95	21.259893
3792_176660_000057_000002	Won't you have some?"	Won't you have some?"	false	720.56	723.48	17.066504
3792_176660_000058_000000	"I reckon I will," she said with a happy smile.	"I reckon I will," she said with a happy smile.	true	723.48	726.49	21.646057
3792_176660_000059_000000	Hale watched her while she munched a striped stick of peppermint.	Hale watched her while she munched a striped stick of peppermint.	true	728.3	731.95	23.04412
3792_176660_000059_000001	Her crimson bonnet had fallen from her sunlit hair and straight down from it to her bare little foot with its stubbed toe just darkening with dried blood, a sculptor would have loved the rounded slenderness in the curving long lines that shaped her brown throat, her arms and her hands, which were prettily shaped but so very dirty as to the nails, and her dangling bare leg.	Her crimson bonnet had fallen from her sunlit hair and straight down from it to her bare little foot with its stubbed toe just darkening with dried blood, a sculptor would have loved the rounded slenderness in the curving long lines that shaped her brown throat, her arms and her hands, which were prettily shaped but so very dirty as to the nails, and her dangling bare leg.	true	732.32	756.55	18.305986
3792_176660_000059_000002	Her teeth were even and white, and most of them flashed when her red lips smiled.	Her teeth were even and white, and most of them flashed when her red lips smiled.	true	757.46	762.82	20.00262
3792_176660_000059_000003	Her lashes were long and gave a touching softness to her eyes even when she was looking quietly at him, but there were times, as he had noticed already, when a brooding look stole over them, and then they were the lair for the mysterious loneliness that was the very spirit of Lonesome Cove.	Her lashes were long and gave a touching softness to her eyes even when she was looking quietly at him, but there were times, as he had noticed already, when a brooding look stole over them, and then they were the lair for the mysterious loneliness that was the very spirit of Lonesome Cove.	true	763.28	782.53	19.206348
3792_176660_000059_000004	Some day that little nose would be long enough, and some day, he thought, she would be very beautiful.	Some day that little nose would be long enough, and some day, he thought, she would be very beautiful.	true	783.38	789.73	19.623861
3792_176660_000060_000000	"Your cousin, Loretta, said she was coming over to see you."	"Your cousin, Loretta, said she was coming over to see you."	false	791	793.96	16
3792_176660_000061_000000	June's teeth snapped viciously through the stick of candy and then she turned on him and behind the long lashes and deep down in the depth of those wonderful eyes he saw an ageless something that bewildered him more than her words.	June's teeth snapped viciously through the stick of candy and then she turned on him and behind the long lashes and deep down in the depth of those wonderful eyes he saw an ageless something that bewildered him more than her words.	true	794.96	808.36	17.944298
3792_176660_000062_000000	"I hate her," she said fiercely.	"I hate her," she said fiercely.	true	809.87	812.41	20.91332
3792_176660_000063_000000	"Why, little girl?" he said gently.	"Why, little girl?" he said gently.	true	813.35	815.83	19.834538
3792_176660_000064_000000	"I don't know--" she said--and then the tears came in earnest and she turned her head, sobbing.	"I don't know-" she said-and then the tears came in earnest and she turned her head, sobbing.	true	816.2	822.73	19.347183
3792_176660_000064_000001	Hale helplessly reached over and patted her on the shoulder, but she shrank away from him.	Hale helplessly reached over and patted her on the shoulder, but she shrank away from him.	true	823.76	828.94	15
3792_176660_000065_000000	"Go away!" she said, digging her fist into her eyes until her face was calm again.	"Go away!" she said, digging her fist into her eyes until her face was calm again.	true	829.52	835.63	21.02854
3792_176660_000066_000000	They had reached the spot on the river where he had seen her first, and beyond, the smoke of the cabin was rising above the undergrowth.	They had reached the spot on the river where he had seen her first, and beyond, the smoke of the cabin was rising above the undergrowth.	true	837.26	845.34	20.232141
3792_176660_000067_000000	"Lordy!" she said, "but I do git lonesome over hyeh."	"Lordy!" she said, "but I do git lonesome over hyeh."	false	845.34	851.01	17.103788
3792_176660_000068_000000	"Wouldn't you like to go over to the Gap with me sometimes?"	"Wouldn't you like to go over to the Gap with me sometimes?"	false	851.01	855.1	19.658325
3792_176660_000069_000000	Straightway her face was a ray of sunlight.	Straightway her face was a ray of sunlight.	true	855.77	858.25	20.495296
3792_176660_000070_000000	"Would--I like--to--go--over--"	"Would-I like-to-go-over-"	true	858.89	861.82	22.904379
3792_176660_000071_000000	She stopped suddenly and pulled in her horse, but Hale had heard nothing.	She stopped suddenly and pulled in her horse, but Hale had heard nothing.	true	862.34	866.2	19
3792_176660_000072_000000	"Hello!" shouted a voice from the bushes, and Devil Judd Tolliver issued from them with an axe on his shoulder.	"Hello!" shouted a voice from the bushes, and Devil Judd Tolliver issued from them with an axe on his shoulder.	true	867.41	873.94	18.224493
3792_176660_000072_000001	"I heerd you'd come back an' I'm glad to see ye." He came down to the road and shook Hale's hand heartily.	"I heerd you'd come back an' I'm glad to see ye." He came down to the road and shook Hale's hand heartily.	false	874.28	880.95	17.708164
3792_176660_000073_000000	"Whut you been cryin' about?" he added, turning his hawk-like eyes on the little girl.	"Whut you been cryin' about?" he added, turning his hawk like eyes on the little girl.	false	880.95	886.35	18.833326
3792_176660_000074_000000	"Nothin'," she said sullenly.	"Nothin'," she said sullenly.	false	886.35	889.92	21.818027
3792_176660_000075_000000	"Did she git mad with ye 'bout somethin'?" said the old man to Hale. "She never cries 'cept when she's mad." Hale laughed.	"Did she git mad with ye 'bout somethin'?" said the old man to Hale. "She never cries 'cept when she's mad." Hale laughed.	false	889.92	899.2	17.129034
3792_176660_000076_000000	"You jes' hush up--both of ye," said the girl with a sharp kick of her right foot.	"You jes' hush up-both of ye," said the girl with a sharp kick of her right foot.	false	900.74	905.26	18.478207
3792_176660_000077_000000	"I reckon you can't stamp the ground that fer away from it," said the old man dryly.	"I reckon you can't stamp the ground that fer away from it," said the old man dryly.	true	906.47	911.08	18
3792_176660_000077_000001	"If you don't git the better of that all-fired temper o' yourn hit's goin' to git the better of you, an' then I'll have to spank you agin."	"If you don't git the better of that all fired temper o' yourn hit's goin' to git the better of you, an' then I'll have to spank you agin."	false	911.72	919.68	19.21427
3792_176660_000078_000000	"I reckon you ain't goin' to whoop me no more, pap.	"I reckon you ain't goin' to whoop me no more, pap.	true	919.68	921.915	16
3792_176660_000078_000001	I'm a-gittin' too big."	I'm a gittin' too big."	true	921.915	923.38	22.33811
3792_176660_000079_000000	The old man opened eyes and mouth with an indulgent roar of laughter.	The old man opened eyes and mouth with an indulgent roar of laughter.	true	924.2	928.03	15
3792_176660_000080_000000	"Come on up to the house," he said to Hale, turning to lead the way, the little girl following him.	"Come on up to the house," he said to Hale, turning to lead the way, the little girl following him.	true	929.06	934.81	19.56302
3792_176660_000080_000001	The old step-mother was again a-bed; small Bub, the brother, still unafraid, sat down beside Hale and the old man brought out a bottle of moonshine.	The old step mother was again a bed; small Bub, the brother, still unafraid, sat down beside Hale and the old man brought out a bottle of moonshine.	true	935.9	944.32	18
3792_176660_000081_000000	"I reckon I can still trust ye," he said.	"I reckon I can still trust ye," he said.	false	945.17	947.26	19.061958
3792_176660_000082_000000	"I reckon you can," laughed Hale.	"I reckon you can," laughed Hale.	true	947.93	950.2	21.181276
