8506_287659_000002_000000	ARRIVAL FROM MARYLAND, 1859.	ARRIVAL FROM MARYLAND, eighteen fifty nine.
8506_287659_000015_000004	On arriving John's eyes were opened to see that he owed Mrs. Le Count nothing, but that she was largely indebted to him for years of unrequited toil; he could not, therefore, consent to go back to her.	On arriving John's eyes were opened to see that he owed mrs Le Count nothing, but that she was largely indebted to him for years of unrequited toil; he could not, therefore, consent to go back to her.
8506_287659_000015_000005	He was troubled to think of his poor wife and children, whom he had left in the hands of Mrs. Harriet Dean, three quarters of a mile from New Market; but it was easier for him to imagine plans by which he could get them off than to incur the hazard of going back to Maryland; therefore he remained in freedom.	He was troubled to think of his poor wife and children, whom he had left in the hands of mrs Harriet Dean, three quarters of a mile from New Market; but it was easier for him to imagine plans by which he could get them off than to incur the hazard of going back to Maryland; therefore he remained in freedom.
8506_287659_000016_000001	Very good reasons were given by Charles for the charge which he made against Rodgers, and it went far towards establishing the fact, that "colored men had no rights which white men were bound to respect," in Maryland.	Very good reasons were given by Charles for the charge which he made against Rodgers, and it went far towards establishing the fact, that "colored men had no rights which white men were bound to respect," in Maryland.
8506_287659_000016_000002	Although he was only twenty-three years of age, he had fully weighed the matter of his freedom, and appeared firmly set against Slavery.	Although he was only twenty three years of age, he had fully weighed the matter of his freedom, and appeared firmly set against Slavery.
8506_287659_000017_000003	He left one brother and one sister; his mother was dead, and of his father's whereabouts he knew nothing.	He left one brother and one sister; his mother was dead, and of his father's whereabouts he knew nothing.
8506_287659_000017_000004	William was nineteen years of age, brown color, smart and good-looking.	William was nineteen years of age, brown color, smart and good looking.
8506_287659_000018_000001	Edward left a wife and three children, but the strong desire to be free, which had been a ruling passion of his being from early boyhood, rendered it impossible for him to stay, although the ties were very hard to break.	Edward left a wife and three children, but the strong desire to be free, which had been a ruling passion of his being from early boyhood, rendered it impossible for him to stay, although the ties were very hard to break.
8506_287659_000018_000002	Slavery was crushing him hourly, and he felt that he could not submit any longer.	Slavery was crushing him hourly, and he felt that he could not submit any longer.
8506_287659_000019_000000	Cornelius Fuller, and his wife, Harriet, escaped together from Kent county, Maryland.	Cornelius Fuller, and his wife, Harriet, escaped together from Kent county, Maryland.
8506_287659_000020_000000	John Pinket and Ansal Cannon took the Underground Rail Road cars at New Market, Dorchester county, Maryland.	john Pinket and Ansal Cannon took the Underground Rail Road cars at New Market, Dorchester county, Maryland.
8506_287659_000021_000000	John was a tall young man, of twenty-seven years of age, of an active turn of mind and of a fine black color.	john was a tall young man, of twenty seven years of age, of an active turn of mind and of a fine black color.
8506_287659_000021_000001	He was the property of Mary Brown, a widow, firmly grounded in the love of Slavery; believing that a slave had no business to get tired or desire his freedom.	He was the property of Mary Brown, a widow, firmly grounded in the love of Slavery; believing that a slave had no business to get tired or desire his freedom.
8506_287659_000021_000002	She sold one of John's sisters to Georgia, and before John fled, had still in her possession nine head of slaves.	She sold one of John's sisters to Georgia, and before john fled, had still in her possession nine head of slaves.
8506_287659_000021_000003	She was a member of the Methodist church at East New Market.	She was a member of the Methodist church at East New Market.
8506_287659_000021_000004	From certain movements which looked very suspicious in John's eyes, he had been allotted to the Southern Market, he therefore resolved to look out for a habitation in Canada.	From certain movements which looked very suspicious in John's eyes, he had been allotted to the Southern Market, he therefore resolved to look out for a habitation in Canada.
8506_287659_000021_000005	He had a first-rate corn-field education, but no book learning.	He had a first rate corn field education, but no book learning.
8506_287659_000021_000006	Up to the time of his escape, John had shunned entangling himself with a wife.	Up to the time of his escape, john had shunned entangling himself with a wife.
8506_287659_000022_000001	He escaped from Kitty Cannon, another widow, who owned nine chattels.	He escaped from Kitty Cannon, another widow, who owned nine chattels.
8506_287659_000022_000002	"Sometimes she treated her slaves pretty well," was the testimony of Ansal.	"Sometimes she treated her slaves pretty well," was the testimony of Ansal.
8506_287659_000022_000003	He ran away because he did not get pay for his services.	He ran away because he did not get pay for his services.
8506_287659_000023_000000	ARRIVAL FROM MARYLAND, 1859.	ARRIVAL FROM MARYLAND, eighteen fifty nine.
8506_287659_000024_000000	JAMES BROWN.	james BROWN.
8506_287659_000025_000001	He was six feet three inches high, and in every respect, a man of bone, sinew and muscle.	He was six feet three inches high, and in every respect, a man of bone, sinew and muscle.
8506_287659_000025_000002	For one who had enjoyed only a field hand's privileges for improvement, he was not to be despised.	For one who had enjoyed only a field hand's privileges for improvement, he was not to be despised.
8506_287659_000026_000000	Jim owed service to Henry Jones; at least he admitted that said Jones claimed him, and had hired him out to himself for seven dollars per month.	Jim owed service to Henry Jones; at least he admitted that said Jones claimed him, and had hired him out to himself for seven dollars per month.
8506_287659_000026_000003	Having heard of the Underground Rail Road running to Canada, he concluded to take a trip and see the country, for himself; so he arranged his affairs with this end in view, and left Henry Jones with one less to work for him for nothing.	Having heard of the Underground Rail Road running to Canada, he concluded to take a trip and see the country, for himself; so he arranged his affairs with this end in view, and left Henry Jones with one less to work for him for nothing.
8506_287659_000026_000004	The place that he fled from was called North Point, Baltimore county.	The place that he fled from was called North Point, Baltimore county.
8506_287659_000026_000005	The number of fellow-slaves left in the hands of his old master, was fifteen.	The number of fellow slaves left in the hands of his old master, was fifteen.
8506_287659_000027_000000	ARRIVAL FROM DELAWARE, 1859.	ARRIVAL FROM DELAWARE, eighteen fifty nine.
8506_287659_000028_000000	EDWARD, JOHN, AND CHARLES HALL.	EDWARD, john, AND CHARLES HALL.
8506_287659_000029_000001	They were young; the eldest being about twenty, the youngest not far from seventeen years of age.	They were young; the eldest being about twenty, the youngest not far from seventeen years of age.
8506_287659_000030_000002	Charles resolved that when his brothers crossed the line dividing Delaware and Pennsylvania, he would not be far behind.	Charles resolved that when his brothers crossed the line dividing Delaware and Pennsylvania, he would not be far behind.
8506_287659_000031_000000	The mother of these boys was freed at the age of twenty-eight, and lived in Wilmington, Delaware.	The mother of these boys was freed at the age of twenty eight, and lived in wilmington delaware.
8506_287659_000031_000001	It was owing to the fact that their mother had been freed that they entertained the vague notion that they too might be freed; but it was a well established fact that thousands lived and died in such a hope without ever realizing their expectations.	It was owing to the fact that their mother had been freed that they entertained the vague notion that they too might be freed; but it was a well established fact that thousands lived and died in such a hope without ever realizing their expectations.
8506_287659_000031_000002	The boys, more shrewd and wide awake than many others, did not hearken to such "stuff." The two younger heard the views of the elder brother, and expressed a willingness to follow him.	The boys, more shrewd and wide awake than many others, did not hearken to such "stuff." The two younger heard the views of the elder brother, and expressed a willingness to follow him.
8506_287659_000031_000003	Edward, becoming satisfied that what they meant to do must be done quickly, took the lead, and off they started for a free State.	Edward, becoming satisfied that what they meant to do must be done quickly, took the lead, and off they started for a free State.
8506_287659_000032_000000	John was owned by one James B. Rodgers, a farmer, and "a most every kind of man," as John expressed himself; in fact John thought that his owner was such a strange, wicked, and cross character that he couldn't tell himself what he was.	john was owned by one james b Rodgers, a farmer, and "a most every kind of man," as john expressed himself; in fact john thought that his owner was such a strange, wicked, and cross character that he couldn't tell himself what he was.
8506_287659_000032_000001	Seeing that slaves were treated no better than dogs and hogs, John thought that he was none too young to be taking steps to get away.	Seeing that slaves were treated no better than dogs and hogs, john thought that he was none too young to be taking steps to get away.
