8506_287659_000000_000000	I remain forever your brother in Christ,	I remain forever your brother in Christ,	false	9	11.01	25.943552
8506_287659_000014_000001	He satisfied the Committee that he fully believed in freedom, and had proved his faith by his works, as he came in contact with pursuers, whom he put to flight by the use of an ugly-looking knife, which he plunged into one of them, producing quite a panic; the result was that he was left to pursue his Underground Rail Road journey without further molestation.	He satisfied the Committee that he fully believed in freedom, and had proved his faith by his works, as he came in contact with pursuers, whom he put to flight by the use of an ugly looking knife, which he plunged into one of them, producing quite a panic; the result was that he was left to pursue his Underground Rail Road journey without further molestation.	true	230.81	248.86	20.395395
8506_287659_000014_000002	There was nothing in John's appearance which would lead one to suppose that he was a blood-thirsty or bad man, although a man of uncommon muscular powers; six feet high, and quite black, with resolution stamped on his countenance.	There was nothing in John's appearance which would lead one to suppose that he was a blood thirsty or bad man, although a man of uncommon muscular powers; six feet high, and quite black, with resolution stamped on his countenance.	true	249.41	262	22.537867
8506_287659_000014_000003	But when he explained how he was enslaved by a man named John B. Slade, of Harford Co., and how, in some way or other, he became entitled to his freedom, and just as the time arrived for the consummation of his long prayed-for boon, said Slade was about to sell him,--after this provocation, it was clear enough to perceive how John came to use his knife.	But when he explained how he was enslaved by a man named john b Slade, of Harford Co., and how, in some way or other, he became entitled to his freedom, and just as the time arrived for the consummation of his long prayed for boon, said Slade was about to sell him,--after this provocation, it was clear enough to perceive how john came to use his knife.	false	262.31	282.79	20
8506_287659_000015_000000	John Hillis was a tiller of the ground under a widow lady (Mrs. Louisa Le Count), of the New Market District, Maryland.	john Hillis was a tiller of the ground under a widow lady (mrs Louisa Le Count), of the New Market District, Maryland.	true	283.22	290.08	22.92122
8506_287659_000015_000001	He signified to the mistress, that he loved to follow the water, and that he would be just as safe on water as on land, and that he was discontented.	He signified to the mistress, that he loved to follow the water, and that he would be just as safe on water as on land, and that he was discontented.	true	290.15	297.88	21.729519
8506_287659_000015_000002	The widow heard John's plausible story, and saw nothing amiss in it, so she consented that he should work on a schooner.	The widow heard John's plausible story, and saw nothing amiss in it, so she consented that he should work on a schooner.	true	298.82	305.11	22.355797
8506_287659_000015_000003	The name of the craft was "Majestic." The hopeful John endeavored to do his utmost to please, and was doubly happy when he learned that the "Majestic" was to make a trip to Philadelphia.	The name of the craft was "Majestic." The hopeful john endeavored to do his utmost to please, and was doubly happy when he learned that the "Majestic" was to make a trip to Philadelphia.	true	305.21	314.83	22.882214
8506_287659_000015_000004	On arriving John's eyes were opened to see that he owed Mrs. Le Count nothing, but that she was largely indebted to him for years of unrequited toil; he could not, therefore, consent to go back to her.	On arriving John's eyes were opened to see that he owed mrs Le Count nothing, but that she was largely indebted to him for years of unrequited toil; he could not, therefore, consent to go back to her.	true	314.87	326.2	21.084364
8506_287659_000015_000005	He was troubled to think of his poor wife and children, whom he had left in the hands of Mrs. Harriet Dean, three quarters of a mile from New Market; but it was easier for him to imagine plans by which he could get them off than to incur the hazard of going back to Maryland; therefore he remained in freedom.	He was troubled to think of his poor wife and children, whom he had left in the hands of mrs Harriet Dean, three quarters of a mile from New Market; but it was easier for him to imagine plans by which he could get them off than to incur the hazard of going back to Maryland; therefore he remained in freedom.	true	326.3	341.77	20
8506_287659_000016_000000	Charles Ross was clearly of the opinion that he was free-born, but that he had been illegally held in Slavery, as were all his brothers and sisters, by a man named Rodgers, a farmer, living near Greensborough, in Caroline county, Md.	Charles Ross was clearly of the opinion that he was free born, but that he had been illegally held in Slavery, as were all his brothers and sisters, by a man named Rodgers, a farmer, living near Greensborough, in Caroline county, m d.	false	341.99	354.18	17
8506_287659_000016_000001	Very good reasons were given by Charles for the charge which he made against Rodgers, and it went far towards establishing the fact, that "colored men had no rights which white men were bound to respect," in Maryland.	Very good reasons were given by Charles for the charge which he made against Rodgers, and it went far towards establishing the fact, that "colored men had no rights which white men were bound to respect," in Maryland.	true	354.18	365.19	21.762066
8506_287659_000016_000002	Although he was only twenty-three years of age, he had fully weighed the matter of his freedom, and appeared firmly set against Slavery.	Although he was only twenty three years of age, he had fully weighed the matter of his freedom, and appeared firmly set against Slavery.	true	365.19	372.13	22
8506_287659_000017_000000	William Johnson was owned by a man named John Bosley, a farmer, living near Gun Powder Neck, Maryland.	William Johnson was owned by a man named john Bosley, a farmer, living near Gun Powder Neck, Maryland.	true	372.23	377.77	16
8506_287659_000017_000001	One morning he, unexpectedly to William, gave him a terrible cowhiding, which, contrary to the master's designs, made him a firm believer in the doctrine of immediate abolition, and he thought, that from that hour he must do something against the system--if nothing more than to go to Canada.	One morning he, unexpectedly to William, gave him a terrible cowhiding, which, contrary to the master's designs, made him a firm believer in the doctrine of immediate abolition, and he thought, that from that hour he must do something against the system-if nothing more than to go to Canada.	false	377.9	393.61	18
8506_287659_000017_000002	This determination was so strong, that in a few weeks afterwards he found himself on the Underground Rail Road.	This determination was so strong, that in a few weeks afterwards he found himself on the Underground Rail Road.	true	393.8	400.03	19.548252
8506_287659_000017_000003	He left one brother and one sister; his mother was dead, and of his father's whereabouts he knew nothing.	He left one brother and one sister; his mother was dead, and of his father's whereabouts he knew nothing.	true	400.07	406.12	22.224072
8506_287659_000017_000004	William was nineteen years of age, brown color, smart and good-looking.	William was nineteen years of age, brown color, smart and good looking.	true	406.28	410.35	25.404514
8506_287659_000018_000000	Edward Wood was a "chattel" from Drummerstown, Accomac county, Virginia, where he had been owned by a farmer, calling himself James White; a man who "drank hard and was very crabbed," and before Edward left owned eleven head of slaves.	Edward Wood was a "chattel" from Drummerstown, Accomac county virginia, where he had been owned by a farmer, calling himself james White; a man who "drank hard and was very crabbed," and before Edward left owned eleven head of slaves.	false	411.05	424.48	21.265598
8506_287659_000018_000001	Edward left a wife and three children, but the strong desire to be free, which had been a ruling passion of his being from early boyhood, rendered it impossible for him to stay, although the ties were very hard to break.	Edward left a wife and three children, but the strong desire to be free, which had been a ruling passion of his being from early boyhood, rendered it impossible for him to stay, although the ties were very hard to break.	true	424.67	436.14	23
8506_287659_000018_000002	Slavery was crushing him hourly, and he felt that he could not submit any longer.	Slavery was crushing him hourly, and he felt that he could not submit any longer.	true	436.14	441.07	23.979328
8506_287659_000019_000000	Cornelius Fuller, and his wife, Harriet, escaped together from Kent county, Maryland.	Cornelius Fuller, and his wife, Harriet, escaped together from Kent county, Maryland.	true	441.2	445.81	21.388659
8506_287659_000019_000001	They belonged to separate masters; Cornelius, it was said, belonged to the Diden Estate; his wife to Judge Chambers, whose Honor lived in Chestertown.	They belonged to separate masters; Cornelius, it was said, belonged to the Diden Estate; his wife to Judge Chambers, whose Honor lived in Chestertown.	false	446	454.15	22.849174
8506_287659_000019_000002	"He is no man for freedom, bless you," said Harriet.	"He is no man for freedom, bless you," said Harriet.	true	454.61	457.18	18.321987
8506_287659_000019_000003	"He owned more slaves than any other man in that part of the country; he sells sometimes, and he hired out a great many; would hire them to any kind of a master, if he half killed you." Cornelius and Harriet were obliged to leave their daughter Kitty, who was thirteen years of age.	"He owned more slaves than any other man in that part of the country; he sells sometimes, and he hired out a great many; would hire them to any kind of a master, if he half killed you." Cornelius and Harriet were obliged to leave their daughter Kitty, who was thirteen years of age.	false	457.19	472.21	20.372072
8506_287659_000020_000000	John Pinket and Ansal Cannon took the Underground Rail Road cars at New Market, Dorchester county, Maryland.	john Pinket and Ansal Cannon took the Underground Rail Road cars at New Market, Dorchester county, Maryland.	true	472.25	478.12	23
8506_287659_000021_000000	John was a tall young man, of twenty-seven years of age, of an active turn of mind and of a fine black color.	john was a tall young man, of twenty seven years of age, of an active turn of mind and of a fine black color.	true	478.58	484.72	21
8506_287659_000021_000001	He was the property of Mary Brown, a widow, firmly grounded in the love of Slavery; believing that a slave had no business to get tired or desire his freedom.	He was the property of Mary Brown, a widow, firmly grounded in the love of Slavery; believing that a slave had no business to get tired or desire his freedom.	true	484.94	493.42	20.485983
8506_287659_000021_000002	She sold one of John's sisters to Georgia, and before John fled, had still in her possession nine head of slaves.	She sold one of John's sisters to Georgia, and before john fled, had still in her possession nine head of slaves.	true	493.64	499.96	21.845646
8506_287659_000021_000003	She was a member of the Methodist church at East New Market.	She was a member of the Methodist church at East New Market.	true	500.18	503.35	21.48198
8506_287659_000021_000004	From certain movements which looked very suspicious in John's eyes, he had been allotted to the Southern Market, he therefore resolved to look out for a habitation in Canada.	From certain movements which looked very suspicious in John's eyes, he had been allotted to the Southern Market, he therefore resolved to look out for a habitation in Canada.	true	503.54	512.685	20.955593
8506_287659_000021_000005	He had a first-rate corn-field education, but no book learning.	He had a first rate corn field education, but no book learning.	true	512.685	516.52	23.276512
8506_287659_000021_000006	Up to the time of his escape, John had shunned entangling himself with a wife.	Up to the time of his escape, john had shunned entangling himself with a wife.	true	516.53	521.05	20.648317
8506_287659_000022_000000	Ansal was twenty-five years of age, well-colored, and seemed like a good-natured and well-behaved article.	Ansal was twenty five years of age, well colored, and seemed like a good-natured and well behaved article.	true	521.42	526.69	19.829466
8506_287659_000022_000001	He escaped from Kitty Cannon, another widow, who owned nine chattels.	He escaped from Kitty Cannon, another widow, who owned nine chattels.	true	527	530.92	21.202974
8506_287659_000022_000002	"Sometimes she treated her slaves pretty well," was the testimony of Ansal.	"Sometimes she treated her slaves pretty well," was the testimony of Ansal.	true	531.11	535.03	21.727936
8506_287659_000022_000003	He ran away because he did not get pay for his services.	He ran away because he did not get pay for his services.	true	535.1	538.3	22.044254
8506_287659_000022_000004	In thus being deprived of his hire, he concluded that he had no business to stay if he could get away.	In thus being deprived of his hire, he concluded that he had no business to stay if he could get away.	false	538.49	544	21.616148
8506_287659_000023_000000	ARRIVAL FROM MARYLAND, 1859.	ARRIVAL FROM MARYLAND, eighteen fifty nine.	true	545.12	547.515	22.089273
8506_287659_000024_000000	JAMES BROWN.	james BROWN.	true	547.515	548.68	21.174223
8506_287659_000025_000000	A more giant-like looking passenger than the above named individual had rarely ever passed over the road.	A more giant like looking passenger than the above named individual had rarely ever passed over the road.	false	549.2	554.77	20.409973
8506_287659_000025_000001	He was six feet three inches high, and in every respect, a man of bone, sinew and muscle.	He was six feet three inches high, and in every respect, a man of bone, sinew and muscle.	true	554.84	560.14	22
8506_287659_000025_000002	For one who had enjoyed only a field hand's privileges for improvement, he was not to be despised.	For one who had enjoyed only a field hand's privileges for improvement, he was not to be despised.	true	560.42	565.81	21
8506_287659_000026_000000	Jim owed service to Henry Jones; at least he admitted that said Jones claimed him, and had hired him out to himself for seven dollars per month.	Jim owed service to Henry Jones; at least he admitted that said Jones claimed him, and had hired him out to himself for seven dollars per month.	true	566.36	574.36	21.456806
8506_287659_000026_000001	While this amount seemed light, it was much heavier than Jim felt willing to meet solely for his master's benefit.	While this amount seemed light, it was much heavier than Jim felt willing to meet solely for his master's benefit.	true	574.58	580.33	19.778202
8506_287659_000026_000002	After giving some heed to the voice of freedom within, he considered that it behooved him to try and make his way to some place where men were not guilty of wronging their neighbors out of their just hire.	After giving some heed to the voice of freedom within, he considered that it behooved him to try and make his way to some place where men were not guilty of wronging their neighbors out of their just hire.	true	580.67	590.68	19.588879
8506_287659_000026_000003	Having heard of the Underground Rail Road running to Canada, he concluded to take a trip and see the country, for himself; so he arranged his affairs with this end in view, and left Henry Jones with one less to work for him for nothing.	Having heard of the Underground Rail Road running to Canada, he concluded to take a trip and see the country, for himself; so he arranged his affairs with this end in view, and left Henry Jones with one less to work for him for nothing.	true	590.9	602.95	20.512302
8506_287659_000026_000004	The place that he fled from was called North Point, Baltimore county.	The place that he fled from was called North Point, Baltimore county.	true	603.26	606.85	22.452534
8506_287659_000026_000005	The number of fellow-slaves left in the hands of his old master, was fifteen.	The number of fellow slaves left in the hands of his old master, was fifteen.	true	607.01	611.26	20.365181
8506_287659_000027_000000	ARRIVAL FROM DELAWARE, 1859.	ARRIVAL FROM DELAWARE, eighteen fifty nine.	true	611.54	614.025	21.005035
8506_287659_000028_000000	EDWARD, JOHN, AND CHARLES HALL.	EDWARD, john, AND CHARLES HALL.	true	614.025	616.33	24.5781
8506_287659_000029_000000	The above named individuals were brothers from Delaware.	The above named individuals were brothers from Delaware.	true	616.97	619.935	19.869976
8506_287659_000029_000001	They were young; the eldest being about twenty, the youngest not far from seventeen years of age.	They were young; the eldest being about twenty, the youngest not far from seventeen years of age.	true	619.935	625.335	22.25825
8506_287659_000030_000000	Edward was serving on a farm, under a man named Booth.	Edward was serving on a farm, under a man named Booth.	true	625.335	628.45	19.65999
8506_287659_000030_000001	Perceiving that Booth was "running through his property" very fast by hard drinking, Edward's better judgment admonished him that his so-called master would one day have need of more rum money, and that he might not be too good to offer him in the market for what he would bring.	Perceiving that Booth was "running through his property" very fast by hard drinking, Edward's better judgment admonished him that his so-called master would one day have need of more rum money, and that he might not be too good to offer him in the market for what he would bring.	false	628.49	642.22	19
8506_287659_000030_000002	Charles resolved that when his brothers crossed the line dividing Delaware and Pennsylvania, he would not be far behind.	Charles resolved that when his brothers crossed the line dividing Delaware and Pennsylvania, he would not be far behind.	true	642.41	648.16	20
8506_287659_000031_000000	The mother of these boys was freed at the age of twenty-eight, and lived in Wilmington, Delaware.	The mother of these boys was freed at the age of twenty eight, and lived in wilmington delaware.	true	648.89	653.83	21.211582
8506_287659_000031_000001	It was owing to the fact that their mother had been freed that they entertained the vague notion that they too might be freed; but it was a well established fact that thousands lived and died in such a hope without ever realizing their expectations.	It was owing to the fact that their mother had been freed that they entertained the vague notion that they too might be freed; but it was a well established fact that thousands lived and died in such a hope without ever realizing their expectations.	true	653.84	666.34	20
8506_287659_000031_000002	The boys, more shrewd and wide awake than many others, did not hearken to such "stuff." The two younger heard the views of the elder brother, and expressed a willingness to follow him.	The boys, more shrewd and wide awake than many others, did not hearken to such "stuff." The two younger heard the views of the elder brother, and expressed a willingness to follow him.	true	666.5	675.91	21.517185
8506_287659_000031_000003	Edward, becoming satisfied that what they meant to do must be done quickly, took the lead, and off they started for a free State.	Edward, becoming satisfied that what they meant to do must be done quickly, took the lead, and off they started for a free State.	true	676.28	683.98	23.535778
8506_287659_000032_000000	John was owned by one James B. Rodgers, a farmer, and "a most every kind of man," as John expressed himself; in fact John thought that his owner was such a strange, wicked, and cross character that he couldn't tell himself what he was.	john was owned by one james b Rodgers, a farmer, and "a most every kind of man," as john expressed himself; in fact john thought that his owner was such a strange, wicked, and cross character that he couldn't tell himself what he was.	true	684.44	697.78	22.547775
8506_287659_000032_000001	Seeing that slaves were treated no better than dogs and hogs, John thought that he was none too young to be taking steps to get away.	Seeing that slaves were treated no better than dogs and hogs, john thought that he was none too young to be taking steps to get away.	true	698.15	705.405	21.83154
8506_287659_000033_000000	Charles was held by James Rodgers, Sr., under whom he said that he had served nine years with faint prospects of some time becoming free, but when, was doubtful.	Charles was held by james Rodgers senior, under whom he said that he had served nine years with faint prospects of some time becoming free, but when, was doubtful.	false	705.405	725.4	20.184582
