5401_39508_000001_000000	CHAPTER XIII	CHAPTER thirteen
5401_39508_000026_000000	The most common vein stones are QUARTZ and CALCITE.	The most common vein stones are QUARTZ and CALCITE.
5401_39508_000026_000001	FLUORITE (calcium fluoride), a mineral harder than calcite and crystallizing in cubes of various colors, and BARITE (barium sulphate), a heavy white mineral, are abundant in many veins.	FLUORITE (calcium fluoride), a mineral harder than calcite and crystallizing in cubes of various colors, and BARITE (barium sulphate), a heavy white mineral, are abundant in many veins.
5401_39508_000028_000002	How the gold came in the placers we may leave the pupil to suggest.	How the gold came in the placers we may leave the pupil to suggest.
5401_39508_000030_000000	ORIGIN OF MINERAL VEINS.	ORIGIN OF MINERAL VEINS.
5401_39508_000030_000003	Now fissures, wherever they occur, form the trunk channels of the underground circulation. Water descends from the surface along these rifts; it moves laterally from either side to the fissure plane, just as ground water seeps through the surrounding rocks from every direction to a well; and it ascends through these natural water ways as in an artesian well, whenever they intersect an aquifer in which water is under hydrostatic pressure.	Now fissures, wherever they occur, form the trunk channels of the underground circulation. Water descends from the surface along these rifts; it moves laterally from either side to the fissure plane, just as ground water seeps through the surrounding rocks from every direction to a well; and it ascends through these natural water ways as in an artesian well, whenever they intersect an aquifer in which water is under hydrostatic pressure.
5401_39508_000031_000000	The waters which deposit vein stones and ores are commonly hot, and in many cases they have derived their heat from intrusions of igneous rock still uncooled within the crust.	The waters which deposit vein stones and ores are commonly hot, and in many cases they have derived their heat from intrusions of igneous rock still uncooled within the crust.
5401_39508_000033_000001	The steaming water rises through fissures in volcanic rocks and is now depositing in the rifts a vein stone of quartz, with metallic ores of iron, mercury, lead, and other metals.	The steaming water rises through fissures in volcanic rocks and is now depositing in the rifts a vein stone of quartz, with metallic ores of iron, mercury, lead, and other metals.
5401_39508_000034_000003	The minerals of veins are therefore constantly being dissolved along their upper portions and carried down the fissures by ground water to lower levels, where they are redeposited.	The minerals of veins are therefore constantly being dissolved along their upper portions and carried down the fissures by ground water to lower levels, where they are redeposited.
5401_39508_000035_000000	Many of the richest ore deposits are thus due to successive concentrations: the ores were leached originally from the rocks to a large extent by laterally seeping waters; they were concentrated in the ore deposits of the vein chiefly by ascending currents; they have been reconcentrated by descending waters in the way just mentioned.	Many of the richest ore deposits are thus due to successive concentrations: the ores were leached originally from the rocks to a large extent by laterally seeping waters; they were concentrated in the ore deposits of the vein chiefly by ascending currents; they have been reconcentrated by descending waters in the way just mentioned.
5401_39508_000037_000001	Thus in soluble rocks, such as limestones, joints enlarged by percolating water are sometimes filled with metalliferous deposits, as, for example, the lead and zinc deposits of the upper Mississippi valley.	Thus in soluble rocks, such as limestones, joints enlarged by percolating water are sometimes filled with metalliferous deposits, as, for example, the lead and zinc deposits of the upper Mississippi valley.
