492_131899_000000_000000	"The valves are not sufficiently charged!" he exclaimed.	"The valves are not sufficiently charged!" he exclaimed.	false	0	3.39	17.727777
492_131899_000005_000002	His satisfaction would have been complete had the Rangoon been forced to retreat before the violence of wind and waves. Each delay filled him with hope, for it became more and more probable that Fogg would be obliged to remain some days at Hong Kong; and now the heavens themselves became his allies, with the gusts and squalls. It mattered not that they made him sea-sick--he made no account of this inconvenience; and, whilst his body was writhing under their effects, his spirit bounded with hopeful exultation.	His satisfaction would have been complete had the Rangoon been forced to retreat before the violence of wind and waves. Each delay filled him with hope, for it became more and more probable that Fogg would be obliged to remain some days at Hong Kong; and now the heavens themselves became his allies, with the gusts and squalls. It mattered not that they made him sea sick-he made no account of this inconvenience; and, whilst his body was writhing under their effects, his spirit bounded with hopeful exultation.	false	138.29	190.5	20.182201
492_131899_000006_000000	Passepartout was enraged beyond expression by the unpropitious weather. Everything had gone so well till now!	Passepartout was enraged beyond expression by the unpropitious weather. Everything had gone so well till now!	false	190.5	202.08	21.37228
492_131899_000006_000001	Earth and sea had seemed to be at his master's service; steamers and railways obeyed him; wind and steam united to speed his journey.	Earth and sea had seemed to be at his master's service; steamers and railways obeyed him; wind and steam united to speed his journey.	true	202.08	213.01	16
492_131899_000006_000002	Had the hour of adversity come? Passepartout was as much excited as if the twenty thousand pounds were to come from his own pocket.	Had the hour of adversity come? Passepartout was as much excited as if the twenty thousand pounds were to come from his own pocket.	true	213.59	223.51	20.792871
492_131899_000006_000003	The storm exasperated him, the gale made him furious, and he longed to lash the obstinate sea into obedience. Poor fellow!	The storm exasperated him, the gale made him furious, and he longed to lash the obstinate sea into obedience. Poor fellow!	true	223.61	235.81	20.566172
492_131899_000006_000004	Fix carefully concealed from him his own satisfaction, for, had he betrayed it, Passepartout could scarcely have restrained himself from personal violence.	Fix carefully concealed from him his own satisfaction, for, had he betrayed it, Passepartout could scarcely have restrained himself from personal violence.	true	236.03	249.52	18
492_131899_000007_000000	Passepartout remained on deck as long as the tempest lasted, being unable to remain quiet below, and taking it into his head to aid the progress of the ship by lending a hand with the crew.	Passepartout remained on deck as long as the tempest lasted, being unable to remain quiet below, and taking it into his head to aid the progress of the ship by lending a hand with the crew.	false	250.94	266.71	19
492_131899_000007_000001	He overwhelmed the captain, officers, and sailors, who could not help laughing at his impatience, with all sorts of questions.	He overwhelmed the captain, officers, and sailors, who could not help laughing at his impatience, with all sorts of questions.	true	266.9	279.58	19
492_131899_000007_000002	He wanted to know exactly how long the storm was going to last; whereupon he was referred to the barometer, which seemed to have no intention of rising.	He wanted to know exactly how long the storm was going to last; whereupon he was referred to the barometer, which seemed to have no intention of rising.	false	279.83	293.35	19
492_131899_000007_000003	Passepartout shook it, but with no perceptible effect; for neither shaking nor maledictions could prevail upon it to change its mind.	Passepartout shook it, but with no perceptible effect; for neither shaking nor maledictions could prevail upon it to change its mind.	true	294.32	306.76	20.145283
492_131899_000008_000000	On the 4th, however, the sea became more calm, and the storm lessened its violence; the wind veered southward, and was once more favourable. Passepartout cleared up with the weather.	On the fourth, however, the sea became more calm, and the storm lessened its violence; the wind veered southward, and was once more favourable. Passepartout cleared up with the weather.	true	307.22	321.61	17
492_131899_000008_000001	Some of the sails were unfurled, and the Rangoon resumed its most rapid speed.	Some of the sails were unfurled, and the Rangoon resumed its most rapid speed.	true	321.8	329.32	16
492_131899_000008_000002	The time lost could not, however, be regained.	The time lost could not, however, be regained.	true	329.42	332.68	16
492_131899_000008_000003	Land was not signalled until five o'clock on the morning of the 6th; the steamer was due on the 5th. Phileas Fogg was twenty-four hours behind-hand, and the Yokohama steamer would, of course, be missed.	Land was not signalled until five o'clock on the morning of the sixth; the steamer was due on the fifth. Phileas Fogg was twenty four hours behind hand, and the Yokohama steamer would, of course, be missed.	true	333.2	348.94	19
492_131899_000009_000000	The pilot went on board at six, and took his place on the bridge, to guide the Rangoon through the channels to the port of Hong Kong. Passepartout longed to ask him if the steamer had left for Yokohama; but he dared not, for he wished to preserve the spark of hope, which still remained till the last moment.	The pilot went on board at six, and took his place on the bridge, to guide the Rangoon through the channels to the port of Hong Kong. Passepartout longed to ask him if the steamer had left for Yokohama; but he dared not, for he wished to preserve the spark of hope, which still remained till the last moment.	true	349.13	375.01	18
492_131899_000009_000001	He had confided his anxiety to Fix who--the sly rascal!--tried to console him by saying that Mr. Fogg would be in time if he took the next boat; but this only put Passepartout in a passion.	He had confided his anxiety to Fix who-the sly rascal!--tried to console him by saying that mr Fogg would be in time if he took the next boat; but this only put Passepartout in a passion.	true	375.35	390.7	18
492_131899_000010_000000	Mr. Fogg, bolder than his servant, did not hesitate to approach the pilot, and tranquilly ask him if he knew when a steamer would leave Hong Kong for Yokohama.	mr Fogg, bolder than his servant, did not hesitate to approach the pilot, and tranquilly ask him if he knew when a steamer would leave Hong Kong for Yokohama.	false	391.07	402.66	19
492_131899_000011_000000	"At high tide to-morrow morning," answered the pilot.	"At high tide to morrow morning," answered the pilot.	false	402.66	405.87	19.780529
492_131899_000012_000000	"Ah!" said Mr. Fogg, without betraying any astonishment.	"Ah!" said mr Fogg, without betraying any astonishment.	true	405.87	409.63	19
492_131899_000013_000000	Passepartout, who heard what passed, would willingly have embraced the pilot, while Fix would have been glad to twist his neck.	Passepartout, who heard what passed, would willingly have embraced the pilot, while Fix would have been glad to twist his neck.	true	409.85	420.58	19.964434
492_131899_000014_000000	"What is the steamer's name?" asked Mr. Fogg.	"What is the steamer's name?" asked mr Fogg.	true	422.39	424.87	18.446756
492_131899_000015_000000	"The Carnatic."	"The Carnatic."	true	425.09	426.16	20.666124
492_131899_000016_000000	"Ought she not to have gone yesterday?"	"Ought she not to have gone yesterday?"	false	426.77	428.74	21
492_131899_000017_000000	"Yes, sir; but they had to repair one of her boilers, and so her departure was postponed till to-morrow."	"Yes, sir; but they had to repair one of her boilers, and so her departure was postponed till to morrow."	true	429.26	438.01	20.48158
492_131899_000018_000000	"Thank you," returned Mr. Fogg, descending mathematically to the saloon.	"Thank you," returned mr Fogg, descending mathematically to the saloon.	true	438.65	444.31	18
492_131899_000019_000000	Passepartout clasped the pilot's hand and shook it heartily in his delight, exclaiming, "Pilot, you are the best of good fellows!"	Passepartout clasped the pilot's hand and shook it heartily in his delight, exclaiming, "Pilot, you are the best of good fellows!"	true	444.68	454.57	19.47738
492_131899_000020_000000	The pilot probably does not know to this day why his responses won him this enthusiastic greeting.	The pilot probably does not know to this day why his responses won him this enthusiastic greeting.	false	455	463.93	16
492_131899_000020_000001	He remounted the bridge, and guided the steamer through the flotilla of junks, tankas, and fishing boats which crowd the harbour of Hong Kong.	He remounted the bridge, and guided the steamer through the flotilla of junks, tankas, and fishing boats which crowd the harbour of Hong Kong.	false	464.36	477.82	19
492_131899_000021_000000	At one o'clock the Rangoon was at the quay, and the passengers were going ashore.	At one o'clock the Rangoon was at the quay, and the passengers were going ashore.	true	478.55	484.81	18
492_131899_000022_000000	Chance had strangely favoured Phileas Fogg, for had not the Carnatic been forced to lie over for repairing her boilers, she would have left on the 6th of November, and the passengers for Japan would have been obliged to await for a week the sailing of the next steamer.	Chance had strangely favoured Phileas Fogg, for had not the Carnatic been forced to lie over for repairing her boilers, she would have left on the sixth of November, and the passengers for Japan would have been obliged to await for a week the sailing of the next steamer.	false	485.36	506.955	18
492_131899_000022_000001	Mr. Fogg was, it is true, twenty-four hours behind his time; but this could not seriously imperil the remainder of his tour.	mr Fogg was, it is true, twenty four hours behind his time; but this could not seriously imperil the remainder of his tour.	true	506.955	516.4	15
492_131899_000023_000000	The steamer which crossed the Pacific from Yokohama to San Francisco made a direct connection with that from Hong Kong, and it could not sail until the latter reached Yokohama; and if Mr. Fogg was twenty-four hours late on reaching Yokohama, this time would no doubt be easily regained in the voyage of twenty-two days across the Pacific.	The steamer which crossed the Pacific from Yokohama to San Francisco made a direct connection with that from Hong Kong, and it could not sail until the latter reached Yokohama; and if mr Fogg was twenty four hours late on reaching Yokohama, this time would no doubt be easily regained in the voyage of twenty two days across the Pacific.	true	516.71	546.61	17
492_131899_000023_000001	He found himself, then, about twenty-four hours behind-hand, thirty-five days after leaving London.	He found himself, then, about twenty four hours behind hand, thirty five days after leaving London.	true	546.8	554.23	16
492_131899_000024_000000	The Carnatic was announced to leave Hong Kong at five the next morning. Mr. Fogg had sixteen hours in which to attend to his business there, which was to deposit Aouda safely with her wealthy relative.	The Carnatic was announced to leave Hong Kong at five the next morning. mr Fogg had sixteen hours in which to attend to his business there, which was to deposit Aouda safely with her wealthy relative.	false	555.74	574	17
492_131899_000025_000000	On landing, he conducted her to a palanquin, in which they repaired to the Club Hotel.	On landing, he conducted her to a palanquin, in which they repaired to the Club Hotel.	false	574.4	583.33	16
492_131899_000025_000001	A room was engaged for the young woman, and Mr. Fogg, after seeing that she wanted for nothing, set out in search of her cousin Jeejeeh.	A room was engaged for the young woman, and mr Fogg, after seeing that she wanted for nothing, set out in search of her cousin Jeejeeh.	false	583.73	594.15	18
492_131899_000025_000002	He instructed Passepartout to remain at the hotel until his return, that Aouda might not be left entirely alone.	He instructed Passepartout to remain at the hotel until his return, that Aouda might not be left entirely alone.	false	594.15	603.37	18
492_131899_000026_000000	Mr. Fogg repaired to the Exchange, where, he did not doubt, every one would know so wealthy and considerable a personage as the Parsee merchant.	mr Fogg repaired to the Exchange, where, he did not doubt, every one would know so wealthy and considerable a personage as the Parsee merchant.	true	604.58	617.38	18
492_131899_000026_000001	Meeting a broker, he made the inquiry, to learn that Jeejeeh had left China two years before, and, retiring from business with an immense fortune, had taken up his residence in Europe--in Holland the broker thought, with the merchants of which country he had principally traded.	Meeting a broker, he made the inquiry, to learn that Jeejeeh had left China two years before, and, retiring from business with an immense fortune, had taken up his residence in Europe-in Holland the broker thought, with the merchants of which country he had principally traded.	false	617.63	640.75	17
492_131899_000026_000002	Phileas Fogg returned to the hotel, begged a moment's conversation with Aouda, and without more ado, apprised her that Jeejeeh was no longer at Hong Kong, but probably in Holland.	Phileas Fogg returned to the hotel, begged a moment's conversation with Aouda, and without more ado, apprised her that Jeejeeh was no longer at Hong Kong, but probably in Holland.	false	640.82	657.21	17
492_131899_000027_000000	Aouda at first said nothing.	Aouda at first said nothing.	true	657.21	658.9	20
492_131899_000027_000001	She passed her hand across her forehead, and reflected a few moments.	She passed her hand across her forehead, and reflected a few moments.	true	659.03	664.6	17
492_131899_000027_000002	Then, in her sweet, soft voice, she said: "What ought I to do, Mr. Fogg?"	Then, in her sweet, soft voice, she said: "What ought I to do, mr Fogg?"	true	664.73	669.97	21.557253
492_131899_000028_000000	"It is very simple," responded the gentleman.	"It is very simple," responded the gentleman.	false	670.07	672.61	16.768087
492_131899_000028_000001	"Go on to Europe."	"Go on to Europe."	true	672.86	674.05	15
492_131899_000029_000000	"But I cannot intrude--"	"But I cannot intrude-"	true	674.39	676.03	24.786737
492_131899_000030_000000	"You do not intrude, nor do you in the least embarrass my project. Passepartout!"	"You do not intrude, nor do you in the least embarrass my project. Passepartout!"	true	676.25	682.81	18
492_131899_000031_000000	"Monsieur."	"Monsieur."	true	683.84	684.73	21.847733
492_131899_000032_000000	"Go to the Carnatic, and engage three cabins."	"Go to the Carnatic, and engage three cabins."	true	685.28	689.53	21.59625
492_131899_000033_000000	Passepartout, delighted that the young woman, who was very gracious to him, was going to continue the journey with them, went off at a brisk gait to obey his master's order.	Passepartout, delighted that the young woman, who was very gracious to him, was going to continue the journey with them, went off at a brisk gait to obey his master's order.	false	689.69	705.78	17.637762
492_131899_000034_000000	Chapter XIX	Chapter nineteen	false	705.78	706.65	13
492_131899_000035_000000	IN WHICH PASSEPARTOUT TAKES A TOO GREAT INTEREST IN HIS MASTER, AND WHAT COMES OF IT	IN WHICH PASSEPARTOUT TAKES A TOO GREAT INTEREST IN HIS MASTER, AND WHAT COMES OF IT	false	706.65	715.05	15.78221
