7809_108638_000000_000000	A TALE OF THE RAGGED MOUNTAINS	A TALE OF THE RAGGED MOUNTAINS	true	32.07	35.56	23.900639
7809_108638_000001_000012	His mouth was large and flexible, and his teeth were more wildly uneven, although sound, than I had ever before seen teeth in a human head.	His mouth was large and flexible, and his teeth were more wildly uneven, although sound, than I had ever before seen teeth in a human head.	false	106.88	116.44	21.74004
7809_108638_000001_000013	The expression of his smile, however, was by no means unpleasing, as might be supposed; but it had no variation whatever.	The expression of his smile, however, was by no means unpleasing, as might be supposed; but it had no variation whatever.	true	117.5	126.28	19.768932
7809_108638_000001_000014	It was one of profound melancholy--of a phaseless and unceasing gloom.	It was one of profound melancholy-of a phaseless and unceasing gloom.	true	127.1	132.58	20.303722
7809_108638_000001_000015	His eyes were abnormally large, and round like those of a cat.	His eyes were abnormally large, and round like those of a cat.	true	133.22	137.77	18.950918
7809_108638_000001_000016	The pupils, too, upon any accession or diminution of light, underwent contraction or dilation, just such as is observed in the feline tribe.	The pupils, too, upon any accession or diminution of light, underwent contraction or dilation, just such as is observed in the feline tribe.	false	138.89	150.13	21.211908
7809_108638_000001_000017	In moments of excitement the orbs grew bright to a degree almost inconceivable; seeming to emit luminous rays, not of a reflected but of an intrinsic lustre, as does a candle or the sun; yet their ordinary condition was so totally vapid, filmy, and dull as to convey the idea of the eyes of a long-interred corpse.	In moments of excitement the orbs grew bright to a degree almost inconceivable; seeming to emit luminous rays, not of a reflected but of an intrinsic lustre, as does a candle or the sun; yet their ordinary condition was so totally vapid, filmy, and dull as to convey the idea of the eyes of a long interred corpse.	false	150.53	178.03	23.339853
7809_108638_000002_000000	These peculiarities of person appeared to cause him much annoyance, and he was continually alluding to them in a sort of half explanatory, half apologetic strain, which, when I first heard it, impressed me very painfully.	These peculiarities of person appeared to cause him much annoyance, and he was continually alluding to them in a sort of half explanatory, half apologetic strain, which, when I first heard it, impressed me very painfully.	false	179	194.32	23.599745
7809_108638_000002_000001	I soon, however, grew accustomed to it, and my uneasiness wore off.	I soon, however, grew accustomed to it, and my uneasiness wore off.	true	194.69	199.42	22.991783
7809_108638_000002_000002	It seemed to be his design rather to insinuate than directly to assert that, physically, he had not always been what he was--that a long series of neuralgic attacks had reduced him from a condition of more than usual personal beauty, to that which I saw.	It seemed to be his design rather to insinuate than directly to assert that, physically, he had not always been what he was-that a long series of neuralgic attacks had reduced him from a condition of more than usual personal beauty, to that which I saw.	true	199.94	220.54	23.00514
7809_108638_000002_000003	For many years past he had been attended by a physician, named Templeton--an old gentleman, perhaps seventy years of age--whom he had first encountered at Saratoga, and from whose attention, while there, he either received, or fancied that he received, great benefit.	For many years past he had been attended by a physician, named Templeton-an old gentleman, perhaps seventy years of age-whom he had first encountered at Saratoga, and from whose attention, while there, he either received, or fancied that he received, great benefit.	true	221.24	240.28	21.52059
7809_108638_000002_000004	The result was that Bedloe, who was wealthy, had made an arrangement with Dr. Templeton, by which the latter, in consideration of a liberal annual allowance, had consented to devote his time and medical experience exclusively to the care of the invalid.	The result was that Bedloe, who was wealthy, had made an arrangement with dr Templeton, by which the latter, in consideration of a liberal annual allowance, had consented to devote his time and medical experience exclusively to the care of the invalid.	true	240.8	260.38	23.40703
7809_108638_000003_000000	Doctor Templeton had been a traveller in his younger days, and at Paris had become a convert, in great measure, to the doctrines of Mesmer.	Doctor Templeton had been a traveller in his younger days, and at Paris had become a convert, in great measure, to the doctrines of Mesmer.	true	260.75	269.68	23.604034
7809_108638_000003_000001	It was altogether by means of magnetic remedies that he had succeeded in alleviating the acute pains of his patient; and this success had very naturally inspired the latter with a certain degree of confidence in the opinions from which the remedies had been educed.	It was altogether by means of magnetic remedies that he had succeeded in alleviating the acute pains of his patient; and this success had very naturally inspired the latter with a certain degree of confidence in the opinions from which the remedies had been educed.	false	270.2	286.8	21.894745
7809_108638_000003_000002	The Doctor, however, like all enthusiasts, had struggled hard to make a thorough convert of his pupil, and finally so far gained his point as to induce the sufferer to submit to numerous experiments.	The Doctor, however, like all enthusiasts, had struggled hard to make a thorough convert of his pupil, and finally so far gained his point as to induce the sufferer to submit to numerous experiments.	true	286.8	300.79	22.418413
7809_108638_000003_000003	By a frequent repetition of these, a result had arisen, which of late days has become so common as to attract little or no attention, but which, at the period of which I write, had very rarely been known in America.	By a frequent repetition of these, a result had arisen, which of late days has become so common as to attract little or no attention, but which, at the period of which I write, had very rarely been known in America.	true	301.55	317.08	24.24844
7809_108638_000003_000004	I mean to say, that between Doctor Templeton and Bedloe there had grown up, little by little, a very distinct and strongly marked rapport, or magnetic relation.	I mean to say, that between Doctor Templeton and Bedloe there had grown up, little by little, a very distinct and strongly marked rapport, or magnetic relation.	true	317.63	329.71	23.768475
7809_108638_000003_000005	I am not prepared to assert, however, that this rapport extended beyond the limits of the simple sleep-producing power, but this power itself had attained great intensity.	I am not prepared to assert, however, that this rapport extended beyond the limits of the simple sleep producing power, but this power itself had attained great intensity.	true	330.11	340.36	24.503613
7809_108638_000003_000006	At the first attempt to induce the magnetic somnolency, the mesmerist entirely failed.	At the first attempt to induce the magnetic somnolency, the mesmerist entirely failed.	true	340.91	346.75	24.492016
7809_108638_000003_000007	In the fifth or sixth he succeeded very partially, and after long continued effort.	In the fifth or sixth he succeeded very partially, and after long continued effort.	true	347.12	353.56	22.79834
7809_108638_000003_000008	Only at the twelfth was the triumph complete.	Only at the twelfth was the triumph complete.	true	354.14	357.22	26.499739
7809_108638_000003_000009	After this the will of the patient succumbed rapidly to that of the physician, so that, when I first became acquainted with the two, sleep was brought about almost instantaneously by the mere volition of the operator, even when the invalid was unaware of his presence.	After this the will of the patient succumbed rapidly to that of the physician, so that, when I first became acquainted with the two, sleep was brought about almost instantaneously by the mere volition of the operator, even when the invalid was unaware of his presence.	true	357.35	373.6	23.42335
7809_108638_000003_000010	It is only now, in the year 1845, when similar miracles are witnessed daily by thousands, that I dare venture to record this apparent impossibility as a matter of serious fact.	It is only now, in the year eighteen forty five, when similar miracles are witnessed daily by thousands, that I dare venture to record this apparent impossibility as a matter of serious fact.	true	374.24	386.98	22.75298
7809_108638_000004_000000	The temperature of Bedloe was, in the highest degree sensitive, excitable, enthusiastic.	The temperature of Bedloe was, in the highest degree sensitive, excitable, enthusiastic.	true	387.89	394.93	20.942312
7809_108638_000004_000001	His imagination was singularly vigorous and creative; and no doubt it derived additional force from the habitual use of morphine, which he swallowed in great quantity, and without which he would have found it impossible to exist.	His imagination was singularly vigorous and creative; and no doubt it derived additional force from the habitual use of morphine, which he swallowed in great quantity, and without which he would have found it impossible to exist.	true	395.33	409.3	19.947218
7809_108638_000004_000002	It was his practice to take a very large dose of it immediately after breakfast each morning--or, rather, immediately after a cup of strong coffee, for he ate nothing in the forenoon--and then set forth alone, or attended only by a dog, upon a long ramble among the chain of wild and dreary hills that lie westward and southward of Charlottesville, and are there dignified by the title of the Ragged Mountains.	It was his practice to take a very large dose of it immediately after breakfast each morning-or, rather, immediately after a cup of strong coffee, for he ate nothing in the forenoon-and then set forth alone, or attended only by a dog, upon a long ramble among the chain of wild and dreary hills that lie westward and southward of Charlottesville, and are there dignified by the title of the Ragged Mountains.	true	409.88	437.8	22.162243
7809_108638_000005_000000	Upon a dim, warm, misty day, toward the close of November, and during the strange interregnum of the seasons which in America is termed the Indian Summer, Mr. Bedloe departed as usual for the hills.	Upon a dim, warm, misty day, toward the close of November, and during the strange interregnum of the seasons which in America is termed the Indian Summer, mr Bedloe departed as usual for the hills.	true	438.98	453.31	20.830118
7809_108638_000005_000001	The day passed, and still he did not return.	The day passed, and still he did not return.	true	453.74	457.03	23.346388
7809_108638_000006_000000	About eight o'clock at night, having become seriously alarmed at his protracted absence, we were about setting out in search of him, when he unexpectedly made his appearance, in health no worse than usual, and in rather more than ordinary spirits.	About eight o'clock at night, having become seriously alarmed at his protracted absence, we were about setting out in search of him, when he unexpectedly made his appearance, in health no worse than usual, and in rather more than ordinary spirits.	true	458.15	473.71	22.416536
7809_108638_000006_000001	The account which he gave of his expedition, and of the events which had detained him, was a singular one indeed.	The account which he gave of his expedition, and of the events which had detained him, was a singular one indeed.	true	474.17	482.05	21.11552
7809_108638_000007_000000	"You will remember," said he, "that it was about nine in the morning when I left Charlottesville.	"You will remember," said he, "that it was about nine in the morning when I left Charlottesville.	false	482.63	488.95	20.337341
7809_108638_000007_000001	I bent my steps immediately to the mountains, and, about ten, entered a gorge which was entirely new to me.	I bent my steps immediately to the mountains, and, about ten, entered a gorge which was entirely new to me.	true	489.44	495.7	21.741892
7809_108638_000007_000002	I followed the windings of this pass with much interest.	I followed the windings of this pass with much interest.	false	496.19	499.42	18.529112
7809_108638_000007_000003	The scenery which presented itself on all sides, although scarcely entitled to be called grand, had about it an indescribable and to me a delicious aspect of dreary desolation.	The scenery which presented itself on all sides, although scarcely entitled to be called grand, had about it an indescribable and to me a delicious aspect of dreary desolation.	true	499.88	514.15	21.406448
7809_108638_000007_000004	The solitude seemed absolutely virgin.	The solitude seemed absolutely virgin.	true	514.85	517.63	20.943491
7809_108638_000007_000005	I could not help believing that the green sods and the gray rocks upon which I trod had been trodden never before by the foot of a human being.	I could not help believing that the green sods and the gray rocks upon which I trod had been trodden never before by the foot of a human being.	false	518.24	526.84	20
7809_108638_000007_000006	So entirely secluded, and in fact inaccessible, except through a series of accidents, is the entrance of the ravine, that it is by no means impossible that I was indeed the first adventurer--the very first and sole adventurer who had ever penetrated its recesses.	So entirely secluded, and in fact inaccessible, except through a series of accidents, is the entrance of the ravine, that it is by no means impossible that I was indeed the first adventurer-the very first and sole adventurer who had ever penetrated its recesses.	true	527.48	547.42	19.902592
7809_108638_000008_000000	"The thick and peculiar mist, or smoke, which distinguishes the Indian Summer, and which now hung heavily over all objects, served, no doubt, to deepen the vague impressions which these objects created.	"The thick and peculiar mist, or smoke, which distinguishes the Indian Summer, and which now hung heavily over all objects, served, no doubt, to deepen the vague impressions which these objects created.	true	550.07	564.55	21.041103
7809_108638_000008_000001	So dense was this pleasant fog that I could at no time see more than a dozen yards of the path before me.	So dense was this pleasant fog that I could at no time see more than a dozen yards of the path before me.	true	565.01	571.81	22.157078
7809_108638_000008_000002	This path was excessively sinuous, and as the sun could not be seen, I soon lost all idea of the direction in which I journeyed.	This path was excessively sinuous, and as the sun could not be seen, I soon lost all idea of the direction in which I journeyed.	true	572.57	581.49	21.331802
7809_108638_000008_000003	In the meantime the morphine had its customary effect--that of enduing all the external world with an intensity of interest.	In the meantime the morphine had its customary effect-that of enduing all the external world with an intensity of interest.	false	581.49	591.46	19.00039
7809_108638_000008_000004	In the quivering of a leaf--in the hue of a blade of grass--in the shape of a trefoil--in the humming of a bee--in the gleaming of a dew-drop--in the breathing of the wind--in the faint odors that came from the forest--there came a whole universe of suggestion--a gay and motley train of rhapsodical and immethodical thought.	In the quivering of a leaf-in the hue of a blade of grass-in the shape of a trefoil-in the humming of a bee-in the gleaming of a dew drop-in the breathing of the wind-in the faint odors that came from the forest-there came a whole universe of suggestion-a gay and motley train of rhapsodical and immethodical thought.	false	592.07	618.58	20.481985
7809_108638_000009_000000	"Busied in this, I walked on for several hours, during which the mist deepened around me to so great an extent that at length I was reduced to an absolute groping of the way.	"Busied in this, I walked on for several hours, during which the mist deepened around me to so great an extent that at length I was reduced to an absolute groping of the way.	false	619.43	631.45	21.351776
7809_108638_000009_000001	And now an indescribable uneasiness possessed me--a species of nervous hesitation and tremor.	And now an indescribable uneasiness possessed me-a species of nervous hesitation and tremor.	true	632	638.92	21.7506
7809_108638_000009_000002	I feared to tread, lest I should be precipitated into some abyss.	I feared to tread, lest I should be precipitated into some abyss.	false	639.62	644.58	19.289762
7809_108638_000009_000003	I remembered, too, strange stories told about these Ragged Hills, and of the uncouth and fierce races of men who tenanted their groves and caverns.	I remembered, too, strange stories told about these Ragged Hills, and of the uncouth and fierce races of men who tenanted their groves and caverns.	true	644.58	654.88	21.619116
7809_108638_000009_000004	A thousand vague fancies oppressed and disconcerted me--fancies the more distressing because vague.	A thousand vague fancies oppressed and disconcerted me-fancies the more distressing because vague.	false	655.37	664	21.042027
7809_108638_000009_000005	Very suddenly my attention was arrested by the loud beating of a drum.	Very suddenly my attention was arrested by the loud beating of a drum.	false	664.16	668.35	21.774961
7809_108638_000010_000000	"My amazement was, of course, extreme.	"My amazement was, of course, extreme.	true	669.14	672.31	20.974613
7809_108638_000010_000001	A drum in these hills was a thing unknown.	A drum in these hills was a thing unknown.	true	672.53	675.4	22.181126
7809_108638_000010_000002	I could not have been more surprised at the sound of the trump of the Archangel.	I could not have been more surprised at the sound of the trump of the Archangel.	true	676.01	680.32	21.940022
7809_108638_000010_000003	But a new and still more astounding source of interest and perplexity arose.	But a new and still more astounding source of interest and perplexity arose.	true	681.17	686.8	18.107832
7809_108638_000010_000004	There came a wild rattling or jingling sound, as if of a bunch of large keys, and upon the instant a dusky-visaged and half-naked man rushed past me with a shriek.	There came a wild rattling or jingling sound, as if of a bunch of large keys, and upon the instant a dusky visaged and half naked man rushed past me with a shriek.	false	687.62	700.57	22.16453
7809_108638_000010_000005	He came so close to my person that I felt his hot breath upon my face.	He came so close to my person that I felt his hot breath upon my face.	true	700.97	705.37	23
7809_108638_000010_000006	He bore in one hand an instrument composed of an assemblage of steel rings, and shook them vigorously as he ran.	He bore in one hand an instrument composed of an assemblage of steel rings, and shook them vigorously as he ran.	false	706.1	712.63	19.40867
7809_108638_000010_000007	Scarcely had he disappeared in the mist before, panting after him, with open mouth and glaring eyes, there darted a huge beast.	Scarcely had he disappeared in the mist before, panting after him, with open mouth and glaring eyes, there darted a huge beast.	true	713.3	722.56	21.349167
7809_108638_000010_000008	I could not be mistaken in its character.	I could not be mistaken in its character.	true	722.96	726.25	23.935078
7809_108638_000010_000009	It was a hyena.	It was a hyena.	true	726.77	728.26	27.6206
7809_108638_000011_000000	"The sight of this monster rather relieved than heightened my terrors--for I now made sure that I dreamed, and endeavored to arouse myself to waking consciousness.	"The sight of this monster rather relieved than heightened my terrors-for I now made sure that I dreamed, and endeavored to arouse myself to waking consciousness.	true	729.65	740.5	21.183222
7809_108638_000011_000001	I stepped boldly and briskly forward. I rubbed my eyes.	I stepped boldly and briskly forward. I rubbed my eyes.	true	740.9	744.72	20.449797
7809_108638_000011_000002	I called aloud.	I called aloud.	true	744.72	745.83	29
7809_108638_000011_000003	I pinched my limbs.	I pinched my limbs.	false	745.83	747.22	22.241468
7809_108638_000011_000004	A small spring of water presented itself to my view, and here, stooping, I bathed my hands and my head and neck.	A small spring of water presented itself to my view, and here, stooping, I bathed my hands and my head and neck.	false	747.62	755.38	22.805593
7809_108638_000011_000005	This seemed to dissipate the equivocal sensations which had hitherto annoyed me.	This seemed to dissipate the equivocal sensations which had hitherto annoyed me.	true	756.02	761.11	23.037466
7809_108638_000011_000006	I arose, as I thought, a new man, and proceeded steadily and complacently on my unknown way.	I arose, as I thought, a new man, and proceeded steadily and complacently on my unknown way.	false	761.54	769.21	19.281069
7809_108638_000012_000000	"At length, quite overcome by exertion, and by a certain oppressive closeness of the atmosphere, I seated myself beneath a tree.	"At length, quite overcome by exertion, and by a certain oppressive closeness of the atmosphere, I seated myself beneath a tree.	false	770.3	779.47	22.23082
7809_108638_000012_000001	Presently there came a feeble gleam of sunshine, and the shadow of the leaves of the tree fell faintly but definitely upon the grass.	Presently there came a feeble gleam of sunshine, and the shadow of the leaves of the tree fell faintly but definitely upon the grass.	false	780.02	789.67	21.141834
7809_108638_000012_000002	At this shadow I gazed wonderingly for many minutes.	At this shadow I gazed wonderingly for many minutes.	true	790.22	793.24	21
7809_108638_000012_000003	Its character stupefied me with astonishment.	Its character stupefied me with astonishment.	true	793.79	796.54	26.563967
7809_108638_000012_000004	I looked upward.	I looked upward.	true	796.85	798.22	26.110897
7809_108638_000012_000005	The tree was a palm.	The tree was a palm.	true	798.56	800.38	20.637571
7809_108638_000013_000000	"I now arose hurriedly, and in a state of fearful agitation--for the fancy that I dreamed would serve me no longer.	"I now arose hurriedly, and in a state of fearful agitation-for the fancy that I dreamed would serve me no longer.	true	800.72	807.94	19.924631
7809_108638_000013_000001	I saw--I felt that I had perfect command of my senses--and these senses now brought to my soul a world of novel and singular sensation.	I saw-I felt that I had perfect command of my senses-and these senses now brought to my soul a world of novel and singular sensation.	true	808.25	819.4	19.1638
7809_108638_000013_000002	The heat became all at once intolerable.	The heat became all at once intolerable.	true	820.07	823.06	23.424517
7809_108638_000013_000003	A strange odor loaded the breeze.	A strange odor loaded the breeze.	true	823.46	826.06	23.916368
7809_108638_000013_000004	A low, continuous murmur, like that arising from a full, but gently flowing river, came to my ears, intermingled with the peculiar hum of multitudinous human voices.	A low, continuous murmur, like that arising from a full, but gently flowing river, came to my ears, intermingled with the peculiar hum of multitudinous human voices.	true	826.97	838.54	22.053219
7809_108638_000014_000000	"While I listened in an extremity of astonishment which I need not attempt to describe, a strong and brief gust of wind bore off the incumbent fog as if by the wand of an enchanter.	"While I listened in an extremity of astonishment which I need not attempt to describe, a strong and brief gust of wind bore off the incumbent fog as if by the wand of an enchanter.	false	839.63	852.85	23.109955
7809_108638_000015_000000	"I found myself at the foot of a high mountain, and looking down into a vast plain, through which wound a majestic river.	"I found myself at the foot of a high mountain, and looking down into a vast plain, through which wound a majestic river.	false	854.03	862.99	23.127132
7809_108638_000015_000001	On the margin of this river stood an Eastern-looking city, such as we read of in the Arabian Tales, but of a character even more singular than any there described. From my position, which was far above the level of the town, I could perceive its every nook and corner, as if delineated on a map.	On the margin of this river stood an Eastern looking city, such as we read of in the Arabian Tales, but of a character even more singular than any there described. From my position, which was far above the level of the town, I could perceive its every nook and corner, as if delineated on a map.	true	863.9	884.83	19.849508
7809_108638_000015_000002	The streets seemed innumerable, and crossed each other irregularly in all directions, but were rather long winding alleys than streets, and absolutely swarmed with inhabitants.	The streets seemed innumerable, and crossed each other irregularly in all directions, but were rather long winding alleys than streets, and absolutely swarmed with inhabitants.	true	885.29	896.86	20.008593
7809_108638_000015_000003	The houses were wildly picturesque. On every hand was a wilderness of balconies, of verandas, of minarets, of shrines, and fantastically carved oriels.	The houses were wildly picturesque. On every hand was a wilderness of balconies, of verandas, of minarets, of shrines, and fantastically carved oriels.	false	897.32	909.6	20.538527
7809_108638_000015_000004	Bazaars abounded; and in these were displayed rich wares in infinite variety and profusion--silks, muslins, the most dazzling cutlery, the most magnificent jewels and gems.	Bazaars abounded; and in these were displayed rich wares in infinite variety and profusion-silks, muslins, the most dazzling cutlery, the most magnificent jewels and gems.	false	909.6	922.12	21.135431
7809_108638_000015_000005	Besides these things, were seen, on all sides, banners and palanquins, litters with stately dames close veiled, elephants gorgeously caparisoned, idols grotesquely hewn, drums, banners, and gongs, spears, silver and gilded maces.	Besides these things, were seen, on all sides, banners and palanquins, litters with stately dames close veiled, elephants gorgeously caparisoned, idols grotesquely hewn, drums, banners, and gongs, spears, silver and gilded maces.	false	922.52	940.33	20.1123
7809_108638_000015_000006	And amid the crowd, and the clamor, and the general intricacy and confusion--amid the million of black and yellow men, turbaned and robed, and of flowing beard, there roamed a countless multitude of holy filleted bulls, while vast legions of the filthy but sacred ape clambered, chattering and shrieking, about the cornices of the mosques, or clung to the minarets and oriels.	And amid the crowd, and the clamor, and the general intricacy and confusion-amid the million of black and yellow men, turbaned and robed, and of flowing beard, there roamed a countless multitude of holy filleted bulls, while vast legions of the filthy but sacred ape clambered, chattering and shrieking, about the cornices of the mosques, or clung to the minarets and oriels.	false	941.24	968.73	19.309763
7809_108638_000015_000007	From the swarming streets to the banks of the river, there descended innumerable flights of steps leading to bathing places, while the river itself seemed to force a passage with difficulty through the vast fleets of deeply--burthened ships that far and wide encountered its surface.	From the swarming streets to the banks of the river, there descended innumerable flights of steps leading to bathing places, while the river itself seemed to force a passage with difficulty through the vast fleets of deeply-burthened ships that far and wide encountered its surface.	true	968.73	987.07	20.647749
7809_108638_000015_000008	Beyond the limits of the city arose, in frequent majestic groups, the palm and the cocoa, with other gigantic and weird trees of vast age, and here and there might be seen a field of rice, the thatched hut of a peasant, a tank, a stray temple, a gypsy camp, or a solitary graceful maiden taking her way, with a pitcher upon her head, to the banks of the magnificent river.	Beyond the limits of the city arose, in frequent majestic groups, the palm and the cocoa, with other gigantic and weird trees of vast age, and here and there might be seen a field of rice, the thatched hut of a peasant, a tank, a stray temple, a gypsy camp, or a solitary graceful maiden taking her way, with a pitcher upon her head, to the banks of the magnificent river.	false	987.71	1018	21.223356
7809_108638_000016_000000	"You will say now, of course, that I dreamed; but not so.	"You will say now, of course, that I dreamed; but not so.	true	1019.36	1023.13	22.79905
7809_108638_000016_000001	What I saw--what I heard--what I felt--what I thought--had about it nothing of the unmistakable idiosyncrasy of the dream.	What I saw-what I heard-what I felt-what I thought-had about it nothing of the unmistakable idiosyncrasy of the dream.	false	1023.71	1035.43	21.61706
7809_108638_000016_000002	All was rigorously self-consistent.	All was rigorously self consistent.	true	1036.22	1039.06	20.378798
7809_108638_000016_000003	At first, doubting that I was really awake, I entered into a series of tests, which soon convinced me that I really was. Now, when one dreams, and, in the dream, suspects that he dreams, the suspicion never fails to confirm itself, and the sleeper is almost immediately aroused.	At first, doubting that I was really awake, I entered into a series of tests, which soon convinced me that I really was. Now, when one dreams, and, in the dream, suspects that he dreams, the suspicion never fails to confirm itself, and the sleeper is almost immediately aroused.	true	1039.85	1059.7	20.140442
7809_108638_000016_000004	Thus Novalis errs not in saying that 'we are near waking when we dream that we dream.' Had the vision occurred to me as I describe it, without my suspecting it as a dream, then a dream it might absolutely have been, but, occurring as it did, and suspected and tested as it was, I am forced to class it among other phenomena."	Thus Novalis errs not in saying that 'we are near waking when we dream that we dream.' Had the vision occurred to me as I describe it, without my suspecting it as a dream, then a dream it might absolutely have been, but, occurring as it did, and suspected and tested as it was, I am forced to class it among other phenomena."	false	1059.83	1087.57	20.028347
7809_108638_000017_000000	"In this I am not sure that you are wrong," observed Dr. Templeton, "but proceed.	"In this I am not sure that you are wrong," observed dr Templeton, "but proceed.	false	1088.93	1096.65	17.812994
7809_108638_000017_000001	You arose and descended into the city."	You arose and descended into the city."	false	1096.65	1100.25	16.23681
7809_108638_000018_000000	"I arose," continued Bedloe, regarding the Doctor with an air of profound astonishment "I arose, as you say, and descended into the city. On my way I fell in with an immense populace, crowding through every avenue, all in the same direction, and exhibiting in every action the wildest excitement.	"I arose," continued Bedloe, regarding the Doctor with an air of profound astonishment "I arose, as you say, and descended into the city. On my way I fell in with an immense populace, crowding through every avenue, all in the same direction, and exhibiting in every action the wildest excitement.	false	1100.25	1126.32	20.385008
7809_108638_000018_000001	Very suddenly, and by some inconceivable impulse, I became intensely imbued with personal interest in what was going on. I seemed to feel that I had an important part to play, without exactly understanding what it was.	Very suddenly, and by some inconceivable impulse, I became intensely imbued with personal interest in what was going on. I seemed to feel that I had an important part to play, without exactly understanding what it was.	false	1126.32	1142.35	19.990505
7809_108638_000018_000002	Against the crowd which environed me, however, I experienced a deep sentiment of animosity.	Against the crowd which environed me, however, I experienced a deep sentiment of animosity.	true	1143.14	1149.46	21.483469
7809_108638_000018_000003	I shrank from amid them, and, swiftly, by a circuitous path, reached and entered the city. Here all was the wildest tumult and contention.	I shrank from amid them, and, swiftly, by a circuitous path, reached and entered the city. Here all was the wildest tumult and contention.	true	1150.19	1161.82	21.658203
7809_108638_000018_000004	A small party of men, clad in garments half-Indian, half-European, and officered by gentlemen in a uniform partly British, were engaged, at great odds, with the swarming rabble of the alleys.	A small party of men, clad in garments half Indian, half European, and officered by gentlemen in a uniform partly British, were engaged, at great odds, with the swarming rabble of the alleys.	false	1162.22	1177.03	20.933653
7809_108638_000018_000005	I joined the weaker party, arming myself with the weapons of a fallen officer, and fighting I knew not whom with the nervous ferocity of despair.	I joined the weaker party, arming myself with the weapons of a fallen officer, and fighting I knew not whom with the nervous ferocity of despair.	true	1177.64	1187.47	21.294065
7809_108638_000018_000006	We were soon overpowered by numbers, and driven to seek refuge in a species of kiosk.	We were soon overpowered by numbers, and driven to seek refuge in a species of kiosk.	false	1188.98	1194.4	21.28528
7809_108638_000018_000007	Here we barricaded ourselves, and, for the present were secure.	Here we barricaded ourselves, and, for the present were secure.	true	1194.74	1199.17	21.406645
7809_108638_000018_000008	From a loop-hole near the summit of the kiosk, I perceived a vast crowd, in furious agitation, surrounding and assaulting a gay palace that overhung the river. Presently, from an upper window of this place, there descended an effeminate-looking person, by means of a string made of the turbans of his attendants.	From a loop hole near the summit of the kiosk, I perceived a vast crowd, in furious agitation, surrounding and assaulting a gay palace that overhung the river. Presently, from an upper window of this place, there descended an effeminate looking person, by means of a string made of the turbans of his attendants.	false	1199.69	1222.72	20.716211
7809_108638_000018_000009	A boat was at hand, in which he escaped to the opposite bank of the river.	A boat was at hand, in which he escaped to the opposite bank of the river.	false	1223.36	1228.15	25.919966
7809_108638_000019_000000	"And now a new object took possession of my soul.	"And now a new object took possession of my soul.	true	1229.75	1233.1	20.239666
7809_108638_000019_000001	I spoke a few hurried but energetic words to my companions, and, having succeeded in gaining over a few of them to my purpose made a frantic sally from the kiosk. We rushed amid the crowd that surrounded it.	I spoke a few hurried but energetic words to my companions, and, having succeeded in gaining over a few of them to my purpose made a frantic sally from the kiosk. We rushed amid the crowd that surrounded it.	false	1233.71	1248.91	20.938633
7809_108638_000019_000002	They retreated, at first, before us.	They retreated, at first, before us.	true	1249.37	1251.52	23.093008
7809_108638_000019_000003	They rallied, fought madly, and retreated again.	They rallied, fought madly, and retreated again.	true	1252.19	1255.8	20.28262
