580_126945_000003_000000	CHAPTER I	CHAPTER one
580_126945_000012_000001	These islanders were Carians and Phoenicians, by whom most of the islands were colonized, as was proved by the following fact.	These islanders were Carians and Phoenicians, by whom most of the islands were colonized, as was proved by the following fact.
580_126945_000012_000004	The coast population now began to apply themselves more closely to the acquisition of wealth, and their life became more settled; some even began to build themselves walls on the strength of their newly acquired riches.	The coast population now began to apply themselves more closely to the acquisition of wealth, and their life became more settled; some even began to build themselves walls on the strength of their newly acquired riches.
580_126945_000012_000005	For the love of gain would reconcile the weaker to the dominion of the stronger, and the possession of capital enabled the more powerful to reduce the smaller towns to subjection.	For the love of gain would reconcile the weaker to the dominion of the stronger, and the possession of capital enabled the more powerful to reduce the smaller towns to subjection.
580_126945_000012_000006	And it was at a somewhat later stage of this development that they went on the expedition against Troy.	And it was at a somewhat later stage of this development that they went on the expedition against Troy.
580_126945_000013_000000	What enabled Agamemnon to raise the armament was more, in my opinion, his superiority in strength, than the oaths of Tyndareus, which bound the suitors to follow him.	What enabled Agamemnon to raise the armament was more, in my opinion, his superiority in strength, than the oaths of Tyndareus, which bound the suitors to follow him.
580_126945_000013_000005	And so the power of the descendants of Pelops came to be greater than that of the descendants of Perseus.	And so the power of the descendants of Pelops came to be greater than that of the descendants of Perseus.
580_126945_000013_000006	To all this Agamemnon succeeded.	To all this Agamemnon succeeded.
580_126945_000013_000009	Besides, in his account of the transmission of the sceptre, he calls him	Besides, in his account of the transmission of the sceptre, he calls him
580_126945_000014_000000	Of many an isle, and of all Argos king.	Of many an isle, and of all Argos king.
580_126945_000015_000000	Now Agamemnon's was a continental power; and he could not have been master of any except the adjacent islands (and these would not be many), but through the possession of a fleet.	Now Agamemnon's was a continental power; and he could not have been master of any except the adjacent islands (and these would not be many), but through the possession of a fleet.
580_126945_000016_000000	And from this expedition we may infer the character of earlier enterprises.	And from this expedition we may infer the character of earlier enterprises.
580_126945_000016_000008	By this, I conceive, he meant to convey the maximum and the minimum complement: at any rate, he does not specify the amount of any others in his catalogue of the ships.	By this, I conceive, he meant to convey the maximum and the minimum complement: at any rate, he does not specify the amount of any others in his catalogue of the ships.
580_126945_000016_000009	That they were all rowers as well as warriors we see from his account of the ships of Philoctetes, in which all the men at the oar are bowmen.	That they were all rowers as well as warriors we see from his account of the ships of Philoctetes, in which all the men at the oar are bowmen.
580_126945_000016_000012	Difficulty of subsistence made the invaders reduce the numbers of the army to a point at which it might live on the country during the prosecution of the war.	Difficulty of subsistence made the invaders reduce the numbers of the army to a point at which it might live on the country during the prosecution of the war.
580_126945_000016_000013	Even after the victory they obtained on their arrival--and a victory there must have been, or the fortifications of the naval camp could never have been built--there is no indication of their whole force having been employed; on the contrary, they seem to have turned to cultivation of the Chersonese and to piracy from want of supplies.	Even after the victory they obtained on their arrival-and a victory there must have been, or the fortifications of the naval camp could never have been built-there is no indication of their whole force having been employed; on the contrary, they seem to have turned to cultivation of the Chersonese and to piracy from want of supplies.
580_126945_000016_000014	This was what really enabled the Trojans to keep the field for ten years against them; the dispersion of the enemy making them always a match for the detachment left behind.	This was what really enabled the Trojans to keep the field for ten years against them; the dispersion of the enemy making them always a match for the detachment left behind.
580_126945_000016_000015	If they had brought plenty of supplies with them, and had persevered in the war without scattering for piracy and agriculture, they would have easily defeated the Trojans in the field, since they could hold their own against them with the division on service.	If they had brought plenty of supplies with them, and had persevered in the war without scattering for piracy and agriculture, they would have easily defeated the Trojans in the field, since they could hold their own against them with the division on service.
580_126945_000016_000016	In short, if they had stuck to the siege, the capture of Troy would have cost them less time and less trouble.	In short, if they had stuck to the siege, the capture of Troy would have cost them less time and less trouble.
580_126945_000017_000001	The late return of the Hellenes from Ilium caused many revolutions, and factions ensued almost everywhere; and it was the citizens thus driven into exile who founded the cities.	The late return of the Hellenes from Ilium caused many revolutions, and factions ensued almost everywhere; and it was the citizens thus driven into exile who founded the cities.
580_126945_000017_000002	Sixty years after the capture of Ilium, the modern Boeotians were driven out of Arne by the Thessalians, and settled in the present Boeotia, the former Cadmeis; though there was a division of them there before, some of whom joined the expedition to Ilium.	Sixty years after the capture of Ilium, the modern Boeotians were driven out of Arne by the Thessalians, and settled in the present Boeotia, the former Cadmeis; though there was a division of them there before, some of whom joined the expedition to Ilium.
580_126945_000017_000004	All these places were founded subsequently to the war with Troy.	All these places were founded subsequently to the war with Troy.
580_126945_000018_000000	But as the power of Hellas grew, and the acquisition of wealth became more an object, the revenues of the states increasing, tyrannies were by their means established almost everywhere--the old form of government being hereditary monarchy with definite prerogatives--and Hellas began to fit out fleets and apply herself more closely to the sea.	But as the power of Hellas grew, and the acquisition of wealth became more an object, the revenues of the states increasing, tyrannies were by their means established almost everywhere-the old form of government being hereditary monarchy with definite prerogatives-and Hellas began to fit out fleets and apply herself more closely to the sea.
580_126945_000018_000006	About this time also the Phocaeans, while they were founding Marseilles, defeated the Carthaginians in a sea-fight.	About this time also the Phocaeans, while they were founding Marseilles, defeated the Carthaginians in a sea fight.
580_126945_000018_000007	These were the most powerful navies.	These were the most powerful navies.
580_126945_000018_000010	For after these there were no navies of any account in Hellas till the expedition of Xerxes; Aegina, Athens, and others may have possessed a few vessels, but they were principally fifty-oars.	For after these there were no navies of any account in Hellas till the expedition of Xerxes; Aegina, Athens, and others may have possessed a few vessels, but they were principally fifty oars.
580_126945_000019_000000	The navies, then, of the Hellenes during the period we have traversed were what I have described.	The navies, then, of the Hellenes during the period we have traversed were what I have described.
580_126945_000019_000001	All their insignificance did not prevent their being an element of the greatest power to those who cultivated them, alike in revenue and in dominion.	All their insignificance did not prevent their being an element of the greatest power to those who cultivated them, alike in revenue and in dominion.
580_126945_000020_000000	Various, too, were the obstacles which the national growth encountered in various localities.	Various, too, were the obstacles which the national growth encountered in various localities.
580_126945_000021_000001	All this is only true of the mother country, for in Sicily they attained to very great power.	All this is only true of the mother country, for in Sicily they attained to very great power.
580_126945_000022_000002	In the face of this great danger, the command of the confederate Hellenes was assumed by the Lacedaemonians in virtue of their superior power; and the Athenians, having made up their minds to abandon their city, broke up their homes, threw themselves into their ships, and became a naval people.	In the face of this great danger, the command of the confederate Hellenes was assumed by the Lacedaemonians in virtue of their superior power; and the Athenians, having made up their minds to abandon their city, broke up their homes, threw themselves into their ships, and became a naval people.
580_126945_000022_000003	This coalition, after repulsing the barbarian, soon afterwards split into two sections, which included the Hellenes who had revolted from the King, as well as those who had aided him in the war.	This coalition, after repulsing the barbarian, soon afterwards split into two sections, which included the Hellenes who had revolted from the King, as well as those who had aided him in the war.
580_126945_000022_000005	For a short time the league held together, till the Lacedaemonians and Athenians quarrelled and made war upon each other with their allies, a duel into which all the Hellenes sooner or later were drawn, though some might at first remain neutral.	For a short time the league held together, till the Lacedaemonians and Athenians quarrelled and made war upon each other with their allies, a duel into which all the Hellenes sooner or later were drawn, though some might at first remain neutral.
580_126945_000022_000006	So that the whole period from the Median war to this, with some peaceful intervals, was spent by each power in war, either with its rival, or with its own revolted allies, and consequently afforded them constant practice in military matters, and that experience which is learnt in the school of danger.	So that the whole period from the Median war to this, with some peaceful intervals, was spent by each power in war, either with its rival, or with its own revolted allies, and consequently afforded them constant practice in military matters, and that experience which is learnt in the school of danger.
580_126945_000023_000000	The policy of Lacedaemon was not to exact tribute from her allies, but merely to secure their subservience to her interests by establishing oligarchies among them; Athens, on the contrary, had by degrees deprived hers of their ships, and imposed instead contributions in money on all except Chios and Lesbos.	The policy of Lacedaemon was not to exact tribute from her allies, but merely to secure their subservience to her interests by establishing oligarchies among them; Athens, on the contrary, had by degrees deprived hers of their ships, and imposed instead contributions in money on all except Chios and Lesbos.
580_126945_000023_000001	Both found their resources for this war separately to exceed the sum of their strength when the alliance flourished intact.	Both found their resources for this war separately to exceed the sum of their strength when the alliance flourished intact.
580_126945_000024_000000	Having now given the result of my inquiries into early times, I grant that there will be a difficulty in believing every particular detail. The way that most men deal with traditions, even traditions of their own country, is to receive them all alike as they are delivered, without applying any critical test whatever.	Having now given the result of my inquiries into early times, I grant that there will be a difficulty in believing every particular detail. The way that most men deal with traditions, even traditions of their own country, is to receive them all alike as they are delivered, without applying any critical test whatever.
580_126945_000025_000000	There are many other unfounded ideas current among the rest of the Hellenes, even on matters of contemporary history, which have not been obscured by time.	There are many other unfounded ideas current among the rest of the Hellenes, even on matters of contemporary history, which have not been obscured by time.
580_126945_000025_000002	So little pains do the vulgar take in the investigation of truth, accepting readily the first story that comes to hand.	So little pains do the vulgar take in the investigation of truth, accepting readily the first story that comes to hand.
580_126945_000025_000004	Assuredly they will not be disturbed either by the lays of a poet displaying the exaggeration of his craft, or by the compositions of the chroniclers that are attractive at truth's expense; the subjects they treat of being out of the reach of evidence, and time having robbed most of them of historical value by enthroning them in the region of legend.	Assuredly they will not be disturbed either by the lays of a poet displaying the exaggeration of his craft, or by the compositions of the chroniclers that are attractive at truth's expense; the subjects they treat of being out of the reach of evidence, and time having robbed most of them of historical value by enthroning them in the region of legend.
580_126945_000026_000001	And with reference to the narrative of events, far from permitting myself to derive it from the first source that came to hand, I did not even trust my own impressions, but it rests partly on what I saw myself, partly on what others saw for me, the accuracy of the report being always tried by the most severe and detailed tests possible.	And with reference to the narrative of events, far from permitting myself to derive it from the first source that came to hand, I did not even trust my own impressions, but it rests partly on what I saw myself, partly on what others saw for me, the accuracy of the report being always tried by the most severe and detailed tests possible.
580_126945_000026_000002	My conclusions have cost me some labour from the want of coincidence between accounts of the same occurrences by different eye-witnesses, arising sometimes from imperfect memory, sometimes from undue partiality for one side or the other.	My conclusions have cost me some labour from the want of coincidence between accounts of the same occurrences by different eye witnesses, arising sometimes from imperfect memory, sometimes from undue partiality for one side or the other.
580_126945_000026_000003	The absence of romance in my history will, I fear, detract somewhat from its interest; but if it be judged useful by those inquirers who desire an exact knowledge of the past as an aid to the interpretation of the future, which in the course of human things must resemble if it does not reflect it, I shall be content.	The absence of romance in my history will, I fear, detract somewhat from its interest; but if it be judged useful by those inquirers who desire an exact knowledge of the past as an aid to the interpretation of the future, which in the course of human things must resemble if it does not reflect it, I shall be content.
580_126945_000026_000004	In fine, I have written my work, not as an essay which is to win the applause of the moment, but as a possession for all time.	In fine, I have written my work, not as an essay which is to win the applause of the moment, but as a possession for all time.
580_126945_000027_000002	Old stories of occurrences handed down by tradition, but scantily confirmed by experience, suddenly ceased to be incredible; there were earthquakes of unparalleled extent and violence; eclipses of the sun occurred with a frequency unrecorded in previous history; there were great droughts in sundry places and consequent famines, and that most calamitous and awfully fatal visitation, the plague.	Old stories of occurrences handed down by tradition, but scantily confirmed by experience, suddenly ceased to be incredible; there were earthquakes of unparalleled extent and violence; eclipses of the sun occurred with a frequency unrecorded in previous history; there were great droughts in sundry places and consequent famines, and that most calamitous and awfully fatal visitation, the plague.
580_126945_000027_000005	The real cause I consider to be the one which was formally most kept out of sight.	The real cause I consider to be the one which was formally most kept out of sight.
