6643_67857_000001_000000	CHAPTER XIV	CHAPTER fourteen
6643_67857_000046_000000	"I am Sylvia Fulton," she said, wondering why her voice sounded so faint.	"I am Sylvia Fulton," she said, wondering why her voice sounded so faint.
6643_67857_000048_000000	"Yes, sir," said Sylvia meekly, wondering whether she would ever dare tell him her errand.	"Yes, sir," said Sylvia meekly, wondering whether she would ever dare tell him her errand.
6643_67857_000048_000001	There was a little silence, and then Mr. Waite took a seat near his little visitor and said:	There was a little silence, and then mr Waite took a seat near his little visitor and said:
6643_67857_000049_000001	'Then to Sylvia let us sing,'" he hummed, beating time with his right hand.	'Then to Sylvia let us sing,'" he hummed, beating time with his right hand.
6643_67857_000050_000000	"Oh, yes, I was named for that song.	"Oh, yes, I was named for that song.
6643_67857_000050_000001	And, if you please, Mr. Waite, would you let me pay you wages for Estralla?"	And, if you please, mr Waite, would you let me pay you wages for Estralla?"
6643_67857_000051_000000	"For Estralla?	"For Estralla?
6643_67857_000051_000001	Now, of course, I ought to know all about Estralla.	Now, of course, I ought to know all about Estralla.
6643_67857_000052_000000	"If you please, sir, she is Aunt Connie's little girl, and she lives with us, and I like her, and I thought--" began Sylvia, but Mr. Waite raised his hand, and she stopped suddenly.	"If you please, sir, she is Aunt Connie's little girl, and she lives with us, and I like her, and I thought-" began Sylvia, but mr Waite raised his hand, and she stopped suddenly.
6643_67857_000053_000000	"I see!	"I see!
6643_67857_000053_000008	I must see that whatever you wish is carried out.	I must see that whatever you wish is carried out.
6643_67857_000053_000010	Yes, indeed!	Yes, indeed!
6643_67857_000053_000011	Yes, indeed!" and Mr. Waite smiled and bowed, and seemed exactly like Santa Claus.	Yes, indeed!" and mr Waite smiled and bowed, and seemed exactly like Santa Claus.
6643_67857_000054_000001	"I like Estralla."	"I like Estralla."
6643_67857_000055_000002	Well!	Well!
6643_67857_000055_000003	And I hope you will come again, Miss Sylvia.	And I hope you will come again, Miss Sylvia.
6643_67857_000055_000004	I am greatly pleased to have made your acquaintance," and the polite gentleman escorted her to the door, where he bade her good-bye with such an elegant bow that Sylvia nearly fell backward in her effort to make as low a curtsey as seemed necessary.	I am greatly pleased to have made your acquaintance," and the polite gentleman escorted her to the door, where he bade her good bye with such an elegant bow that Sylvia nearly fell backward in her effort to make as low a curtsey as seemed necessary.
6643_67857_000056_000000	Estralla had hidden herself behind some shrubbery, and joined Sylvia at the gate.	Estralla had hidden herself behind some shrubbery, and joined Sylvia at the gate.
6643_67857_000057_000000	"Would he hire me out, Missy?" she asked eagerly.	"Would he hire me out, Missy?" she asked eagerly.
6643_67857_000058_000001	I knowed it."	I knowed it."
6643_67857_000059_000000	"Keep still, Estralla!	"Keep still, Estralla!
6643_67857_000059_000001	Mr. Waite says I may have you without paying him.	mr Waite says I may have you without paying him.
6643_67857_000059_000003	Oh, Estralla!	Oh, Estralla!
6643_67857_000061_000000	Sylvia hurried home, eager to tell her mother of her wonderful new friend, and of Flora's departure to the plantation.	Sylvia hurried home, eager to tell her mother of her wonderful new friend, and of Flora's departure to the plantation.
6643_67857_000062_000000	Mrs. Fulton listened in surprise.	mrs Fulton listened in surprise.
6643_67857_000062_000001	But when Sylvia finished her story of Mr. Waite's kindness, declaring that he was just like Santa Claus, she did not reprove her for going on such an errand without permission, but agreed with her little daughter that Mr. Robert Waite was a very kind and generous gentleman.	But when Sylvia finished her story of mr Waite's kindness, declaring that he was just like Santa Claus, she did not reprove her for going on such an errand without permission, but agreed with her little daughter that mr Robert Waite was a very kind and generous gentleman.
6643_67857_000063_000000	Aunt Connie was as delighted as it was possible for a mother to be who knows that her youngest child is safe under the same roof with herself. She tried to thank Sylvia for protecting Estralla, but Sylvia was too happy over her success to listen to her.	Aunt Connie was as delighted as it was possible for a mother to be who knows that her youngest child is safe under the same roof with herself. She tried to thank Sylvia for protecting Estralla, but Sylvia was too happy over her success to listen to her.
6643_67857_000066_000000	"Oh, that's just like Uncle Robert," she declared.	"Oh, that's just like Uncle Robert," she declared.
