7553_101289_000000_000000	(From the Portuguese.)	(From the Portuguese.)	false	7.86	23.7	22.860525
7553_101289_000023_000004	And when the maiden appeared, clad in her white smock, flames of fire curled about her, and the Romans brought some torches, and some straw, and some shavings, and fires were kindled in Rome again.	And when the maiden appeared, clad in her white smock, flames of fire curled about her, and the romans brought some torches, and some straw, and some shavings, and fires were kindled in Rome again.	true	616.97	632.02	20.884123
7553_101289_000024_000000	For three days she stood there, till every hearth in Rome was alight, and then she was suffered to go where she would.	For three days she stood there, till every hearth in Rome was alight, and then she was suffered to go where she would.	true	632.96	641.17	19.930647
7553_101289_000025_000000	But the emperor was wroth at the vengeance of Virgilius, and threw him into prison, vowing that he should be put to death.	But the emperor was wroth at the vengeance of Virgilius, and threw him into prison, vowing that he should be put to death.	true	641.72	649.15	20.71959
7553_101289_000025_000001	And when everything was ready he was led out to the Viminal Hill, where he was to die.	And when everything was ready he was led out to the Viminal Hill, where he was to die.	true	649.46	655.75	21.106665
7553_101289_000026_000000	He went quietly with his guards, but the day was hot, and on reaching his place of execution he begged for some water.	He went quietly with his guards, but the day was hot, and on reaching his place of execution he begged for some water.	true	656.81	664.96	20.13592
7553_101289_000026_000001	A pail was brought, and he, crying 'Emperor, all hail! seek for me in Sicily,' jumped headlong into the pail, and vanished from their sight.	A pail was brought, and he, crying 'Emperor, all hail! seek for me in Sicily,' jumped headlong into the pail, and vanished from their sight.	true	665.27	679.35	21.828001
7553_101289_000027_000000	For some time we hear no more of Virgilius, or how he made his peace with the emperor, but the next event in his history was his being sent for to the palace to give the emperor advice how to guard Rome from foes within as well as foes without.	For some time we hear no more of Virgilius, or how he made his peace with the emperor, but the next event in his history was his being sent for to the palace to give the emperor advice how to guard Rome from foes within as well as foes without.	false	679.35	697.72	21.148735
7553_101289_000027_000001	Virgilius spent many days in deep thought, and at length invented a plan which was known to all as the 'Preservation of Rome.'	Virgilius spent many days in deep thought, and at length invented a plan which was known to all as the 'Preservation of Rome.'	true	698.42	707.98	20.040737
7553_101289_000028_000000	On the roof of the Capitol, which was the most famous public building in the city, he set up statues representing the gods worshipped by every nation subject to Rome, and in the middle stood the god of Rome herself. Each of the conquered gods held in its hand a bell, and if there was even a thought of treason in any of the countries its god turned its back upon the god of Rome and rang its bell furiously, and the senators came hurrying to see who was rebelling against the majesty of the empire.	On the roof of the Capitol, which was the most famous public building in the city, he set up statues representing the gods worshipped by every nation subject to Rome, and in the middle stood the god of Rome herself. Each of the conquered gods held in its hand a bell, and if there was even a thought of treason in any of the countries its god turned its back upon the god of Rome and rang its bell furiously, and the senators came hurrying to see who was rebelling against the majesty of the empire.	true	708.83	744.09	19.98737
7553_101289_000028_000001	Then they made ready their armies, and marched against the foe.	Then they made ready their armies, and marched against the foe.	false	744.09	749.71	21.230883
7553_101289_000029_000000	Now there was a country which had long felt bitter jealousy of Rome, and was anxious for some way of bringing about its destruction.	Now there was a country which had long felt bitter jealousy of Rome, and was anxious for some way of bringing about its destruction.	true	750.71	758.56	15
7553_101289_000029_000001	So the people chose three men who could be trusted, and, loading them with money, sent them to Rome, bidding them to pretend that they were diviners of dreams.	So the people chose three men who could be trusted, and, loading them with money, sent them to Rome, bidding them to pretend that they were diviners of dreams.	true	758.9	768.79	21.345697
7553_101289_000029_000002	No sooner had the messengers reached the city than they stole out at night and buried a pot of gold far down in the earth, and let down another into the bed of the Tiber, just where a bridge spans the river.	No sooner had the messengers reached the city than they stole out at night and buried a pot of gold far down in the earth, and let down another into the bed of the Tiber, just where a bridge spans the river.	true	769.34	783.22	21.292152
7553_101289_000030_000000	Next day they went to the senate house, where the laws were made, and, bowing low, they said, 'Oh, noble lords, last night we dreamed that beneath the foot of a hill there lies buried a pot of gold.	Next day they went to the senate house, where the laws were made, and, bowing low, they said, 'Oh, noble lords, last night we dreamed that beneath the foot of a hill there lies buried a pot of gold.	true	784.25	798.88	20.193422
7553_101289_000030_000001	Have we your leave to dig for it?' And leave having been given, the messengers took workmen and dug up the gold and made merry with it.	Have we your leave to dig for it?' And leave having been given, the messengers took workmen and dug up the gold and made merry with it.	true	799.1	809.26	20.043272
7553_101289_000031_000000	A few days later the diviners again appeared before the senate, and said, 'Oh, noble lords, grant us leave to seek out another treasure, which has been revealed to us in a dream as lying under the bridge over the river.'	A few days later the diviners again appeared before the senate, and said, 'Oh, noble lords, grant us leave to seek out another treasure, which has been revealed to us in a dream as lying under the bridge over the river.'	true	810.32	825.49	20.400763
7553_101289_000032_000000	And the senators gave leave, and the messengers hired boats and men, and let down ropes with hooks, and at length drew up the pot of gold, some of which they gave as presents to the senators.	And the senators gave leave, and the messengers hired boats and men, and let down ropes with hooks, and at length drew up the pot of gold, some of which they gave as presents to the senators.	true	826.43	839.35	20.802412
7553_101289_000033_000000	A week or two passed by, and once more they appeared in the senate house.	A week or two passed by, and once more they appeared in the senate house.	true	840.26	844.54	17
7553_101289_000034_000000	'O, noble lords!' said they, 'last night in a vision we beheld twelve casks of gold lying under the foundation stone of the Capitol, on which stands the statue of the Preservation of Rome.	'O, noble lords!' said they, 'last night in a vision we beheld twelve casks of gold lying under the foundation stone of the Capitol, on which stands the statue of the Preservation of Rome.	false	845.15	859.36	19.331062
7553_101289_000034_000001	Now, seeing that by your goodness we have been greatly enriched by our former dreams, we wish, in gratitude, to bestow this third treasure on you for your own profit; so give us workers, and we will begin to dig without delay.'	Now, seeing that by your goodness we have been greatly enriched by our former dreams, we wish, in gratitude, to bestow this third treasure on you for your own profit; so give us workers, and we will begin to dig without delay.'	true	859.73	875.74	21.260765
7553_101289_000035_000000	And receiving permission they began to dig, and when the messengers had almost undermined the Capitol they stole away as secretly as they had come.	And receiving permission they began to dig, and when the messengers had almost undermined the Capitol they stole away as secretly as they had come.	true	876.86	887.35	21.611504
7553_101289_000036_000000	And next morning the stone gave way, and the sacred statue fell on its face and was broken.	And next morning the stone gave way, and the sacred statue fell on its face and was broken.	true	887.72	894.43	18.911358
7553_101289_000036_000001	And the senators knew that their greed had been their ruin.	And the senators knew that their greed had been their ruin.	true	894.8	898.78	18.377419
7553_101289_000037_000000	From that day things went from bad to worse, and every morning crowds presented themselves before the emperor, complaining of the robberies, murders, and other crimes that were committed nightly in the streets.	From that day things went from bad to worse, and every morning crowds presented themselves before the emperor, complaining of the robberies, murders, and other crimes that were committed nightly in the streets.	true	899.66	911.77	20.458061
7553_101289_000038_000000	The emperor, desiring nothing so much as the safety of his subjects, took counsel with Virgilius how this violence could be put down.	The emperor, desiring nothing so much as the safety of his subjects, took counsel with Virgilius how this violence could be put down.	true	912.26	920.26	20.96783
7553_101289_000039_000000	Virgilius thought hard for a long time, and then he spoke:	Virgilius thought hard for a long time, and then he spoke:	true	920.99	925.12	23.244236
7553_101289_000040_000000	'Great prince,' said he, 'cause a copper horse and rider to be made, and stationed in front of the Capitol.	'Great prince,' said he, 'cause a copper horse and rider to be made, and stationed in front of the Capitol.	true	925.76	933.91	22.110336
7553_101289_000040_000001	Then make a proclamation that at ten o'clock a bell will toll, and every man is to enter his house, and not leave it again.'	Then make a proclamation that at ten o'clock a bell will toll, and every man is to enter his house, and not leave it again.'	true	934.31	941.5	22.329523
7553_101289_000041_000000	The emperor did as Virgilius advised, but thieves and murderers laughed at the horse, and went about their misdeeds as usual.	The emperor did as Virgilius advised, but thieves and murderers laughed at the horse, and went about their misdeeds as usual.	true	942.56	950.5	20.222778
7553_101289_000042_000000	But at the last stroke of the bell the horse set off at full gallop through the streets of Rome, and by daylight men counted over two hundred corpses that it had trodden down.	But at the last stroke of the bell the horse set off at full gallop through the streets of Rome, and by daylight men counted over two hundred corpses that it had trodden down.	true	951.89	966.04	22.484396
7553_101289_000042_000001	The rest of the thieves--and there were still many remaining--instead of being frightened into honesty, as Virgilius had hoped, prepared rope ladders with hooks to them, and when they heard the sound of the horse's hoofs they stuck their ladders into the walls, and climbed up above the reach of the horse and its rider.	The rest of the thieves-and there were still many remaining-instead of being frightened into honesty, as Virgilius had hoped, prepared rope ladders with hooks to them, and when they heard the sound of the horse's hoofs they stuck their ladders into the walls, and climbed up above the reach of the horse and its rider.	false	966.29	986.5	20.316275
7553_101289_000043_000000	Then the emperor commanded two copper dogs to be made that would run after the horse, and when the thieves, hanging from the walls, mocked and jeered at Virgilius and the emperor, the dogs leaped high after them and pulled them to the ground, and bit them to death.	Then the emperor commanded two copper dogs to be made that would run after the horse, and when the thieves, hanging from the walls, mocked and jeered at Virgilius and the emperor, the dogs leaped high after them and pulled them to the ground, and bit them to death.	true	986.81	1003.12	22.01436
7553_101289_000044_000000	Thus did Virgilius restore peace and order to the city.	Thus did Virgilius restore peace and order to the city.	false	1003.61	1008.85	20.517101
7553_101289_000045_000000	Now about this time there came to be noised abroad the fame of the daughter of the sultan who ruled over the province of Babylon, and indeed she was said to be the most beautiful princess in the world.	Now about this time there came to be noised abroad the fame of the daughter of the sultan who ruled over the province of Babylon, and indeed she was said to be the most beautiful princess in the world.	true	1009.01	1023.37	21.39645
7553_101289_000046_000000	Virgilius, like the rest, listened to the stories that were told of her, and fell so violently in love with all he heard that he built a bridge in the air, which stretched all the way between Rome and Babylon. He then passed over it to visit the princess, who, though somewhat surprised to see him, gave him welcome, and after some conversation became in her turn anxious to see the distant country where this stranger lived, and he promised that he would carry her there himself, without wetting the soles of his feet.	Virgilius, like the rest, listened to the stories that were told of her, and fell so violently in love with all he heard that he built a bridge in the air, which stretched all the way between Rome and Babylon. He then passed over it to visit the princess, who, though somewhat surprised to see him, gave him welcome, and after some conversation became in her turn anxious to see the distant country where this stranger lived, and he promised that he would carry her there himself, without wetting the soles of his feet.	true	1023.89	1061.89	20.886387
7553_101289_000047_000000	The princess spent some days in the palace of Virgilius, looking at wonders of which she had never dreamed, though she declined to accept the presents he longed to heap on her.	The princess spent some days in the palace of Virgilius, looking at wonders of which she had never dreamed, though she declined to accept the presents he longed to heap on her.	false	1062.59	1075.21	20.273773
7553_101289_000047_000001	The hours passed as if they were minutes, till the princess said that she could be no longer absent from her father.	The hours passed as if they were minutes, till the princess said that she could be no longer absent from her father.	true	1075.91	1083.97	21.341671
7553_101289_000047_000002	Then Virgilius conducted her himself over the airy bridge, and laid her gently down on her own bed, where she was found next morning by her father.	Then Virgilius conducted her himself over the airy bridge, and laid her gently down on her own bed, where she was found next morning by her father.	true	1084.43	1094.98	18.80662
7553_101289_000048_000000	She told him all that had happened to her, and he pretended to be very much interested, and begged that the next time Virgilius came he might be introduced to him.	She told him all that had happened to her, and he pretended to be very much interested, and begged that the next time Virgilius came he might be introduced to him.	false	1095.5	1106.2	20.863958
7553_101289_000049_000000	Soon after, the sultan received a message from his daughter that the stranger was there, and he commanded that a feast should be made ready, and, sending for the princess delivered into her hands a cup, which he said she was to present to Virgilius herself, in order to do him honour.	Soon after, the sultan received a message from his daughter that the stranger was there, and he commanded that a feast should be made ready, and, sending for the princess delivered into her hands a cup, which he said she was to present to Virgilius herself, in order to do him honour.	true	1106.78	1127.35	19.96808
7553_101289_000050_000000	When they were all seated at the feast the princess rose and presented the cup to Virgilius, who directly he had drunk fell into a deep sleep.	When they were all seated at the feast the princess rose and presented the cup to Virgilius, who directly he had drunk fell into a deep sleep.	true	1127.99	1140.55	21.141987
7553_101289_000051_000000	Then the sultan ordered his guards to bind him, and left him there till the following day.	Then the sultan ordered his guards to bind him, and left him there till the following day.	true	1141.22	1147.75	20.226847
7553_101289_000052_000000	Directly the sultan was up he summoned his lords and nobles into his great hall, and commanded that the cords which bound Virgilius should be taken off, and the prisoner brought before him.	Directly the sultan was up he summoned his lords and nobles into his great hall, and commanded that the cords which bound Virgilius should be taken off, and the prisoner brought before him.	true	1148.24	1160.26	19.783594
7553_101289_000052_000001	The moment he appeared the sultan's passion broke forth, and he accused his captive of the crime of conveying the princess into distant lands without his leave.	The moment he appeared the sultan's passion broke forth, and he accused his captive of the crime of conveying the princess into distant lands without his leave.	true	1160.72	1172.62	22.087929
7553_101289_000053_000000	Virgilius replied that if he had taken her away he had also brought her back, when he might have kept her, and that if they would set him free to return to his own land he would come hither no more.	Virgilius replied that if he had taken her away he had also brought her back, when he might have kept her, and that if they would set him free to return to his own land he would come hither no more.	false	1173.41	1186.21	21.068129
7553_101289_000054_000000	'Not so!' cried the sultan, 'but a shameful death you shall die!' And the princess fell on her knees, and begged she might die with him.	'Not so!' cried the sultan, 'but a shameful death you shall die!' And the princess fell on her knees, and begged she might die with him.	true	1186.64	1196.65	21.551662
7553_101289_000055_000000	'You are out in your reckoning, Sir Sultan!' said Virgilius, whose patience was at an end, and he cast a spell over the sultan and his lords, so that they believed that the great river of Babylon was flowing through the hall, and that they must swim for their lives.	'You are out in your reckoning, Sir Sultan!' said Virgilius, whose patience was at an end, and he cast a spell over the sultan and his lords, so that they believed that the great river of Babylon was flowing through the hall, and that they must swim for their lives.	true	1197.23	1215.28	20.798191
7553_101289_000055_000001	So, leaving them to plunge and leap like frogs and fishes, Virgilius took the princess in his arms, and carried her over the airy bridge back to Rome.	So, leaving them to plunge and leap like frogs and fishes, Virgilius took the princess in his arms, and carried her over the airy bridge back to Rome.	true	1215.68	1227.1	21.373974
7553_101289_000056_000000	Now Virgilius did not think that either his palace, or even Rome itself, was good enough to contain such a pearl as the princess, so he built her a city whose foundations stood upon eggs, buried far away down in the depths of the sea.	Now Virgilius did not think that either his palace, or even Rome itself, was good enough to contain such a pearl as the princess, so he built her a city whose foundations stood upon eggs, buried far away down in the depths of the sea.	false	1227.23	1244.5	21
7553_101289_000056_000001	And in the city was a square tower, and on the roof of the tower was a rod of iron, and across the rod he laid a bottle, and on the bottle he placed an egg, and from the egg there hung chained an apple, which hangs there to this day.	And in the city was a square tower, and on the roof of the tower was a rod of iron, and across the rod he laid a bottle, and on the bottle he placed an egg, and from the egg there hung chained an apple, which hangs there to this day.	false	1244.93	1263.37	20.57597
7553_101289_000056_000002	And when the egg shakes the city quakes, and when the egg shall be broken the city shall be destroyed. And the city Virgilius filled full of wonders, such as never were seen before, and he called its name Naples.	And when the egg shakes the city quakes, and when the egg shall be broken the city shall be destroyed. And the city Virgilius filled full of wonders, such as never were seen before, and he called its name Naples.	false	1263.92	1283.11	20.683262
