7553_101289_000002_000000	Long, long ago there was born to a Roman knight and his wife Maja a little boy called Virgilius.	Long, long ago there was born to a Roman knight and his wife Maja a little boy called Virgilius.
7553_101289_000016_000001	So he entrusted to the messenger four pack-horses laden with precious things, and a white palfrey on which she was to ride out every day.	So he entrusted to the messenger four pack horses laden with precious things, and a white palfrey on which she was to ride out every day.
7553_101289_000016_000002	Then he set about his own preparations, and, followed by a large train of scholars, he at length started for Rome, from which he had been absent twelve years.	Then he set about his own preparations, and, followed by a large train of scholars, he at length started for Rome, from which he had been absent twelve years.
7553_101289_000017_000000	His mother welcomed him back with tears in her eyes, and his poor kinsmen pressed round him, but the rich ones kept away, for they feared that they would no longer be able to rob their kinsman as they had done for many years past.	His mother welcomed him back with tears in her eyes, and his poor kinsmen pressed round him, but the rich ones kept away, for they feared that they would no longer be able to rob their kinsman as they had done for many years past.
7553_101289_000017_000001	Of course, Virgilius paid no attention to this behaviour, though he noticed they looked with envy on the rich presents he bestowed on the poorer relations and on anyone who had been kind to his mother.	Of course, Virgilius paid no attention to this behaviour, though he noticed they looked with envy on the rich presents he bestowed on the poorer relations and on anyone who had been kind to his mother.
7553_101289_000018_000000	Soon after this had happened the season of tax-gathering came round, and everyone who owned land was bound to present himself before the emperor. Like the rest, Virgilius went to court, and demanded justice from the emperor against the men who had robbed him.	Soon after this had happened the season of tax gathering came round, and everyone who owned land was bound to present himself before the emperor. Like the rest, Virgilius went to court, and demanded justice from the emperor against the men who had robbed him.
7553_101289_000018_000001	But as these were kinsmen to the emperor he gained nothing, as the emperor told him he would think over the matter for the next four years, and then give judgment.	But as these were kinsmen to the emperor he gained nothing, as the emperor told him he would think over the matter for the next four years, and then give judgment.
7553_101289_000018_000002	This reply naturally did not satisfy Virgilius, and, turning on his heel, he went back to his own home, and, gathering in his harvest, he stored it up in his various houses.	This reply naturally did not satisfy Virgilius, and, turning on his heel, he went back to his own home, and, gathering in his harvest, he stored it up in his various houses.
7553_101289_000019_000002	Coming forth from the castle so as to meet them face to face, he cast a spell over them of such power that they could not move, and then bade them defiance.	Coming forth from the castle so as to meet them face to face, he cast a spell over them of such power that they could not move, and then bade them defiance.
7553_101289_000019_000003	After which he lifted the spell, and the invading army slunk back to Rome, and reported what Virgilius had said to the emperor.	After which he lifted the spell, and the invading army slunk back to Rome, and reported what Virgilius had said to the emperor.
7553_101289_000020_000000	Now the emperor was accustomed to have his lightest word obeyed, almost before it was uttered, and he hardly knew how to believe his ears.	Now the emperor was accustomed to have his lightest word obeyed, almost before it was uttered, and he hardly knew how to believe his ears.
7553_101289_000021_000000	Things seemed getting desperate, when a magician arrived in the camp and offered to sell his services to the emperor.	Things seemed getting desperate, when a magician arrived in the camp and offered to sell his services to the emperor.
7553_101289_000021_000001	His proposals were gladly accepted, and in a moment the whole of the garrison sank down as if they were dead, and Virgilius himself had much ado to keep awake.	His proposals were gladly accepted, and in a moment the whole of the garrison sank down as if they were dead, and Virgilius himself had much ado to keep awake.
7553_101289_000021_000002	He did not know how to fight the magician, but with a great effort struggled to open his Black Book, which told him what spells to use.	He did not know how to fight the magician, but with a great effort struggled to open his Black Book, which told him what spells to use.
7553_101289_000021_000003	In an instant all his foes seemed turned to stone, and where each man was there he stayed.	In an instant all his foes seemed turned to stone, and where each man was there he stayed.
7553_101289_000021_000004	Some were half way up the ladders, some had one foot over the wall, but wherever they might chance to be there every man remained, even the emperor and his sorcerer.	Some were half way up the ladders, some had one foot over the wall, but wherever they might chance to be there every man remained, even the emperor and his sorcerer.
7553_101289_000021_000005	All day they stayed there like flies upon the wall, but during the night Virgilius stole softly to the emperor, and offered him his freedom, as long as he would do him justice.	All day they stayed there like flies upon the wall, but during the night Virgilius stole softly to the emperor, and offered him his freedom, as long as he would do him justice.
7553_101289_000021_000006	The emperor, who by this time was thoroughly frightened, said he would agree to anything Virgilius desired.	The emperor, who by this time was thoroughly frightened, said he would agree to anything Virgilius desired.
7553_101289_000021_000007	So Virgilius took off his spells, and, after feasting the army and bestowing on every man a gift, bade them return to Rome.	So Virgilius took off his spells, and, after feasting the army and bestowing on every man a gift, bade them return to Rome.
7553_101289_000022_000003	Virgilius was enchanted at this quite unexpected favour, and stepped with glee into the basket.	Virgilius was enchanted at this quite unexpected favour, and stepped with glee into the basket.
7553_101289_000023_000001	The emperor, guessing that this was the work of Virgilius, besought him to break the spell.	The emperor, guessing that this was the work of Virgilius, besought him to break the spell.
7553_101289_000023_000003	And further, he bade every one to snatch fire from the maiden, and to suffer no neighbour to kindle it.	And further, he bade every one to snatch fire from the maiden, and to suffer no neighbour to kindle it.
7553_101289_000023_000004	And when the maiden appeared, clad in her white smock, flames of fire curled about her, and the Romans brought some torches, and some straw, and some shavings, and fires were kindled in Rome again.	And when the maiden appeared, clad in her white smock, flames of fire curled about her, and the romans brought some torches, and some straw, and some shavings, and fires were kindled in Rome again.
7553_101289_000025_000000	But the emperor was wroth at the vengeance of Virgilius, and threw him into prison, vowing that he should be put to death.	But the emperor was wroth at the vengeance of Virgilius, and threw him into prison, vowing that he should be put to death.
7553_101289_000025_000001	And when everything was ready he was led out to the Viminal Hill, where he was to die.	And when everything was ready he was led out to the Viminal Hill, where he was to die.
7553_101289_000026_000000	He went quietly with his guards, but the day was hot, and on reaching his place of execution he begged for some water.	He went quietly with his guards, but the day was hot, and on reaching his place of execution he begged for some water.
7553_101289_000026_000001	A pail was brought, and he, crying 'Emperor, all hail! seek for me in Sicily,' jumped headlong into the pail, and vanished from their sight.	A pail was brought, and he, crying 'Emperor, all hail! seek for me in Sicily,' jumped headlong into the pail, and vanished from their sight.
7553_101289_000027_000001	Virgilius spent many days in deep thought, and at length invented a plan which was known to all as the 'Preservation of Rome.'	Virgilius spent many days in deep thought, and at length invented a plan which was known to all as the 'Preservation of Rome.'
7553_101289_000029_000001	So the people chose three men who could be trusted, and, loading them with money, sent them to Rome, bidding them to pretend that they were diviners of dreams.	So the people chose three men who could be trusted, and, loading them with money, sent them to Rome, bidding them to pretend that they were diviners of dreams.
7553_101289_000029_000002	No sooner had the messengers reached the city than they stole out at night and buried a pot of gold far down in the earth, and let down another into the bed of the Tiber, just where a bridge spans the river.	No sooner had the messengers reached the city than they stole out at night and buried a pot of gold far down in the earth, and let down another into the bed of the Tiber, just where a bridge spans the river.
7553_101289_000030_000000	Next day they went to the senate house, where the laws were made, and, bowing low, they said, 'Oh, noble lords, last night we dreamed that beneath the foot of a hill there lies buried a pot of gold.	Next day they went to the senate house, where the laws were made, and, bowing low, they said, 'Oh, noble lords, last night we dreamed that beneath the foot of a hill there lies buried a pot of gold.
7553_101289_000030_000001	Have we your leave to dig for it?' And leave having been given, the messengers took workmen and dug up the gold and made merry with it.	Have we your leave to dig for it?' And leave having been given, the messengers took workmen and dug up the gold and made merry with it.
7553_101289_000031_000000	A few days later the diviners again appeared before the senate, and said, 'Oh, noble lords, grant us leave to seek out another treasure, which has been revealed to us in a dream as lying under the bridge over the river.'	A few days later the diviners again appeared before the senate, and said, 'Oh, noble lords, grant us leave to seek out another treasure, which has been revealed to us in a dream as lying under the bridge over the river.'
7553_101289_000032_000000	And the senators gave leave, and the messengers hired boats and men, and let down ropes with hooks, and at length drew up the pot of gold, some of which they gave as presents to the senators.	And the senators gave leave, and the messengers hired boats and men, and let down ropes with hooks, and at length drew up the pot of gold, some of which they gave as presents to the senators.
7553_101289_000034_000001	Now, seeing that by your goodness we have been greatly enriched by our former dreams, we wish, in gratitude, to bestow this third treasure on you for your own profit; so give us workers, and we will begin to dig without delay.'	Now, seeing that by your goodness we have been greatly enriched by our former dreams, we wish, in gratitude, to bestow this third treasure on you for your own profit; so give us workers, and we will begin to dig without delay.'
7553_101289_000035_000000	And receiving permission they began to dig, and when the messengers had almost undermined the Capitol they stole away as secretly as they had come.	And receiving permission they began to dig, and when the messengers had almost undermined the Capitol they stole away as secretly as they had come.
7553_101289_000037_000000	From that day things went from bad to worse, and every morning crowds presented themselves before the emperor, complaining of the robberies, murders, and other crimes that were committed nightly in the streets.	From that day things went from bad to worse, and every morning crowds presented themselves before the emperor, complaining of the robberies, murders, and other crimes that were committed nightly in the streets.
7553_101289_000038_000000	The emperor, desiring nothing so much as the safety of his subjects, took counsel with Virgilius how this violence could be put down.	The emperor, desiring nothing so much as the safety of his subjects, took counsel with Virgilius how this violence could be put down.
7553_101289_000039_000000	Virgilius thought hard for a long time, and then he spoke:	Virgilius thought hard for a long time, and then he spoke:
7553_101289_000040_000000	'Great prince,' said he, 'cause a copper horse and rider to be made, and stationed in front of the Capitol.	'Great prince,' said he, 'cause a copper horse and rider to be made, and stationed in front of the Capitol.
7553_101289_000040_000001	Then make a proclamation that at ten o'clock a bell will toll, and every man is to enter his house, and not leave it again.'	Then make a proclamation that at ten o'clock a bell will toll, and every man is to enter his house, and not leave it again.'
7553_101289_000041_000000	The emperor did as Virgilius advised, but thieves and murderers laughed at the horse, and went about their misdeeds as usual.	The emperor did as Virgilius advised, but thieves and murderers laughed at the horse, and went about their misdeeds as usual.
7553_101289_000042_000000	But at the last stroke of the bell the horse set off at full gallop through the streets of Rome, and by daylight men counted over two hundred corpses that it had trodden down.	But at the last stroke of the bell the horse set off at full gallop through the streets of Rome, and by daylight men counted over two hundred corpses that it had trodden down.
7553_101289_000043_000000	Then the emperor commanded two copper dogs to be made that would run after the horse, and when the thieves, hanging from the walls, mocked and jeered at Virgilius and the emperor, the dogs leaped high after them and pulled them to the ground, and bit them to death.	Then the emperor commanded two copper dogs to be made that would run after the horse, and when the thieves, hanging from the walls, mocked and jeered at Virgilius and the emperor, the dogs leaped high after them and pulled them to the ground, and bit them to death.
7553_101289_000045_000000	Now about this time there came to be noised abroad the fame of the daughter of the sultan who ruled over the province of Babylon, and indeed she was said to be the most beautiful princess in the world.	Now about this time there came to be noised abroad the fame of the daughter of the sultan who ruled over the province of Babylon, and indeed she was said to be the most beautiful princess in the world.
7553_101289_000047_000001	The hours passed as if they were minutes, till the princess said that she could be no longer absent from her father.	The hours passed as if they were minutes, till the princess said that she could be no longer absent from her father.
7553_101289_000050_000000	When they were all seated at the feast the princess rose and presented the cup to Virgilius, who directly he had drunk fell into a deep sleep.	When they were all seated at the feast the princess rose and presented the cup to Virgilius, who directly he had drunk fell into a deep sleep.
7553_101289_000051_000000	Then the sultan ordered his guards to bind him, and left him there till the following day.	Then the sultan ordered his guards to bind him, and left him there till the following day.
7553_101289_000052_000001	The moment he appeared the sultan's passion broke forth, and he accused his captive of the crime of conveying the princess into distant lands without his leave.	The moment he appeared the sultan's passion broke forth, and he accused his captive of the crime of conveying the princess into distant lands without his leave.
7553_101289_000054_000000	'Not so!' cried the sultan, 'but a shameful death you shall die!' And the princess fell on her knees, and begged she might die with him.	'Not so!' cried the sultan, 'but a shameful death you shall die!' And the princess fell on her knees, and begged she might die with him.
7553_101289_000055_000000	'You are out in your reckoning, Sir Sultan!' said Virgilius, whose patience was at an end, and he cast a spell over the sultan and his lords, so that they believed that the great river of Babylon was flowing through the hall, and that they must swim for their lives.	'You are out in your reckoning, Sir Sultan!' said Virgilius, whose patience was at an end, and he cast a spell over the sultan and his lords, so that they believed that the great river of Babylon was flowing through the hall, and that they must swim for their lives.
7553_101289_000055_000001	So, leaving them to plunge and leap like frogs and fishes, Virgilius took the princess in his arms, and carried her over the airy bridge back to Rome.	So, leaving them to plunge and leap like frogs and fishes, Virgilius took the princess in his arms, and carried her over the airy bridge back to Rome.
