7335_290365_000000_000000	16.	sixteen.
7335_290365_000003_000002	For should the soul of a prince, carrying with it the consciousness of the prince's past life, enter and inform the body of a cobbler, as soon as deserted by his own soul, every one sees he would be the same PERSON with the prince, accountable only for the prince's actions: but who would say it was the same MAN?	For should the soul of a prince, carrying with it the consciousness of the prince's past life, enter and inform the body of a cobbler, as soon as deserted by his own soul, every one sees he would be the same PERSON with the prince, accountable only for the prince's actions: but who would say it was the same MAN?
7335_290365_000003_000003	The body too goes to the making the man, and would, I guess, to everybody determine the man in this case, wherein the soul, with all its princely thoughts about it, would not make another man: but he would be the same cobbler to every one besides himself.	The body too goes to the making the man, and would, I guess, to everybody determine the man in this case, wherein the soul, with all its princely thoughts about it, would not make another man: but he would be the same cobbler to every one besides himself.
7335_290365_000003_000005	And indeed every one will always have a liberty to speak as he pleases, and to apply what articulate sounds to what ideas he thinks fit, and change them as often as he pleases.	And indeed every one will always have a liberty to speak as he pleases, and to apply what articulate sounds to what ideas he thinks fit, and change them as often as he pleases.
7335_290365_000003_000006	But yet, when we will inquire what makes the same SPIRIT, MAN, or PERSON, we must fix the ideas of spirit, man, or person in our minds; and having resolved with ourselves what we mean by them, it will not be hard to determine, in either of them, or the like, when it is the same, and when not.	But yet, when we will inquire what makes the same SPIRIT, MAN, or PERSON, we must fix the ideas of spirit, man, or person in our minds; and having resolved with ourselves what we mean by them, it will not be hard to determine, in either of them, or the like, when it is the same, and when not.
7335_290365_000004_000000	18.	eighteen.
7335_290365_000004_000001	Consciousness alone unites actions into the same Person.	Consciousness alone unites actions into the same Person.
7335_290365_000006_000000	19.	nineteen.
7335_290365_000006_000001	Self depends on Consciousness, not on Substance.	Self depends on Consciousness, not on Substance.
7335_290365_000007_000000	SELF is that conscious thinking thing,--whatever substance made up of, (whether spiritual or material, simple or compounded, it matters not)--which is sensible or conscious of pleasure and pain, capable of happiness or misery, and so is concerned for itself, as far as that consciousness extends.	SELF is that conscious thinking thing,--whatever substance made up of, (whether spiritual or material, simple or compounded, it matters not)--which is sensible or conscious of pleasure and pain, capable of happiness or misery, and so is concerned for itself, as far as that consciousness extends.
7335_290365_000007_000001	Thus every one finds that, whilst comprehended under that consciousness, the little finger is as much a part of himself as what is most so.	Thus every one finds that, whilst comprehended under that consciousness, the little finger is as much a part of himself as what is most so.
7335_290365_000007_000002	Upon separation of this little finger, should this consciousness go along with the little finger, and leave the rest of the body, it is evident the little finger would be the person, the same person; and self then would have nothing to do with the rest of the body.	Upon separation of this little finger, should this consciousness go along with the little finger, and leave the rest of the body, it is evident the little finger would be the person, the same person; and self then would have nothing to do with the rest of the body.
7335_290365_000007_000003	As in this case it is the consciousness that goes along with the substance, when one part is separate from another, which makes the same person, and constitutes this inseparable self: so it is in reference to substances remote in time.	As in this case it is the consciousness that goes along with the substance, when one part is separate from another, which makes the same person, and constitutes this inseparable self: so it is in reference to substances remote in time.
7335_290365_000007_000004	That with which the consciousness of this present thinking thing CAN join itself, makes the same person, and is one self with it, and with nothing else; and so attributes to itself, and owns all the actions of that thing, as its own, as far as that consciousness reaches, and no further; as every one who reflects will perceive.	That with which the consciousness of this present thinking thing CAN join itself, makes the same person, and is one self with it, and with nothing else; and so attributes to itself, and owns all the actions of that thing, as its own, as far as that consciousness reaches, and no further; as every one who reflects will perceive.
7335_290365_000008_000000	20.	twenty.
7335_290365_000009_000000	In this personal identity is founded all the right and justice of reward and punishment; happiness and misery being that for which every one is concerned for HIMSELF, and not mattering what becomes of any SUBSTANCE, not joined to, or affected with that consciousness.	In this personal identity is founded all the right and justice of reward and punishment; happiness and misery being that for which every one is concerned for HIMSELF, and not mattering what becomes of any SUBSTANCE, not joined to, or affected with that consciousness.
7335_290365_000009_000001	For, as it is evident in the instance I gave but now, if the consciousness went along with the little finger when it was cut off, that would be the same self which was concerned for the whole body yesterday, as making part of itself, whose actions then it cannot but admit as its own now.	For, as it is evident in the instance I gave but now, if the consciousness went along with the little finger when it was cut off, that would be the same self which was concerned for the whole body yesterday, as making part of itself, whose actions then it cannot but admit as its own now.
7335_290365_000009_000002	Though, if the same body should still live, and immediately from the separation of the little finger have its own peculiar consciousness, whereof the little finger knew nothing, it would not at all be concerned for it, as a part of itself, or could own any of its actions, or have any of them imputed to him.	Though, if the same body should still live, and immediately from the separation of the little finger have its own peculiar consciousness, whereof the little finger knew nothing, it would not at all be concerned for it, as a part of itself, or could own any of its actions, or have any of them imputed to him.
7335_290365_000010_000001	Which shows wherein Personal identity consists.	Which shows wherein Personal identity consists.
7335_290365_000011_000000	This may show us wherein personal identity consists: not in the identity of substance, but, as I have said, in the identity of consciousness, wherein if Socrates and the present mayor of Queenborough agree, they are the same person: if the same Socrates waking and sleeping do not partake of the same consciousness, Socrates waking and sleeping is not the same person.	This may show us wherein personal identity consists: not in the identity of substance, but, as I have said, in the identity of consciousness, wherein if Socrates and the present mayor of Queenborough agree, they are the same person: if the same Socrates waking and sleeping do not partake of the same consciousness, Socrates waking and sleeping is not the same person.
7335_290365_000011_000001	And to punish Socrates waking for what sleeping Socrates thought, and waking Socrates was never conscious of, would be no more of right, than to punish one twin for what his brother-twin did, whereof he knew nothing, because their outsides were so like, that they could not be distinguished; for such twins have been seen.	And to punish Socrates waking for what sleeping Socrates thought, and waking Socrates was never conscious of, would be no more of right, than to punish one twin for what his brother twin did, whereof he knew nothing, because their outsides were so like, that they could not be distinguished; for such twins have been seen.
7335_290365_000013_000000	But yet possibly it will still be objected,--Suppose I wholly lose the memory of some parts of my life, beyond a possibility of retrieving them, so that perhaps I shall never be conscious of them again; yet am I not the same person that did those actions, had those thoughts that I once was conscious of, though I have now forgot them?	But yet possibly it will still be objected,--Suppose I wholly lose the memory of some parts of my life, beyond a possibility of retrieving them, so that perhaps I shall never be conscious of them again; yet am I not the same person that did those actions, had those thoughts that I once was conscious of, though I have now forgot them?
7335_290365_000013_000002	And the same man being presumed to be the same person, I is easily here supposed to stand also for the same person.	And the same man being presumed to be the same person, I is easily here supposed to stand also for the same person.
7335_290365_000014_000000	23.	twenty three.
7335_290365_000014_000001	Difference between Identity of Man and of Person.	Difference between Identity of Man and of Person.
7335_290365_000015_000000	But yet it is hard to conceive that Socrates, the same individual man, should be two persons.	But yet it is hard to conceive that Socrates, the same individual man, should be two persons.
7335_290365_000015_000001	To help us a little in this, we must consider what is meant by Socrates, or the same individual MAN.	To help us a little in this, we must consider what is meant by Socrates, or the same individual MAN.
7335_290365_000016_000000	First, it must be either the same individual, immaterial, thinking substance; in short, the same numerical soul, and nothing else.	First, it must be either the same individual, immaterial, thinking substance; in short, the same numerical soul, and nothing else.
7335_290365_000017_000000	Secondly, or the same animal, without any regard to an immaterial soul.	Secondly, or the same animal, without any regard to an immaterial soul.
7335_290365_000018_000000	Thirdly, or the same immaterial spirit united to the same animal.	Thirdly, or the same immaterial spirit united to the same animal.
7335_290365_000019_000000	Now, take which of these suppositions you please, it is impossible to make personal identity to consist in anything but consciousness; or reach any further than that does.	Now, take which of these suppositions you please, it is impossible to make personal identity to consist in anything but consciousness; or reach any further than that does.
7335_290365_000020_000001	A way of speaking which, whoever admits, must allow it possible for the same man to be two distinct persons, as any two that have lived in different ages without the knowledge of one another's thoughts.	A way of speaking which, whoever admits, must allow it possible for the same man to be two distinct persons, as any two that have lived in different ages without the knowledge of one another's thoughts.
7335_290365_000021_000001	But then they who place human identity in consciousness only, and not in something else, must consider how they will make the infant Socrates the same man with Socrates after the resurrection.	But then they who place human identity in consciousness only, and not in something else, must consider how they will make the infant Socrates the same man with Socrates after the resurrection.
7335_290365_000021_000002	But whatsoever to some men makes a man, and consequently the same individual man, wherein perhaps few are agreed, personal identity can by us be placed in nothing but consciousness, (which is that alone which makes what we call SELF,) without involving us in great absurdities.	But whatsoever to some men makes a man, and consequently the same individual man, wherein perhaps few are agreed, personal identity can by us be placed in nothing but consciousness, (which is that alone which makes what we call SELF,) without involving us in great absurdities.
7335_290365_000023_000001	why else is he punished for the fact he commits when drunk, though he be never afterwards conscious of it?	why else is he punished for the fact he commits when drunk, though he be never afterwards conscious of it?
7335_290365_000023_000002	Just as much the same person as a man that walks, and does other things in his sleep, is the same person, and is answerable for any mischief he shall do in it.	Just as much the same person as a man that walks, and does other things in his sleep, is the same person, and is answerable for any mischief he shall do in it.
7335_290365_000024_000000	25.	twenty five.
7335_290365_000025_000000	Nothing but consciousness can unite remote existences into the same person: the identity of substance will not do it; for whatever substance there is, however framed, without consciousness there is no person: and a carcass may be a person, as well as any sort of substance be so, without consciousness.	Nothing but consciousness can unite remote existences into the same person: the identity of substance will not do it; for whatever substance there is, however framed, without consciousness there is no person: and a carcass may be a person, as well as any sort of substance be so, without consciousness.
7335_290365_000026_000001	And whether, in the second case, there would not be one person in two distinct bodies, as much as one man is the same in two distinct clothings?	And whether, in the second case, there would not be one person in two distinct bodies, as much as one man is the same in two distinct clothings?
7335_290365_000026_000003	So that self is not determined by identity or diversity of substance, which it cannot be sure of, but only by identity of consciousness.	So that self is not determined by identity or diversity of substance, which it cannot be sure of, but only by identity of consciousness.
7335_290365_000027_000000	26.	twenty six.
7335_290365_000027_000001	Not the substance with which the consciousness may be united.	Not the substance with which the consciousness may be united.
7335_290365_000028_000001	In like manner it will be in reference to any immaterial substance, which is void of that consciousness whereby I am myself to myself: so that I cannot upon recollection join with that present consciousness whereby I am now myself, it is, in that part of its existence, no more MYSELF than any other immaterial being.	In like manner it will be in reference to any immaterial substance, which is void of that consciousness whereby I am myself to myself: so that I cannot upon recollection join with that present consciousness whereby I am now myself, it is, in that part of its existence, no more MYSELF than any other immaterial being.
7335_290365_000029_000000	27.	twenty seven.
7335_290365_000030_000000	I agree, the more probable opinion is, that this consciousness is annexed to, and the affection of, one individual immaterial substance.	I agree, the more probable opinion is, that this consciousness is annexed to, and the affection of, one individual immaterial substance.
7335_290365_000031_000000	But let men, according to their diverse hypotheses, resolve of that as they please.	But let men, according to their diverse hypotheses, resolve of that as they please.
7335_290365_000031_000003	In all which account of self, the same numerical SUBSTANCE is not considered a making the same self; but the same continued CONSCIOUSNESS, in which several substances may have been united, and again separated from it, which, whilst they continued in a vital union with that wherein this consciousness then resided, made a part of that same self.	In all which account of self, the same numerical SUBSTANCE is not considered a making the same self; but the same continued CONSCIOUSNESS, in which several substances may have been united, and again separated from it, which, whilst they continued in a vital union with that wherein this consciousness then resided, made a part of that same self.
7335_290365_000032_000000	28.	twenty eight.
7335_290365_000032_000001	Person a forensic Term.	Person a forensic Term.
7335_290365_000033_000000	PERSON, as I take it, is the name for this self.	PERSON, as I take it, is the name for this self.
7335_290365_000033_000001	Wherever a man finds what he calls himself, there, I think, another may say is the same person.	Wherever a man finds what he calls himself, there, I think, another may say is the same person.
7335_290365_000033_000002	It is a forensic term, appropriating actions and their merit; and so belongs only to intelligent agents, capable of a law, and happiness, and misery.	It is a forensic term, appropriating actions and their merit; and so belongs only to intelligent agents, capable of a law, and happiness, and misery.
7335_290365_000033_000003	This personality extends itself beyond present existence to what is past, only by consciousness,--whereby it becomes concerned and accountable; owns and imputes to itself past actions, just upon the same ground and for the same reason as it does the present.	This personality extends itself beyond present existence to what is past, only by consciousness,--whereby it becomes concerned and accountable; owns and imputes to itself past actions, just upon the same ground and for the same reason as it does the present.
7335_290365_000033_000004	All which is founded in a concern for happiness, the unavoidable concomitant of consciousness; that which is conscious of pleasure and pain, desiring that that self that is conscious should be happy.	All which is founded in a concern for happiness, the unavoidable concomitant of consciousness; that which is conscious of pleasure and pain, desiring that that self that is conscious should be happy.
7335_290365_000033_000005	And therefore whatever past actions it cannot reconcile or APPROPRIATE to that present self by consciousness, it can be no more concerned in than if they had never been done: and to receive pleasure or pain, i.e. reward or punishment, on the account of any such action, is all one as to be made happy or miserable in its first being, without any demerit at all.	And therefore whatever past actions it cannot reconcile or APPROPRIATE to that present self by consciousness, it can be no more concerned in than if they had never been done: and to receive pleasure or pain, i e reward or punishment, on the account of any such action, is all one as to be made happy or miserable in its first being, without any demerit at all.
7335_290365_000033_000006	For, supposing a MAN punished now for what he had done in another life, whereof he could be made to have no consciousness at all, what difference is there between that punishment and being CREATED miserable?	For, supposing a MAN punished now for what he had done in another life, whereof he could be made to have no consciousness at all, what difference is there between that punishment and being CREATED miserable?
7335_290365_000034_000000	29.	twenty nine.
7335_290365_000034_000001	Suppositions that look strange are pardonable in our ignorance.	Suppositions that look strange are pardonable in our ignorance.
7335_290365_000035_000000	I am apt enough to think I have, in treating of this subject, made some suppositions that will look strange to some readers, and possibly they are so in themselves.	I am apt enough to think I have, in treating of this subject, made some suppositions that will look strange to some readers, and possibly they are so in themselves.
7335_290365_000036_000001	The Difficulty from ill Use of Names.	The Difficulty from ill Use of Names.
7335_290365_000038_000000	31.	thirty one.
7335_290365_000039_000000	For, supposing a rational spirit be the idea of a MAN, it is easy to know what is the same man, viz. the same spirit--whether separate or in a body--will be the SAME MAN.	For, supposing a rational spirit be the idea of a MAN, it is easy to know what is the same man, viz. the same spirit-whether separate or in a body-will be the SAME MAN.
7335_290365_000039_000001	Supposing a rational spirit vitally united to a body of a certain conformation of parts to make a man; whilst that rational spirit, with that vital conformation of parts, though continued in a fleeting successive body, remains, it will be the SAME MAN.	Supposing a rational spirit vitally united to a body of a certain conformation of parts to make a man; whilst that rational spirit, with that vital conformation of parts, though continued in a fleeting successive body, remains, it will be the SAME MAN.
7335_290365_000039_000002	But if to any one the idea of a man be but the vital union of parts in a certain shape; as long as that vital union and shape remain in a concrete, no otherwise the same but by a continued succession of fleeting particles, it will be the SAME MAN.	But if to any one the idea of a man be but the vital union of parts in a certain shape; as long as that vital union and shape remain in a concrete, no otherwise the same but by a continued succession of fleeting particles, it will be the SAME MAN.
7335_290365_000039_000003	For, whatever be the composition whereof the complex idea is made, whenever existence makes it one particular thing under any denomination, THE SAME EXISTENCE CONTINUED preserves it the SAME individual under the same denomination.	For, whatever be the composition whereof the complex idea is made, whenever existence makes it one particular thing under any denomination, THE SAME EXISTENCE CONTINUED preserves it the SAME individual under the same denomination.
