79_121541_000006_000000	Inferno: Canto XVI	Inferno: Canto sixteen
79_121541_000074_000000	Proceeding then the current of my sight, Another of them saw I, red as blood, Display a goose more white than butter is.	Proceeding then the current of my sight, Another of them saw I, red as blood, Display a goose more white than butter is.
79_121541_000075_000000	And one, who with an azure sow and gravid Emblazoned had his little pouch of white, Said unto me: "What dost thou in this moat?	And one, who with an azure sow and gravid Emblazoned had his little pouch of white, Said unto me: "What dost thou in this moat?
79_121541_000078_000000	He who shall bring the satchel with three goats;'" Then twisted he his mouth, and forth he thrust His tongue, like to an ox that licks its nose.	He who shall bring the satchel with three goats;'" Then twisted he his mouth, and forth he thrust His tongue, like to an ox that licks its nose.
79_121541_000079_000000	And fearing lest my longer stay might vex Him who had warned me not to tarry long, Backward I turned me from those weary souls.	And fearing lest my longer stay might vex Him who had warned me not to tarry long, Backward I turned me from those weary souls.
79_121541_000080_000000	I found my Guide, who had already mounted Upon the back of that wild animal, And said to me: "Now be both strong and bold.	I found my Guide, who had already mounted Upon the back of that wild animal, And said to me: "Now be both strong and bold.
79_121541_000081_000000	Now we descend by stairways such as these; Mount thou in front, for I will be midway, So that the tail may have no power to harm thee."	Now we descend by stairways such as these; Mount thou in front, for I will be midway, So that the tail may have no power to harm thee."
79_121541_000082_000000	Such as he is who has so near the ague Of quartan that his nails are blue already, And trembles all, but looking at the shade;	Such as he is who has so near the ague Of quartan that his nails are blue already, And trembles all, but looking at the shade;
79_121541_000083_000000	Even such became I at those proffered words; But shame in me his menaces produced, Which maketh servant strong before good master.	Even such became I at those proffered words; But shame in me his menaces produced, Which maketh servant strong before good master.
79_121541_000085_000000	But he, who other times had rescued me In other peril, soon as I had mounted, Within his arms encircled and sustained me,	But he, who other times had rescued me In other peril, soon as I had mounted, Within his arms encircled and sustained me,
79_121541_000087_000000	Even as the little vessel shoves from shore, Backward, still backward, so he thence withdrew; And when he wholly felt himself afloat,	Even as the little vessel shoves from shore, Backward, still backward, so he thence withdrew; And when he wholly felt himself afloat,
79_121541_000088_000000	There where his breast had been he turned his tail, And that extended like an eel he moved, And with his paws drew to himself the air.	There where his breast had been he turned his tail, And that extended like an eel he moved, And with his paws drew to himself the air.
79_121541_000092_000000	Onward he goeth, swimming slowly, slowly; Wheels and descends, but I perceive it only By wind upon my face and from below.	Onward he goeth, swimming slowly, slowly; Wheels and descends, but I perceive it only By wind upon my face and from below.
79_121541_000093_000000	I heard already on the right the whirlpool Making a horrible crashing under us; Whence I thrust out my head with eyes cast downward.	I heard already on the right the whirlpool Making a horrible crashing under us; Whence I thrust out my head with eyes cast downward.
79_121541_000094_000000	Then was I still more fearful of the abyss; Because I fires beheld, and heard laments, Whereat I, trembling, all the closer cling.	Then was I still more fearful of the abyss; Because I fires beheld, and heard laments, Whereat I, trembling, all the closer cling.
79_121541_000095_000000	I saw then, for before I had not seen it, The turning and descending, by great horrors That were approaching upon divers sides.	I saw then, for before I had not seen it, The turning and descending, by great horrors That were approaching upon divers sides.
79_121541_000096_000000	As falcon who has long been on the wing, Who, without seeing either lure or bird, Maketh the falconer say, "Ah me, thou stoopest,"	As falcon who has long been on the wing, Who, without seeing either lure or bird, Maketh the falconer say, "Ah me, thou stoopest,"
79_121541_000098_000000	Even thus did Geryon place us on the bottom, Close to the bases of the rough-hewn rock, And being disencumbered of our persons,	Even thus did Geryon place us on the bottom, Close to the bases of the rough hewn rock, And being disencumbered of our persons,
79_121541_000100_000000	Inferno: Canto XVIII	Inferno: Canto eighteen
79_121541_000101_000000	There is a place in Hell called Malebolge, Wholly of stone and of an iron colour, As is the circle that around it turns.	There is a place in Hell called Malebolge, Wholly of stone and of an iron colour, As is the circle that around it turns.
79_121541_000102_000000	Right in the middle of the field malign There yawns a well exceeding wide and deep, Of which its place the structure will recount.	Right in the middle of the field malign There yawns a well exceeding wide and deep, Of which its place the structure will recount.
79_121541_000104_000000	As where for the protection of the walls Many and many moats surround the castles, The part in which they are a figure forms,	As where for the protection of the walls Many and many moats surround the castles, The part in which they are a figure forms,
79_121541_000105_000000	Just such an image those presented there; And as about such strongholds from their gates Unto the outer bank are little bridges,	Just such an image those presented there; And as about such strongholds from their gates Unto the outer bank are little bridges,
79_121541_000106_000000	So from the precipice's base did crags Project, which intersected dikes and moats, Unto the well that truncates and collects them.	So from the precipice's base did crags Project, which intersected dikes and moats, Unto the well that truncates and collects them.
79_121541_000107_000000	Within this place, down shaken from the back Of Geryon, we found us; and the Poet Held to the left, and I moved on behind.	Within this place, down shaken from the back Of Geryon, we found us; and the Poet Held to the left, and I moved on behind.
79_121541_000108_000000	Upon my right hand I beheld new anguish, New torments, and new wielders of the lash, Wherewith the foremost Bolgia was replete.	Upon my right hand I beheld new anguish, New torments, and new wielders of the lash, Wherewith the foremost Bolgia was replete.
79_121541_000109_000000	Down at the bottom were the sinners naked; This side the middle came they facing us, Beyond it, with us, but with greater steps;	Down at the bottom were the sinners naked; This side the middle came they facing us, Beyond it, with us, but with greater steps;
79_121541_000110_000000	Even as the Romans, for the mighty host, The year of Jubilee, upon the bridge, Have chosen a mode to pass the people over;	Even as the romans, for the mighty host, The year of Jubilee, upon the bridge, Have chosen a mode to pass the people over;
79_121541_000111_000000	For all upon one side towards the Castle Their faces have, and go unto St. Peter's; On the other side they go towards the Mountain.	For all upon one side towards the Castle Their faces have, and go unto saint Peter's; On the other side they go towards the Mountain.
79_121541_000112_000000	This side and that, along the livid stone Beheld I horned demons with great scourges, Who cruelly were beating them behind.	This side and that, along the livid stone Beheld I horned demons with great scourges, Who cruelly were beating them behind.
79_121541_000114_000000	While I was going on, mine eyes by one Encountered were; and straight I said: "Already With sight of this one I am not unfed."	While I was going on, mine eyes by one Encountered were; and straight I said: "Already With sight of this one I am not unfed."
79_121541_000115_000000	Therefore I stayed my feet to make him out, And with me the sweet Guide came to a stand, And to my going somewhat back assented;	Therefore I stayed my feet to make him out, And with me the sweet Guide came to a stand, And to my going somewhat back assented;
79_121541_000116_000000	And he, the scourged one, thought to hide himself, Lowering his face, but little it availed him; For said I: "Thou that castest down thine eyes,	And he, the scourged one, thought to hide himself, Lowering his face, but little it availed him; For said I: "Thou that castest down thine eyes,
79_121541_000118_000000	And he to me: "Unwillingly I tell it; But forces me thine utterance distinct, Which makes me recollect the ancient world.	And he to me: "Unwillingly I tell it; But forces me thine utterance distinct, Which makes me recollect the ancient world.
79_121541_000119_000000	I was the one who the fair Ghisola Induced to grant the wishes of the Marquis, Howe'er the shameless story may be told.	I was the one who the fair Ghisola Induced to grant the wishes of the Marquis, Howe'er the shameless story may be told.
79_121541_000120_000000	Not the sole Bolognese am I who weeps here; Nay, rather is this place so full of them, That not so many tongues to-day are taught	Not the sole Bolognese am I who weeps here; Nay, rather is this place so full of them, That not so many tongues to day are taught
79_121541_000124_000000	This very easily did we ascend, And turning to the right along its ridge, From those eternal circles we departed.	This very easily did we ascend, And turning to the right along its ridge, From those eternal circles we departed.
79_121541_000129_000000	Still what a royal aspect he retains! That Jason is, who by his heart and cunning The Colchians of the Ram made destitute.	Still what a royal aspect he retains! That Jason is, who by his heart and cunning The Colchians of the Ram made destitute.
79_121541_000130_000000	He by the isle of Lemnos passed along After the daring women pitiless Had unto death devoted all their males.	He by the isle of Lemnos passed along After the daring women pitiless Had unto death devoted all their males.
79_121541_000131_000000	There with his tokens and with ornate words Did he deceive Hypsipyle, the maiden Who first, herself, had all the rest deceived.	There with his tokens and with ornate words Did he deceive Hypsipyle, the maiden Who first, herself, had all the rest deceived.
79_121541_000132_000000	There did he leave her pregnant and forlorn; Such sin unto such punishment condemns him, And also for Medea is vengeance done.	There did he leave her pregnant and forlorn; Such sin unto such punishment condemns him, And also for Medea is vengeance done.
79_121541_000135_000000	Thence we heard people, who are making moan In the next Bolgia, snorting with their muzzles, And with their palms beating upon themselves	Thence we heard people, who are making moan In the next Bolgia, snorting with their muzzles, And with their palms beating upon themselves
79_121541_000136_000000	The margins were incrusted with a mould By exhalation from below, that sticks there, And with the eyes and nostrils wages war.	The margins were incrusted with a mould By exhalation from below, that sticks there, And with the eyes and nostrils wages war.
79_121541_000139_000000	And whilst below there with mine eye I search, I saw one with his head so foul with ordure, It was not clear if he were clerk or layman.	And whilst below there with mine eye I search, I saw one with his head so foul with ordure, It was not clear if he were clerk or layman.
79_121541_000140_000000	He screamed to me: "Wherefore art thou so eager To look at me more than the other foul ones?" And I to him: "Because, if I remember,	He screamed to me: "Wherefore art thou so eager To look at me more than the other foul ones?" And I to him: "Because, if I remember,
79_121541_000142_000000	And he thereon, belabouring his pumpkin: "The flatteries have submerged me here below, Wherewith my tongue was never surfeited."	And he thereon, belabouring his pumpkin: "The flatteries have submerged me here below, Wherewith my tongue was never surfeited."
79_121541_000147_000000	Inferno: Canto XIX	Inferno: Canto nineteen
79_121541_000148_000000	O Simon Magus, O forlorn disciples, Ye who the things of God, which ought to be The brides of holiness, rapaciously	O Simon Magus, O forlorn disciples, Ye who the things of God, which ought to be The brides of holiness, rapaciously
79_121541_000149_000000	For silver and for gold do prostitute, Now it behoves for you the trumpet sound, Because in this third Bolgia ye abide.	For silver and for gold do prostitute, Now it behoves for you the trumpet sound, Because in this third Bolgia ye abide.
79_121541_000150_000000	We had already on the following tomb Ascended to that portion of the crag Which o'er the middle of the moat hangs plumb.	We had already on the following tomb Ascended to that portion of the crag Which o'er the middle of the moat hangs plumb.
79_121541_000151_000000	Wisdom supreme, O how great art thou showest In heaven, in earth, and in the evil world, And with what justice doth thy power distribute!	Wisdom supreme, O how great art thou showest In heaven, in earth, and in the evil world, And with what justice doth thy power distribute!
79_121541_000152_000000	I saw upon the sides and on the bottom The livid stone with perforations filled, All of one size, and every one was round.	I saw upon the sides and on the bottom The livid stone with perforations filled, All of one size, and every one was round.
79_121541_000153_000000	To me less ample seemed they not, nor greater Than those that in my beautiful Saint John Are fashioned for the place of the baptisers,	To me less ample seemed they not, nor greater Than those that in my beautiful Saint john Are fashioned for the place of the baptisers,
79_121541_000154_000000	And one of which, not many years ago, I broke for some one, who was drowning in it; Be this a seal all men to undeceive.	And one of which, not many years ago, I broke for some one, who was drowning in it; Be this a seal all men to undeceive.
79_121541_000155_000000	Out of the mouth of each one there protruded The feet of a transgressor, and the legs Up to the calf, the rest within remained.	Out of the mouth of each one there protruded The feet of a transgressor, and the legs Up to the calf, the rest within remained.
79_121541_000157_000000	Even as the flame of unctuous things is wont To move upon the outer surface only, So likewise was it there from heel to point.	Even as the flame of unctuous things is wont To move upon the outer surface only, So likewise was it there from heel to point.
79_121541_000158_000000	"Master, who is that one who writhes himself, More than his other comrades quivering," I said, "and whom a redder flame is sucking?"	"Master, who is that one who writhes himself, More than his other comrades quivering," I said, "and whom a redder flame is sucking?"
79_121541_000159_000000	And he to me: "If thou wilt have me bear thee Down there along that bank which lowest lies, From him thou'lt know his errors and himself."	And he to me: "If thou wilt have me bear thee Down there along that bank which lowest lies, From him thou'lt know his errors and himself."
79_121541_000162_000000	And the good Master yet from off his haunch Deposed me not, till to the hole he brought me Of him who so lamented with his shanks.	And the good Master yet from off his haunch Deposed me not, till to the hole he brought me Of him who so lamented with his shanks.
79_121541_000163_000000	"Whoe'er thou art, that standest upside down, O doleful soul, implanted like a stake," To say began I, "if thou canst, speak out."	"Whoe'er thou art, that standest upside down, O doleful soul, implanted like a stake," To say began I, "if thou canst, speak out."
79_121541_000164_000000	I stood even as the friar who is confessing The false assassin, who, when he is fixed, Recalls him, so that death may be delayed.	I stood even as the friar who is confessing The false assassin, who, when he is fixed, Recalls him, so that death may be delayed.
79_121541_000167_000000	Such I became, as people are who stand, Not comprehending what is answered them, As if bemocked, and know not how to answer.	Such I became, as people are who stand, Not comprehending what is answered them, As if bemocked, and know not how to answer.
79_121541_000168_000000	Then said Virgilius: "Say to him straightway, 'I am not he, I am not he thou thinkest.'" And I replied as was imposed on me.	Then said Virgilius: "Say to him straightway, 'I am not he, I am not he thou thinkest.'" And I replied as was imposed on me.
79_121541_000169_000000	Whereat the spirit writhed with both his feet, Then, sighing, with a voice of lamentation Said to me: "Then what wantest thou of me?	Whereat the spirit writhed with both his feet, Then, sighing, with a voice of lamentation Said to me: "Then what wantest thou of me?
79_121541_000171_000000	And truly was I son of the She-bear, So eager to advance the cubs, that wealth Above, and here myself, I pocketed.	And truly was I son of the She bear, So eager to advance the cubs, that wealth Above, and here myself, I pocketed.
79_121541_000172_000000	Beneath my head the others are dragged down Who have preceded me in simony, Flattened along the fissure of the rock.	Beneath my head the others are dragged down Who have preceded me in simony, Flattened along the fissure of the rock.
79_121541_000173_000000	Below there I shall likewise fall, whenever That one shall come who I believed thou wast, What time the sudden question I proposed.	Below there I shall likewise fall, whenever That one shall come who I believed thou wast, What time the sudden question I proposed.
79_121541_000174_000000	But longer I my feet already toast, And here have been in this way upside down, Than he will planted stay with reddened feet;	But longer I my feet already toast, And here have been in this way upside down, Than he will planted stay with reddened feet;
79_121541_000176_000000	New Jason will he be, of whom we read In Maccabees; and as his king was pliant, So he who governs France shall be to this one."	New Jason will he be, of whom we read In Maccabees; and as his king was pliant, So he who governs France shall be to this one."
79_121541_000177_000000	I do not know if I were here too bold, That him I answered only in this metre: "I pray thee tell me now how great a treasure	I do not know if I were here too bold, That him I answered only in this metre: "I pray thee tell me now how great a treasure
79_121541_000178_000000	Our Lord demanded of Saint Peter first, Before he put the keys into his keeping? Truly he nothing asked but 'Follow me.'	Our Lord demanded of Saint peter first, Before he put the keys into his keeping? Truly he nothing asked but 'Follow me.'
79_121541_000179_000000	Nor Peter nor the rest asked of Matthias Silver or gold, when he by lot was chosen Unto the place the guilty soul had lost.	Nor peter nor the rest asked of Matthias Silver or gold, when he by lot was chosen Unto the place the guilty soul had lost.
79_121541_000180_000000	Therefore stay here, for thou art justly punished, And keep safe guard o'er the ill-gotten money, Which caused thee to be valiant against Charles.	Therefore stay here, for thou art justly punished, And keep safe guard o'er the ill gotten money, Which caused thee to be valiant against Charles.
79_121541_000182_000000	I would make use of words more grievous still; Because your avarice afflicts the world, Trampling the good and lifting the depraved.	I would make use of words more grievous still; Because your avarice afflicts the world, Trampling the good and lifting the depraved.
79_121541_000183_000000	The Evangelist you Pastors had in mind, When she who sitteth upon many waters To fornicate with kings by him was seen;	The Evangelist you Pastors had in mind, When she who sitteth upon many waters To fornicate with kings by him was seen;
79_121541_000184_000000	The same who with the seven heads was born, And power and strength from the ten horns received, So long as virtue to her spouse was pleasing.	The same who with the seven heads was born, And power and strength from the ten horns received, So long as virtue to her spouse was pleasing.
79_121541_000185_000000	Ye have made yourselves a god of gold and silver; And from the idolater how differ ye, Save that he one, and ye a hundred worship?	Ye have made yourselves a god of gold and silver; And from the idolater how differ ye, Save that he one, and ye a hundred worship?
79_121541_000187_000000	And while I sang to him such notes as these, Either that anger or that conscience stung him, He struggled violently with both his feet.	And while I sang to him such notes as these, Either that anger or that conscience stung him, He struggled violently with both his feet.
79_121541_000189_000000	Therefore with both his arms he took me up, And when he had me all upon his breast, Remounted by the way where he descended.	Therefore with both his arms he took me up, And when he had me all upon his breast, Remounted by the way where he descended.
79_121541_000190_000000	Nor did he tire to have me clasped to him; But bore me to the summit of the arch Which from the fourth dike to the fifth is passage.	Nor did he tire to have me clasped to him; But bore me to the summit of the arch Which from the fourth dike to the fifth is passage.
79_121541_000191_000000	There tenderly he laid his burden down, Tenderly on the crag uneven and steep, That would have been hard passage for the goats:	There tenderly he laid his burden down, Tenderly on the crag uneven and steep, That would have been hard passage for the goats:
79_121541_000194_000000	Of a new pain behoves me to make verses And give material to the twentieth canto Of the first song, which is of the submerged.	Of a new pain behoves me to make verses And give material to the twentieth canto Of the first song, which is of the submerged.
79_121541_000195_000000	I was already thoroughly disposed To peer down into the uncovered depth, Which bathed itself with tears of agony;	I was already thoroughly disposed To peer down into the uncovered depth, Which bathed itself with tears of agony;
79_121541_000196_000000	And people saw I through the circular valley, Silent and weeping, coming at the pace Which in this world the Litanies assume.	And people saw I through the circular valley, Silent and weeping, coming at the pace Which in this world the Litanies assume.
79_121541_000197_000000	As lower down my sight descended on them, Wondrously each one seemed to be distorted From chin to the beginning of the chest;	As lower down my sight descended on them, Wondrously each one seemed to be distorted From chin to the beginning of the chest;
79_121541_000199_000000	Perchance indeed by violence of palsy Some one has been thus wholly turned awry; But I ne'er saw it, nor believe it can be.	Perchance indeed by violence of palsy Some one has been thus wholly turned awry; But I ne'er saw it, nor believe it can be.
79_121541_000200_000000	As God may let thee, Reader, gather fruit From this thy reading, think now for thyself How I could ever keep my face unmoistened,	As God may let thee, Reader, gather fruit From this thy reading, think now for thyself How I could ever keep my face unmoistened,
79_121541_000203_000000	Here pity lives when it is wholly dead; Who is a greater reprobate than he Who feels compassion at the doom divine?	Here pity lives when it is wholly dead; Who is a greater reprobate than he Who feels compassion at the doom divine?
79_121541_000205_000000	Amphiaraus?	Amphiaraus?
79_121541_000205_000001	Why dost leave the war?' And downward ceased he not to fall amain As far as Minos, who lays hold on all.	Why dost leave the war?' And downward ceased he not to fall amain As far as Minos, who lays hold on all.
79_121541_000206_000000	See, he has made a bosom of his shoulders! Because he wished to see too far before him Behind he looks, and backward goes his way:	See, he has made a bosom of his shoulders! Because he wished to see too far before him Behind he looks, and backward goes his way:
79_121541_000207_000000	Behold Tiresias, who his semblance changed, When from a male a female he became, His members being all of them transformed;	Behold Tiresias, who his semblance changed, When from a male a female he became, His members being all of them transformed;
79_121541_000208_000000	And afterwards was forced to strike once more The two entangled serpents with his rod, Ere he could have again his manly plumes.	And afterwards was forced to strike once more The two entangled serpents with his rod, Ere he could have again his manly plumes.
79_121541_000210_000000	Among the marbles white a cavern had For his abode; whence to behold the stars And sea, the view was not cut off from him.	Among the marbles white a cavern had For his abode; whence to behold the stars And sea, the view was not cut off from him.
79_121541_000212_000000	Was Manto, who made quest through many lands, Afterwards tarried there where I was born; Whereof I would thou list to me a little.	Was Manto, who made quest through many lands, Afterwards tarried there where I was born; Whereof I would thou list to me a little.
79_121541_000213_000000	After her father had from life departed, And the city of Bacchus had become enslaved, She a long season wandered through the world.	After her father had from life departed, And the city of Bacchus had become enslaved, She a long season wandered through the world.
79_121541_000214_000000	Above in beauteous Italy lies a lake At the Alp's foot that shuts in Germany Over Tyrol, and has the name Benaco.	Above in beauteous Italy lies a lake At the Alp's foot that shuts in Germany Over Tyrol, and has the name Benaco.
