6189_21305_000000_000000	CHAPTER VI.	CHAPTER six.	false	1.86	20.98	22.298904
6189_21305_000023_000006	He hesitated and stayed.	He hesitated and stayed.	true	347.96	350.1	29.597431
6189_21305_000024_000000	"All well?" said Marcella, in a half whisper, as she passed Louis Craven on her way to get some cake.	"All well?" said Marcella, in a half whisper, as she passed Louis Craven on her way to get some cake.	false	350.1	356.91	24.190468
6189_21305_000025_000000	He nodded and smiled, and she went back to the tea-table with an eye all gaiety, pleased with herself and everybody else.	He nodded and smiled, and she went back to the tea table with an eye all gaiety, pleased with herself and everybody else.	true	356.91	365.53	27.342543
6189_21305_000026_000000	The quarter of an hour that followed went agreeably enough.	The quarter of an hour that followed went agreeably enough.	true	365.93	369.36	21.434984
6189_21305_000026_000001	Wharton sat among the little group, far too clever to patronise a cat, let alone a Venturist, but none the less master and conscious master of the occasion, because it suited him to take the airs of equality.	Wharton sat among the little group, far too clever to patronise a cat, let alone a Venturist, but none the less master and conscious master of the occasion, because it suited him to take the airs of equality.	true	369.36	382.27	23.697142
6189_21305_000026_000002	Craven said little, but as he lounged in Marcella's long cane chair with his arms behind his head, his serene and hazy air showed him contented; and Marcella talked and laughed with the animation that belongs to one whose plots for improving the universe have at least temporarily succeeded. Or did it betray, perhaps, a woman's secret consciousness of some presence beside her, more troubling and magnetic to her than others?	Craven said little, but as he lounged in Marcella's long cane chair with his arms behind his head, his serene and hazy air showed him contented; and Marcella talked and laughed with the animation that belongs to one whose plots for improving the universe have at least temporarily succeeded. Or did it betray, perhaps, a woman's secret consciousness of some presence beside her, more troubling and magnetic to her than others?	true	382.37	412.21	22.83009
6189_21305_000027_000000	"Well then, Friday," said Wharton at last, when his time was more than spent.--"You must be there early, for there will be a crush.	"Well then, Friday," said Wharton at last, when his time was more than spent.--"You must be there early, for there will be a crush.	true	412.7	420.81	23.861137
6189_21305_000027_000001	Miss Craven comes too?	Miss Craven comes too?	true	420.81	422.5	30.40297
6189_21305_000027_000002	Excellent!	Excellent!	true	422.6	423.49	31.454657
6189_21305_000027_000003	I will tell the doorkeeper to look out for you. Good-bye!--good-bye!"	I will tell the doorkeeper to look out for you. Good bye!--good bye!"	true	423.65	427.45	27.240164
6189_21305_000028_000000	And with a hasty shake of the hand to the Cravens, and one more keen glance, first at Marcella and then round the little workman's room in which they had been sitting, he went.	And with a hasty shake of the hand to the Cravens, and one more keen glance, first at Marcella and then round the little workman's room in which they had been sitting, he went.	true	427.82	438.19	22.990717
6189_21305_000029_000000	He had hardly departed before Anthony Craven, the lame elder brother, who must have passed him on the stairs, appeared.	He had hardly departed before Anthony Craven, the lame elder brother, who must have passed him on the stairs, appeared.	true	438.71	446.26	25.569761
6189_21305_000030_000000	"Well--any news?" he said, as Marcella found him a chair.	"Well-any news?" he said, as Marcella found him a chair.	true	446.3	449.95	26
6189_21305_000031_000000	"All right!" said Louis, whose manner had entirely changed since Wharton had left the room.	"All right!" said Louis, whose manner had entirely changed since Wharton had left the room.	true	450.35	456.1	24.256273
6189_21305_000031_000001	"I am to go down on Monday to report the Damesley strike that is to be.	"I am to go down on Monday to report the Damesley strike that is to be.	true	456.11	460.26	25.395899
6189_21305_000031_000002	A month's trial, and then a salary--two hundred a year.	A month's trial, and then a salary-two hundred a year.	true	460.26	464.07	26.042454
6189_21305_000031_000003	Oh! it'll do."	Oh! it'll do."	true	464.07	465.37	28.242163
6189_21305_000032_000000	He fidgeted and looked away from his brother, as though trying to hide his pleasure.	He fidgeted and looked away from his brother, as though trying to hide his pleasure.	true	465.53	470.325	27.604733
6189_21305_000032_000001	But in spite of him it transformed every line of the pinched and worn face.	But in spite of him it transformed every line of the pinched and worn face.	true	470.325	475.48	21
6189_21305_000033_000000	"And you and Anna will walk to the Registry Office next week?" said Anthony, sourly, as he took his tea.	"And you and Anna will walk to the Registry Office next week?" said Anthony, sourly, as he took his tea.	true	475.85	482.23	21
6189_21305_000034_000000	"It can't be next week," said Edith Craven's quiet voice, interposing. "Anna's got to work out her shirt-making time.	"It can't be next week," said Edith Craven's quiet voice, interposing. "Anna's got to work out her shirt making time.	true	482.45	490.05	26.10162
6189_21305_000034_000001	She only left the tailoresses and began this new business ten days ago.	She only left the tailoresses and began this new business ten days ago.	true	490.05	494.22	19
6189_21305_000034_000002	And she was to have a month at each."	And she was to have a month at each."	true	494.22	496.51	25.028542
6189_21305_000035_000000	Marcella's lifted eyebrows asked for explanations.	Marcella's lifted eyebrows asked for explanations.	true	496.85	500.175	22.063051
6189_21305_000035_000001	She had not yet seen Louis's betrothed, but she was understood to be a character, and a better authority on many Labour questions than he.	She had not yet seen Louis's betrothed, but she was understood to be a character, and a better authority on many Labour questions than he.	true	500.175	508.75	19
6189_21305_000036_000000	Louis explained that Anna was exploring various sweated trades for the benefit of an East End newspaper.	Louis explained that Anna was exploring various sweated trades for the benefit of an East End newspaper.	true	508.76	515.325	22.921497
6189_21305_000036_000001	She had earned fourteen shillings her last week at tailoring, but the feat had exhausted her so much that he had been obliged to insist on two or three days respite before moving on to shirts.	She had earned fourteen shillings her last week at tailoring, but the feat had exhausted her so much that he had been obliged to insist on two or three days respite before moving on to shirts.	true	515.325	526.66	21
6189_21305_000036_000002	Shirts were now brisk, and the hours appallingly long in this heat.	Shirts were now brisk, and the hours appallingly long in this heat.	true	526.82	531.19	20.338675
6189_21305_000037_000000	"It was on shirts they made acquaintance," said Edith pensively.	"It was on shirts they made acquaintance," said Edith pensively.	true	531.29	535.74	25.059383
6189_21305_000037_000001	"Louis was lodging on the second floor, she in the third floor back, and they used to pass on the stairs.	"Louis was lodging on the second floor, she in the third floor back, and they used to pass on the stairs.	true	535.74	541.66	23.969122
6189_21305_000037_000002	One day she heard him imploring the little slavey to put some buttons on his shirts.	One day she heard him imploring the little slavey to put some buttons on his shirts.	true	541.76	547.06	22
6189_21305_000037_000003	The slavey tossed her head, and said she'd see about it.	The slavey tossed her head, and said she'd see about it.	true	547.13	550.215	19.431074
6189_21305_000037_000004	When he'd gone out, Anna came downstairs, calmly demanded his shirts, and, having the slavey under her thumb, got them, walked off with them, and mended them all.	When he'd gone out, Anna came downstairs, calmly demanded his shirts, and, having the slavey under her thumb, got them, walked off with them, and mended them all.	true	550.215	560.865	24.944263
6189_21305_000037_000005	When Louis came home he discovered a neat heap reposing on his table.	When Louis came home he discovered a neat heap reposing on his table.	true	560.865	565.53	22.407814
6189_21305_000037_000006	Of course he wept--whatever he may say.	Of course he wept-whatever he may say.	true	565.53	568.56	20.753866
6189_21305_000037_000007	But next morning Miss Anna found her shoes outside her door, blacked as they had never been blacked before, with a note inside one of them.	But next morning Miss Anna found her shoes outside her door, blacked as they had never been blacked before, with a note inside one of them.	true	568.56	577.75	21
6189_21305_000037_000008	Affecting! wasn't it?	Affecting! wasn't it?	true	577.76	579.46	29.796999
6189_21305_000037_000009	Thenceforward, as long as they remained in those lodgings, Anna mended and Louis blacked. Naturally, Anthony and I drew our conclusions."	Thenceforward, as long as they remained in those lodgings, Anna mended and Louis blacked. Naturally, Anthony and I drew our conclusions."	true	579.53	589.15	23.513084
6189_21305_000038_000000	Marcella laughed.	Marcella laughed.	true	589.34	591.03	21.255262
6189_21305_000039_000000	"You must bring her to see me," she said to Louis.	"You must bring her to see me," she said to Louis.	true	591.03	594.1	20.839087
6189_21305_000040_000000	"I will," said Louis, with some perplexity; "if I can get hold of her. But when she isn't stitching she's writing, or trying to set up Unions. She does the work of six.	"I will," said Louis, with some perplexity; "if I can get hold of her. But when she isn't stitching she's writing, or trying to set up Unions. She does the work of six.	true	594.2	605.08	21.844019
6189_21305_000040_000001	She'll earn nearly as much as I do when we're married.	She'll earn nearly as much as I do when we're married.	true	605.21	607.995	17.22654
6189_21305_000040_000002	Oh! we shall swim!"	Oh! we shall swim!"	true	607.995	610.03	23.097918
6189_21305_000041_000000	Anthony surveyed his radiant aspect--so unlike the gentle or satirical detachment which made his ordinary manner--with a darkening eye, as though annoyed by his effusion.	Anthony surveyed his radiant aspect-so unlike the gentle or satirical detachment which made his ordinary manner-with a darkening eye, as though annoyed by his effusion.	true	610.25	621.43	25.063663
6189_21305_000042_000000	"Two hundred a year?" he said slowly; "about what Mr. Harry Wharton spends on his clothes, I should think.	"Two hundred a year?" he said slowly; "about what mr Harry Wharton spends on his clothes, I should think.	true	621.74	630.06	24.44128
6189_21305_000042_000001	The Labour men tell me he is superb in that line.	The Labour men tell me he is superb in that line.	true	630.06	633.43	22
6189_21305_000042_000002	And for the same sum that he spends on his clothes, he is able to buy _you_, Louis, body and soul, and you seem inclined to be grateful."	And for the same sum that he spends on his clothes, he is able to buy underscore you underscore, Louis, body and soul, and you seem inclined to be grateful."	false	633.59	643	21.125996
6189_21305_000043_000000	"Never mind," said Louis recklessly.	"Never mind," said Louis recklessly.	true	643.22	645.85	23.343695
6189_21305_000043_000001	"He didn't buy some one else--and I _am_ grateful!"	"He didn't buy some one else-and I underscore am underscore grateful!"	false	645.95	649.12	22.42042
6189_21305_000044_000000	"No; by Heaven, you shan't be!" said Anthony, with a fierce change of tone.	"No; by Heaven, you shan't be!" said Anthony, with a fierce change of tone.	true	649.13	654.12	21.959986
6189_21305_000044_000001	"_You_ the dependent of that charlatan!	"underscore You underscore the dependent of that charlatan!	false	654.12	657.195	32.73092
6189_21305_000044_000002	I don't know how I'm to put up with it.	I don't know how I'm to put up with it.	true	657.195	658.96	32.001713
6189_21305_000044_000003	You know very well what I think of him, and of your becoming dependent on him."	You know very well what I think of him, and of your becoming dependent on him."	true	659.09	664.12	23.03097
6189_21305_000045_000000	Marcella gave an angry start.	Marcella gave an angry start.	true	664.43	666.76	25.275288
6189_21305_000045_000001	Louis protested.	Louis protested.	true	666.83	668.32	36.067696
6189_21305_000046_000000	"Nonsense!" said Anthony doggedly; "you'll have to bear it from me, I tell you--unless you muzzle me too with an Anna."	"Nonsense!" said Anthony doggedly; "you'll have to bear it from me, I tell you-unless you muzzle me too with an Anna."	true	668.33	676.78	26.545097
6189_21305_000047_000000	"But I don't see why _I_ should bear it," said Marcella, turning upon him.	"But I don't see why underscore I underscore should bear it," said Marcella, turning upon him.	false	677.03	681.94	26.298868
6189_21305_000047_000001	"I think you know that I owe Mr. Wharton a debt.	"I think you know that I owe mr Wharton a debt.	true	682.01	685.335	29.146158
6189_21305_000047_000002	Please remember it!"	Please remember it!"	true	685.335	686.77	23.005585
6189_21305_000048_000000	Anthony looked at her an instant in silence.	Anthony looked at her an instant in silence.	true	686.99	689.86	22.672054
6189_21305_000048_000001	A question crossed his mind concerning her.	A question crossed his mind concerning her.	true	689.96	692.835	24.66946
6189_21305_000048_000002	Then he made her a little clumsy bow.	Then he made her a little clumsy bow.	false	692.835	695.64	21.257517
6189_21305_000049_000000	"I am dumb," he said.	"I am dumb," he said.	true	695.64	697.3	23.761873
6189_21305_000049_000001	"My manners, you perceive, are what they always were."	"My manners, you perceive, are what they always were."	true	697.37	701.08	20.20055
6189_21305_000050_000000	"What do you mean by such a remark," cried Marcella, fuming.	"What do you mean by such a remark," cried Marcella, fuming.	true	701.27	705.075	22.586046
6189_21305_000050_000001	"How can a man who has reached the position he has in so short a time--in so many different worlds--be disposed of by calling him an ugly name?	"How can a man who has reached the position he has in so short a time-in so many different worlds-be disposed of by calling him an ugly name?	true	705.075	714.42	20
6189_21305_000050_000002	It is more than unjust--it is absurd!	It is more than unjust-it is absurd!	true	714.42	717.21	22.993874
6189_21305_000050_000003	Besides, what can you know of him?"	Besides, what can you know of him?"	true	717.21	720.1	23.050915
6189_21305_000051_000000	"You forget," said Anthony, as he calmly helped himself to more bread and butter, "that it is some three years since Master Harry Wharton joined the Venturists and began to be heard of at all.	"You forget," said Anthony, as he calmly helped himself to more bread and butter, "that it is some three years since Master Harry Wharton joined the Venturists and began to be heard of at all.	true	720.38	731.98	23.029999
6189_21305_000051_000001	I watched his beginnings, and if I didn't know him well, my friends and Louis's did. And most of them--as he knows!--have pretty strong opinions by now about the man."	I watched his beginnings, and if I didn't know him well, my friends and Louis's did. And most of them-as he knows!--have pretty strong opinions by now about the man."	true	732.2	742.54	22.250223
6189_21305_000052_000000	"Come, come, Anthony!" said Louis, "nobody expects a man of that type to be the pure-eyed patriot.	"Come, come, Anthony!" said Louis, "nobody expects a man of that type to be the pure eyed patriot.	true	742.64	748.95	26.873234
6189_21305_000052_000001	But neither you nor I can deny that he has done some good service.	But neither you nor I can deny that he has done some good service.	true	748.95	753.82	18
6189_21305_000052_000002	Am I asked to take him to my bosom?	Am I asked to take him to my bosom?	true	753.89	756.165	22.259562
6189_21305_000052_000003	Not at all! He proposes a job to me, and offers to pay me.	Not at all! He proposes a job to me, and offers to pay me.	true	756.165	760.71	24.478584
6189_21305_000052_000004	I like the job, and mean to use him and his paper, both to earn some money that I want, and do a bit of decent work."	I like the job, and mean to use him and his paper, both to earn some money that I want, and do a bit of decent work."	true	760.71	768.15	24.783075
6189_21305_000053_000000	"_You_--use Harry Wharton!" said the cripple, with a sarcasm that brought the colour to Louis's thin cheek and made Marcella angrier than before.	"underscore You underscore--use Harry Wharton!" said the cripple, with a sarcasm that brought the colour to Louis's thin cheek and made Marcella angrier than before.	false	768.15	777.585	23.94062
6189_21305_000053_000001	She saw nothing in his attack on Wharton, except personal prejudice and ill-will.	She saw nothing in his attack on Wharton, except personal prejudice and ill will.	true	777.585	782.94	26
6189_21305_000053_000002	It was natural enough, that a man of Anthony Craven's type--poor, unsuccessful, and embittered--should dislike a popular victorious personality.	It was natural enough, that a man of Anthony Craven's type-poor, unsuccessful, and embittered-should dislike a popular victorious personality.	false	782.94	792.91	24.562073
6189_21305_000054_000000	"Suppose we leave Mr. Wharton alone?" she said with emphasis, and Anthony, making her a little proud gesture of submission, threw himself back in his chair, and was silent.	"Suppose we leave mr Wharton alone?" she said with emphasis, and Anthony, making her a little proud gesture of submission, threw himself back in his chair, and was silent.	true	793.13	804.97	22
6189_21305_000055_000000	It had soon become evident to Marcella, upon the renewal of her friendship with the Cravens, that Anthony's temper towards all men, especially towards social reformers and politicians, had developed into a mere impotent bitterness.	It had soon become evident to Marcella, upon the renewal of her friendship with the Cravens, that Anthony's temper towards all men, especially towards social reformers and politicians, had developed into a mere impotent bitterness.	true	805.07	819.27	23
6189_21305_000055_000001	While Louis had renounced his art, and devoted himself to journalism, unpaid public work and starvation, that he might so throw himself the more directly into the Socialist battle, Anthony had remained an artist, mainly employed as before in decorative design.	While Louis had renounced his art, and devoted himself to journalism, unpaid public work and starvation, that he might so throw himself the more directly into the Socialist battle, Anthony had remained an artist, mainly employed as before in decorative design.	true	819.27	835.51	23.513025
6189_21305_000055_000002	Yet he was probably the more fierce Venturist and anticapitalist of the two.	Yet he was probably the more fierce Venturist and anticapitalist of the two.	false	835.64	840.48	24.581152
6189_21305_000055_000003	Only what with Louis was an intoxication of hope, was on the whole with Anthony a counsel of despair.	Only what with Louis was an intoxication of hope, was on the whole with Anthony a counsel of despair.	true	840.48	847.51	23.475664
6189_21305_000055_000004	He loathed wealth more passionately than ever; but he believed less in the working man, less in his kind.	He loathed wealth more passionately than ever; but he believed less in the working man, less in his kind.	true	847.64	854.68	20.707844
6189_21305_000055_000005	Rich men must cease to exist; but the world on any terms would probably remain a sorry spot.	Rich men must cease to exist; but the world on any terms would probably remain a sorry spot.	true	854.72	861.64	24.845665
6189_21305_000056_000000	In the few talks that he had had with Marcella since she left the hospital, she had allowed him to gather more or less clearly--though with hardly a mention of Aldous Raeburn's name--what had happened to her at Mellor.	In the few talks that he had had with Marcella since she left the hospital, she had allowed him to gather more or less clearly-though with hardly a mention of Aldous Raeburn's name-what had happened to her at Mellor.	false	861.95	874.32	23.586706
6189_21305_000056_000001	Anthony Craven thought out the story for himself, finding it a fit food for a caustic temper.	Anthony Craven thought out the story for himself, finding it a fit food for a caustic temper.	true	874.32	880.57	26.097466
6189_21305_000056_000002	Poor devil--the lover!	Poor devil-the lover!	true	880.58	882.75	23.653757
6189_21305_000056_000003	To fall a victim to enthusiasms so raw, so unprofitable from any point of view, was hard. And as to this move to London, he thought he foresaw the certain end of it.	To fall a victim to enthusiasms so raw, so unprofitable from any point of view, was hard. And as to this move to London, he thought he foresaw the certain end of it.	true	882.75	895.66	22.952892
6189_21305_000056_000004	At any rate he believed in her no more than before.	At any rate he believed in her no more than before.	true	896.03	899.41	20.933207
6189_21305_000056_000005	But her beauty was more marked than ever, and would, of course, be the dominant factor in her fate.	But her beauty was more marked than ever, and would, of course, be the dominant factor in her fate.	true	899.51	905.91	22.31036
6189_21305_000056_000006	He was thankful, at any rate, that Louis in this two years' interval had finally transferred his heart elsewhere.	He was thankful, at any rate, that Louis in this two years' interval had finally transferred his heart elsewhere.	true	905.91	913.75	23.273561
6189_21305_000057_000000	After watching his three companions for a while, he broke in upon their chat with an abrupt--	After watching his three companions for a while, he broke in upon their chat with an abrupt-	false	914.36	919.78	29
6189_21305_000058_000000	"What _is_ this job, Louis?"	"What underscore is underscore this job, Louis?"	false	919.94	922.09	24.692286
6189_21305_000059_000000	"I told you.	"I told you.	true	922.34	923.31	23.597643
6189_21305_000059_000001	I am to investigate, report, and back up the Damesley strike, or rather the strike that begins at Damesley next week."	I am to investigate, report, and back up the Damesley strike, or rather the strike that begins at Damesley next week."	true	923.31	930.49	28.377594
6189_21305_000060_000000	"No chance!" said Anthony shortly, "the masters are too strong.	"No chance!" said Anthony shortly, "the masters are too strong.	true	930.62	935.13	26.333025
6189_21305_000060_000001	I had a talk with Denny yesterday."	I had a talk with Denny yesterday."	false	935.13	937.57	28.590458
6189_21305_000061_000000	The Denny he meant, however, was not Wharton's colleague in the House, but his son--a young man who, beginning life as the heir of one of the most stiff-backed and autocratic of capitalists, had developed socialist opinions, renounced his father's allowance, and was now a member of the "intellectual proletariat," as they have been called, the free-lances of the Collectivist movement.	The Denny he meant, however, was not Wharton's colleague in the House, but his son-a young man who, beginning life as the heir of one of the most stiff backed and autocratic of capitalists, had developed socialist opinions, renounced his father's allowance, and was now a member of the "intellectual proletariat," as they have been called, the free lances of the Collectivist movement.	false	937.58	959.35	23.61614
