1825_135580_000000_000000	CHAPTER XVIII.	CHAPTER eighteen.	true	23.1	24.73	23.941107
1825_135580_000013_000002	Oswald had ridden over on a pony; Edward arranged to take Billy and return with him.	Oswald had ridden over on a pony; Edward arranged to take Billy and return with him.	true	168.77	174.49	18
1825_135580_000013_000003	They started early the next morning, and Edward asked Oswald if he knew why the intendant had sent for him.	They started early the next morning, and Edward asked Oswald if he knew why the intendant had sent for him.	true	174.71	181.39	19
1825_135580_000014_000000	"Not exactly," replied Oswald; "but I think, from what I heard Miss Patience say, it is to offer you some situation, if you could be prevailed upon to accept it."	"Not exactly," replied Oswald; "but I think, from what I heard Miss Patience say, it is to offer you some situation, if you could be prevailed upon to accept it."	false	181.94	192.61	21
1825_135580_000015_000000	"Very true," replied Edward; "he offers me the post of secretary.	"Very true," replied Edward; "he offers me the post of secretary.	true	193.01	197.13	20
1825_135580_000015_000001	What do you think?"	What do you think?"	true	197.13	198.4	21.100252
1825_135580_000016_000000	"Why, sir, I think I would accept it; at all events, I would take it on trial--there can be no harm done.	"Why, sir, I think I would accept it; at all events, I would take it on trial-there can be no harm done.	true	198.92	205.57	19
1825_135580_000016_000001	If you do not like it, you can only go back to the cottage again.	If you do not like it, you can only go back to the cottage again.	true	205.94	209.38	20
1825_135580_000016_000002	One thing I am sure of, which is, that Master Heatherstone will make it as pleasant to you as he can, for he is most anxious to serve you."	One thing I am sure of, which is, that Master Heatherstone will make it as pleasant to you as he can, for he is most anxious to serve you."	true	209.69	218.44	16
1825_135580_000017_000000	"That I really believe," replied Edward; "and I have pretty well made up my mind to accept the office.	"That I really believe," replied Edward; "and I have pretty well made up my mind to accept the office.	true	219.14	225.16	20
1825_135580_000017_000001	It is a post of confidence, and I shall know all that is going on, which I can not do while I am secluded in the forest; and, depend upon it, we shall have stirring news."	It is a post of confidence, and I shall know all that is going on, which I can not do while I am secluded in the forest; and, depend upon it, we shall have stirring news."	true	225.59	235.93	17
1825_135580_000018_000000	"I suppose you think that the king will come over," replied Oswald.	"I suppose you think that the king will come over," replied Oswald.	true	236.69	240.37	18
1825_135580_000019_000000	"I feel certain of it, Oswald; and that is the reason why I want to be where I can know all that is going on."	"I feel certain of it, Oswald; and that is the reason why I want to be where I can know all that is going on."	true	241.25	247.87	16
1825_135580_000020_000000	"Well, sir, it is my opinion that the king will come over, as well as yours; yet I think at present he stands but a poor chance; but Master Heatherstone knows more on that score than any one, I should think; but he is very close."	"Well, sir, it is my opinion that the king will come over, as well as yours; yet I think at present he stands but a poor chance; but Master Heatherstone knows more on that score than any one, I should think; but he is very close."	false	248.45	264.31	23
1825_135580_000021_000000	The conversation then changed, and, after a ride of eight hours, they arrived at the intendant's house.	The conversation then changed, and, after a ride of eight hours, they arrived at the intendant's house.	false	264.98	270.99	19.966875
1825_135580_000021_000001	Edward gave Billy into Oswald's charge, and knocked at the door.	Edward gave Billy into Oswald's charge, and knocked at the door.	false	270.99	274.69	22
1825_135580_000021_000002	Phoebe let him in, and asked him into the sitting-room, where he found the intendant alone.	Phoebe let him in, and asked him into the sitting room, where he found the intendant alone.	false	274.94	280.57	20.048359
1825_135580_000022_000000	"Edward Armitage, I am glad to see you, and shall be still more so if I find that you have made up your mind to accept my proposition.	"Edward Armitage, I am glad to see you, and shall be still more so if I find that you have made up your mind to accept my proposition.	true	280.82	289.57	18
1825_135580_000022_000001	What is your reply?"	What is your reply?"	true	289.7	290.98	26
1825_135580_000023_000000	"I am very thankful to you for the offer, sir," replied Edward, "and will accept it if you think that I am fitting for it, and if I find that I am equal to it; I can but give it a trial, and leave if I find it too arduous or too irksome."	"I am very thankful to you for the offer, sir," replied Edward, "and will accept it if you think that I am fitting for it, and if I find that I am equal to it; I can but give it a trial, and leave if I find it too arduous or too irksome."	true	291.32	307.39	20.9782
1825_135580_000024_000000	"Too arduous it shall not be--that shall be my concern; and too irksome I hope you will not find it.	"Too arduous it shall not be-that shall be my concern; and too irksome I hope you will not find it.	true	308.12	315.37	24.241283
1825_135580_000024_000001	My letters are not so many but that I could answer them myself, were it not that my eyes are getting weak, and I wish to save them as much as possible.	My letters are not so many but that I could answer them myself, were it not that my eyes are getting weak, and I wish to save them as much as possible.	false	315.68	324.97	20.794752
1825_135580_000024_000002	You will therefore have to write chiefly what I shall dictate; but it is not only for that I require a person that I can confide in.	You will therefore have to write chiefly what I shall dictate; but it is not only for that I require a person that I can confide in.	true	325.58	334.06	21.750212
1825_135580_000024_000003	I very often shall send you to London instead of going myself, and to that I presume you will have no objection!"	I very often shall send you to London instead of going myself, and to that I presume you will have no objection!"	true	334.37	341.08	16
1825_135580_000025_000000	"Certainly none, sir."	"Certainly none, sir."	true	341.24	342.97	19
1825_135580_000026_000000	"Well, then, it is no use saying any more just now; you will have a chamber in this house, and you will live with me, and at my table altogether.	"Well, then, it is no use saying any more just now; you will have a chamber in this house, and you will live with me, and at my table altogether.	true	343.76	353.44	20
1825_135580_000026_000001	Neither shall I say any thing just now about remuneration, as I am convinced that you will be satisfied.	Neither shall I say any thing just now about remuneration, as I am convinced that you will be satisfied.	true	353.66	361.18	21
1825_135580_000026_000002	All that I require now is, to know the day that you will come, that every thing may be ready."	All that I require now is, to know the day that you will come, that every thing may be ready."	true	361.52	367.96	20.110277
1825_135580_000027_000000	"I suppose, sir, I must change my attire?" replied Edward, looking at his forester's dress; "that will hardly accord with the office of secretary."	"I suppose, sir, I must change my attire?" replied Edward, looking at his forester's dress; "that will hardly accord with the office of secretary."	true	368.48	377.89	21.482851
1825_135580_000028_000000	"I agree with you that it will be better to keep that dress for your forest excursions, as I presume you will not altogether abandon them," replied the intendant.	"I agree with you that it will be better to keep that dress for your forest excursions, as I presume you will not altogether abandon them," replied the intendant.	false	378.92	387.85	17
1825_135580_000028_000001	"You can provide yourself with a suit at Lymington.	"You can provide yourself with a suit at Lymington.	true	388.28	391.45	21
1825_135580_000028_000002	I will furnish you the means."	I will furnish you the means."	true	391.49	393.22	17.972046
1825_135580_000029_000000	"I thank you, sir, I have means, much more than sufficient," replied Edward, "although not quite so wealthy as little Clara appeared to be."	"I thank you, sir, I have means, much more than sufficient," replied Edward, "although not quite so wealthy as little Clara appeared to be."	true	393.65	402.67	21.560953
1825_135580_000030_000000	"Wealthy, indeed!" replied the intendant.	"Wealthy, indeed!" replied the intendant.	true	402.98	405.75	23.884037
1825_135580_000030_000001	"I had no idea that poor Ratcliffe possessed so much ready money and jewels.	"I had no idea that poor Ratcliffe possessed so much ready money and jewels.	true	405.75	411.01	20
1825_135580_000030_000002	Well, then, this is Wednesday; can you come over next Monday?"	Well, then, this is Wednesday; can you come over next Monday?"	true	411.26	415.45	24.56334
1825_135580_000031_000000	"Yes, sir," replied Edward; "I see no reason to the contrary."	"Yes, sir," replied Edward; "I see no reason to the contrary."	true	415.7	419.41	20
1825_135580_000032_000000	"Well, then, that is settled, and I suppose you would like to see your accommodation.	"Well, then, that is settled, and I suppose you would like to see your accommodation.	true	419.81	424.66	19.750227
1825_135580_000032_000001	Patience and Clara are in the next room.	Patience and Clara are in the next room.	true	424.73	427.12	21
1825_135580_000032_000002	You can join them, and you will make my daughter very happy by telling her that you are to become a resident with us.	You can join them, and you will make my daughter very happy by telling her that you are to become a resident with us.	true	427.28	433.69	18
1825_135580_000032_000003	You will, of course, dine with us to-day, and sleep here to-night."	You will, of course, dine with us to day, and sleep here to night."	true	434.09	438.07	24.335798
1825_135580_000033_000000	Mr. Heatherstone then opened the door, and saying to his daughter Patience, "My dear, I leave you to entertain Edward Armitage till dinner time," he ushered Edward in, and closed the door again.	mr Heatherstone then opened the door, and saying to his daughter Patience, "My dear, I leave you to entertain Edward Armitage till dinner time," he ushered Edward in, and closed the door again.	false	438.44	450.28	20
1825_135580_000033_000001	Clara ran up to Edward as soon as he went in, and having kissed him, Edward then took Patience's offered hand.	Clara ran up to Edward as soon as he went in, and having kissed him, Edward then took Patience's offered hand.	false	450.83	457.39	22.540182
1825_135580_000034_000000	"Then you have consented?" said Patience, inquiringly.	"Then you have consented?" said Patience, inquiringly.	true	457.94	460.74	20.66657
1825_135580_000035_000000	"Yes, I could not refuse such kindness," replied Edward.	"Yes, I could not refuse such kindness," replied Edward.	true	460.74	464.59	21
1825_135580_000036_000000	"And when do you come?"	"And when do you come?"	true	464.93	466.21	25.140821
1825_135580_000037_000000	"On Monday night, if I can be ready by that time."	"On Monday night, if I can be ready by that time."	true	466.64	469.51	18
1825_135580_000038_000000	"Why, what have you to get ready?" said Clara.	"Why, what have you to get ready?" said Clara.	true	470.18	473.26	21.598007
1825_135580_000039_000000	"I must not appear in a forester's dress, my little Clara.	"I must not appear in a forester's dress, my little Clara.	true	473.63	476.71	15
1825_135580_000039_000001	I can wear that with a gun in my hand, but not with a pen: so I must go to Lymington and see what a tailor can do for me."	I can wear that with a gun in my hand, but not with a pen: so I must go to Lymington and see what a tailor can do for me."	true	476.78	484.81	22.877914
1825_135580_000040_000000	"You will feel as strange in a secretary's dress as I did in boys' clothes," said Clara.	"You will feel as strange in a secretary's dress as I did in boys' clothes," said Clara.	true	485.63	490.33	17
1825_135580_000040_000001	"Perhaps I may," said Edward, although he felt that such would not be the case, having been accustomed to much better clothes when at Arnwood than what were usually worn by secretaries; and this remembrance brought back Arnwood in its train, and Edward became silent and pensive.	"Perhaps I may," said Edward, although he felt that such would not be the case, having been accustomed to much better clothes when at Arnwood than what were usually worn by secretaries; and this remembrance brought back Arnwood in its train, and Edward became silent and pensive.	true	490.58	507.94	22.899426
1825_135580_000041_000000	Patience observed it, and after a time said--	Patience observed it, and after a time said-	true	508.46	511.51	23
1825_135580_000042_000000	"You will be able to watch over your sisters, Mr. Armitage, as well here, almost, as if you were at the cottage.	"You will be able to watch over your sisters, mr Armitage, as well here, almost, as if you were at the cottage.	false	511.94	518.77	19
1825_135580_000042_000001	You do not return till to-morrow?	You do not return till to morrow?	true	518.99	520.96	22.893248
1825_135580_000042_000002	How did you come over?"	How did you come over?"	true	521.18	522.52	22.376503
1825_135580_000043_000000	"I rode the pony Billy, Mistress Patience."	"I rode the pony Billy, Mistress Patience."	true	522.8	525.4	18
1825_135580_000044_000000	"Why do you call her Mistress Patience, Edward?" said Clara.	"Why do you call her Mistress Patience, Edward?" said Clara.	true	526.01	529.63	20.419174
1825_135580_000044_000001	"You call me Clara; why not call her Patience?"	"You call me Clara; why not call her Patience?"	true	529.88	533.35	24.497892
1825_135580_000045_000000	"You forget that I am only a forester, Clara," replied Edward, with a grave smile.	"You forget that I am only a forester, Clara," replied Edward, with a grave smile.	true	533.81	539.17	21
1825_135580_000046_000000	"No, you are a secretary now," replied Clara.	"No, you are a secretary now," replied Clara.	true	539.81	543.16	21.732471
1825_135580_000047_000000	"Mistress Patience is older than you by several years.	"Mistress Patience is older than you by several years.	true	543.44	546.7	17
1825_135580_000047_000001	I call you Clara, because you are but a little girl; but I must not take that liberty with Mistress Heatherstone."	I call you Clara, because you are but a little girl; but I must not take that liberty with Mistress Heatherstone."	true	546.83	553.69	22.865618
1825_135580_000048_000000	"Do you think so, Patience?" said Clara.	"Do you think so, Patience?" said Clara.	true	554.57	557.2	25.761494
1825_135580_000049_000000	"I certainly do not think that it would be a liberty in a person, after being well acquainted with me, to call me Patience," replied she; "especially when that person lives in the house with us, eats and associates with us as one of the family, and is received on an equality; but I dare say, Clara, that Master Armitage will be guided by his own feelings, and act as he considers to be proper."	"I certainly do not think that it would be a liberty in a person, after being well acquainted with me, to call me Patience," replied she; "especially when that person lives in the house with us, eats and associates with us as one of the family, and is received on an equality; but I dare say, Clara, that Master Armitage will be guided by his own feelings, and act as he considers to be proper."	true	557.45	581.47	22
1825_135580_000050_000000	"But you give him leave, and then it is proper," replied Clara.	"But you give him leave, and then it is proper," replied Clara.	false	582.11	585.37	24.716982
1825_135580_000051_000000	"Yes, if he gave himself leave, Clara," said Patience.	"Yes, if he gave himself leave, Clara," said Patience.	true	586.19	589.96	21.883677
1825_135580_000051_000001	"But we will now show him his own room, Clara," continued Patience, wishing to change the subject of conversation.	"But we will now show him his own room, Clara," continued Patience, wishing to change the subject of conversation.	true	590.45	597.94	20
1825_135580_000051_000002	"Will you follow us, sir?" said Patience, with a little mock ceremony.	"Will you follow us, sir?" said Patience, with a little mock ceremony.	true	598.22	602.44	19.742956
1825_135580_000052_000000	Edward did so without replying, and was ushered into a large airy room, very neatly furnished.	Edward did so without replying, and was ushered into a large airy room, very neatly furnished.	true	602.96	609.25	17
1825_135580_000053_000000	"This is your future lodging," said Patience; "I hope you will like it."	"This is your future lodging," said Patience; "I hope you will like it."	true	609.41	613	19
1825_135580_000054_000000	"Why, he never saw any thing like it before," said Clara.	"Why, he never saw any thing like it before," said Clara.	true	613.64	617.29	22.45224
1825_135580_000055_000000	"Yes I have, Clara," replied Edward.	"Yes I have, Clara," replied Edward.	true	617.51	619.93	21.388428
1825_135580_000056_000000	"Where did you?"	"Where did you?"	true	620.12	621.07	21.383211
1825_135580_000057_000000	"At Arnwood; the apartments were on a much larger scale."	"At Arnwood; the apartments were on a much larger scale."	true	621.38	625.39	23.94725
1825_135580_000058_000000	"Arnwood! oh yes, I have heard my father speak of it," said Clara, with the tears starting in her eyes at his memory.	"Arnwood! oh yes, I have heard my father speak of it," said Clara, with the tears starting in her eyes at his memory.	true	625.58	633.94	19.99781
1825_135580_000058_000001	"Yes, it was burned down, and all the children burned to death!"	"Yes, it was burned down, and all the children burned to death!"	true	634.1	638.59	22.633068
1825_135580_000059_000000	"So they say, Clara; but I was not there when it was burned."	"So they say, Clara; but I was not there when it was burned."	true	639.05	642.64	24
1825_135580_000060_000000	"Where were you then?"	"Where were you then?"	true	643.31	644.53	19.717388
1825_135580_000061_000000	"I was at the cottage where I now live." Edward turned round to Patience, and perceived that her eyes were fixed upon him, as if she would have read his thoughts.	"I was at the cottage where I now live." Edward turned round to Patience, and perceived that her eyes were fixed upon him, as if she would have read his thoughts.	false	645.26	654.16	21
1825_135580_000061_000001	Edward smiled, and said--	Edward smiled, and said-	true	654.44	656.17	20
1825_135580_000062_000000	"Do you doubt what I say?"	"Do you doubt what I say?"	true	656.69	658.36	19.282242
1825_135580_000063_000000	"No, indeed!" said she, "I have no doubt that you were at the cottage at the time; but I was thinking that if the apartments at Arnwood were more splendid, those at your cottage are less comfortable.	"No, indeed!" said she, "I have no doubt that you were at the cottage at the time; but I was thinking that if the apartments at Arnwood were more splendid, those at your cottage are less comfortable.	false	659.09	671.05	23.265888
1825_135580_000063_000001	You have been used to better and to worse, and therefore will, I trust, be content with these."	You have been used to better and to worse, and therefore will, I trust, be content with these."	true	671.45	676.78	17
1825_135580_000064_000000	"I trust I have shown no signs of discontent.	"I trust I have shown no signs of discontent.	true	677.42	680.22	18.52941
1825_135580_000064_000001	I should indeed be difficult to please if an apartment like this did not suit me.	I should indeed be difficult to please if an apartment like this did not suit me.	true	680.22	684.91	21
1825_135580_000064_000002	Besides, allow me to observe, that although I stated that the apartments at Arnwood were on a grander scale, I never said that I had ever been a possessor of one of them."	Besides, allow me to observe, that although I stated that the apartments at Arnwood were on a grander scale, I never said that I had ever been a possessor of one of them."	true	685.22	695.38	20
1825_135580_000065_000000	Patience smiled and made no reply.	Patience smiled and made no reply.	false	695.99	698.26	17
1825_135580_000066_000000	"Now that you know your way to your apartment, Master Armitage, we will, if you please, go back to the sitting-room," said she.	"Now that you know your way to your apartment, Master Armitage, we will, if you please, go back to the sitting room," said she.	false	699.02	705.57	16
1825_135580_000066_000001	As they were going back into the sitting-room, she said--	As they were going back into the sitting room, she said-	true	705.57	708.22	12
1825_135580_000067_000000	"When you come over on Monday, you will, I presume, bring your clothes in a cart?	"When you come over on Monday, you will, I presume, bring your clothes in a cart?	true	708.47	712.54	17
1825_135580_000067_000001	I ask it, because I promised some flowers and other things to your sisters, which I can send back by the cart."	I ask it, because I promised some flowers and other things to your sisters, which I can send back by the cart."	true	712.7	718.9	19
1825_135580_000068_000000	"You are very kind to think of them, Mistress Patience," replied Edward; "they are fond of flowers, and will be much pleased with possessing any."	"You are very kind to think of them, Mistress Patience," replied Edward; "they are fond of flowers, and will be much pleased with possessing any."	false	719.42	728.94	20.015802
1825_135580_000069_000000	"You sleep here to-night, I think my father said?" inquired Patience.	"You sleep here to night, I think my father said?" inquired Patience.	true	728.94	732.22	18
1825_135580_000070_000000	"He did make the proposal, and I shall gladly avail myself of it, as I am not to trust to Phoebe's ideas of comfort this time," said Edward, smiling.	"He did make the proposal, and I shall gladly avail myself of it, as I am not to trust to Phoebe's ideas of comfort this time," said Edward, smiling.	true	732.41	741.46	19
1825_135580_000071_000000	"Yes, that was a cross action of Phoebe's; and I can tell you, Master Armitage, that she is ashamed to look you in the face ever since; but how fortunate for me that she was cross, and turned you out as she did! You must forgive her, as she was the means of your performing a noble action; and I must forgive her, as she was the means of my life being saved."	"Yes, that was a cross action of Phoebe's; and I can tell you, Master Armitage, that she is ashamed to look you in the face ever since; but how fortunate for me that she was cross, and turned you out as she did! You must forgive her, as she was the means of your performing a noble action; and I must forgive her, as she was the means of my life being saved."	true	741.98	763.06	20
1825_135580_000072_000000	"I have no feeling except kindness toward Phoebe," replied Edward; "indeed I ought to feel grateful to her; for if she had not given me so bad a bed that night, I never should have been so comfortably lodged as it is proposed that I shall be now."	"I have no feeling except kindness toward Phoebe," replied Edward; "indeed I ought to feel grateful to her; for if she had not given me so bad a bed that night, I never should have been so comfortably lodged as it is proposed that I shall be now."	true	763.61	778.3	18
1825_135580_000073_000000	"I hope you are hungry, Edward," said Clara; "dinner is almost ready."	"I hope you are hungry, Edward," said Clara; "dinner is almost ready."	true	778.85	782.86	20
1825_135580_000074_000000	"I dare say I shall eat more than you do, Clara."	"I dare say I shall eat more than you do, Clara."	true	783.2	786.19	17
1825_135580_000075_000000	"So you ought, a great big man like you.	"So you ought, a great big man like you.	false	786.65	789.615	24.807035
1825_135580_000075_000001	How old are you, Edward?" said Clara; "I am thirteen; Patience is past sixteen: now, how old are you?"	How old are you, Edward?" said Clara; "I am thirteen; Patience is past sixteen: now, how old are you?"	false	789.615	796.81	20.439737
1825_135580_000076_000000	"I am not yet eighteen, Clara, so that I can hardly be called a man."	"I am not yet eighteen, Clara, so that I can hardly be called a man."	true	797.6	801.94	20.598875
1825_135580_000077_000000	"Why, you are as tall as Mr. Heatherstone."	"Why, you are as tall as mr Heatherstone."	false	802.28	804.88	18
1825_135580_000078_000000	"Yes, I believe I am."	"Yes, I believe I am."	true	805.19	806.83	15
1825_135580_000079_000000	"And can't you do every thing that a man can do?"	"And can't you do every thing that a man can do?"	true	807.29	809.89	16
1825_135580_000080_000000	"I really don't know; but I certainly shall always try so to do."	"I really don't know; but I certainly shall always try so to do."	true	810.56	814.57	18
1825_135580_000081_000000	"Well, then, you must be a man."	"Well, then, you must be a man."	true	815.18	817.3	19.282143
1825_135580_000082_000000	"Well, Clara, if it pleases you, I will be a man."	"Well, Clara, if it pleases you, I will be a man."	true	817.7	820.63	18
1825_135580_000083_000000	"Here comes Mr. Heatherstone, so I know dinner is ready; is it not, sir?"	"Here comes mr Heatherstone, so I know dinner is ready; is it not, sir?"	true	820.94	825.97	18.820578
1825_135580_000084_000000	"Yes, my child, it is," replied Mr. Heatherstone, kissing Clara, "so let us all go in."	"Yes, my child, it is," replied mr Heatherstone, kissing Clara, "so let us all go in."	true	826.52	831.85	17
1825_135580_000085_000000	Mr. Heatherstone, as was usual at that time with the people to whose party he ostensibly belonged, said a grace before meat, of considerable length, and then they sat down to table.	mr Heatherstone, as was usual at that time with the people to whose party he ostensibly belonged, said a grace before meat, of considerable length, and then they sat down to table.	true	832.91	845.92	20
1825_135580_000085_000001	As soon as the repast was over, Mr. Heatherstone returned to his study, and Edward went out to find Oswald Partridge, with whom he remained the larger portion of the afternoon, going to the kennel and examining the dogs, and talking of matters connected with the chase.	As soon as the repast was over, mr Heatherstone returned to his study, and Edward went out to find Oswald Partridge, with whom he remained the larger portion of the afternoon, going to the kennel and examining the dogs, and talking of matters connected with the chase.	true	846.08	861.7	17
1825_135580_000086_000000	"I have not two men that can stalk a deer," observed Oswald "the men appointed here as verderers and keepers have not one of them been brought up to the business.	"I have not two men that can stalk a deer," observed Oswald "the men appointed here as verderers and keepers have not one of them been brought up to the business.	false	862.37	873.94	21.599358
1825_135580_000086_000001	Most of them are men who have been in the army, and I believe have been appointed to these situations to get rid of them because they were troublesome; and they are any thing but good characters: the consequence is, that we kill but few deer, for I have so much to attend to here, as none of them know their duties, that I can seldom take my own gun out.	Most of them are men who have been in the army, and I believe have been appointed to these situations to get rid of them because they were troublesome; and they are any thing but good characters: the consequence is, that we kill but few deer, for I have so much to attend to here, as none of them know their duties, that I can seldom take my own gun out.	false	874.28	895.75	19
1825_135580_000086_000002	I stated so to the intendant, and he said that if you accepted an offer he had made you, and came over here, we should not want venison; so it is clear that he does not expect you to have your pen always in your hand."	I stated so to the intendant, and he said that if you accepted an offer he had made you, and came over here, we should not want venison; so it is clear that he does not expect you to have your pen always in your hand."	false	895.97	909.51	18
1825_135580_000087_000000	"I am glad to hear that," replied Edward; "depend upon it, his own table, at all events, shall be well supplied.	"I am glad to hear that," replied Edward; "depend upon it, his own table, at all events, shall be well supplied.	true	909.51	916.39	19
1825_135580_000087_000001	Is not that fellow Corbould, who is leaning against the wall?"	Is not that fellow Corbould, who is leaning against the wall?"	true	917.06	921.01	21
1825_135580_000088_000000	"Yes; he is to be discharged as he can not walk well, and the surgeon says he will always limp.	"Yes; he is to be discharged as he can not walk well, and the surgeon says he will always limp.	true	921.32	927.58	21.953966
1825_135580_000088_000001	He owes you a grudge, and I am glad that he is going away, for he is a dangerous man.	He owes you a grudge, and I am glad that he is going away, for he is a dangerous man.	true	927.92	933.22	18
1825_135580_000088_000002	But the sun is setting, Mr. Edward, and supper will soon be on the table; you had better go back to the house."	But the sun is setting, mr Edward, and supper will soon be on the table; you had better go back to the house."	true	933.29	939.07	17
1825_135580_000089_000000	Edward bade Oswald farewell, and returned to the intendant's, and found that Oswald was correct, as supper was being placed on the table.	Edward bade Oswald farewell, and returned to the intendant's, and found that Oswald was correct, as supper was being placed on the table.	true	939.89	948.22	20
1825_135580_000090_000000	Soon after supper, Phoebe and the men-servants were summoned, and prayers offered up by the intendant, after which Patience and Clara retired.	Soon after supper, Phoebe and the men servants were summoned, and prayers offered up by the intendant, after which Patience and Clara retired.	true	948.59	957.04	18
1825_135580_000090_000001	Edward remained in conversation with the intendant for about an hour, and then was conducted by him to his room, which had already been shown to him by Patience.	Edward remained in conversation with the intendant for about an hour, and then was conducted by him to his room, which had already been shown to him by Patience.	false	957.17	966.45	18
1825_135580_000091_000000	Edward did not sleep much that night.	Edward did not sleep much that night.	false	966.45	968.94	22.857952
1825_135580_000091_000001	The novelty of his situation--the novelty of his prospects, and his speculations thereon, kept him awake till near morning: he was, however, up in good time, and having assisted at the morning prayers, and afterward eaten a most substantial breakfast, he took his leave of the intendant and the two girls, and set off on his return to the cottage, having renewed his promise of coming on the following Monday to take up his abode with them.	The novelty of his situation-the novelty of his prospects, and his speculations thereon, kept him awake till near morning: he was, however, up in good time, and having assisted at the morning prayers, and afterward eaten a most substantial breakfast, he took his leave of the intendant and the two girls, and set off on his return to the cottage, having renewed his promise of coming on the following Monday to take up his abode with them.	false	968.94	995.65	17
1825_135580_000091_000002	Billy was fresh, and cantered gayly along, so that Edward was back early in the afternoon, and once more welcomed by his household.	Billy was fresh, and cantered gayly along, so that Edward was back early in the afternoon, and once more welcomed by his household.	true	995.87	1003.6	17
1825_135580_000091_000003	He stated to Humphrey all that had occurred, and Humphrey was much pleased at Edward having accepted the offer of the intendant.	He stated to Humphrey all that had occurred, and Humphrey was much pleased at Edward having accepted the offer of the intendant.	false	1004.03	1010.98	18
