6499_87508_000001_000000	FOURTH CHARACTERISTIC	FOURTH CHARACTERISTIC
6499_87508_000007_000000	FIFTH CHARACTERISTIC	FIFTH CHARACTERISTIC
6499_87508_000009_000000	CHARITY is generous; it does everything it can.	CHARITY is generous; it does everything it can.
6499_87508_000009_000001	When even it can do little, it wishes to be able to do more.	When even it can do little, it wishes to be able to do more.
6499_87508_000009_000002	It never lets slip an opportunity of comforting, helping, and taking the most painful part, after the example of its Divine Model, Who came to serve, not to be served.	It never lets slip an opportunity of comforting, helping, and taking the most painful part, after the example of its Divine Model, Who came to serve, not to be served.
6499_87508_000009_000003	One religious, seemingly in pain, seeks comfort; another desires some book, instrument, etc.; a third bends under a burden; while a fourth is afflicted.	One religious, seemingly in pain, seeks comfort; another desires some book, instrument, etc; a third bends under a burden; while a fourth is afflicted.
6499_87508_000009_000004	In all these cases charity comes to the aid by consoling the one, procuring little gratifications for the other, and helping another.	In all these cases charity comes to the aid by consoling the one, procuring little gratifications for the other, and helping another.
6499_87508_000009_000006	"Does the hunter," says St. John Chrysostom, "who finds splendid game blame those who beat the brushwood before him?	"Does the hunter," says saint John Chrysostom, "who finds splendid game blame those who beat the brushwood before him?
6499_87508_000009_000007	Or does the traveller who finds a purse of gold on the road neglect to pick it up because others who preceded him took no notice of it?"	Or does the traveller who finds a purse of gold on the road neglect to pick it up because others who preceded him took no notice of it?"
6499_87508_000009_000008	It would be a strange thing to find religious uselessly giving themselves to ardent desires of works of charity abroad, such as nursing in a hospital or carrying the Gospel into uncivilized lands, and at the same time in their own house and among their own brethren showing coldness, indifference, and want of condescension.	It would be a strange thing to find religious uselessly giving themselves to ardent desires of works of charity abroad, such as nursing in a hospital or carrying the Gospel into uncivilized lands, and at the same time in their own house and among their own brethren showing coldness, indifference, and want of condescension.
6499_87508_000010_000000	There is an art of giving as well as of refusing.	There is an art of giving as well as of refusing.
6499_87508_000010_000001	Several offend in giving because they do so with a bad grace; others in refusing do not offend because they know how to temper their refusal by sweetness of manner.	Several offend in giving because they do so with a bad grace; others in refusing do not offend because they know how to temper their refusal by sweetness of manner.
6499_87508_000010_000002	Charity possesses this art in a high degree, and, besides, raises a mere worldly art into a virtue and fruit of the Holy Ghost.	Charity possesses this art in a high degree, and, besides, raises a mere worldly art into a virtue and fruit of the Holy Ghost.
6499_87508_000012_000000	SIXTH CHARACTERISTIC	SIXTH CHARACTERISTIC
6499_87508_000014_000002	Would to God that this touching and edifying charity replaced the low and rampant vice of jealousy!	Would to God that this touching and edifying charity replaced the low and rampant vice of jealousy!
6499_87508_000016_000000	XII	twelve
6499_87508_000017_000000	SEVENTH CHARACTERISTIC	SEVENTH CHARACTERISTIC
6499_87508_000019_000000	WE must pardon and do good for evil, as God has pardoned us and rendered good for evil in Jesus Christ.	WE must pardon and do good for evil, as God has pardoned us and rendered good for evil in Jesus Christ.
6499_87508_000019_000001	It is vain to trample the violet, as it never resists, and he who crushes it only becomes aware of the fact by the sweetness of its perfume.	It is vain to trample the violet, as it never resists, and he who crushes it only becomes aware of the fact by the sweetness of its perfume.
6499_87508_000019_000002	This is the image of charity.	This is the image of charity.
6499_87508_000020_000000	Cassian makes mention of a religious who, having received a box on the ear from his abbot in presence of more than two hundred brethren, made no complaint, nor even changed colour.	Cassian makes mention of a religious who, having received a box on the ear from his abbot in presence of more than two hundred brethren, made no complaint, nor even changed colour.
6499_87508_000020_000001	St. Gregory praises another religious, who, having been struck several times with a stool by his abbot, attributed it not to the passion of the abbot, but to his own fault.	saint Gregory praises another religious, who, having been struck several times with a stool by his abbot, attributed it not to the passion of the abbot, but to his own fault.
6499_87508_000020_000002	He adds that the humility and patience of the disciple was a lesson for the master.	He adds that the humility and patience of the disciple was a lesson for the master.
6499_87508_000020_000003	This charity will have no small weight in the balance of Him Who weighs merit so exactly.	This charity will have no small weight in the balance of Him Who weighs merit so exactly.
6499_87508_000021_000000	Charity gives no occasion to others to suffer, but suffers all patiently, not once, but all through life, every day and almost every hour.	Charity gives no occasion to others to suffer, but suffers all patiently, not once, but all through life, every day and almost every hour.
6499_87508_000021_000001	It is most necessary for religious, as, not being able to seek comfort abroad, they are obliged to live in the same house, often in the same employment with characters less sympathetic than their own.	It is most necessary for religious, as, not being able to seek comfort abroad, they are obliged to live in the same house, often in the same employment with characters less sympathetic than their own.
6499_87508_000021_000002	These little acts of charity count for little here below, and they are rather exacted than admired.	These little acts of charity count for little here below, and they are rather exacted than admired.
6499_87508_000022_000000	XIII	thirteen
6499_87508_000023_000000	EIGHTH CHARACTERISTIC	EIGHTH CHARACTERISTIC
6499_87508_000025_000000	TELL-TALES, nasty names, cold answers, lies, mockery, harsh words, etc., are all contrary to charity.	TELL TALES, nasty names, cold answers, lies, mockery, harsh words, etc, are all contrary to charity.
6499_87508_000025_000001	St. John Chrysostom says: "When anyone loads you with injuries, close your mouth, because if you open it you will only cause a tempest.	saint John Chrysostom says: "When anyone loads you with injuries, close your mouth, because if you open it you will only cause a tempest.
6499_87508_000025_000002	When in a room between two open doors through which a violent wind rushes and throws things in disorder, if you close one door the violence of the wind is checked and order is restored.	When in a room between two open doors through which a violent wind rushes and throws things in disorder, if you close one door the violence of the wind is checked and order is restored.
6499_87508_000025_000003	So it is when you are attacked by anyone with a bad tongue.	So it is when you are attacked by anyone with a bad tongue.
6499_87508_000025_000004	Your mouth and his are open doors.	Your mouth and his are open doors.
6499_87508_000025_000005	Close yours, and the storm ceases.	Close yours, and the storm ceases.
6499_87508_000025_000006	If, unfortunately, you open yours, the storm will become furious, and no one can tell what the damage may be." If we have been guilty in this respect, let us humble ourselves before God.	If, unfortunately, you open yours, the storm will become furious, and no one can tell what the damage may be." If we have been guilty in this respect, let us humble ourselves before God.
6499_87508_000027_000000	In order to keep ourselves and others in a state of moderation, we must remember that all persons have some fad, mania, or fixed ideas which they permit no one to gainsay.	In order to keep ourselves and others in a state of moderation, we must remember that all persons have some fad, mania, or fixed ideas which they permit no one to gainsay.
6499_87508_000028_000000	XIV	fourteen
6499_87508_000029_000000	NINTH CHARACTERISTIC	NINTH CHARACTERISTIC
6499_87508_000031_000000	CHARITY lavishes care on the sick and infirm, on the old, on guests and new-comers.	CHARITY lavishes care on the sick and infirm, on the old, on guests and new comers.
6499_87508_000033_000000	Charity pays honour to the aged in every respect, coincides with their sentiments, consults them, forestalls their desires, and attempts not to reform in them what cannot be reformed.	Charity pays honour to the aged in every respect, coincides with their sentiments, consults them, forestalls their desires, and attempts not to reform in them what cannot be reformed.
6499_87508_000033_000001	Charity receives fraternally all guests and new-comers, and makes us treat them as we would wish to be treated under similar circumstances. It also causes us to lavish testimonies of affection on those who are setting out, and warns us to be very careful of saying or doing anything that may in the least degree offend even the most susceptible.	Charity receives fraternally all guests and new comers, and makes us treat them as we would wish to be treated under similar circumstances. It also causes us to lavish testimonies of affection on those who are setting out, and warns us to be very careful of saying or doing anything that may in the least degree offend even the most susceptible.
6499_87508_000034_000000	Religious must ever feel that they can bless, love, and thank religion as a good mother.	Religious must ever feel that they can bless, love, and thank religion as a good mother.
6499_87508_000034_000001	But religion is not an abstract matter; it is made up of individuals reciprocally bound together in and for each other.	But religion is not an abstract matter; it is made up of individuals reciprocally bound together in and for each other.
6499_87508_000035_000000	Alas! how many times are the sick and the old made to consider themselves as an inconvenient burden, or like a useless piece of furniture!	Alas! how many times are the sick and the old made to consider themselves as an inconvenient burden, or like a useless piece of furniture!
6499_87508_000035_000001	In reality what are they doing?	In reality what are they doing?
6499_87508_000036_000000	Did our Divine Lord work less efficaciously for the Church when He hung on the Cross than when He preached?	Did our Divine Lord work less efficaciously for the Church when He hung on the Cross than when He preached?
6499_87508_000037_000000	XV	fifteen
6499_87508_000038_000000	TENTH CHARACTERISTIC	TENTH CHARACTERISTIC
6499_87508_000040_000000	"WE do not remember often enough our dear dead, our departed brethren," says St. Francis de Sales, "and the proof of it is that we speak so little of them.	"WE do not remember often enough our dear dead, our departed brethren," says saint Francis de Sales, "and the proof of it is that we speak so little of them.
6499_87508_000040_000001	We try to change the discourse as if it were hurtful.	We try to change the discourse as if it were hurtful.
6499_87508_000041_000000	In communities distinguished for fraternal charity and the family spirit the conversation frequently turns on the dead.	In communities distinguished for fraternal charity and the family spirit the conversation frequently turns on the dead.
6499_87508_000041_000001	One talks of their virtues, another of their services, a third quotes some of their sayings, while a fourth adds some other edifying fact; and who is the religious that will not on such occasions breathe a silent prayer to God and apply some indulgence or other satisfactory work for the happy repose of their souls?	One talks of their virtues, another of their services, a third quotes some of their sayings, while a fourth adds some other edifying fact; and who is the religious that will not on such occasions breathe a silent prayer to God and apply some indulgence or other satisfactory work for the happy repose of their souls?
6499_87508_000042_000000	Charity also prays for those who want help most, and who are often known to God alone--those whose constancy is wavering, those who are led by violent temptations to the edge of the precipice.	Charity also prays for those who want help most, and who are often known to God alone-those whose constancy is wavering, those who are led by violent temptations to the edge of the precipice.
6499_87508_000042_000001	It expands pent-up souls by consolations or advice; it dissipates prejudices which tend to weaken the spirit of obedience; it is, in fine, a sort of instinct which embraces all those things suggested by zeal and devotion.	It expands pent up souls by consolations or advice; it dissipates prejudices which tend to weaken the spirit of obedience; it is, in fine, a sort of instinct which embraces all those things suggested by zeal and devotion.
6499_87508_000042_000002	Can there be anything more agreeable to God, more useful to the Church, or more meritorious, than to foster thus amongst the well-beloved children of God peace, joy, love of vocation, together with union amongst themselves and with their superiors?	Can there be anything more agreeable to God, more useful to the Church, or more meritorious, than to foster thus amongst the well beloved children of God peace, joy, love of vocation, together with union amongst themselves and with their superiors?
6499_87508_000043_000000	XVI	sixteen
6499_87508_000044_000000	ELEVENTH CHARACTERISTIC	ELEVENTH CHARACTERISTIC
6499_87508_000046_000000	RELIGIOUS who have the family spirit wish to know everything which concerns the well-being of the different houses.	RELIGIOUS who have the family spirit wish to know everything which concerns the well-being of the different houses.
6499_87508_000046_000001	They willingly take their pens to contribute to the edification and satisfy the lawful curiosity of their brethren.	They willingly take their pens to contribute to the edification and satisfy the lawful curiosity of their brethren.
6499_87508_000046_000002	They bless God when they hear good news, and grieve at bad news, losses by death, and, above all, scandalous losses of vocation.	They bless God when they hear good news, and grieve at bad news, losses by death, and, above all, scandalous losses of vocation.
6499_87508_000048_000000	Charity, by uniting its good wishes and interest to the deeds of others, becomes associated at the same time in the merit.	Charity, by uniting its good wishes and interest to the deeds of others, becomes associated at the same time in the merit.
6499_87508_000049_000000	XVII	seventeen
6499_87508_000050_000000	TWELFTH CHARACTERISTIC	TWELFTH CHARACTERISTIC
6499_87508_000052_000000	BE edified at the sight of your brethren's virtues, and edify them by your own.	BE edified at the sight of your brethren's virtues, and edify them by your own.
6499_87508_000052_000001	In other words, be alternately disciple and master.	In other words, be alternately disciple and master.
6499_87508_000054_000000	By charity we store up in ourselves the gifts of grace enjoyed by every member of the community, in order to dispense them to all by a happy commerce and admirable exchange.	By charity we store up in ourselves the gifts of grace enjoyed by every member of the community, in order to dispense them to all by a happy commerce and admirable exchange.
6499_87508_000056_000000	This spontaneity of virtues exercises on all the members a constant and sublime ministry of mutual edification and reciprocal sanctification.	This spontaneity of virtues exercises on all the members a constant and sublime ministry of mutual edification and reciprocal sanctification.
