2056_143893_000000_000000	"Well, Mr. Goodwood, I should hope so!" Henrietta returned imperturbably.	"Well, mr Goodwood, I should hope so!" Henrietta returned imperturbably.	false	6.69	22.65	26.034529
2056_143893_000002_000011	He had not yet formally forbidden her to call upon Ralph; but she felt sure that unless Ralph should very soon depart this prohibition would come.	He had not yet formally forbidden her to call upon Ralph; but she felt sure that unless Ralph should very soon depart this prohibition would come.	true	126.68	135.4	24.230167
2056_143893_000002_000012	How could poor Ralph depart?	How could poor Ralph depart?	true	135.77	137.74	30.533901
2056_143893_000002_000013	The weather as yet made it impossible.	The weather as yet made it impossible.	true	137.93	140.23	23.76122
2056_143893_000002_000014	She could perfectly understand her husband's wish for the event; she didn't, to be just, see how he COULD like her to be with her cousin.	She could perfectly understand her husband's wish for the event; she didn't, to be just, see how he COULD like her to be with her cousin.	true	140.48	148.54	26.199566
2056_143893_000002_000015	Ralph never said a word against him, but Osmond's sore, mute protest was none the less founded.	Ralph never said a word against him, but Osmond's sore, mute protest was none the less founded.	true	148.82	155.2	25.365978
2056_143893_000002_000016	If he should positively interpose, if he should put forth his authority, she would have to decide, and that wouldn't be easy.	If he should positively interpose, if he should put forth his authority, she would have to decide, and that wouldn't be easy.	true	155.33	163.09	26.296635
2056_143893_000002_000017	The prospect made her heart beat and her cheeks burn, as I say, in advance; there were moments when, in her wish to avoid an open rupture, she found herself wishing Ralph would start even at a risk.	The prospect made her heart beat and her cheeks burn, as I say, in advance; there were moments when, in her wish to avoid an open rupture, she found herself wishing Ralph would start even at a risk.	true	163.55	175.54	23.580055
2056_143893_000002_000018	And it was of no use that, when catching herself in this state of mind, she called herself a feeble spirit, a coward. It was not that she loved Ralph less, but that almost anything seemed preferable to repudiating the most serious act--the single sacred act--of her life.	And it was of no use that, when catching herself in this state of mind, she called herself a feeble spirit, a coward. It was not that she loved Ralph less, but that almost anything seemed preferable to repudiating the most serious act-the single sacred act-of her life.	true	175.76	193.21	24.832819
2056_143893_000002_000019	That appeared to make the whole future hideous. To break with Osmond once would be to break for ever; any open acknowledgement of irreconcilable needs would be an admission that their whole attempt had proved a failure.	That appeared to make the whole future hideous. To break with Osmond once would be to break for ever; any open acknowledgement of irreconcilable needs would be an admission that their whole attempt had proved a failure.	true	193.31	206.26	25.93395
2056_143893_000002_000020	For them there could be no condonement, no compromise, no easy forgetfulness, no formal readjustment.	For them there could be no condonement, no compromise, no easy forgetfulness, no formal readjustment.	true	206.69	214.42	26.020773
2056_143893_000002_000021	They had attempted only one thing, but that one thing was to have been exquisite.	They had attempted only one thing, but that one thing was to have been exquisite.	true	214.64	220.69	29.038818
2056_143893_000002_000022	Once they missed it nothing else would do; there was no conceivable substitute for that success.	Once they missed it nothing else would do; there was no conceivable substitute for that success.	true	220.91	227.11	26
2056_143893_000002_000023	For the moment, Isabel went to the Hotel de Paris as often as she thought well; the measure of propriety was in the canon of taste, and there couldn't have been a better proof that morality was, so to speak, a matter of earnest appreciation.	For the moment, Isabel went to the Hotel de Paris as often as she thought well; the measure of propriety was in the canon of taste, and there couldn't have been a better proof that morality was, so to speak, a matter of earnest appreciation.	true	227.51	242.86	25.349081
2056_143893_000002_000024	Isabel's application of that measure had been particularly free to-day, for in addition to the general truth that she couldn't leave Ralph to die alone she had something important to ask of him.	Isabel's application of that measure had been particularly free to day, for in addition to the general truth that she couldn't leave Ralph to die alone she had something important to ask of him.	true	243.32	254.59	23
2056_143893_000002_000025	This indeed was Gilbert's business as well as her own.	This indeed was Gilbert's business as well as her own.	true	254.84	258.1	22.755445
2056_143893_000003_000000	She came very soon to what she wished to speak of.	She came very soon to what she wished to speak of.	true	258.5	261.79	21.665052
2056_143893_000003_000001	"I want you to answer me a question.	"I want you to answer me a question.	true	262.1	264.01	32.340218
2056_143893_000003_000002	It's about Lord Warburton."	It's about Lord Warburton."	true	264.2	266.77	26.085003
2056_143893_000004_000000	"I think I guess your question," Ralph answered from his arm-chair, out of which his thin legs protruded at greater length than ever.	"I think I guess your question," Ralph answered from his arm chair, out of which his thin legs protruded at greater length than ever.	false	267.11	273.94	24.0265
2056_143893_000005_000000	"Very possibly you guess it.	"Very possibly you guess it.	true	274.67	276.49	26.81517
2056_143893_000005_000001	Please then answer it."	Please then answer it."	true	276.5	278.23	24.401205
2056_143893_000006_000000	"Oh, I don't say I can do that."	"Oh, I don't say I can do that."	true	278.54	280.81	28.706776
2056_143893_000007_000000	"You're intimate with him," she said; "you've a great deal of observation of him."	"You're intimate with him," she said; "you've a great deal of observation of him."	true	281.24	285.88	28.13898
2056_143893_000008_000000	"Very true.	"Very true.	true	286.22	287.32	29.450266
2056_143893_000008_000001	But think how he must dissimulate!"	But think how he must dissimulate!"	true	287.45	289.66	27.796782
2056_143893_000009_000000	"Why should he dissimulate?	"Why should he dissimulate?	true	290.15	291.945	20.254505
2056_143893_000009_000001	That's not his nature."	That's not his nature."	true	291.945	293.32	25.162605
2056_143893_000010_000000	"Ah, you must remember that the circumstances are peculiar," said Ralph with an air of private amusement.	"Ah, you must remember that the circumstances are peculiar," said Ralph with an air of private amusement.	false	293.78	299.71	25.267384
2056_143893_000011_000000	"To a certain extent--yes.	"To a certain extent-yes.	true	299.93	301.57	27.386034
2056_143893_000011_000001	But is he really in love?"	But is he really in love?"	true	301.7	303.49	19.339314
2056_143893_000012_000000	"Very much, I think.	"Very much, I think.	true	303.86	305.085	29.763983
2056_143893_000012_000001	I can make that out."	I can make that out."	true	305.085	306.25	29.243193
2056_143893_000013_000000	"Ah!" said Isabel with a certain dryness.	"Ah!" said Isabel with a certain dryness.	true	306.71	310.06	26.841484
2056_143893_000014_000000	Ralph looked at her as if his mild hilarity had been touched with mystification.	Ralph looked at her as if his mild hilarity had been touched with mystification.	true	310.49	315.22	20
2056_143893_000014_000001	"You say that as if you were disappointed."	"You say that as if you were disappointed."	false	315.38	317.56	24.26865
2056_143893_000015_000000	Isabel got up, slowly smoothing her gloves and eyeing them thoughtfully. "It's after all no business of mine."	Isabel got up, slowly smoothing her gloves and eyeing them thoughtfully. "It's after all no business of mine."	true	317.72	324.79	27.727701
2056_143893_000016_000000	"You're very philosophic," said her cousin.	"You're very philosophic," said her cousin.	true	325.49	327.85	22.333075
2056_143893_000016_000001	And then in a moment: "May I enquire what you're talking about?"	And then in a moment: "May I enquire what you're talking about?"	false	328.31	332.7	22.569513
2056_143893_000017_000000	Isabel stared.	Isabel stared.	false	332.7	334.09	23.239382
2056_143893_000017_000001	"I thought you knew.	"I thought you knew.	true	334.43	335.74	21.818737
2056_143893_000017_000002	Lord Warburton tells me he wants, of all things in the world, to marry Pansy.	Lord Warburton tells me he wants, of all things in the world, to marry Pansy.	true	335.87	340.54	22.968706
2056_143893_000017_000003	I've told you that before, without eliciting a comment from you.	I've told you that before, without eliciting a comment from you.	true	340.76	343.96	26.034624
2056_143893_000017_000004	You might risk one this morning, I think.	You might risk one this morning, I think.	true	344.09	346.36	27.585485
2056_143893_000017_000005	Is it your belief that he really cares for her?"	Is it your belief that he really cares for her?"	true	346.4	349.365	23.020638
2056_143893_000018_000000	"Ah, for Pansy, no!" cried Ralph very positively.	"Ah, for Pansy, no!" cried Ralph very positively.	true	349.365	353.53	24.713558
2056_143893_000019_000000	"But you said just now he did."	"But you said just now he did."	true	353.72	355.69	25.94572
2056_143893_000020_000000	Ralph waited a moment.	Ralph waited a moment.	true	356.39	357.82	26.00966
2056_143893_000020_000001	"That he cared for you, Mrs. Osmond."	"That he cared for you, mrs Osmond."	true	358.25	361.24	23.809011
2056_143893_000021_000000	Isabel shook her head gravely.	Isabel shook her head gravely.	true	361.31	363.07	23.828407
2056_143893_000021_000001	"That's nonsense, you know."	"That's nonsense, you know."	true	363.08	364.75	21.920519
2056_143893_000022_000000	"Of course it is.	"Of course it is.	true	365.24	366.34	22.479006
2056_143893_000022_000001	But the nonsense is Warburton's, not mine."	But the nonsense is Warburton's, not mine."	true	366.44	369.1	25.006536
2056_143893_000023_000000	"That would be very tiresome." She spoke, as she flattered herself, with much subtlety.	"That would be very tiresome." She spoke, as she flattered herself, with much subtlety.	true	369.53	374.08	25.632328
2056_143893_000024_000000	"I ought to tell you indeed," Ralph went on, "that to me he has denied it."	"I ought to tell you indeed," Ralph went on, "that to me he has denied it."	true	374.48	378.7	27.483782
2056_143893_000025_000000	"It's very good of you to talk about it together!	"It's very good of you to talk about it together!	false	378.95	381.21	26.709133
2056_143893_000025_000001	Has he also told you that he's in love with Pansy?"	Has he also told you that he's in love with Pansy?"	false	381.21	383.98	23.241613
2056_143893_000026_000000	"He has spoken very well of her--very properly.	"He has spoken very well of her-very properly.	true	384.38	387.07	26.110586
2056_143893_000026_000001	He has let me know, of course, that he thinks she would do very well at Lockleigh."	He has let me know, of course, that he thinks she would do very well at Lockleigh."	true	387.17	390.93	27.507818
2056_143893_000027_000000	"Does he really think it?"	"Does he really think it?"	false	390.93	392.95	25.431864
2056_143893_000028_000000	"Ah, what Warburton really thinks--!" said Ralph.	"Ah, what Warburton really thinks-!" said Ralph.	true	393.41	397.12	26.509905
2056_143893_000029_000000	Isabel fell to smoothing her gloves again; they were long, loose gloves on which she could freely expend herself.	Isabel fell to smoothing her gloves again; they were long, loose gloves on which she could freely expend herself.	true	397.16	403.96	24.43735
2056_143893_000029_000001	Soon, however, she looked up, and then, "Ah, Ralph, you give me no help!" she cried abruptly and passionately.	Soon, however, she looked up, and then, "Ah, Ralph, you give me no help!" she cried abruptly and passionately.	false	404.03	411.25	24.71886
2056_143893_000030_000000	It was the first time she had alluded to the need for help, and the words shook her cousin with their violence.	It was the first time she had alluded to the need for help, and the words shook her cousin with their violence.	true	411.62	418.06	24.364893
2056_143893_000030_000001	He gave a long murmur of relief, of pity, of tenderness; it seemed to him that at last the gulf between them had been bridged.	He gave a long murmur of relief, of pity, of tenderness; it seemed to him that at last the gulf between them had been bridged.	true	418.34	426.46	20.107533
2056_143893_000030_000002	It was this that made him exclaim in a moment: "How unhappy you must be!"	It was this that made him exclaim in a moment: "How unhappy you must be!"	true	426.53	431.805	29.133646
2056_143893_000031_000000	He had no sooner spoken than she recovered her self-possession, and the first use she made of it was to pretend she had not heard him.	He had no sooner spoken than she recovered her self possession, and the first use she made of it was to pretend she had not heard him.	true	431.805	439.575	26.267727
2056_143893_000031_000001	"When I talk of your helping me I talk great nonsense," she said with a quick smile.	"When I talk of your helping me I talk great nonsense," she said with a quick smile.	true	439.575	444.25	25.976118
2056_143893_000031_000002	"The idea of my troubling you with my domestic embarrassments! The matter's very simple; Lord Warburton must get on by himself.	"The idea of my troubling you with my domestic embarrassments! The matter's very simple; Lord Warburton must get on by himself.	true	444.26	451.845	23.759232
2056_143893_000031_000003	I can't undertake to see him through."	I can't undertake to see him through."	true	451.845	454	28.895658
2056_143893_000032_000000	"He ought to succeed easily," said Ralph.	"He ought to succeed easily," said Ralph.	true	454.19	456.97	23.23394
2056_143893_000033_000000	Isabel debated.	Isabel debated.	true	457.4	458.83	24.2689
2056_143893_000033_000001	"Yes--but he has not always succeeded."	"Yes-but he has not always succeeded."	true	458.96	462.16	25.463272
2056_143893_000034_000000	"Very true.	"Very true.	true	462.5	463.66	28.860737
2056_143893_000034_000001	You know, however, how that always surprised me.	You know, however, how that always surprised me.	true	463.82	466.66	22.25658
2056_143893_000034_000002	Is Miss Osmond capable of giving us a surprise?"	Is Miss Osmond capable of giving us a surprise?"	true	466.91	469.93	23.963804
2056_143893_000035_000000	"It will come from him, rather.	"It will come from him, rather.	true	470.45	472.09	23.714754
2056_143893_000035_000001	I seem to see that after all he'll let the matter drop."	I seem to see that after all he'll let the matter drop."	true	472.22	475.42	26.026691
2056_143893_000036_000000	"He'll do nothing dishonourable," said Ralph.	"He'll do nothing dishonourable," said Ralph.	true	475.76	478.51	25.074842
2056_143893_000037_000000	"I'm very sure of that.	"I'm very sure of that.	true	478.55	480.135	15.592029
2056_143893_000037_000001	Nothing can be more honourable than for him to leave the poor child alone.	Nothing can be more honourable than for him to leave the poor child alone.	true	480.135	484.69	18
2056_143893_000037_000002	She cares for another person, and it's cruel to attempt to bribe her by magnificent offers to give him up."	She cares for another person, and it's cruel to attempt to bribe her by magnificent offers to give him up."	true	484.79	491.505	25.013361
2056_143893_000038_000000	"Cruel to the other person perhaps--the one she cares for.	"Cruel to the other person perhaps-the one she cares for.	true	491.505	494.74	27.10141
2056_143893_000038_000001	But Warburton isn't obliged to mind that."	But Warburton isn't obliged to mind that."	true	494.99	497.71	25.753672
2056_143893_000039_000000	"No, cruel to her," said Isabel.	"No, cruel to her," said Isabel.	true	497.87	501.03	22.817839
2056_143893_000039_000001	"She would be very unhappy if she were to allow herself to be persuaded to desert poor Mr. Rosier.	"She would be very unhappy if she were to allow herself to be persuaded to desert poor mr Rosier.	true	501.03	506.83	14
2056_143893_000039_000002	That idea seems to amuse you; of course you're not in love with him.	That idea seems to amuse you; of course you're not in love with him.	false	507.23	511.24	22.655823
2056_143893_000039_000003	He has the merit--for Pansy--of being in love with Pansy.	He has the merit-for Pansy-of being in love with Pansy.	true	511.55	516.525	24.293644
2056_143893_000039_000004	She can see at a glance that Lord Warburton isn't."	She can see at a glance that Lord Warburton isn't."	true	516.525	519.6	22.011145
2056_143893_000040_000000	"He'd be very good to her," said Ralph.	"He'd be very good to her," said Ralph.	false	519.6	522.88	25.003351
2056_143893_000041_000000	"He has been good to her already.	"He has been good to her already.	true	523.31	525.01	26.485308
2056_143893_000041_000001	Fortunately, however, he has not said a word to disturb her.	Fortunately, however, he has not said a word to disturb her.	true	525.26	528.73	24.494894
2056_143893_000041_000002	He could come and bid her good-bye to-morrow with perfect propriety."	He could come and bid her good bye to morrow with perfect propriety."	false	528.98	532.51	28.505064
2056_143893_000042_000000	"How would your husband like that?"	"How would your husband like that?"	true	533.03	535.12	27.086876
2056_143893_000043_000000	"Not at all; and he may be right in not liking it.	"Not at all; and he may be right in not liking it.	true	535.58	538.87	24.843815
2056_143893_000043_000001	Only he must obtain satisfaction himself."	Only he must obtain satisfaction himself."	true	538.88	542.49	21.233732
2056_143893_000044_000000	"Has he commissioned you to obtain it?" Ralph ventured to ask.	"Has he commissioned you to obtain it?" Ralph ventured to ask.	true	542.49	546.37	25.808584
2056_143893_000045_000000	"It was natural that as an old friend of Lord Warburton's--an older friend, that is, than Gilbert--I should take an interest in his intentions."	"It was natural that as an old friend of Lord Warburton's-an older friend, that is, than Gilbert-I should take an interest in his intentions."	true	546.56	554.65	22.51563
2056_143893_000046_000000	"Take an interest in his renouncing them, you mean?"	"Take an interest in his renouncing them, you mean?"	true	555.11	557.77	21.857937
2056_143893_000047_000000	Isabel hesitated, frowning a little.	Isabel hesitated, frowning a little.	true	558.11	560.38	24.955395
2056_143893_000047_000001	"Let me understand.	"Let me understand.	true	560.9	562.36	26.360355
2056_143893_000047_000002	Are you pleading his cause?"	Are you pleading his cause?"	true	562.37	564.43	29.523085
2056_143893_000048_000000	"Not in the least.	"Not in the least.	true	564.71	566.02	24.56634
2056_143893_000048_000001	I'm very glad he shouldn't become your stepdaughter's husband.	I'm very glad he shouldn't become your stepdaughter's husband.	true	566.18	569.2	20.831762
2056_143893_000048_000002	It makes such a very queer relation to you!" said Ralph, smiling.	It makes such a very queer relation to you!" said Ralph, smiling.	true	569.45	573.88	22.13962
2056_143893_000048_000003	"But I'm rather nervous lest your husband should think you haven't pushed him enough."	"But I'm rather nervous lest your husband should think you haven't pushed him enough."	true	574.19	578.77	21.943527
2056_143893_000049_000000	Isabel found herself able to smile as well as he.	Isabel found herself able to smile as well as he.	true	579.14	582.16	23.488024
2056_143893_000049_000001	"He knows me well enough not to have expected me to push.	"He knows me well enough not to have expected me to push.	true	582.68	586.2	21.332163
2056_143893_000049_000002	He himself has no intention of pushing, I presume.	He himself has no intention of pushing, I presume.	false	586.2	589.09	27.517235
2056_143893_000049_000003	I'm not afraid I shall not be able to justify myself!" she said lightly.	I'm not afraid I shall not be able to justify myself!" she said lightly.	true	589.28	593.92	27.207638
2056_143893_000050_000000	Her mask had dropped for an instant, but she had put it on again, to Ralph's infinite disappointment.	Her mask had dropped for an instant, but she had put it on again, to Ralph's infinite disappointment.	true	594.29	600.27	28.094633
2056_143893_000050_000001	He had caught a glimpse of her natural face and he wished immensely to look into it.	He had caught a glimpse of her natural face and he wished immensely to look into it.	false	600.27	605.64	25.533659
2056_143893_000050_000002	He had an almost savage desire to hear her complain of her husband--hear her say that she should be held accountable for Lord Warburton's defection.	He had an almost savage desire to hear her complain of her husband-hear her say that she should be held accountable for Lord Warburton's defection.	false	605.64	615.165	22.844835
2056_143893_000050_000003	Ralph was certain that this was her situation; he knew by instinct, in advance, the form that in such an event Osmond's displeasure would take.	Ralph was certain that this was her situation; he knew by instinct, in advance, the form that in such an event Osmond's displeasure would take.	true	615.165	624.55	25.820036
2056_143893_000050_000004	It could only take the meanest and cruellest.	It could only take the meanest and cruellest.	true	624.74	627.76	25.827465
2056_143893_000050_000005	He would have liked to warn Isabel of it--to let her see at least how he judged for her and how he knew.	He would have liked to warn Isabel of it-to let her see at least how he judged for her and how he knew.	true	627.89	634.09	24.428656
2056_143893_000050_000006	It little mattered that Isabel would know much better; it was for his own satisfaction more than for hers that he longed to show her he was not deceived.	It little mattered that Isabel would know much better; it was for his own satisfaction more than for hers that he longed to show her he was not deceived.	true	634.1	643.3	23.034666
2056_143893_000050_000007	He tried and tried again to make her betray Osmond; he felt cold-blooded, cruel, dishonourable almost, in doing so.	He tried and tried again to make her betray Osmond; he felt cold blooded, cruel, dishonourable almost, in doing so.	true	643.34	651.19	22.769953
2056_143893_000050_000008	But it scarcely mattered, for he only failed.	But it scarcely mattered, for he only failed.	true	651.65	654.79	26.551964
2056_143893_000050_000009	What had she come for then, and why did she seem almost to offer him a chance to violate their tacit convention? Why did she ask him his advice if she gave him no liberty to answer her? How could they talk of her domestic embarrassments, as it pleased her humorously to designate them, if the principal factor was not to be mentioned?	What had she come for then, and why did she seem almost to offer him a chance to violate their tacit convention? Why did she ask him his advice if she gave him no liberty to answer her? How could they talk of her domestic embarrassments, as it pleased her humorously to designate them, if the principal factor was not to be mentioned?	true	654.98	675.52	26.147139
2056_143893_000050_000010	These contradictions were themselves but an indication of her trouble, and her cry for help, just before, was the only thing he was bound to consider.	These contradictions were themselves but an indication of her trouble, and her cry for help, just before, was the only thing he was bound to consider.	true	676.16	685.62	25.314932
2056_143893_000050_000011	"You'll be decidedly at variance, all the same," he said in a moment.	"You'll be decidedly at variance, all the same," he said in a moment.	true	685.62	689.5	23.455172
2056_143893_000050_000012	And as she answered nothing, looking as if she scarce understood, "You'll find yourselves thinking very differently," he continued.	And as she answered nothing, looking as if she scarce understood, "You'll find yourselves thinking very differently," he continued.	true	689.63	697.63	23.111597
2056_143893_000051_000000	"That may easily happen, among the most united couples!" She took up her parasol; he saw she was nervous, afraid of what he might say.	"That may easily happen, among the most united couples!" She took up her parasol; he saw she was nervous, afraid of what he might say.	true	698.36	707.23	23.789995
2056_143893_000051_000001	"It's a matter we can hardly quarrel about, however," she added; "for almost all the interest is on his side.	"It's a matter we can hardly quarrel about, however," she added; "for almost all the interest is on his side.	true	707.54	713.52	22.160112
2056_143893_000051_000002	That's very natural.	That's very natural.	true	713.52	714.79	27.632174
2056_143893_000051_000003	Pansy's after all his daughter--not mine." And she put out her hand to wish him goodbye.	Pansy's after all his daughter-not mine." And she put out her hand to wish him goodbye.	true	714.83	720.25	23.794186
2056_143893_000052_000000	Ralph took an inward resolution that she shouldn't leave him without his letting her know that he knew everything: it seemed too great an opportunity to lose.	Ralph took an inward resolution that she shouldn't leave him without his letting her know that he knew everything: it seemed too great an opportunity to lose.	true	720.5	730	22.509405
2056_143893_000052_000001	"Do you know what his interest will make him say?" he asked as he took her hand.	"Do you know what his interest will make him say?" he asked as he took her hand.	true	730.34	734.65	22.488302
2056_143893_000052_000002	She shook her head, rather dryly--not discouragingly--and he went on.	She shook her head, rather dryly-not discouragingly-and he went on.	true	734.81	739	21.42028
2056_143893_000052_000003	"It will make him say that your want of zeal is owing to jealousy." He stopped a moment; her face made him afraid.	"It will make him say that your want of zeal is owing to jealousy." He stopped a moment; her face made him afraid.	true	739.22	746.17	25.201002
2056_143893_000053_000000	"To jealousy?"	"To jealousy?"	true	746.33	747.64	25.29491
2056_143893_000054_000000	"To jealousy of his daughter."	"To jealousy of his daughter."	true	748.13	749.77	22.15645
2056_143893_000055_000000	She blushed red and threw back her head.	She blushed red and threw back her head.	true	750.08	752.41	26.485868
2056_143893_000055_000001	"You're not kind," she said in a voice that he had never heard on her lips.	"You're not kind," she said in a voice that he had never heard on her lips.	true	752.63	757.33	26.561968
2056_143893_000056_000000	"Be frank with me and you'll see," he answered.	"Be frank with me and you'll see," he answered.	true	757.85	760.6	23.243135
2056_143893_000057_000000	But she made no reply; she only pulled her hand out of his own, which he tried still to hold, and rapidly withdrew from the room.	But she made no reply; she only pulled her hand out of his own, which he tried still to hold, and rapidly withdrew from the room.	true	760.94	769.39	26.522049
2056_143893_000057_000001	She made up her mind to speak to Pansy, and she took an occasion on the same day, going to the girl's room before dinner.	She made up her mind to speak to Pansy, and she took an occasion on the same day, going to the girl's room before dinner.	true	769.91	776.86	26.910448
2056_143893_000057_000002	Pansy was already dressed; she was always in advance of the time: it seemed to illustrate her pretty patience and the graceful stillness with which she could sit and wait. At present she was seated, in her fresh array, before the bed-room fire; she had blown out her candles on the completion of her toilet, in accordance with the economical habits in which she had been brought up sand which she was now more careful than ever to observe; so that the room was lighted only by a couple of logs.	Pansy was already dressed; she was always in advance of the time: it seemed to illustrate her pretty patience and the graceful stillness with which she could sit and wait. At present she was seated, in her fresh array, before the bed room fire; she had blown out her candles on the completion of her toilet, in accordance with the economical habits in which she had been brought up sand which she was now more careful than ever to observe; so that the room was lighted only by a couple of logs.	false	777.08	806.28	26.056295
2056_143893_000057_000003	The rooms in Palazzo Roccanera were as spacious as they were numerous, and Pansy's virginal bower was an immense chamber with a dark, heavily-timbered ceiling. Its diminutive mistress, in the midst of it, appeared but a speck of humanity, and as she got up, with quick deference, to welcome Isabel, the latter was more than ever struck with her shy sincerity.	The rooms in Palazzo Roccanera were as spacious as they were numerous, and Pansy's virginal bower was an immense chamber with a dark, heavily timbered ceiling. Its diminutive mistress, in the midst of it, appeared but a speck of humanity, and as she got up, with quick deference, to welcome Isabel, the latter was more than ever struck with her shy sincerity.	false	806.28	829.42	25.277655
2056_143893_000057_000004	Isabel had a difficult task--the only thing was to perform it as simply as possible.	Isabel had a difficult task-the only thing was to perform it as simply as possible.	true	829.91	835.03	26.374561
2056_143893_000057_000005	She felt bitter and angry, but she warned herself against betraying this heat.	She felt bitter and angry, but she warned herself against betraying this heat.	true	835.04	839.97	25.546284
2056_143893_000057_000006	She was afraid even of looking too grave, or at least too stern; she was afraid of causing alarm.	She was afraid even of looking too grave, or at least too stern; she was afraid of causing alarm.	true	839.97	846.12	24.543514
2056_143893_000057_000007	Put Pansy seemed to have guessed she had come more or less as a confessor; for after she had moved the chair in which she had been sitting a little nearer to the fire and Isabel had taken her place in it, she kneeled down on a cushion in front of her, looking up and resting her clasped hands on her stepmother's knees.	Put Pansy seemed to have guessed she had come more or less as a confessor; for after she had moved the chair in which she had been sitting a little nearer to the fire and Isabel had taken her place in it, she kneeled down on a cushion in front of her, looking up and resting her clasped hands on her stepmother's knees.	false	846.12	863.83	27.448164
2056_143893_000057_000008	What Isabel wished to do was to hear from her own lips that her mind was not occupied with Lord Warburton; but if she desired the assurance she felt herself by no means at liberty to provoke it.	What Isabel wished to do was to hear from her own lips that her mind was not occupied with Lord Warburton; but if she desired the assurance she felt herself by no means at liberty to provoke it.	true	864.2	876.07	24.816427
2056_143893_000057_000009	The girl's father would have qualified this as rank treachery; and indeed Isabel knew that if Pansy should display the smallest germ of a disposition to encourage Lord Warburton her own duty was to hold her tongue.	The girl's father would have qualified this as rank treachery; and indeed Isabel knew that if Pansy should display the smallest germ of a disposition to encourage Lord Warburton her own duty was to hold her tongue.	true	876.08	890.1	25.061525
2056_143893_000057_000010	It was difficult to interrogate without appearing to suggest; Pansy's supreme simplicity, an innocence even more complete than Isabel had yet judged it, gave to the most tentative enquiry something of the effect of an admonition.	It was difficult to interrogate without appearing to suggest; Pansy's supreme simplicity, an innocence even more complete than Isabel had yet judged it, gave to the most tentative enquiry something of the effect of an admonition.	true	890.1	904.36	26.367487
2056_143893_000057_000011	As she knelt there in the vague firelight, with her pretty dress dimly shining, her hands folded half in appeal and half in submission, her soft eyes, raised and fixed, full of the seriousness of the situation, she looked to Isabel like a childish martyr decked out for sacrifice and scarcely presuming even to hope to avert it.	As she knelt there in the vague firelight, with her pretty dress dimly shining, her hands folded half in appeal and half in submission, her soft eyes, raised and fixed, full of the seriousness of the situation, she looked to Isabel like a childish martyr decked out for sacrifice and scarcely presuming even to hope to avert it.	true	904.76	925.81	26.777464
