8011_280922_000000_000000	It was the second day in Easter week.	It was the second day in Easter week.	true	28.8	31.08	24.526628
8011_280922_000001_000015	To get mushrooms one had to go to the birch wood, and I was about to set off there.	To get mushrooms one had to go to the birch wood, and I was about to set off there.	false	360.18	364.38	27.978045
8011_280922_000001_000016	And there was nothing in the world that I loved so much as the wood with its mushrooms and wild berries, with its beetles and its birds, its hedgehogs and squirrels, with its damp smell of dead leaves which I loved so much, and even as I write I smell the fragrance of our birch wood: these impressions will remain for my whole life.	And there was nothing in the world that I loved so much as the wood with its mushrooms and wild berries, with its beetles and its birds, its hedgehogs and squirrels, with its damp smell of dead leaves which I loved so much, and even as I write I smell the fragrance of our birch wood: these impressions will remain for my whole life.	false	364.38	382.87	24.857042
8011_280922_000001_000017	Suddenly in the midst of the profound stillness I heard a clear and distinct shout, "Wolf!" I shrieked and, beside myself with terror, calling out at the top of my voice, ran out into the clearing and straight to the peasant who was ploughing.	Suddenly in the midst of the profound stillness I heard a clear and distinct shout, "Wolf!" I shrieked and, beside myself with terror, calling out at the top of my voice, ran out into the clearing and straight to the peasant who was ploughing.	false	382.94	396.82	26.182497
8011_280922_000002_000000	It was our peasant Marey.	It was our peasant Marey.	true	397.04	398.5	27.026138
8011_280922_000002_000001	I don't know if there is such a name, but every one called him Marey--a thick-set, rather well-grown peasant of fifty, with a good many grey hairs in his dark brown, spreading beard.	I don't know if there is such a name, but every one called him Marey-a thick set, rather well grown peasant of fifty, with a good many grey hairs in his dark brown, spreading beard.	true	398.69	408.91	25.74184
8011_280922_000002_000002	I knew him, but had scarcely ever happened to speak to him till then.	I knew him, but had scarcely ever happened to speak to him till then.	false	409.01	412.77	24.388578
8011_280922_000002_000003	He stopped his horse on hearing my cry, and when, breathless, I caught with one hand at his plough and with the other at his sleeve, he saw how frightened I was.	He stopped his horse on hearing my cry, and when, breathless, I caught with one hand at his plough and with the other at his sleeve, he saw how frightened I was.	true	412.77	422.77	24.498783
8011_280922_000003_000000	"There is a wolf!" I cried, panting.	"There is a wolf!" I cried, panting.	true	423.02	425.05	23.45031
8011_280922_000004_000000	He flung up his head, and could not help looking round for an instant, almost believing me.	He flung up his head, and could not help looking round for an instant, almost believing me.	true	425.15	429.94	28.172474
8011_280922_000005_000000	"Where is the wolf?"	"Where is the wolf?"	true	430.13	431.2	24.200655
8011_280922_000006_000000	"A shout ... some one shouted: 'wolf' ..." I faltered out.	"A shout ... some one shouted: 'wolf' ..." I faltered out.	true	431.42	434.35	24.623707
8011_280922_000007_000000	"Nonsense, nonsense!	"Nonsense, nonsense!	true	434.45	436.08	23.221159
8011_280922_000007_000001	A wolf?	A wolf?	true	436.08	436.755	24.439474
8011_280922_000007_000002	Why, it was your fancy!	Why, it was your fancy!	true	436.755	438.07	24.20397
8011_280922_000007_000003	How could there be a wolf?" he muttered, reassuring me.	How could there be a wolf?" he muttered, reassuring me.	true	438.2	440.83	25.176996
8011_280922_000007_000004	But I was trembling all over, and still kept tight hold of his smock frock, and I must have been quite pale.	But I was trembling all over, and still kept tight hold of his smock frock, and I must have been quite pale.	true	441.14	447.255	27.331928
8011_280922_000007_000005	He looked at me with an uneasy smile, evidently anxious and troubled over me.	He looked at me with an uneasy smile, evidently anxious and troubled over me.	true	447.255	451.92	24.919827
8011_280922_000008_000000	"Why, you have had a fright, _aie, aie_!" He shook his head.	"Why, you have had a fright, underscore aie, aie underscore!" He shook his head.	false	451.92	455.37	27.87702
8011_280922_000008_000001	"There, dear....	"There, dear....	true	455.37	456.195	26.442244
8011_280922_000008_000002	Come, little one, _aie_!"	Come, little one, underscore aie underscore!"	false	456.195	457.815	22.984068
8011_280922_000009_000000	He stretched out his hand, and all at once stroked my cheek.	He stretched out his hand, and all at once stroked my cheek.	true	457.815	460.87	23.466629
8011_280922_000010_000000	"Come, come, there; Christ be with you!	"Come, come, there; Christ be with you!	true	460.97	463.365	26.06004
8011_280922_000010_000001	Cross yourself!"	Cross yourself!"	true	463.365	464.59	23.92998
8011_280922_000011_000000	But I did not cross myself.	But I did not cross myself.	true	464.72	466.335	27.223896
8011_280922_000011_000001	The corners of my mouth were twitching, and I think that struck him particularly.	The corners of my mouth were twitching, and I think that struck him particularly.	true	466.335	470.23	27.669222
8011_280922_000011_000002	He put out his thick, black-nailed, earth-stained finger and softly touched my twitching lips.	He put out his thick, black nailed, earth stained finger and softly touched my twitching lips.	true	470.36	475.2	27.58079
8011_280922_000012_000000	"_Aie_, there, there," he said to me with a slow, almost motherly smile. "Dear, dear, what is the matter?	"underscore Aie underscore, there, there," he said to me with a slow, almost motherly smile. "Dear, dear, what is the matter?	false	475.2	481.65	23.070568
8011_280922_000012_000001	There; come, come!"	There; come, come!"	true	481.65	483.22	23.671135
8011_280922_000013_000000	I grasped at last that there was no wolf, and that the shout that I had heard was my fancy.	I grasped at last that there was no wolf, and that the shout that I had heard was my fancy.	false	483.35	488.11	27.819447
8011_280922_000013_000001	Yet that shout had been so clear and distinct, but such shouts (not only about wolves) I had imagined once or twice before, and I was aware of that. (These hallucinations passed away later as I grew older.)	Yet that shout had been so clear and distinct, but such shouts (not only about wolves) I had imagined once or twice before, and I was aware of that. (These hallucinations passed away later as I grew older.)	true	488.27	500.05	22.6379
8011_280922_000014_000000	"Well, I will go then," I said, looking at him timidly and inquiringly.	"Well, I will go then," I said, looking at him timidly and inquiringly.	true	500.27	505.36	24.647667
8011_280922_000015_000000	"Well, do, and I'll keep watch on you as you go.	"Well, do, and I'll keep watch on you as you go.	true	505.43	508.57	23.668741
8011_280922_000015_000001	I won't let the wolf get at you," he added, still smiling at me with the same motherly expression. "Well, Christ be with you!	I won't let the wolf get at you," he added, still smiling at me with the same motherly expression. "Well, Christ be with you!	false	508.7	516.855	26.895939
8011_280922_000015_000002	Come, run along then," and he made the sign of the cross over me and then over himself.	Come, run along then," and he made the sign of the cross over me and then over himself.	true	516.855	522.19	22.245464
8011_280922_000015_000003	I walked away, looking back almost at every tenth step.	I walked away, looking back almost at every tenth step.	true	522.23	525.48	25.696733
8011_280922_000015_000004	Marey stood still with his mare as I walked away, and looked after me and nodded to me every time I looked round.	Marey stood still with his mare as I walked away, and looked after me and nodded to me every time I looked round.	false	525.48	531.81	28.632044
8011_280922_000015_000005	I must own I felt a little ashamed at having let him see me so frightened, but I was still very much afraid of the wolf as I walked away, until I reached the first barn half-way up the slope of the ravine; there my fright vanished completely, and all at once our yard-dog Voltchok flew to meet me.	I must own I felt a little ashamed at having let him see me so frightened, but I was still very much afraid of the wolf as I walked away, until I reached the first barn half-way up the slope of the ravine; there my fright vanished completely, and all at once our yard dog Voltchok flew to meet me.	false	531.81	548.35	23.751955
8011_280922_000015_000006	With Voltchok I felt quite safe, and I turned round to Marey for the last time; I could not see his face distinctly, but I felt that he was still nodding and smiling affectionately to me.	With Voltchok I felt quite safe, and I turned round to Marey for the last time; I could not see his face distinctly, but I felt that he was still nodding and smiling affectionately to me.	true	548.51	558.84	25.123447
8011_280922_000015_000007	I waved to him; he waved back to me and started his little mare.	I waved to him; he waved back to me and started his little mare.	false	558.84	563.02	25.344906
8011_280922_000015_000008	"Come up!" I heard his call in the distance again, and the little mare pulled at the plough again.	"Come up!" I heard his call in the distance again, and the little mare pulled at the plough again.	false	563.21	568.33	26.918089
8011_280922_000016_000000	All this I recalled all at once, I don't know why, but with extraordinary minuteness of detail.	All this I recalled all at once, I don't know why, but with extraordinary minuteness of detail.	true	568.67	574.065	25.07477
8011_280922_000016_000001	I suddenly roused myself and sat up on the platform-bed, and, I remember, found myself still smiling quietly at my memories.	I suddenly roused myself and sat up on the platform bed, and, I remember, found myself still smiling quietly at my memories.	true	574.065	581.2	25.746296
8011_280922_000016_000002	I brooded over them for another minute.	I brooded over them for another minute.	true	581.36	583.33	24.32812
8011_280922_000017_000000	When I got home that day I told no one of my "adventure" with Marey.	When I got home that day I told no one of my "adventure" with Marey.	true	583.7	587.35	22.321543
8011_280922_000017_000001	And indeed it was hardly an adventure.	And indeed it was hardly an adventure.	true	587.48	589.54	23.235783
8011_280922_000017_000002	And in fact I soon forgot Marey.	And in fact I soon forgot Marey.	true	589.61	591.67	25.494577
8011_280922_000017_000003	When I met him now and then afterwards, I never even spoke to him about the wolf or anything else; and all at once now, twenty years afterwards in Siberia, I remembered this meeting with such distinctness to the smallest detail.	When I met him now and then afterwards, I never even spoke to him about the wolf or anything else; and all at once now, twenty years afterwards in Siberia, I remembered this meeting with such distinctness to the smallest detail.	true	591.8	604.2	24.50046
8011_280922_000017_000004	So it must have lain hidden in my soul, though I knew nothing of it, and rose suddenly to my memory when it was wanted; I remembered the soft motherly smile of the poor serf, the way he signed me with the cross and shook his head.	So it must have lain hidden in my soul, though I knew nothing of it, and rose suddenly to my memory when it was wanted; I remembered the soft motherly smile of the poor serf, the way he signed me with the cross and shook his head.	false	604.2	616.62	23.638508
8011_280922_000017_000005	"There, there, you have had a fright, little one!" And I remembered particularly the thick earth-stained finger with which he softly and with timid tenderness touched my quivering lips.	"There, there, you have had a fright, little one!" And I remembered particularly the thick earth stained finger with which he softly and with timid tenderness touched my quivering lips.	true	616.62	626.05	24.19778
8011_280922_000017_000006	Of course any one would have reassured a child, but something quite different seemed to have happened in that solitary meeting; and if I had been his own son, he could not have looked at me with eyes shining with greater love.	Of course any one would have reassured a child, but something quite different seemed to have happened in that solitary meeting; and if I had been his own son, he could not have looked at me with eyes shining with greater love.	true	626.09	637.15	24.601686
8011_280922_000017_000007	And what made him like that?	And what made him like that?	true	637.28	638.68	23.184038
8011_280922_000017_000008	He was our serf and I was his little master, after all.	He was our serf and I was his little master, after all.	true	638.69	641.98	25.040636
8011_280922_000017_000009	No one would know that he had been kind to me and reward him for it.	No one would know that he had been kind to me and reward him for it.	true	642.11	645.58	23.472042
8011_280922_000017_000010	Was he, perhaps, very fond of little children?	Was he, perhaps, very fond of little children?	true	645.71	648.1	26.757355
8011_280922_000017_000011	Some people are.	Some people are.	true	648.23	649.26	25.341108
8011_280922_000017_000012	It was a solitary meeting in the deserted fields, and only God, perhaps, may have seen from above with what deep and humane civilised feeling, and with what delicate, almost feminine tenderness, the heart of a coarse, brutally ignorant Russian serf, who had as yet no expectation, no idea even of his freedom, may be filled. Was not this, perhaps, what Konstantin Aksakov meant when he spoke of the high degree of culture of our peasantry?	It was a solitary meeting in the deserted fields, and only God, perhaps, may have seen from above with what deep and humane civilised feeling, and with what delicate, almost feminine tenderness, the heart of a coarse, brutally ignorant Russian serf, who had as yet no expectation, no idea even of his freedom, may be filled. Was not this, perhaps, what Konstantin Aksakov meant when he spoke of the high degree of culture of our peasantry?	false	649.26	674.74	25.268188
8011_280922_000018_000000	And when I got down off the bed and looked around me, I remember I suddenly felt that I could look at these unhappy creatures with quite different eyes, and that suddenly by some miracle all hatred and anger had vanished utterly from my heart.	And when I got down off the bed and looked around me, I remember I suddenly felt that I could look at these unhappy creatures with quite different eyes, and that suddenly by some miracle all hatred and anger had vanished utterly from my heart.	false	674.84	686.62	24.47012
8011_280922_000018_000001	I walked about, looking into the faces that I met. That shaven peasant, branded on his face as a criminal, bawling his hoarse, drunken song, may be that very Marey; I cannot look into his heart.	I walked about, looking into the faces that I met. That shaven peasant, branded on his face as a criminal, bawling his hoarse, drunken song, may be that very Marey; I cannot look into his heart.	true	686.63	697.75	24.555676
8011_280922_000019_000000	I met M. again that evening.	I met m again that evening.	true	697.76	699.495	23.563286
8011_280922_000019_000001	Poor fellow! he could have no memories of Russian peasants, and no other view of these people but: "_Je hais ces brigands!_" Yes, the Polish prisoners had more to bear than I.	Poor fellow! he could have no memories of Russian peasants, and no other view of these people but: "underscore Je hais c e s brigands!underscore" Yes, the Polish prisoners had more to bear than i	false	699.495	710.67	23.32115
8011_280922_000020_000000	THE CROCODILE	THE CROCODILE	false	710.67	710.88	-20
8011_280922_000021_000000	AN EXTRAORDINARY INCIDENT	AN EXTRAORDINARY INCIDENT	false	710.88	711.21	-20
8011_280922_000022_000000	_A true story of how a gentleman of a certain age and of respectable appearance was swallowed alive by the crocodile in the Arcade, and of the consequences that followed._	underscore A true story of how a gentleman of a certain age and of respectable appearance was swallowed alive by the crocodile in the Arcade, and of the consequences that followed.underscore	false	711.21	723.36	22.256874
