8011_280922_000000_000000	It was the second day in Easter week.	It was the second day in Easter week.
8011_280922_000001_000002	It would begin from some point, some little thing, at times unnoticed, and then by degrees there would rise up a complete picture, some vivid and complete impression.	It would begin from some point, some little thing, at times unnoticed, and then by degrees there would rise up a complete picture, some vivid and complete impression.
8011_280922_000001_000003	I used to analyse these impressions, give new features to what had happened long ago, and best of all, I used to correct it, correct it continually, that was my great amusement.	I used to analyse these impressions, give new features to what had happened long ago, and best of all, I used to correct it, correct it continually, that was my great amusement.
8011_280922_000001_000005	I remembered the month of August in our country house: a dry bright day but rather cold and windy; summer was waning and soon we should have to go to Moscow to be bored all the winter over French lessons, and I was so sorry to leave the country.	I remembered the month of August in our country house: a dry bright day but rather cold and windy; summer was waning and soon we should have to go to Moscow to be bored all the winter over French lessons, and I was so sorry to leave the country.
8011_280922_000001_000006	I walked past the threshing-floor and, going down the ravine, I went up to the dense thicket of bushes that covered the further side of the ravine as far as the copse.	I walked past the threshing floor and, going down the ravine, I went up to the dense thicket of bushes that covered the further side of the ravine as far as the copse.
8011_280922_000001_000007	And I plunged right into the midst of the bushes, and heard a peasant ploughing alone on the clearing about thirty paces away.	And I plunged right into the midst of the bushes, and heard a peasant ploughing alone on the clearing about thirty paces away.
8011_280922_000001_000008	I knew that he was ploughing up the steep hill and the horse was moving with effort, and from time to time the peasant's call "come up!" floated upwards to me.	I knew that he was ploughing up the steep hill and the horse was moving with effort, and from time to time the peasant's call "come up!" floated upwards to me.
8011_280922_000001_000009	I knew almost all our peasants, but I did not know which it was ploughing now, and I did not care who it was, I was absorbed in my own affairs.	I knew almost all our peasants, but I did not know which it was ploughing now, and I did not care who it was, I was absorbed in my own affairs.
8011_280922_000001_000010	I was busy, too; I was breaking off switches from the nut trees to whip the frogs with.	I was busy, too; I was breaking off switches from the nut trees to whip the frogs with.
8011_280922_000001_000011	Nut sticks make such fine whips, but they do not last; while birch twigs are just the opposite.	Nut sticks make such fine whips, but they do not last; while birch twigs are just the opposite.
8011_280922_000001_000012	I was interested, too, in beetles and other insects; I used to collect them, some were very ornamental.	I was interested, too, in beetles and other insects; I used to collect them, some were very ornamental.
8011_280922_000001_000014	There were not many mushrooms there.	There were not many mushrooms there.
8011_280922_000002_000000	It was our peasant Marey.	It was our peasant Marey.
8011_280922_000002_000001	I don't know if there is such a name, but every one called him Marey--a thick-set, rather well-grown peasant of fifty, with a good many grey hairs in his dark brown, spreading beard.	I don't know if there is such a name, but every one called him Marey-a thick set, rather well grown peasant of fifty, with a good many grey hairs in his dark brown, spreading beard.
8011_280922_000002_000003	He stopped his horse on hearing my cry, and when, breathless, I caught with one hand at his plough and with the other at his sleeve, he saw how frightened I was.	He stopped his horse on hearing my cry, and when, breathless, I caught with one hand at his plough and with the other at his sleeve, he saw how frightened I was.
8011_280922_000003_000000	"There is a wolf!" I cried, panting.	"There is a wolf!" I cried, panting.
8011_280922_000004_000000	He flung up his head, and could not help looking round for an instant, almost believing me.	He flung up his head, and could not help looking round for an instant, almost believing me.
8011_280922_000005_000000	"Where is the wolf?"	"Where is the wolf?"
8011_280922_000006_000000	"A shout ... some one shouted: 'wolf' ..." I faltered out.	"A shout ... some one shouted: 'wolf' ..." I faltered out.
8011_280922_000007_000000	"Nonsense, nonsense!	"Nonsense, nonsense!
8011_280922_000007_000001	A wolf?	A wolf?
8011_280922_000007_000002	Why, it was your fancy!	Why, it was your fancy!
8011_280922_000007_000003	How could there be a wolf?" he muttered, reassuring me.	How could there be a wolf?" he muttered, reassuring me.
8011_280922_000007_000004	But I was trembling all over, and still kept tight hold of his smock frock, and I must have been quite pale.	But I was trembling all over, and still kept tight hold of his smock frock, and I must have been quite pale.
8011_280922_000007_000005	He looked at me with an uneasy smile, evidently anxious and troubled over me.	He looked at me with an uneasy smile, evidently anxious and troubled over me.
8011_280922_000008_000001	"There, dear....	"There, dear....
8011_280922_000009_000000	He stretched out his hand, and all at once stroked my cheek.	He stretched out his hand, and all at once stroked my cheek.
8011_280922_000010_000000	"Come, come, there; Christ be with you!	"Come, come, there; Christ be with you!
8011_280922_000010_000001	Cross yourself!"	Cross yourself!"
8011_280922_000011_000000	But I did not cross myself.	But I did not cross myself.
8011_280922_000011_000001	The corners of my mouth were twitching, and I think that struck him particularly.	The corners of my mouth were twitching, and I think that struck him particularly.
8011_280922_000011_000002	He put out his thick, black-nailed, earth-stained finger and softly touched my twitching lips.	He put out his thick, black nailed, earth stained finger and softly touched my twitching lips.
8011_280922_000012_000001	There; come, come!"	There; come, come!"
8011_280922_000013_000001	Yet that shout had been so clear and distinct, but such shouts (not only about wolves) I had imagined once or twice before, and I was aware of that. (These hallucinations passed away later as I grew older.)	Yet that shout had been so clear and distinct, but such shouts (not only about wolves) I had imagined once or twice before, and I was aware of that. (These hallucinations passed away later as I grew older.)
8011_280922_000014_000000	"Well, I will go then," I said, looking at him timidly and inquiringly.	"Well, I will go then," I said, looking at him timidly and inquiringly.
8011_280922_000015_000000	"Well, do, and I'll keep watch on you as you go.	"Well, do, and I'll keep watch on you as you go.
8011_280922_000015_000002	Come, run along then," and he made the sign of the cross over me and then over himself.	Come, run along then," and he made the sign of the cross over me and then over himself.
8011_280922_000015_000003	I walked away, looking back almost at every tenth step.	I walked away, looking back almost at every tenth step.
8011_280922_000015_000006	With Voltchok I felt quite safe, and I turned round to Marey for the last time; I could not see his face distinctly, but I felt that he was still nodding and smiling affectionately to me.	With Voltchok I felt quite safe, and I turned round to Marey for the last time; I could not see his face distinctly, but I felt that he was still nodding and smiling affectionately to me.
8011_280922_000016_000000	All this I recalled all at once, I don't know why, but with extraordinary minuteness of detail.	All this I recalled all at once, I don't know why, but with extraordinary minuteness of detail.
8011_280922_000016_000001	I suddenly roused myself and sat up on the platform-bed, and, I remember, found myself still smiling quietly at my memories.	I suddenly roused myself and sat up on the platform bed, and, I remember, found myself still smiling quietly at my memories.
8011_280922_000016_000002	I brooded over them for another minute.	I brooded over them for another minute.
8011_280922_000017_000000	When I got home that day I told no one of my "adventure" with Marey.	When I got home that day I told no one of my "adventure" with Marey.
8011_280922_000017_000001	And indeed it was hardly an adventure.	And indeed it was hardly an adventure.
8011_280922_000017_000002	And in fact I soon forgot Marey.	And in fact I soon forgot Marey.
8011_280922_000017_000003	When I met him now and then afterwards, I never even spoke to him about the wolf or anything else; and all at once now, twenty years afterwards in Siberia, I remembered this meeting with such distinctness to the smallest detail.	When I met him now and then afterwards, I never even spoke to him about the wolf or anything else; and all at once now, twenty years afterwards in Siberia, I remembered this meeting with such distinctness to the smallest detail.
8011_280922_000017_000005	"There, there, you have had a fright, little one!" And I remembered particularly the thick earth-stained finger with which he softly and with timid tenderness touched my quivering lips.	"There, there, you have had a fright, little one!" And I remembered particularly the thick earth stained finger with which he softly and with timid tenderness touched my quivering lips.
8011_280922_000017_000006	Of course any one would have reassured a child, but something quite different seemed to have happened in that solitary meeting; and if I had been his own son, he could not have looked at me with eyes shining with greater love.	Of course any one would have reassured a child, but something quite different seemed to have happened in that solitary meeting; and if I had been his own son, he could not have looked at me with eyes shining with greater love.
8011_280922_000017_000007	And what made him like that?	And what made him like that?
8011_280922_000017_000008	He was our serf and I was his little master, after all.	He was our serf and I was his little master, after all.
8011_280922_000017_000009	No one would know that he had been kind to me and reward him for it.	No one would know that he had been kind to me and reward him for it.
8011_280922_000017_000010	Was he, perhaps, very fond of little children?	Was he, perhaps, very fond of little children?
8011_280922_000017_000011	Some people are.	Some people are.
8011_280922_000018_000001	I walked about, looking into the faces that I met. That shaven peasant, branded on his face as a criminal, bawling his hoarse, drunken song, may be that very Marey; I cannot look into his heart.	I walked about, looking into the faces that I met. That shaven peasant, branded on his face as a criminal, bawling his hoarse, drunken song, may be that very Marey; I cannot look into his heart.
8011_280922_000019_000000	I met M. again that evening.	I met m again that evening.
