451_126826_000000_000000	CHAPTER XI.	CHAPTER eleven.
451_126826_000059_000000	Two cents more a week out of Cecily's egg money, meant something of a sacrifice.	Two cents more a week out of Cecily's egg money, meant something of a sacrifice.
451_126826_000059_000001	It inspired the rest of us.	It inspired the rest of us.
451_126826_000060_000002	I won't be able to give much.	I won't be able to give much.
451_126826_000060_000004	But I'll do the best I can.	But I'll do the best I can.
451_126826_000060_000006	Are there any Methodist heathen?	Are there any Methodist heathen?
451_126826_000060_000007	I s'pose I ought to give my box to them, rather than to Presbyterian heathen."	I s'pose I ought to give my box to them, rather than to Presbyterian heathen."
451_126826_000061_000000	"No, it's only after they're converted that they're anything in particular," said Felicity.	"No, it's only after they're converted that they're anything in particular," said Felicity.
451_126826_000061_000001	"Before that, they're just plain heathen. But if you want your money to go to a Methodist missionary you can give it to the Methodist minister at Markdale.	"Before that, they're just plain heathen. But if you want your money to go to a Methodist missionary you can give it to the Methodist minister at Markdale.
451_126826_000061_000002	I guess the Presbyterians can get along without it, and look after their own heathen."	I guess the Presbyterians can get along without it, and look after their own heathen."
451_126826_000062_000001	"Her roses are all out and that bed of Sweet William is a sight by daylight."	"Her roses are all out and that bed of Sweet William is a sight by daylight."
451_126826_000064_000000	"It wouldn't do," said Felicity decidedly.	"It wouldn't do," said Felicity decidedly.
451_126826_000064_000001	"You could see through it."	"You could see through it."
