8066_290047_000000_000000	That boy's whole life was changed; sober and sad he was ever after.	That boy's whole life was changed; sober and sad he was ever after.	false	0	1.71	23.262602
8066_290047_000010_000000	And Bess?	And Bess?	true	258.74	259.69	21.744081
8066_290047_000010_000001	Ah, where was Bess, the "little mother," who in that brief moment resigned herself to death?	Ah, where was Bess, the "little mother," who in that brief moment resigned herself to death?	true	260.39	266.71	23.38597
8066_290047_000010_000002	They found her later, floating on the water with her brave childish face turned to the sky; and as strong arms lifted her into the boat, the tears from every eye paid worthy tribute to the "little mother."	They found her later, floating on the water with her brave childish face turned to the sky; and as strong arms lifted her into the boat, the tears from every eye paid worthy tribute to the "little mother."	true	267.02	278.82	22.469404
8066_290047_000011_000000	--_Detroit Free Press_	--underscore Detroit Free Press underscore	false	278.82	285.39	20.254553
8066_290047_000012_000000	ROBBIE GOODMAN'S PRAYER	ROBBIE GOODMAN'S PRAYER	true	285.39	286.9	23.776949
8066_290047_000013_000000	"What can be the matter with Walter," thought Mama Ellis as she sat sewing in her pleasant sitting-room.	"What can be the matter with Walter," thought Mama Ellis as she sat sewing in her pleasant sitting room.	true	288.35	294.25	25.309082
8066_290047_000013_000001	"He came in so very quietly, closed the door gently and I think I even heard him go to the closet to hang up his books.	"He came in so very quietly, closed the door gently and I think I even heard him go to the closet to hang up his books.	true	294.59	301.06	23.112791
8066_290047_000013_000002	Oh! dear.	Oh! dear.	true	301.91	302.83	26.040464
8066_290047_000013_000003	I hope he isn't going to have another attack of 'Grippe,'" and Mrs. Ellis shivered as she glanced out at the snow-covered landscape.	I hope he isn't going to have another attack of 'Grippe,'" and mrs Ellis shivered as she glanced out at the snow covered landscape.	true	302.87	310.33	23.812368
8066_290047_000013_000004	As her eyes turned once more to the warm, luxurious room in which she was seated, the portieres were pushed aside and a little boy of ten years of age entered.	As her eyes turned once more to the warm, luxurious room in which she was seated, the portieres were pushed aside and a little boy of ten years of age entered.	true	310.7	319.15	18.739262
8066_290047_000013_000005	Little Walter was all that remained of four beautiful children, who, only a year ago, romped gaily through the large halls.	Little Walter was all that remained of four beautiful children, who, only a year ago, romped gaily through the large halls.	true	319.52	326.74	21.78651
8066_290047_000013_000006	That dread disease, diphtheria, had stolen the older brother and laughing little sisters in one short week's time, so that now, as the sad anniversary came near to hand, Mrs. Ellis' heart ached for her lost birdlings and yearned more jealously than ever over her remaining little one.	That dread disease, diphtheria, had stolen the older brother and laughing little sisters in one short week's time, so that now, as the sad anniversary came near to hand, mrs Ellis' heart ached for her lost birdlings and yearned more jealously than ever over her remaining little one.	true	327.35	345.82	21.023348
8066_290047_000013_000007	Today his usually merry face was very grave and he looked very thoughtful as he gave his mother her kiss and allowed himself to be drawn upon her lap.	Today his usually merry face was very grave and he looked very thoughtful as he gave his mother her kiss and allowed himself to be drawn upon her lap.	true	346.73	356.74	22.677826
8066_290047_000014_000000	"What ails mother's Pet?	"What ails mother's Pet?	false	357.62	359.02	21.929504
8066_290047_000014_000001	Is he sick?" she asked anxiously.	Is he sick?" she asked anxiously.	true	359.18	361.57	25.497478
8066_290047_000015_000000	"No, Mother dear, I'm not sick, but I feel so sad at heart.	"No, Mother dear, I'm not sick, but I feel so sad at heart.	true	362.81	366.84	24.035036
8066_290047_000015_000001	You see," he continued in answer to her questioning look, "Robbie Goodman and I always walk together going and coming from school, and I have noticed that he has never worn any overcoat this winter, but you know its been unusually warm and I thought perhaps his mother did not make him wrap up like you did me, but this morning it was so cold and he was just shivering, but he never had on any overcoat--just his mittens and muffler and cap were his wraps.	You see," he continued in answer to her questioning look, "Robbie Goodman and I always walk together going and coming from school, and I have noticed that he has never worn any overcoat this winter, but you know its been unusually warm and I thought perhaps his mother did not make him wrap up like you did me, but this morning it was so cold and he was just shivering, but he never had on any overcoat-just his mittens and muffler and cap were his wraps.	false	366.84	394.54	23.164938
8066_290047_000015_000002	Of course I noticed it, for nearly everyone else was all bundled up; but I didn't say anything as I did not want to be impolite.	Of course I noticed it, for nearly everyone else was all bundled up; but I didn't say anything as I did not want to be impolite.	true	395.12	402.28	21.788239
8066_290047_000015_000003	After awhile he said, 'My, I am so cold,' and I said: 'Where's your overcoat?' Then he told me it was too small and his papa can't buy him any this winter so he is afraid he will have to stop school.	After awhile he said, 'My, I am so cold,' and I said: 'Where's your overcoat?' Then he told me it was too small and his papa can't buy him any this winter so he is afraid he will have to stop school.	true	402.98	416.89	24.23567
8066_290047_000015_000004	His mama says she would cut his papa's up for him, only then he would not have any; and of course he must have one to wear when he goes to the chapel and to see sick people.	His mama says she would cut his papa's up for him, only then he would not have any; and of course he must have one to wear when he goes to the chapel and to see sick people.	false	417.32	428.77	22.04895
8066_290047_000015_000005	Even that one is thin and patched.	Even that one is thin and patched.	true	428.84	431.08	23.243536
8066_290047_000015_000006	He says he and his little sisters have been praying so hard for an overcoat for him and shoes for them, but they did not come at Christmas like they thought they would, and they are real discouraged.	He says he and his little sisters have been praying so hard for an overcoat for him and shoes for them, but they did not come at Christmas like they thought they would, and they are real discouraged.	false	431.39	441.94	22.101906
8066_290047_000016_000000	"Tonight, Mother," continued Walter, "he had an awful cold and coughed just like our Harry did last year," and the long pent up tears flowed from the child's eyes.	"Tonight, Mother," continued Walter, "he had an awful cold and coughed just like our Harry did last year," and the long pent up tears flowed from the child's eyes.	true	442.97	453.46	24.37556
8066_290047_000016_000001	As mother and son dried their tears, the child looked up with perfect confidence as he said, "The Lord will answer Robbie's prayer, won't he.	As mother and son dried their tears, the child looked up with perfect confidence as he said, "The Lord will answer Robbie's prayer, won't he.	true	453.86	460.95	22.104027
8066_290047_000016_000002	Mama?"	Mama?"	true	460.95	461.61	23.889591
8066_290047_000017_000000	[Illustration]	[Illustration]	false	461.61	462.48	-20
8066_290047_000018_000000	"Yes darling," said Mrs. Ellis; and sent the child off to the play room.	"Yes darling," said mrs Ellis; and sent the child off to the play room.	true	462.48	468.25	24.398294
8066_290047_000019_000000	"By the way, my dear," remarked Mrs. Ellis as they sat chatting at the tea-table after Walter had retired, "what has become of that preacher Goodman who preached for us once on trial?"	"By the way, my dear," remarked mrs Ellis as they sat chatting at the tea table after Walter had retired, "what has become of that preacher Goodman who preached for us once on trial?"	true	469.16	479.98	21.20652
8066_290047_000020_000000	"Oh, he has a mission down on the other side of the city, but he lives on this side as Moore gives him the house rent free.	"Oh, he has a mission down on the other side of the city, but he lives on this side as Moore gives him the house rent free.	true	481.22	488.53	19.500359
8066_290047_000020_000001	I met him the other day.	I met him the other day.	true	488.66	489.99	18.079453
8066_290047_000020_000002	He looked very needy.	He looked very needy.	true	489.99	491.44	20.522139
8066_290047_000020_000003	The man had wonderful talents and might have a rich congregation and improve himself; but he is persistent in his ideas concerning this holiness movement, and of course a large church like ours wants something to attract and interest instead of such egotistical discourses.	The man had wonderful talents and might have a rich congregation and improve himself; but he is persistent in his ideas concerning this holiness movement, and of course a large church like ours wants something to attract and interest instead of such egotistical discourses.	true	491.81	506.44	21.951445
8066_290047_000020_000004	I, for one, go to sleep under them." And Mr. Ellis drew himself up with a pompous air as he went into the library, whither his wife presently followed.	I, for one, go to sleep under them." And mr Ellis drew himself up with a pompous air as he went into the library, whither his wife presently followed.	true	506.9	516.4	23.301851
8066_290047_000021_000000	He had picked up a newspaper and was apparently absorbed, but Mrs. Ellis had not had her say, so she continued "Walter was telling me about the little boy.	He had picked up a newspaper and was apparently absorbed, but mrs Ellis had not had her say, so she continued "Walter was telling me about the little boy.	true	517.43	527.04	21.016523
8066_290047_000021_000001	He--"	He-"	false	527.04	527.49	-20
8066_290047_000022_000000	"Oh, yes," interrupted her husband, "he met me in the hall and poured out the whole story.	"Oh, yes," interrupted her husband, "he met me in the hall and poured out the whole story.	true	527.49	533.16	21.555504
8066_290047_000022_000001	The child's nerves were all wrought up, too.	The child's nerves were all wrought up, too.	true	533.16	535.66	22.369574
8066_290047_000022_000002	He should not be allowed to worry over such things.	He should not be allowed to worry over such things.	true	535.82	538.39	17.15736
8066_290047_000022_000003	He wants me to give up buying him the fur-trimmed overcoat and get a coat and shoes for Goodman's children, as they were praying so hard for them, but I have enough to do without clothing other people's children.	He wants me to give up buying him the fur trimmed overcoat and get a coat and shoes for Goodman's children, as they were praying so hard for them, but I have enough to do without clothing other people's children.	true	538.52	549.01	23.623785
8066_290047_000022_000004	If Goodman would quit his cranky notions and use his talents for people who could understand him, instead of preaching to those ragamuffins he might now be receiving a magnificent salary and clothing himself and family decently."	If Goodman would quit his cranky notions and use his talents for people who could understand him, instead of preaching to those ragamuffins he might now be receiving a magnificent salary and clothing himself and family decently."	false	549.53	562.15	23.01648
8066_290047_000023_000000	"But Paul," said Mrs. Ellis, "Surely you would not have Mr. Goodman sacrifice his convictions simply for money and praise, when you yourself, are convinced that his doctrines are sound?	"But Paul," said mrs Ellis, "Surely you would not have mr Goodman sacrifice his convictions simply for money and praise, when you yourself, are convinced that his doctrines are sound?	true	563.39	573.31	24.491953
8066_290047_000023_000001	Besides he must be doing a good work down among the poor classes of the city as it appears the rich don't want him."	Besides he must be doing a good work down among the poor classes of the city as it appears the rich don't want him."	true	573.8	579.9	23.42164
8066_290047_000024_000000	"Then let the poor give enough to keep him."	"Then let the poor give enough to keep him."	false	579.9	583.87	18.572016
8066_290047_000025_000000	"They do give far beyond their means but the Lord calls on such as us to give.	"They do give far beyond their means but the Lord calls on such as us to give.	true	584.69	589.45	22.765923
8066_290047_000025_000001	I know it has been an unusually hard year but the Lord has blessed us and He will hold us to an account.	I know it has been an unusually hard year but the Lord has blessed us and He will hold us to an account.	true	589.52	595.33	21.677757
8066_290047_000025_000002	I feel very sad as the anniversary of our darlings' departure draws near and I dread to think of any little ones suffering while we could so easily help them."	I feel very sad as the anniversary of our darlings' departure draws near and I dread to think of any little ones suffering while we could so easily help them."	true	595.46	603.49	22.943056
8066_290047_000026_000000	"I don't see how you can feel that we have been so blessed.	"I don't see how you can feel that we have been so blessed.	true	604.4	607.06	19.25221
8066_290047_000026_000001	When the house is so quiet and I think of those white graves in the cemetery I confess I feel very bitter."	When the house is so quiet and I think of those white graves in the cemetery I confess I feel very bitter."	true	607.28	613.87	20.424805
8066_290047_000027_000000	"Paul, my dear husband, don't feel that way.	"Paul, my dear husband, don't feel that way.	true	614.93	617.5	27.653963
8066_290047_000027_000001	Just think of our three treasures in heaven, an added claim to that glorious realm, away from this cold and suffering.	Just think of our three treasures in heaven, an added claim to that glorious realm, away from this cold and suffering.	false	617.78	625.185	25.491295
8066_290047_000027_000002	Remember also that we have one left, to live for, to train.	Remember also that we have one left, to live for, to train.	true	625.185	629.29	23.121605
8066_290047_000027_000003	And, Paul, let us train him for the Master and in such a way that we may never have the feeling that it were better if he, too, had departed when he was pure and innocent.	And, Paul, let us train him for the Master and in such a way that we may never have the feeling that it were better if he, too, had departed when he was pure and innocent.	true	629.54	638.74	23.983208
8066_290047_000027_000004	Let us encourage benevolence and gentleness and if he wishes to go without the fur-trimmed coat, why not do as he asks?" Mrs. Ellis kissed her husband and quietly left the room.	Let us encourage benevolence and gentleness and if he wishes to go without the fur trimmed coat, why not do as he asks?" mrs Ellis kissed her husband and quietly left the room.	true	639.59	651.46	22.70145
8066_290047_000028_000000	Long and late, Paul Ellis sat there and many things, ghosts of the past, rose before him.	Long and late, Paul Ellis sat there and many things, ghosts of the past, rose before him.	true	652.79	658.99	22.604479
8066_290047_000028_000001	As the midnight chimes rang out he knelt and prayed. "Oh, Lord, forgive me.	As the midnight chimes rang out he knelt and prayed. "Oh, Lord, forgive me.	true	659.27	665.71	21.287619
8066_290047_000028_000002	I have gone astray and turned to my own way.	I have gone astray and turned to my own way.	true	665.84	668.59	18.866947
8066_290047_000028_000003	I have been prejudiced.	I have been prejudiced.	true	668.63	670.06	21.853386
8066_290047_000028_000004	It was my influence which turned the tide against Robert Goodman.	It was my influence which turned the tide against Robert Goodman.	true	670.55	673.99	23.63838
8066_290047_000028_000005	Thou knowest.	Thou knowest.	true	674.36	675.79	18.849476
8066_290047_000028_000006	Now, if Thou wilt only forgive and help me I will walk in the light as Thou sendest it, even consenting to be called a 'holiness crank.'"	Now, if Thou wilt only forgive and help me I will walk in the light as Thou sendest it, even consenting to be called a 'holiness crank.'"	true	675.92	683.64	24.822163
8066_290047_000029_000000	[Illustration: ]	[Illustration: ]	false	683.64	684.84	-20
8066_290047_000030_000000	A few days afterward Robert Goodman received a large package from an unknown friend containing a warm overcoat and three pairs of shoes.	A few days afterward Robert Goodman received a large package from an unknown friend containing a warm overcoat and three pairs of shoes.	true	684.84	693.01	23.359762
8066_290047_000030_000001	His father also received a present.	His father also received a present.	true	693.35	695.65	21.191652
8066_290047_000030_000002	It came through the mail and was an honest confession of a wrong done him, also a check for one hundred dollars.	It came through the mail and was an honest confession of a wrong done him, also a check for one hundred dollars.	true	695.93	702.46	20.411587
8066_290047_000030_000003	One year later this church gave a unanimous call to Brother Goodman and the revival which broke out that winter was unprecedented in the annals of that church.	One year later this church gave a unanimous call to Brother Goodman and the revival which broke out that winter was unprecedented in the annals of that church.	true	702.5	711.16	22.110844
8066_290047_000030_000004	Verily, "A little child shall lead them."	Verily, "A little child shall lead them."	false	711.29	737.64	19.937813
