2999_156967_000000_000000	(2) Mrs. Ballington Booth's Work for Released Prisoners.	(two) mrs Ballington Booth's Work for Released Prisoners.	false	0	3.6	21.286606
2999_156967_000017_000000	THE TWO BIBLICAL ACCOUNTS OF THE FLOOD.	THE TWO BIBLICAL ACCOUNTS OF THE FLOOD.	true	195.75	198.49	20.114517
2999_156967_000018_000000	Careful readers of Genesis 6-9 have long recognized certain difficulties in interpreting the narrative as it now stands.	Careful readers of genesis chapters six to nine have long recognized certain difficulties in interpreting the narrative as it now stands.	false	199.07	207.21	21.103888
2999_156967_000018_000001	Thus, for example, in 6:20 Noah is commanded to take into the ark two of every kind of beast and bird; but in 7:2, 3 he is commanded to take in seven of all the clean beasts and birds.	Thus, for example, in six twenty Noah is commanded to take into the ark two of every kind of beast and bird; but in seven to two, three he is commanded to take in seven of all the clean beasts and birds.	false	207.21	223.54	22.56157
2999_156967_000018_000002	According to 7:4, 12 the flood came as the result of a forty days' rain; but according to 7:11 it was because the fountains of the great deep were broken up and the windows of heaven were opened.	According to seven to four, twelve the flood came as the result of a forty days' rain; but according to seven eleven it was because the fountains of the great deep were broken up and the windows of heaven were opened.	false	224.03	239.02	22.903454
2999_156967_000018_000003	Again, according to 7:17, the flood continued on the earth forty days; while according to 7:24 its duration was a hundred and fifty days.	Again, according to seven seventeen, the flood continued on the earth forty days; while according to seven twenty four its duration was a hundred and fifty days.	false	239.48	252.7	22.029434
2999_156967_000019_000000	These fundamental variations and the presence of duplicate versions of the same incidents point, some writers think, to two originally distinct accounts of the flood which have been closely woven together by the final editor of the book of Genesis.	These fundamental variations and the presence of duplicate versions of the same incidents point, some writers think, to two originally distinct accounts of the flood which have been closely woven together by the final editor of the book of genesis.	true	253.61	269.14	22.561304
2999_156967_000019_000001	When these two accounts are disentangled, they are each practically complete and apparently represent variant versions of the same flood story. (See _Hist.	When these two accounts are disentangled, they are each practically complete and apparently represent variant versions of the same flood story. (See underscore Hist.	false	269.99	280.71	23.50031
2999_156967_000019_000002	Bible_, I, 53-56, for these two parallel accounts.) The one, known as the prophetic version, was written, these writers believe, about 650 B.C.	Bible underscore, I, fifty three to fifty six, for these two parallel accounts.) The one, known as the prophetic version, was written, these writers believe, about six fifty b c	false	280.71	293.86	23.677916
2999_156967_000019_000003	It has the flowing, vivid, picturesque, literary style and the point of view of the prophetic teacher.	It has the flowing, vivid, picturesque, literary style and the point of view of the prophetic teacher.	true	294.41	300.67	21.656862
2999_156967_000019_000004	In this account the number seven prevails.	In this account the number seven prevails.	true	301.58	304.39	20.356186
2999_156967_000019_000005	Seven of each clean beast and bird are taken into the ark to provide food for Noah and his family.	Seven of each clean beast and bird are taken into the ark to provide food for Noah and his family.	true	304.7	310.09	22.089972
2999_156967_000019_000006	Seven days the waters rose, and at intervals of seven days he sent out a raven and a dove.	Seven days the waters rose, and at intervals of seven days he sent out a raven and a dove.	true	310.67	316.69	21.710487
2999_156967_000019_000007	The flood from its beginning to the time when Noah disembarked continued sixty-eight days.	The flood from its beginning to the time when Noah disembarked continued sixty eight days.	true	317.39	323.26	22.790316
2999_156967_000019_000008	At the end, when he had determined by sending out birds that the waters had subsided, he went forth from the ark and reared an altar and offered sacrifice to Jehovah of every clean beast and bird.	At the end, when he had determined by sending out birds that the waters had subsided, he went forth from the ark and reared an altar and offered sacrifice to Jehovah of every clean beast and bird.	false	323.57	336.13	22.792095
2999_156967_000020_000000	The other and more detailed account is apparently the sequel of the late priestly narratives found in Genesis 1 and 5.	The other and more detailed account is apparently the sequel of the late priestly narratives found in genesis chapter one and five.	false	337.55	345.52	21.244968
2999_156967_000020_000001	The style is that of a legal writer--formal, exact and repetitious.	The style is that of a legal writer-formal, exact and repetitious.	true	346.16	350.68	20.948572
2999_156967_000020_000002	In this account only two of each kind of beast and bird are taken into the ark.	In this account only two of each kind of beast and bird are taken into the ark.	true	351.2	355.57	23.01588
2999_156967_000020_000003	The flood lasts for over a year and is universal, covering even the tops of the highest mountains.	The flood lasts for over a year and is universal, covering even the tops of the highest mountains.	true	355.94	362.11	21.228903
2999_156967_000020_000004	No animals are sacrificed, for according to the priestly writer this custom was first instituted by Moses.	No animals are sacrificed, for according to the priestly writer this custom was first instituted by Moses.	true	362.66	369.67	21.993227
2999_156967_000020_000005	When the flood subsides, however, a covenant is concluded and is sealed by the rainbow in accordance with which man's commission to rule over all other living things is renewed and divine permission is given to each to eat of the flesh of animals, provided only that men carefully abstain from eating the blood.	When the flood subsides, however, a covenant is concluded and is sealed by the rainbow in accordance with which man's commission to rule over all other living things is renewed and divine permission is given to each to eat of the flesh of animals, provided only that men carefully abstain from eating the blood.	false	370.97	391.18	22.047739
2999_156967_000020_000006	This later account is dated by this group of modern Biblical scholars about 400 B.C.	This later account is dated by this group of modern Biblical scholars about four hundred b c	true	392.09	398.64	22.647066
2999_156967_000021_000000	II.	two.	false	398.64	400.35	15.945958
2999_156967_000022_000000	THE CORRESPONDING BABYLONIAN FLOOD STORIES.	THE CORRESPONDING BABYLONIAN FLOOD STORIES.	true	400.35	403.03	23.445808
2999_156967_000023_000000	Closely parallel to these two variant Biblical accounts of the flood are the two Babylonian versions, which have fortunately been almost wholly recovered.	Closely parallel to these two variant Biblical accounts of the flood are the two Babylonian versions, which have fortunately been almost wholly recovered.	false	404.06	413.23	21.906965
2999_156967_000023_000001	The older Babylonian account is found in the eleventh tablet of the Gilgamesh epic, which comes from the library of Asshurbanipal.	The older Babylonian account is found in the eleventh tablet of the Gilgamesh epic, which comes from the library of Asshurbanipal.	true	413.66	422.05	20.079123
2999_156967_000023_000002	This great conqueror lived contemporaneously with Manasseh during whose reign Assyrian influence was paramount in the kingdom of Judah.	This great conqueror lived contemporaneously with Manasseh during whose reign Assyrian influence was paramount in the kingdom of Judah.	true	422.96	432.13	22.398046
2999_156967_000023_000003	In his quest for healing and immortality Gilgamesh reached the abode of the Babylonian hero of the flood.	In his quest for healing and immortality Gilgamesh reached the abode of the Babylonian hero of the flood.	false	432.92	439.33	20.467287
2999_156967_000023_000004	In response to Gilgamesh's question as to how he, a mortal, attained immortality the Babylonian Noah recounts the story of the flood.	In response to Gilgamesh's question as to how he, a mortal, attained immortality the Babylonian Noah recounts the story of the flood.	true	439.82	449.71	21.00998
2999_156967_000023_000005	It was brought about by the Babylonian gods in order to destroy the city of Shurippak, situated on the banks of the Euphrates.	It was brought about by the Babylonian gods in order to destroy the city of Shurippak, situated on the banks of the Euphrates.	true	450.17	458.83	23.289711
2999_156967_000023_000006	The god Ea gave the warning to his worshipper, the hero of the flood, and commanded him:	The god Ea gave the warning to his worshipper, the hero of the flood, and commanded him:	false	459.17	466.36	23.290241
2999_156967_000024_000000	Construct a house, build a ship, Leave goods, look after life, Forsake possessions, and save life, Cause all kinds of living things to go up into the ship. The ship which thou shalt build,-- Exact shall be its dimensions: Its breadth shall equal its length; On the great deep launch it. I understood and said to Ea, my lord: "Behold, my lord, what thou hast commanded, I have reverently received and will carry out."	Construct a house, build a ship, Leave goods, look after life, Forsake possessions, and save life, Cause all kinds of living things to go up into the ship. The ship which thou shalt build,-- Exact shall be its dimensions: Its breadth shall equal its length; On the great deep launch it. I understood and said to Ea, my lord: "Behold, my lord, what thou hast commanded, I have reverently received and will carry out."	false	466.58	497.65	23.098717
2999_156967_000025_000000	A detailed account then follows of the building of the ark.	A detailed account then follows of the building of the ark.	true	499.04	502.33	23.761242
2999_156967_000025_000001	Its dimensions were one hundred and twenty cubits in each direction. It was built in six stories, each of which was divided into nine parts.	Its dimensions were one hundred and twenty cubits in each direction. It was built in six stories, each of which was divided into nine parts.	true	502.7	512.2	22.038044
2999_156967_000025_000002	Plentiful provisions were next carried on board and a great feast was held to commemorate the completion of the ark.	Plentiful provisions were next carried on board and a great feast was held to commemorate the completion of the ark.	true	512.39	518.44	23.871906
2999_156967_000025_000003	After carrying on board his treasures of silver and gold he adds:	After carrying on board his treasures of silver and gold he adds:	true	519.08	522.64	18.934837
2999_156967_000026_000000	All the living creatures of all kinds I loaded on it. I brought on board my family and household; Cattle of the field, beasts of the field, the craftsmen, All of them I brought on board.	All the living creatures of all kinds I loaded on it. I brought on board my family and household; Cattle of the field, beasts of the field, the craftsmen, All of them I brought on board.	true	523.25	536.2	24.446981
2999_156967_000027_000000	In the evening at the command of the god Shamash the rains began to descend.	In the evening at the command of the god Shamash the rains began to descend.	true	537.74	543.19	20.880838
2999_156967_000027_000001	Then the Babylonian Noah entered the ship and closed the door and entrusted the great house with its contents to the captain.	Then the Babylonian Noah entered the ship and closed the door and entrusted the great house with its contents to the captain.	false	543.89	551.05	23.5159
2999_156967_000027_000002	The description of the tempest that follows is exceedingly vivid and picturesque.	The description of the tempest that follows is exceedingly vivid and picturesque.	true	551.93	557.32	24.275549
2999_156967_000028_000000	When the first light of dawn shone forth, There rose from the horizon a dark cloud, within which Adad thundered, Nabu and Marduk marched at the front, The heralds passed over mountains and land; Nergal tore out the ship's mast, Ninib advanced, following up the attack, The spirits of earth raised torches, With their sheen they lighted up the world. Adad's tempest reached to heaven, And all light was changed to darkness. So great was the havoc wrought by the storm that The gods bowed down, sat there weeping, Close pressed together were their lips.	When the first light of dawn shone forth, There rose from the horizon a dark cloud, within which Adad thundered, Nabu and Marduk marched at the front, The heralds passed over mountains and land; Nergal tore out the ship's mast, Ninib advanced, following up the attack, The spirits of earth raised torches, With their sheen they lighted up the world. Adad's tempest reached to heaven, And all light was changed to darkness. So great was the havoc wrought by the storm that The gods bowed down, sat there weeping, Close pressed together were their lips.	false	557.93	596.65	23.94165
2999_156967_000029_000000	For six days and nights the storm raged, but on the seventh day it subsided and the flood began to abate.	For six days and nights the storm raged, but on the seventh day it subsided and the flood began to abate.	true	597.53	604.42	24.046919
2999_156967_000029_000001	Of the race of mortals, however, every voice was hushed.	Of the race of mortals, however, every voice was hushed.	true	604.88	608.74	20.577457
2999_156967_000029_000002	At last the ship approached the mountain Nisir which lay on the northern horizon, as viewed from the Tigris-Euphrates valley.	At last the ship approached the mountain Nisir which lay on the northern horizon, as viewed from the Tigris Euphrates valley.	true	609.86	618.07	22.789005
2999_156967_000029_000003	Here the ship grounded.	Here the ship grounded.	true	618.56	620.11	22.386883
2999_156967_000029_000004	Then,	Then,	true	620.33	621.13	24.260073
2999_156967_000030_000000	When the seventh day arrived, I sent forth a dove and let it loose, The dove went forth, but came back; Because it found no resting-place, it returned: Then I sent forth a swallow, but it came back; Because it found no resting-place, it returned. Then I sent forth a raven and let it loose, The raven went forth and saw that the waters had decreased; It fed, it waded, it croaked, but did not return. Then I sent forth everything in all directions, and offered a sacrifice, I made an offering of incense on the highest peak of the mountain, Seven and seven bowls I placed there, And over them I poured out calamus, cedar wood and fragrant herbs. The gods inhaled the odor, The gods inhaled the sweet odor, The gods gathered like flies above the sacrifice.	When the seventh day arrived, I sent forth a dove and let it loose, The dove went forth, but came back; Because it found no resting place, it returned: Then I sent forth a swallow, but it came back; Because it found no resting place, it returned. Then I sent forth a raven and let it loose, The raven went forth and saw that the waters had decreased; It fed, it waded, it croaked, but did not return. Then I sent forth everything in all directions, and offered a sacrifice, I made an offering of incense on the highest peak of the mountain, Seven and seven bowls I placed there, And over them I poured out calamus, cedar wood and fragrant herbs. The gods inhaled the odor, The gods inhaled the sweet odor, The gods gathered like flies above the sacrifice.	false	622.82	680.11	23.007898
2999_156967_000031_000000	At the intercession of Ea, the Babylonian Noah and his wife were granted immortality and permitted "to dwell in the distance at the confluence of the streams."	At the intercession of Ea, the Babylonian Noah and his wife were granted immortality and permitted "to dwell in the distance at the confluence of the streams."	false	680.78	691.78	23.395063
2999_156967_000032_000000	A later version of the same Babylonian flood story is quoted by Eusebius from the writings of the Chaldean priest Berossus who lived about the fourth century B.C.	A later version of the same Babylonian flood story is quoted by Eusebius from the writings of the Chaldean priest Berossus who lived about the fourth century b c	false	692.27	702.7	22.722557
2999_156967_000032_000001	According to this version the god Kronos appeared in a dream to Xisuthros, the hero, who, like Noah in the priestly account, was the last of the ten ancient Babylonian kings.	According to this version the god Kronos appeared in a dream to Xisuthros, the hero, who, like Noah in the priestly account, was the last of the ten ancient Babylonian kings.	false	703.43	715.89	22.611233
2999_156967_000032_000002	At the command of the god he built a great ship fifteen stadia long and two in width.	At the command of the god he built a great ship fifteen stadia long and two in width.	true	715.89	721.57	23.852669
2999_156967_000032_000003	Into this he took not only his family and provisions, but quadrupeds and birds of all kinds. When the flood began to recede, he sent out a bird, which quickly returned.	Into this he took not only his family and provisions, but quadrupeds and birds of all kinds. When the flood began to recede, he sent out a bird, which quickly returned.	true	721.94	733.24	22.979233
2999_156967_000032_000004	After a few days he sent forth another bird, which returned with mud on its feet.	After a few days he sent forth another bird, which returned with mud on its feet.	true	733.94	739.12	20.319473
2999_156967_000032_000005	When the third bird failed to return, he took off the cover of the ship and found that it had stranded on a mountain of Armenia.	When the third bird failed to return, he took off the cover of the ship and found that it had stranded on a mountain of Armenia.	true	739.52	747.88	23.412258
2999_156967_000032_000006	The mountain in the Biblical account is identified with Mount Ararat.	The mountain in the Biblical account is identified with Mount Ararat.	true	748.67	753.19	22.945349
2999_156967_000032_000007	Disembarking, the Babylonian Noah kissed the earth and, after building an altar, offered a sacrifice to the gods.	Disembarking, the Babylonian Noah kissed the earth and, after building an altar, offered a sacrifice to the gods.	true	754.22	761.82	28.073015
2999_156967_000033_000000	Thus the variations between the older and later Babylonian accounts of the flood correspond in general to those that have been already noted in the Biblical versions.	Thus the variations between the older and later Babylonian accounts of the flood correspond in general to those that have been already noted in the Biblical versions.	false	761.82	771.76	21.206732
2999_156967_000033_000001	Which Biblical account does the earliest Babylonian narrative resemble most closely?	Which Biblical account does the earliest Babylonian narrative resemble most closely?	true	772.64	777.61	20
2999_156967_000033_000002	In what details do they agree?	In what details do they agree?	true	778.52	780.76	22.269384
2999_156967_000033_000003	Are these coincidences merely accidental or do they point possibly to a common tradition?	Are these coincidences merely accidental or do they point possibly to a common tradition?	true	781.79	787.87	22.385344
2999_156967_000033_000004	How far do the later Biblical and Babylonian accounts agree?	How far do the later Biblical and Babylonian accounts agree?	true	788.96	792.82	21
2999_156967_000033_000005	What is the significance of these points of agreement?	What is the significance of these points of agreement?	true	793.58	796.99	22.797138
2999_156967_000034_000000	III.	three.	true	798.05	798.91	21.379374
2999_156967_000035_000000	HISTORY OF THE BIBLICAL FLOOD STORIES.	HISTORY OF THE BIBLICAL FLOOD STORIES.	true	799.4	801.94	21.386444
2999_156967_000036_000000	On the basis of the preceding comparisons some writers attempt to trace tentatively the history of the flood tradition current among the peoples of southwestern Asia.	On the basis of the preceding comparisons some writers attempt to trace tentatively the history of the flood tradition current among the peoples of southwestern Asia.	true	802.94	813.01	23.173283
2999_156967_000036_000001	A fragment of the Babylonian flood story, coming from at least as early as 2000 B.C., has recently been discovered.	A fragment of the Babylonian flood story, coming from at least as early as two thousand b c, has recently been discovered.	true	813.68	820.78	21.669178
2999_156967_000036_000002	The probability is that the tradition goes back to the earliest beginnings of Babylonian history.	The probability is that the tradition goes back to the earliest beginnings of Babylonian history.	true	821.78	827.56	22.11855
2999_156967_000036_000003	The setting of the Biblical accounts of the flood is also the Tigris-Euphrates valley rather than Palestine.	The setting of the Biblical accounts of the flood is also the Tigris Euphrates valley rather than Palestine.	false	828.32	834.91	23.122974
2999_156967_000036_000004	The description of the construction of the ark in Genesis 6:14-16 is not only closely parallel to that found in the Babylonian account, but the method--the smearing of the ark within and without with bitumen--is peculiar to the Tigris-Euphrates valley.	The description of the construction of the ark in genesis chapter six verses fourteen to sixteen is not only closely parallel to that found in the Babylonian account, but the method-the smearing of the ark within and without with bitumen-is peculiar to the Tigris Euphrates valley.	true	835.52	853.66	23.855944
2999_156967_000036_000005	Many scholars believe, therefore, that Babylonia was the original home of the Biblical flood story.	Many scholars believe, therefore, that Babylonia was the original home of the Biblical flood story.	true	854.24	860.98	20.230766
2999_156967_000037_000000	Its exact origin, however, is not so certain.	Its exact origin, however, is not so certain.	true	861.98	865.45	22
2999_156967_000037_000001	Many of its details were doubtless suggested by the annual floods and fogs which inundate that famous valley and recall the primeval chaos so vividly pictured in the corresponding Babylonian story of the creation.	Many of its details were doubtless suggested by the annual floods and fogs which inundate that famous valley and recall the primeval chaos so vividly pictured in the corresponding Babylonian story of the creation.	true	866.48	880.18	20.490961
2999_156967_000037_000002	It may have been based on the remembrances of a great local inundation, possibly due to the subsidence of great areas of land.	It may have been based on the remembrances of a great local inundation, possibly due to the subsidence of great areas of land.	true	881.21	889.81	20.663036
2999_156967_000037_000003	In the earliest Hebrew records there is no trace of this tradition, although it may have been known to the Aramean ancestors of the Hebrews.	In the earliest Hebrew records there is no trace of this tradition, although it may have been known to the Aramean ancestors of the hebrews.	true	891.14	899.44	21.521822
2999_156967_000037_000004	The literary evidence, however, suggests that it was first brought to Palestine by the Assyrians.	The literary evidence, however, suggests that it was first brought to Palestine by the Assyrians.	false	900.14	906.34	21.14925
2999_156967_000037_000005	During the reactionary reign of Manasseh, Assyrian customs and Baylonian ideas, which these conquerors had inherited, inundated Judah.	During the reactionary reign of Manasseh, Assyrian customs and Baylonian ideas, which these conquerors had inherited, inundated Judah.	false	906.53	916.42	23.35391
2999_156967_000037_000006	Even in the temple at Jerusalem the Babylonians' gods, the host of heaven, were worshipped by certain of the Hebrews.	Even in the temple at Jerusalem the Babylonians' gods, the host of heaven, were worshipped by certain of the hebrews.	true	917.15	924.79	21.348404
2999_156967_000037_000007	The few literary inscriptions which come from this period, those found in the mound at Gezer, are written in the Assyrian script and contain the names of Assyrian officials.	The few literary inscriptions which come from this period, those found in the mound at Gezer, are written in the Assyrian script and contain the names of Assyrian officials.	true	925.64	936.64	22.53806
2999_156967_000038_000000	Later when the Jewish exiles were carried to Babylonia, they naturally came into contact again with the Babylonian account of the flood, but in its later form, as the comparisons already instituted clearly indicate.	Later when the Jewish exiles were carried to Babylonia, they naturally came into contact again with the Babylonian account of the flood, but in its later form, as the comparisons already instituted clearly indicate.	true	937.22	951.31	23.480085
2999_156967_000038_000001	It is thus possible, these scholars believe, to trace, in outline at least, the literary history of the Semitic flood story in its various transformations through a period of nearly two thousand years.	It is thus possible, these scholars believe, to trace, in outline at least, the literary history of the Semitic flood story in its various transformations through a period of nearly two thousand years.	false	951.44	976.11	20.556276
