318_124164_000000_000000	Chapter 50	Chapter fifty	false	21.48	24.78	20.462496
318_124164_000005_000003	He begged to know further particulars of what he was indebted to his brother, but was too angry with Lydia to send any message to her.	He begged to know further particulars of what he was indebted to his brother, but was too angry with Lydia to send any message to her.	true	197.06	203.23	23.201763
318_124164_000006_000000	The good news spread quickly through the house, and with proportionate speed through the neighbourhood.	The good news spread quickly through the house, and with proportionate speed through the neighbourhood.	true	204.41	208.93	24.923428
318_124164_000006_000001	It was borne in the latter with decent philosophy.	It was borne in the latter with decent philosophy.	true	209.15	211.48	23.126951
318_124164_000006_000002	To be sure, it would have been more for the advantage of conversation had Miss Lydia Bennet come upon the town; or, as the happiest alternative, been secluded from the world, in some distant farmhouse.	To be sure, it would have been more for the advantage of conversation had Miss Lydia Bennet come upon the town; or, as the happiest alternative, been secluded from the world, in some distant farmhouse.	false	211.67	222.58	20.890425
318_124164_000006_000003	But there was much to be talked of in marrying her; and the good-natured wishes for her well-doing which had proceeded before from all the spiteful old ladies in Meryton lost but a little of their spirit in this change of circumstances, because with such an husband her misery was considered certain.	But there was much to be talked of in marrying her; and the good-natured wishes for her well doing which had proceeded before from all the spiteful old ladies in Meryton lost but a little of their spirit in this change of circumstances, because with such an husband her misery was considered certain.	false	223.22	238.33	20.021946
318_124164_000007_000000	It was a fortnight since Mrs. Bennet had been downstairs; but on this happy day she again took her seat at the head of her table, and in spirits oppressively high.	It was a fortnight since mrs Bennet had been downstairs; but on this happy day she again took her seat at the head of her table, and in spirits oppressively high.	false	239.03	246.82	21.341635
318_124164_000007_000001	No sentiment of shame gave a damp to her triumph.	No sentiment of shame gave a damp to her triumph.	true	247.31	250	20.051931
318_124164_000007_000002	The marriage of a daughter, which had been the first object of her wishes since Jane was sixteen, was now on the point of accomplishment, and her thoughts and her words ran wholly on those attendants of elegant nuptials, fine muslins, new carriages, and servants.	The marriage of a daughter, which had been the first object of her wishes since Jane was sixteen, was now on the point of accomplishment, and her thoughts and her words ran wholly on those attendants of elegant nuptials, fine muslins, new carriages, and servants.	true	250.16	264.97	21.239277
318_124164_000007_000003	She was busily searching through the neighbourhood for a proper situation for her daughter, and, without knowing or considering what their income might be, rejected many as deficient in size and importance.	She was busily searching through the neighbourhood for a proper situation for her daughter, and, without knowing or considering what their income might be, rejected many as deficient in size and importance.	true	265.58	275.8	21
318_124164_000008_000000	"Haye Park might do," said she, "if the Gouldings could quit it--or the great house at Stoke, if the drawing-room were larger; but Ashworth is too far off!	"Haye Park might do," said she, "if the Gouldings could quit it-or the great house at Stoke, if the drawing room were larger; but Ashworth is too far off!	true	277.34	288.31	21.21493
318_124164_000008_000001	I could not bear to have her ten miles from me; and as for Pulvis Lodge, the attics are dreadful."	I could not bear to have her ten miles from me; and as for Pulvis Lodge, the attics are dreadful."	true	288.44	293.35	20.667202
318_124164_000009_000000	Her husband allowed her to talk on without interruption while the servants remained.	Her husband allowed her to talk on without interruption while the servants remained.	true	295.07	298.9	18
318_124164_000009_000001	But when they had withdrawn, he said to her: "Mrs. Bennet, before you take any or all of these houses for your son and daughter, let us come to a right understanding.	But when they had withdrawn, he said to her: "mrs Bennet, before you take any or all of these houses for your son and daughter, let us come to a right understanding.	true	299.06	308.86	22.365791
318_124164_000009_000002	Into _one_ house in this neighbourhood they shall never have admittance.	Into underscore one underscore house in this neighbourhood they shall never have admittance.	false	309.17	313.51	21.453287
318_124164_000009_000003	I will not encourage the impudence of either, by receiving them at Longbourn."	I will not encourage the impudence of either, by receiving them at Longbourn."	true	313.7	318.22	23.76701
318_124164_000010_000000	A long dispute followed this declaration; but Mr. Bennet was firm.	A long dispute followed this declaration; but mr Bennet was firm.	true	319.82	323.71	20.314125
318_124164_000010_000001	It soon led to another; and Mrs. Bennet found, with amazement and horror, that her husband would not advance a guinea to buy clothes for his daughter.	It soon led to another; and mrs Bennet found, with amazement and horror, that her husband would not advance a guinea to buy clothes for his daughter.	true	323.96	331.63	22.784582
318_124164_000010_000002	He protested that she should receive from him no mark of affection whatever on the occasion.	He protested that she should receive from him no mark of affection whatever on the occasion.	true	332.48	337.51	20
318_124164_000010_000003	Mrs. Bennet could hardly comprehend it.	mrs Bennet could hardly comprehend it.	true	338.18	340.36	21.405508
318_124164_000010_000004	That his anger could be carried to such a point of inconceivable resentment as to refuse his daughter a privilege without which her marriage would scarcely seem valid, exceeded all she could believe possible.	That his anger could be carried to such a point of inconceivable resentment as to refuse his daughter a privilege without which her marriage would scarcely seem valid, exceeded all she could believe possible.	true	340.67	351.55	22.813553
318_124164_000010_000005	She was more alive to the disgrace which her want of new clothes must reflect on her daughter's nuptials, than to any sense of shame at her eloping and living with Wickham a fortnight before they took place.	She was more alive to the disgrace which her want of new clothes must reflect on her daughter's nuptials, than to any sense of shame at her eloping and living with Wickham a fortnight before they took place.	true	352.25	361.75	21
318_124164_000011_000000	Elizabeth was now most heartily sorry that she had, from the distress of the moment, been led to make Mr. Darcy acquainted with their fears for her sister; for since her marriage would so shortly give the proper termination to the elopement, they might hope to conceal its unfavourable beginning from all those who were not immediately on the spot.	Elizabeth was now most heartily sorry that she had, from the distress of the moment, been led to make mr Darcy acquainted with their fears for her sister; for since her marriage would so shortly give the proper termination to the elopement, they might hope to conceal its unfavourable beginning from all those who were not immediately on the spot.	false	364.1	381.12	20.424643
318_124164_000012_000000	She had no fear of its spreading farther through his means.	She had no fear of its spreading farther through his means.	false	381.12	384.61	23.649431
318_124164_000012_000001	There were few people on whose secrecy she would have more confidently depended; but, at the same time, there was no one whose knowledge of a sister's frailty would have mortified her so much--not, however, from any fear of disadvantage from it individually to herself, for, at any rate, there seemed a gulf impassable between them.	There were few people on whose secrecy she would have more confidently depended; but, at the same time, there was no one whose knowledge of a sister's frailty would have mortified her so much-not, however, from any fear of disadvantage from it individually to herself, for, at any rate, there seemed a gulf impassable between them.	false	384.77	403	20.313168
318_124164_000012_000002	Had Lydia's marriage been concluded on the most honourable terms, it was not to be supposed that Mr. Darcy would connect himself with a family where, to every other objection, would now be added an alliance and relationship of the nearest kind with a man whom he so justly scorned.	Had Lydia's marriage been concluded on the most honourable terms, it was not to be supposed that mr Darcy would connect himself with a family where, to every other objection, would now be added an alliance and relationship of the nearest kind with a man whom he so justly scorned.	false	403.55	418.45	20.460634
318_124164_000013_000000	From such a connection she could not wonder that he would shrink.	From such a connection she could not wonder that he would shrink.	true	419.51	422.47	22
318_124164_000013_000001	The wish of procuring her regard, which she had assured herself of his feeling in Derbyshire, could not in rational expectation survive such a blow as this.	The wish of procuring her regard, which she had assured herself of his feeling in Derbyshire, could not in rational expectation survive such a blow as this.	true	422.66	430.72	21
318_124164_000013_000002	She was humbled, she was grieved; she repented, though she hardly knew of what.	She was humbled, she was grieved; she repented, though she hardly knew of what.	false	431.03	436.32	20.280104
318_124164_000013_000003	She became jealous of his esteem, when she could no longer hope to be benefited by it.	She became jealous of his esteem, when she could no longer hope to be benefited by it.	true	436.32	440.92	19.731031
318_124164_000013_000004	She wanted to hear of him, when there seemed the least chance of gaining intelligence.	She wanted to hear of him, when there seemed the least chance of gaining intelligence.	true	441.32	445.9	18.478157
318_124164_000013_000005	She was convinced that she could have been happy with him, when it was no longer likely they should meet.	She was convinced that she could have been happy with him, when it was no longer likely they should meet.	true	446.36	451.14	21
318_124164_000014_000000	What a triumph for him, as she often thought, could he know that the proposals which she had proudly spurned only four months ago, would now have been most gladly and gratefully received!	What a triumph for him, as she often thought, could he know that the proposals which she had proudly spurned only four months ago, would now have been most gladly and gratefully received!	false	451.14	461.53	22.390312
318_124164_000014_000001	He was as generous, she doubted not, as the most generous of his sex; but while he was mortal, there must be a triumph.	He was as generous, she doubted not, as the most generous of his sex; but while he was mortal, there must be a triumph.	false	461.99	468.97	18.071445
318_124164_000015_000000	She began now to comprehend that he was exactly the man who, in disposition and talents, would most suit her.	She began now to comprehend that he was exactly the man who, in disposition and talents, would most suit her.	true	470.33	476.5	17.380081
318_124164_000015_000001	His understanding and temper, though unlike her own, would have answered all her wishes.	His understanding and temper, though unlike her own, would have answered all her wishes.	true	476.81	481.6	20.016031
318_124164_000015_000002	It was an union that must have been to the advantage of both; by her ease and liveliness, his mind might have been softened, his manners improved; and from his judgement, information, and knowledge of the world, she must have received benefit of greater importance.	It was an union that must have been to the advantage of both; by her ease and liveliness, his mind might have been softened, his manners improved; and from his judgement, information, and knowledge of the world, she must have received benefit of greater importance.	false	482.18	495.97	20.352547
318_124164_000016_000000	But no such happy marriage could now teach the admiring multitude what connubial felicity really was.	But no such happy marriage could now teach the admiring multitude what connubial felicity really was.	true	497.24	502.8	20
318_124164_000016_000001	An union of a different tendency, and precluding the possibility of the other, was soon to be formed in their family.	An union of a different tendency, and precluding the possibility of the other, was soon to be formed in their family.	false	502.8	509.35	20.59366
318_124164_000017_000000	How Wickham and Lydia were to be supported in tolerable independence, she could not imagine.	How Wickham and Lydia were to be supported in tolerable independence, she could not imagine.	true	510.41	515.38	21.049372
318_124164_000017_000001	But how little of permanent happiness could belong to a couple who were only brought together because their passions were stronger than their virtue, she could easily conjecture.	But how little of permanent happiness could belong to a couple who were only brought together because their passions were stronger than their virtue, she could easily conjecture.	true	515.78	526.06	22.452358
318_124164_000018_000000	Mr. Gardiner soon wrote again to his brother.	mr Gardiner soon wrote again to his brother.	true	526.31	528.82	22.54075
318_124164_000018_000001	To Mr. Bennet's acknowledgments he briefly replied, with assurance of his eagerness to promote the welfare of any of his family; and concluded with entreaties that the subject might never be mentioned to him again.	To mr Bennet's acknowledgments he briefly replied, with assurance of his eagerness to promote the welfare of any of his family; and concluded with entreaties that the subject might never be mentioned to him again.	false	529.04	540.07	21.587503
318_124164_000018_000002	The principal purport of his letter was to inform them that Mr. Wickham had resolved on quitting the militia.	The principal purport of his letter was to inform them that mr Wickham had resolved on quitting the militia.	true	540.35	545.86	22
318_124164_000019_000000	"It was greatly my wish that he should do so," he added, "as soon as his marriage was fixed on.	"It was greatly my wish that he should do so," he added, "as soon as his marriage was fixed on.	true	546.95	551.62	20.213701
318_124164_000019_000001	And I think you will agree with me, in considering the removal from that corps as highly advisable, both on his account and my niece's.	And I think you will agree with me, in considering the removal from that corps as highly advisable, both on his account and my niece's.	false	551.81	559.06	21.344208
318_124164_000019_000002	It is Mr. Wickham's intention to go into the regulars; and among his former friends, there are still some who are able and willing to assist him in the army.	It is mr Wickham's intention to go into the regulars; and among his former friends, there are still some who are able and willing to assist him in the army.	true	559.52	567.1	21
318_124164_000019_000003	He has the promise of an ensigncy in General ----'s regiment, now quartered in the North.	He has the promise of an ensigncy in General ----'s regiment, now quartered in the North.	false	568.64	574.39	21.02665
318_124164_000019_000004	It is an advantage to have it so far from this part of the kingdom.	It is an advantage to have it so far from this part of the kingdom.	true	574.88	578.23	24
318_124164_000019_000005	He promises fairly; and I hope among different people, where they may each have a character to preserve, they will both be more prudent.	He promises fairly; and I hope among different people, where they may each have a character to preserve, they will both be more prudent.	true	578.33	586.36	22.029537
318_124164_000019_000006	I have written to Colonel Forster, to inform him of our present arrangements, and to request that he will satisfy the various creditors of Mr. Wickham in and near Brighton, with assurances of speedy payment, for which I have pledged myself.	I have written to Colonel Forster, to inform him of our present arrangements, and to request that he will satisfy the various creditors of mr Wickham in and near Brighton, with assurances of speedy payment, for which I have pledged myself.	false	586.97	599.59	21.486324
318_124164_000019_000007	And will you give yourself the trouble of carrying similar assurances to his creditors in Meryton, of whom I shall subjoin a list according to his information?	And will you give yourself the trouble of carrying similar assurances to his creditors in Meryton, of whom I shall subjoin a list according to his information?	true	599.69	607.6	20
318_124164_000019_000008	He has given in all his debts; I hope at least he has not deceived us.	He has given in all his debts; I hope at least he has not deceived us.	true	608.78	612.64	25.084415
318_124164_000019_000009	Haggerston has our directions, and all will be completed in a week.	Haggerston has our directions, and all will be completed in a week.	true	614.18	617.71	21.082615
318_124164_000019_000010	They will then join his regiment, unless they are first invited to Longbourn; and I understand from Mrs. Gardiner, that my niece is very desirous of seeing you all before she leaves the South.	They will then join his regiment, unless they are first invited to Longbourn; and I understand from mrs Gardiner, that my niece is very desirous of seeing you all before she leaves the South.	true	617.72	627.1	18.500994
318_124164_000019_000011	She is well, and begs to be dutifully remembered to you and your mother.--Yours, etc.,	She is well, and begs to be dutifully remembered to you and your mother.--Yours, etc,	false	627.29	632.22	20.877897
318_124164_000020_000000	"E.	"E.	false	632.22	633.24	23.652706
318_124164_000020_000001	GARDINER."	GARDINER."	true	633.24	634.03	20.649363
318_124164_000021_000000	Mr. Bennet and his daughters saw all the advantages of Wickham's removal from the ----shire as clearly as Mr. Gardiner could do.	mr Bennet and his daughters saw all the advantages of Wickham's removal from the ----shire as clearly as mr Gardiner could do.	false	636.47	643.87	20.205374
318_124164_000021_000001	But Mrs. Bennet was not so well pleased with it.	But mrs Bennet was not so well pleased with it.	true	644.36	646.75	21.420889
318_124164_000021_000002	Lydia's being settled in the North, just when she had expected most pleasure and pride in her company, for she had by no means given up her plan of their residing in Hertfordshire, was a severe disappointment; and, besides, it was such a pity that Lydia should be taken from a regiment where she was acquainted with everybody, and had so many favourites.	Lydia's being settled in the North, just when she had expected most pleasure and pride in her company, for she had by no means given up her plan of their residing in Hertfordshire, was a severe disappointment; and, besides, it was such a pity that Lydia should be taken from a regiment where she was acquainted with everybody, and had so many favourites.	false	646.97	664.45	21.404247
318_124164_000022_000000	"She is so fond of Mrs. Forster," said she, "it will be quite shocking to send her away!	"She is so fond of mrs Forster," said she, "it will be quite shocking to send her away!	true	665.24	670.29	21.703129
318_124164_000022_000001	And there are several of the young men, too, that she likes very much.	And there are several of the young men, too, that she likes very much.	true	670.29	673.57	19
318_124164_000022_000002	The officers may not be so pleasant in General ----'s regiment."	The officers may not be so pleasant in General ----'s regiment."	false	673.7	677.47	22.061996
318_124164_000023_000000	His daughter's request, for such it might be considered, of being admitted into her family again before she set off for the North, received at first an absolute negative.	His daughter's request, for such it might be considered, of being admitted into her family again before she set off for the North, received at first an absolute negative.	true	678.68	687.67	21.32648
318_124164_000023_000001	But Jane and Elizabeth, who agreed in wishing, for the sake of their sister's feelings and consequence, that she should be noticed on her marriage by her parents, urged him so earnestly yet so rationally and so mildly, to receive her and her husband at Longbourn, as soon as they were married, that he was prevailed on to think as they thought, and act as they wished.	But Jane and Elizabeth, who agreed in wishing, for the sake of their sister's feelings and consequence, that she should be noticed on her marriage by her parents, urged him so earnestly yet so rationally and so mildly, to receive her and her husband at Longbourn, as soon as they were married, that he was prevailed on to think as they thought, and act as they wished.	false	688.16	707.01	20.260492
318_124164_000023_000002	And their mother had the satisfaction of knowing that she would be able to show her married daughter in the neighbourhood before she was banished to the North.	And their mother had the satisfaction of knowing that she would be able to show her married daughter in the neighbourhood before she was banished to the North.	true	707.01	713.29	17
318_124164_000023_000003	When Mr. Bennet wrote again to his brother, therefore, he sent his permission for them to come; and it was settled, that as soon as the ceremony was over, they should proceed to Longbourn.	When mr Bennet wrote again to his brother, therefore, he sent his permission for them to come; and it was settled, that as soon as the ceremony was over, they should proceed to Longbourn.	true	714.11	723.43	19.922636
318_124164_000023_000004	Elizabeth was surprised, however, that Wickham should consent to such a scheme, and had she consulted only her own inclination, any meeting with him would have been the last object of her wishes.	Elizabeth was surprised, however, that Wickham should consent to such a scheme, and had she consulted only her own inclination, any meeting with him would have been the last object of her wishes.	true	724.67	734.14	21.015423
318_124164_000024_000000	Chapter 51	Chapter fifty one	true	736.58	737.76	21.97219
318_124164_000025_000000	Their sister's wedding day arrived; and Jane and Elizabeth felt for her probably more than she felt for herself.	Their sister's wedding day arrived; and Jane and Elizabeth felt for her probably more than she felt for herself.	false	737.76	744.91	19.57598
318_124164_000025_000001	The carriage was sent to meet them at ----, and they were to return in it by dinner-time.	The carriage was sent to meet them at ----, and they were to return in it by dinner time.	true	745.04	749.77	20.386147
318_124164_000025_000002	Their arrival was dreaded by the elder Miss Bennets, and Jane more especially, who gave Lydia the feelings which would have attended herself, had she been the culprit, and was wretched in the thought of what her sister must endure.	Their arrival was dreaded by the elder Miss Bennets, and Jane more especially, who gave Lydia the feelings which would have attended herself, had she been the culprit, and was wretched in the thought of what her sister must endure.	true	750.11	761.65	21.949114
318_124164_000026_000000	They came.	They came.	true	762.62	763.51	25.728287
318_124164_000026_000001	The family were assembled in the breakfast room to receive them.	The family were assembled in the breakfast room to receive them.	true	763.85	766.6	19.305817
318_124164_000026_000002	Smiles decked the face of Mrs. Bennet as the carriage drove up to the door; her husband looked impenetrably grave; her daughters, alarmed, anxious, uneasy.	Smiles decked the face of mrs Bennet as the carriage drove up to the door; her husband looked impenetrably grave; her daughters, alarmed, anxious, uneasy.	true	766.76	775.96	22.017109
318_124164_000027_000000	Lydia's voice was heard in the vestibule; the door was thrown open, and she ran into the room.	Lydia's voice was heard in the vestibule; the door was thrown open, and she ran into the room.	true	777.71	782.74	20.529734
318_124164_000027_000001	Her mother stepped forwards, embraced her, and welcomed her with rapture; gave her hand, with an affectionate smile, to Wickham, who followed his lady; and wished them both joy with an alacrity which shewed no doubt of their happiness.	Her mother stepped forwards, embraced her, and welcomed her with rapture; gave her hand, with an affectionate smile, to Wickham, who followed his lady; and wished them both joy with an alacrity which shewed no doubt of their happiness.	false	783.02	794.23	21.892965
318_124164_000028_000000	Their reception from Mr. Bennet, to whom they then turned, was not quite so cordial.	Their reception from mr Bennet, to whom they then turned, was not quite so cordial.	true	795.77	799.96	23
318_124164_000028_000001	His countenance rather gained in austerity; and he scarcely opened his lips.	His countenance rather gained in austerity; and he scarcely opened his lips.	true	800.18	804.43	21.17008
318_124164_000028_000002	The easy assurance of the young couple, indeed, was enough to provoke him.	The easy assurance of the young couple, indeed, was enough to provoke him.	true	804.68	808.18	20
318_124164_000028_000003	Elizabeth was disgusted, and even Miss Bennet was shocked.	Elizabeth was disgusted, and even Miss Bennet was shocked.	true	808.58	812.05	21.029915
318_124164_000028_000004	Lydia was Lydia still; untamed, unabashed, wild, noisy, and fearless.	Lydia was Lydia still; untamed, unabashed, wild, noisy, and fearless.	false	812.3	818.26	21.86356
318_124164_000028_000005	She turned from sister to sister, demanding their congratulations; and when at length they all sat down, looked eagerly round the room, took notice of some little alteration in it, and observed, with a laugh, that it was a great while since she had been there.	She turned from sister to sister, demanding their congratulations; and when at length they all sat down, looked eagerly round the room, took notice of some little alteration in it, and observed, with a laugh, that it was a great while since she had been there.	true	818.75	831.91	22.100672
318_124164_000029_000000	Wickham was not at all more distressed than herself, but his manners were always so pleasing, that had his character and his marriage been exactly what they ought, his smiles and his easy address, while he claimed their relationship, would have delighted them all.	Wickham was not at all more distressed than herself, but his manners were always so pleasing, that had his character and his marriage been exactly what they ought, his smiles and his easy address, while he claimed their relationship, would have delighted them all.	true	832.58	845.59	21.331116
318_124164_000029_000001	Elizabeth had not before believed him quite equal to such assurance; but she sat down, resolving within herself to draw no limits in future to the impudence of an impudent man.	Elizabeth had not before believed him quite equal to such assurance; but she sat down, resolving within herself to draw no limits in future to the impudence of an impudent man.	true	846.65	856.42	20.372013
318_124164_000029_000002	She blushed, and Jane blushed; but the cheeks of the two who caused their confusion suffered no variation of colour.	She blushed, and Jane blushed; but the cheeks of the two who caused their confusion suffered no variation of colour.	false	857.18	863.14	20.725315
318_124164_000030_000000	There was no want of discourse.	There was no want of discourse.	true	864.56	866.35	24.147947
318_124164_000030_000001	The bride and her mother could neither of them talk fast enough; and Wickham, who happened to sit near Elizabeth, began inquiring after his acquaintance in that neighbourhood, with a good humoured ease which she felt very unable to equal in her replies.	The bride and her mother could neither of them talk fast enough; and Wickham, who happened to sit near Elizabeth, began inquiring after his acquaintance in that neighbourhood, with a good humoured ease which she felt very unable to equal in her replies.	true	866.51	878.68	21.88134
318_124164_000030_000002	They seemed each of them to have the happiest memories in the world.	They seemed each of them to have the happiest memories in the world.	true	878.99	881.925	20
318_124164_000030_000003	Nothing of the past was recollected with pain; and Lydia led voluntarily to subjects which her sisters would not have alluded to for the world.	Nothing of the past was recollected with pain; and Lydia led voluntarily to subjects which her sisters would not have alluded to for the world.	false	881.925	889.12	19.415976
318_124164_000031_000000	"Only think of its being three months," she cried, "since I went away; it seems but a fortnight I declare; and yet there have been things enough happened in the time.	"Only think of its being three months," she cried, "since I went away; it seems but a fortnight I declare; and yet there have been things enough happened in the time.	false	889.97	898.995	21.491268
318_124164_000031_000001	Good gracious! when I went away, I am sure I had no more idea of being married till I came back again! though I thought it would be very good fun if I was."	Good gracious! when I went away, I am sure I had no more idea of being married till I came back again! though I thought it would be very good fun if I was."	false	898.995	906.25	21.805428
318_124164_000032_000000	Her father lifted up his eyes.	Her father lifted up his eyes.	true	907.64	909.37	23.708775
318_124164_000032_000001	Jane was distressed.	Jane was distressed.	true	909.53	910.81	17.249594
318_124164_000032_000002	Elizabeth looked expressively at Lydia; but she, who never heard nor saw anything of which she chose to be insensible, gaily continued, "Oh! mamma, do the people hereabouts know I am married to-day?	Elizabeth looked expressively at Lydia; but she, who never heard nor saw anything of which she chose to be insensible, gaily continued, "Oh! mamma, do the people hereabouts know I am married to day?	false	910.94	922.81	22.75178
318_124164_000032_000003	I was afraid they might not; and we overtook William Goulding in his curricle, so I was determined he should know it, and so I let down the side-glass next to him, and took off my glove, and let my hand just rest upon the window frame, so that he might see the ring, and then I bowed and smiled like anything."	I was afraid they might not; and we overtook William Goulding in his curricle, so I was determined he should know it, and so I let down the side glass next to him, and took off my glove, and let my hand just rest upon the window frame, so that he might see the ring, and then I bowed and smiled like anything."	false	922.82	938.29	20
318_124164_000033_000000	Elizabeth could bear it no longer.	Elizabeth could bear it no longer.	true	939.89	941.7	25.821922
318_124164_000033_000001	She got up, and ran out of the room; and returned no more, till she heard them passing through the hall to the dining parlour.	She got up, and ran out of the room; and returned no more, till she heard them passing through the hall to the dining parlour.	true	941.7	947.62	20.492237
318_124164_000033_000002	She then joined them soon enough to see Lydia, with anxious parade, walk up to her mother's right hand, and hear her say to her eldest sister, "Ah!	She then joined them soon enough to see Lydia, with anxious parade, walk up to her mother's right hand, and hear her say to her eldest sister, "Ah!	true	947.84	956.34	18.424011
318_124164_000033_000003	Jane, I take your place now, and you must go lower, because I am a married woman."	Jane, I take your place now, and you must go lower, because I am a married woman."	false	956.34	961.42	19.505064
318_124164_000034_000000	It was not to be supposed that time would give Lydia that embarrassment from which she had been so wholly free at first.	It was not to be supposed that time would give Lydia that embarrassment from which she had been so wholly free at first.	true	963.14	968.68	20
318_124164_000034_000001	Her ease and good spirits increased.	Her ease and good spirits increased.	true	968.9	970.99	21.229189
318_124164_000034_000002	She longed to see Mrs. Phillips, the Lucases, and all their other neighbours, and to hear herself called "Mrs. Wickham" by each of them; and in the mean time, she went after dinner to show her ring, and boast of being married, to Mrs. Hill and the two housemaids.	She longed to see mrs Phillips, the Lucases, and all their other neighbours, and to hear herself called "mrs Wickham" by each of them; and in the mean time, she went after dinner to show her ring, and boast of being married, to mrs Hill and the two housemaids.	false	971	983.95	20.846016
318_124164_000035_000000	"Well, mamma," said she, when they were all returned to the breakfast room, "and what do you think of my husband?	"Well, mamma," said she, when they were all returned to the breakfast room, "and what do you think of my husband?	true	986.63	993.34	20.596022
