957_132537_000000_000000	'This is poor doings!' said Theresa. 'Dear lady! do take some food!	'This is poor doings!' said Theresa. 'Dear lady! do take some food!	false	1.68	2.04	14.4929085
957_132537_000010_000002	Nor were the good effects of this education confined to selfish advantages, since, St. Aubert having nourished every amiable qualify of her heart, it now expanded in benevolence to all around her, and taught her, when she could not remove the misfortunes of others, at least to soften them by sympathy and tenderness;--a benevolence that taught her to feel for all, that could suffer.	Nor were the good effects of this education confined to selfish advantages, since, st Aubert having nourished every amiable qualify of her heart, it now expanded in benevolence to all around her, and taught her, when she could not remove the misfortunes of others, at least to soften them by sympathy and tenderness;--a benevolence that taught her to feel for all, that could suffer.	false	258.98	282.58	18.086506
957_132537_000011_000000	Madame Cheron returned no answer to Emily's letter, who began to hope, that she should be permitted to remain some time longer in her retirement, and her mind had now so far recovered its strength, that she ventured to view the scenes, which most powerfully recalled the images of past times.	Madame Cheron returned no answer to Emily's letter, who began to hope, that she should be permitted to remain some time longer in her retirement, and her mind had now so far recovered its strength, that she ventured to view the scenes, which most powerfully recalled the images of past times.	false	285.11	301.69	18.756231
957_132537_000011_000001	Among these was the fishing-house; and, to indulge still more the affectionate melancholy of the visit, she took thither her lute, that she might again hear there the tones, to which St. Aubert and her mother had so often delighted to listen.	Among these was the fishing house; and, to indulge still more the affectionate melancholy of the visit, she took thither her lute, that she might again hear there the tones, to which st Aubert and her mother had so often delighted to listen.	false	302.66	316.69	16
957_132537_000011_000002	She went alone, and at that still hour of the evening which is so soothing to fancy and to grief. The last time she had been here she was in company with Monsieur and Madame St. Aubert, a few days preceding that, on which the latter was seized with a fatal illness.	She went alone, and at that still hour of the evening which is so soothing to fancy and to grief. The last time she had been here she was in company with Monsieur and Madame st Aubert, a few days preceding that, on which the latter was seized with a fatal illness.	false	318.5	334.78	18.17181
957_132537_000011_000003	Now, when Emily again entered the woods, that surrounded the building, they awakened so forcibly the memory of former times, that her resolution yielded for a moment to excess of grief.	Now, when Emily again entered the woods, that surrounded the building, they awakened so forcibly the memory of former times, that her resolution yielded for a moment to excess of grief.	true	335.84	347.8	17.83879
957_132537_000011_000004	She stopped, leaned for support against a tree, and wept for some minutes, before she had recovered herself sufficiently to proceed.	She stopped, leaned for support against a tree, and wept for some minutes, before she had recovered herself sufficiently to proceed.	true	348.29	356.08	19.296616
957_132537_000011_000005	The little path, that led to the building, was overgrown with grass and the flowers which St. Aubert had scattered carelessly along the border were almost choked with weeds--the tall thistle--the fox-glove, and the nettle.	The little path, that led to the building, was overgrown with grass and the flowers which st Aubert had scattered carelessly along the border were almost choked with weeds-the tall thistle-the fox glove, and the nettle.	false	356.36	369.4	18.982145
957_132537_000011_000006	She often paused to look on the desolate spot, now so silent and forsaken, and when, with a trembling hand, she opened the door of the fishing-house, 'Ah!' said she, 'every thing--every thing remains as when I left it last--left it with those who never must return!' She went to a window, that overhung the rivulet, and, leaning over it, with her eyes fixed on the current, was soon lost in melancholy reverie.	She often paused to look on the desolate spot, now so silent and forsaken, and when, with a trembling hand, she opened the door of the fishing house, 'Ah!' said she, 'every thing-every thing remains as when I left it last-left it with those who never must return!' She went to a window, that overhung the rivulet, and, leaning over it, with her eyes fixed on the current, was soon lost in melancholy reverie.	true	370.58	400.15	18.422525
957_132537_000011_000007	The lute she had brought lay forgotten beside her; the mournful sighing of the breeze, as it waved the high pines above, and its softer whispers among the osiers, that bowed upon the banks below, was a kind of music more in unison with her feelings.	The lute she had brought lay forgotten beside her; the mournful sighing of the breeze, as it waved the high pines above, and its softer whispers among the osiers, that bowed upon the banks below, was a kind of music more in unison with her feelings.	false	401.12	417.73	18.751867
957_132537_000011_000008	It did not vibrate on the chords of unhappy memory, but was soothing to the heart as the voice of Pity.	It did not vibrate on the chords of unhappy memory, but was soothing to the heart as the voice of Pity.	true	418.61	424.42	17
957_132537_000011_000009	She continued to muse, unconscious of the gloom of evening, and that the sun's last light trembled on the heights above, and would probably have remained so much longer, if a sudden footstep, without the building, had not alarmed her attention, and first made her recollect that she was unprotected.	She continued to muse, unconscious of the gloom of evening, and that the sun's last light trembled on the heights above, and would probably have remained so much longer, if a sudden footstep, without the building, had not alarmed her attention, and first made her recollect that she was unprotected.	false	425.3	444.85	18.858496
957_132537_000011_000010	In the next moment, a door opened, and a stranger appeared, who stopped on perceiving Emily, and then began to apologize for his intrusion.	In the next moment, a door opened, and a stranger appeared, who stopped on perceiving Emily, and then began to apologize for his intrusion.	true	446.06	454.33	19.887814
957_132537_000011_000011	But Emily, at the sound of his voice, lost her fear in a stronger emotion: its tones were familiar to her ear, and, though she could not readily distinguish through the dusk the features of the person who spoke, she felt a remembrance too strong to be distrusted.	But Emily, at the sound of his voice, lost her fear in a stronger emotion: its tones were familiar to her ear, and, though she could not readily distinguish through the dusk the features of the person who spoke, she felt a remembrance too strong to be distrusted.	true	455.24	472.75	18.940426
957_132537_000012_000000	He repeated his apology, and Emily then said something in reply, when the stranger eagerly advancing, exclaimed, 'Good God! can it be--surely I am not mistaken--ma'amselle St. Aubert?--is it not?'	He repeated his apology, and Emily then said something in reply, when the stranger eagerly advancing, exclaimed, 'Good God! can it be-surely I am not mistaken-ma'amselle st Aubert?--is it not?'	false	474.08	488.89	19.491629
957_132537_000013_000000	'It is indeed,' said Emily, who was confirmed in her first conjecture, for she now distinguished the countenance of Valancourt, lighted up with still more than its usual animation.	'It is indeed,' said Emily, who was confirmed in her first conjecture, for she now distinguished the countenance of Valancourt, lighted up with still more than its usual animation.	false	489.98	501.39	19.134663
957_132537_000013_000001	A thousand painful recollections crowded to her mind, and the effort, which she made to support herself, only served to increase her agitation.	A thousand painful recollections crowded to her mind, and the effort, which she made to support herself, only served to increase her agitation.	false	501.39	511.48	18.108849
957_132537_000013_000002	Valancourt, meanwhile, having enquired anxiously after her health, and expressed his hopes, that M. St. Aubert had found benefit from travelling, learned from the flood of tears, which she could no longer repress, the fatal truth.	Valancourt, meanwhile, having enquired anxiously after her health, and expressed his hopes, that m st Aubert had found benefit from travelling, learned from the flood of tears, which she could no longer repress, the fatal truth.	false	512.9	527.53	19.886696
957_132537_000013_000003	He led her to a seat, and sat down by her, while Emily continued to weep, and Valancourt to hold the hand, which she was unconscious he had taken, till it was wet with the tears, which grief for St. Aubert and sympathy for herself had called forth.	He led her to a seat, and sat down by her, while Emily continued to weep, and Valancourt to hold the hand, which she was unconscious he had taken, till it was wet with the tears, which grief for st Aubert and sympathy for herself had called forth.	false	528.35	544.45	18.501917
957_132537_000014_000000	'I feel,' said he at length, 'I feel how insufficient all attempt at consolation must be on this subject.	'I feel,' said he at length, 'I feel how insufficient all attempt at consolation must be on this subject.	false	546.92	554.62	18.365292
957_132537_000014_000001	I can only mourn with you, for I cannot doubt the source of your tears.	I can only mourn with you, for I cannot doubt the source of your tears.	true	556.22	560.68	19.66122
957_132537_000014_000002	Would to God I were mistaken!'	Would to God I were mistaken!'	true	561.98	563.98	18
957_132537_000015_000000	Emily could still answer only by tears, till she rose, and begged they might leave the melancholy spot, when Valancourt, though he saw her feebleness, could not offer to detain her, but took her arm within his, and led her from the fishing-house.	Emily could still answer only by tears, till she rose, and begged they might leave the melancholy spot, when Valancourt, though he saw her feebleness, could not offer to detain her, but took her arm within his, and led her from the fishing house.	true	567.02	583.99	18.577806
957_132537_000015_000001	They walked silently through the woods, Valancourt anxious to know, yet fearing to ask any particulars concerning St. Aubert; and Emily too much distressed to converse. After some time, however, she acquired fortitude enough to speak of her father, and to give a brief account of the manner of his death; during which recital Valancourt's countenance betrayed strong emotion, and, when he heard that St. Aubert had died on the road, and that Emily had been left among strangers, he pressed her hand between his, and involuntarily exclaimed, 'Why was I not there!' but in the next moment recollected himself, for he immediately returned to the mention of her father; till, perceiving that her spirits were exhausted, he gradually changed the subject, and spoke of himself.	They walked silently through the woods, Valancourt anxious to know, yet fearing to ask any particulars concerning st Aubert; and Emily too much distressed to converse. After some time, however, she acquired fortitude enough to speak of her father, and to give a brief account of the manner of his death; during which recital Valancourt's countenance betrayed strong emotion, and, when he heard that st Aubert had died on the road, and that Emily had been left among strangers, he pressed her hand between his, and involuntarily exclaimed, 'Why was I not there!' but in the next moment recollected himself, for he immediately returned to the mention of her father; till, perceiving that her spirits were exhausted, he gradually changed the subject, and spoke of himself.	false	586.13	638.89	19.140608
957_132537_000015_000002	Emily thus learned that, after they had parted, he had wandered, for some time, along the shores of the Mediterranean, and had then returned through Languedoc into Gascony, which was his native province, and where he usually resided.	Emily thus learned that, after they had parted, he had wandered, for some time, along the shores of the Mediterranean, and had then returned through Languedoc into Gascony, which was his native province, and where he usually resided.	true	641.06	658.15	19.276196
957_132537_000016_000000	When he had concluded his little narrative, he sunk into a silence, which Emily was not disposed to interrupt, and it continued, till they reached the gate of the chateau, when he stopped, as if he had known this to be the limit of his walk.	When he had concluded his little narrative, he sunk into a silence, which Emily was not disposed to interrupt, and it continued, till they reached the gate of the chateau, when he stopped, as if he had known this to be the limit of his walk.	false	659.87	674.17	18.984533
957_132537_000016_000001	Here, saying, that it was his intention to return to Estuviere on the following day, he asked her if she would permit him to take leave of her in the morning; and Emily, perceiving that she could not reject an ordinary civility, without expressing by her refusal an expectation of something more, was compelled to answer, that she should be at home.	Here, saying, that it was his intention to return to Estuviere on the following day, he asked her if she would permit him to take leave of her in the morning; and Emily, perceiving that she could not reject an ordinary civility, without expressing by her refusal an expectation of something more, was compelled to answer, that she should be at home.	false	675.38	696.28	18.92399
957_132537_000017_000000	She passed a melancholy evening, during which the retrospect of all that had happened, since she had seen Valancourt, would rise to her imagination; and the scene of her father's death appeared in tints as fresh, as if it had passed on the preceding day.	She passed a melancholy evening, during which the retrospect of all that had happened, since she had seen Valancourt, would rise to her imagination; and the scene of her father's death appeared in tints as fresh, as if it had passed on the preceding day.	false	698.15	714.67	18.896328
957_132537_000017_000001	She remembered particularly the earnest and solemn manner, in which he had required her to destroy the manuscript papers, and, awakening from the lethargy, in which sorrow had held her, she was shocked to think she had not yet obeyed him, and determined, that another day should not reproach her with the neglect.	She remembered particularly the earnest and solemn manner, in which he had required her to destroy the manuscript papers, and, awakening from the lethargy, in which sorrow had held her, she was shocked to think she had not yet obeyed him, and determined, that another day should not reproach her with the neglect.	false	715.67	741.9	17.70975
