258_130878_000000_000000	CHAPTER 24	CHAPTER twenty four	true	23.655	25.12	18
258_130878_000011_000000	"Are you a physician, Professor Aronnax?"	"Are you a physician, Professor Aronnax?"	true	197.9	200.14	21.232605
258_130878_000012_000000	This inquiry was so unexpected that I stared at him a good while without replying.	This inquiry was so unexpected that I stared at him a good while without replying.	true	201.2	205.6	22.479399
258_130878_000013_000000	"Are you a physician?" he repeated.	"Are you a physician?" he repeated.	false	206.24	208.3	19.827219
258_130878_000013_000001	"Several of your scientific colleagues took their degrees in medicine, such as Gratiolet, Moquin-Tandon, and others."	"Several of your scientific colleagues took their degrees in medicine, such as Gratiolet, Moquin Tandon, and others."	false	208.76	215.89	22.12455
258_130878_000014_000000	"That's right," I said, "I am a doctor, I used to be on call at the hospitals.	"That's right," I said, "I am a doctor, I used to be on call at the hospitals.	true	216.74	221.89	22.05573
258_130878_000014_000001	I was in practice for several years before joining the museum."	I was in practice for several years before joining the museum."	true	222.44	225.67	21.526524
258_130878_000015_000000	"Excellent, sir."	"Excellent, sir."	true	226.55	227.65	21.305988
258_130878_000016_000000	My reply obviously pleased Captain Nemo.	My reply obviously pleased Captain Nemo.	true	229.04	231.7	22.922104
258_130878_000016_000001	But not knowing what he was driving at, I waited for further questions, ready to reply as circumstances dictated.	But not knowing what he was driving at, I waited for further questions, ready to reply as circumstances dictated.	true	231.77	237.97	21.246317
258_130878_000017_000000	"Professor Aronnax," the captain said to me, "would you consent to give your medical attentions to one of my men?"	"Professor Aronnax," the captain said to me, "would you consent to give your medical attentions to one of my men?"	true	238.97	244.78	20.651031
258_130878_000018_000000	"Someone is sick?"	"Someone is sick?"	true	245.66	247.365	20.744234
258_130878_000019_000000	"Yes."	"Yes."	true	247.365	248.11	19.724321
258_130878_000020_000000	"I'm ready to go with you."	"I'm ready to go with you."	true	248.51	250.575	20.045654
258_130878_000021_000000	"Come."	"Come."	true	250.575	252.07	18.702627
258_130878_000022_000000	I admit that my heart was pounding.	I admit that my heart was pounding.	true	252.56	254.47	23.123102
258_130878_000022_000001	Lord knows why, but I saw a definite connection between this sick crewman and yesterday's happenings, and the mystery of those events concerned me at least as much as the man's sickness.	Lord knows why, but I saw a definite connection between this sick crewman and yesterday's happenings, and the mystery of those events concerned me at least as much as the man's sickness.	false	254.57	264.19	21.694351
258_130878_000023_000000	Captain Nemo led me to the Nautilus's stern and invited me into a cabin located next to the sailors' quarters.	Captain Nemo led me to the Nautilus's stern and invited me into a cabin located next to the sailors' quarters.	true	265.19	271.45	21.254211
258_130878_000024_000000	On a bed there lay a man some forty years old, with strongly molded features, the very image of an Anglo-Saxon.	On a bed there lay a man some forty years old, with strongly molded features, the very image of an Anglo Saxon.	true	272	279.01	19.990873
258_130878_000025_000000	I bent over him.	I bent over him.	true	280.04	281.35	20.141268
258_130878_000025_000001	Not only was he sick, he was wounded. Swathed in blood-soaked linen, his head was resting on a folded pillow. I undid the linen bandages, while the wounded man gazed with great staring eyes and let me proceed without making a single complaint.	Not only was he sick, he was wounded. Swathed in blood soaked linen, his head was resting on a folded pillow. I undid the linen bandages, while the wounded man gazed with great staring eyes and let me proceed without making a single complaint.	true	281.78	296.47	20.660986
258_130878_000026_000000	It was a horrible wound.	It was a horrible wound.	true	297.62	299.38	19.119692
258_130878_000026_000001	The cranium had been smashed open by some blunt instrument, leaving the naked brains exposed, and the cerebral matter had suffered deep abrasions.	The cranium had been smashed open by some blunt instrument, leaving the naked brains exposed, and the cerebral matter had suffered deep abrasions.	true	299.69	308.26	20.104412
258_130878_000026_000002	Blood clots had formed in this dissolving mass, taking on the color of wine dregs. Both contusion and concussion of the brain had occurred.	Blood clots had formed in this dissolving mass, taking on the color of wine dregs. Both contusion and concussion of the brain had occurred.	true	308.84	317.71	21.82866
258_130878_000026_000003	The sick man's breathing was labored, and muscle spasms quivered in his face. Cerebral inflammation was complete and had brought on a paralysis of movement and sensation.	The sick man's breathing was labored, and muscle spasms quivered in his face. Cerebral inflammation was complete and had brought on a paralysis of movement and sensation.	false	318.38	329.14	19.674023
258_130878_000027_000000	I took the wounded man's pulse.	I took the wounded man's pulse.	true	330.23	332.26	20.5074
258_130878_000027_000001	It was intermittent. The body's extremities were already growing cold, and I saw that death was approaching without any possibility of my holding it in check. After dressing the poor man's wound, I redid the linen bandages around his head, and I turned to Captain Nemo.	It was intermittent. The body's extremities were already growing cold, and I saw that death was approaching without any possibility of my holding it in check. After dressing the poor man's wound, I redid the linen bandages around his head, and I turned to Captain Nemo.	true	332.72	349.78	19.838457
258_130878_000028_000000	"How did he get this wound?" I asked him.	"How did he get this wound?" I asked him.	true	350.75	353.25	23.608826
258_130878_000029_000000	"That's not important," the captain replied evasively. "The Nautilus suffered a collision that cracked one of the engine levers, and it struck this man.	"That's not important," the captain replied evasively. "The Nautilus suffered a collision that cracked one of the engine levers, and it struck this man.	false	353.25	362.02	21.38741
258_130878_000029_000001	My chief officer was standing beside him. This man leaped forward to intercept the blow.	My chief officer was standing beside him. This man leaped forward to intercept the blow.	true	362.63	367.26	22.518162
258_130878_000029_000002	A brother lays down his life for his brother, a friend for his friend, what could be simpler? That's the law for everyone on board the Nautilus.	A brother lays down his life for his brother, a friend for his friend, what could be simpler? That's the law for everyone on board the Nautilus.	false	367.26	376.6	21.444504
258_130878_000029_000003	But what's your diagnosis of his condition?"	But what's your diagnosis of his condition?"	true	377.12	379.3	19.2077
258_130878_000030_000000	I hesitated to speak my mind.	I hesitated to speak my mind.	true	380.21	382.45	17.361483
258_130878_000031_000000	"You may talk freely," the captain told me.	"You may talk freely," the captain told me.	true	382.55	384.73	21.500135
258_130878_000031_000001	"This man doesn't understand French."	"This man doesn't understand French."	true	384.8	386.89	21.800104
258_130878_000032_000000	I took a last look at the wounded man, then I replied:	I took a last look at the wounded man, then I replied:	true	387.5	390.79	19.396168
258_130878_000033_000000	"This man will be dead in two hours."	"This man will be dead in two hours."	true	390.83	393.4	19.06705
258_130878_000034_000000	"Nothing can save him?"	"Nothing can save him?"	true	394.28	395.74	19.094196
258_130878_000035_000000	"Nothing."	"Nothing."	true	396.56	397.33	19.532944
258_130878_000036_000000	Captain Nemo clenched his fists, and tears slid from his eyes, which I had thought incapable of weeping.	Captain Nemo clenched his fists, and tears slid from his eyes, which I had thought incapable of weeping.	false	398.51	404.56	20.476574
258_130878_000037_000000	For a few moments more I observed the dying man, whose life was ebbing little by little.	For a few moments more I observed the dying man, whose life was ebbing little by little.	true	405.38	410.95	20.17803
258_130878_000037_000001	He grew still more pale under the electric light that bathed his deathbed.	He grew still more pale under the electric light that bathed his deathbed.	true	411.68	415.57	21.403898
258_130878_000037_000002	I looked at his intelligent head, furrowed with premature wrinkles that misfortune, perhaps misery, had etched long before.	I looked at his intelligent head, furrowed with premature wrinkles that misfortune, perhaps misery, had etched long before.	true	416.18	423.46	21.192768
258_130878_000037_000003	I was hoping to detect the secret of his life in the last words that might escape from his lips!	I was hoping to detect the secret of his life in the last words that might escape from his lips!	true	423.95	428.74	20.539368
258_130878_000038_000000	"You may go, Professor Aronnax," Captain Nemo told me.	"You may go, Professor Aronnax," Captain Nemo told me.	true	429.77	432.7	19.7433
258_130878_000039_000000	I left the captain in the dying man's cabin and I repaired to my stateroom, very moved by this scene.	I left the captain in the dying man's cabin and I repaired to my stateroom, very moved by this scene.	false	433.79	439.18	20.238848
258_130878_000039_000001	All day long I was aquiver with gruesome forebodings.	All day long I was aquiver with gruesome forebodings.	true	439.94	442.99	19.618822
258_130878_000039_000002	That night I slept poorly, and between my fitful dreams, I thought I heard a distant moaning, like a funeral dirge.	That night I slept poorly, and between my fitful dreams, I thought I heard a distant moaning, like a funeral dirge.	true	443.21	450.19	20.987669
258_130878_000039_000003	Was it a prayer for the dead, murmured in that language I couldn't understand?	Was it a prayer for the dead, murmured in that language I couldn't understand?	true	450.86	454.99	21.446795
258_130878_000040_000000	The next morning I climbed on deck.	The next morning I climbed on deck.	true	457.4	459.46	21.432072
258_130878_000040_000001	Captain Nemo was already there. As soon as he saw me, he came over.	Captain Nemo was already there. As soon as he saw me, he came over.	true	459.77	463.9	19.16197
258_130878_000041_000000	"Professor," he said to me, "would it be convenient for you to make an underwater excursion today?"	"Professor," he said to me, "would it be convenient for you to make an underwater excursion today?"	true	464.27	469.33	20.354727
258_130878_000042_000000	"With my companions?" I asked.	"With my companions?" I asked.	true	470.39	472.21	21.245352
258_130878_000043_000000	"If they're agreeable."	"If they're agreeable."	true	472.43	473.74	23.227055
258_130878_000044_000000	"We're yours to command, captain."	"We're yours to command, captain."	true	474.41	476.08	20.584955
258_130878_000045_000000	"Then kindly put on your diving suits."	"Then kindly put on your diving suits."	true	476.39	478.35	21.085672
258_130878_000046_000000	As for the dead or dying man, he hadn't come into the picture.	As for the dead or dying man, he hadn't come into the picture.	false	478.35	483.22	18.926008
258_130878_000046_000001	I rejoined Ned Land and Conseil.	I rejoined Ned Land and Conseil.	true	484.01	485.95	19.791048
258_130878_000046_000002	I informed them of Captain Nemo's proposition. Conseil was eager to accept, and this time the Canadian proved perfectly amenable to going with us.	I informed them of Captain Nemo's proposition. Conseil was eager to accept, and this time the Canadian proved perfectly amenable to going with us.	true	486.23	494.44	20.362997
258_130878_000047_000000	It was eight o'clock in the morning.	It was eight o'clock in the morning.	true	495.02	496.9	19.292185
258_130878_000047_000001	By 8:30 we were suited up for this new stroll and equipped with our two devices for lighting and breathing. The double door opened, and accompanied by Captain Nemo with a dozen crewmen following, we set foot on the firm seafloor where the Nautilus was resting, ten meters down.	By eight thirty we were suited up for this new stroll and equipped with our two devices for lighting and breathing. The double door opened, and accompanied by Captain Nemo with a dozen crewmen following, we set foot on the firm seafloor where the Nautilus was resting, ten meters down.	true	497.27	513.43	19.454145
258_130878_000048_000000	A gentle slope gravitated to an uneven bottom whose depth was about fifteen fathoms.	A gentle slope gravitated to an uneven bottom whose depth was about fifteen fathoms.	true	514.04	519.13	21.34134
258_130878_000048_000001	This bottom was completely different from the one I had visited during my first excursion under the waters of the Pacific Ocean.	This bottom was completely different from the one I had visited during my first excursion under the waters of the Pacific Ocean.	true	519.86	525.7	20
258_130878_000048_000002	Here I saw no fine-grained sand, no underwater prairies, not one open-sea forest.	Here I saw no fine grained sand, no underwater prairies, not one open sea forest.	true	526.31	532.99	21.407272
258_130878_000048_000003	I immediately recognized the wondrous region in which Captain Nemo did the honors that day. It was the coral realm.	I immediately recognized the wondrous region in which Captain Nemo did the honors that day. It was the coral realm.	true	533.33	540.1	19.643953
258_130878_000049_000000	In the zoophyte branch, class Alcyonaria, one finds the order Gorgonaria, which contains three groups: sea fans, isidian polyps, and coral polyps. It's in this last that precious coral belongs, an unusual substance that, at different times, has been classified in the mineral, vegetable, and animal kingdoms.	In the zoophyte branch, class Alcyonaria, one finds the order Gorgonaria, which contains three groups: sea fans, isidian polyps, and coral polyps. It's in this last that precious coral belongs, an unusual substance that, at different times, has been classified in the mineral, vegetable, and animal kingdoms.	true	541.4	561.7	20.38184
258_130878_000049_000001	Medicine to the ancients, jewelry to the moderns, it wasn't decisively placed in the animal kingdom until 1694, by Peysonnel of Marseilles.	Medicine to the ancients, jewelry to the moderns, it wasn't decisively placed in the animal kingdom until sixteen ninety four, by Peysonnel of Marseilles.	false	562.28	571.21	19.48724
258_130878_000050_000000	A coral is a unit of tiny animals assembled over a polypary that's brittle and stony in nature.	A coral is a unit of tiny animals assembled over a polypary that's brittle and stony in nature.	false	572.36	578.08	21.819572
258_130878_000050_000001	These polyps have a unique generating mechanism that reproduces them via the budding process, and they have an individual existence while also participating in a communal life.	These polyps have a unique generating mechanism that reproduces them via the budding process, and they have an individual existence while also participating in a communal life.	true	578.69	588.55	20.860653
258_130878_000050_000002	Hence they embody a sort of natural socialism. I was familiar with the latest research on this bizarre zoophyte-- which turns to stone while taking on a tree form, as some naturalists have very aptly observed--and nothing could have been more fascinating to me than to visit one of these petrified forests that nature has planted on the bottom of the sea.	Hence they embody a sort of natural socialism. I was familiar with the latest research on this bizarre zoophyte- which turns to stone while taking on a tree form, as some naturalists have very aptly observed-and nothing could have been more fascinating to me than to visit one of these petrified forests that nature has planted on the bottom of the sea.	false	588.71	609.82	20.343851
258_130878_000051_000000	We turned on our Ruhmkorff devices and went along a coral shoal in the process of forming, which, given time, will someday close off this whole part of the Indian Ocean.	We turned on our Ruhmkorff devices and went along a coral shoal in the process of forming, which, given time, will someday close off this whole part of the Indian Ocean.	true	611.36	620.2	20.792315
258_130878_000051_000001	Our path was bordered by hopelessly tangled bushes, formed from snarls of shrubs all covered with little star-shaped, white-streaked flowers. Only, contrary to plants on shore, these tree forms become attached to rocks on the seafloor by heading from top to bottom.	Our path was bordered by hopelessly tangled bushes, formed from snarls of shrubs all covered with little star shaped, white streaked flowers. Only, contrary to plants on shore, these tree forms become attached to rocks on the seafloor by heading from top to bottom.	false	620.78	636.49	21.648499
258_130878_000052_000000	Our lights produced a thousand delightful effects while playing over these brightly colored boughs.	Our lights produced a thousand delightful effects while playing over these brightly colored boughs.	true	637.58	642.46	22.998878
258_130878_000052_000001	I fancied I saw these cylindrical, membrane-filled tubes trembling beneath the water's undulations. I was tempted to gather their fresh petals, which were adorned with delicate tentacles, some newly in bloom, others barely opened, while nimble fish with fluttering fins brushed past them like flocks of birds. But if my hands came near the moving flowers of these sensitive, lively creatures, an alarm would instantly sound throughout the colony. The white petals retracted into their red sheaths, the flowers vanished before my eyes, and the bush changed into a chunk of stony nipples.	I fancied I saw these cylindrical, membrane filled tubes trembling beneath the water's undulations. I was tempted to gather their fresh petals, which were adorned with delicate tentacles, some newly in bloom, others barely opened, while nimble fish with fluttering fins brushed past them like flocks of birds. But if my hands came near the moving flowers of these sensitive, lively creatures, an alarm would instantly sound throughout the colony. The white petals retracted into their red sheaths, the flowers vanished before my eyes, and the bush changed into a chunk of stony nipples.	true	642.92	678.49	21.073196
258_130878_000053_000000	Sheer chance had placed me in the presence of the most valuable specimens of this zoophyte.	Sheer chance had placed me in the presence of the most valuable specimens of this zoophyte.	true	680.75	685.42	21.789991
258_130878_000053_000001	This coral was the equal of those fished up from the Mediterranean off the Barbary Coast or the shores of France and Italy.	This coral was the equal of those fished up from the Mediterranean off the Barbary Coast or the shores of France and Italy.	true	686.03	693.16	21.34679
258_130878_000053_000002	With its bright colors, it lived up to those poetic names of blood flower and blood foam that the industry confers on its finest exhibits.	With its bright colors, it lived up to those poetic names of blood flower and blood foam that the industry confers on its finest exhibits.	true	694.19	702.25	21.452347
258_130878_000053_000003	Coral sells for as much as 500 francs per kilogram, and in this locality the liquid strata hid enough to make the fortunes of a whole host of coral fishermen. This valuable substance often merges with other polyparies, forming compact, hopelessly tangled units known as "macciota," and I noted some wonderful pink samples of this coral.	Coral sells for as much as five hundred francs per kilogram, and in this locality the liquid strata hid enough to make the fortunes of a whole host of coral fishermen. This valuable substance often merges with other polyparies, forming compact, hopelessly tangled units known as "macciota," and I noted some wonderful pink samples of this coral.	true	702.65	724.39	20.865349
258_130878_000054_000000	But as the bushes shrank, the tree forms magnified. Actual petrified thickets and long alcoves from some fantastic school of architecture kept opening up before our steps. Captain Nemo entered beneath a dark gallery whose gentle slope took us to a depth of 100 meters.	But as the bushes shrank, the tree forms magnified. Actual petrified thickets and long alcoves from some fantastic school of architecture kept opening up before our steps. Captain Nemo entered beneath a dark gallery whose gentle slope took us to a depth of one hundred meters.	false	726.26	744.94	21.799429
258_130878_000054_000001	The light from our glass coils produced magical effects at times, lingering on the wrinkled roughness of some natural arch, or some overhang suspended like a chandelier, which our lamps flecked with fiery sparks.	The light from our glass coils produced magical effects at times, lingering on the wrinkled roughness of some natural arch, or some overhang suspended like a chandelier, which our lamps flecked with fiery sparks.	true	745.67	758.38	20.043653
258_130878_000054_000002	Amid these shrubs of precious coral, I observed other polyps no less unusual: melita coral, rainbow coral with jointed outgrowths, then a few tufts of genus Corallina, some green and others red, actually a type of seaweed encrusted with limestone salts, which, after long disputes, naturalists have finally placed in the vegetable kingdom. But as one intellectual has remarked, "Here, perhaps, is the actual point where life rises humbly out of slumbering stone, but without breaking away from its crude starting point."	Amid these shrubs of precious coral, I observed other polyps no less unusual: melita coral, rainbow coral with jointed outgrowths, then a few tufts of genus Corallina, some green and others red, actually a type of seaweed encrusted with limestone salts, which, after long disputes, naturalists have finally placed in the vegetable kingdom. But as one intellectual has remarked, "Here, perhaps, is the actual point where life rises humbly out of slumbering stone, but without breaking away from its crude starting point."	true	759.2	792.94	21.050108
258_130878_000055_000000	Finally, after two hours of walking, we reached a depth of about 300 meters, in other words, the lowermost limit at which coral can begin to form.	Finally, after two hours of walking, we reached a depth of about three hundred meters, in other words, the lowermost limit at which coral can begin to form.	true	794.81	804.79	21.196129
258_130878_000055_000001	But here it was no longer some isolated bush or a modest grove of low timber.	But here it was no longer some isolated bush or a modest grove of low timber.	true	805.73	810.76	21.593447
258_130878_000055_000002	It was an immense forest, huge mineral vegetation, enormous petrified trees linked by garlands of elegant hydras from the genus Plumularia, those tropical creepers of the sea, all decked out in shades and gleams. We passed freely under their lofty boughs, lost up in the shadows of the waves, while at our feet organ-pipe coral, stony coral, star coral, fungus coral, and sea anemone from the genus Caryophylia formed a carpet of flowers all strewn with dazzling gems.	It was an immense forest, huge mineral vegetation, enormous petrified trees linked by garlands of elegant hydras from the genus Plumularia, those tropical creepers of the sea, all decked out in shades and gleams. We passed freely under their lofty boughs, lost up in the shadows of the waves, while at our feet organ pipe coral, stony coral, star coral, fungus coral, and sea anemone from the genus Caryophylia formed a carpet of flowers all strewn with dazzling gems.	true	811.1	842.59	20.786371
258_130878_000056_000000	What an indescribable sight!	What an indescribable sight!	true	843.89	846.22	23.049862
258_130878_000056_000001	Oh, if only we could share our feelings! Why were we imprisoned behind these masks of metal and glass! Why were we forbidden to talk with each other!	Oh, if only we could share our feelings! Why were we imprisoned behind these masks of metal and glass! Why were we forbidden to talk with each other!	true	846.89	856.27	20.32873
258_130878_000056_000002	At least let us lead the lives of the fish that populate this liquid element, or better yet, the lives of amphibians, which can spend long hours either at sea or on shore, traveling through their double domain as their whims dictate!	At least let us lead the lives of the fish that populate this liquid element, or better yet, the lives of amphibians, which can spend long hours either at sea or on shore, traveling through their double domain as their whims dictate!	false	856.61	870.25	20.816605
258_130878_000057_000000	Meanwhile Captain Nemo had called a halt.	Meanwhile Captain Nemo had called a halt.	true	872.27	874.84	21.668507
258_130878_000057_000001	My companions and I stopped walking, and turning around, I saw the crewmen form a semicircle around their leader.	My companions and I stopped walking, and turning around, I saw the crewmen form a semicircle around their leader.	true	875.33	881.71	22.004816
258_130878_000057_000002	Looking with greater care, I observed that four of them were carrying on their shoulders an object that was oblong in shape.	Looking with greater care, I observed that four of them were carrying on their shoulders an object that was oblong in shape.	true	882.53	889.48	20.818392
258_130878_000058_000000	At this locality we stood in the center of a huge clearing surrounded by the tall tree forms of this underwater forest. Our lamps cast a sort of brilliant twilight over the area, making inordinately long shadows on the seafloor.	At this locality we stood in the center of a huge clearing surrounded by the tall tree forms of this underwater forest. Our lamps cast a sort of brilliant twilight over the area, making inordinately long shadows on the seafloor.	true	890.99	906.01	21.202896
258_130878_000058_000001	Past the boundaries of the clearing, the darkness deepened again, relieved only by little sparkles given off by the sharp crests of coral.	Past the boundaries of the clearing, the darkness deepened again, relieved only by little sparkles given off by the sharp crests of coral.	true	906.86	915.34	21.437922
258_130878_000059_000000	Ned Land and Conseil stood next to me.	Ned Land and Conseil stood next to me.	true	917.24	919.75	20.119694
258_130878_000059_000001	We stared, and it dawned on me that I was about to witness a strange scene. Observing the seafloor, I saw that it swelled at certain points from low bulges that were encrusted with limestone deposits and arranged with a symmetry that betrayed the hand of man.	We stared, and it dawned on me that I was about to witness a strange scene. Observing the seafloor, I saw that it swelled at certain points from low bulges that were encrusted with limestone deposits and arranged with a symmetry that betrayed the hand of man.	true	920.54	935.77	21.659435
258_130878_000060_000000	In the middle of the clearing, on a pedestal of roughly piled rocks, there stood a cross of coral, extending long arms you would have thought were made of petrified blood.	In the middle of the clearing, on a pedestal of roughly piled rocks, there stood a cross of coral, extending long arms you would have thought were made of petrified blood.	true	936.65	946.63	21.269447
258_130878_000061_000000	At a signal from Captain Nemo, one of his men stepped forward and, a few feet from this cross, detached a mattock from his belt and began to dig a hole.	At a signal from Captain Nemo, one of his men stepped forward and, a few feet from this cross, detached a mattock from his belt and began to dig a hole.	true	947.33	957.46	20.62364
258_130878_000062_000000	I finally understood!	I finally understood!	true	957.98	959.71	21.889229
258_130878_000062_000001	This clearing was a cemetery, this hole a grave, that oblong object the body of the man who must have died during the night!	This clearing was a cemetery, this hole a grave, that oblong object the body of the man who must have died during the night!	true	960.14	967.39	20.808216
258_130878_000062_000002	Captain Nemo and his men had come to bury their companion in this communal resting place on the inaccessible ocean floor!	Captain Nemo and his men had come to bury their companion in this communal resting place on the inaccessible ocean floor!	true	967.91	974.65	20
258_130878_000063_000000	No!	No!	true	975.71	976.51	22.57777
258_130878_000063_000001	My mind was reeling as never before!	My mind was reeling as never before!	true	976.64	978.88	20.418879
258_130878_000063_000002	Never had ideas of such impact raced through my brain!	Never had ideas of such impact raced through my brain!	true	979.31	982.78	22.019976
258_130878_000063_000003	I didn't want to see what my eyes saw!	I didn't want to see what my eyes saw!	true	983.15	985.48	18.531738
258_130878_000064_000000	Meanwhile the grave digging went slowly.	Meanwhile the grave digging went slowly.	true	986.48	988.87	21.183922
258_130878_000064_000001	Fish fled here and there as their retreat was disturbed.	Fish fled here and there as their retreat was disturbed.	true	989.42	992.53	19.812038
258_130878_000064_000002	I heard the pick ringing on the limestone soil, its iron tip sometimes giving off sparks when it hit a stray piece of flint on the sea bottom.	I heard the pick ringing on the limestone soil, its iron tip sometimes giving off sparks when it hit a stray piece of flint on the sea bottom.	true	992.78	1000.81	22.871143
258_130878_000064_000003	The hole grew longer, wider, and soon was deep enough to receive the body.	The hole grew longer, wider, and soon was deep enough to receive the body.	true	1001.3	1006.69	22.315434
258_130878_000065_000000	Then the pallbearers approached.	Then the pallbearers approached.	true	1008.8	1011.07	20.064596
258_130878_000065_000001	Wrapped in white fabric made from filaments of the fan mussel, the body was lowered into its watery grave. Captain Nemo, arms crossed over his chest, knelt in a posture of prayer, as did all the friends of him who had loved them. . . . My two companions and I bowed reverently.	Wrapped in white fabric made from filaments of the fan mussel, the body was lowered into its watery grave. Captain Nemo, arms crossed over his chest, knelt in a posture of prayer, as did all the friends of him who had loved them. . . . My two companions and I bowed reverently.	false	1011.59	1031.56	20.02733
258_130878_000066_000000	The grave was then covered over with the rubble dug from the seafloor, and it formed a low mound.	The grave was then covered over with the rubble dug from the seafloor, and it formed a low mound.	true	1031.84	1037.44	20.062346
258_130878_000067_000000	When this was done, Captain Nemo and his men stood up; then they all approached the grave, sank again on bended knee, and extended their hands in a sign of final farewell. . . .	When this was done, Captain Nemo and his men stood up; then they all approached the grave, sank again on bended knee, and extended their hands in a sign of final farewell. . . .	true	1037.72	1048.15	21.076439
