6286_75355_000000_000000	[Sidenote: Theory that stations actually correspond to faculty.]	[Sidenote: Theory that stations actually correspond to faculty.]	false	18	24.88	23.293795
6286_75355_000011_000003	No one, except in wilful fancy, would envy the peculiar advantages of a whale or an ant, of an Inca or a Grand Lama.	No one, except in wilful fancy, would envy the peculiar advantages of a whale or an ant, of an Inca or a Grand Lama.	true	604.34	614.17	23.637138
6286_75355_000011_000004	An exchange of places with such remote beings would too evidently leave each creature the very same that it was before; for after a nominal exchange of places each office would remain filled and no trace of a change would be perceptible.	An exchange of places with such remote beings would too evidently leave each creature the very same that it was before; for after a nominal exchange of places each office would remain filled and no trace of a change would be perceptible.	true	614.96	630.76	23.593122
6286_75355_000011_000005	But the penny that one man finds and another misses would not, had fortune been reversed, have transmuted each man into the other.	But the penny that one man finds and another misses would not, had fortune been reversed, have transmuted each man into the other.	true	631.76	641.41	21.203815
6286_75355_000011_000006	So adventitious a circumstance seems easily transferable without undermining that personal distinction which it had come to embitter.	So adventitious a circumstance seems easily transferable without undermining that personal distinction which it had come to embitter.	true	641.63	650.44	17
6286_75355_000011_000007	Yet the incipient fallacy lurking even in such suppositions becomes obvious when we inquire whether so blind an accident, for instance, as sex is also adventitious and ideally transferable and whether Jack and Jill, remaining themselves, could have exchanged genders.	Yet the incipient fallacy lurking even in such suppositions becomes obvious when we inquire whether so blind an accident, for instance, as sex is also adventitious and ideally transferable and whether Jack and Jill, remaining themselves, could have exchanged genders.	true	651.11	671.98	23.231981
6286_75355_000012_000000	What extends these invidious comparisons beyond all tolerable bounds is the generic and vague nature proper to language and its terms.	What extends these invidious comparisons beyond all tolerable bounds is the generic and vague nature proper to language and its terms.	true	672.5	682.84	19
6286_75355_000012_000001	The first personal pronoun "I" is a concept so thoroughly universal that it can accompany any experience whatever, yet it is used to designate an individual who is really definable not by the formal selfhood which he shares with every other thinker, but by the special events that make up his life.	The first personal pronoun "I" is a concept so thoroughly universal that it can accompany any experience whatever, yet it is used to designate an individual who is really definable not by the formal selfhood which he shares with every other thinker, but by the special events that make up his life.	true	683.3	705.52	23.553288
6286_75355_000012_000002	Each man's memory embraces a certain field, and if the landscape open to his vision is sad and hateful he naturally wishes it to shift and become like that paradise in which, as he fancies, other men dwell.	Each man's memory embraces a certain field, and if the landscape open to his vision is sad and hateful he naturally wishes it to shift and become like that paradise in which, as he fancies, other men dwell.	true	706.01	720.6	19
6286_75355_000012_000003	A legitimate rebellion against evil in his own experience becomes an unthinkable supposition about what his experience might have been had _he_ enjoyed those other men's opportunities or even (so far can unreason wander) had _he_ possessed their character.	A legitimate rebellion against evil in his own experience becomes an unthinkable supposition about what his experience might have been had underscore he underscore enjoyed those other men's opportunities or even (so far can unreason wander) had underscore he underscore possessed their character.	false	720.6	739.84	22.574179
6286_75355_000012_000004	The wholly different creature, a replica of that envied ideal, which would have existed in that case would still have called itself "I"; and so, the dreamer imagines, that creature would have been himself in a different situation.	The wholly different creature, a replica of that envied ideal, which would have existed in that case would still have called itself "I"; and so, the dreamer imagines, that creature would have been himself in a different situation.	false	740.03	755.95	22.022423
6286_75355_000013_000000	If a new birth could still be called by a man's own name, the reason would be that the concrete faculties now present in him are the basis for the ideal he throws out, and if these particular faculties came to fruition in a new being, he would call that being himself, inasmuch as it realised his ideal.	If a new birth could still be called by a man's own name, the reason would be that the concrete faculties now present in him are the basis for the ideal he throws out, and if these particular faculties came to fruition in a new being, he would call that being himself, inasmuch as it realised his ideal.	true	756.8	779.29	23.816772
6286_75355_000013_000001	The poorer the reality, therefore, the meaner and vaguer the ideal it is able to project.	The poorer the reality, therefore, the meaner and vaguer the ideal it is able to project.	false	780.05	786.7	22.226593
6286_75355_000013_000002	Man is so tied to his personal endowment (essential to him though an accident in the world) that even his uttermost ideal, into which he would fly out of himself and his finitude, can be nothing but the fulfilment of his own initial idiosyncrasies.	Man is so tied to his personal endowment (essential to him though an accident in the world) that even his uttermost ideal, into which he would fly out of himself and his finitude, can be nothing but the fulfilment of his own initial idiosyncrasies.	false	787.37	804.91	24.239073
6286_75355_000013_000003	Whatever other wills and other glories may exist in heaven lie not within his universe of aspiration.	Whatever other wills and other glories may exist in heaven lie not within his universe of aspiration.	true	805.58	812.59	19
6286_75355_000013_000004	Even his most perversely metaphysical envy can begrudge to others only what he instinctively craves for himself.	Even his most perversely metaphysical envy can begrudge to others only what he instinctively craves for himself.	true	813.23	822.18	23.547735
6286_75355_000014_000000	[Sidenote: Inequality is not a grievance; suffering is.]	[Sidenote: Inequality is not a grievance; suffering is.]	false	822.18	828.04	21.512913
6286_75355_000015_000000	It is not mere inequality, therefore, that can be a reproach to the aristocratic or theistic ideal.	It is not mere inequality, therefore, that can be a reproach to the aristocratic or theistic ideal.	true	828.98	835.72	23
6286_75355_000015_000001	Could each person fulfil his own nature the most striking differences in endowment and fortune would trouble nobody's dreams.	Could each person fulfil his own nature the most striking differences in endowment and fortune would trouble nobody's dreams.	true	836.12	844.75	25.190369
6286_75355_000015_000002	The true reproach to which aristocracy and theism are open is the thwarting of those unequal natures and the consequent suffering imposed on them all.	The true reproach to which aristocracy and theism are open is the thwarting of those unequal natures and the consequent suffering imposed on them all.	true	845.21	855.64	23
6286_75355_000015_000003	Injustice in this world is not something comparative; the wrong is deep, clear, and absolute in each private fate.	Injustice in this world is not something comparative; the wrong is deep, clear, and absolute in each private fate.	true	856.52	865.54	22.866737
6286_75355_000015_000004	A bruised child wailing in the street, his small world for the moment utterly black and cruel before him, does not fetch his unhappiness from sophisticated comparisons or irrational envy; nor can any compensations and celestial harmonies supervening later ever expunge or justify that moment's bitterness.	A bruised child wailing in the street, his small world for the moment utterly black and cruel before him, does not fetch his unhappiness from sophisticated comparisons or irrational envy; nor can any compensations and celestial harmonies supervening later ever expunge or justify that moment's bitterness.	true	866.75	888.94	23.058445
6286_75355_000015_000005	The pain may be whistled away and forgotten; the mind may be rendered by it only a little harder, a little coarser, a little more secretive and sullen and familiar with unrightable wrong.	The pain may be whistled away and forgotten; the mind may be rendered by it only a little harder, a little coarser, a little more secretive and sullen and familiar with unrightable wrong.	true	889.85	903.7	20.306574
6286_75355_000015_000006	But ignoring that pain will not prevent its having existed; it must remain for ever to trouble God's omniscience and be a part of that hell which the creation too truly involves.	But ignoring that pain will not prevent its having existed; it must remain for ever to trouble God's omniscience and be a part of that hell which the creation too truly involves.	false	904.34	917.64	22.85339
6286_75355_000016_000000	[Sidenote: Mutilation by crowding.]	[Sidenote: Mutilation by crowding.]	false	917.64	917.73	-20
6286_75355_000017_000000	The same curse of suffering vitiates Agrippa's ingenious parable and the joyful humility of Dante's celestial friends, and renders both equally irrelevant to human conditions.	The same curse of suffering vitiates Agrippa's ingenious parable and the joyful humility of Dante's celestial friends, and renders both equally irrelevant to human conditions.	false	917.73	918.3	-20
6286_75355_000017_000001	Nature may arrange her hierarchies as she chooses and make her creatures instrumental to one another's life. That interrelation is no injury to any part and an added beauty in the whole.	Nature may arrange her hierarchies as she chooses and make her creatures instrumental to one another's life. That interrelation is no injury to any part and an added beauty in the whole.	false	918.3	919.02	-20
6286_75355_000017_000002	It would have been a truly admirable arrangement to have enabled every living being, in attaining its own end, to make the attainments of the others' ends possible to them also.	It would have been a truly admirable arrangement to have enabled every living being, in attaining its own end, to make the attainments of the others' ends possible to them also.	false	919.02	919.95	21.977798
6286_75355_000017_000003	An approach to such an equilibrium has actually been reached in some respects by the rough sifting of miscellaneous organisms until those that were compatible alone remained.	An approach to such an equilibrium has actually been reached in some respects by the rough sifting of miscellaneous organisms until those that were compatible alone remained.	false	919.95	920.13	28
6286_75355_000017_000004	But nature, in her haste to be fertile, wants to produce everything at once, and her distracted industry has brought about terrible confusion and waste and terrible injustice.	But nature, in her haste to be fertile, wants to produce everything at once, and her distracted industry has brought about terrible confusion and waste and terrible injustice.	false	920.13	920.31	24
6286_75355_000017_000005	She has been led to punish her ministers for the services they render and her favourites for the honours they receive.	She has been led to punish her ministers for the services they render and her favourites for the honours they receive.	false	920.31	921.21	22.711502
6286_75355_000017_000006	She has imposed suffering on her creatures together with life; she has defeated her own objects and vitiated her bounty by letting every good do harm and bring evil in its train to some unsuspecting creature.	She has imposed suffering on her creatures together with life; she has defeated her own objects and vitiated her bounty by letting every good do harm and bring evil in its train to some unsuspecting creature.	false	921.21	927.57	21.761076
