6544_67863_000000_000000	Sylvia promised.	Sylvia promised.	false	0	0.66	100
6544_67863_000039_000000	"Lan', course I will, chile!	"Lan', course I will, chile!	false	400.34	401.91	22.598442
6544_67863_000039_000001	But, w'at you wan' it fer?" answered Aunt Connie, smiling down at the little girl whom she loved so dearly.	But, w'at you wan' it fer?" answered Aunt Connie, smiling down at the little girl whom she loved so dearly.	false	401.91	408.19	23.720963
6544_67863_000040_000000	"It's a secret, Aunt Connie!	"It's a secret, Aunt Connie!	true	409.01	410.53	27.73998
6544_67863_000040_000001	I want to give it away, and I don't want to tell even my mother until--well," and Sylvia hesitated a moment, and then continued, "until next week.	I want to give it away, and I don't want to tell even my mother until-well," and Sylvia hesitated a moment, and then continued, "until next week.	true	410.66	419.97	24.528812
6544_67863_000040_000002	Then I will tell her, and you too."	Then I will tell her, and you too."	true	419.97	422.11	29.287441
6544_67863_000041_000000	"Dat's right, Missy.	"Dat's right, Missy.	true	422.63	423.96	27.128891
6544_67863_000041_000001	I'll make yo' de finest cake I knows how.	I'll make yo' de finest cake I knows how.	false	423.96	426.24	23.789436
6544_67863_000041_000002	Le's see!	Le's see!	false	426.24	427.15	23.990486
6544_67863_000041_000003	I'll put citron, an' raisins, an' currants in it.	I'll put citron, an' raisins, an' currants in it.	true	427.25	429.75	19.9597
6544_67863_000041_000004	An' butter!	An' butter!	false	429.75	430.56	20.79555
6544_67863_000041_000005	Yas, thar'll be a fine lot o' things in dat cake!" and Aunt Connie rolled her eyes, and lifted her hands as if she could already taste its richness.	Yas, thar'll be a fine lot o' things in dat cake!" and Aunt Connie rolled her eyes, and lifted her hands as if she could already taste its richness.	false	430.56	438.31	22.622358
6544_67863_000042_000000	All that afternoon Sylvia could think of nothing but the proposed trip. She sat with Mrs. Carleton a little while before supper, and told her of what Uncle Peter had said: that ships from the north were on the way to the aid of Fort Sumter.	All that afternoon Sylvia could think of nothing but the proposed trip. She sat with mrs Carleton a little while before supper, and told her of what Uncle peter had said: that ships from the north were on the way to the aid of Fort Sumter.	false	438.86	450.67	23.297718
6544_67863_000043_000000	"Oh!	"Oh!	true	451.22	451.665	13.925141
6544_67863_000043_000001	I do wish I could send the news to Sumter.	I do wish I could send the news to Sumter.	true	451.665	453.795	18
6544_67863_000043_000002	It would give them all courage," said Mrs. Carleton.	It would give them all courage," said mrs Carleton.	true	453.795	456.61	29.97767
6544_67863_000044_000000	Sylvia was for a moment tempted to tell her friend that she would carry the message, but she kept silent, thinking to herself that here was another reason for her to carry out her plan.	Sylvia was for a moment tempted to tell her friend that she would carry the message, but she kept silent, thinking to herself that here was another reason for her to carry out her plan.	true	457.13	465.85	22.002897
6544_67863_000045_000000	"If you could send a message to Captain Carleton what would you say?" questioned Sylvia, and Mrs. Carleton smiled at Sylvia's serious voice.	"If you could send a message to Captain Carleton what would you say?" questioned Sylvia, and mrs Carleton smiled at Sylvia's serious voice.	true	466.67	475.36	23.433247
6544_67863_000046_000000	"Why, if I could only let him know that I was safe and well and going to Boston with you, in case Sumter really is attacked; I know that is what he wants to hear."	"Why, if I could only let him know that I was safe and well and going to Boston with you, in case Sumter really is attacked; I know that is what he wants to hear."	true	475.94	484.03	23.327587
6544_67863_000047_000000	Mrs. Carleton's smile vanished.	mrs Carleton's smile vanished.	false	484.94	486.96	23.660501
6544_67863_000047_000001	Sylvia realized that this kind friend was troubled, and wished with all her heart that she could say: "To-morrow I will tell you all about Captain Carleton." But she knew that she must keep silent until she had carried out her plan.	Sylvia realized that this kind friend was troubled, and wished with all her heart that she could say: "To morrow I will tell you all about Captain Carleton." But she knew that she must keep silent until she had carried out her plan.	true	486.96	499.09	23.818363
6544_67863_000048_000000	Sylvia was the first one at the breakfast table the next morning, and was delighted when her mother said that she and Mrs. Carleton were invited to luncheon at the house of a friend.	Sylvia was the first one at the breakfast table the next morning, and was delighted when her mother said that she and mrs Carleton were invited to luncheon at the house of a friend.	true	499.52	507.37	23
6544_67863_000049_000000	"Aunt Connie and Estralla will take good care of you," Mrs. Fulton added, and Sylvia felt her face flush.	"Aunt Connie and Estralla will take good care of you," mrs Fulton added, and Sylvia felt her face flush.	false	507.92	513.52	23.611662
6544_67863_000049_000001	But she made no reply, and soon hurried to the cabin where Estralla was waiting for her.	But she made no reply, and soon hurried to the cabin where Estralla was waiting for her.	true	513.59	517.96	24.732498
6544_67863_000050_000000	It was still early in the forenoon when two little negro girls, one carrying a large package wrapped in a newspaper, appeared at the wharf where the Butterfly was moored.	It was still early in the forenoon when two little negro girls, one carrying a large package wrapped in a newspaper, appeared at the wharf where the Butterfly was moored.	true	518.27	526.48	24.49493
6544_67863_000050_000001	Uncle Peter was not to be seen.	Uncle peter was not to be seen.	true	526.55	528.42	23.322643
6544_67863_000050_000002	But he had just left the boat, whose sail had not even been lowered, and the two girls hurried on board.	But he had just left the boat, whose sail had not even been lowered, and the two girls hurried on board.	false	528.42	533.47	20.935305
6544_67863_000050_000003	In a moment Sylvia had unfastened the rope, pushed the boat clear of the landing, and rudder in hand was steering the boat out toward the channel.	In a moment Sylvia had unfastened the rope, pushed the boat clear of the landing, and rudder in hand was steering the boat out toward the channel.	true	533.66	540.55	22.907751
6544_67863_000051_000000	Two or three men in uniform watched the little "darkies," as they supposed both the girls to be, with amusement.	Two or three men in uniform watched the little "darkies," as they supposed both the girls to be, with amusement.	true	540.83	546.43	24.674559
6544_67863_000051_000001	Negro children were always playing about, and no attention was paid to them.	Negro children were always playing about, and no attention was paid to them.	true	546.53	550.42	20.919973
6544_67863_000052_000000	"My landy," whispered Estralla, "dat was jes' as easy.	"My landy," whispered Estralla, "dat was jes' as easy.	false	550.61	555	19.793991
6544_67863_000052_000001	W'at Uncle Pete do w'en he fin's de boat gone?"	W'at Uncle Pete do w'en he fin's de boat gone?"	false	555	558.42	24.570715
6544_67863_000053_000000	But it happened that Uncle Peter had been sent on an errand to a distant part of the town, and before he returned the Butterfly was well down the harbor.	But it happened that Uncle peter had been sent on an errand to a distant part of the town, and before he returned the Butterfly was well down the harbor.	true	558.42	565.45	21
6544_67863_000054_000000	Once or twice a guard-boat passed them closely enough to make sure that there were only two colored children in the boat, and they came up under the walls of Fort Sumter without a hindrance.	Once or twice a guard boat passed them closely enough to make sure that there were only two colored children in the boat, and they came up under the walls of Fort Sumter without a hindrance.	true	565.7	574.15	23
6544_67863_000054_000001	The sentries at the fort had watched the little craft with anxious eyes, wondering if it could be bringing any message.	The sentries at the fort had watched the little craft with anxious eyes, wondering if it could be bringing any message.	true	574.34	579.88	23.16395
6544_67863_000054_000002	But when the soldiers looked down at the two little negro girls they laughed, in spite of their disappointment. When Sylvia said that her name was Sylvia Fulton, and that she had come to see Captain Carleton, a sentry exclaimed: "That girl has blacked her face.	But when the soldiers looked down at the two little negro girls they laughed, in spite of their disappointment. When Sylvia said that her name was Sylvia Fulton, and that she had come to see Captain Carleton, a sentry exclaimed: "That girl has blacked her face.	false	579.95	593.34	24.162498
6544_67863_000054_000003	She is white."	She is white."	true	593.34	594.3	26.539972
6544_67863_000055_000000	But Captain Carleton could hardly believe that it was his little friend Sylvia.	But Captain Carleton could hardly believe that it was his little friend Sylvia.	false	594.3	597.915	21.217285
6544_67863_000055_000001	And he was eager to hear all that she could tell him.	And he was eager to hear all that she could tell him.	true	597.915	600.28	21.950834
6544_67863_000055_000002	Estralla held the cake and cookies, which she had carefully wrapped in a newspaper, and the Captain seemed as much pleased with the paper as with the cake.	Estralla held the cake and cookies, which she had carefully wrapped in a newspaper, and the Captain seemed as much pleased with the paper as with the cake.	true	600.56	608.17	26.352749
6544_67863_000056_000000	"You can write a letter to Mrs. Carleton and we will take it," suggested Sylvia, and then she told him Uncle Peter's news: that the President was sending ships to the aid of the fort.	"You can write a letter to mrs Carleton and we will take it," suggested Sylvia, and then she told him Uncle Peter's news: that the President was sending ships to the aid of the fort.	true	608.39	617.62	23.30786
6544_67863_000057_000000	"That is great news," said the Captain; "if it is only true we may keep the fort for the Union."	"That is great news," said the Captain; "if it is only true we may keep the fort for the Union."	true	617.75	622.93	23.617855
6544_67863_000058_000000	Within the hour of their arrival Sylvia and Estralla were on their way home.	Within the hour of their arrival Sylvia and Estralla were on their way home.	true	623.9	627.82	22.035643
6544_67863_000058_000001	The Captain had praised and thanked Sylvia for the loyal friendship that had prompted her visit.	The Captain had praised and thanked Sylvia for the loyal friendship that had prompted her visit.	true	628.19	632.59	26
6544_67863_000059_000000	"Mrs. Carleton and I will always remember your courage," he said, as he handed her the letter.	"mrs Carleton and I will always remember your courage," he said, as he handed her the letter.	true	632.9	637.63	25.530575
6544_67863_000060_000000	"I am so glad I thought about it; but it was really Estralla.	"I am so glad I thought about it; but it was really Estralla.	true	637.88	641.13	22.726748
6544_67863_000060_000001	She said if I was black we could come," Sylvia had replied.	She said if I was black we could come," Sylvia had replied.	true	641.13	644.86	24.652107
6544_67863_000061_000000	Then the boat swung clear and headed toward Charleston.	Then the boat swung clear and headed toward Charleston.	true	645.29	647.95	21.691504
6544_67863_000062_000000	"I am not going to land at the big wharves," said Sylvia.	"I am not going to land at the big wharves," said Sylvia.	true	648.77	651.69	22.44919
6544_67863_000062_000001	"I am going to that wharf near Miss Patten's garden.	"I am going to that wharf near Miss Patten's garden.	true	651.69	654.13	18
6544_67863_000062_000002	And then we'll tell Uncle Peter where the Butterfly is."	And then we'll tell Uncle peter where the Butterfly is."	true	654.47	656.77	25.263632
6544_67863_000063_000000	It was early in the afternoon when Estralla appeared at the cloor of her mammy's kitchen.	It was early in the afternoon when Estralla appeared at the cloor of her mammy's kitchen.	false	657.23	660.81	17
6544_67863_000064_000000	"Whar on airth you been?	"Whar on airth you been?	false	660.81	662.85	26.842182
6544_67863_000064_000001	An' whar's yo' missy?" demanded Aunt Connie. "Didn' I makes her a fine om'lit fer her dinner, an' it's ruinated."	An' whar's yo' missy?" demanded Aunt Connie. "d i d n' I makes her a fine om'lit fer her dinner, an' it's ruinated."	false	662.85	669.91	22.260487
6544_67863_000065_000000	"Missy wants a big pitcher of hot water," replied Estralla, dancing about just beyond Aunt Connie's reach.	"Missy wants a big pitcher of hot water," replied Estralla, dancing about just beyond Aunt Connie's reach.	true	670.28	676.09	22.44224
6544_67863_000066_000000	"Missy Sylvia say to tell you we been carryin' de cake to her fr'en', an' she gwine to tell you, Mammy," explained Estralla when her mammy had finally grasped her firmly by the shoulders.	"Missy Sylvia say to tell you we been carryin' de cake to her fr'en', an' she gwine to tell you, Mammy," explained Estralla when her mammy had finally grasped her firmly by the shoulders.	false	676.31	685.47	23.608204
6544_67863_000067_000000	"W'y didn' yo' say dat firs' place?	"W'y d i d n' yo' say dat firs' place?	false	685.47	688.2	19.794762
6544_67863_000067_000001	H'ar's de hot water," and Estralla hurried off to help Sylvia scrub off the sticky soot which had so well disguised her; and when Mrs. Fulton and Mrs. Carleton returned they found a very rosy-faced smiling little girl on the porch all ready to tell them of her trip to Fort Sumter, and to give Mrs. Carleton the longed-for news from her husband.	H'ar's de hot water," and Estralla hurried off to help Sylvia scrub off the sticky soot which had so well disguised her; and when mrs Fulton and mrs Carleton returned they found a very rosy faced smiling little girl on the porch all ready to tell them of her trip to Fort Sumter, and to give mrs Carleton the longed for news from her husband.	false	688.2	717.03	21.524508
