3180_138043_000000_000000	CHAPTER XXXIII.	CHAPTER thirty three.	false	5.76	42.345	20.805935
3180_138043_000006_000002	And I say once more, if your ladyship does not like to give me the island because I'm a fool, like a wise man I will take care to give myself no trouble about it; I have heard say that 'behind the cross there's the devil,' and that 'all that glitters is not gold,' and that from among the oxen, and the ploughs, and the yokes, Wamba the husbandman was taken to be made King of Spain, and from among brocades, and pleasures, and riches, Roderick was taken to be devoured by adders, if the verses of the old ballads don't lie."	And I say once more, if your ladyship does not like to give me the island because I'm a fool, like a wise man I will take care to give myself no trouble about it; I have heard say that 'behind the cross there's the devil,' and that 'all that glitters is not gold,' and that from among the oxen, and the ploughs, and the yokes, Wamba the husbandman was taken to be made King of Spain, and from among brocades, and pleasures, and riches, Roderick was taken to be devoured by adders, if the verses of the old ballads don't lie."	true	444.11	482.17	22.155949
3180_138043_000007_000000	"To be sure they don't lie!" exclaimed Dona Rodriguez, the duenna, who was one of the listeners.	"To be sure they don't lie!" exclaimed Dona Rodriguez, the duenna, who was one of the listeners.	false	483.44	489.52	19.98197
3180_138043_000007_000001	"Why, there's a ballad that says they put King Rodrigo alive into a tomb full of toads, and adders, and lizards, and that two days afterwards the king, in a plaintive, feeble voice, cried out from within the tomb--	"Why, there's a ballad that says they put King Rodrigo alive into a tomb full of toads, and adders, and lizards, and that two days afterwards the king, in a plaintive, feeble voice, cried out from within the tomb-	false	490.07	505.06	20.792496
3180_138043_000008_000000	They gnaw me now, they gnaw me now, There where I most did sin.	They gnaw me now, they gnaw me now, There where I most did sin.	true	505.52	511	22.018503
3180_138043_000009_000000	And according to that the gentleman has good reason to say he would rather be a labouring man than a king, if vermin are to eat him."	And according to that the gentleman has good reason to say he would rather be a labouring man than a king, if vermin are to eat him."	true	512.57	521.53	22.246527
3180_138043_000010_000000	The duchess could not help laughing at the simplicity of her duenna, or wondering at the language and proverbs of Sancho, to whom she said, "Worthy Sancho knows very well that when once a knight has made a promise he strives to keep it, though it should cost him his life.	The duchess could not help laughing at the simplicity of her duenna, or wondering at the language and proverbs of Sancho, to whom she said, "Worthy Sancho knows very well that when once a knight has made a promise he strives to keep it, though it should cost him his life.	true	523.22	540.67	20.53516
3180_138043_000010_000001	My lord and husband the duke, though not one of the errant sort, is none the less a knight for that reason, and will keep his word about the promised island, in spite of the envy and malice of the world.	My lord and husband the duke, though not one of the errant sort, is none the less a knight for that reason, and will keep his word about the promised island, in spite of the envy and malice of the world.	true	541.34	553.87	20.467472
3180_138043_000010_000002	Let Sancho he of good cheer; for when he least expects it he will find himself seated on the throne of his island and seat of dignity, and will take possession of his government that he may discard it for another of three-bordered brocade. The charge I give him is to be careful how he governs his vassals, bearing in mind that they are all loyal and well-born."	Let Sancho he of good cheer; for when he least expects it he will find himself seated on the throne of his island and seat of dignity, and will take possession of his government that he may discard it for another of three bordered brocade. The charge I give him is to be careful how he governs his vassals, bearing in mind that they are all loyal and well born."	false	554.57	578.08	20.73782
3180_138043_000011_000000	"As to governing them well," said Sancho, "there's no need of charging me to do that, for I'm kind-hearted by nature, and full of compassion for the poor; there's no stealing the loaf from him who kneads and bakes;' and by my faith it won't do to throw false dice with me; I am an old dog, and I know all about 'tus, tus;' I can be wide-awake if need be, and I don't let clouds come before my eyes, for I know where the shoe pinches me; I say so, because with me the good will have support and protection, and the bad neither footing nor access.	"As to governing them well," said Sancho, "there's no need of charging me to do that, for I'm kind hearted by nature, and full of compassion for the poor; there's no stealing the loaf from him who kneads and bakes;' and by my faith it won't do to throw false dice with me; I am an old dog, and I know all about 'tus, tus;' I can be wide awake if need be, and I don't let clouds come before my eyes, for I know where the shoe pinches me; I say so, because with me the good will have support and protection, and the bad neither footing nor access.	false	579.56	618.22	20.99058
3180_138043_000011_000001	And it seems to me that, in governments, to make a beginning is everything; and maybe, after having been governor a fortnight, I'll take kindly to the work and know more about it than the field labour I have been brought up to."	And it seems to me that, in governments, to make a beginning is everything; and maybe, after having been governor a fortnight, I'll take kindly to the work and know more about it than the field labour I have been brought up to."	false	619.04	633.99	22.126396
3180_138043_000012_000000	"You are right, Sancho," said the duchess, "for no one is born ready taught, and the bishops are made out of men and not out of stones.	"You are right, Sancho," said the duchess, "for no one is born ready taught, and the bishops are made out of men and not out of stones.	false	633.99	644.26	21.839758
3180_138043_000012_000001	But to return to the subject we were discussing just now, the enchantment of the lady Dulcinea, I look upon it as certain, and something more than evident, that Sancho's idea of practising a deception upon his master, making him believe that the peasant girl was Dulcinea and that if he did not recognise her it must be because she was enchanted, was all a device of one of the enchanters that persecute Don Quixote.	But to return to the subject we were discussing just now, the enchantment of the lady Dulcinea, I look upon it as certain, and something more than evident, that Sancho's idea of practising a deception upon his master, making him believe that the peasant girl was Dulcinea and that if he did not recognise her it must be because she was enchanted, was all a device of one of the enchanters that persecute Don Quixote.	false	644.78	674.16	21.577486
3180_138043_000012_000002	For in truth and earnest, I know from good authority that the coarse country wench who jumped up on the ass was and is Dulcinea del Toboso, and that worthy Sancho, though he fancies himself the deceiver, is the one that is deceived; and that there is no more reason to doubt the truth of this, than of anything else we never saw.	For in truth and earnest, I know from good authority that the coarse country wench who jumped up on the ass was and is Dulcinea del Toboso, and that worthy Sancho, though he fancies himself the deceiver, is the one that is deceived; and that there is no more reason to doubt the truth of this, than of anything else we never saw.	true	674.16	696.34	21.648664
3180_138043_000012_000003	Senor Sancho Panza must know that we too have enchanters here that are well disposed to us, and tell us what goes on in the world, plainly and distinctly, without subterfuge or deception; and believe me, Sancho, that agile country lass was and is Dulcinea del Toboso, who is as much enchanted as the mother that bore her; and when we least expect it, we shall see her in her own proper form, and then Sancho will be disabused of the error he is under at present."	Senor Sancho Panza must know that we too have enchanters here that are well disposed to us, and tell us what goes on in the world, plainly and distinctly, without subterfuge or deception; and believe me, Sancho, that agile country lass was and is Dulcinea del Toboso, who is as much enchanted as the mother that bore her; and when we least expect it, we shall see her in her own proper form, and then Sancho will be disabused of the error he is under at present."	false	697.04	731.65	21.06413
3180_138043_000013_000000	"All that's very possible," said Sancho Panza; "and now I'm willing to believe what my master says about what he saw in the cave of Montesinos, where he says he saw the lady Dulcinea del Toboso in the very same dress and apparel that I said I had seen her in when I enchanted her all to please myself.	"All that's very possible," said Sancho Panza; "and now I'm willing to believe what my master says about what he saw in the cave of Montesinos, where he says he saw the lady Dulcinea del Toboso in the very same dress and apparel that I said I had seen her in when I enchanted her all to please myself.	false	732.56	754.02	20.425451
3180_138043_000013_000001	It must be all exactly the other way, as your ladyship says; because it is impossible to suppose that out of my poor wit such a cunning trick could be concocted in a moment, nor do I think my master is so mad that by my weak and feeble persuasion he could be made to believe a thing so out of all reason.	It must be all exactly the other way, as your ladyship says; because it is impossible to suppose that out of my poor wit such a cunning trick could be concocted in a moment, nor do I think my master is so mad that by my weak and feeble persuasion he could be made to believe a thing so out of all reason.	false	754.02	772.45	19
3180_138043_000013_000002	But, senora, your excellence must not therefore think me ill-disposed, for a dolt like me is not bound to see into the thoughts and plots of those vile enchanters.	But, senora, your excellence must not therefore think me ill disposed, for a dolt like me is not bound to see into the thoughts and plots of those vile enchanters.	true	772.76	783.52	21
3180_138043_000013_000003	I invented all that to escape my master's scolding, and not with any intention of hurting him; and if it has turned out differently, there is a God in heaven who judges our hearts."	I invented all that to escape my master's scolding, and not with any intention of hurting him; and if it has turned out differently, there is a God in heaven who judges our hearts."	false	784.19	794.71	21
3180_138043_000014_000000	"That is true," said the duchess; "but tell me, Sancho, what is this you say about the cave of Montesinos, for I should like to know."	"That is true," said the duchess; "but tell me, Sancho, what is this you say about the cave of Montesinos, for I should like to know."	true	795.86	804.13	21.838184
3180_138043_000015_000000	Sancho upon this related to her, word for word, what has been said already touching that adventure, and having heard it the duchess said, "From this occurrence it may be inferred that, as the great Don Quixote says he saw there the same country wench Sancho saw on the way from El Toboso, it is, no doubt, Dulcinea, and that there are some very active and exceedingly busy enchanters about."	Sancho upon this related to her, word for word, what has been said already touching that adventure, and having heard it the duchess said, "From this occurrence it may be inferred that, as the great Don Quixote says he saw there the same country wench Sancho saw on the way from El Toboso, it is, no doubt, Dulcinea, and that there are some very active and exceedingly busy enchanters about."	true	806.36	835.75	20.466824
3180_138043_000016_000000	"So I say," said Sancho, "and if my lady Dulcinea is enchanted, so much the worse for her, and I'm not going to pick a quarrel with my master's enemies, who seem to be many and spiteful.	"So I say," said Sancho, "and if my lady Dulcinea is enchanted, so much the worse for her, and I'm not going to pick a quarrel with my master's enemies, who seem to be many and spiteful.	true	836.87	849.94	21.447605
3180_138043_000016_000001	The truth is that the one I saw was a country wench, and I set her down to be a country wench; and if that was Dulcinea it must not be laid at my door, nor should I be called to answer for it or take the consequences.	The truth is that the one I saw was a country wench, and I set her down to be a country wench; and if that was Dulcinea it must not be laid at my door, nor should I be called to answer for it or take the consequences.	true	850.4	865.9	21.76523
3180_138043_000016_000002	But they must go nagging at me at every step--'Sancho said it, Sancho did it, Sancho here, Sancho there,' as if Sancho was nobody at all, and not that same Sancho Panza that's now going all over the world in books, so Samson Carrasco told me, and he's at any rate one that's a bachelor of Salamanca; and people of that sort can't lie, except when the whim seizes them or they have some very good reason for it.	But they must go nagging at me at every step-'Sancho said it, Sancho did it, Sancho here, Sancho there,' as if Sancho was nobody at all, and not that same Sancho Panza that's now going all over the world in books, so Samson Carrasco told me, and he's at any rate one that's a bachelor of Salamanca; and people of that sort can't lie, except when the whim seizes them or they have some very good reason for it.	true	866.3	898.53	21.57051
3180_138043_000016_000003	So there's no occasion for anybody to quarrel with me; and then I have a good character, and, as I have heard my master say, 'a good name is better than great riches;' let them only stick me into this government and they'll see wonders, for one who has been a good squire will be a good governor."	So there's no occasion for anybody to quarrel with me; and then I have a good character, and, as I have heard my master say, 'a good name is better than great riches;' let them only stick me into this government and they'll see wonders, for one who has been a good squire will be a good governor."	false	898.53	918.7	20.561823
3180_138043_000017_000000	"All worthy Sancho's observations," said the duchess, "are Catonian sentences, or at any rate out of the very heart of Michael Verino himself, who florentibus occidit annis.	"All worthy Sancho's observations," said the duchess, "are Catonian sentences, or at any rate out of the very heart of Michael Verino himself, who florentibus occidit annis.	false	920.09	934.66	14
3180_138043_000017_000001	In fact, to speak in his own style, 'under a bad cloak there's often a good drinker.'"	In fact, to speak in his own style, 'under a bad cloak there's often a good drinker.'"	true	935.93	943.12	22.16679
3180_138043_000018_000000	"Indeed, senora," said Sancho, "I never yet drank out of wickedness; from thirst I have very likely, for I have nothing of the hypocrite in me; I drink when I'm inclined, or, if I'm not inclined, when they offer it to me, so as not to look either strait-laced or ill-bred; for when a friend drinks one's health what heart can be so hard as not to return it?	"Indeed, senora," said Sancho, "I never yet drank out of wickedness; from thirst I have very likely, for I have nothing of the hypocrite in me; I drink when I'm inclined, or, if I'm not inclined, when they offer it to me, so as not to look either strait laced or ill bred; for when a friend drinks one's health what heart can be so hard as not to return it?	true	945.65	972.76	21.36167
3180_138043_000018_000001	But if I put on my shoes I don't dirty them; besides, squires to knights-errant mostly drink water, for they are always wandering among woods, forests and meadows, mountains and crags, without a drop of wine to be had if they gave their eyes for it."	But if I put on my shoes I don't dirty them; besides, squires to knights errant mostly drink water, for they are always wandering among woods, forests and meadows, mountains and crags, without a drop of wine to be had if they gave their eyes for it."	true	973.4	989.98	21.0017
3180_138043_000019_000000	"So I believe," said the duchess; "and now let Sancho go and take his sleep, and we will talk by-and-by at greater length, and settle how he may soon go and stick himself into the government, as he says."	"So I believe," said the duchess; "and now let Sancho go and take his sleep, and we will talk by and by at greater length, and settle how he may soon go and stick himself into the government, as he says."	false	990.83	1003.27	20.637089
3180_138043_000020_000000	Sancho once more kissed the duchess's hand, and entreated her to let good care be taken of his Dapple, for he was the light of his eyes.	Sancho once more kissed the duchess's hand, and entreated her to let good care be taken of his Dapple, for he was the light of his eyes.	false	1004.21	1013.65	19
3180_138043_000021_000000	"What is Dapple?" said the duchess.	"What is Dapple?" said the duchess.	true	1014.59	1016.71	23.956459
3180_138043_000022_000000	"My ass," said Sancho, "which, not to mention him by that name, I'm accustomed to call Dapple; I begged this lady duenna here to take care of him when I came into the castle, and she got as angry as if I had said she was ugly or old, though it ought to be more natural and proper for duennas to feed asses than to ornament chambers.	"My ass," said Sancho, "which, not to mention him by that name, I'm accustomed to call Dapple; I begged this lady duenna here to take care of him when I came into the castle, and she got as angry as if I had said she was ugly or old, though it ought to be more natural and proper for duennas to feed asses than to ornament chambers.	false	1017.14	1041.04	21.41482
3180_138043_000022_000001	God bless me! what a spite a gentleman of my village had against these ladies!"	God bless me! what a spite a gentleman of my village had against these ladies!"	false	1041.35	1046.92	20.038935
3180_138043_000023_000000	"He must have been some clown," said Dona Rodriguez the duenna; "for if he had been a gentleman and well-born he would have exalted them higher than the horns of the moon."	"He must have been some clown," said Dona Rodriguez the duenna; "for if he had been a gentleman and well born he would have exalted them higher than the horns of the moon."	true	1048.25	1062.13	18.101398
3180_138043_000024_000000	"That will do," said the duchess; "no more of this; hush, Dona Rodriguez, and let Senor Panza rest easy and leave the treatment of Dapple in my charge, for as he is a treasure of Sancho's, I'll put him on the apple of my eye."	"That will do," said the duchess; "no more of this; hush, Dona Rodriguez, and let Senor Panza rest easy and leave the treatment of Dapple in my charge, for as he is a treasure of Sancho's, I'll put him on the apple of my eye."	true	1064.06	1080.97	20.221315
3180_138043_000025_000000	"It will be enough for him to be in the stable," said Sancho, "for neither he nor I are worthy to rest a moment in the apple of your highness's eye, and I'd as soon stab myself as consent to it; for though my master says that in civilities it is better to lose by a card too many than a card too few, when it comes to civilities to asses we must mind what we are about and keep within due bounds."	"It will be enough for him to be in the stable," said Sancho, "for neither he nor I are worthy to rest a moment in the apple of your highness's eye, and I'd as soon stab myself as consent to it; for though my master says that in civilities it is better to lose by a card too many than a card too few, when it comes to civilities to asses we must mind what we are about and keep within due bounds."	false	1082.9	1111.39	19.878595
3180_138043_000026_000000	"Take him to your government, Sancho," said the duchess, "and there you will be able to make as much of him as you like, and even release him from work and pension him off."	"Take him to your government, Sancho," said the duchess, "and there you will be able to make as much of him as you like, and even release him from work and pension him off."	true	1113.11	1126.17	20.530405
3180_138043_000027_000000	"Don't think, senora duchess, that you have said anything absurd," said Sancho; "I have seen more than two asses go to governments, and for me to take mine with me would be nothing new."	"Don't think, senora duchess, that you have said anything absurd," said Sancho; "I have seen more than two asses go to governments, and for me to take mine with me would be nothing new."	false	1126.17	1138.69	20.782272
3180_138043_000028_000000	Sancho's words made the duchess laugh again and gave her fresh amusement, and dismissing him to sleep she went away to tell the duke the conversation she had had with him, and between them they plotted and arranged to play a joke upon Don Quixote that was to be a rare one and entirely in knight-errantry style, and in that same style they practised several upon him, so much in keeping and so clever that they form the best adventures this great history contains.	Sancho's words made the duchess laugh again and gave her fresh amusement, and dismissing him to sleep she went away to tell the duke the conversation she had had with him, and between them they plotted and arranged to play a joke upon Don Quixote that was to be a rare one and entirely in knight errantry style, and in that same style they practised several upon him, so much in keeping and so clever that they form the best adventures this great history contains.	true	1140.62	1174.87	15
3180_138043_000029_000000	CHAPTER XXXIV.	CHAPTER thirty four.	true	1179.92	1181.5	21.359146
3180_138043_000030_000000	WHICH RELATES HOW THEY LEARNED THE WAY IN WHICH THEY WERE TO DISENCHANT THE PEERLESS DULCINEA DEL TOBOSO, WHICH IS ONE OF THE RAREST ADVENTURES IN THIS BOOK	WHICH RELATES HOW THEY LEARNED THE WAY IN WHICH THEY WERE TO DISENCHANT THE PEERLESS DULCINEA DEL t o b o s o, WHICH IS ONE OF THE RAREST ADVENTURES IN THIS BOOK	false	1181.93	1193.71	20.423862
3180_138043_000031_000000	Great was the pleasure the duke and duchess took in the conversation of Don Quixote and Sancho Panza; and, more bent than ever upon the plan they had of practising some jokes upon them that should have the look and appearance of adventures, they took as their basis of action what Don Quixote had already told them about the cave of Montesinos, in order to play him a famous one.	Great was the pleasure the duke and duchess took in the conversation of Don Quixote and Sancho Panza; and, more bent than ever upon the plan they had of practising some jokes upon them that should have the look and appearance of adventures, they took as their basis of action what Don Quixote had already told them about the cave of Montesinos, in order to play him a famous one.	true	1194.14	1216.06	14
3180_138043_000031_000001	But what the duchess marvelled at above all was that Sancho's simplicity could be so great as to make him believe as absolute truth that Dulcinea had been enchanted, when it was he himself who had been the enchanter and trickster in the business.	But what the duchess marvelled at above all was that Sancho's simplicity could be so great as to make him believe as absolute truth that Dulcinea had been enchanted, when it was he himself who had been the enchanter and trickster in the business.	true	1217.87	1232.86	18
3180_138043_000031_000002	Having, therefore, instructed their servants in everything they were to do, six days afterwards they took him out to hunt, with as great a retinue of huntsmen and beaters as a crowned king.	Having, therefore, instructed their servants in everything they were to do, six days afterwards they took him out to hunt, with as great a retinue of huntsmen and beaters as a crowned king.	true	1233.44	1246.03	20
3180_138043_000032_000000	They presented Don Quixote with a hunting suit, and Sancho with another of the finest green cloth; but Don Quixote declined to put his on, saying that he must soon return to the hard pursuit of arms, and could not carry wardrobes or stores with him.	They presented Don Quixote with a hunting suit, and Sancho with another of the finest green cloth; but Don Quixote declined to put his on, saying that he must soon return to the hard pursuit of arms, and could not carry wardrobes or stores with him.	false	1247.12	1263.31	21
3180_138043_000032_000001	Sancho, however, took what they gave him, meaning to sell it the first opportunity.	Sancho, however, took what they gave him, meaning to sell it the first opportunity.	true	1263.53	1268.83	22.920658
3180_138043_000033_000000	The appointed day having arrived, Don Quixote armed himself, and Sancho arrayed himself, and mounted on his Dapple (for he would not give him up though they offered him a horse), he placed himself in the midst of the troop of huntsmen.	The appointed day having arrived, Don Quixote armed himself, and Sancho arrayed himself, and mounted on his Dapple (for he would not give him up though they offered him a horse), he placed himself in the midst of the troop of huntsmen.	true	1270.85	1284.97	20
3180_138043_000033_000001	The duchess came out splendidly attired, and Don Quixote, in pure courtesy and politeness, held the rein of her palfrey, though the duke wanted not to allow him; and at last they reached a wood that lay between two high mountains, where, after occupying various posts, ambushes, and paths, and distributing the party in different positions, the hunt began with great noise, shouting, and hallooing, so that, between the baying of the hounds and the blowing of the horns, they could not hear one another.	The duchess came out splendidly attired, and Don Quixote, in pure courtesy and politeness, held the rein of her palfrey, though the duke wanted not to allow him; and at last they reached a wood that lay between two high mountains, where, after occupying various posts, ambushes, and paths, and distributing the party in different positions, the hunt began with great noise, shouting, and hallooing, so that, between the baying of the hounds and the blowing of the horns, they could not hear one another.	true	1285.76	1318	20.90767
3180_138043_000033_000002	The duchess dismounted, and with a sharp boar-spear in her hand posted herself where she knew the wild boars were in the habit of passing.	The duchess dismounted, and with a sharp boar spear in her hand posted herself where she knew the wild boars were in the habit of passing.	false	1319.21	1328.28	20.597357
3180_138043_000033_000003	The duke and Don Quixote likewise dismounted and placed themselves one at each side of her.	The duke and Don Quixote likewise dismounted and placed themselves one at each side of her.	true	1328.28	1334.68	23.435972
3180_138043_000033_000004	Sancho took up a position in the rear of all without dismounting from Dapple, whom he dared not desert lest some mischief should befall him.	Sancho took up a position in the rear of all without dismounting from Dapple, whom he dared not desert lest some mischief should befall him.	true	1334.68	1344.07	21.981962
3180_138043_000033_000005	Scarcely had they taken their stand in a line with several of their servants, when they saw a huge boar, closely pressed by the hounds and followed by the huntsmen, making towards them, grinding his teeth and tusks, and scattering foam from his mouth.	Scarcely had they taken their stand in a line with several of their servants, when they saw a huge boar, closely pressed by the hounds and followed by the huntsmen, making towards them, grinding his teeth and tusks, and scattering foam from his mouth.	false	1344.44	1359.1	19.9551
3180_138043_000033_000006	As soon as he saw him Don Quixote, bracing his shield on his arm, and drawing his sword, advanced to meet him; the duke with boar-spear did the same; but the duchess would have gone in front of them all had not the duke prevented her.	As soon as he saw him Don Quixote, bracing his shield on his arm, and drawing his sword, advanced to meet him; the duke with boar spear did the same; but the duchess would have gone in front of them all had not the duke prevented her.	true	1359.38	1375.9	21.86824
3180_138043_000033_000007	Sancho alone, deserting Dapple at the sight of the mighty beast, took to his heels as hard as he could and strove in vain to mount a tall oak.	Sancho alone, deserting Dapple at the sight of the mighty beast, took to his heels as hard as he could and strove in vain to mount a tall oak.	true	1375.97	1386.46	20.209486
