5002_72876_000002_000000	CHAPTER XV.	CHAPTER fifteen.
5002_72876_000007_000004	I can only give the reader some faint idea of the place, which, they said, was called the fasting room, and here incorrigible offenders fasted until they starved to death.	I can only give the reader some faint idea of the place, which, they said, was called the fasting room, and here incorrigible offenders fasted until they starved to death.
5002_72876_000007_000005	Nor was this all.	Nor was this all.
5002_72876_000007_000006	Their dead bodies were not even allowed a decent burial, but were suffered to remain in the place where they died, until the work of death was complete and dust returned to dust.	Their dead bodies were not even allowed a decent burial, but were suffered to remain in the place where they died, until the work of death was complete and dust returned to dust.
5002_72876_000007_000007	Thus the atmosphere became a deadly poison to the next poor victim who was left to breathe the noxious effluvia of corruption and decay.	Thus the atmosphere became a deadly poison to the next poor victim who was left to breathe the noxious effluvia of corruption and decay.
5002_72876_000007_000009	In this room were placed several large iron kettles, so deep that a person could sit in them, and many of them contained the remains of human beings.	In this room were placed several large iron kettles, so deep that a person could sit in them, and many of them contained the remains of human beings.
5002_72876_000007_000010	In one the corpse looked as though it had been dead but a short time.	In one the corpse looked as though it had been dead but a short time.
5002_72876_000008_000002	Was I to meet a fate like this?	Was I to meet a fate like this?
5002_72876_000008_000003	I might, perchance, escape it for that time, but what assurance had I that I was not ultimately destined to such an end?	I might, perchance, escape it for that time, but what assurance had I that I was not ultimately destined to such an end?
5002_72876_000008_000004	These thoughts filled my mind, as I followed the priest from the room; and for a long time I continued to speculate upon what I had seen.	These thoughts filled my mind, as I followed the priest from the room; and for a long time I continued to speculate upon what I had seen.
5002_72876_000008_000005	They called it the fasting room; but if fasting were the only object, why were they placed in those kettles, instead of being allowed to sit on chairs or benches, or even on the floor?	They called it the fasting room; but if fasting were the only object, why were they placed in those kettles, instead of being allowed to sit on chairs or benches, or even on the floor?
5002_72876_000008_000007	Why were they not made of wood?	Why were they not made of wood?
5002_72876_000008_000008	It would have answered the purpose quite as well, if fasting or starvation were the only objects in view.	It would have answered the purpose quite as well, if fasting or starvation were the only objects in view.
5002_72876_000008_000009	Then came the fearful suggestion, were these kettles ever heated?	Then came the fearful suggestion, were these kettles ever heated?
5002_72876_000008_000011	The thought was too shocking to be cherished for a moment; but I could not drive it from my mind.	The thought was too shocking to be cherished for a moment; but I could not drive it from my mind.
5002_72876_000009_000003	One end of a long chain was fastened around my waist, and the other firmly secured to an iron ring in the floor; but the chain, though large and heavy, was long enough to allow me to go all over the room.	One end of a long chain was fastened around my waist, and the other firmly secured to an iron ring in the floor; but the chain, though large and heavy, was long enough to allow me to go all over the room.
5002_72876_000009_000004	I could not see how it was lighted, but it must have been in some artificial manner, for it was quite as light at night, as in the day.	I could not see how it was lighted, but it must have been in some artificial manner, for it was quite as light at night, as in the day.
5002_72876_000009_000010	I wished to know whether it would really bite me or not, but it looked so frightful I did not dare to hazard the experiment.	I wished to know whether it would really bite me or not, but it looked so frightful I did not dare to hazard the experiment.
5002_72876_000010_000005	I believed them all to be instruments of torture, and I thought they gave me a long chain in the hope and expectation that my curiosity would lead me into some of the numerous traps the room contained.	I believed them all to be instruments of torture, and I thought they gave me a long chain in the hope and expectation that my curiosity would lead me into some of the numerous traps the room contained.
5002_72876_000011_000001	He would blow white froth from his mouth, but he never spoke to me, and when he went out, he locked the door after him and took away the key.	He would blow white froth from his mouth, but he never spoke to me, and when he went out, he locked the door after him and took away the key.
5002_72876_000011_000006	And what will he do with it?	And what will he do with it?
5002_72876_000011_000008	Or, are the priests on such friendly terms with his satanic majesty that they lend him their keys?	Or, are the priests on such friendly terms with his satanic majesty that they lend him their keys?
