3228_4687_000000_000000	CHAPTER VIII.	CHAPTER eight.	false	0.48	2.79	30.200579
3228_4687_000011_000002	Then will I not be there, said Sir Tristram, but if ye be there.	Then will I not be there, said Sir Tristram, but if ye be there.	false	447.14	450.28	22.344255
3228_4687_000011_000003	God defend, said La Beale Isoud, for then shall I be spoken of shame among all queens and ladies of estate; for ye that are called one of the noblest knights of the world, and ye a knight of the Round Table, how may ye be missed at that feast?	God defend, said La Beale Isoud, for then shall I be spoken of shame among all queens and ladies of estate; for ye that are called one of the noblest knights of the world, and ye a knight of the Round Table, how may ye be missed at that feast?	false	450.74	463.54	21
3228_4687_000011_000004	What shall be said among all knights?	What shall be said among all knights?	true	463.67	465.67	21.683168
3228_4687_000011_000005	See how Sir Tristram hunteth, and hawketh, and cowereth within a castle with his lady, and forsaketh your worship.	See how Sir Tristram hunteth, and hawketh, and cowereth within a castle with his lady, and forsaketh your worship.	true	465.92	472.21	25.397139
3228_4687_000011_000006	Alas, shall some say, it is pity that ever he was made knight, or that ever he should have the love of a lady.	Alas, shall some say, it is pity that ever he was made knight, or that ever he should have the love of a lady.	false	472.22	478.51	20.863712
3228_4687_000011_000007	Also what shall queens and ladies say of me? It is pity that I have my life, that I will hold so noble a knight as ye are from his worship.	Also what shall queens and ladies say of me? It is pity that I have my life, that I will hold so noble a knight as ye are from his worship.	true	478.76	486.73	22.141298
3228_4687_000011_000008	So God me help, said Sir Tristram unto La Beale Isoud, it is passing well said of you and nobly counselled; and now I well understand that ye love me; and like as ye have counselled me I will do a part thereafter.	So God me help, said Sir Tristram unto La Beale Isoud, it is passing well said of you and nobly counselled; and now I well understand that ye love me; and like as ye have counselled me I will do a part thereafter.	false	486.8	498.64	23
3228_4687_000011_000009	But there shall no man nor child ride with me, but myself.	But there shall no man nor child ride with me, but myself.	true	498.77	502.18	24.193613
3228_4687_000011_000010	And so will I ride on Tuesday next coming, and no more harness of war but my spear and my sword.	And so will I ride on Tuesday next coming, and no more harness of war but my spear and my sword.	true	502.49	508.36	19
3228_4687_000012_000000	CHAPTER XII.	CHAPTER twelve.	true	508.64	509.91	31.796276
3228_4687_000012_000001	How Sir Tristram departed unarmed and met with Sir Palomides, and how they smote each other, and how Sir Palomides forbare him.	How Sir Tristram departed unarmed and met with Sir Palomides, and how they smote each other, and how Sir Palomides forbare him.	false	509.91	510.15	100
3228_4687_000013_000000	AND so when the day came Sir Tristram took his leave at La Beale Isoud, and she sent with him four knights, and within half a mile he sent them again: and within a mile after Sir Tristram saw afore him where Sir Palomides had stricken down a knight, and almost wounded him to the death.	AND so when the day came Sir Tristram took his leave at La Beale Isoud, and she sent with him four knights, and within half a mile he sent them again: and within a mile after Sir Tristram saw afore him where Sir Palomides had stricken down a knight, and almost wounded him to the death.	false	510.15	524.89	22
3228_4687_000013_000001	Then Sir Tristram repented him that he was not armed, and then he hoved still.	Then Sir Tristram repented him that he was not armed, and then he hoved still.	true	525.26	529.72	22
3228_4687_000013_000002	With that Sir Palomides knew Sir Tristram, and cried on high: Sir Tristram, now be we met, for or we depart we will redress our old sores.	With that Sir Palomides knew Sir Tristram, and cried on high: Sir Tristram, now be we met, for or we depart we will redress our old sores.	false	530.03	538.84	25
3228_4687_000013_000003	As for that, said Sir Tristram, there was yet never Christian man might make his boast that ever I fled from him; and wit ye well, Sir Palomides, thou that art a Saracen shall never make thy boast that Sir Tristram de Liones shall flee from thee.	As for that, said Sir Tristram, there was yet never Christian man might make his boast that ever I fled from him; and wit ye well, Sir Palomides, thou that art a Saracen shall never make thy boast that Sir Tristram de Liones shall flee from thee.	false	539.09	553.32	22
3228_4687_000013_000004	And therewith Sir Tristram made his horse to run, and with all his might he came straight upon Sir Palomides, and brast his spear upon him an hundred pieces.	And therewith Sir Tristram made his horse to run, and with all his might he came straight upon Sir Palomides, and brast his spear upon him an hundred pieces.	false	553.32	561.37	16
3228_4687_000013_000005	And forthwithal Sir Tristram drew his sword.	And forthwithal Sir Tristram drew his sword.	true	561.92	564.465	19
3228_4687_000013_000006	And then he turned his horse and struck at Palomides six great strokes upon his helm; and then Sir Palomides stood still, and beheld Sir Tristram, and marvelled of his woodness, and of his folly.	And then he turned his horse and struck at Palomides six great strokes upon his helm; and then Sir Palomides stood still, and beheld Sir Tristram, and marvelled of his woodness, and of his folly.	false	564.465	575.32	22
3228_4687_000013_000007	And then Sir Palomides said to himself: An Sir Tristram were armed, it were hard to cease him of this battle, and if I turn again and slay him I am ashamed wheresomever that I go.	And then Sir Palomides said to himself: An Sir Tristram were armed, it were hard to cease him of this battle, and if I turn again and slay him I am ashamed wheresomever that I go.	false	575.63	585.88	19
3228_4687_000014_000000	Then Sir Tristram spake and said: Thou coward knight, what castest thou to do; why wilt thou not do battle with me? for have thou no doubt I shall endure all thy malice.	Then Sir Tristram spake and said: Thou coward knight, what castest thou to do; why wilt thou not do battle with me? for have thou no doubt I shall endure all thy malice.	false	586.31	596.38	25
3228_4687_000014_000001	Ah, Sir Tristram, said Palomides, full well thou wottest I may not fight with thee for shame, for thou art here naked and I am armed, and if I slay thee, dishonour shall be mine. And well thou wottest, said Sir Palomides to Sir Tristram, I know thy strength and thy hardiness to endure against a good knight.	Ah, Sir Tristram, said Palomides, full well thou wottest I may not fight with thee for shame, for thou art here naked and I am armed, and if I slay thee, dishonour shall be mine. And well thou wottest, said Sir Palomides to Sir Tristram, I know thy strength and thy hardiness to endure against a good knight.	false	596.63	614.715	21.3061
3228_4687_000014_000002	That is truth, said Sir Tristram, I understand thy valiantness well.	That is truth, said Sir Tristram, I understand thy valiantness well.	true	614.715	618.79	24
3228_4687_000014_000003	Ye say well, said Sir Palomides; now, I require you, tell me a question that I shall say to you.	Ye say well, said Sir Palomides; now, I require you, tell me a question that I shall say to you.	true	618.83	624.25	20
3228_4687_000014_000004	Tell me what it is, said Sir Tristram, and I shall answer you the truth, as God me help.	Tell me what it is, said Sir Tristram, and I shall answer you the truth, as God me help.	true	624.65	629.56	19.767115
3228_4687_000014_000005	I put case, said Sir Palomides, that ye were armed at all rights as well as I am, and I naked as ye be, what would you do to me now, by your true knighthood?	I put case, said Sir Palomides, that ye were armed at all rights as well as I am, and I naked as ye be, what would you do to me now, by your true knighthood?	false	629.57	639	18
3228_4687_000014_000006	Ah, said Sir Tristram, now I understand thee well, Sir Palomides, for now must I say mine own judgment, and as God me bless, that I shall say shall not be said for no fear that I have of thee.	Ah, said Sir Tristram, now I understand thee well, Sir Palomides, for now must I say mine own judgment, and as God me bless, that I shall say shall not be said for no fear that I have of thee.	false	639	651.15	22
3228_4687_000014_000007	But this is all: wit Sir Palomides, as at this time thou shouldest depart from me, for I would not have ado with thee.	But this is all: wit Sir Palomides, as at this time thou shouldest depart from me, for I would not have ado with thee.	false	651.15	657.79	22
3228_4687_000014_000008	No more will I, said Palomides, and therefore ride forth on thy way.	No more will I, said Palomides, and therefore ride forth on thy way.	false	658.07	662.44	19.376207
3228_4687_000014_000009	As for that I may choose, said Sir Tristram, either to ride or to abide.	As for that I may choose, said Sir Tristram, either to ride or to abide.	true	662.63	666.76	20
3228_4687_000014_000010	But Sir Palomides, said Sir Tristram, I marvel of one thing, that thou that art so good a knight, that thou wilt not be christened, and thy brother, Sir Safere, hath been christened many a day.	But Sir Palomides, said Sir Tristram, I marvel of one thing, that thou that art so good a knight, that thou wilt not be christened, and thy brother, Sir Safere, hath been christened many a day.	false	666.83	677.8	22.890753
3228_4687_000015_000000	CHAPTER XIII.	CHAPTER thirteen.	true	678.77	680.1	21.978289
3228_4687_000015_000001	How that Sir Tristram gat him harness of a knight which was hurt, and how he overthrew Sir Palomides.	How that Sir Tristram gat him harness of a knight which was hurt, and how he overthrew Sir Palomides.	false	680.1	680.535	-1
3228_4687_000016_000000	AS for that, said Sir Palomides, I may not yet be christened for one avow that I have made many years agone; howbeit in my heart I believe in Jesu Christ and his mild mother Mary; but I have but one battle to do, and when that is done I will be baptised with a good will.	AS for that, said Sir Palomides, I may not yet be christened for one avow that I have made many years agone; howbeit in my heart I believe in Jesu Christ and his mild mother Mary; but I have but one battle to do, and when that is done I will be baptised with a good will.	false	680.535	695.86	19
3228_4687_000016_000001	By my head, said Tristram, as for one battle thou shalt not seek it no longer.	By my head, said Tristram, as for one battle thou shalt not seek it no longer.	true	696.05	700.725	22.807669
3228_4687_000016_000002	For God defend, said Sir Tristram, that through my default thou shouldst longer live thus a Saracen, for yonder is a knight that ye, Sir Palomides, have hurt and smitten down.	For God defend, said Sir Tristram, that through my default thou shouldst longer live thus a Saracen, for yonder is a knight that ye, Sir Palomides, have hurt and smitten down.	true	700.725	710.35	21.089884
3228_4687_000016_000003	Now help me that I were armed in his armour, and I shall soon fulfil thine avows.	Now help me that I were armed in his armour, and I shall soon fulfil thine avows.	true	710.51	715.12	17.953709
3228_4687_000016_000004	As ye will, said Palomides, so it shall be.	As ye will, said Palomides, so it shall be.	true	715.16	717.97	20
3228_4687_000017_000000	So they rode both unto that knight that sat upon a bank, and then Sir Tristram saluted him, and he weakly saluted him again.	So they rode both unto that knight that sat upon a bank, and then Sir Tristram saluted him, and he weakly saluted him again.	true	718.28	725.11	19
3228_4687_000017_000001	Sir knight, said Sir Tristram, I require you tell me your right name.	Sir knight, said Sir Tristram, I require you tell me your right name.	true	725.27	729.07	22
3228_4687_000017_000002	Sir, he said, my name is Sir Galleron of Galway, and knight of the Table Round.	Sir, he said, my name is Sir Galleron of Galway, and knight of the Table Round.	true	729.44	734.26	20
3228_4687_000017_000003	So God me help, said Sir Tristram, I am right heavy of your hurts; but this is all, I must pray you to lend me all your whole armour, for ye see I am unarmed, and I must do battle with this knight.	So God me help, said Sir Tristram, I am right heavy of your hurts; but this is all, I must pray you to lend me all your whole armour, for ye see I am unarmed, and I must do battle with this knight.	false	734.33	745.48	21.20159
3228_4687_000017_000004	Sir, said the hurt knight, ye shall have it with a good will; but ye must beware, for I warn you that knight is wight.	Sir, said the hurt knight, ye shall have it with a good will; but ye must beware, for I warn you that knight is wight.	true	745.73	752.295	23.750338
3228_4687_000017_000005	Sir, said Galleron, I pray you tell me your name, and what is that knight's name that hath beaten me.	Sir, said Galleron, I pray you tell me your name, and what is that knight's name that hath beaten me.	false	752.295	757.57	20
3228_4687_000017_000006	Sir, as for my name it is Sir Tristram de Liones, and as for the knight's name that hath hurt you is Sir Palomides, brother to the good knight Sir Safere, and yet is Sir Palomides unchristened.	Sir, as for my name it is Sir Tristram de Liones, and as for the knight's name that hath hurt you is Sir Palomides, brother to the good knight Sir Safere, and yet is Sir Palomides unchristened.	false	757.91	768.87	21.666702
3228_4687_000017_000007	Alas, said Sir Galleron, that is pity that so good a knight and so noble a man of arms should be unchristened.	Alas, said Sir Galleron, that is pity that so good a knight and so noble a man of arms should be unchristened.	false	768.87	775.36	20.085554
3228_4687_000017_000008	So God me help, said Sir Tristram, either he shall slay me or I him but that he shall be christened or ever we depart in-sunder. My lord Sir Tristram, said Sir Galleron, your renown and worship is well known through many realms, and God save you this day from shenship and shame.	So God me help, said Sir Tristram, either he shall slay me or I him but that he shall be christened or ever we depart in sunder. My lord Sir Tristram, said Sir Galleron, your renown and worship is well known through many realms, and God save you this day from shenship and shame.	true	775.52	791.35	21.576986
3228_4687_000018_000000	Then Sir Tristram unarmed Galleron, the which was a noble knight, and had done many deeds of arms, and he was a large knight of flesh and bone.	Then Sir Tristram unarmed Galleron, the which was a noble knight, and had done many deeds of arms, and he was a large knight of flesh and bone.	true	791.75	799.69	24
3228_4687_000018_000001	And when he was unarmed he stood upon his feet, for he was bruised in the back with a spear; yet so as Sir Galleron might, he armed Sir Tristram.	And when he was unarmed he stood upon his feet, for he was bruised in the back with a spear; yet so as Sir Galleron might, he armed Sir Tristram.	true	799.7	807.88	24
3228_4687_000018_000002	And then Sir Tristram mounted upon his own horse, and in his hand he gat Sir Galleron's spear; and therewithal Sir Palomides was ready.	And then Sir Tristram mounted upon his own horse, and in his hand he gat Sir Galleron's spear; and therewithal Sir Palomides was ready.	false	808.01	815.805	23.742496
3228_4687_000018_000003	And so they came hurtling together, and either smote other in midst of their shields; and therewithal Sir Palomides' spear brake, and Sir Tristram smote down the horse; and Sir Palomides, as soon as he might, avoided his horse, and dressed his shield, and pulled out his sword.	And so they came hurtling together, and either smote other in midst of their shields; and therewithal Sir Palomides' spear brake, and Sir Tristram smote down the horse; and Sir Palomides, as soon as he might, avoided his horse, and dressed his shield, and pulled out his sword.	false	815.805	830.08	21
3228_4687_000018_000004	That saw Sir Tristram, and therewithal he alighted and tied his horse till a tree.	That saw Sir Tristram, and therewithal he alighted and tied his horse till a tree.	true	830.24	834.46	19
3228_4687_000019_000000	CHAPTER XIV.	CHAPTER fourteen.	true	835.01	836.34	29.439022
3228_4687_000019_000001	How Sir Tristram and Sir Palomides fought long together, and after accorded, and how Sir Tristram made him to be christened.	How Sir Tristram and Sir Palomides fought long together, and after accorded, and how Sir Tristram made him to be christened.	false	836.34	837.03	51.96016
3228_4687_000020_000000	AND then they came together as two wild boars, lashing together, tracing and traversing as noble men that oft had been well proved in battle; but ever Sir Palomides dread the might of Sir Tristram, and therefore he suffered him to breathe him.	AND then they came together as two wild boars, lashing together, tracing and traversing as noble men that oft had been well proved in battle; but ever Sir Palomides dread the might of Sir Tristram, and therefore he suffered him to breathe him.	false	837.03	850.03	21
