7995_276908_000000_000000	In the morning hunger paid him a second visit, and found him again in the same situation as before.	In the morning hunger paid him a second visit, and found him again in the same situation as before.	false	0	1.59	29.625257
7995_276908_000013_000000	"I hope I am, madam," answered he; "for I cannot believe what I have heard in the prison--surely murder"--at which words she started from her chair, repeating, "Murder! oh! it is music in my ears!--You have heard then the cause of my commitment, my glory, my delight, my reparation! Yes, my old friend, this is the hand, this is the arm that drove the penknife to his heart.	"I hope I am, madam," answered he; "for I cannot believe what I have heard in the prison-surely murder"--at which words she started from her chair, repeating, "Murder! oh! it is music in my ears!--You have heard then the cause of my commitment, my glory, my delight, my reparation! Yes, my old friend, this is the hand, this is the arm that drove the penknife to his heart.	false	245.57	276.97	21.19437
7995_276908_000013_000001	Unkind fortune, that not one drop of his blood reached my hand.--Indeed, sir, I would never have washed it from it.--But, though I have not the happiness to see it on my hand, I have the glorious satisfaction of remembering I saw it run in rivers on the floor; I saw it forsake his cheeks, I saw him fall a martyr to my revenge.	Unkind fortune, that not one drop of his blood reached my hand.--Indeed, sir, I would never have washed it from it.--But, though I have not the happiness to see it on my hand, I have the glorious satisfaction of remembering I saw it run in rivers on the floor; I saw it forsake his cheeks, I saw him fall a martyr to my revenge.	true	277.31	302.23	19.60182
7995_276908_000013_000002	And is the killing a villain to be called murder?	And is the killing a villain to be called murder?	true	302.36	305.38	19.940191
7995_276908_000013_000003	perhaps the law calls it so.--Let it call it what it will, or punish me as it pleases.---Punish me!--no, no---that is not in the power of man--not of that monster man, Mr. Booth.	perhaps the law calls it so.--Let it call it what it will, or punish me as it pleases.---Punish me!--no, no---that is not in the power of man-not of that monster man, mr Booth.	true	305.66	319.395	21.1274
7995_276908_000013_000004	I am undone, am revenged, and have now no more business for life; let them take it from me when they will."	I am undone, am revenged, and have now no more business for life; let them take it from me when they will."	true	319.395	329.14	21.385866
7995_276908_000014_000000	Our poor gentleman turned pale with horror at this speech, and the ejaculation of "Good heavens! what do I hear?" burst spontaneously from his lips; nor can we wonder at this, though he was the bravest of men; for her voice, her looks, her gestures, were properly adapted to the sentiments she exprest.	Our poor gentleman turned pale with horror at this speech, and the ejaculation of "Good heavens! what do I hear?" burst spontaneously from his lips; nor can we wonder at this, though he was the bravest of men; for her voice, her looks, her gestures, were properly adapted to the sentiments she exprest.	false	329.51	351.25	22.392012
7995_276908_000014_000001	Such indeed was her image, that neither could Shakspear describe, nor Hogarth paint, nor Clive act, a fury in higher perfection.	Such indeed was her image, that neither could Shakspear describe, nor Hogarth paint, nor Clive act, a fury in higher perfection.	false	351.26	364.395	19.014862
7995_276908_000015_000000	[Illustration: She then gave a loose to her passions]	[Illustration: She then gave a loose to her passions]	false	364.395	370.38	22.089512
7995_276908_000016_000000	"What do you hear?" reiterated she.	"What do you hear?" reiterated she.	true	370.38	373.08	21
7995_276908_000016_000001	"You hear the resentment of the most injured of women.	"You hear the resentment of the most injured of women.	true	373.08	376.23	16
7995_276908_000016_000002	You have heard, you say, of the murder; but do you know the cause, Mr. Booth?	You have heard, you say, of the murder; but do you know the cause, mr Booth?	true	376.23	380.61	20.361813
7995_276908_000016_000003	Have you since your return to England visited that country where we formerly knew one another?	Have you since your return to England visited that country where we formerly knew one another?	true	380.61	386.325	19.625895
7995_276908_000016_000004	tell me, do you know my wretched story?	tell me, do you know my wretched story?	true	386.325	388.6	17.697342
7995_276908_000016_000005	tell me that, my friend."	tell me that, my friend."	false	388.64	390.66	20.945406
7995_276908_000017_000000	Booth hesitated for an answer; indeed, he had heard some imperfect stories, not much to her advantage.	Booth hesitated for an answer; indeed, he had heard some imperfect stories, not much to her advantage.	true	390.66	397.27	21
7995_276908_000017_000001	She waited not till he had formed a speech; but cried, "Whatever you may have heard, you cannot be acquainted with all the strange accidents which have occasioned your seeing me in a place which at our last parting was so unlikely that I should ever have been found in; nor can you know the cause of all that I have uttered, and which, I am convinced, you never expected to have heard from my mouth.	She waited not till he had formed a speech; but cried, "Whatever you may have heard, you cannot be acquainted with all the strange accidents which have occasioned your seeing me in a place which at our last parting was so unlikely that I should ever have been found in; nor can you know the cause of all that I have uttered, and which, I am convinced, you never expected to have heard from my mouth.	true	397.67	422.775	21.798906
7995_276908_000017_000002	If these circumstances raise your curiosity, I will satisfy it."	If these circumstances raise your curiosity, I will satisfy it."	true	422.775	428.02	23.162897
7995_276908_000018_000000	He answered, that curiosity was too mean a word to express his ardent desire of knowing her story.	He answered, that curiosity was too mean a word to express his ardent desire of knowing her story.	true	428.21	434.835	18.812233
7995_276908_000018_000001	Upon which, with very little previous ceremony, she began to relate what is written in the following chapter.	Upon which, with very little previous ceremony, she began to relate what is written in the following chapter.	true	434.835	442.03	23.55528
7995_276908_000019_000000	But before we put an end to this it may be necessary to whisper a word or two to the critics, who have, perhaps, begun to express no less astonishment than Mr. Booth, that a lady in whom we had remarked a most extraordinary power of displaying softness should, the very next moment after the words were out of her mouth, express sentiments becoming the lips of a Dalila, Jezebel, Medea, Semiramis, Parysatis, Tanaquil, Livilla, Messalina, Agrippina, Brunichilde, Elfrida, Lady Macbeth, Joan of Naples, Christina of Sweden, Katharine Hays, Sarah Malcolm, Con Philips,[Footnote: Though last not least.] or any other heroine of the tender sex, which history, sacred or profane, ancient or modern, false or true, hath recorded.	But before we put an end to this it may be necessary to whisper a word or two to the critics, who have, perhaps, begun to express no less astonishment than mr Booth, that a lady in whom we had remarked a most extraordinary power of displaying softness should, the very next moment after the words were out of her mouth, express sentiments becoming the lips of a Dalila, Jezebel, Medea, Semiramis, Parysatis, Tanaquil, Livilla, Messalina, Agrippina, Brunichilde, Elfrida, Lady Macbeth, Joan of Naples, Christina of Sweden, Katharine Hays, Sarah Malcolm, Con Philips,[Footnote: Though last not least.] or any other heroine of the tender sex, which history, sacred or profane, ancient or modern, false or true, hath recorded.	false	442.22	505.96	23.270296
7995_276908_000020_000000	We desire such critics to remember that it is the same English climate, in which, on the lovely 10th of June, under a serene sky, the amorous Jacobite, kissing the odoriferous zephyr's breath, gathers a nosegay of white roses to deck the whiter breast of Celia; and in which, on the 11th of June, the very next day, the boisterous Boreas, roused by the hollow thunder, rushes horrible through the air, and, driving the wet tempest before him, levels the hope of the husbandman with the earth, dreadful remembrance of the consequences of the Revolution.	We desire such critics to remember that it is the same English climate, in which, on the lovely tenth of June, under a serene sky, the amorous Jacobite, kissing the odoriferous zephyr's breath, gathers a nosegay of white roses to deck the whiter breast of Celia; and in which, on the eleventh of June, the very next day, the boisterous Boreas, roused by the hollow thunder, rushes horrible through the air, and, driving the wet tempest before him, levels the hope of the husbandman with the earth, dreadful remembrance of the consequences of the Revolution.	true	506	545.74	24.061615
7995_276908_000021_000000	Again, let it be remembered that this is the selfsame Celia, all tender, soft, and delicate, who with a voice, the sweetness of which the Syrens might envy, warbles the harmonious song in praise of the young adventurer; and again, the next day, or, perhaps the next hour, with fiery eyes, wrinkled brows, and foaming lips, roars forth treason and nonsense in a political argument with some fair one of a different principle.	Again, let it be remembered that this is the selfsame Celia, all tender, soft, and delicate, who with a voice, the sweetness of which the Syrens might envy, warbles the harmonious song in praise of the young adventurer; and again, the next day, or, perhaps the next hour, with fiery eyes, wrinkled brows, and foaming lips, roars forth treason and nonsense in a political argument with some fair one of a different principle.	false	546.47	577.45	23.007923
7995_276908_000022_000000	Or, if the critic be a Whig, and consequently dislikes such kind of similes, as being too favourable to Jacobitism, let him be contented with the following story:	Or, if the critic be a Whig, and consequently dislikes such kind of similes, as being too favourable to Jacobitism, let him be contented with the following story:	true	577.49	589.42	21.618322
7995_276908_000023_000000	I happened in my youth to sit behind two ladies in a side-box at a play, where, in the balcony on the opposite side, was placed the inimitable B---y C---s, in company with a young fellow of no very formal, or indeed sober, appearance.	I happened in my youth to sit behind two ladies in a side box at a play, where, in the balcony on the opposite side, was placed the inimitable B---y C---s, in company with a young fellow of no very formal, or indeed sober, appearance.	false	589.82	611.71	22.890821
7995_276908_000023_000001	One of the ladies, I remember, said to the other--"Did you ever see anything look so modest and so innocent as that girl over the way?	One of the ladies, I remember, said to the other-"Did you ever see anything look so modest and so innocent as that girl over the way?	true	612.35	621.55	20.017347
7995_276908_000023_000002	what pity it is such a creature should be in the way of ruin, as I am afraid she is, by her being alone with that young fellow!" Now this lady was no bad physiognomist, for it was impossible to conceive a greater appearance of modesty, innocence, and simplicity, than what nature had displayed in the countenance of that girl; and yet, all appearances notwithstanding, I myself (remember, critic, it was in my youth) had a few mornings before seen that very identical picture of all those engaging qualities in bed with a rake at a bagnio, smoaking tobacco, drinking punch, talking obscenity, and swearing and cursing with all the impudence and impiety of the lowest and most abandoned trull of a soldier.	what pity it is such a creature should be in the way of ruin, as I am afraid she is, by her being alone with that young fellow!" Now this lady was no bad physiognomist, for it was impossible to conceive a greater appearance of modesty, innocence, and simplicity, than what nature had displayed in the countenance of that girl; and yet, all appearances notwithstanding, I myself (remember, critic, it was in my youth) had a few mornings before seen that very identical picture of all those engaging qualities in bed with a rake at a bagnio, smoaking tobacco, drinking punch, talking obscenity, and swearing and cursing with all the impudence and impiety of the lowest and most abandoned trull of a soldier.	false	621.86	688.44	22.370962
