5940_54613_000000_000000	[Illustration]	[Illustration]	false	0	0.6	15
5940_54613_000011_000001	There was nothing then to be seen but parties of pleasure, hunting, fishing, dancing, mirth and feasting. Nobody went to bed, but all passed the night in playing tricks upon each other.	There was nothing then to be seen but parties of pleasure, hunting, fishing, dancing, mirth and feasting. Nobody went to bed, but all passed the night in playing tricks upon each other.	true	92.33	104.86	20.072372
5940_54613_000011_000002	In short, every thing succeeded so well, that the youngest daughter began to think the master of the house not to have a beard so very blue, and that he was a mighty civil gentleman.	In short, every thing succeeded so well, that the youngest daughter began to think the master of the house not to have a beard so very blue, and that he was a mighty civil gentleman.	true	105.05	115.54	17.853804
5940_54613_000011_000003	As soon as they returned home, the marriage was concluded.	As soon as they returned home, the marriage was concluded.	true	115.88	118.99	19.36604
5940_54613_000012_000000	About a month afterwards Blue Beard told his wife that he was obliged to take a country journey for six weeks at least, about affairs of very great consequence, desiring her to divert herself in his absence, to send for her friends and acquaintances, to carry them into the country, if she pleased, and to make good cheer wherever she was.	About a month afterwards Blue Beard told his wife that he was obliged to take a country journey for six weeks at least, about affairs of very great consequence, desiring her to divert herself in his absence, to send for her friends and acquaintances, to carry them into the country, if she pleased, and to make good cheer wherever she was.	true	119.51	138.61	16
5940_54613_000013_000000	"Here," said he, "are the keys of the two great wardrobes, wherein I have my best furniture; these are of my silver and gold plate, which is not every day in use; these open my strong boxes, which hold my money, both gold and silver; these my caskets of jewels; and this is the master-key to all my apartments.	"Here," said he, "are the keys of the two great wardrobes, wherein I have my best furniture; these are of my silver and gold plate, which is not every day in use; these open my strong boxes, which hold my money, both gold and silver; these my caskets of jewels; and this is the master key to all my apartments.	true	139.52	159.79	19
5940_54613_000013_000001	But for this little one here, it is the key of the closet at the end of the great gallery on the ground floor.	But for this little one here, it is the key of the closet at the end of the great gallery on the ground floor.	true	160.4	166.27	17
5940_54613_000013_000002	Open them all; go into all and every one of them; except that little closet which I forbid you, and forbid it in such a manner that, if you happen to open it, there will be no bounds to my just anger and resentment."	Open them all; go into all and every one of them; except that little closet which I forbid you, and forbid it in such a manner that, if you happen to open it, there will be no bounds to my just anger and resentment."	true	166.61	180.4	18.773237
5940_54613_000014_000000	She promised to observe, very exactly, whatever he had ordered; when he, after having embraced her, got into his coach and proceeded on his journey.	She promised to observe, very exactly, whatever he had ordered; when he, after having embraced her, got into his coach and proceeded on his journey.	true	181.25	190.5	17
5940_54613_000015_000000	[Illustration: "THIS MAN HAD THE MISFORTUNE TO HAVE A BLUE BEARD"]	[Illustration: "THIS MAN HAD THE MISFORTUNE TO HAVE A BLUE BEARD"]	false	190.5	191.025	-20
5940_54613_000016_000000	Her neighbours and good friends did not stay to be sent for by the newmarried lady, so great was their impatience to see all the rich furniture of her house, not daring to come while her husband was there, because of his blue beard which frightened them.	Her neighbours and good friends did not stay to be sent for by the newmarried lady, so great was their impatience to see all the rich furniture of her house, not daring to come while her husband was there, because of his blue beard which frightened them.	true	191.025	204.19	17
5940_54613_000016_000001	They ran thro' all the rooms, closets, and wardrobes, which were all so rich and fine, that they seemed to surpass one another.	They ran thro' all the rooms, closets, and wardrobes, which were all so rich and fine, that they seemed to surpass one another.	false	205.13	212.26	15
5940_54613_000017_000000	After that, they went up into the two great rooms, where were the best and richest furniture; they could not sufficiently admire the number and beauty of the tapestry, beds, couches, cabinets, stands, tables, and looking-glasses in which you might see yourself from head to foot; some of them were framed with glass, others with silver, plain and gilded, the finest and most magnificent which were ever seen.	After that, they went up into the two great rooms, where were the best and richest furniture; they could not sufficiently admire the number and beauty of the tapestry, beds, couches, cabinets, stands, tables, and looking glasses in which you might see yourself from head to foot; some of them were framed with glass, others with silver, plain and gilded, the finest and most magnificent which were ever seen.	true	212.69	236.2	17
5940_54613_000017_000001	They ceased not to extol and envy the happiness of their friend, who in the mean time no way diverted herself in looking upon all these rich things, because of the impatience she had to go and open the closet of the ground floor.	They ceased not to extol and envy the happiness of their friend, who in the mean time no way diverted herself in looking upon all these rich things, because of the impatience she had to go and open the closet of the ground floor.	false	236.42	248.53	16
5940_54613_000017_000002	She was so much pressed by her curiosity, that, without considering that it was very uncivil to leave her company, she went down a little back-stair-case, and with such excessive haste, that she had twice or thrice like to have broken her neck.	She was so much pressed by her curiosity, that, without considering that it was very uncivil to leave her company, she went down a little back stair case, and with such excessive haste, that she had twice or thrice like to have broken her neck.	false	248.84	263.55	19
5940_54613_000018_000000	Being come to the closet door, she made a stop for some time, thinking upon her husband's orders, and considering what unhappiness might attend her if she was disobedient; but the temptation was so strong she could not overcome it.	Being come to the closet door, she made a stop for some time, thinking upon her husband's orders, and considering what unhappiness might attend her if she was disobedient; but the temptation was so strong she could not overcome it.	true	263.55	277.33	17
5940_54613_000018_000001	She took then the little key, and opened it trembling; but could not at first see any thing plainly, because the windows were shut.	She took then the little key, and opened it trembling; but could not at first see any thing plainly, because the windows were shut.	true	277.73	284.41	16
5940_54613_000018_000002	After some moments she began to perceive that the floor was all covered over with clotted blood, in which were reflected the bodies of several dead women ranged against the walls: these were all the wives whom Blue Beard had married and murdered one after another.	After some moments she began to perceive that the floor was all covered over with clotted blood, in which were reflected the bodies of several dead women ranged against the walls: these were all the wives whom Blue Beard had married and murdered one after another.	true	284.84	300.88	17
5940_54613_000018_000003	She was like to have died for fear, and the key, which she pulled out of the lock, fell out of her hand.	She was like to have died for fear, and the key, which she pulled out of the lock, fell out of her hand.	true	301.43	307.21	18
5940_54613_000019_000000	After having somewhat recovered her senses, she took up the key, locked the door, and went up stairs into her chamber to recover herself; but she could not, so much was she frightened.	After having somewhat recovered her senses, she took up the key, locked the door, and went up stairs into her chamber to recover herself; but she could not, so much was she frightened.	true	307.64	318.13	19.624039
5940_54613_000019_000001	Having observed that the key of the closet was stained with blood, she tried two or three times to wipe it off, but the blood would not come off; in vain did she wash it, and even rub it with soap and sand, the blood still remained, for the key was a Fairy, and she could never make it quite clean; when the blood was gone off from one side, it came again on the other.	Having observed that the key of the closet was stained with blood, she tried two or three times to wipe it off, but the blood would not come off; in vain did she wash it, and even rub it with soap and sand, the blood still remained, for the key was a Fairy, and she could never make it quite clean; when the blood was gone off from one side, it came again on the other.	true	318.62	340.45	17
5940_54613_000020_000000	Blue Beard returned from his journey the same evening, and said, he had received letters upon the road, informing him that the affair he went about was ended to his advantage.	Blue Beard returned from his journey the same evening, and said, he had received letters upon the road, informing him that the affair he went about was ended to his advantage.	true	341	350.14	14
5940_54613_000020_000001	His wife did all she could to convince him she was extremely glad of his speedy return.	His wife did all she could to convince him she was extremely glad of his speedy return.	true	350.39	355.12	16
5940_54613_000020_000002	Next morning he asked her for the keys, which she gave him, but with such a trembling hand, that he easily guessed what had happened.	Next morning he asked her for the keys, which she gave him, but with such a trembling hand, that he easily guessed what had happened.	true	355.4	362.26	19
5940_54613_000021_000000	"What," said he, "is not the key of my closet among the rest?"	"What," said he, "is not the key of my closet among the rest?"	true	362.72	367.63	20.097088
5940_54613_000022_000000	"I must certainly," answered she, "have left it above upon the table."	"I must certainly," answered she, "have left it above upon the table."	true	367.97	372.61	18.276548
5940_54613_000023_000000	"Fail not," said Blue Beard, "to bring it me presently."	"Fail not," said Blue Beard, "to bring it me presently."	true	373.37	376.96	21.63856
5940_54613_000024_000000	After putting him off several times, she was forced to bring him the key.	After putting him off several times, she was forced to bring him the key.	true	377.18	380.8	17
5940_54613_000024_000001	Blue Beard, having very attentively considered it, said to his wife:	Blue Beard, having very attentively considered it, said to his wife:	true	381.17	385.27	19
5940_54613_000025_000000	"How comes this blood upon the key?"	"How comes this blood upon the key?"	true	385.61	387.58	22
5940_54613_000026_000000	"I do not know," cried the poor woman, paler than death.	"I do not know," cried the poor woman, paler than death.	true	387.95	392.35	18.423323
5940_54613_000027_000000	"You do not know," replied Blue Beard; "I very well know, you were resolved to go into the closet, were you not?	"You do not know," replied Blue Beard; "I very well know, you were resolved to go into the closet, were you not?	true	392.6	399.61	18.84943
5940_54613_000027_000001	Mighty well, Madam; you shall go in, and take your place among the ladies you saw there."	Mighty well, Madam; you shall go in, and take your place among the ladies you saw there."	true	400.01	405.4	17.800653
5940_54613_000028_000000	Upon this she threw herself at her husband's feet, and begged his pardon with all the signs of a true repentance for her disobedience. She would have melted a rock, so beautiful and sorrowful was she; but Blue Beard had a heart harder than any rock.	Upon this she threw herself at her husband's feet, and begged his pardon with all the signs of a true repentance for her disobedience. She would have melted a rock, so beautiful and sorrowful was she; but Blue Beard had a heart harder than any rock.	true	406.25	421.27	19
5940_54613_000029_000000	"You must die, Madam," said he, "and that presently."	"You must die, Madam," said he, "and that presently."	true	422.06	426.22	20.047153
5940_54613_000030_000000	"Since I must die," answered she, looking upon him with her eyes all bathed in tears, "give me some little time to say my prayers."	"Since I must die," answered she, looking upon him with her eyes all bathed in tears, "give me some little time to say my prayers."	true	426.89	435.52	18.908384
5940_54613_000031_000000	"I give you," replied Blue Beard, "half a quarter of an hour, but not one moment more."	"I give you," replied Blue Beard, "half a quarter of an hour, but not one moment more."	true	436.16	442.42	18.316074
5940_54613_000032_000000	When she was alone, she called out to her sister, and said to her:	When she was alone, she called out to her sister, and said to her:	false	443.21	447.16	18.499899
5940_54613_000033_000000	"Sister Anne" (for that was her name), "go up I beg you, upon the top of the tower, and look if my brothers are not coming; they promised me that they would come to-day, and if you see them, give them a sign to make haste."	"Sister Anne" (for that was her name), "go up I beg you, upon the top of the tower, and look if my brothers are not coming; they promised me that they would come to day, and if you see them, give them a sign to make haste."	true	447.5	461.71	20.248714
5940_54613_000034_000000	Her sister Anne went up upon the top of the tower, and the poor afflicted wife cried out from time to time, "Anne, sister Anne, do you see any one coming?"	Her sister Anne went up upon the top of the tower, and the poor afflicted wife cried out from time to time, "Anne, sister Anne, do you see any one coming?"	true	462.65	472.57	19.933735
5940_54613_000035_000000	And sister Anne said:	And sister Anne said:	false	473.36	474.76	18.939423
5940_54613_000036_000000	"I see nothing but the sun, which makes a dust, and the grass growing green."	"I see nothing but the sun, which makes a dust, and the grass growing green."	true	474.98	479.47	18
5940_54613_000037_000000	In the mean while Blue Beard, holding a great scimitar in his hand, cried out as loud as he could bawl to his wife:	In the mean while Blue Beard, holding a great scimitar in his hand, cried out as loud as he could bawl to his wife:	true	480.23	487.3	19
5940_54613_000038_000000	"Come down instantly, or I shall come up to you."	"Come down instantly, or I shall come up to you."	true	487.88	491.05	19.850134
5940_54613_000039_000000	"One moment longer, if you please," said his wife, and then she cried out very softly:	"One moment longer, if you please," said his wife, and then she cried out very softly:	true	491.9	497.01	18.08713
5940_54613_000040_000000	"Anne, sister Anne, dost thou see any body coming?"	"Anne, sister Anne, dost thou see any body coming?"	false	497.01	501.58	19.669405
5940_54613_000041_000000	And sister Anne answered:	And sister Anne answered:	true	502.07	503.71	19
5940_54613_000042_000000	"I see nothing but the sun, which makes a dust, and the grass growing green."	"I see nothing but the sun, which makes a dust, and the grass growing green."	true	504.05	508.39	19
5940_54613_000043_000000	"Come down quickly," cried Blue Beard, "or I will come up to you."	"Come down quickly," cried Blue Beard, "or I will come up to you."	true	508.91	513.91	20.874855
5940_54613_000044_000000	"I am coming," answered his wife; and then she cried:	"I am coming," answered his wife; and then she cried:	true	514.4	517.5	18.837214
5940_54613_000045_000000	"Anne, sister Anne, dost thou see any one coming?"	"Anne, sister Anne, dost thou see any one coming?"	false	517.5	522.015	19.882685
5940_54613_000046_000000	"I see," replied sister Anne, "a great dust that comes this way."	"I see," replied sister Anne, "a great dust that comes this way."	true	522.015	526.18	20.527943
5940_54613_000047_000000	"Are they my brothers?"	"Are they my brothers?"	true	526.7	528.04	20
5940_54613_000048_000000	"Alas! no, my dear sister, I see a flock of sheep."	"Alas! no, my dear sister, I see a flock of sheep."	true	528.47	532.54	20.894115
5940_54613_000049_000000	"Will you not come down?" cried Blue Beard.	"Will you not come down?" cried Blue Beard.	true	533.3	536.56	20.999777
5940_54613_000050_000000	"One moment longer," said his wife, and then she cried out:	"One moment longer," said his wife, and then she cried out:	true	536.96	540.75	16.124098
5940_54613_000051_000000	"Anne, sister Anne, dost thou see nobody coming?"	"Anne, sister Anne, dost thou see nobody coming?"	false	540.75	545.71	19.235046
5940_54613_000052_000000	"I see," said she, "two horsemen coming, but they are yet a great way off."	"I see," said she, "two horsemen coming, but they are yet a great way off."	true	546.68	552.34	20.29039
5940_54613_000053_000000	"God be praised," she cried presently, "they are my brothers; I am beckoning to them, as well as I can, for them to make haste."	"God be praised," she cried presently, "they are my brothers; I am beckoning to them, as well as I can, for them to make haste."	true	552.92	560.44	20
5940_54613_000054_000000	Then Blue Beard bawled out so loud, that he made the whole house tremble.	Then Blue Beard bawled out so loud, that he made the whole house tremble.	true	560.87	564.64	16
5940_54613_000054_000001	The distressed wife came down, and threw herself at his feet, all in tears, with her hair about her shoulders.	The distressed wife came down, and threw herself at his feet, all in tears, with her hair about her shoulders.	true	565.43	571.54	16
5940_54613_000055_000000	"Nought will avail," said Blue Beard, "you must die"; then, taking hold of her hair with one hand, and lifting up his scimitar with the other, he was going to take off her head.	"Nought will avail," said Blue Beard, "you must die"; then, taking hold of her hair with one hand, and lifting up his scimitar with the other, he was going to take off her head.	false	572.39	583.33	19.286911
5940_54613_000056_000000	The poor lady turning about to him, and looking at him with dying eyes, desired him to afford her one little moment to recollect herself.	The poor lady turning about to him, and looking at him with dying eyes, desired him to afford her one little moment to recollect herself.	true	583.55	591.4	16
5940_54613_000057_000000	"No, no," said he, "recommend thyself to God," and was just ready to strike.	"No, no," said he, "recommend thyself to God," and was just ready to strike.	true	591.62	597.46	19.495136
5940_54613_000058_000000	At this very instant there was such a loud knocking at the gate, that Blue Beard made a sudden stop.	At this very instant there was such a loud knocking at the gate, that Blue Beard made a sudden stop.	true	597.77	603.28	18.878414
5940_54613_000058_000001	The gate was opened, and presently entered two horsemen, who drawing their swords, ran directly to Blue Beard.	The gate was opened, and presently entered two horsemen, who drawing their swords, ran directly to Blue Beard.	true	603.29	609.76	19
5940_54613_000058_000002	He knew them to be his wife's brothers, one a dragoon, the other a musqueteer; so that he ran away immediately to save himself; but the two brothers pursued so close, that they overtook him before he could get to the steps of the porch, when they ran their swords thro' his body and left him dead.	He knew them to be his wife's brothers, one a dragoon, the other a musqueteer; so that he ran away immediately to save himself; but the two brothers pursued so close, that they overtook him before he could get to the steps of the porch, when they ran their swords thro' his body and left him dead.	false	610.1	626.68	17
5940_54613_000058_000003	The poor wife was almost as dead as her husband, and had not strength enough to rise and welcome her brothers.	The poor wife was almost as dead as her husband, and had not strength enough to rise and welcome her brothers.	true	626.87	632.56	16
5940_54613_000059_000000	Blue Beard had no heirs, and so his wife became mistress of all his estate.	Blue Beard had no heirs, and so his wife became mistress of all his estate.	true	633.17	637.68	16
5940_54613_000059_000001	She made use of one part of it to marry her sister Anne to a young gentleman who had loved her a long while; another part to buy captains' commissions for her brothers; and the rest to marry herself to a very worthy gentleman, who made her forget the ill time she had passed with Blue Beard.	She made use of one part of it to marry her sister Anne to a young gentleman who had loved her a long while; another part to buy captains' commissions for her brothers; and the rest to marry herself to a very worthy gentleman, who made her forget the ill time she had passed with Blue Beard.	true	637.68	654.39	17
5940_54613_000060_000000	[Illustration]	[Illustration]	false	654.39	654.93	-20
5940_54613_000061_000000	_The Moral_	underscore The Moral underscore	false	654.93	656.58	18.300354
5940_54613_000062_000000	_O curiosity, thou mortal bane! Spite of thy charms, thou causest often pain And sore regret, of which we daily find A thousand instances attend mankind: For thou--O may it not displease the fair-- A fleeting pleasure art, but lasting care. And always proves, alas! too dear the prize, Which, in the moment of possession, dies._	underscore O curiosity, thou mortal bane! Spite of thy charms, thou causest often pain And sore regret, of which we daily find A thousand instances attend mankind: For thou-O may it not displease the fair- A fleeting pleasure art, but lasting care. And always proves, alas! too dear the prize, Which, in the moment of possession, dies.underscore	false	656.58	679.68	15
5940_54613_000063_000000	_Another_	underscore Another underscore	false	679.68	681.96	14
5940_54613_000064_000000	_A very little share of common sense, And knowledge of the world, will soon evince That this a story is of time long pass'd; No husbands now such panic terrors cast; Nor weakly, with a vain despotic hand, Imperious, what's impossible, command: And be they discontented, or the fire Of wicked jealousy their hearts inspire, They softly sing; and of whatever hue Their beards may chance to be, or black, or blue, Grizeld, or russet, it is hard to say Which of the two, the man or wife, bears sway._	underscore A very little share of common sense, And knowledge of the world, will soon evince That this a story is of time long pass'd; No husbands now such panic terrors cast; Nor weakly, with a vain despotic hand, Imperious, what's impossible, command: And be they discontented, or the fire Of wicked jealousy their hearts inspire, They softly sing; and of whatever hue Their beards may chance to be, or black, or blue, Grizeld, or russet, it is hard to say Which of the two, the man or wife, bears sway.underscore	false	681.96	722.94	18.546894
