2256_137597_000000_000000	CHAPTER XXIII.	CHAPTER twenty three.	false	0.36	7.62	25.138636
2256_137597_000003_000002	But the man of the courtelage would not lodge them for no treatise that they could treat, but thus much the good man said, An ye will take the adventure of your lodging, I shall bring you where ye shall be lodged.	But the man of the courtelage would not lodge them for no treatise that they could treat, but thus much the good man said, An ye will take the adventure of your lodging, I shall bring you where ye shall be lodged.	false	125.475	138.94	23.8225
2256_137597_000003_000003	What adventure is that that I shall have for my lodging? said Sir Marhaus.	What adventure is that that I shall have for my lodging? said Sir Marhaus.	true	139.7	145.48	23.241867
2256_137597_000003_000004	Ye shall wit when ye come there, said the good man.	Ye shall wit when ye come there, said the good man.	false	146.06	149.29	28.317709
2256_137597_000003_000005	Sir, what adventure so it be, bring me thither I pray thee, said Sir Marhaus; for I am weary, my damosel, and my horse.	Sir, what adventure so it be, bring me thither I pray thee, said Sir Marhaus; for I am weary, my damosel, and my horse.	true	149.72	161.35	24.158014
2256_137597_000003_000006	So the good man went and opened the gate, and within an hour he brought him unto a fair castle, and then the poor man called the porter, and anon he was let into the castle, and so he told the lord how he brought him a knight errant and a damosel that would be lodged with him.	So the good man went and opened the gate, and within an hour he brought him unto a fair castle, and then the poor man called the porter, and anon he was let into the castle, and so he told the lord how he brought him a knight errant and a damosel that would be lodged with him.	false	162.14	178.84	22.709358
2256_137597_000003_000007	Let him in, said the lord, it may happen he shall repent that they took their lodging here.	Let him in, said the lord, it may happen he shall repent that they took their lodging here.	true	179.66	186.52	22.07738
2256_137597_000004_000000	So Sir Marhaus was let in with torchlight, and there was a goodly sight of young men that welcomed him.	So Sir Marhaus was let in with torchlight, and there was a goodly sight of young men that welcomed him.	true	187.97	194.77	20.640501
2256_137597_000004_000001	And then his horse was led into the stable, and he and the damosel were brought into the hall, and there stood a mighty duke and many goodly men about him.	And then his horse was led into the stable, and he and the damosel were brought into the hall, and there stood a mighty duke and many goodly men about him.	true	195.23	205.54	21
2256_137597_000004_000002	Then this lord asked him what he hight, and from whence he came, and with whom he dwelt.	Then this lord asked him what he hight, and from whence he came, and with whom he dwelt.	true	205.91	212.47	23.752453
2256_137597_000004_000003	Sir, he said, I am a knight of King Arthur's and knight of the Table Round, and my name is Sir Marhaus, and born I am in Ireland.	Sir, he said, I am a knight of King Arthur's and knight of the Table Round, and my name is Sir Marhaus, and born I am in Ireland.	false	213.02	224.5	23.500502
2256_137597_000004_000004	And then said the duke to him, That me sore repenteth: the cause is this, for I love not thy lord nor none of thy fellows of the Table Round; and therefore ease thyself this night as well as thou mayest, for as to-morn I and my six sons shall match with you.	And then said the duke to him, That me sore repenteth: the cause is this, for I love not thy lord nor none of thy fellows of the Table Round; and therefore ease thyself this night as well as thou mayest, for as to morn I and my six sons shall match with you.	false	224.81	247.72	22.210087
2256_137597_000004_000005	Is there no remedy but that I must have ado with you and your six sons at once? said Sir Marhaus.	Is there no remedy but that I must have ado with you and your six sons at once? said Sir Marhaus.	true	248.03	254.77	20
2256_137597_000004_000006	No, said the duke, for this cause I made mine avow, for Sir Gawaine slew my seven sons in a recounter, therefore I made mine avow, there should never knight of King Arthur's court lodge with me, or come thereas I might have ado with him, but that I would have a revenging of my sons' death.	No, said the duke, for this cause I made mine avow, for Sir Gawaine slew my seven sons in a recounter, therefore I made mine avow, there should never knight of King Arthur's court lodge with me, or come thereas I might have ado with him, but that I would have a revenging of my sons' death.	false	255.02	279.61	23.076338
2256_137597_000004_000007	What is your name? said Sir Marhaus; I require you tell me, an it please you.	What is your name? said Sir Marhaus; I require you tell me, an it please you.	true	280.43	287.22	20.484241
2256_137597_000004_000008	Wit thou well I am the Duke of South Marches.	Wit thou well I am the Duke of South Marches.	false	287.22	292.12	24.215662
2256_137597_000004_000009	Ah, said Sir Marhaus, I have heard say that ye have been long time a great foe unto my lord Arthur and to his knights.	Ah, said Sir Marhaus, I have heard say that ye have been long time a great foe unto my lord Arthur and to his knights.	false	292.49	301.66	23
2256_137597_000004_000010	That shall ye feel to-morn, said the duke.	That shall ye feel to morn, said the duke.	true	301.76	305.68	22.993011
2256_137597_000004_000011	Shall I have ado with you? said Sir Marhaus.	Shall I have ado with you? said Sir Marhaus.	true	306.26	310.11	20.132156
2256_137597_000004_000012	Yea, said the duke, thereof shalt thou not choose, and therefore take you to your chamber, and ye shall have all that to you longeth.	Yea, said the duke, thereof shalt thou not choose, and therefore take you to your chamber, and ye shall have all that to you longeth.	false	310.11	319.81	23.157448
2256_137597_000004_000013	So Sir Marhaus departed and was led to a chamber, and his damosel was led unto her chamber.	So Sir Marhaus departed and was led to a chamber, and his damosel was led unto her chamber.	true	320.63	326.38	19
2256_137597_000004_000014	And on the morn the duke sent unto Sir Marhaus and bade make him ready.	And on the morn the duke sent unto Sir Marhaus and bade make him ready.	false	326.69	331.24	21
2256_137597_000004_000015	And so Sir Marhaus arose and armed him, and then there was a mass sung afore him, and brake his fast, and so mounted on horseback in the court of the castle where they should do the battle.	And so Sir Marhaus arose and armed him, and then there was a mass sung afore him, and brake his fast, and so mounted on horseback in the court of the castle where they should do the battle.	true	331.67	344.62	18.326658
2256_137597_000004_000016	So there was the duke all ready on horseback, clean armed, and his six sons by him, and everych had a spear in his hand, and so they encountered, whereas the duke and his two sons brake their spears upon him, but Sir Marhaus held up his spear and touched none of them.	So there was the duke all ready on horseback, clean armed, and his six sons by him, and everych had a spear in his hand, and so they encountered, whereas the duke and his two sons brake their spears upon him, but Sir Marhaus held up his spear and touched none of them.	false	345.11	366.01	25.302786
2256_137597_000005_000000	CHAPTER XXV.	CHAPTER twenty five.	true	366.5	368.19	23.043777
2256_137597_000005_000001	How Sir Marhaus fought with the duke and his four sons and made them to yield them.	How Sir Marhaus fought with the duke and his four sons and made them to yield them.	false	368.19	369.255	-6
2256_137597_000006_000000	THEN came the four sons by couple, and two of them brake their spears, and so did the other two.	THEN came the four sons by couple, and two of them brake their spears, and so did the other two.	true	369.255	374.74	17
2256_137597_000006_000001	And all this while Sir Marhaus touched them not.	And all this while Sir Marhaus touched them not.	true	374.9	377.95	22
2256_137597_000006_000002	Then Sir Marhaus ran to the duke, and smote him with his spear that horse and man fell to the earth, and so he served his sons; and then Sir Marhaus alighted down and bade the duke yield him or else he would slay him.	Then Sir Marhaus ran to the duke, and smote him with his spear that horse and man fell to the earth, and so he served his sons; and then Sir Marhaus alighted down and bade the duke yield him or else he would slay him.	false	378.5	395.95	21.089529
2256_137597_000006_000003	And then some of his sons recovered, and would have set upon Sir Marhaus; then Sir Marhaus said to the duke, Cease thy sons, or else I will do the uttermost to you all.	And then some of his sons recovered, and would have set upon Sir Marhaus; then Sir Marhaus said to the duke, Cease thy sons, or else I will do the uttermost to you all.	true	396.59	409.78	20.704391
2256_137597_000006_000004	Then the duke saw he might not escape the death, he cried to his sons, and charged them to yield them to Sir Marhaus; and they kneeled all down and put the pommels of their swords to the knight, and so he received them.	Then the duke saw he might not escape the death, he cried to his sons, and charged them to yield them to Sir Marhaus; and they kneeled all down and put the pommels of their swords to the knight, and so he received them.	false	410.87	427.59	21.015312
2256_137597_000006_000005	And then they helped up their father, and so by their cominal assent promised to Sir Marhaus never to be foes unto King Arthur, and thereupon at Whitsuntide after to come, he and his sons, and put them in the king's grace.	And then they helped up their father, and so by their cominal assent promised to Sir Marhaus never to be foes unto King Arthur, and thereupon at Whitsuntide after to come, he and his sons, and put them in the king's grace.	true	427.59	445.57	21.404865
2256_137597_000007_000000	Then Sir Marhaus departed, and within two days his damosel brought him whereas was a great tournament that the Lady de Vawse had cried.	Then Sir Marhaus departed, and within two days his damosel brought him whereas was a great tournament that the Lady de Vawse had cried.	false	446.69	455.44	22
2256_137597_000007_000001	And who that did best should have a rich circlet of gold worth a thousand besants.	And who that did best should have a rich circlet of gold worth a thousand besants.	true	456.08	461.41	21
2256_137597_000007_000002	And there Sir Marhaus did so nobly that he was renowned, and had sometime down forty knights, and so the circlet of gold was rewarded him.	And there Sir Marhaus did so nobly that he was renowned, and had sometime down forty knights, and so the circlet of gold was rewarded him.	true	462.17	472.39	21.476534
2256_137597_000007_000003	Then he departed from them with great worship; and so within seven nights his damosel brought him to an earl's place, his name was the Earl Fergus, that after was Sir Tristram's knight; and this earl was but a young man, and late come into his lands, and there was a giant fast by him that hight Taulurd, and he had another brother in Cornwall that hight Taulas, that Sir Tristram slew when he was out of his mind.	Then he departed from them with great worship; and so within seven nights his damosel brought him to an earl's place, his name was the Earl Fergus, that after was Sir Tristram's knight; and this earl was but a young man, and late come into his lands, and there was a giant fast by him that hight Taulurd, and he had another brother in Cornwall that hight Taulas, that Sir Tristram slew when he was out of his mind.	false	473.12	506.56	22.574984
2256_137597_000007_000004	So this earl made his complaint unto Sir Marhaus, that there was a giant by him that destroyed all his lands, and how he durst nowhere ride nor go for him.	So this earl made his complaint unto Sir Marhaus, that there was a giant by him that destroyed all his lands, and how he durst nowhere ride nor go for him.	true	508.01	517.87	23
2256_137597_000007_000005	Sir, said the knight, whether useth he to fight on horseback or on foot?	Sir, said the knight, whether useth he to fight on horseback or on foot?	true	518.15	523.63	22.710945
2256_137597_000007_000006	Nay, said the earl, there may no horse bear him.	Nay, said the earl, there may no horse bear him.	false	524.18	528.73	19.665857
2256_137597_000007_000007	Well, said Sir Marhaus, then will I fight with him on foot; so on the morn Sir Marhaus prayed the earl that one of his men might bring him whereas the giant was; and so he was, for he saw him sit under a tree of holly, and many clubs of iron and gisarms about him.	Well, said Sir Marhaus, then will I fight with him on foot; so on the morn Sir Marhaus prayed the earl that one of his men might bring him whereas the giant was; and so he was, for he saw him sit under a tree of holly, and many clubs of iron and gisarms about him.	false	529.82	550.75	21.476988
2256_137597_000007_000008	So this knight dressed him to the giant, putting his shield afore him, and the giant took an iron club in his hand, and at the first stroke he clave Sir Marhaus' shield in two pieces.	So this knight dressed him to the giant, putting his shield afore him, and the giant took an iron club in his hand, and at the first stroke he clave Sir Marhaus' shield in two pieces.	false	551.57	563.5	21
2256_137597_000007_000009	And there he was in great peril, for the giant was a wily fighter, but at last Sir Marhaus smote off his right arm above the elbow.	And there he was in great peril, for the giant was a wily fighter, but at last Sir Marhaus smote off his right arm above the elbow.	true	563.75	574.15	21.534056
2256_137597_000008_000000	Then the giant fled and the knight after him, and so he drove him into a water, but the giant was so high that he might not wade after him.	Then the giant fled and the knight after him, and so he drove him into a water, but the giant was so high that he might not wade after him.	true	574.55	583.51	20.095055
2256_137597_000008_000001	And then Sir Marhaus made the Earl Fergus' man to fetch him stones, and with those stones the knight gave the giant many sore knocks, till at the last he made him fall down into the water, and so was he there dead. Then Sir Marhaus went unto the giant's castle, and there he delivered twenty-four ladies and twelve knights out of the giant's prison, and there he had great riches without number, so that the days of his life he was never poor man.	And then Sir Marhaus made the Earl Fergus' man to fetch him stones, and with those stones the knight gave the giant many sore knocks, till at the last he made him fall down into the water, and so was he there dead. Then Sir Marhaus went unto the giant's castle, and there he delivered twenty four ladies and twelve knights out of the giant's prison, and there he had great riches without number, so that the days of his life he was never poor man.	false	583.7	615.55	20.834612
2256_137597_000008_000002	Then he returned to the Earl Fergus, the which thanked him greatly, and would have given him half his lands, but he would none take.	Then he returned to the Earl Fergus, the which thanked him greatly, and would have given him half his lands, but he would none take.	true	616.19	624.79	22.958141
2256_137597_000008_000003	So Sir Marhaus dwelled with the earl nigh half a year, for he was sore bruised with the giant, and at the last he took his leave.	So Sir Marhaus dwelled with the earl nigh half a year, for he was sore bruised with the giant, and at the last he took his leave.	false	625.4	634.78	20.900185
2256_137597_000008_000004	And as he rode by the way, he met with Sir Gawaine and Sir Uwaine, and so by adventure he met with four knights of Arthur's court, the first was Sir Sagramore le Desirous, Sir Osanna, Sir Dodinas le Savage, and Sir Felot of Listinoise; and there Sir Marhaus with one spear smote down these four knights, and hurt them sore.	And as he rode by the way, he met with Sir Gawaine and Sir Uwaine, and so by adventure he met with four knights of Arthur's court, the first was Sir Sagramore le Desirous, Sir Osanna, Sir Dodinas le Savage, and Sir Felot of Listinoise; and there Sir Marhaus with one spear smote down these four knights, and hurt them sore.	false	634.91	663.04	22.118126
2256_137597_000008_000005	So he departed to meet at his day aforeset.	So he departed to meet at his day aforeset.	true	663.29	667.9	24.278141
2256_137597_000009_000000	CHAPTER XXVI.	CHAPTER twenty six.	true	668.21	670.11	33.073666
2256_137597_000009_000001	How Sir Uwaine rode with the damosel of sixty year of age, and how he gat the prize at tourneying.	How Sir Uwaine rode with the damosel of sixty year of age, and how he gat the prize at tourneying.	false	670.11	670.665	16
2256_137597_000010_000000	NOW turn we unto Sir Uwaine, that rode westward with his damosel of three score winter of age, and she brought him thereas was a tournament nigh the march of Wales.	NOW turn we unto Sir Uwaine, that rode westward with his damosel of three score winter of age, and she brought him thereas was a tournament nigh the march of Wales.	false	670.665	682.33	22.11472
2256_137597_000010_000001	And at that tournament Sir Uwaine smote down thirty knights, therefore was given him the prize, and that was a gerfalcon, and a white steed trapped with cloth of gold.	And at that tournament Sir Uwaine smote down thirty knights, therefore was given him the prize, and that was a gerfalcon, and a white steed trapped with cloth of gold.	false	682.76	697.09	25.004107
2256_137597_000010_000002	So then Sir Uwaine did many strange adventures by the means of the old damosel, and so she brought him to a lady that was called the Lady of the Rock, the which was much courteous.	So then Sir Uwaine did many strange adventures by the means of the old damosel, and so she brought him to a lady that was called the Lady of the Rock, the which was much courteous.	false	697.43	710.71	22.427681
2256_137597_000010_000003	So there were in the country two knights that were brethren, and they were called two perilous knights, the one knight hight Sir Edward of the Red Castle, and the other Sir Hue of the Red Castle; and these two brethren had disherited the Lady of the Rock of a barony of lands by their extortion.	So there were in the country two knights that were brethren, and they were called two perilous knights, the one knight hight Sir Edward of the Red Castle, and the other Sir Hue of the Red Castle; and these two brethren had disherited the Lady of the Rock of a barony of lands by their extortion.	true	711.68	732.7	24.91234
2256_137597_000010_000004	And as this knight was lodged with this lady she made her complaint to him of these two knights.	And as this knight was lodged with this lady she made her complaint to him of these two knights.	true	732.86	738.52	24
2256_137597_000011_000000	Madam, said Sir Uwaine, they are to blame, for they do against the high order of knighthood, and the oath that they made; and if it like you I will speak with them, because I am a knight of King Arthur's, and I will entreat them with fairness; and if they will not, I shall do battle with them, and in the defence of your right.	Madam, said Sir Uwaine, they are to blame, for they do against the high order of knighthood, and the oath that they made; and if it like you I will speak with them, because I am a knight of King Arthur's, and I will entreat them with fairness; and if they will not, I shall do battle with them, and in the defence of your right.	false	738.95	763.45	23.198257
2256_137597_000011_000001	Gramercy said the lady, and thereas I may not acquit you, God shall.	Gramercy said the lady, and thereas I may not acquit you, God shall.	true	764.06	770.43	21.849865
2256_137597_000011_000002	So on the morn the two knights were sent for, that they should come thither to speak with the Lady of the Rock, and wit ye well they failed not, for they came with an hundred horse.	So on the morn the two knights were sent for, that they should come thither to speak with the Lady of the Rock, and wit ye well they failed not, for they came with an hundred horse.	true	770.43	781.78	23.150389
2256_137597_000011_000003	But when this lady saw them in this manner so big, she would not suffer Sir Uwaine to go out to them upon no surety nor for no fair language, but she made him speak with them over a tower, but finally these two brethren would not be entreated, and answered that they would keep that they had.	But when this lady saw them in this manner so big, she would not suffer Sir Uwaine to go out to them upon no surety nor for no fair language, but she made him speak with them over a tower, but finally these two brethren would not be entreated, and answered that they would keep that they had.	false	782.06	800.92	23.728546
2256_137597_000011_000004	Well, said Sir Uwaine, then will I fight with one of you, and prove that ye do this lady wrong.	Well, said Sir Uwaine, then will I fight with one of you, and prove that ye do this lady wrong.	false	801.08	808.24	23.430218
2256_137597_000011_000005	That will we not, said they, for an we do battle, we two will fight with one knight at once, and therefore if ye will fight so, we will be ready at what hour ye will assign.	That will we not, said they, for an we do battle, we two will fight with one knight at once, and therefore if ye will fight so, we will be ready at what hour ye will assign.	true	808.97	822.16	23.962759
2256_137597_000011_000006	And if ye win us in battle the lady shall have her lands again. Ye say well, said Sir Uwaine, therefore make you ready so that ye be here to-morn in the defence of the lady's right.	And if ye win us in battle the lady shall have her lands again. Ye say well, said Sir Uwaine, therefore make you ready so that ye be here to morn in the defence of the lady's right.	false	822.17	836.17	23.808092
2256_137597_000012_000000	CHAPTER XXVII.	CHAPTER twenty seven.	true	837.53	839.16	22.969574
2256_137597_000012_000001	How Sir Uwaine fought with two knights and overcame them.	How Sir Uwaine fought with two knights and overcame them.	false	839.16	840.66	7
2256_137597_000013_000000	SO was there sikerness made on both parties that no treason should be wrought on neither party; so then the knights departed and made them ready, and that night Sir Uwaine had great cheer.	SO was there sikerness made on both parties that no treason should be wrought on neither party; so then the knights departed and made them ready, and that night Sir Uwaine had great cheer.	false	840.66	853.24	25.162008
2256_137597_000013_000001	And on the morn he arose early and heard mass, and brake his fast, and so he rode unto the plain without the gates, where hoved the two brethren abiding him.	And on the morn he arose early and heard mass, and brake his fast, and so he rode unto the plain without the gates, where hoved the two brethren abiding him.	false	853.91	865.39	23.231623
2256_137597_000013_000002	So they rode together passing sore, that Sir Edward and Sir Hue brake their spears upon Sir Uwaine.	So they rode together passing sore, that Sir Edward and Sir Hue brake their spears upon Sir Uwaine.	false	865.88	873.42	21.96062
2256_137597_000013_000003	And Sir Uwaine smote Sir Edward that he fell over his horse and yet his spear brast not.	And Sir Uwaine smote Sir Edward that he fell over his horse and yet his spear brast not.	false	873.42	879.55	24.019842
2256_137597_000013_000004	And then he spurred his horse and came upon Sir Hue and overthrew him, but they soon recovered and dressed their shields and drew their swords and bade Sir Uwaine alight and do his battle to the uttermost.	And then he spurred his horse and came upon Sir Hue and overthrew him, but they soon recovered and dressed their shields and drew their swords and bade Sir Uwaine alight and do his battle to the uttermost.	false	879.92	892.18	25.358046
2256_137597_000013_000005	Then Sir Uwaine devoided his horse suddenly, and put his shield afore him and drew his sword, and so they dressed together, and either gave other such strokes, and there these two brethren wounded Sir Uwaine passing grievously that the Lady of the Rock weened he should have died.	Then Sir Uwaine devoided his horse suddenly, and put his shield afore him and drew his sword, and so they dressed together, and either gave other such strokes, and there these two brethren wounded Sir Uwaine passing grievously that the Lady of the Rock weened he should have died.	false	892.37	911.29	22.257013
2256_137597_000013_000006	And thus they fought together five hours as men raged out of reason.	And thus they fought together five hours as men raged out of reason.	true	911.39	916.93	16
2256_137597_000013_000007	And at the last Sir Uwaine smote Sir Edward upon the helm such a stroke that his sword carved unto his canel bone, and then Sir Hue abated his courage, but Sir Uwaine pressed fast to have slain him.	And at the last Sir Uwaine smote Sir Edward upon the helm such a stroke that his sword carved unto his canel bone, and then Sir Hue abated his courage, but Sir Uwaine pressed fast to have slain him.	false	917.69	934.72	25.540096
2256_137597_000013_000008	That saw Sir Hue: he kneeled down and yielded him to Sir Uwaine.	That saw Sir Hue: he kneeled down and yielded him to Sir Uwaine.	false	934.97	940.38	20.963512
2256_137597_000013_000009	And he of his gentleness received his sword, and took him by the hand, and went into the castle together.	And he of his gentleness received his sword, and took him by the hand, and went into the castle together.	true	940.38	949.03	21.787891
2256_137597_000013_000010	Then the Lady of the Rock was passing glad, and the other brother made great sorrow for his brother's death.	Then the Lady of the Rock was passing glad, and the other brother made great sorrow for his brother's death.	true	949.46	955.06	23.12697
2256_137597_000013_000011	Then the lady was restored of all her lands, and Sir Hue was commanded to be at the court of King Arthur at the next feast of Pentecost.	Then the lady was restored of all her lands, and Sir Hue was commanded to be at the court of King Arthur at the next feast of Pentecost.	true	955.58	964.12	22.868938
2256_137597_000013_000012	So Sir Uwaine dwelt with the lady nigh half a year, for it was long or he might be whole of his great hurts.	So Sir Uwaine dwelt with the lady nigh half a year, for it was long or he might be whole of his great hurts.	false	964.58	972.49	21.476822
2256_137597_000013_000013	And so when it drew nigh the term-day that Sir Gawaine, Sir Marhaus, and Sir Uwaine should meet at the cross-way, then every knight drew him thither to hold his promise that they had made; and Sir Marhaus and Sir Uwaine brought their damosels with them, but Sir Gawaine had lost his damosel, as it is afore rehearsed.	And so when it drew nigh the term day that Sir Gawaine, Sir Marhaus, and Sir Uwaine should meet at the cross way, then every knight drew him thither to hold his promise that they had made; and Sir Marhaus and Sir Uwaine brought their damosels with them, but Sir Gawaine had lost his damosel, as it is afore rehearsed.	false	973.22	996.58	23.04173
2256_137597_000014_000000	CHAPTER XXVIII.	CHAPTER twenty eight.	true	997.4	999.3	26.560406
2256_137597_000014_000001	How at the year's end all three knights with their three damosels met at the fountain.	How at the year's end all three knights with their three damosels met at the fountain.	false	999.3	1000.11	-20
2256_137597_000015_000000	RIGHT so at the twelvemonths' end they met all three knights at the fountain and their damosels, but the damosel that Sir Gawaine had could say but little worship of him so they departed from the damosels and rode through a great forest, and there they met with a messenger that came from King Arthur, that had sought them well-nigh a twelvemonth throughout all England, Wales, and Scotland, and charged if ever he might find Sir Gawaine and Sir Uwaine to bring them to the court again. And then were they all glad, and so prayed they Sir Marhaus to ride with them to the king's court.	RIGHT so at the twelvemonths' end they met all three knights at the fountain and their damosels, but the damosel that Sir Gawaine had could say but little worship of him so they departed from the damosels and rode through a great forest, and there they met with a messenger that came from King Arthur, that had sought them well nigh a twelvemonth throughout all England, Wales, and Scotland, and charged if ever he might find Sir Gawaine and Sir Uwaine to bring them to the court again. And then were they all glad, and so prayed they Sir Marhaus to ride with them to the king's court.	false	1000.11	1040.59	23.570402
2256_137597_000015_000001	And so within twelve days they came to Camelot, and the king was passing glad of their coming, and so was all the court.	And so within twelve days they came to Camelot, and the king was passing glad of their coming, and so was all the court.	true	1041.23	1050.52	23.26799
2256_137597_000015_000002	Then the king made them to swear upon a book to tell him all their adventures that had befallen them that twelvemonth, and so they did.	Then the king made them to swear upon a book to tell him all their adventures that had befallen them that twelvemonth, and so they did.	true	1051.04	1060.54	20.702055
2256_137597_000015_000003	And there was Sir Marhaus well known, for there were knights that he had matched aforetime, and he was named one of the best knights living.	And there was Sir Marhaus well known, for there were knights that he had matched aforetime, and he was named one of the best knights living.	true	1060.79	1070.02	22.059465
2256_137597_000016_000000	Against the feast of Pentecost came the Damosel of the Lake and brought with her Sir Pelleas; and at that high feast there was great jousting of knights, and of all knights that were at that jousts, Sir Pelleas had the prize, and Sir Marhaus was named the next; but Sir Pelleas was so strong there might but few knights sit him a buffet with a spear.	Against the feast of Pentecost came the Damosel of the Lake and brought with her Sir Pelleas; and at that high feast there was great jousting of knights, and of all knights that were at that jousts, Sir Pelleas had the prize, and Sir Marhaus was named the next; but Sir Pelleas was so strong there might but few knights sit him a buffet with a spear.	true	1071.05	1096.15	25.74087
2256_137597_000016_000001	And at that next feast Sir Pelleas and Sir Marhaus were made knights of the Table Round, for there were two sieges void, for two knights were slain that twelvemonth, and great joy had King Arthur of Sir Pelleas and of Sir Marhaus.	And at that next feast Sir Pelleas and Sir Marhaus were made knights of the Table Round, for there were two sieges void, for two knights were slain that twelvemonth, and great joy had King Arthur of Sir Pelleas and of Sir Marhaus.	true	1096.15	1112.08	23.394926
2256_137597_000016_000002	But Pelleas loved never after Sir Gawaine, but as he spared him for the love of King Arthur; but ofttimes at jousts and tournaments Sir Pelleas quit Sir Gawaine, for so it rehearseth in the book of French.	But Pelleas loved never after Sir Gawaine, but as he spared him for the love of King Arthur; but ofttimes at jousts and tournaments Sir Pelleas quit Sir Gawaine, for so it rehearseth in the book of French.	true	1112.48	1127.71	24.736586
2256_137597_000016_000003	So Sir Tristram many days after fought with Sir Marhaus in an island, and there they did a great battle, but at the last Sir Tristram slew him, so Sir Tristram was wounded that unnethe he might recover, and lay at a nunnery half a year.	So Sir Tristram many days after fought with Sir Marhaus in an island, and there they did a great battle, but at the last Sir Tristram slew him, so Sir Tristram was wounded that unnethe he might recover, and lay at a nunnery half a year.	false	1128.02	1147.48	21.833761
2256_137597_000016_000004	And Sir Pelleas was a worshipful knight, and was one of the four that achieved the Sangreal, and the Damosel of the Lake made by her means that never he had ado with Sir Launcelot de Lake, for where Sir Launcelot was at any jousts or any tournament, she would not suffer him be there that day, but if it were on the side of Sir Launcelot.	And Sir Pelleas was a worshipful knight, and was one of the four that achieved the Sangreal, and the Damosel of the Lake made by her means that never he had ado with Sir Launcelot de Lake, for where Sir Launcelot was at any jousts or any tournament, she would not suffer him be there that day, but if it were on the side of Sir Launcelot.	false	1148.15	1175.02	21.615587
2256_137597_000017_000000	Explicit liber quartus.	Explicit liber quartus.	true	1175.45	1177.55	28.279682
2256_137597_000017_000001	Incipit liber quintus.	Incipit liber quintus.	false	1177.55	1180.62	27.429611
2256_137597_000018_000000	BOOK V.	BOOK v	false	1180.62	1182.03	19.043634
2256_137597_000019_000000	CHAPTER I. How twelve aged ambassadors of Rome came to King Arthur to demand truage for Britain.	CHAPTER one How twelve aged ambassadors of Rome came to King Arthur to demand truage for Britain.	false	1182.03	1189.8	23.56938
