3630_24758_000000_000000	PROP. XLV.	PROP. x l v.	false	0	0.87	24.86998
3630_24758_000006_000000	Note.--This proposition can also be proved from the Corollary to II. xvii.	Note.--This proposition can also be proved from the Corollary to two. x v i i.	false	70.34	76.77	23.89389
3630_24758_000006_000001	Whenever we remember anything, even if it does not actually exist, we regard it only as present, and the body is affected in the same manner; wherefore, in so far as the remembrance of the thing is strong, a man is determined to regard it with pain; this determination, while the image of the thing in question lasts, is indeed checked by the remembrance of other things excluding the existence of the aforesaid thing, but is not destroyed: hence, a man only feels pleasure in so far as the said determination is checked: for this reason the joy arising from the injury done to what we hate is repeated, every time we remember that object of hatred.	Whenever we remember anything, even if it does not actually exist, we regard it only as present, and the body is affected in the same manner; wherefore, in so far as the remembrance of the thing is strong, a man is determined to regard it with pain; this determination, while the image of the thing in question lasts, is indeed checked by the remembrance of other things excluding the existence of the aforesaid thing, but is not destroyed: hence, a man only feels pleasure in so far as the said determination is checked: for this reason the joy arising from the injury done to what we hate is repeated, every time we remember that object of hatred.	true	76.77	111.615	22.01178
3630_24758_000006_000002	For, as we have said, when the image of the thing in question, is aroused, inasmuch as it involves the thing's existence, it determines the man to regard the thing with the same pain as he was wont to do, when it actually did exist.	For, as we have said, when the image of the thing in question, is aroused, inasmuch as it involves the thing's existence, it determines the man to regard the thing with the same pain as he was wont to do, when it actually did exist.	true	111.615	123.06	21.180452
3630_24758_000006_000003	However, since he has joined to the image of the thing other images, which exclude its existence, this determination to pain is forthwith checked, and the man rejoices afresh as often as the repetition takes place.	However, since he has joined to the image of the thing other images, which exclude its existence, this determination to pain is forthwith checked, and the man rejoices afresh as often as the repetition takes place.	true	123.06	134.41	21.86847
3630_24758_000006_000004	This is the cause of men's pleasure in recalling past evils, and delight in narrating dangers from which they have escaped.	This is the cause of men's pleasure in recalling past evils, and delight in narrating dangers from which they have escaped.	true	134.66	140.98	20.77874
3630_24758_000006_000005	For when men conceive a danger, they conceive it as still future, and are determined to fear it; this determination is checked afresh by the idea of freedom, which became associated with the idea of the danger when they escaped therefrom: this renders them secure afresh: therefore they rejoice afresh.	For when men conceive a danger, they conceive it as still future, and are determined to fear it; this determination is checked afresh by the idea of freedom, which became associated with the idea of the danger when they escaped therefrom: this renders them secure afresh: therefore they rejoice afresh.	true	141.26	157.2	22.465073
3630_24758_000007_000000	PROP. XLVIII.	PROP. x l v i i i.	false	157.2	159.885	19.5798
3630_24758_000007_000001	Love or hatred towards, for instance, Peter is destroyed, if the pleasure involved in the former, or the pain involved in the latter emotion, be associated with the idea of another cause: and will be diminished in proportion as we conceive Peter not to have been the sole cause of either emotion.	Love or hatred towards, for instance, peter is destroyed, if the pleasure involved in the former, or the pain involved in the latter emotion, be associated with the idea of another cause: and will be diminished in proportion as we conceive peter not to have been the sole cause of either emotion.	true	159.885	174.79	22.556019
3630_24758_000008_000000	Proof.--This Prop. is evident from the mere definition of love and hatred (III. xiii.	Proof.--This Prop. is evident from the mere definition of love and hatred (three. x i i i.	false	175.25	181.74	24.02871
3630_24758_000008_000001	note).	note).	true	181.74	182.38	24.011515
3630_24758_000008_000002	For pleasure is called love towards Peter, and pain is called hatred towards Peter, simply in so far as Peter is regarded as the cause of one emotion or the other.	For pleasure is called love towards peter, and pain is called hatred towards peter, simply in so far as peter is regarded as the cause of one emotion or the other.	true	182.57	190.99	23.739204
3630_24758_000008_000003	When this condition of causality is either wholly or partly removed, the emotion towards Peter also wholly or in part vanishes.	When this condition of causality is either wholly or partly removed, the emotion towards peter also wholly or in part vanishes.	true	191.15	198.36	21.977753
3630_24758_000008_000004	Q.E.D.	q e d	false	198.36	200.19	27.311848
3630_24758_000009_000000	PROP. XLIX.	PROP. x l i x.	false	200.19	202.38	20.783285
3630_24758_000009_000001	Love or hatred towards a thing, which we conceive to be free, must, other conditions being similar, be greater than if it were felt towards a thing acting by necessity.	Love or hatred towards a thing, which we conceive to be free, must, other conditions being similar, be greater than if it were felt towards a thing acting by necessity.	true	202.38	210.79	23.485931
3630_24758_000010_000000	Proof.--A thing which we conceive as free must (I.	Proof.--A thing which we conceive as free must (I.	false	211.1	214.41	22.246437
3630_24758_000010_000001	Def. vii.) be perceived through itself without anything else.	Def. vii.) be perceived through itself without anything else.	false	214.41	218.83	24.717218
3630_24758_000010_000002	If, therefore, we conceive it as the cause of pleasure or pain, we shall therefore (III. xiii.	If, therefore, we conceive it as the cause of pleasure or pain, we shall therefore (three. x i i i.	false	218.99	225.27	25.412615
3630_24758_000010_000003	note) love it or hate it, and shall do so with the utmost love or hatred that can arise from the given emotion.	note) love it or hate it, and shall do so with the utmost love or hatred that can arise from the given emotion.	true	225.27	231.28	20.66592
3630_24758_000010_000004	But if the thing which causes the emotion be conceived as acting by necessity, we shall then (by the same Def. vii.	But if the thing which causes the emotion be conceived as acting by necessity, we shall then (by the same Def. vii.	false	231.35	237.465	21.051275
3630_24758_000010_000005	Part I.) conceive it not as the sole cause, but as one of the causes of the emotion, and therefore our love or hatred towards it will be less.	Part one) conceive it not as the sole cause, but as one of the causes of the emotion, and therefore our love or hatred towards it will be less.	true	237.465	245.22	22.545681
3630_24758_000010_000006	Q.E.D.	q e d	false	245.22	247.11	24.388739
3630_24758_000011_000000	Note.--Hence it follows, that men, thinking themselves to be free, feel more love or hatred towards one another than towards anything else: to this consideration we must add the imitation of emotions treated of in III. xxvii., xxxiv., xl. and xliii.	Note.--Hence it follows, that men, thinking themselves to be free, feel more love or hatred towards one another than towards anything else: to this consideration we must add the imitation of emotions treated of in three. x x v i i., x x x i v., x l. and x l i i i.	false	247.11	264.45	21.830507
3630_24758_000012_000000	PROP.	PROP.	false	264.45	264.93	26.522285
3630_24758_000012_000001	L. Anything whatever can be, accidentally, a cause of hope or fear.	L. Anything whatever can be, accidentally, a cause of hope or fear.	false	264.93	268.9	23.87302
3630_24758_000013_000000	Proof.--This proposition is proved in the same way as III. xv., which see, together with the note to III. xviii.	Proof.--This proposition is proved in the same way as three. x v., which see, together with the note to three. x v i i i.	false	269.12	278.865	24.848867
3630_24758_000014_000000	Note.--Things which are accidentally the causes of hope or fear are called good or evil omens.	Note.--Things which are accidentally the causes of hope or fear are called good or evil omens.	true	278.865	283.99	21.170658
3630_24758_000014_000001	Now, in so far as such omens are the cause of hope or fear, they are (by the definitions of hope and fear given in III. xviii.	Now, in so far as such omens are the cause of hope or fear, they are (by the definitions of hope and fear given in three. x v i i i.	false	284.27	292.86	22.470743
3630_24758_000014_000002	note) the causes also of pleasure and pain; consequently we, to this extent, regard them with love or hatred, and endeavour either to invoke them as means towards that which we hope for, or to remove them as obstacles, or causes of that which we fear.	note) the causes also of pleasure and pain; consequently we, to this extent, regard them with love or hatred, and endeavour either to invoke them as means towards that which we hope for, or to remove them as obstacles, or causes of that which we fear.	false	292.86	305.68	20.70168
3630_24758_000014_000003	It follows, further, from III. xxv., that we are naturally so constituted as to believe readily in that which we hope for, and with difficulty in that which we fear; moreover, we are apt to estimate such objects above or below their true value.	It follows, further, from three. x x v., that we are naturally so constituted as to believe readily in that which we hope for, and with difficulty in that which we fear; moreover, we are apt to estimate such objects above or below their true value.	false	305.9	320.11	23.273382
3630_24758_000014_000004	Hence there have arisen superstitions, whereby men are everywhere assailed.	Hence there have arisen superstitions, whereby men are everywhere assailed.	true	320.48	324.4	19.89442
3630_24758_000014_000005	However, I do not think it worth while to point out here the vacillations springing from hope and fear; it follows from the definition of these emotions, that there can be no hope without fear, and no fear without hope, as I will duly explain in the proper place.	However, I do not think it worth while to point out here the vacillations springing from hope and fear; it follows from the definition of these emotions, that there can be no hope without fear, and no fear without hope, as I will duly explain in the proper place.	true	324.53	337.72	22.809317
3630_24758_000014_000006	Further, in so far as we hope for or fear anything, we regard it with love or hatred; thus everyone can apply by himself to hope and fear what we have said concerning love and hatred.	Further, in so far as we hope for or fear anything, we regard it with love or hatred; thus everyone can apply by himself to hope and fear what we have said concerning love and hatred.	false	338.03	356.85	20.759676
