6683_67218_000000_000000	[Illustration: OTTER HUNTING.]	[Illustration: OTTER HUNTING.]	false	6.69	8.535	14
6683_67218_000003_000007	A gipsy was, indeed, said to have possessed one, but he refused to part with it.	A gipsy was, indeed, said to have possessed one, but he refused to part with it.	true	190.79	196.57	22.71201
6683_67218_000004_000000	Those who saw the exhibition of pictures in the Royal Academy in 1844 will recollect a large, interesting, and beautiful picture by Sir Edwin Landseer of a pack of otter-hounds.	Those who saw the exhibition of pictures in the Royal Academy in eighteen forty four will recollect a large, interesting, and beautiful picture by Sir Edwin Landseer of a pack of otter hounds.	true	198.08	212.5	24.276937
6683_67218_000004_000001	The picture describes the hunt at the time of the termination of the chase and the capture of the otter.	The picture describes the hunt at the time of the termination of the chase and the capture of the otter.	true	212.75	218.74	24.322392
6683_67218_000004_000002	The animal is impaled on the huntsman's spear, while the rough, shaggy, and picturesque-looking pack are represented with eyes intently fixed on the amphibious beast, and howling in uncouth chorus round their agonized and dying prey.	The animal is impaled on the huntsman's spear, while the rough, shaggy, and picturesque looking pack are represented with eyes intently fixed on the amphibious beast, and howling in uncouth chorus round their agonized and dying prey.	true	218.99	236.44	21.85448
6683_67218_000005_000000	An otter-hunt is a cheerful and inspiriting sport, and it is still carried on in some of the lakes of Cumberland.	An otter hunt is a cheerful and inspiriting sport, and it is still carried on in some of the lakes of Cumberland.	true	238.37	245.83	22.66848
6683_67218_000005_000001	Indeed, as lately as the year 1844, a pack of otter-hounds was advertised in the newspapers to be sold by private contract.	Indeed, as lately as the year eighteen forty four, a pack of otter hounds was advertised in the newspapers to be sold by private contract.	true	246.17	257.35	24.703348
6683_67218_000005_000002	The alleged cause of the owner's parting with them was in consequence of their having cleared the rivers of three counties (Staffordshire being one) of all the otters, and the number captured and killed in the last few years was mentioned.	The alleged cause of the owner's parting with them was in consequence of their having cleared the rivers of three counties (Staffordshire being one) of all the otters, and the number captured and killed in the last few years was mentioned.	true	257.63	274.15	22.720816
6683_67218_000005_000003	"Good otter-hounds," as an old writer observes, "will come chanting, and trail along by the river-side, and will beat every tree-root, every osier-bed, and tuft of bulrushes; nay, sometimes they will take the water and beat it like a spaniel, and by these means the otter can hardly escape you." The otter swims and dives with great celerity, and in doing the latter it throws up _sprots_, or air-bubbles, which enable the hunters to ascertain where it is, and to spear it.	"Good otter hounds," as an old writer observes, "will come chanting, and trail along by the river side, and will beat every tree root, every osier bed, and tuft of bulrushes; nay, sometimes they will take the water and beat it like a spaniel, and by these means the otter can hardly escape you." The otter swims and dives with great celerity, and in doing the latter it throws up underscore sprots underscore, or air bubbles, which enable the hunters to ascertain where it is, and to spear it.	false	274.64	309.94	22.32962
6683_67218_000005_000004	The best time to find it is early in the morning.	The best time to find it is early in the morning.	true	310.49	313.84	21.900911
6683_67218_000005_000005	It may frequently be traced by the dead fish and fish-bones strewed along the banks of the river.	It may frequently be traced by the dead fish and fish bones strewed along the banks of the river.	true	314.24	321.52	22.236115
6683_67218_000005_000006	The prints, also, of the animal's feet, called his _seal_, are of a peculiar formation, and thus it is readily traced.	The prints, also, of the animal's feet, called his underscore seal underscore, are of a peculiar formation, and thus it is readily traced.	false	322.13	333.37	24.0387
6683_67218_000005_000007	The otter preys during the night, and conceals himself in the daytime under the banks of lakes and rivers, where he generally forms a kind of subterraneous gallery, running for several yards parallel to the water's edge, so that if he should be assailed from one end, he flies to the other.	The otter preys during the night, and conceals himself in the daytime under the banks of lakes and rivers, where he generally forms a kind of subterraneous gallery, running for several yards parallel to the water's edge, so that if he should be assailed from one end, he flies to the other.	true	334.13	354.01	23.43463
6683_67218_000005_000008	When he takes to the water, it is necessary that those who have otter-spears should watch the bubbles, for he generally vents near them.	When he takes to the water, it is necessary that those who have otter spears should watch the bubbles, for he generally vents near them.	true	354.44	364.03	22.633787
6683_67218_000005_000009	When the otter is seized, or upon the point of being caught by the hounds, he turns upon his pursuers with the utmost ferocity.	When the otter is seized, or upon the point of being caught by the hounds, he turns upon his pursuers with the utmost ferocity.	true	364.34	373.15	23.827732
6683_67218_000005_000010	Instances are recorded of dogs having been drowned by otters, which they had seized under water, for they can sustain the want of respiration for a much longer time than the dog.	Instances are recorded of dogs having been drowned by otters, which they had seized under water, for they can sustain the want of respiration for a much longer time than the dog.	true	373.58	387.4	21.907497
6683_67218_000006_000000	Mr. Daniell, in his "Rural Sports," remarks that hunting the otter was formerly considered as excellent sport, and that hounds were kept solely for that purpose.	mr Daniell, in his "Rural Sports," remarks that hunting the otter was formerly considered as excellent sport, and that hounds were kept solely for that purpose.	false	387.98	399.43	24.613762
6683_67218_000006_000001	The sportsmen went on each side of the river, beating the banks and sedges with the dogs.	The sportsmen went on each side of the river, beating the banks and sedges with the dogs.	true	399.95	406.33	22.94334
6683_67218_000006_000002	If an otter was not soon found, it was supposed that he had gone to _couch_ more inland, and was sought for accordingly.	If an otter was not soon found, it was supposed that he had gone to underscore couch underscore more inland, and was sought for accordingly.	false	406.7	414.94	21.742353
6683_67218_000006_000003	If one was found, the sportsmen viewed his track in the mud, to find which way he had taken.	If one was found, the sportsmen viewed his track in the mud, to find which way he had taken.	true	415.31	422.05	23.898449
6683_67218_000007_000000	"On the soft sand, See there his seal impress'd!	"On the soft sand, See there his seal impress'd!	true	423.74	427.84	22.762276
6683_67218_000007_000001	And on that bank Behold the glitt'ring spoils, half-eaten fish, Scales, fins, and bones, the leavings of his feast."	And on that bank Behold the glitt'ring spoils, half eaten fish, Scales, fins, and bones, the leavings of his feast."	true	428.06	438.55	20.420938
6683_67218_000008_000000	The spears were used in aid of the dogs.	The spears were used in aid of the dogs.	true	440.54	443.41	22.189085
6683_67218_000008_000001	When an otter is wounded, he makes directly to land, where he maintains an obstinate defence:--	When an otter is wounded, he makes directly to land, where he maintains an obstinate defence:--	true	443.57	450.64	22.962568
6683_67218_000009_000000	"Lo! to yon sedgy bank He creeps disconsolate; his numerous foes Surround him, hounds and men.	"Lo! to yon sedgy bank He creeps disconsolate; his numerous foes Surround him, hounds and men.	true	451.82	459.57	21.789377
6683_67218_000009_000001	Pierc'd through and through, On pointed spears they lift him high in air; Bid the loud horns, in gaily warbling strains, Proclaim the spoiler's fate: he dies, he dies."	Pierc'd through and through, On pointed spears they lift him high in air; Bid the loud horns, in gaily warbling strains, Proclaim the spoiler's fate: he dies, he dies."	false	459.57	474.37	22.639084
6683_67218_000010_000000	The male otter never makes any complaint when seized by the dogs, or even when transfixed with a spear, but the females emit a very shrill squeal.	The male otter never makes any complaint when seized by the dogs, or even when transfixed with a spear, but the females emit a very shrill squeal.	true	476.18	488.02	22.973274
6683_67218_000010_000001	In the year 1796, near Bridgenorth, on the river Wherfe, four otters were killed.	In the year seventeen ninety six, near Bridgenorth, on the river Wherfe, four otters were killed.	true	488.18	495.1	21.16603
6683_67218_000010_000002	One stood three, another four hours before the dogs, and was scarcely a minute out of sight.	One stood three, another four hours before the dogs, and was scarcely a minute out of sight.	true	495.77	503.47	22.565804
6683_67218_000010_000003	In April 1804, the otter-hounds of Mr. Coleman, of Leominster, killed an otter of extraordinary size.	In april eighteen o four, the otter hounds of mr Coleman, of Leominster, killed an otter of extraordinary size.	false	504.14	514.3	22.909044
6683_67218_000010_000004	It measured from the nose to the end of the tail, four feet ten inches, and weighed thirty-four and a half pounds.	It measured from the nose to the end of the tail, four feet ten inches, and weighed thirty four and a half pounds.	true	514.52	522.55	22.672613
6683_67218_000010_000005	This animal was supposed to be eight years old, and to have destroyed for the last five years a ton of fish annually.	This animal was supposed to be eight years old, and to have destroyed for the last five years a ton of fish annually.	true	523.31	532.78	25.015867
6683_67218_000010_000006	The destruction of fish by this animal is, indeed, very great, for he will eat none unless it be perfectly fresh, and what he takes himself.	The destruction of fish by this animal is, indeed, very great, for he will eat none unless it be perfectly fresh, and what he takes himself.	true	533.15	543.4	21.944735
6683_67218_000010_000007	By his mode of eating them he causes a still greater consumption, for so soon as an otter catches a fish he drags it on shore, devours it to the vent, and, unless pressed by extreme hunger, always leaves the remainder, and takes to the water in search of more.	By his mode of eating them he causes a still greater consumption, for so soon as an otter catches a fish he drags it on shore, devours it to the vent, and, unless pressed by extreme hunger, always leaves the remainder, and takes to the water in search of more.	true	543.71	562.09	21.747946
6683_67218_000010_000008	In rivers it is always observed to swim against the stream, in order to meet its prey.	In rivers it is always observed to swim against the stream, in order to meet its prey.	true	562.31	569.17	20.669035
6683_67218_000011_000000	Otters bite very severely, and they will seize upon a dog with the utmost ferocity, and will shake it as a terrier does a rat.	Otters bite very severely, and they will seize upon a dog with the utmost ferocity, and will shake it as a terrier does a rat.	true	569.96	579.16	22.01185
6683_67218_000011_000001	The jaws of the otter are so constructed, that even when dead it is difficult to separate them, as they adhere with the utmost tenacity.	The jaws of the otter are so constructed, that even when dead it is difficult to separate them, as they adhere with the utmost tenacity.	true	579.62	589.42	24.228012
6683_67218_000011_000002	Otters are frequently found on the banks of the Thames, and a large one was caught in an eel-basket, near Windsor, but the hunting of them is discontinued.	Otters are frequently found on the banks of the Thames, and a large one was caught in an eel basket, near Windsor, but the hunting of them is discontinued.	true	590.09	601.29	23.691454
6683_67218_000012_000000	[Illustration]	[Illustration]	false	601.29	601.44	-20
6683_67218_000013_000000	[Illustration: GREYHOUNDS.]	[Illustration: GREYHOUNDS.]	false	601.44	601.74	-20
6683_67218_000014_000000	THE GREYHOUND.	THE GREYHOUND.	false	601.74	602.07	-20
6683_67218_000015_000000	"Ah! gallant Snowball! what remains, Up Fordon's banks, o'er Flixton's plains, Of all thy strength--thy sinewy force, Which rather flew than ran the course? Ah! what remains?	"Ah! gallant Snowball! what remains, Up Fordon's banks, o'er Flixton's plains, Of all thy strength-thy sinewy force, Which rather flew than ran the course? Ah! what remains?	false	602.07	605.85	23.231213
6683_67218_000015_000001	Save that thy breed May to their father's fame succeed; And when the prize appears in view, May prove that they are Snowballs too."	Save that thy breed May to their father's fame succeed; And when the prize appears in view, May prove that they are Snowballs too."	false	605.85	615.57	20.645267
