1025_75365_000000_000000	[Sidenote: The symbol for country may be a man and may become an idol.]	[Sidenote: The symbol for country may be a man and may become an idol.]	false	13.89	17.59	17.383408
1025_75365_000010_000002	A trivial emblem, which no thinking man can substitute for the thing signified, is not so great an advantage as at first sight it might seem; for in the first place men are often thoughtless and adore words and symbols with a terrible earnestness; while, on the other hand, an abstract token, because of its natural insipidity, can be made to stand for anything; so that patriotism, when it uses pompous words alone for its stimulus, is very apt to be a cloak for private interests, which the speaker may sincerely conceive to be the only interests in question.	A trivial emblem, which no thinking man can substitute for the thing signified, is not so great an advantage as at first sight it might seem; for in the first place men are often thoughtless and adore words and symbols with a terrible earnestness; while, on the other hand, an abstract token, because of its natural insipidity, can be made to stand for anything; so that patriotism, when it uses pompous words alone for its stimulus, is very apt to be a cloak for private interests, which the speaker may sincerely conceive to be the only interests in question.	true	392.15	422.52	16
1025_75365_000011_000000	[Sidenote: Patriotism not self-interest, save to the social man whose aims are ideal.]	[Sidenote: Patriotism not self interest, save to the social man whose aims are ideal.]	false	422.52	428.05	18.567766
1025_75365_000012_000000	The essence of patriotism is thus annulled, for patriotism does not consist in considering the private and sordid interests of others as well as one's own, by a kind of sympathy which is merely vicarious or epidemic selfishness; patriotism consists rather in being sensitive to a set of interests which no one could have had if he had lived in isolation, but which accrue to men conscious of living in society, and in a society having the scope and history of a nation.	The essence of patriotism is thus annulled, for patriotism does not consist in considering the private and sordid interests of others as well as one's own, by a kind of sympathy which is merely vicarious or epidemic selfishness; patriotism consists rather in being sensitive to a set of interests which no one could have had if he had lived in isolation, but which accrue to men conscious of living in society, and in a society having the scope and history of a nation.	true	428.27	452.775	15
1025_75365_000012_000001	It was the vice of liberalism to believe that common interests covered nothing but the sum of those objects which each individual might pursue alone; whereby science, religion, art, language, and nationality itself would cease to be matters of public concern and would appeal to the individual merely as instruments.	It was the vice of liberalism to believe that common interests covered nothing but the sum of those objects which each individual might pursue alone; whereby science, religion, art, language, and nationality itself would cease to be matters of public concern and would appeal to the individual merely as instruments.	false	452.775	469.53	14
1025_75365_000012_000002	The welfare of a flock of sheep is secured if each is well fed and watered, but the welfare of a human society involves the partial withdrawal of every member from such pursuits to attend instead to memory and to ideal possessions; these involve a certain conscious continuity and organisation in the state not necessary for animal existence.	The welfare of a flock of sheep is secured if each is well fed and watered, but the welfare of a human society involves the partial withdrawal of every member from such pursuits to attend instead to memory and to ideal possessions; these involve a certain conscious continuity and organisation in the state not necessary for animal existence.	false	469.53	488.4	14
1025_75365_000012_000003	It is not for man's interest to live unless he can live in the spirit, because his spiritual capacity, when unused, will lacerate and derange even his physical life.	It is not for man's interest to live unless he can live in the spirit, because his spiritual capacity, when unused, will lacerate and derange even his physical life.	true	488.4	497.355	14
1025_75365_000012_000004	The brutal individualist falls into the same error into which despots fall when they declare war out of personal pique or tax the people to build themselves a pyramid, not discerning their country's interests, which they might have appropriated, from interests of their own which no one else can share.	The brutal individualist falls into the same error into which despots fall when they declare war out of personal pique or tax the people to build themselves a pyramid, not discerning their country's interests, which they might have appropriated, from interests of their own which no one else can share.	true	497.355	512.28	16
1025_75365_000013_000000	Democracies, too, are full of patriots of this lordly stripe, men whose patriotism consists in joy at their personal possessions and in desire to increase them.	Democracies, too, are full of patriots of this lordly stripe, men whose patriotism consists in joy at their personal possessions and in desire to increase them.	false	512.28	521.4	16
1025_75365_000013_000001	The resultant of general selfishness might conceivably be a general order; but though intelligent selfishness, if universal, might suffice for good government, it could not suffice for nationality. Patriotism is an imaginative passion, and imagination is ingenuous.	The resultant of general selfishness might conceivably be a general order; but though intelligent selfishness, if universal, might suffice for good government, it could not suffice for nationality. Patriotism is an imaginative passion, and imagination is ingenuous.	true	521.4	536.235	16
1025_75365_000013_000002	The value of patriotism is not utilitarian, but ideal.	The value of patriotism is not utilitarian, but ideal.	true	536.235	539.925	17
1025_75365_000013_000003	It belongs to the free forms of society and ennobles a man not so much because it nerves him to work or to die, which the basest passions may also do, but because it associates him, in working or dying, with an immortal and friendly companion, the spirit of his race.	It belongs to the free forms of society and ennobles a man not so much because it nerves him to work or to die, which the basest passions may also do, but because it associates him, in working or dying, with an immortal and friendly companion, the spirit of his race.	true	539.925	554.86	15
1025_75365_000013_000004	This he received from his ancestors tempered by their achievements, and may transmit to posterity qualified by his own.	This he received from his ancestors tempered by their achievements, and may transmit to posterity qualified by his own.	false	554.9	565.44	19.873327
