5266_41151_000000_000000	"How have you got on?" queried Levin.	"How have you got on?" queried Levin.	false	0	2.55	24.755875
5266_41151_000013_000000	"Perfectly true!" chimed in Vassenka Veslovsky.	"Perfectly true!" chimed in Vassenka Veslovsky.	false	223.31	226.75	22.436825
5266_41151_000013_000001	"Perfectly!	"Perfectly!	true	226.76	227.86	23.60813
5266_41151_000013_000002	Oblonsky, of course, goes out of _bonhomie_, but other people say: 'Well, Oblonsky stays with them.'..."	Oblonsky, of course, goes out of underscore bonhomie underscore, but other people say: 'Well, Oblonsky stays with them.'..."	false	228.2	235.75	24.729645
5266_41151_000014_000000	"Not a bit of it." Levin could hear that Oblonsky was smiling as he spoke.	"Not a bit of it." Levin could hear that Oblonsky was smiling as he spoke.	true	236.3	241.905	23.22499
5266_41151_000014_000001	"I simply don't consider him more dishonest than any other wealthy merchant or nobleman.	"I simply don't consider him more dishonest than any other wealthy merchant or nobleman.	true	241.905	247.54	23.550304
5266_41151_000014_000002	They've all made their money alike--by their work and their intelligence."	They've all made their money alike-by their work and their intelligence."	true	247.73	252.34	24.551369
5266_41151_000015_000000	"Oh, by what work?	"Oh, by what work?	true	252.56	254.655	28.693562
5266_41151_000015_000001	Do you call it work to get hold of concessions and speculate with them?"	Do you call it work to get hold of concessions and speculate with them?"	true	254.655	258.97	27.276863
5266_41151_000016_000000	"Of course it's work.	"Of course it's work.	true	259.31	261.195	27.459162
5266_41151_000016_000001	Work in this sense, that if it were not for him and others like him, there would have been no railways."	Work in this sense, that if it were not for him and others like him, there would have been no railways."	true	261.195	267.79	22.45661
5266_41151_000017_000000	"But that's not work, like the work of a peasant or a learned profession."	"But that's not work, like the work of a peasant or a learned profession."	true	268.16	273.22	25.938213
5266_41151_000018_000000	"Granted, but it's work in the sense that his activity produces a result--the railways.	"Granted, but it's work in the sense that his activity produces a result-the railways.	true	273.89	280.06	22.36892
5266_41151_000018_000001	But of course you think the railways useless."	But of course you think the railways useless."	true	280.16	283.39	23.735514
5266_41151_000019_000000	"No, that's another question; I am prepared to admit that they're useful.	"No, that's another question; I am prepared to admit that they're useful.	true	283.73	288.67	26.03853
5266_41151_000019_000001	But all profit that is out of proportion to the labor expended is dishonest."	But all profit that is out of proportion to the labor expended is dishonest."	true	288.89	294.82	25.610485
5266_41151_000020_000000	"But who is to define what is proportionate?"	"But who is to define what is proportionate?"	false	295.07	298.18	22.450132
5266_41151_000021_000000	"Making profit by dishonest means, by trickery," said Levin, conscious that he could not draw a distinct line between honesty and dishonesty. "Such as banking, for instance," he went on.	"Making profit by dishonest means, by trickery," said Levin, conscious that he could not draw a distinct line between honesty and dishonesty. "Such as banking, for instance," he went on.	true	298.76	312.91	22.445305
5266_41151_000021_000001	"It's an evil--the amassing of huge fortunes without labor, just the same thing as with the spirit monopolies, it's only the form that's changed.	"It's an evil-the amassing of huge fortunes without labor, just the same thing as with the spirit monopolies, it's only the form that's changed.	false	313.25	323.58	22.843596
5266_41151_000021_000002	_Le roi est mort, vive le roi_.	underscore Le roi est mort, vive le roi underscore.	false	323.58	326.58	20.025387
5266_41151_000021_000003	No sooner were the spirit monopolies abolished than the railways came up, and banking companies; that, too, is profit without work."	No sooner were the spirit monopolies abolished than the railways came up, and banking companies; that, too, is profit without work."	true	326.58	335.74	22.325695
5266_41151_000022_000000	"Yes, that may all be very true and clever....	"Yes, that may all be very true and clever....	true	336.23	339.9	23.456425
5266_41151_000022_000001	Lie down, Krak!" Stepan Arkadyevitch called to his dog, who was scratching and turning over all the hay.	Lie down, Krak!" Stepan Arkadyevitch called to his dog, who was scratching and turning over all the hay.	false	339.9	346.96	24.568933
5266_41151_000022_000002	He was obviously convinced of the correctness of his position, and so talked serenely and without haste.	He was obviously convinced of the correctness of his position, and so talked serenely and without haste.	true	347.15	354.04	21.66801
5266_41151_000022_000003	"But you have not drawn the line between honest and dishonest work.	"But you have not drawn the line between honest and dishonest work.	true	354.26	358.6	23.134102
5266_41151_000022_000004	That I receive a bigger salary than my chief clerk, though he knows more about the work than I do--that's dishonest, I suppose?"	That I receive a bigger salary than my chief clerk, though he knows more about the work than I do-that's dishonest, I suppose?"	true	358.85	368.05	22.524118
5266_41151_000023_000000	"I can't say."	"I can't say."	true	368.69	370.12	26.29887
5266_41151_000024_000000	"Well, but I can tell you: your receiving some five thousand, let's say, for your work on the land, while our host, the peasant here, however hard he works, can never get more than fifty roubles, is just as dishonest as my earning more than my chief clerk, and Malthus getting more than a station-master.	"Well, but I can tell you: your receiving some five thousand, let's say, for your work on the land, while our host, the peasant here, however hard he works, can never get more than fifty roubles, is just as dishonest as my earning more than my chief clerk, and Malthus getting more than a station master.	true	370.97	392.98	22.21149
5266_41151_000024_000001	No, quite the contrary; I see that society takes up a sort of antagonistic attitude to these people, which is utterly baseless, and I fancy there's envy at the bottom of it...."	No, quite the contrary; I see that society takes up a sort of antagonistic attitude to these people, which is utterly baseless, and I fancy there's envy at the bottom of it...."	true	393.47	406.09	24.343788
5266_41151_000025_000000	"No, that's unfair," said Veslovsky; "how could envy come in?	"No, that's unfair," said Veslovsky; "how could envy come in?	true	406.55	410.76	26.394684
5266_41151_000025_000001	There is something not nice about that sort of business."	There is something not nice about that sort of business."	false	410.76	414.31	24.60226
5266_41151_000026_000000	"You say," Levin went on, "that it's unjust for me to receive five thousand, while the peasant has fifty; that's true.	"You say," Levin went on, "that it's unjust for me to receive five thousand, while the peasant has fifty; that's true.	true	414.77	423.52	22.425127
5266_41151_000026_000001	It is unfair, and I feel it, but..."	It is unfair, and I feel it, but..."	true	423.62	426.48	22.114855
5266_41151_000027_000000	"It really is.	"It really is.	true	426.48	427.81	18.277794
5266_41151_000027_000001	Why is it we spend our time riding, drinking, shooting, doing nothing, while they are forever at work?" said Vassenka Veslovsky, obviously for the first time in his life reflecting on the question, and consequently considering it with perfect sincerity.	Why is it we spend our time riding, drinking, shooting, doing nothing, while they are forever at work?" said Vassenka Veslovsky, obviously for the first time in his life reflecting on the question, and consequently considering it with perfect sincerity.	true	427.91	444.85	24.807037
5266_41151_000028_000000	"Yes, you feel it, but you don't give him your property," said Stepan Arkadyevitch, intentionally, as it seemed, provoking Levin.	"Yes, you feel it, but you don't give him your property," said Stepan Arkadyevitch, intentionally, as it seemed, provoking Levin.	false	445.97	455.29	23.987858
5266_41151_000029_000000	There had arisen of late something like a secret antagonism between the two brothers-in-law; as though, since they had married sisters, a kind of rivalry had sprung up between them as to which was ordering his life best, and now this hostility showed itself in the conversation, as it began to take a personal note.	There had arisen of late something like a secret antagonism between the two brothers in law; as though, since they had married sisters, a kind of rivalry had sprung up between them as to which was ordering his life best, and now this hostility showed itself in the conversation, as it began to take a personal note.	true	456.2	476.62	21.793736
5266_41151_000030_000000	"I don't give it away, because no one demands that from me, and if I wanted to, I could not give it away," answered Levin, "and have no one to give it to."	"I don't give it away, because no one demands that from me, and if I wanted to, I could not give it away," answered Levin, "and have no one to give it to."	false	477.29	487.21	21.522593
5266_41151_000031_000000	"Give it to this peasant, he would not refuse it."	"Give it to this peasant, he would not refuse it."	true	488.09	491.29	23.75226
5266_41151_000032_000000	"Yes, but how am I to give it up?	"Yes, but how am I to give it up?	true	491.63	493.98	22.388622
5266_41151_000032_000001	Am I to go to him and make a deed of conveyance?"	Am I to go to him and make a deed of conveyance?"	true	493.98	497.17	26.268116
5266_41151_000033_000000	"I don't know; but if you are convinced that you have no right..."	"I don't know; but if you are convinced that you have no right..."	true	497.75	501.6	25.259907
5266_41151_000034_000000	"I'm not at all convinced.	"I'm not at all convinced.	true	501.6	503.235	25.733093
5266_41151_000034_000001	On the contrary, I feel I have no right to give it up, that I have duties both to the land and to my family."	On the contrary, I feel I have no right to give it up, that I have duties both to the land and to my family."	false	503.235	510.19	21.656528
5266_41151_000035_000000	"No, excuse me, but if you consider this inequality is unjust, why is it you don't act accordingly?..."	"No, excuse me, but if you consider this inequality is unjust, why is it you don't act accordingly?..."	true	510.77	518.32	23.700315
5266_41151_000036_000000	"Well, I do act negatively on that idea, so far as not trying to increase the difference of position existing between him and me."	"Well, I do act negatively on that idea, so far as not trying to increase the difference of position existing between him and me."	true	518.99	528.34	23.752342
5266_41151_000037_000000	"No, excuse me, that's a paradox."	"No, excuse me, that's a paradox."	true	528.59	532	24.747694
5266_41151_000038_000000	"Yes, there's something of a sophistry about that," Veslovsky agreed. "Ah! our host; so you're not asleep yet?" he said to the peasant who came into the barn, opening the creaking door.	"Yes, there's something of a sophistry about that," Veslovsky agreed. "Ah! our host; so you're not asleep yet?" he said to the peasant who came into the barn, opening the creaking door.	true	532.61	543.91	22.405857
5266_41151_000038_000001	"How is it you're not asleep?"	"How is it you're not asleep?"	true	544.07	546.04	19.326958
5266_41151_000039_000000	"No, how's one to sleep!	"No, how's one to sleep!	false	546.71	549.465	22.998194
5266_41151_000039_000001	I thought our gentlemen would be asleep, but I heard them chattering.	I thought our gentlemen would be asleep, but I heard them chattering.	true	549.465	553.69	24.991346
5266_41151_000039_000002	I want to get a hook from here.	I want to get a hook from here.	true	553.88	555.97	24.713095
5266_41151_000039_000003	She won't bite?" he added, stepping cautiously with his bare feet.	She won't bite?" he added, stepping cautiously with his bare feet.	true	556.1	560.68	22.831226
5266_41151_000040_000000	"And where are you going to sleep?"	"And where are you going to sleep?"	true	561.14	563.5	19.716948
5266_41151_000041_000000	"We are going out for the night with the beasts."	"We are going out for the night with the beasts."	true	563.78	566.5	22.638508
5266_41151_000042_000000	"Ah, what a night!" said Veslovsky, looking out at the edge of the hut and the unharnessed wagonette that could be seen in the faint light of the evening glow in the great frame of the open doors.	"Ah, what a night!" said Veslovsky, looking out at the edge of the hut and the unharnessed wagonette that could be seen in the faint light of the evening glow in the great frame of the open doors.	true	567.05	579.04	20.273178
5266_41151_000042_000001	"But listen, there are women's voices singing, and, on my word, not badly too.	"But listen, there are women's voices singing, and, on my word, not badly too.	true	579.29	584.77	23.337267
5266_41151_000042_000002	Who's that singing, my friend?"	Who's that singing, my friend?"	true	584.99	586.87	20.132214
5266_41151_000043_000000	"That's the maids from hard by here."	"That's the maids from hard by here."	true	587.72	590.29	24.615923
5266_41151_000044_000000	"Let's go, let's have a walk!	"Let's go, let's have a walk!	true	590.63	592.815	25.432163
5266_41151_000044_000001	We shan't go to sleep, you know.	We shan't go to sleep, you know.	false	592.815	594.735	27.32335
5266_41151_000044_000002	Oblonsky, come along!"	Oblonsky, come along!"	true	594.735	596.59	22.954014
5266_41151_000045_000000	"If one could only do both, lie here and go," answered Oblonsky, stretching.	"If one could only do both, lie here and go," answered Oblonsky, stretching.	true	597.11	603.01	19.88998
5266_41151_000045_000001	"It's capital lying here."	"It's capital lying here."	true	603.41	605.41	22.330566
5266_41151_000046_000000	"Well, I shall go by myself," said Veslovsky, getting up eagerly, and putting on his shoes and stockings.	"Well, I shall go by myself," said Veslovsky, getting up eagerly, and putting on his shoes and stockings.	true	606.02	612.43	20.31011
5266_41151_000046_000001	"Good-bye, gentlemen.	"Good bye, gentlemen.	true	612.56	613.83	25.891186
5266_41151_000046_000002	If it's fun, I'll fetch you.	If it's fun, I'll fetch you.	false	613.83	615.67	24.653114
5266_41151_000046_000003	You've treated me to some good sport, and I won't forget you."	You've treated me to some good sport, and I won't forget you."	true	615.71	619.24	25.27582
5266_41151_000047_000000	"He really is a capital fellow, isn't he?" said Stepan Arkadyevitch, when Veslovsky had gone out and the peasant had closed the door after him.	"He really is a capital fellow, isn't he?" said Stepan Arkadyevitch, when Veslovsky had gone out and the peasant had closed the door after him.	true	620.42	628.81	22.268173
5266_41151_000048_000000	"Yes, capital," answered Levin, still thinking of the subject of their conversation just before.	"Yes, capital," answered Levin, still thinking of the subject of their conversation just before.	true	629.3	635.35	21.749702
5266_41151_000048_000001	It seemed to him that he had clearly expressed his thoughts and feelings to the best of his capacity, and yet both of them, straightforward men and not fools, had said with one voice that he was comforting himself with sophistries.	It seemed to him that he had clearly expressed his thoughts and feelings to the best of his capacity, and yet both of them, straightforward men and not fools, had said with one voice that he was comforting himself with sophistries.	false	635.69	649.24	24.294281
5266_41151_000048_000002	This disconcerted him.	This disconcerted him.	true	649.61	651.4	20.484976
5266_41151_000049_000000	"It's just this, my dear boy.	"It's just this, my dear boy.	true	652.16	654.19	22.790728
5266_41151_000049_000001	One must do one of two things: either admit that the existing order of society is just, and then stick up for one's rights in it; or acknowledge that you are enjoying unjust privileges, as I do, and then enjoy them and be satisfied."	One must do one of two things: either admit that the existing order of society is just, and then stick up for one's rights in it; or acknowledge that you are enjoying unjust privileges, as I do, and then enjoy them and be satisfied."	false	654.68	671.32	22.490076
5266_41151_000050_000000	"No, if it were unjust, you could not enjoy these advantages and be satisfied--at least I could not.	"No, if it were unjust, you could not enjoy these advantages and be satisfied-at least I could not.	true	671.96	679.36	19.605337
5266_41151_000050_000001	The great thing for me is to feel that I'm not to blame."	The great thing for me is to feel that I'm not to blame."	true	679.46	682.96	24.241854
5266_41151_000051_000000	"What do you say, why not go after all?" said Stepan Arkadyevitch, evidently weary of the strain of thought.	"What do you say, why not go after all?" said Stepan Arkadyevitch, evidently weary of the strain of thought.	true	684.26	690.88	25.223547
5266_41151_000051_000001	"We shan't go to sleep, you know.	"We shan't go to sleep, you know.	true	690.98	692.86	23.891115
5266_41151_000051_000002	Come, let's go!"	Come, let's go!"	true	692.96	694.3	23.382069
5266_41151_000052_000000	Levin did not answer.	Levin did not answer.	true	694.7	696.31	25.636175
5266_41151_000052_000001	What they had said in the conversation, that he acted justly only in a negative sense, absorbed his thoughts.	What they had said in the conversation, that he acted justly only in a negative sense, absorbed his thoughts.	true	696.47	703.66	21.434446
5266_41151_000052_000002	"Can it be that it's only possible to be just negatively?" he was asking himself.	"Can it be that it's only possible to be just negatively?" he was asking himself.	true	704.18	710.62	21.87269
5266_41151_000053_000000	"How strong the smell of the fresh hay is, though," said Stepan Arkadyevitch, getting up.	"How strong the smell of the fresh hay is, though," said Stepan Arkadyevitch, getting up.	true	711.32	717.01	22.513098
5266_41151_000053_000001	"There's not a chance of sleeping.	"There's not a chance of sleeping.	true	717.02	719.02	24.955355
5266_41151_000053_000002	Vassenka has been getting up some fun there.	Vassenka has been getting up some fun there.	true	719.3	721.99	21.730438
5266_41151_000053_000003	Do you hear the laughing and his voice?	Do you hear the laughing and his voice?	false	722	724.18	19.943806
5266_41151_000053_000004	Hadn't we better go?	Hadn't we better go?	true	724.25	725.79	22.992304
5266_41151_000053_000005	Come along!"	Come along!"	true	725.79	726.82	16.999065
5266_41151_000054_000000	"No, I'm not coming," answered Levin.	"No, I'm not coming," answered Levin.	true	727.31	730.03	26.031096
5266_41151_000055_000000	"Surely that's not a matter of principle too," said Stepan Arkadyevitch, smiling, as he felt about in the dark for his cap.	"Surely that's not a matter of principle too," said Stepan Arkadyevitch, smiling, as he felt about in the dark for his cap.	true	730.7	739	20.93411
5266_41151_000056_000000	"It's not a matter of principle, but why should I go?"	"It's not a matter of principle, but why should I go?"	true	739.22	742.78	21.90941
5266_41151_000057_000000	"But do you know you are preparing trouble for yourself," said Stepan Arkadyevitch, finding his cap and getting up.	"But do you know you are preparing trouble for yourself," said Stepan Arkadyevitch, finding his cap and getting up.	true	743.87	750.64	23.23521
5266_41151_000058_000000	"How so?"	"How so?"	true	750.68	751.66	22.394444
5266_41151_000059_000000	"Do you suppose I don't see the line you've taken up with your wife?	"Do you suppose I don't see the line you've taken up with your wife?	true	752.39	756.37	22.563824
5266_41151_000059_000001	I heard how it's a question of the greatest consequence, whether or not you're to be away for a couple of days' shooting.	I heard how it's a question of the greatest consequence, whether or not you're to be away for a couple of days' shooting.	true	756.59	763.45	23.247751
5266_41151_000059_000002	That's all very well as an idyllic episode, but for your whole life that won't answer.	That's all very well as an idyllic episode, but for your whole life that won't answer.	true	763.76	769.69	22.421883
5266_41151_000059_000003	A man must be independent; he has his masculine interests.	A man must be independent; he has his masculine interests.	true	769.82	774.25	19.463308
5266_41151_000059_000004	A man has to be manly," said Oblonsky, opening the door.	A man has to be manly," said Oblonsky, opening the door.	true	774.59	778.9	20.445797
5266_41151_000060_000000	"In what way?	"In what way?	true	779.45	780.69	26.506361
5266_41151_000060_000001	To go running after servant girls?" said Levin.	To go running after servant girls?" said Levin.	true	780.69	783.79	22.2631
5266_41151_000061_000000	"Why not, if it amuses him?	"Why not, if it amuses him?	true	784.37	786.48	23.408073
5266_41151_000061_000001	_Ca ne tire pas a consequence_.	underscore c a ne tire pas a consequence underscore.	false	786.48	789.42	24.54428
5266_41151_000061_000002	It won't do my wife any harm, and it'll amuse me.	It won't do my wife any harm, and it'll amuse me.	true	789.42	792.64	20.178118
5266_41151_000061_000003	The great thing is to respect the sanctity of the home.	The great thing is to respect the sanctity of the home.	true	792.83	796.57	27.039814
5266_41151_000061_000004	There should be nothing in the home.	There should be nothing in the home.	true	796.67	798.67	21.717178
5266_41151_000061_000005	But don't tie your own hands."	But don't tie your own hands."	true	798.77	800.77	20.244705
5266_41151_000062_000000	"Perhaps so," said Levin dryly, and he turned on his side.	"Perhaps so," said Levin dryly, and he turned on his side.	true	801.29	805.21	22.575136
5266_41151_000062_000001	"Tomorrow, early, I want to go shooting, and I won't wake anyone, and shall set off at daybreak."	"Tomorrow, early, I want to go shooting, and I won't wake anyone, and shall set off at daybreak."	false	805.4	812.31	20.567972
5266_41151_000063_000000	"_Messieurs, venez vite!_" they heard the voice of Veslovsky coming back.	"underscore Messieurs, venez vite!underscore" they heard the voice of Veslovsky coming back.	false	812.31	817.98	22.352213
5266_41151_000063_000001	"_Charmante!_ I've made such a discovery.	"underscore Charmante!underscore I've made such a discovery.	false	817.98	820.95	22.882206
5266_41151_000063_000002	_Charmante!_ a perfect Gretchen, and I've already made friends with her.	underscore Charmante!underscore a perfect Gretchen, and I've already made friends with her.	false	820.95	824.925	28.408167
5266_41151_000063_000003	Really, exceedingly pretty," he declared in a tone of approval, as though she had been made pretty entirely on his account, and he was expressing his satisfaction with the entertainment that had been provided for him.	Really, exceedingly pretty," he declared in a tone of approval, as though she had been made pretty entirely on his account, and he was expressing his satisfaction with the entertainment that had been provided for him.	true	824.925	837.79	19.216875
5266_41151_000064_000000	Levin pretended to be asleep, while Oblonsky, putting on his slippers, and lighting a cigar, walked out of the barn, and soon their voices were lost.	Levin pretended to be asleep, while Oblonsky, putting on his slippers, and lighting a cigar, walked out of the barn, and soon their voices were lost.	true	838.34	847.66	23.567928
5266_41151_000065_000000	For a long while Levin could not get to sleep.	For a long while Levin could not get to sleep.	true	848.18	851.205	17.278114
5266_41151_000065_000001	He heard the horses munching hay, then he heard the peasant and his elder boy getting ready for the night, and going off for the night watch with the beasts, then he heard the soldier arranging his bed on the other side of the barn, with his nephew, the younger son of their peasant host.	He heard the horses munching hay, then he heard the peasant and his elder boy getting ready for the night, and going off for the night watch with the beasts, then he heard the soldier arranging his bed on the other side of the barn, with his nephew, the younger son of their peasant host.	true	851.205	868.12	21.562405
5266_41151_000065_000002	He heard the boy in his shrill little voice telling his uncle what he thought about the dogs, who seemed to him huge and terrible creatures, and asking what the dogs were going to hunt next day, and the soldier in a husky, sleepy voice, telling him the sportsmen were going in the morning to the marsh, and would shoot with their guns; and then, to check the boy's questions, he said, "Go to sleep, Vaska; go to sleep, or you'll catch it," and soon after he began snoring himself, and everything was still.	He heard the boy in his shrill little voice telling his uncle what he thought about the dogs, who seemed to him huge and terrible creatures, and asking what the dogs were going to hunt next day, and the soldier in a husky, sleepy voice, telling him the sportsmen were going in the morning to the marsh, and would shoot with their guns; and then, to check the boy's questions, he said, "Go to sleep, Vaska; go to sleep, or you'll catch it," and soon after he began snoring himself, and everything was still.	false	868.49	900.94	22.18824
5266_41151_000065_000003	He could only hear the snort of the horses, and the guttural cry of a snipe.	He could only hear the snort of the horses, and the guttural cry of a snipe.	true	901.46	906.37	20.070314
5266_41151_000066_000000	"Is it really only negative?" he repeated to himself.	"Is it really only negative?" he repeated to himself.	true	907.79	911.92	20.994703
5266_41151_000066_000001	"Well, what of it? It's not my fault." And he began thinking about the next day.	"Well, what of it? It's not my fault." And he began thinking about the next day.	true	912.44	917.65	22.611183
5266_41151_000067_000000	"Tomorrow I'll go out early, and I'll make a point of keeping cool. There are lots of snipe; and there are grouse too.	"Tomorrow I'll go out early, and I'll make a point of keeping cool. There are lots of snipe; and there are grouse too.	true	918.05	925.36	24.563368
5266_41151_000067_000001	When I come back there'll be the note from Kitty.	When I come back there'll be the note from Kitty.	true	925.64	928.42	22.23016
5266_41151_000067_000002	Yes, Stiva may be right, I'm not manly with her, I'm tied to her apron-strings....	Yes, Stiva may be right, I'm not manly with her, I'm tied to her apron strings....	true	928.76	934.9	21.074802
5266_41151_000067_000003	Well, it can't be helped! Negative again...."	Well, it can't be helped! Negative again...."	true	935.24	938.53	22.068373
5266_41151_000068_000000	Half asleep, he heard the laughter and mirthful talk of Veslovsky and Stepan Arkadyevitch.	Half asleep, he heard the laughter and mirthful talk of Veslovsky and Stepan Arkadyevitch.	true	939.38	945.4	21.895128
5266_41151_000068_000001	For an instant he opened his eyes: the moon was up, and in the open doorway, brightly lighted up by the moonlight, they were standing talking.	For an instant he opened his eyes: the moon was up, and in the open doorway, brightly lighted up by the moonlight, they were standing talking.	true	945.86	954.49	21.540045
5266_41151_000068_000002	Stepan Arkadyevitch was saying something of the freshness of one girl, comparing her to a freshly peeled nut, and Veslovsky with his infectious laugh was repeating some words, probably said to him by a peasant: "Ah, you do your best to get round her!" Levin, half asleep, said:	Stepan Arkadyevitch was saying something of the freshness of one girl, comparing her to a freshly peeled nut, and Veslovsky with his infectious laugh was repeating some words, probably said to him by a peasant: "Ah, you do your best to get round her!" Levin, half asleep, said:	true	954.77	973.33	23.149132
5266_41151_000069_000000	"Gentlemen, tomorrow before daylight!" and fell asleep.	"Gentlemen, tomorrow before daylight!" and fell asleep.	true	973.37	978.27	20.488943
