5266_41151_000004_000000	Chapter 11	Chapter eleven
5266_41151_000021_000000	"Making profit by dishonest means, by trickery," said Levin, conscious that he could not draw a distinct line between honesty and dishonesty. "Such as banking, for instance," he went on.	"Making profit by dishonest means, by trickery," said Levin, conscious that he could not draw a distinct line between honesty and dishonesty. "Such as banking, for instance," he went on.
5266_41151_000021_000003	No sooner were the spirit monopolies abolished than the railways came up, and banking companies; that, too, is profit without work."	No sooner were the spirit monopolies abolished than the railways came up, and banking companies; that, too, is profit without work."
5266_41151_000022_000000	"Yes, that may all be very true and clever....	"Yes, that may all be very true and clever....
5266_41151_000022_000002	He was obviously convinced of the correctness of his position, and so talked serenely and without haste.	He was obviously convinced of the correctness of his position, and so talked serenely and without haste.
5266_41151_000022_000003	"But you have not drawn the line between honest and dishonest work.	"But you have not drawn the line between honest and dishonest work.
5266_41151_000022_000004	That I receive a bigger salary than my chief clerk, though he knows more about the work than I do--that's dishonest, I suppose?"	That I receive a bigger salary than my chief clerk, though he knows more about the work than I do-that's dishonest, I suppose?"
5266_41151_000023_000000	"I can't say."	"I can't say."
5266_41151_000024_000000	"Well, but I can tell you: your receiving some five thousand, let's say, for your work on the land, while our host, the peasant here, however hard he works, can never get more than fifty roubles, is just as dishonest as my earning more than my chief clerk, and Malthus getting more than a station-master.	"Well, but I can tell you: your receiving some five thousand, let's say, for your work on the land, while our host, the peasant here, however hard he works, can never get more than fifty roubles, is just as dishonest as my earning more than my chief clerk, and Malthus getting more than a station master.
5266_41151_000024_000001	No, quite the contrary; I see that society takes up a sort of antagonistic attitude to these people, which is utterly baseless, and I fancy there's envy at the bottom of it...."	No, quite the contrary; I see that society takes up a sort of antagonistic attitude to these people, which is utterly baseless, and I fancy there's envy at the bottom of it...."
5266_41151_000025_000000	"No, that's unfair," said Veslovsky; "how could envy come in?	"No, that's unfair," said Veslovsky; "how could envy come in?
5266_41151_000026_000000	"You say," Levin went on, "that it's unjust for me to receive five thousand, while the peasant has fifty; that's true.	"You say," Levin went on, "that it's unjust for me to receive five thousand, while the peasant has fifty; that's true.
5266_41151_000026_000001	It is unfair, and I feel it, but..."	It is unfair, and I feel it, but..."
5266_41151_000027_000001	Why is it we spend our time riding, drinking, shooting, doing nothing, while they are forever at work?" said Vassenka Veslovsky, obviously for the first time in his life reflecting on the question, and consequently considering it with perfect sincerity.	Why is it we spend our time riding, drinking, shooting, doing nothing, while they are forever at work?" said Vassenka Veslovsky, obviously for the first time in his life reflecting on the question, and consequently considering it with perfect sincerity.
5266_41151_000029_000000	There had arisen of late something like a secret antagonism between the two brothers-in-law; as though, since they had married sisters, a kind of rivalry had sprung up between them as to which was ordering his life best, and now this hostility showed itself in the conversation, as it began to take a personal note.	There had arisen of late something like a secret antagonism between the two brothers in law; as though, since they had married sisters, a kind of rivalry had sprung up between them as to which was ordering his life best, and now this hostility showed itself in the conversation, as it began to take a personal note.
5266_41151_000031_000000	"Give it to this peasant, he would not refuse it."	"Give it to this peasant, he would not refuse it."
5266_41151_000032_000000	"Yes, but how am I to give it up?	"Yes, but how am I to give it up?
5266_41151_000032_000001	Am I to go to him and make a deed of conveyance?"	Am I to go to him and make a deed of conveyance?"
5266_41151_000033_000000	"I don't know; but if you are convinced that you have no right..."	"I don't know; but if you are convinced that you have no right..."
5266_41151_000034_000000	"I'm not at all convinced.	"I'm not at all convinced.
5266_41151_000035_000000	"No, excuse me, but if you consider this inequality is unjust, why is it you don't act accordingly?..."	"No, excuse me, but if you consider this inequality is unjust, why is it you don't act accordingly?..."
5266_41151_000036_000000	"Well, I do act negatively on that idea, so far as not trying to increase the difference of position existing between him and me."	"Well, I do act negatively on that idea, so far as not trying to increase the difference of position existing between him and me."
5266_41151_000037_000000	"No, excuse me, that's a paradox."	"No, excuse me, that's a paradox."
5266_41151_000038_000000	"Yes, there's something of a sophistry about that," Veslovsky agreed. "Ah! our host; so you're not asleep yet?" he said to the peasant who came into the barn, opening the creaking door.	"Yes, there's something of a sophistry about that," Veslovsky agreed. "Ah! our host; so you're not asleep yet?" he said to the peasant who came into the barn, opening the creaking door.
5266_41151_000039_000001	I thought our gentlemen would be asleep, but I heard them chattering.	I thought our gentlemen would be asleep, but I heard them chattering.
5266_41151_000039_000002	I want to get a hook from here.	I want to get a hook from here.
5266_41151_000039_000003	She won't bite?" he added, stepping cautiously with his bare feet.	She won't bite?" he added, stepping cautiously with his bare feet.
5266_41151_000041_000000	"We are going out for the night with the beasts."	"We are going out for the night with the beasts."
5266_41151_000042_000000	"Ah, what a night!" said Veslovsky, looking out at the edge of the hut and the unharnessed wagonette that could be seen in the faint light of the evening glow in the great frame of the open doors.	"Ah, what a night!" said Veslovsky, looking out at the edge of the hut and the unharnessed wagonette that could be seen in the faint light of the evening glow in the great frame of the open doors.
5266_41151_000042_000001	"But listen, there are women's voices singing, and, on my word, not badly too.	"But listen, there are women's voices singing, and, on my word, not badly too.
5266_41151_000042_000002	Who's that singing, my friend?"	Who's that singing, my friend?"
5266_41151_000043_000000	"That's the maids from hard by here."	"That's the maids from hard by here."
5266_41151_000044_000000	"Let's go, let's have a walk!	"Let's go, let's have a walk!
5266_41151_000044_000002	Oblonsky, come along!"	Oblonsky, come along!"
5266_41151_000045_000001	"It's capital lying here."	"It's capital lying here."
5266_41151_000046_000000	"Well, I shall go by myself," said Veslovsky, getting up eagerly, and putting on his shoes and stockings.	"Well, I shall go by myself," said Veslovsky, getting up eagerly, and putting on his shoes and stockings.
5266_41151_000046_000001	"Good-bye, gentlemen.	"Good bye, gentlemen.
5266_41151_000046_000003	You've treated me to some good sport, and I won't forget you."	You've treated me to some good sport, and I won't forget you."
5266_41151_000047_000000	"He really is a capital fellow, isn't he?" said Stepan Arkadyevitch, when Veslovsky had gone out and the peasant had closed the door after him.	"He really is a capital fellow, isn't he?" said Stepan Arkadyevitch, when Veslovsky had gone out and the peasant had closed the door after him.
5266_41151_000048_000000	"Yes, capital," answered Levin, still thinking of the subject of their conversation just before.	"Yes, capital," answered Levin, still thinking of the subject of their conversation just before.
5266_41151_000048_000002	This disconcerted him.	This disconcerted him.
5266_41151_000049_000000	"It's just this, my dear boy.	"It's just this, my dear boy.
5266_41151_000050_000001	The great thing for me is to feel that I'm not to blame."	The great thing for me is to feel that I'm not to blame."
5266_41151_000051_000000	"What do you say, why not go after all?" said Stepan Arkadyevitch, evidently weary of the strain of thought.	"What do you say, why not go after all?" said Stepan Arkadyevitch, evidently weary of the strain of thought.
5266_41151_000051_000001	"We shan't go to sleep, you know.	"We shan't go to sleep, you know.
5266_41151_000051_000002	Come, let's go!"	Come, let's go!"
5266_41151_000052_000000	Levin did not answer.	Levin did not answer.
5266_41151_000052_000001	What they had said in the conversation, that he acted justly only in a negative sense, absorbed his thoughts.	What they had said in the conversation, that he acted justly only in a negative sense, absorbed his thoughts.
5266_41151_000052_000002	"Can it be that it's only possible to be just negatively?" he was asking himself.	"Can it be that it's only possible to be just negatively?" he was asking himself.
5266_41151_000053_000000	"How strong the smell of the fresh hay is, though," said Stepan Arkadyevitch, getting up.	"How strong the smell of the fresh hay is, though," said Stepan Arkadyevitch, getting up.
5266_41151_000053_000001	"There's not a chance of sleeping.	"There's not a chance of sleeping.
5266_41151_000053_000002	Vassenka has been getting up some fun there.	Vassenka has been getting up some fun there.
5266_41151_000053_000004	Hadn't we better go?	Hadn't we better go?
5266_41151_000054_000000	"No, I'm not coming," answered Levin.	"No, I'm not coming," answered Levin.
5266_41151_000055_000000	"Surely that's not a matter of principle too," said Stepan Arkadyevitch, smiling, as he felt about in the dark for his cap.	"Surely that's not a matter of principle too," said Stepan Arkadyevitch, smiling, as he felt about in the dark for his cap.
5266_41151_000056_000000	"It's not a matter of principle, but why should I go?"	"It's not a matter of principle, but why should I go?"
5266_41151_000057_000000	"But do you know you are preparing trouble for yourself," said Stepan Arkadyevitch, finding his cap and getting up.	"But do you know you are preparing trouble for yourself," said Stepan Arkadyevitch, finding his cap and getting up.
5266_41151_000058_000000	"How so?"	"How so?"
5266_41151_000059_000000	"Do you suppose I don't see the line you've taken up with your wife?	"Do you suppose I don't see the line you've taken up with your wife?
5266_41151_000059_000001	I heard how it's a question of the greatest consequence, whether or not you're to be away for a couple of days' shooting.	I heard how it's a question of the greatest consequence, whether or not you're to be away for a couple of days' shooting.
5266_41151_000059_000002	That's all very well as an idyllic episode, but for your whole life that won't answer.	That's all very well as an idyllic episode, but for your whole life that won't answer.
5266_41151_000059_000004	A man has to be manly," said Oblonsky, opening the door.	A man has to be manly," said Oblonsky, opening the door.
5266_41151_000060_000000	"In what way?	"In what way?
5266_41151_000060_000001	To go running after servant girls?" said Levin.	To go running after servant girls?" said Levin.
5266_41151_000061_000000	"Why not, if it amuses him?	"Why not, if it amuses him?
5266_41151_000061_000002	It won't do my wife any harm, and it'll amuse me.	It won't do my wife any harm, and it'll amuse me.
5266_41151_000061_000003	The great thing is to respect the sanctity of the home.	The great thing is to respect the sanctity of the home.
5266_41151_000061_000004	There should be nothing in the home.	There should be nothing in the home.
5266_41151_000061_000005	But don't tie your own hands."	But don't tie your own hands."
5266_41151_000062_000000	"Perhaps so," said Levin dryly, and he turned on his side.	"Perhaps so," said Levin dryly, and he turned on his side.
5266_41151_000064_000000	Levin pretended to be asleep, while Oblonsky, putting on his slippers, and lighting a cigar, walked out of the barn, and soon their voices were lost.	Levin pretended to be asleep, while Oblonsky, putting on his slippers, and lighting a cigar, walked out of the barn, and soon their voices were lost.
5266_41151_000065_000001	He heard the horses munching hay, then he heard the peasant and his elder boy getting ready for the night, and going off for the night watch with the beasts, then he heard the soldier arranging his bed on the other side of the barn, with his nephew, the younger son of their peasant host.	He heard the horses munching hay, then he heard the peasant and his elder boy getting ready for the night, and going off for the night watch with the beasts, then he heard the soldier arranging his bed on the other side of the barn, with his nephew, the younger son of their peasant host.
5266_41151_000065_000003	He could only hear the snort of the horses, and the guttural cry of a snipe.	He could only hear the snort of the horses, and the guttural cry of a snipe.
5266_41151_000066_000000	"Is it really only negative?" he repeated to himself.	"Is it really only negative?" he repeated to himself.
5266_41151_000066_000001	"Well, what of it? It's not my fault." And he began thinking about the next day.	"Well, what of it? It's not my fault." And he began thinking about the next day.
5266_41151_000067_000000	"Tomorrow I'll go out early, and I'll make a point of keeping cool. There are lots of snipe; and there are grouse too.	"Tomorrow I'll go out early, and I'll make a point of keeping cool. There are lots of snipe; and there are grouse too.
5266_41151_000067_000001	When I come back there'll be the note from Kitty.	When I come back there'll be the note from Kitty.
5266_41151_000067_000002	Yes, Stiva may be right, I'm not manly with her, I'm tied to her apron-strings....	Yes, Stiva may be right, I'm not manly with her, I'm tied to her apron strings....
5266_41151_000067_000003	Well, it can't be helped! Negative again...."	Well, it can't be helped! Negative again...."
5266_41151_000068_000000	Half asleep, he heard the laughter and mirthful talk of Veslovsky and Stepan Arkadyevitch.	Half asleep, he heard the laughter and mirthful talk of Veslovsky and Stepan Arkadyevitch.
5266_41151_000068_000001	For an instant he opened his eyes: the moon was up, and in the open doorway, brightly lighted up by the moonlight, they were standing talking.	For an instant he opened his eyes: the moon was up, and in the open doorway, brightly lighted up by the moonlight, they were standing talking.
5266_41151_000068_000002	Stepan Arkadyevitch was saying something of the freshness of one girl, comparing her to a freshly peeled nut, and Veslovsky with his infectious laugh was repeating some words, probably said to him by a peasant: "Ah, you do your best to get round her!" Levin, half asleep, said:	Stepan Arkadyevitch was saying something of the freshness of one girl, comparing her to a freshly peeled nut, and Veslovsky with his infectious laugh was repeating some words, probably said to him by a peasant: "Ah, you do your best to get round her!" Levin, half asleep, said:
5266_41151_000069_000000	"Gentlemen, tomorrow before daylight!" and fell asleep.	"Gentlemen, tomorrow before daylight!" and fell asleep.
