4238_12895_000000_000000	Yours very sincerely,	Yours very sincerely,	false	1.77	5.31	26.019875
4238_12895_000008_000001	Then our life was a peaceful and quiet one; now there is nothing but wrangling and strife.	Then our life was a peaceful and quiet one; now there is nothing but wrangling and strife.	true	259.19	266.59	21.264736
4238_12895_000008_000002	The dissenting clergy are, as my husband says was the case in England before the great civil war, the fomenters of this discontent.	The dissenting clergy are, as my husband says was the case in England before the great civil war, the fomenters of this discontent.	true	266.87	277.54	20.731833
4238_12895_000008_000003	There are many busybodies who pass their time in stirring up the people by violent harangues and seditious writings; therefore everyone takes one side or the other, and there is neither peace nor comfort in life.	There are many busybodies who pass their time in stirring up the people by violent harangues and seditious writings; therefore everyone takes one side or the other, and there is neither peace nor comfort in life.	false	277.97	294.64	19.258678
4238_12895_000009_000000	"Accustomed as I have always been to living in ease and affluence, I dread, somewhat, the thought of a life on the Indian frontier.	"Accustomed as I have always been to living in ease and affluence, I dread, somewhat, the thought of a life on the Indian frontier.	true	295.7	306.79	19
4238_12895_000009_000001	One has heard so many dreadful stories of Indian fights and massacres that I tremble a little at the prospect; but I do not mention this to John, for as other women are, like yourself, brave enough to support these dangers, I would not appear a coward in his eyes.	One has heard so many dreadful stories of Indian fights and massacres that I tremble a little at the prospect; but I do not mention this to john, for as other women are, like yourself, brave enough to support these dangers, I would not appear a coward in his eyes.	true	307.37	330.46	21.08554
4238_12895_000009_000002	You will see, cousin, that, as this prospect is before us, it is well that Harold should learn the ways of a frontier life.	You will see, cousin, that, as this prospect is before us, it is well that Harold should learn the ways of a frontier life.	true	331.1	341.5	18.834507
4238_12895_000009_000003	Moreover, John does not like the thought of leaving him here while we are in England; for, as he says, the boy might learn to become a rebel in his absence; therefore, my dear cousin, we have resolved to send him to you.	Moreover, john does not like the thought of leaving him here while we are in England; for, as he says, the boy might learn to become a rebel in his absence; therefore, my dear cousin, we have resolved to send him to you.	true	341.66	359.92	19.867134
4238_12895_000009_000004	An opportunity offers, in the fact that a gentleman of our acquaintance is, with his family, going this week West, with the intention of settling there, and he will, he tells us, go first to Detroit, whence he will be able to send Harold forward to your farm.	An opportunity offers, in the fact that a gentleman of our acquaintance is, with his family, going this week West, with the intention of settling there, and he will, he tells us, go first to Detroit, whence he will be able to send Harold forward to your farm.	true	360.47	381.4	19.59095
4238_12895_000009_000005	The boy himself is delighted at the thought, and promises to return an accomplished backwoodsman.	The boy himself is delighted at the thought, and promises to return an accomplished backwoodsman.	true	382.34	391.24	19.145296
4238_12895_000009_000006	John joins me in kind love to yourself and your husband, and believe me to remain,	john joins me in kind love to yourself and your husband, and believe me to remain,	true	391.94	399.34	20.523693
4238_12895_000010_000000	"Your Affectionate Cousin,	"Your Affectionate Cousin,	true	399.5	401.35	25
4238_12895_000011_000000	"MARY WILSON."	"MARY WILSON."	true	401.87	403.54	21.373137
4238_12895_000012_000000	Four months after the date of the above letter a lad some fifteen years old was walking with a man of middle age on the shores of Lake Huron.	Four months after the date of the above letter a lad some fifteen years old was walking with a man of middle age on the shores of Lake Huron.	true	404.75	416.11	19
4238_12895_000012_000001	Behind them was a large clearing of about a hundred acres in extent; a comfortable house, with buildings for cattle, stood at a distance of some three hundred yards from the lake; broad fields of yellow corn waved brightly in the sun; and from the edge of the clearing came the sound of a woodsman's ax, showing that the proprietor was still enlarging the limits of his farm.	Behind them was a large clearing of about a hundred acres in extent; a comfortable house, with buildings for cattle, stood at a distance of some three hundred yards from the lake; broad fields of yellow corn waved brightly in the sun; and from the edge of the clearing came the sound of a woodsman's ax, showing that the proprietor was still enlarging the limits of his farm.	true	416.81	445.57	20.325195
4238_12895_000012_000002	Surrounding the house, at a distance of twenty yards, was a strong stockade some seven feet in height, formed of young trees, pointed at the upper end, squared, and fixed firmly in the ground.	Surrounding the house, at a distance of twenty yards, was a strong stockade some seven feet in height, formed of young trees, pointed at the upper end, squared, and fixed firmly in the ground.	false	446.09	461.83	21.096712
4238_12895_000012_000003	The house itself, although far more spacious and comfortable than the majority of backwood farmhouses, was built in the usual fashion, of solid logs, and was evidently designed to resist attack.	The house itself, although far more spacious and comfortable than the majority of backwood farmhouses, was built in the usual fashion, of solid logs, and was evidently designed to resist attack.	false	462.08	478.9	20.606165
4238_12895_000013_000000	William Welch had settled ten years before on this spot, which was then far removed from the nearest habitation.	William Welch had settled ten years before on this spot, which was then far removed from the nearest habitation.	true	479.66	488.62	20.671095
4238_12895_000013_000001	It would have been a very imprudent act, under ordinary circumstances, to have established himself in so lonely a position, so far removed from the possibility of assistance in case of attack.	It would have been a very imprudent act, under ordinary circumstances, to have established himself in so lonely a position, so far removed from the possibility of assistance in case of attack.	false	489.02	502.99	20
4238_12895_000013_000002	He settled there, however, just after Pontiac, who was at the head of an alliance of all the Indian tribes of those parts, had, after the long and desperate siege of Fort Pitt, made peace with us upon finding that his friends, the French, had given up all thought of further resistance to the English, and had entirely abandoned the country.	He settled there, however, just after Pontiac, who was at the head of an alliance of all the Indian tribes of those parts, had, after the long and desperate siege of Fort Pitt, made peace with us upon finding that his friends, the French, had given up all thought of further resistance to the English, and had entirely abandoned the country.	true	503.51	533.47	19.710562
4238_12895_000013_000003	Mr. Welch thought, therefore, that a permanent peace was likely to reign on the frontier, and that he might safely establish himself in the charming location he had pitched upon, far removed from the confines of civilization.	mr Welch thought, therefore, that a permanent peace was likely to reign on the frontier, and that he might safely establish himself in the charming location he had pitched upon, far removed from the confines of civilization.	true	533.9	551.53	18
4238_12895_000014_000000	The spot was a natural clearing of some forty acres in extent, sloping down to the water's edge, and a more charming site could hardly have been chosen.	The spot was a natural clearing of some forty acres in extent, sloping down to the water's edge, and a more charming site could hardly have been chosen.	true	552.53	564.7	16
4238_12895_000014_000001	Mr. Welch had brought with him three farm laborers from the East, and, as time went on, he extended the clearing by cutting down the forest giants which bordered it.	mr Welch had brought with him three farm laborers from the East, and, as time went on, he extended the clearing by cutting down the forest giants which bordered it.	true	565.01	577.99	18
4238_12895_000015_000000	But in spite of the beauty of the position, the fertility of the soil, the abundance of his crops, and the advantages afforded by the lake, both from its plentiful supply of fish and as a highway by which he could convey his produce to market, he had more than once regretted his choice of location.	But in spite of the beauty of the position, the fertility of the soil, the abundance of his crops, and the advantages afforded by the lake, both from its plentiful supply of fish and as a highway by which he could convey his produce to market, he had more than once regretted his choice of location.	true	578.84	602.89	19
4238_12895_000015_000001	It was true that there had been no Indian wars on a large scale, but the Indians had several times broken out in sudden incursions.	It was true that there had been no Indian wars on a large scale, but the Indians had several times broken out in sudden incursions.	true	603.5	614.17	13
4238_12895_000015_000002	Three times he had been attacked, but, fortunately, only by small parties, which he had been enabled to beat off.	Three times he had been attacked, but, fortunately, only by small parties, which he had been enabled to beat off.	true	614.51	623.98	15
4238_12895_000015_000003	Once, when a more serious danger threatened him, he had been obliged to embark, with his wife and child and his more valuable chattels, in the great scow in which he carried his produce to market, and had to take refuge in the settlements, to find, on his return, his buildings destroyed and his farm wasted.	Once, when a more serious danger threatened him, he had been obliged to embark, with his wife and child and his more valuable chattels, in the great scow in which he carried his produce to market, and had to take refuge in the settlements, to find, on his return, his buildings destroyed and his farm wasted.	false	624.35	649.54	14
4238_12895_000015_000004	At that time he had serious thoughts of abandoning his location altogether, but the settlements were extending rapidly toward him, and, with the prospect of having neighbors before long and the natural reluctance to give up a place upon which he had expended so much toil, he decided to hold on; hoping that more quiet times would prevail, until other settlers would take up land around him.	At that time he had serious thoughts of abandoning his location altogether, but the settlements were extending rapidly toward him, and, with the prospect of having neighbors before long and the natural reluctance to give up a place upon which he had expended so much toil, he decided to hold on; hoping that more quiet times would prevail, until other settlers would take up land around him.	true	649.85	683.26	14
4238_12895_000016_000000	The house had been rebuilt more strongly than before.	The house had been rebuilt more strongly than before.	true	684.29	688.39	13
4238_12895_000016_000001	He now employed four men, and had been unmolested since his return to his farm, three years before the date of this story.	He now employed four men, and had been unmolested since his return to his farm, three years before the date of this story.	true	688.67	698.47	14
4238_12895_000016_000002	Already two or three locations had been taken up on the shores of the lake beyond him, a village had grown up thirty-five miles away, and several settlers had established themselves between that place and his home.	Already two or three locations had been taken up on the shores of the lake beyond him, a village had grown up thirty five miles away, and several settlers had established themselves between that place and his home.	true	699.02	716.95	13
4238_12895_000017_000000	"So you are going out fishing this morning, Harold?" Mr. Welch said. "I hope you will bring back a good supply, for the larder is low.	"So you are going out fishing this morning, Harold?" mr Welch said. "I hope you will bring back a good supply, for the larder is low.	false	718.01	728.32	14
4238_12895_000017_000001	I was looking at you yesterday, and I see that you are becoming a first-rate hand at the management of a canoe."	I was looking at you yesterday, and I see that you are becoming a first rate hand at the management of a canoe."	true	728.75	737.05	14
4238_12895_000018_000000	"So I ought to be," the boy said, "considering that for nearly three months I have done nothing but shoot and fish."	"So I ought to be," the boy said, "considering that for nearly three months I have done nothing but shoot and fish."	true	737.72	746.71	14
4238_12895_000019_000000	"You have a sharp eye, Harold, and will make a good backwoodsman one of these days.	"You have a sharp eye, Harold, and will make a good backwoodsman one of these days.	true	747.47	753.55	15
4238_12895_000019_000001	You can shoot nearly as well as I can now.	You can shoot nearly as well as I can now.	true	753.8	757.12	12
4238_12895_000019_000002	It is lucky that I had a good stock of powder and lead on hand; firing away by the hour together, as you do, consumes a large amount of ammunition. See, there is a canoe on the lake; it is coming this way, too.	It is lucky that I had a good stock of powder and lead on hand; firing away by the hour together, as you do, consumes a large amount of ammunition. See, there is a canoe on the lake; it is coming this way, too.	true	757.61	775.6	17
4238_12895_000019_000003	There is but one man in it; he is a white, by his clothes."	There is but one man in it; he is a white, by his clothes."	true	776	781.09	19.45872
4238_12895_000020_000000	For a minute or two they stood watching the boat, and then, seeing that its course was directed toward the shore, they walked down to the edge of the lake to meet it.	For a minute or two they stood watching the boat, and then, seeing that its course was directed toward the shore, they walked down to the edge of the lake to meet it.	true	781.73	792.94	16
4238_12895_000021_000000	"Ah, Pearson! is that you?" Mr. Welch asked.	"Ah, Pearson! is that you?" mr Welch asked.	true	793.49	797.53	17
4238_12895_000021_000001	"I thought I knew your long, sweeping stroke at a distance.	"I thought I knew your long, sweeping stroke at a distance.	true	797.81	802.08	14
4238_12895_000021_000002	You have been hunting, I see; that is a fine stag you have got there.	You have been hunting, I see; that is a fine stag you have got there.	false	802.08	807.79	17
4238_12895_000021_000003	What is the news?"	What is the news?"	true	808.16	809.59	16
4238_12895_000022_000000	"About as bad as can be, Master Welch," the hunter said.	"About as bad as can be, Master Welch," the hunter said.	true	810.26	814.69	18.663242
4238_12895_000022_000001	"The Iroquois have dug up the tomahawk again and are out on the war-path. They have massacred John Brent and his family.	"The Iroquois have dug up the tomahawk again and are out on the war path. They have massacred john Brent and his family.	true	815	824.2	18
4238_12895_000022_000002	I heard a talk of it among some hunters I met ten days since in the woods.	I heard a talk of it among some hunters I met ten days since in the woods.	true	824.72	830.14	13
4238_12895_000022_000003	They said that the Iroquois were restless and that their chief, War Eagle, one of the most troublesome varmints on the whole frontier, had been stirring 'em up to war.	They said that the Iroquois were restless and that their chief, War Eagle, one of the most troublesome varmints on the whole frontier, had been stirring 'em up to war.	true	830.87	843.01	19
4238_12895_000022_000004	He told 'em, I heard, that the pale-faces were pushing further and further into the Injun woods, and that, unless they drove 'em back, the redskin hunting grounds would be gone.	He told 'em, I heard, that the pale faces were pushing further and further into the Injun woods, and that, unless they drove 'em back, the redskin hunting grounds would be gone.	false	843.59	857.29	18.607138
4238_12895_000022_000005	I hoped that nothing would come of it, but I might have known better.	I hoped that nothing would come of it, but I might have known better.	true	858.11	863.23	22.148897
4238_12895_000022_000006	When the redskins begin to stir there's sure to be mischief before they're quiet again."	When the redskins begin to stir there's sure to be mischief before they're quiet again."	true	863.81	869.74	17
4238_12895_000023_000000	The color had somewhat left Mr. Welch's cheeks as the hunter spoke.	The color had somewhat left mr Welch's cheeks as the hunter spoke.	true	871.25	877.03	19
4238_12895_000024_000000	"This is bad news, indeed, Pearson," he said gravely.	"This is bad news, indeed, Pearson," he said gravely.	true	877.67	882.37	17
4238_12895_000024_000001	"Are you sure about the attack on the Brents?"	"Are you sure about the attack on the Brents?"	true	882.68	886.3	18
4238_12895_000025_000000	"Sartin sure," the hunter said.	"Sartin sure," the hunter said.	true	887.27	889.99	19
4238_12895_000025_000001	"I met their herder; he had been down to Johnson's to fetch a barrel of pork.	"I met their herder; he had been down to Johnson's to fetch a barrel of pork.	true	890.21	896.08	19.41536
4238_12895_000025_000002	Just when he got back he heard the Injun yells and saw smoke rising in the clearing, so he dropped the barrel and made tracks.	Just when he got back he heard the Injun yells and saw smoke rising in the clearing, so he dropped the barrel and made tracks.	true	896.39	905.89	19
4238_12895_000025_000003	I met him at Johnson's, where he had just arrived.	I met him at Johnson's, where he had just arrived.	true	906.32	909.79	18
4238_12895_000025_000004	Johnson was packing up with all haste and was going to leave, and so I said I would take my canoe and come down the lake, giving you all warning on the way.	Johnson was packing up with all haste and was going to leave, and so I said I would take my canoe and come down the lake, giving you all warning on the way.	true	910.19	920.47	14
4238_12895_000025_000005	I stopped at Burns' and Hooper's. Burns said he should clear out at once, but Hooper talked about seeing it through.	I stopped at Burns' and Hooper's. Burns said he should clear out at once, but Hooper talked about seeing it through.	true	921.05	930.22	20.14096
4238_12895_000025_000006	He's got no wife to be skeary about, and reckoned that, with his two hands, he could defend his log hut.	He's got no wife to be skeary about, and reckoned that, with his two hands, he could defend his log hut.	true	930.77	938.29	18
4238_12895_000025_000007	I told him I reckoned he would get his har raised if the Injuns came that way; but, in course, that's his business."	I told him I reckoned he would get his har raised if the Injuns came that way; but, in course, that's his business."	false	939.08	947.95	17.212313
4238_12895_000026_000000	"What do you advise, Pearson?	"What do you advise, Pearson?	true	949.19	951.31	17
4238_12895_000026_000001	I do not like abandoning this farm to the mercy of the redskins."	I do not like abandoning this farm to the mercy of the redskins."	true	951.68	956.29	13
4238_12895_000027_000000	"It would be a pity, Master Welch, that's as true as Gospel.	"It would be a pity, Master Welch, that's as true as Gospel.	true	958.07	962.47	17
4238_12895_000027_000001	It's the likeliest clearing within fifty miles round, and you've fixed the place up as snug and comfortable as if it were a farm in the old provinces.	It's the likeliest clearing within fifty miles round, and you've fixed the place up as snug and comfortable as if it were a farm in the old provinces.	true	962.72	974.08	17
4238_12895_000027_000002	In course the question is what this War Eagle intends to do.	In course the question is what this War Eagle intends to do.	false	974.78	980.14	16
4238_12895_000027_000003	His section of the tribe is pretty considerable strong, and although at present I aint heard that any others have joined, these Injuns are like barrels of gunpowder: when the spark is once struck there's no saying how far the explosion may spread.	His section of the tribe is pretty considerable strong, and although at present I aint heard that any others have joined, these Injuns are like barrels of gunpowder: when the spark is once struck there's no saying how far the explosion may spread.	true	981.23	1000.39	18
4238_12895_000027_000004	When one band of 'em sees as how another is taking scalps and getting plunder and honor, they all want to be at the same work.	When one band of 'em sees as how another is taking scalps and getting plunder and honor, they all want to be at the same work.	true	1001	1009.9	17
4238_12895_000027_000005	I reckon War Eagle has got some two hundred braves who will follow him; but when the news spreads that he has begun his work, all the Iroquois, to say nothing of the Shawnees, Delawares, and other varmint, may dig up the hatchet.	I reckon War Eagle has got some two hundred braves who will follow him; but when the news spreads that he has begun his work, all the Iroquois, to say nothing of the Shawnees, Delawares, and other varmint, may dig up the hatchet.	true	1010.51	1027.93	17
4238_12895_000027_000006	The question is what War Eagle's intentions are.	The question is what War Eagle's intentions are.	true	1028.48	1032.34	15
4238_12895_000027_000007	He may make a clean sweep down, attacking all the outlying farms and waiting till he is joined by a lot more of the red reptiles before attacking the settlements.	He may make a clean sweep down, attacking all the outlying farms and waiting till he is joined by a lot more of the red reptiles before attacking the settlements.	true	1032.74	1044.88	16
4238_12895_000027_000008	Then, on the other hand, he may think himself strong enough to strike a blow at Gloucester and some other border villages at once.	Then, on the other hand, he may think himself strong enough to strike a blow at Gloucester and some other border villages at once.	true	1045.34	1054.9	16
4238_12895_000027_000009	In that case he might leave the outlying farms alone, as the news of the burning of these would reach the settlements and put 'em on their guard, and he knows, in course, that if he succeeds there he can eat you all up at his leisure."	In that case he might leave the outlying farms alone, as the news of the burning of these would reach the settlements and put 'em on their guard, and he knows, in course, that if he succeeds there he can eat you all up at his leisure."	false	1055.54	1072.06	16
4238_12895_000028_000000	"The attack upon Brent's place looks as if he meant to make a clean sweep down," Mr. Welch said.	"The attack upon Brent's place looks as if he meant to make a clean sweep down," mr Welch said.	true	1073.63	1080.82	18
4238_12895_000029_000000	"Well," the hunter continued thoughtfully, "I don't know as I sees it in that light.	"Well," the hunter continued thoughtfully, "I don't know as I sees it in that light.	true	1081.61	1088.47	18.06155
4238_12895_000029_000001	Brent's place was a long way from any other.	Brent's place was a long way from any other.	true	1088.93	1092.04	18
4238_12895_000029_000002	He might have wished to give his band a taste of blood, and so raise their spirits, and he might reasonably conclude that naught would be known about it for days, perhaps weeks to come.	He might have wished to give his band a taste of blood, and so raise their spirits, and he might reasonably conclude that naught would be known about it for days, perhaps weeks to come.	true	1092.29	1104.91	17
4238_12895_000029_000003	Then, again, the attack might have been made by some straggling party without orders.	Then, again, the attack might have been made by some straggling party without orders.	false	1105.58	1111.81	14
4238_12895_000029_000004	It's a dubious question.	It's a dubious question.	true	1112.27	1114.15	18.134663
4238_12895_000029_000005	You've got four hands here, I think, and yourself. I have seen your wife shoot pretty straight with a rifle, so she can count as one, and as this young un, here, has a good idea, too, with his shooting-iron, that makes six guns.	You've got four hands here, I think, and yourself. I have seen your wife shoot pretty straight with a rifle, so she can count as one, and as this young un, here, has a good idea, too, with his shooting iron, that makes six guns.	false	1114.49	1132.03	17
4238_12895_000029_000006	Your place is a strong one, and you could beat off any straggling party.	Your place is a strong one, and you could beat off any straggling party.	true	1132.46	1137.67	17
4238_12895_000029_000007	My idea is that War Eagle, who knows pretty well that the place would make a stout fight, won't waste his time by making a regular attack upon it.	My idea is that War Eagle, who knows pretty well that the place would make a stout fight, won't waste his time by making a regular attack upon it.	true	1138.55	1149.94	18
4238_12895_000029_000008	You might hold out for twenty-four hours; the clearing is open and there aint no shelter to be had.	You might hold out for twenty four hours; the clearing is open and there aint no shelter to be had.	true	1150.55	1157.47	18
4238_12895_000029_000009	He would be safe to lose a sight of men, and this would be a bad beginning, and would discourage his warriors greatly.	He would be safe to lose a sight of men, and this would be a bad beginning, and would discourage his warriors greatly.	false	1158.56	1167.73	18
4238_12895_000029_000010	No, I reckon War Eagle will leave you alone for the present. Maybe he will send a scout to see whether you are prepared; it's as likely as not that one is spying at us somewhere among the trees now. I should lose no time in driving in the animals and getting well in shelter.	No, I reckon War Eagle will leave you alone for the present. Maybe he will send a scout to see whether you are prepared; it's as likely as not that one is spying at us somewhere among the trees now. I should lose no time in driving in the animals and getting well in shelter.	true	1168.43	1188.4	16
4238_12895_000029_000011	When they see you are prepared they will leave you alone; at least, for the present.	When they see you are prepared they will leave you alone; at least, for the present.	true	1189.04	1194.67	18.241417
4238_12895_000029_000012	Afterward there's no saying--that will depend on how they get on at the settlements.	Afterward there's no saying-that will depend on how they get on at the settlements.	true	1195.25	1200.82	16.701368
4238_12895_000029_000013	If they succeed there and get lots of booty and plenty of scalps, they may march back without touching you; they will be in a hurry to get to their villages and have their feasts and dancing.	If they succeed there and get lots of booty and plenty of scalps, they may march back without touching you; they will be in a hurry to get to their villages and have their feasts and dancing.	true	1201.1	1214.29	20
4238_12895_000029_000014	If they are beaten off at the settlements I reckon they will pay you a visit for sure; they won't go back without scalps.	If they are beaten off at the settlements I reckon they will pay you a visit for sure; they won't go back without scalps.	true	1215.68	1223.02	20
4238_12895_000029_000015	They will be savage like, and won't mind losing some men for the sake of having something to brag about when they get back.	They will be savage like, and won't mind losing some men for the sake of having something to brag about when they get back.	true	1223.39	1230.46	16
4238_12895_000029_000016	And now, Master Welch, I must be going on, for I want to take the news down to the settlements before War Eagle gets there, and he may be ahead of me now, for aught I know.	And now, Master Welch, I must be going on, for I want to take the news down to the settlements before War Eagle gets there, and he may be ahead of me now, for aught I know.	true	1230.83	1243.03	16
4238_12895_000029_000017	I don't give you no advice as to what you had best do; you can judge the circumstances as well as I can.	I don't give you no advice as to what you had best do; you can judge the circumstances as well as I can.	true	1243.73	1251.19	16
4238_12895_000029_000018	When I have been to the settlements and put them on their guard, maybe I shall be coming back again, and, in that case, you know Jack Pearson's rifle is at your disposal.	When I have been to the settlements and put them on their guard, maybe I shall be coming back again, and, in that case, you know Jack Pearson's rifle is at your disposal.	true	1251.8	1263.58	18
4238_12895_000029_000019	You may as well tote this stag up to the house.	You may as well tote this stag up to the house.	true	1264.19	1266.99	19
4238_12895_000029_000020	You won't be doing much hunting just for the present, and the meat may come in handy."	You won't be doing much hunting just for the present, and the meat may come in handy."	false	1266.99	1274.16	17.894001
4238_12895_000030_000000	The stag was landed, and a minute later the canoe shot away from shore under the steady stroke of the hunter's powerful arms.	The stag was landed, and a minute later the canoe shot away from shore under the steady stroke of the hunter's powerful arms.	false	1274.16	1283.02	12
4238_12895_000030_000001	Mr. Welch at once threw the stag over his shoulders and, accompanied by Harold, strode away toward the house.	mr Welch at once threw the stag over his shoulders and, accompanied by Harold, strode away toward the house.	true	1283.45	1292.32	16
4238_12895_000030_000002	On reaching it he threw down the stag at the door, seized a rope which hung against the wall, and the sounds of a large bell, rung in quick, sharp strokes, summoned the hands from the fields.	On reaching it he threw down the stag at the door, seized a rope which hung against the wall, and the sounds of a large bell, rung in quick, sharp strokes, summoned the hands from the fields.	true	1292.72	1307.98	16
4238_12895_000030_000003	The sound of the woodman's ax ceased at once, and the shouts of the men, as they drove the cattle toward the house, rose on the still air.	The sound of the woodman's ax ceased at once, and the shouts of the men, as they drove the cattle toward the house, rose on the still air.	true	1308.62	1318.51	15
4238_12895_000031_000000	"What is the matter, William?" Mrs. Welch asked as she ran from the house.	"What is the matter, William?" mrs Welch asked as she ran from the house.	true	1319.66	1325.41	14
4238_12895_000032_000000	"I have bad news, my dear.	"I have bad news, my dear.	true	1326.14	1328.17	17
4238_12895_000032_000001	The Indians are out again, and I fear we may have trouble before us.	The Indians are out again, and I fear we may have trouble before us.	true	1328.51	1332.91	13
4238_12895_000032_000002	We must hope that they will not come in this direction, but must be prepared for the worst.	We must hope that they will not come in this direction, but must be prepared for the worst.	true	1333.58	1339.78	17
4238_12895_000032_000003	Wait till I see all the hands and beasts in the stockade, and then we can talk the matter over quietly."	Wait till I see all the hands and beasts in the stockade, and then we can talk the matter over quietly."	true	1340.33	1347.34	13
4238_12895_000033_000000	In a few minutes the hands arrived, driving before them the horses and cattle.	In a few minutes the hands arrived, driving before them the horses and cattle.	true	1348.31	1354.84	15
4238_12895_000034_000000	"What is it, boss?" they asked.	"What is it, boss?" they asked.	true	1355.9	1358.31	19.466908
4238_12895_000034_000001	"Was that the alarm bell sure enough?"	"Was that the alarm bell sure enough?"	true	1358.31	1361.08	16
4238_12895_000035_000000	"The Indians are out again," Mr. Welch said, "and in force.	"The Indians are out again," mr Welch said, "and in force.	true	1361.96	1366.54	18.714321
4238_12895_000035_000001	They have massacred the Brents and are making toward the settlements.	They have massacred the Brents and are making toward the settlements.	true	1366.88	1370.77	17
4238_12895_000035_000002	They may come this way or they may not; at any rate, we must be prepared for them.	They may come this way or they may not; at any rate, we must be prepared for them.	true	1371.02	1377.22	19.490063
4238_12895_000035_000003	Get the beasts into the sheds, and then do you all take scythes and set to work to cut down that patch of corn, which is high enough to give them shelter; there's nothing else which will cover them within a hundred yards of the house.	Get the beasts into the sheds, and then do you all take scythes and set to work to cut down that patch of corn, which is high enough to give them shelter; there's nothing else which will cover them within a hundred yards of the house.	false	1377.59	1394.71	19.27435
