7802_104394_000002_000000	CHAPTER XIII	CHAPTER thirteen
7802_104394_000017_000000	Then they played hide-and-go-seek in the hay country, and after that Blind Man's Buff in the barn below.	Then they played hide and go seek in the hay country, and after that Blind Man's Buff in the barn below.
7802_104394_000018_000000	By and by they played tag, just plain tag, and Eric liked that best of all.	By and by they played tag, just plain tag, and Eric liked that best of all.
7802_104394_000018_000001	Back and forth across the great room they raced,--up the ladder, over the hay, through the hole into the stable, round and round, in and out, up and down until they were too tired and hot for any more.	Back and forth across the great room they raced,--up the ladder, over the hay, through the hole into the stable, round and round, in and out, up and down until they were too tired and hot for any more.
7802_104394_000019_000000	Then they lay up in the hay where there was a little window, looking far out across the meadows.	Then they lay up in the hay where there was a little window, looking far out across the meadows.
7802_104394_000020_000001	She must have heard their shouts and laughter.	She must have heard their shouts and laughter.
7802_104394_000020_000002	He pointed her out to the other children.	He pointed her out to the other children.
7802_104394_000020_000003	"That is my playmate out there," he said.	"That is my playmate out there," he said.
7802_104394_000020_000004	"Let's open the window and call to her to come up.	"Let's open the window and call to her to come up.
7802_104394_000020_000005	She'll tell us stories."	She'll tell us stories."
7802_104394_000021_000001	"But there's nobody there," they said.	"But there's nobody there," they said.
7802_104394_000022_000000	Eric laughed.	Eric laughed.
7802_104394_000022_000001	"No, look!" He pointed with his finger.	"No, look!" He pointed with his finger.
7802_104394_000022_000002	"Over there by the white birch.	"Over there by the white birch.
7802_104394_000022_000003	Look!	Look!
7802_104394_000022_000004	She sees us." He waved.	She sees us." He waved.
7802_104394_000022_000005	"Quick, help me open the window."	"Quick, help me open the window."
7802_104394_000023_000000	He could not find the catch.	He could not find the catch.
7802_104394_000023_000001	The window was draped with cobwebs and dusty with the dust of years.	The window was draped with cobwebs and dusty with the dust of years.
7802_104394_000024_000000	The little red-headed girl put her hand on his arm.	The little red headed girl put her hand on his arm.
7802_104394_000024_000002	"There's no one by the white birch.	"There's no one by the white birch.
7802_104394_000025_000001	Of course she's there!" Eric was impatient.	Of course she's there!" Eric was impatient.
7802_104394_000025_000003	Of course you see her!"	Of course you see her!"
7802_104394_000026_000000	"Yes," said the jolliest of the boys.	"Yes," said the jolliest of the boys.
7802_104394_000026_000002	We've seen it before too,--a kind of a shadow on the snow.	We've seen it before too,--a kind of a shadow on the snow.
7802_104394_000026_000003	But father says it's nothing to mind.	But father says it's nothing to mind.
7802_104394_000027_000000	Then Eric remembered all that Ivra had told him.	Then Eric remembered all that Ivra had told him.
7802_104394_000027_000001	She was half fairy. People could see her if they looked hard enough.	She was half fairy. People could see her if they looked hard enough.
7802_104394_000027_000002	But they were not apt to believe their own eyes when they had looked.	But they were not apt to believe their own eyes when they had looked.
7802_104394_000027_000003	That was dreadful for her.	That was dreadful for her.
7802_104394_000027_000004	She had not said so, but he had guessed it from her face when she told him.	She had not said so, but he had guessed it from her face when she told him.
7802_104394_000027_000006	These were Earth Children, with shadows in their eyes.	These were Earth Children, with shadows in their eyes.
7802_104394_000028_000002	But just now it was jolly and cozy here in the barn, and these Earth Children were good fun.	But just now it was jolly and cozy here in the barn, and these Earth Children were good fun.
7802_104394_000029_000001	"If you do,--better not.	"If you do,--better not.
7802_104394_000029_000002	Grown-ups will laugh at you."	Grown ups will laugh at you."
7802_104394_000031_000000	"Oh, yes," said the jolliest boy.	"Oh, yes," said the jolliest boy.
7802_104394_000031_000001	"But she is queer.	"But she is queer.
7802_104394_000031_000002	We love her, and she's a fine grandmother, I can tell you.	We love her, and she's a fine grandmother, I can tell you.
7802_104394_000031_000003	And she tells the best stories.	And she tells the best stories.
7802_104394_000031_000004	But she's queer just the same, and she can't fool us."	But she's queer just the same, and she can't fool us."
7802_104394_000032_000000	"Let's go in and get some cookies from her," said the other boy.	"Let's go in and get some cookies from her," said the other boy.
7802_104394_000032_000001	"They must be done by now."	"They must be done by now."
7802_104394_000033_000000	So up they hopped, and without another look towards the shadow out on the snow by the white birch, jumped down the hole, and ran out of the barn into the kitchen.	So up they hopped, and without another look towards the shadow out on the snow by the white birch, jumped down the hole, and ran out of the barn into the kitchen.
7802_104394_000034_000000	Nora was there knitting by a table, two big pans of cookies just out of the oven cooling in front of her.	Nora was there knitting by a table, two big pans of cookies just out of the oven cooling in front of her.
7802_104394_000035_000000	How good they smelled!	How good they smelled!
7802_104394_000035_000001	Eric had never tasted hot ginger cookies before, and when Nora gave him one, a big round one all for his own, he almost danced with delight.	Eric had never tasted hot ginger cookies before, and when Nora gave him one, a big round one all for his own, he almost danced with delight.
7802_104394_000035_000002	He perched on the edge of the table and ate that one and many another before he was done.	He perched on the edge of the table and ate that one and many another before he was done.
7802_104394_000036_000000	"This boy, grandma," began the red-headed girl.	"This boy, grandma," began the red headed girl.
7802_104394_000037_000000	"His name is Eric," interrupted Nora, handing him another cookie.	"His name is Eric," interrupted Nora, handing him another cookie.
7802_104394_000038_000000	"Well, he saw It while we were looking out of the barn window!	"Well, he saw It while we were looking out of the barn window!
7802_104394_000039_000000	"Don't say 'It,'" said Nora.	"Don't say 'It,'" said Nora.
7802_104394_000039_000001	"Her name is 'Ivra.' But of course you can't play with her.	"Her name is 'Ivra.' But of course you can't play with her.
7802_104394_000039_000003	She's a fairy.	She's a fairy.
7802_104394_000039_000004	So don't say anything about it to your father when he comes home to-night.	So don't say anything about it to your father when he comes home to night.
7802_104394_000039_000005	It would make him cross."	It would make him cross."
7802_104394_000040_000000	"But it doesn't make you cross," laughed the jolliest boy.	"But it doesn't make you cross," laughed the jolliest boy.
7802_104394_000040_000001	"And so won't you tell us some stories about it now.	"And so won't you tell us some stories about it now.
7802_104394_000042_000000	So Nora put down her knitting, and taking the cat on her lap, a great sleepy white fellow who had been purring by the stove, she began to tell them stories.	So Nora put down her knitting, and taking the cat on her lap, a great sleepy white fellow who had been purring by the stove, she began to tell them stories.
7802_104394_000044_000000	But Eric was lost in wonder.	But Eric was lost in wonder.
7802_104394_000045_000000	And all the time Eric had only to turn his head to see Ivra walking out there around in the field, looking at the farm house, waiting for him. But gradually, as the stories went on the little figure out there grew more and more to look like just a blue shadow on the snow, paler and paler.	And all the time Eric had only to turn his head to see Ivra walking out there around in the field, looking at the farm house, waiting for him. But gradually, as the stories went on the little figure out there grew more and more to look like just a blue shadow on the snow, paler and paler.
7802_104394_000045_000001	Finally he had to strain his eyes to see it at all.	Finally he had to strain his eyes to see it at all.
7802_104394_000046_000004	He liked them,--oh, so much!	He liked them,--oh, so much!
7802_104394_000046_000006	Yes.	Yes.
7802_104394_000047_000000	"Take her some cookies," said Nora, filling his pockets.	"Take her some cookies," said Nora, filling his pockets.
7802_104394_000047_000001	The children laughed at the top of their voices.	The children laughed at the top of their voices.
7802_104394_000047_000002	"Yes, take some cookies to the fairy.	"Yes, take some cookies to the fairy.
7802_104394_000048_000000	Nora laughed with them, and so after a minute Eric joined in.	Nora laughed with them, and so after a minute Eric joined in.
7802_104394_000049_000001	He overtook her a long way in, walking rapidly.	He overtook her a long way in, walking rapidly.
7802_104394_000051_000000	"Why didn't you come, too?" she said	"Why didn't you come, too?" she said
7802_104394_000052_000000	"Oh, it was too cold.	"Oh, it was too cold.
7802_104394_000052_000001	Nora's grandchildren are awfully good fun.	Nora's grandchildren are awfully good fun.
7802_104394_000053_000000	"Did they laugh at me?"	"Did they laugh at me?"
7802_104394_000054_000002	They thought I was a funny boy."	They thought I was a funny boy."
7802_104394_000055_000000	"To have me for a playmate?"	"To have me for a playmate?"
7802_104394_000056_000000	Then Eric began to think that Ivra was not very happy.	Then Eric began to think that Ivra was not very happy.
7802_104394_000058_000001	And it was like spring coming into winter.	And it was like spring coming into winter.
7802_104394_000058_000002	"Yes, play with them all you like!	"Yes, play with them all you like!
7802_104394_000058_000007	They don't think I'm real.	They don't think I'm real.
7802_104394_000058_000008	But they are awfully jolly.	But they are awfully jolly.
7802_104394_000058_000009	You play with them and when you tell me about it afterwards I'll pretend I was there playing too."	You play with them and when you tell me about it afterwards I'll pretend I was there playing too."
