5123_34572_000000_000000	PART I.	PART one	false	0	0.84	30.029667
5123_34572_000018_000005	They were engaged in casting anchor: the chief boat, placed in front after the old manner of Norwegian flotillas, all her rigging standing out in black, above the white level of the sea; and in front might be perceived the hook-iron, loaded with all kinds of hooks and harpoons, destined for the Greenland shark, the dogfish, and the spinous shark, as well as the nets to pick up the sunfish.	They were engaged in casting anchor: the chief boat, placed in front after the old manner of Norwegian flotillas, all her rigging standing out in black, above the white level of the sea; and in front might be perceived the hook iron, loaded with all kinds of hooks and harpoons, destined for the Greenland shark, the dogfish, and the spinous shark, as well as the nets to pick up the sunfish.	false	910.85	938.98	20.969013
5123_34572_000019_000000	Except a few other craft, all swept into the same corner, the eye met nothing living on the vast horizon of Portland--not a house, not a ship. The coast in those days was not inhabited, and the roads, at that season, were not safe.	Except a few other craft, all swept into the same corner, the eye met nothing living on the vast horizon of Portland-not a house, not a ship. The coast in those days was not inhabited, and the roads, at that season, were not safe.	false	940.19	958.9	19.535997
5123_34572_000020_000000	Whatever may have been the appearance of the weather, the beings who were going to sail away in the Biscayan urca pressed on the hour of departure all the same.	Whatever may have been the appearance of the weather, the beings who were going to sail away in the Biscayan urca pressed on the hour of departure all the same.	false	960.56	970.54	20.646492
5123_34572_000020_000001	They formed a busy and confused group, in rapid movement on the shore.	They formed a busy and confused group, in rapid movement on the shore.	true	971.33	976.45	21.181904
5123_34572_000020_000002	To distinguish one from another was difficult; impossible to tell whether they were old or young.	To distinguish one from another was difficult; impossible to tell whether they were old or young.	true	976.97	982.84	21
5123_34572_000020_000003	The indistinctness of evening intermixed and blurred them; the mask of shadow was over their faces.	The indistinctness of evening intermixed and blurred them; the mask of shadow was over their faces.	true	983.36	990.4	20.39911
5123_34572_000020_000004	They were sketches in the night.	They were sketches in the night.	true	991.28	993.34	20.862946
5123_34572_000020_000005	There were eight of them, and there were seemingly among them one or two women, hard to recognize under the rags and tatters in which the group was attired--clothes which were no longer man's or woman's.	There were eight of them, and there were seemingly among them one or two women, hard to recognize under the rags and tatters in which the group was attired-clothes which were no longer man's or woman's.	false	993.74	1007.2	19.125675
5123_34572_000020_000006	Rags have no sex.	Rags have no sex.	true	1007.6	1009.57	19.230236
5123_34572_000021_000000	A smaller shadow, flitting to and fro among the larger ones, indicated either a dwarf or a child.	A smaller shadow, flitting to and fro among the larger ones, indicated either a dwarf or a child.	true	1010.51	1018.69	19.806267
5123_34572_000022_000000	It was a child.	It was a child.	true	1019.27	1021.98	18.755415
5123_34572_000023_000000	CHAPTER II.	CHAPTER two.	false	1021.98	1022.16	-20
5123_34572_000024_000000	LEFT ALONE.	LEFT ALONE.	false	1022.16	1022.34	-20
5123_34572_000025_000000	This is what an observer close at hand might have noted.	This is what an observer close at hand might have noted.	false	1022.34	1023.39	-20
5123_34572_000026_000000	All wore long cloaks, torn and patched, but covering them, and at need concealing them up to the eyes; useful alike against the north wind and curiosity.	All wore long cloaks, torn and patched, but covering them, and at need concealing them up to the eyes; useful alike against the north wind and curiosity.	false	1023.39	1027.38	19.856306
5123_34572_000026_000001	They moved with ease under these cloaks.	They moved with ease under these cloaks.	false	1027.38	1028.34	24.548197
5123_34572_000026_000002	The greater number wore a handkerchief rolled round the head--a sort of rudiment which marks the commencement of the turban in Spain.	The greater number wore a handkerchief rolled round the head-a sort of rudiment which marks the commencement of the turban in Spain.	false	1028.34	1030.59	19.015024
5123_34572_000026_000003	This headdress was nothing unusual in England.	This headdress was nothing unusual in England.	false	1030.59	1030.77	2
5123_34572_000026_000004	At that time the South was in fashion in the North; perhaps this was connected with the fact that the North was beating the South.	At that time the South was in fashion in the North; perhaps this was connected with the fact that the North was beating the South.	false	1030.77	1032.81	25.602957
5123_34572_000026_000005	It conquered and admired.	It conquered and admired.	false	1032.81	1033.14	17
5123_34572_000026_000006	After the defeat of the Armada, Castilian was considered in the halls of Elizabeth to be elegant court talk.	After the defeat of the Armada, Castilian was considered in the halls of Elizabeth to be elegant court talk.	false	1033.14	1035.6	19.508
5123_34572_000026_000007	To speak English in the palace of the Queen of England was held almost an impropriety.	To speak English in the palace of the Queen of England was held almost an impropriety.	false	1035.6	1037.13	26.30985
5123_34572_000026_000008	Partially to adopt the manners of those upon whom we impose our laws is the habit of the conquering barbarian towards conquered civilization.	Partially to adopt the manners of those upon whom we impose our laws is the habit of the conquering barbarian towards conquered civilization.	false	1037.13	1037.4	-5
5123_34572_000026_000009	The Tartar contemplates and imitates the Chinese.	The Tartar contemplates and imitates the Chinese.	false	1037.4	1037.49	3
5123_34572_000026_000010	It was thus Castilian fashions penetrated into England; in return, English interests crept into Spain.	It was thus Castilian fashions penetrated into England; in return, English interests crept into Spain.	false	1037.49	1037.64	4
